y				
xau	2	毫豪嚎壕		
xau	3	好[～坏]		
xau	5	好[爱～]号浩耗		
iau				
piau	1	彪标膘鳔飙[～起走，走得飞快]		
piau	3	表[报～]		
piau	5	俵[给]		
pʰiau	1	飘		
pʰiau	2	瓢嫖		
pʰiau	3	漂[～白]		
pʰiau	5	漂[～亮]票		
miau	1	猫		
miau	2	苗描		
miau	3	秒渺藐		
miau	5	妙庙		
tiau	1	貂雕刁		
tiau	2	鸟		
tiau	3	鸟[又读]		
tiau	5	吊钓调[～查]掉		
tʰiau	1	挑		
tʰiau	2	条调[～解]		
tʰiau	3	斢[换]		
tʰiau	5	跳眺		
ȵiau	3	鸟袅		
ȵiau	5	尿		
liau	1	□[～得到吗，勾得到吗]		
liau	2	辽疗聊僚嘹撩燎鹩瞭□[箇花～呱了，这花枯萎了]		
liau	3	了[～解]		
liau	5	廖镣料		
tɕiau	1	椒焦蕉交娇胶郊浇		
tɕiau	2	嚼[～劲]		
tɕiau	3	剿徼饺侥狡绞缴		
tɕiau	5	教[～父]藠[～头]叫轿较		
tɕʰiau	1	悄锹		
tɕʰiau	2	噍乔侨荞桥樵		
tɕʰiau	3	巧		
tɕʰiau	5	俏窍撬		
ɕiau	1	梢枵宵消逍萧[～新槐]硝销箫霄嚣肖枭		
ɕiau	2	淆肴		
ɕiau	3	晓小骁		
ɕiau	5	笑酵孝效校		
iau	1	幺吆妖腰邀要[～求]		
iau	2	尧姚饶窑谣摇遥		
iau	3	扰舀		
iau	5	绕耀要[重～]		
əu				
pəu	1	踎[蹲]		
pʰəu	3	剖		
məu	2	谋		
məu	3	某亩		
məu	5	茂[～名，地名]贸		
fəu	2	浮=		
fəu	3	否缶		
təu	1	都兜□[～到荷包里，装在口袋里]株[一～树]逗[白读]		
təu	3	□[～他一脚，踢他一脚]斗[一～米]抖陡		
təu	5	斗[～钱，凑钱]豆逗[文读]痘		
tʰəu	1	偷[～油婆，蟑螂]		
tʰəu	2	头投		
tʰəu	3	敨[歇息]		
tʰəu	5	透		
ləu	2	楼娄髅揉		
ləu	3	□[不小心～到他了，不小心绊着他了]搂篓□[这人好～水，这人各方面都不行]		
ləu	5	陋漏		
tsəu	1	□[～到，蹲着]舟邹		
tsəu	2	肘		
tsəu	3	走		
tsəu	5	纣咒昼胄皱奏		
tsʰəu	1	□[端东西]		
tsʰəu	2	筹酬		
tsʰəu	3	□[积蓄财物]		
tsʰəu	5	凑骤		
səu	1	搜馊飕艘		
səu	5	瘦嗽		
kəu	1	勾沟钩		
kəu	2	佝[～起腰]		
kəu	3	狗苟		
kəu	5	构[～冰]购垢够		
kʰəu	1	抠		
kʰəu	3	口		
kʰəu	5	叩扣寇		
ŋəu	1	欧殴瓯鸥		
ŋəu	3	呕偶藕		
ŋəu	5	沤怄[～气]		
xəu	1	□[～嘞，表示同意]		
xəu	2	侯喉[～咙管]猴		
xəu	5	后候厚		
iəu				
miəu	5	谬		
tiəu	1	丢		
ȵiəu	1	妞		
ȵiəu	2	牛		
ȵiəu	3	扭纽钮		
ȵiəu	5	□[～皮，性格犟]		
liəu	1	溜[～子崽，无所事事的人]		
liəu	2	刘流留琉硫榴瘤		
liəu	3	柳		
liəu	5	溜[～弯]		
tɕiəu	1	州舟周洲纠揪髻鸠灸帚		
tɕiəu	3	酒□[～干帕子，拧干面巾]九久玖韭		
tɕiəu	5	宙□[把脑壳～过来，脑袋转过来]旧臼柩救舅		
tɕʰiəu	1	秋鳅抽		
tɕʰiəu	2	仇绸愁囚泅求球		
tɕʰiəu	3	丑[怕～，害羞]		
tɕʰiəu	5	臭就轴[~承]		
ɕiəu	1	收休修羞搜		
ɕiəu	3	手守首朽狩		
ɕiəu	5	寿[～料，棺材]受售授秀绣袖锈嗅=		
iəu	1	优忧幽悠		
iəu	2	肉[又读]柔尤由犹邮油游		
iəu	3	友有		
iəu	5	柚又右幼宥祐诱釉		
an				
pan	1	扳班般颁斑邦帮		
pan	3	□[～了一跤，摔了一跤]版坂阪榜		
pan	5	办扮瓣半伴蚌[～拐，蟾蜍]傍棒谤		
pʰan	1	□[～东西，砸东西]攀潘番[～禺，地名]蟠肨		
pʰan	2	盘槃膀滂庞旁螃		
pʰan	3	□[两人或两物相撞]		
pʰan	5	□[帮我～一下，帮我提一下东西]判盼叛泮胖		
man	1	□[抬起头]□[吃～～：专指小孩子吃饭]		
man	2	蛮瞒忙芒盲茫氓虻		
man	3	满晚[～～：叔叔]网-莽[～山，旅游景点]蟒		
man	5	馒慢蔓谩漫曼		
fan	1	番翻帆藩方坊芳		
fan	2	凡矾烦繁防妨房肪		
fan	3	反返仿访纺		
fan	5	犯泛饭范贩放		
tan	1	丹单担[～任]耽裆铛当[～时]		
tan	3	胆疸掸党挡		
tan	5	蛋担[～子]但诞弹[子～]淡宕荡档当[妥～]		
tʰan	1	坍贪摊滩瘫汤		
tʰan	2	坛谈痰谭潭檀弹[～琴]唐堂棠塘搪糖螳		
tʰan	3	坦毯倘躺趟		
tʰan	5	叹炭探烫		
nan	2	男南难[～过]囊瓤		
nan	5	难[灾～]		
lan	2	兰拦栏蓝篮郎狼廊榔螂		
lan	3	览揽榄懒缆朗冉		
lan	5	烂滥浪崀[～山，邵阳景点]		
tsan	1	章[宜～，地名]簪瞻占粘赃臧张樟		
tsan	3	攒斩盏涨掌长[生～]		
tsan	5	战暂赞栈蘸站绽葬涨丈仗帐杖胀账障瘴藏[宝～]脏[五脏]		
tsʰan	1	餐搀参[～加]仓苍舱昌		
tsʰan	2	残蚕惭谗蝉禅馋蟾肠场藏[隐～]长[～短]缠		
tsʰan	3	惨产铲厂敞		
tsʰan	5	灿忏颤唱		
san	1	三[～星桥，古桥]山衫珊搧羶桑伤商丧[～事]裳		
san	2	尝偿常		
san	3	伞散[～装]闪嗓晌赏陕		
