#ɿ																																																	
ȵ		凝																																															
ɕ	辛锌新薪欣心馨兴星腥猩	行形刑邢型	醒省{反~}	信衅辛姓性兴{高∽}																																													
Ø	因姻殷音阴荫英鹰婴樱缨鹦	淫银寅吟龈垠赢迎盈	引蚓隐瘾饮影颖	印映应																																													
#uən																																																	
调\n声	阴  平	阳  平	上 声	去 声																																													
t	敦墩蹲			顿吨盾遁盹																																													
tʰ		屯																																															
n		仑沦伦轮纶		论																																													
ts	遵尊		准																																														
tsʰ	村春椿	存	蠢	寸																																													
s	孙	绳纯唇淳醇	省损	顺舜																																													
z				闰润孕																																													
k			滚	棍																																													
kʰ	昆坤		捆	困																																													
x	昏婚荤浑	横魂		混																																													
Ø	温瘟酝蕴	文纹闻蚊	稳吻刎	问																																													
#yn																																																	
调\n声	阴 平	阳  平	上 声	去 声																																													
tɕ	均君军		炯窘迥锦	俊菌峻竣骏																																													
tɕʰ	顷倾	群裙琼																																															
ɕ	熏勋	寻旬询循巡驯		训迅讯汛殉逊																																													
Ø	晕	云匀营萤莹荧	永允吮尹	咏运泳晕韵熨陨																																													
#ɑᵑ																																																	
调\n声	阴 平	阳 平	上 声	去 声																																													
p	邦帮梆		榜磅膀绑	蚌棒谤傍																																													
pʰ		旁膀螃庞	膀{猪肘子}	胖																																													
m		忙盲芒茫	氓莽蟒																																														
f	方坊芳	房防妨	仿纺访	放																																													
t	当{∽心}裆		党挡档倘	当{∽作}荡宕																																													
tʰ	汤	唐糖堂膛螳棠塘	躺淌	趟烫																																													
n		囊郎廊榔螂琅狼	朗	浪																																													
ts	章彰樟张脏赃		长涨掌	丈仗杖帐账障瘴																																													
tsʰ	昌猖娼仓沧苍舱倡	长场肠	敞厂	唱畅怅																																													
s	伤商墒丧{治∽}桑	常嫦尝	偿赏嗓	上尚丧{∽失}																																													
z		□{身体虚弱无力}	嚷壤酿{∽酒}	让酿{∽肠：香肠}																																													
k	缸肛刚钢冈纲		港	杠虹{白}																																													
kʰ	康糠慷	杠		抗炕																																													
ŋ	咉{声音响亮}肮	昂																																															
x	夯	杭航行{∽列}	□{喘气}	巷项																																													
#iɑᵑ																																																	
调\n声	阴 平	阳 平	上 声	去 声																																													
n		良凉粮梁粱	两辆	亮量谅晾																																													
tɕ	江豇姜疆僵缰浆将{∽来}		讲蒋奖	降将{~帅}酱匠犟																																													
tɕʰ	枪腔筐{白；斗∽}	强墙	抢强{勉~}	像呛																																													
ȵ	娘	娘																																															
ɕ	相箱厢湘香乡襄镶	祥详翔降{投~}	想享响饷	向象橡相{∽貌}																																													
9.Ø	央秧殃	羊洋阳杨扬	养痒氧	样恙																																													
#uɑᵑ																																																	
调\n声	阴 平	阳 平	上 声	去 声																																													
ts	庄桩装妆			壮状撞																																													
tsʰ	窗疮创{∽伤}	床	闯	创{∽造}																																													
s	双霜		爽																																														
k	光胱		广	逛																																													
kʰ	筐{文；罗~}诓	狂诳		矿旷况																																													
x	荒慌	黄磺簧皇凰蝗	谎恍	晃幌																																													
Ø	汪	王亡	往枉网罔	忘妄旺望																																													
#oŋ																																																	
调\n声	阴 平	阳 平	上  声	去 声																																													
p	绷{床~子}																																																
pʰ	烹	朋鹏棚硼篷蓬	捧	碰																																													
m		蒙朦檬萌谋	猛蜢锰	孟梦贸茂																																													
f	风疯枫峰蜂锋封丰	缝逢冯	讽	凤俸缝{~隙}奉																																													
t	冬东		懂董																																														
tʰ	通	同铜童瞳筒	统桶	痛																																													
n	聋	隆农脓浓笼{~子}龙	拢垄陇笼{~罩}	弄																																													
ts	中盅忠钟终宗棕踪鬃综		种{~子}肿总	中{打∽}仲种{芒~}重{沉∽}众皱粽纵																																													
tsʰ	冲充匆葱从{~容}	从虫丛崇重{∽复}																																															
s	松		悚竦耸	宋讼送诵颂																																													
z		绒茸	冗																																														
k	公攻功蚣弓躬供{∽给}宫恭		巩汞拱	共贡供{上~}																																													
kʰ	空{∽手}		孔恐	空{~白}控																																													
x	烘哄{~堂}轰	红宏鸿弘洪虹{文；彩~}	哄{∽骗}	讧																																													
Ø	翁			瓮																																													
#ioŋ																																																	
调\n声	阴 平	阳 平	上 声	去 声																																													
tɕʰ		穷																																															
ɕ	凶胸兄	雄熊																																															
Ø	雍	容榕蓉熔融戎庸佣	拥勇涌踊蛹	用																																													
