汉字	注释	隆回荷香桥	隆回六都寨	隆回七江	隆回司门前	隆回金石桥	隆回小沙江	隆回西洋江	隆回横板桥	隆回岩口	隆回罗洪	隆回高坪	洞口石江	洞口江口	洞口长塘	洞口山门	洞口高沙	洞口花园	绥宁金屋塘	绥宁梅坪	绥宁黄土矿	绥宁唐家坊	绥宁瓦屋塘
洒		sa312	sa312	sa312	sa312	sa312	sa312	sa55	sa55	sa312	sᴀ312	sᴀ312	sa312	sa312	sa312	sᴀ312	sᴀ312	sᴀ312	sa312	sa312	sᴀ312	sᴀ312	sᴀ312
晒		sa45	sa55	sa55	sa55	sa55	sa55	sa45	sa45	sa55	sa45	sa55	sa24	sa24	sa24	sa45	sa24	sa35	sa24	sa24	sa35	sa55	sa35
街		ka33	ka33	ka33	ka33	ka33	ka33	ka55	ka55	ka33	ka33	ka33	ka55	ka55	ka55	ka55	ka55	ka55	ka55	ka55	ka33	ka33	ka33
解		ka312	ka312	ka312	ka312	ka312	ka312	ka312	ka312	ka312	ka312	ka312	ka312	ka312	ka312	ka312	ka312	ka312	ka312	ka312	ka312	ka312	ka312
捱	~打	a13	a13	a13	a13	a13	a13	a13	a13	a13	a13	a13	a13	ŋa13	ŋa13	a13	ŋa13	ka13	ŋa13	ŋa13	ŋa55	ŋa13	ŋa13
鞋		xa13	xa13	xa13	xa13	xa13	xa13	xa13	xa13	xa13	xa13	xa13	xa13	xa13	xa13	xa13	xa13	xa13	xa13	xa13	xa55	xa13	xa13
蟹		xe55	xa55	xa55	ɕɛ55	ɕɛ55	ɕɛ55	xa45	xa45	ɕe55	a55	xa55	xa55	xa55	xa55	a312	xiᴀ24	ka312	xa55	xa55	ŋa33	ŋa55	ŋa312
矮		a312	a312	a312	a312	a312	a312	a312	a312	a312	a312	a312	a312	ŋa312	a312	a312	ŋa312	ka312	ŋa312	ŋa312	a312	a312	a312
败		pʰa55	pʰa55	pʰa55	pʰa55	pʰa55	pʰa55	pʰa55	pʰa55	pʰa55	pʰa55	pʰa55	pʰa55	pʰa55	pʰa55	ɸa55	pʰa24	ɸa55	pʰa55	pʰa55	pʰa33	pʰa55	pʰa33
迈		ma55	ma45	ma45	ma45	ma55	ma55	ma45	ma45	ma45	ma55	ma55	ma55	ma55	ma55	ma45	ma24	ma35	ma55	ma55	ma33	ma55	ma35
寨		tsʰa55	tsʰa55	tsʰa55	tsʰa55	tsʰa55	tsʰa55	tsʰa55	tsʰa55	tsʰa55	tsʰa55	tsʰa55	tsʰa55	tsʰa55	tsʰa55	tsʰa55	tsʰa24	tsʰa55	tsʰa55	tsʰa55	tsʰa33	tsʰa55	tsʰa33
蔽		pʰi45	pʰi55	pʰi55	pʰi55	pi55	pi55	pi45	pi45	pi55	pʰi55	pi55	pi24	pi24	pi24	pi45	pi24	pi35	pi24	pi24	pi35	pi55	pi35
弊		pi45	pi45	pi45	pʰi55	pi55	pi55	pi45	pi45	pi55	pi55	pi55	pi24	pi24	pi24	pi45	pi24	pi35	pi24	pi24	pi33	pi55	pi35
厉		li55	li55	li55	li55	li55	li55	li55	li55	li55	li55	li55	li55	li55	li55	li55	li55	li55	li55	li55	li33	li55	li35
祭		tsi45	tsi55	tsi55	tsi55	tsi55	tɕi55	tsi45	tsi45	tsi55	tɕi55	tɕi55	tɕi24	tɕʅ24	tɕi24	tsi45	tɕi24	tsi35	tsi24	tsi24	tɕi35	tsi55	tsi35
制		tsɿ45	tsɿ55	tsɿ55	tsɿ55	tsɿ55	tsɿ55	tsɿ45	tsɿ45	tsɿ55	tsɿ55	tsɿ55	tsɿ24	tsɿ24	tsɿ24	tsɿ45	tsɿ24	tsɿ35	tsɿ24	tsɿ24	tsɿ35	tsɿ55	tsɿ35
世		sɿ45	sɿ55	sɿ55	sɿ55	sɿ55	sɿ55	sɿ45	sɿ45	sɿ55	sɿ55	sɿ55	sɿ24	sɿ24	sɿ24	sɿ45	sɿ35	sɿ35	sɿ24	sɿ24	sɿ35	sɿ55	sɿ35
誓		sɿ55	sɿ55	sɿ55	sɿ55	sɿ55	sɿ55	sɿ55	sɿ55	sɿ55	sɿ55	sɿ55	sɿ55	sɿ55	sɿ55	sɿ55	sɿ55	sɿ55	sɿ55	sɿ55	sɿ33	sɿ55	sɿ33
艺		n̩45	i45	n̩45	n̩45	n̩45/i55	i55	n45	n45	i55	i55	i55.	n̩55	n̩24	n̩24	ŋ̍45	n̩24	n̩35	i24/n̩24	i24/n̩24	i33/n̩33	n̩55	n̩35
蓖		pi55	pĩ55	pĩ55	pi55	pi55	pi55	pi55	pi55	ui13	pʰi55	pi55	pi55	pi55	pi55	ɸi55	pi55	pi55	pi55	pi55	pi33	pi55	pi33
闭		pi45	pi55	pi55	pi55	pi55	pi55	pi45	pi45	pi55	pi55	pi55	pi24	pi24	pi24	pi45	pi24	pi35	pi24	pi24	pi35	pi55	pi35
批		pʰi33	pʰi33	pʰi33	pʰi33	pʰi33	pʰi33	pʰi55	pʰi55	pʰi33	pʰi33	pʰi33	pʰi55	pʰi55	pʰi55	ɸi55	pʰi55	pʰi55	pʰi55	pʰi55	pʰi33	pʰi33	pʰi33
鐾		pʰi55	pʰi55	pʰi55	pʰi55	pʰi55	pʰi55	pʰi55	pʰi55	pʰi55	pʰi55	pʰi55	pʰi55	pʰi55	pʰi55	ɸi55	pi55	pi55	pʰi55	pʰi55	pi33	pi55	pi33
迷		mẽ312	mi312	me312	mẽ312	mẽ45	mẽ13	mẽ312	mẽ312	mi312	mẽ312	mi13	mẽ312	mẽ312	mẽ312	mẽ312	mĩ312	mĩ312	mẽ312	mẽ312	mĩ55	mĩ312	mĩ312
米		mẽ312	mẽ312	mẽ312	mẽ312	mẽ312	mẽ312	mẽ312	mẽ312	miə̃312	mẽ312	miə̃312	mẽ312	mẽ312	mẽ312	mẽ312	mĩ312	mĩ312	mẽ312	mẽ312	mĩ312	mĩ312	mĩ312
谜		mẽ45	mẽ45	mẽ55	mẽ55	mẽ45	mẽ13	mẽ45	mẽ45	miə̃55	mẽ45	miə̃13	mẽ55	mẽ55	mẽ55	mẽ312	mĩ312	mĩ312	mẽ55	mẽ55	mĩ35	mĩ312	mĩ312
低		ti33	ti33	ti33	ti33	ti33	ti33	ti55	ti55	ti33	ti33	ti33	ti55	ti55	ti55	ti55	ti55	ti55	ti55	ti55	ti33	ti33	ti33
底		ti312	ti312	ti312	ti312/45	ti45	ti45	ti312	ti312	ti312	ti312	ti312	ti312	ti312	tia312	tiɛ312	ti312	ti312	ti312	ti312	ta312	ti312	ti312
帝		ti45	ti55	ti55	ti55	ti55	ti55	ti45	ti45	ti55	ti55	ti55	ti24	ti24	ti24	ti45	ti24	ti35	ti24	ti24	ti35	ti55	ti35
梯		xi33	xi33	xi33	xi33	xi33	tʰi33	xi55	xi55	tʰi33	tʰi33	tʰi33	xi55	tʰi55	tʰi55	xiɛ55/xiɛ31	tʰi13	tʰi55	tʰi55	tʰi55	tʰə312	tʰi33	tʰi33
体		xi312	xi312	xi312	xi312	xi312	tʰi312	xi312	xi312	tʰi312	tʰi312	tʰi312	xi312	tʰi312	tʰi312	xi312	tʰi312	tʰi312	tʰi312	tʰi312	tʰi312	tʰi312	tʰi312
替		xi55	xi55	xi55	xi55	xi55	tʰi55	xi45	xi45	tʰi55	tʰi55	tʰi55	xi24	tʰi24	tʰi24	xi45	tʰi24	tʰi35	tʰi24	tʰi24	tʰi33	tʰi55	tʰi35
提		xe13	xi13	xi13	xiɛ13	xiᴀ13	tʰiᴀ13	xi13	xi13	tʰi13	tʰiᴀ13	tʰiᴀ13	xi13	tʰia13	tʰia13	xi13/xe13	tʰi13/tʰiᴀ13	tʰi13/tʰiɛ13	tʰia13	tʰia13	tʰi55/tʰiᴀ55	tʰi13/tʰiᴀ13	tʰi13/tʰiᴀ13
弟		xi55	xi55	xi55	xi55/xi31	xi55/xi31	tʰi55	xi55	xi55	tʰi55	tʰi55	tʰi55	xə312	tʰi312	tʰi312	xi55	tʰi24	tʰi55	tʰi312	tʰi312	tʰe33	tʰe55	tʰe33
第		xi55	xi55	xi55	xi55	xi55	tʰi55	xi55	xi55	tʰi55	tʰi55	tʰi55	xi55	tʰi55	tʰi55	xi55	tʰi24	tʰi55	tʰi55	tʰi55	tʰi33	tʰi55	tʰi33
泥		n̩13/le13	n̩13/le13	n̩13/le13	le13	lẽ13	lẽ13	n̩13/le13	n̩13/le13	n̩13/liə̃13	n̩13/lẽ13	liə̃13	n̩13/le13	n̩13/le13	n̩13/le13	n̩13/le13	n̩13/le13	n̩13/le13	n̩13/le13	n̩13/le13	n̩55/lẽ55	n̩13/lẽ13	n̩13/lẽ13
犁		le13	li13	li13	li13	li13	li13	li13	li13	li13	li13	li13	li13	li13	li13	li13	li13/le13	li13	li13	li13	li55	li13	li13
礼		li312	li312	li312	li312	li312	li312	li312	li312	li312	li312	li312	li312	li312	li312	li312	li312	li312	li312	li312	li312	li312	li312
隶		xi55	xi55	xi55	xi55	xi55	li55	tʰi45	xi45	tʰi55	xi55	tʰi55	xi55	tʰi55	tʰi55	tʰi55	tʰi55	li55	lii55	lii55	tʰi33	tʰi55	tʰi35
挤		tsi312	tsi312	tsi312	tsi312	tsi312	tɕi312	tsi312	tsi312	tsi312	tɕi312	tɕi312	tɕi312	tɕʅ312	tɕi312	tsi312	tɕi312	tsi312	tsi312	tsi312	tɕy312	tsi312	tsi312
妻		tsʰi33	tsʰi33	tsʰi33	tsʰi33	tsʰi33	tɕʰi33	tsʰi55	tsʰi55	tsʰi33	tɕʰi33	tɕʰi33	tɕʰi55	tɕʰʅ55	tɕʰi55	tsʰi55	tɕʰi55	tsʰi55	tsʰi55	tsʰi55	tɕʰi33	tsʰi33	tsʰi33
砌		tsʰe45	tsʰi55	tsʰi55	tsʰi55	tsʰi45	tɕʰi45	tsʰiɛ45	tsʰiɛ45	tsʰi55	tɕʰi55	tɕʰi55	tɕʰɛ24	tɕʰɛ24	tɕʰɛ24	tsʰi45	tɕʰiɛ24	tsʰi35	tsʰi24	tsʰi24	tɕʰi33	tsʰi55	tsʰi35
齐		tsʰi13	tsʰi13	tsʰi13	tsʰi13	tsʰi13	tɕʰi13	tsʰi13	tsʰi13	tsʰi13	tɕʰi13	tɕʰi13	tɕʰi13	tɕʰʅ13	tɕʰi13	tsʰi13	tɕʰi13	tsʰi13	tsʰi13	tsʰi13	tɕʰy55	tsʰi13	tsʰi13
荠		tsʰi13	tsʰi13	tsʰi13	tsʰi13	tsʰi13	tɕʰi13	tsʰi13	tsʰi13	tsʰi13	tɕʰi13	tɕʰi13	tɕʰi13	tɕʰʅ13	tɕʰi13	tsʰi13	tɕʰi13	tsʰi13	tsʰi13	tsʰi13	tɕʰi55	tsʰi55	tsʰi13
剂		tsi45	tsi45	tsi55	tsi45	tsi45	tɕi45	tsi45	tsi45	tsi55	tɕi55	tɕi55	tɕi55	tɕʅ55	tɕi55	tsi45	tɕi312	tsi35	tsi35	tsi35	ty33	tsi55	tsi35
西		si33	si33	si33	si33	si33	ɕi33	si55	si55	si33	ɕʅ33	ɕi33	ɕi55	ɕʅ55	ɕi55	si55	ɕi55	si55	si55	si55	ɕi33	si33	si33
洗		se312	si312	si312	si312	si312	ɕi312	se312	se312	si312	ɕʅ312	ɕi312	se312	sᴇ312	sᴇ312	se312	ɕi312/se312	se312	se312	se312	se312	se312	se312
细		si45/se45	si55/se55	si55/se55	si55	se55	se55	si45/se45	si45/se45	si55	ɕʅ55	ɕi55	ɕi24/se24	ɕi24/sᴇ24	ɕi24/sᴇ24	si45/se45	ɕi35/se35	si35/se35	si24/se24	si24/se24	ɕi35/se35	si55/se55	si35/se35
鸡		tɕi33	tɕi33	tɕi33	tɕi33	tɕi33	tɕi33	tɕi55	tɕi55	tɕi33	tɕi33	tɕi33	tɕi55	tɕʅ55	tɕʅ55	tɕi55	tɕʅ55	tɕʅ55	tɕʅ55	tɕʅ55	tɕy33	tɕi33	tɕi33
系		ki45	ki55	ki55	ki55	ɕi55	tɕi55	tɕi45	tɕi45	tɕi55	ɕʅ55	ɕʅ55	tɕi24	tɕʅ24	tɕʅ24	tɕi45	tɕʅ24	tɕʅ55	tɕʅ55	tɕʅ55	tɕi35	tɕi55	tɕi35
溪		tɕʰi33	tɕʰi33	tɕʰi33	tɕʰi33	tɕʰi33	tɕʰi33	tɕʰi55	tɕʰi55	ɕi33	tɕʰi33	tɕʰi33	tɕʰi55	tɕʰʅ55	tɕʰʅ55	tɕʰi55	tɕʰʅ55	tɕʰʅ55	tɕʰʅ55	tɕʰʅ55	tɕʰi33	tɕʰi33	tɕʰi33
启		tɕʰi312	tɕʰi312	tɕʰi312	tɕʰi312	tɕʰi312	tɕʰi312	tɕʰi312	tɕʰi312	tɕʰi312	tɕʰi312	tɕʰi312	tɕʰi312	tɕʰʅ312	tɕʰʅ312	tɕʰi312	tɕʰʅ312	tɕʰʅ312	tɕʰʅ312	tɕʰʅ312	tɕʰy312	tɕʰi312	tɕʰi312
契		tɕʰi45	tɕʰi55	tɕʰi55	tɕʰi55	tɕʰi55	tɕʰe55	tɕʰi55	tɕʰi55	tɕʰi55	tɕʰi55	tɕʰi55	tɕʰi55	tɕʰʅ55	tɕʰʅ55	tɕʰi55	tɕʰʅ55	tɕʰʅ55	tɕʰʅ55	tɕʰʅ55	tɕʰi35	tɕʰi55	tɕʰi35
係		ɕi45	ɕi55	ɕi55	ɕi55	ɕi55	ɕi55	ɕi45	ɕi45	ɕi55	ɕʅ55	ɕʅ55	ɕi55	ɕʅ55	ɕʅ55	ɕi45	ɕʅ24	ɕʅ35	ɕʅ24	ɕʅ24	ɕi33	ɕi55	ɕi35
杯		pe33	pe33	pe33	pe33	pe33	pe33	pe55	pe55	pe33	pe33	pe33	pe55	pᴇ55	pᴇ55	pe55	pe55	pe55	pe55	pe55	pe33	pe33	pe33
辈		pe45	pe55	pe55	pe55	pe55	pe55	pe45	pe45	pe55	pe55	pe55	pe24	pᴇ24	pᴇ24	pe45	pe24	pe35	pe24	pe24	pe35	pe55	pe35
坯		pʰe33	pʰe33	pʰe33	pʰe33	pʰe33	pʰe33	pʰe55	pʰe55	pʰe33	pʰe33	pʰe33	pʰe55	pʰᴇ55	pʰᴇ55	ɸe55	pʰe55	pʰe55	pʰe55	pʰe55	pʰe33	pʰe33	pʰe33
配		pʰe45	pʰe55	pʰe55	pʰe55	pʰe55	pʰe55	pʰe45	pʰe45	pʰe55	pʰe55	pʰe55	pʰe24	pʰᴇ24	pʰᴇ24	ɸe45	pʰe24	pʰe35	pʰe24	pʰe24	pʰe33	pʰe55	pʰe35
陪		pʰe13	pʰe13	pʰe13	pʰe13	pʰe13	pʰe13	pʰe13	pʰe13	pʰe13	pʰe13	pʰe13	pʰe13	pʰᴇ13	pʰᴇ13	ɸe13	pʰe13	pʰe13	pʰe13	pʰe13	pʰe55	pʰe13	pʰe13
倍		pʰe55	pʰe55	pʰe55	pʰe55	pʰe55	pʰe55	pʰe55	pʰe55	pʰe55	pʰe55	pʰe55	pʰe55	pʰᴇ55	pʰᴇ55	ɸe55	pʰe24	pʰe55	pʰe55	pʰe55	pʰe33	pʰe55	pʰe33
背		pʰe312	pʰe312	pʰe312	pʰe312	pʰe312	pʰe312	pʰe312	pʰe312	pʰe33	pʰe312	pʰe312	pʰe312	pʰᴇ312	pʰᴇ312	ɸe312	pʰe312	pʰe312	pʰe312	pʰe312	pʰe312	pʰe312	pʰe312
媒		me13	me13	me13	me13	me13	me13	me13	me13	me13	me13	me13	me13	mᴇ13	mᴇ13	me13	me13	me13	me13	me13	me55	me13	me13
每		me312	me312	me312	me312	me312	me312	me312	me312	me312	me312	me312	me312	mᴇ312	mᴇ312	me312	me312	me312	me312	me312	me312	me312	me312
妹		me55	me55	me55	me55	me55	me55	me45	me45	me55	me55	me55	me55	mᴇ24	mᴇ55	me45	me24	me55	me55	me55	me33	me55	me33
堆		tue33	tue33	tue33	tue33	tue33	te33	te55	te55	tue33	te33	te33	te55	tᴇ55	tᴇ55	te55	te55	te55	te55	te55	te33	te33	te33
对		tue45	tue55	tue55	tue55	tue55	te55	te45	te45	tue55	te55	te55	te24	tᴇ24	tᴇ24	te45	te24	te35	te24	te24	te35	te55	te35
推		tsʰue33	ɸue33	xue33	ɸue33	tʰue33	tʰe33	tsʰue55	pʰue55	tʰue33	xe33	tʰe33	xe55	tʰᴇ55	tʰᴇ55	ɸe55	tʰe55	te55	tʰe55	tʰe55	te33	te33	te33
腿		pʰe312	ɸue312	xue312	ɸue312	tʰue312	tʰe312	pʰe312	pʰe312	tʰue312	xe312	tʰe312	pʰe312	tʰᴇ312	pʰᴇ312	ɸe312	tʰe312	pʰe312	tʰe312	tʰe312	tʰe312	tʰe312	tʰe312
退		xue55	ɸue55	xue55	ɸue55	tʰue55	tʰe55	pʰe45	pʰe45	tʰue55	xe55	tʰe55	pʰe24	tʰᴇ24	pʰᴇ24	ɸe45	tʰe24	tʰe35	tʰe24	tʰe24	tʰe33	tʰe55	tʰe35
队		tue55	tue55	tue55	tue55	tue55	te55	tue55	te55	tue55	te55	tʰe55	te55	tᴇ55	tᴇ55	te55	te55	te55	te55	te55	te35	te55	te35
内		lue55	le55	le55	le55	le55	le55	lue55	le55	le55	le55	le55	le55	lᴇ55	lᴇ55	le55	le55	le55	le55	le55	le33	le55	le33
雷		lue13	lue13	lue13	lue13	lue13	le13	lue13	le13	lue13	le13	le13	le13	lᴇ13	lᴇ13	le13	le13	le13	le13	le13	le55	le13	le13
累		lue55	lue55	lue55	lue55	lue55	le55	lue55	lue55	lue55	le55	le55	le55	lᴇ55	lᴇ55	le55	le55	le55	le55	le55	le33	le55	le33
催		tsʰue33	tsʰue33	tsʰue33	tsʰue33	tsʰue33	tsʰe33	tsʰue55	tsʰue55	tsʰue33	tsʰue33	tsʰe33	tsʰe55	tsʰᴇ55	tsʰᴇ55	tsʰue55	tsʰe55	tsʰe55	tsʰe55	tsʰe55	tsʰe33	tsʰe33	tsʰe33
罪		tsʰue55	tsʰue55	tsʰue55	tsʰue55	tsʰue55	tsʰe55	tsʰue55	tsʰue55	tsʰue55	tsʰue55	tsʰe55	tsʰe55	tsʰᴇ55	tsʰᴇ55	tsʰue55	tse24	tsʰe55	tsʰe55	tsʰe55	tsʰe312	tsʰe55	tsʰe33
碎		sue55	sue55	sue55	sue55	sue55	se55	sue45	sue45	sue55	sue55	se55	se24	sᴇ24	sᴇ24	sue45	se24	se35	se24	se24	se35	se55	se35
魁		kʰui33	kʰui33	kʰui33	kʰui33	kʰue33	kʰue33	kʰue55	kʰue55	kʰui13	kʰui33	kʰue33	kʰue55	kʰuᴇ55	kʰuᴇ55	kʰue55	kʰue55	kʰue55	kʰue55	kʰue55	kʰue33	kʰue55	kʰue35
傀		kʰua312	kʰui312	kʰui312	kʰui312	kʰue312	kʰue312	kʰua312	kʰua312	kʰua312	kʰua312	kʰua312	kʰua312	kʰua312	kʰua312	kʰua312	kʰua312	kʰue312	kʰue312	kʰue312	kʰue312	kʰue312	kʰue312
块		kʰua45	kʰua55	kʰua55	kʰua55	kʰua55	kʰua312	kʰua312	kʰua312	kʰua55	kʰua55	kʰua55	kʰua312	kʰua312	kʰua312	kʰua45	kʰua24	kʰua35	kʰua35	kʰua35	kʰua35	kʰua55	kʰua33
桅		ui13	ui13	ui13	ue13	ue13	ue13	ui13	ui13	ui33	ue13	ue13	ui55	uᴇ55	uᴇ55	ue13	ue13	ue13	ue13	ue13	ue55	ue13	ue13
灰		xue33	xue33	xue33	xue33	xue33	xue33	xue55	xue55	xue33	fe33	xue33	fe55	xuᴇ55	xuᴇ55	xue55	fe55	xue55	xue55	xue55	fe33	fe33	fe33
悔		xue312	xue312	xue312	xue312	xue312	xue312	xue312	xue312	xue312	fe312	xue312	fe312	xuᴇ312	xuᴇ312	xue45	fe24	xue35	xue312	xue312	fe35	fe312	fe312
晦		xue45	xue55	xue55	xue55	xue55	xue55	xue45	xue45	xue55	fe55	xue55	fe24	xuᴇ24	xuᴇ24	xue45	fe24	xue35	xue35	xue35	fe35	fe55	fe35
回		ue13	ue13	ue13	ue13	ue13	xue13	xue13	xue13	ue13	ue13	xue13	fe13	uᴇ13	xuᴇ13	xue13	ue13	ue13	ue13	ue13	fe55	ue13	ue55
汇		xue55	xue55	xue55	xue55	xue55	xue55	xue45	xue45	xue55	fe55	xue55	fe55	xuᴇ55	xuᴇ55	xue45/ue45	fe24	xue35	xue35	xue35	fe33	fe55	fe33
煨		ue55	ue55	ue55	ue55	ue55	ue55	ue55	ue55	ue55	ue55	ue55	ue55	uᴇ55	uᴇ55	ue55	ue55	ue55	ue55	ue55	ue33	ue33	ue33
兑		tue55	tue55	tue55	tue55	tue55	te55	te45	te45	tue55	te55	te55	te55	tᴇ55	tᴇ55	te45	te24	te35	te35	te35	tʰe33	te55	te35
最		tsue45	tsue55	tsue55	tsue55	tsue55	tɕi55	tsue45	tsue45	tsue55	tsue55	tse55	tsue24	tsᴇ24	tsᴇ24	tsue45	tse24	tsue35	tse35	tse35	tse35	tse55	tse35
会		xue55	xue55	xue55	xue55	xue55	xue55	xue55	xue55	kʰua55	kʰua55	kʰua55	kʰua24	kʰua24	kʰua24	xue55	kʰua24	kʰua35	kʰua35	kʰua35	kʰua35	kʰua55	kʰua35
外		ue55	ue55	ue55	ue55	ue55	ua55	ue55	ue55	ue55	ue55	ue55	ua55	ua55	ua55	ue55	ue55	ue55	ue55	ue55	ua33	ua55	ua33
会		xue55	xue55	xue55	xue55	xue55	xue55	xue55	xue55	xue55	fe55	xue55	fa55	xue55	fa55	xue55	xue24	xue55	xue55	xue55	fe33	fe55	fe33
乖		kua33	kua33	kua33	kua33	kua33	kua33	kua55	kua55	kua33	kua33	kua33	kua55	kua55	kua55	kua55	kua55	kua55	kua55	kua55	kua33	kua33	kua55
怪		kua55	kua55	kua55	kua55	kua55	kua55	kua45	kua45	kua55	kua55	kua55	kua24	kua24	kua24	kua45	kua24	kua35	kua35	kua35	kua35	kua55	kua35
块		kʰua312	kʰua312	kʰua312	kʰua312	kʰua312	kʰua312	kʰua312	kʰua312	kʰua312	kʰua312	kʰua312	kʰua312	kʰua312	kʰua312	kʰua45	kʰua24	kʰua35	kʰua35	kʰua35	kʰua35	kʰua55	kʰua35
怀		xua13	xua13	xua13	xua13	xua13	xua13	xua13	xua13	xua13	fa13	ua13	fa13	xua13	xua13	xua13	xua13	xua13	xua13	xua13	fa55	fa13	fa13
坏		xua55	xua55	xua55	xua55	xua55	xua55	xua55	xua55	xua55	fa55	xua55	fa55	xua55	xua55	xua55	xua55/24	xua55	xua55	xua55	fa33	fa55	fa33
柺		kua312	kua312	kua312	kua312	kua312	kua312	kua312	kua312	kua312	kua312	kua312	kua312	kua312	kua312	kua312	kua312	kua312	kua312	kua312	kua312	kua312	kua312
卦		kuᴀ45	kuᴀ55	kuᴀ55	kuᴀ55	kuᴀ55	kuᴀ55	kuᴀ45	kuᴀ45	kuᴀ55	kuᴀ55	kuᴀ55	kuᴀ24	kuᴀ24	kuᴀ24	kuᴀ45	kuᴀ24	kuᴀ35	kuᴀ24	kuᴀ24	kuᴀ35	kuᴀ55	kuᴀ35
歪		ua33	ua33	ua33	ua33	ua33	ua33	ua55	ua55	ua33	ua33	ua33	ua55	ua24	ua55	ua55	ua55	ua55	ua24	ua24	ua33	ua33	ua33
画		xuᴀ55	xuᴀ55	xuᴀ55	xuᴀ55	xuᴀ55	xuᴀ55	xuᴀ45	xuᴀ45	xuᴀ55	fᴀ55	xuᴀ55	fᴀ55	xuᴀ24	xuᴀ55	xuᴀ45	xuᴀ24	xuᴀ35	xuᴀ24	xuᴀ24	xuᴀ33	xuᴀ55	xuᴀ33
蛙		uᴀ33	uᴀ33	uᴀ33	uᴀ33	uᴀ33	uᴀ33	uᴀ55	uᴀ55	uᴀ33	uᴀ33	uᴀ33	uᴀ55	uᴀ55	uᴀ55	uᴀ55	uᴀ24	uᴀ55	uᴀ55	uᴀ55	uᴀ33	uᴀ33	uᴀ33
快		kʰua45	kʰua55	kʰua55	kʰua55	kʰua55	kʰua55	kʰua45	kʰua45	kʰua55	kʰua55	kʰua55	kʰua24	kʰua24	kʰua24	kʰua45	kʰua24	kʰua35	kʰua24	kʰua24	kʰua35	kʰua55	kʰua35
话		uᴀ55	uᴀ55	uᴀ55	uᴀ55	uᴀ55	uᴀ55	uᴀ55	uᴀ55	uᴀ55	uᴀ55	uᴀ55	uᴀ55	uᴀ55	uᴀ55	uᴀ55	uᴀ55	uᴀ55	uᴀ55	uᴀ55	uᴀ33	uᴀ55	uᴀ33
脆		tsʰui45	tsʰui55	tsʰui55	tsʰui55	tsʰue55	tsʰui55	tsʰʅ45	tsʰʅ45	tsʰy55	tsʰui55	tsʰi55	tsʰui24	tsʰui24	tsʰui24	tsʰʅ45	tsehe24	tɕʰi55	tsʰi24	tsʰi24	tsʰe35	tsʰy55	tsʰe35
岁		sui45	sui55	sui55	sui55	sue55	ɕiu55	sʅ45	sʅ45	sy55	ɕiu55	si55	ɕʅ24	ɕi24	ɕi24	sʅ45	se24	ɕʅ35	si24	si24	ɕy35	ɕy55	ɕy35
赘		tsui45	tsui55	tsui55	tsui55	tsue55	tse55	tse55	tse55	tsui55	tɕiu55	tse33	tsui24	tsui24	tsui24	tsue55	tse55	tse55	tsi24	tsi24	tse33	tse55	tse33
税		sui45	sui55	sui55	sui55	sue55	ɕi55	ɕʅ45	ɕʅ45	sy55	ɕy55	ɕy55	ɕʅ24	ɕʅ24	ɕʅ24	ɕʅ45	ɕʅ24	ɕʅ35	ɕʅ24	ɕʅ24	ɕy35	ɕy55	ɕy35
鳜		kue55	kue55	kue55	kue55	kue55	kue55	kue55	kue55	kui55	kue55	kue55	kui24	kui24	kui24	kue55	kue55	kue55	kui24	kui24	kue55	kue55	kue55
卫		ui45	ui55	ui55	mi55	ue55	ue55	mi45	mi45	ue55	ue55	ue55	mi55	ui55	ui55	mi45	ue24	ue35	ui55	ui55	ue35	ui55	ui35
废		fi45	fi55	fi55	fi55	fi55	fi55	fi45	fi45	fi55	fe55	xe55	fi24	fi24	fi24	fi45	fe24	xue35	fi24	fi24	fe35	fi55	fi35
肺		fi45	fi55	fi55	fi55	fi55	fi55	fi45	fi45	fi55	fe55	xe55	fi24	fi24	fi24	fi45	fe24	xue35	fi24	fi24	fe35	fi55	fi35
秽		y45	y55	u55	u55	y55	y55	ɕʅ45	ɕʅ45	y55	y55	y55	ʅ24	ʅ24	ʅ24	ʅ45	ʅ55	ʅ55	ʅ24	ʅ24	y33	y55	y35
闺		kui33	kui33	kui33	kui33	kue33	kue33	kui55	kui55	kui33	kue33	kue33	kui55	kui55	kui55	kui55	kue55	kue55	kui55	kui55	kue33	kui33	kui33
桂		kui45	kui55	kui55	kui55	kue55	kue55	kui45	kui45	kui55	kue55	kue55	kui24	kui24	kui24	kui45	kue24	kue35	kui24	kui24	kue35	kui55	kui35
惠		xue55	xue55	xue55	xue55	xue55	xue55	xue45	xue45	xue55	xue55	xue55	fe55	xue55	xue55	xue45	fe24	xue35	xue55	xue55	fe35	fe55	fe35
碑		pe33	pe33	pe33	pe33	pe33	pe33	pe55	pe55	pe33	pe33	pe33	pe55	pe55	pe55	pe55	pe55	pe55	pe55	pe55	pe33	pe33	pe33
彼		pʰi312	pʰi312	pʰi312	pi312	pi312	pi312	pi312	pi312	pʰi312	pʰi312	pi312	pi312	pʰi312	pi312	ɸi312	pi312	pi312	pʰi312	pʰi312	pi312	pi312	pi312
臂		pi45	pi55	pi55	pʰi55	pʰi55	pi55	pʰi45	pʰi45	pi55	pi55	pi55	pʰi24	pi24	pʰi24	pi45	pʰi24	pʰi35	pi24	pi24	pʰi312	pʰi55	pʰi35
