#a			1阴平53 3阴上45 4阳上242 5阴去33 6阳去21 7a上阴入55 7b下阴入33 8a上阳入21 8b下阳入24				
s	[1]擤{~鼻:擤鼻涕}						
k	[3]耿[6]哽{~颈}						
h	[1]亨哼[3]肯[6]恒衡						
ŋ	[5]□{鼻~头:鼻子顶端}[6]□{糊涂}						
#iɐŋ							
Ø	[1]□{眼□iɛ1~:皱眉头}						
#uɐŋ							
k	[1]轰						
kʰ	[5]□{~犁耙:挂犁耙}						
Ø	[6]宏弘						
#ɛ							
m	[1]□{手指~:六指儿}						
l	[5]□{手指~:手指缝}						
ts	[4]□{~药水:涂药水}[5]□{阿~:小老婆}						
kʰ	[1]□{屎的俗称}[6]茄						
ŋ	[1]□{婴儿}						
#iɛ							
Ø	[1]□{眼~□iɐŋ5:皱眉头}[4]也						
#ɛu							
p	[1]包胞苞鲍鉋[3]饱[5]豹爆[6]刨瓢嫖						
pʰ	[1]泡{水~}抛脬跑[5]炮泡						
m	[4]卯[5]猫[6]茅锚苗描庙						
t	[6]调{~节，~动}掉□{一趟，去~婆屋:去一趟外婆家(即去看望外婆)}						
n	[6]尿						
l	[1]鹩{~哥:八哥}[5]聊寥[6]料燎疗僚嘹镣廖						
ts	[3]剿帚[5]罩□{~鱼,炸鱼(油放得多)}[6]巢噍						
tsʰ	[1]抄钞[3]炒吵[5]钹						
s	[1]稍[5]潲[6]韶绍□{~眼:用眼角打暗号}						
k	[1]交{~通。门~:门槛}郊胶茭绞[3]狡铰搞搅饺[5]教校较窖觉酵{发~糍:当地用发酵的米浆蒸的糕}						
kʰ	[1]敲[3]□{男阴}						
h	[1]酵{读字}[5]孝[6]效校						
ŋ	[4]咬[5]坳						
#iɛu							
Ø	[3]爪						
#ɛn							
p	[3]贬板版扁匾[4]辨辩辫[6]瓣便{~宜，大~，方~}汴						
m	[5]□{~靓:很漂亮}[6]面{洗~}						
t	[5]□{水溅起来}[6]电殿奠垫淀靛						
n	[3]碾撚撵捏[6]念						
l	[1]怜[6]练棟						
ts	[3]盏[6]惭暂渐残贱						
