tsɿ²⁴ 咨兹资恣芝之支枝知蜘滋痴
piɛ̃⁴² 扁饼便{方~}
piɛ̃³³ 变辩
pʰiɛ̃²⁴ 篇偏遍
pʰiɛ̃²¹³ 平便{~宜}
pʰiɛ̃⁴² 骗
pʰiɛ̃³³ 片坪
miɛ̃²¹³ 名棉免绵眠
miɛ̃⁴² 勉缅
miɛ̃³³ 面命{白}
tiɛ̃²⁴ 癫颠
tiɛ̃⁴² 点典碘
tiɛ̃³³ 钉{名词}钉{动词}定店垫甸
tʰiɛ̃²⁴ 天添听
tʰiɛ̃²¹³ 田填甜
tʰiɛ̃³³ 电垫
liɛ̃²⁴ 领衣领
liɛ̃²¹³ 连联莲廉帘怜镰然灵{白}
liɛ̃⁴² 领{~东西}染
liɛ̃³³ 恋练炼
tɕiɛ̃²⁴ 尖坚煎沾{白}
tɕiɛ̃⁴² 捡检剪荐展{白}
tɕiɛ̃³³ 镜剑箭健建键占{白}
tɕʰiɛ̃²⁴ 青清轻牵迁签谦千
tɕʰiɛ̃²¹³ 缠钱前潜钳乾
tɕʰiɛ̃⁴² 请遣歉谴浅
tɕʰiɛ̃³³ 贱欠{文}
ɕiɛ̃²⁴ 仙鲜掀腥
ɕiɛ̃²¹³ 嫌涎
ɕiɛ̃⁴² 显炫选{白}现癣醒险蝉
ɕiɛ̃³³ 扇线陷献腺羡善{白}欠{白}现{陈旧的，~菜}
iɛ̃²⁴ 烟掩焰
iɛ̃²¹³ 言严妍炎盐延阎檐
iɛ̃⁴² 演
iɛ̃³³ 艳雁燕验宴厌
pu⁴² 补
pu³³ 布怖
pʰu²⁴ 部簿埠铺扑芙{白}
pʰu²¹³ 蒲葡菩脯仆蹼
pʰu⁴² 埔普谱
pʰu³³ 步瀑
mu⁴² 母拇
mu³³ 慕{文}
fu²⁴ 妇肤敷芙{文}
fu²¹³ 浮{文}幅符扶蝠俘
fu⁴² 辅府抚斧苦{文}
fu³³ 裤付赋负副富
tu⁴² 赌肚{文}堵嘟
tu³³ 渡妒镀
tʰu²⁴ 肚{白}突凸
tʰu²¹³ 图涂徒屠
tʰu⁴² 土
tʰu³³ 度兔
vu²⁴ 乌
vu²¹³ 糊胡{~子}
vu³³ 误
lu²⁴ □{锈、生锈}
lu²¹³ 庐炉炉卢颅奴如
lu⁴² 鲁卤虏努
lu³³ 露鹭路陆禄赂璐
tsu²⁴ 租
tsu⁴² 组祖诅
tsu³³ 筑做驻蛛
tsʰu²⁴ 粗初
tsʰu²¹³ 楚
tsʰu⁴² 础搓
tsʰu³³ 醋促助
su²⁴ 束梳蔬苏酥
su⁴² 数{动词}所署戍竖
su³³ 术诉塑数{~学}
ku²⁴ 估孤箍菇
ku²¹³ 骨{文}
ku⁴² 牯股鼓
ku³³ 顾固
kʰu²⁴ 枯
kʰu⁴² 苦{文}库
u²⁴ 巫诬杌
u²¹³ □{涂}吴{文}梧
u⁴² 武舞伍
u³³ 误雾恶{可~}
kue²⁴ 刮{白}国归龟规硅骨{白}
kue⁴² 鬼{文}
kue³³ 贵柜桂
kʰue²⁴ 亏窥盔括{白}
kʰue²¹³ 葵逵
kʰue⁴² 跪{北乡话}
kʰue³³ 溃馈愧
ue²⁴ 煨{文}位威物
ue²¹³ 危围{文}唯维{文}
ue⁴² 伟委{文}
ue³³ 谓卫胃{文}
kuᴀ²⁴ 瓜刮{文}
kuᴀ²¹³ 褂
kuᴀ⁴² 寡剐
kuᴀ³³ 挂卦
kʰuᴀ²⁴ 夸括{文}
kʰuᴀ⁴² 垮
kʰuᴀ³³ 胯
uᴀ²⁴ 洼百{白}
uᴀ²¹³ 哇
uᴀ⁴² 瓦量词
uᴀ³³ 话{白}
kuo²⁴ 郭谷
kuo⁴² 果
kuo³³ 过□{这个}
kʰuo²⁴ 扩廓
uo²⁴ 锅握喔窝屋涡倭蜗莴
kuæ²⁴ 乖
kuæ⁴² 拐
kuæ³³ 怪
kʰuæ³³ 快筷哙会{~计}
uæ²⁴ 挖歪
uæ⁴² 崴
uæ³³ 块
kuã²⁴ 关{新}观棺
kuã 管馆贯
kuã³³ 官灌冠罐惯
kʰuã²⁴ 宽欢{老}
kʰuã⁴² 款
kʰuã³³ 关{老}
uã²⁴ 弯
uã²¹³ 横{白}玩{~具}完顽还{~钱}
uã⁴² 碗丸
uã³³ 万湾换{白}
kuɔ̃²⁴ 光
kuɔ̃⁴² 广
kuɔ̃³³ 逛
kʰuɔ̃²⁴ 框筐眶
kʰuɔ̃²¹³ 狂
kʰuɔ̃³³ 况旷矿
uɔ̃²⁴ 汪
uɔ̃²¹³ 王黄
uɔ̃⁴² 网{文}望
uɔ̃³³ 半忘往旺枉
kuẽ⁴² 滚
kuẽ³³ 棍
kʰuẽ²⁴ 坤琨昆荤{文}
kʰuẽ⁴² 捆
kʰuẽ³³ 困
uẽ²⁴ 温{文}瘟{文}
uẽ²¹³ 闻{文}纹文{文}
uẽ³³ 问{文}
ty²⁴ 猪□{留下}
ty⁴² 拄□{用尖端物体戳}
ly²¹³ 驴
ly³³ 律{文}
tɕy²⁴ 焗鞠拘狙朱追珠
tɕy²¹³ □{豆荚，毛豆~}
tɕy⁴² 举据具煮主鬼{白}
tɕy³³ 剧贵{南乡腔}句锯拒矩注
tɕʰy 渠屈区蛐吹炊
tɕʰy²¹³ 厨除储橱锄锤垂
tɕʰy⁴² 取处跪{城关话}
tɕʰy³³ 住距翠
ɕy²⁴ 输舒殊书需须圩虚
ɕy²¹³ 薯徐随隋
ɕy⁴² 暑水鼠曙许答应
ɕy³³ 税树序绪婿遂隧柱
y²⁴ 芋
y²¹³ 愚于余娱
y⁴² 语宇雨
y³³ 玉喻裕预郁誉盂
miu³³ 谬
tiu²⁴ 丢猪{西乡话}
liu²⁴ 溜
liu²¹³ 刘流留瘤硫
liu⁴² 柳缕铝吕旅□{瞪}
liu³³ 榴虑
tɕiu²⁴ 鳅揪纠周洲舟
tɕiu²¹³ 帚
tɕiu⁴² 酒九久韭
tɕiu³³ 救究臼疚
tɕʰiu²⁴ 秋邱抽
tɕʰiu²¹³ 求球囚仇酬绸
tɕʰiu⁴² 丑
tɕʰiu³³ 臭舅旧
ɕiu²⁴ 收修休羞
ɕiu²¹³ 泅
ɕiu⁴² 守首
ɕiu³³ 受兽寿授秀绣嗅袖
iu²⁴ 又优幽□{缠绕}
iu²¹³ 油游尤邮鱿
iu⁴² 有
iu³³ 右诱佑釉
lyɵ²⁴ 掠
lyɵ³³ 虐
tɕyɵ²⁴ 决爵崛撅蕨
tɕyɵ³³ 诀嘴
tɕʰyɵ²⁴ 缺{动词}出
tɕʰyɵ⁴² 阙
tɕʰyɵ³³ 绝
ɕyɵ²⁴ 血靴喝说{白}
ɕyɵ³³ 穴□{剔出}
yɵ²⁴ 阅乐{音~}
yɵ⁴² □{折断}
yɵ³³ 月粤域
tɕỹ²⁴ 军君均准
tɕỹ³³ 骏菌俊钧竣□{小溪}
tɕʰỹ²⁴ 春
tɕʰỹ 群裙唇
tɕʰỹ⁴² 蠢
ɕỹ²⁴ 兄{白}熏勋
ɕỹ²¹³ 纯纯醇巡询
ɕỹ³³ 训讯迅殉
ỹ²⁴ 晕
ỹ²¹³ 云匀耘芸
ỹ⁴² 允尹永
ỹ³³ 韵酝运孕熨
tɕyɵ̃²⁴ 捐娟鹃砖专
tɕyɵ̃⁴² 卷眷
tɕyɵ̃³³ 倦劵转传{水浒~}
tɕʰyɵ̃²⁴ 圈
tɕʰyɵ̃²¹³ 全权泉拳荃痊传{~达}
tɕʰyɵ̃³³ 劝
ɕyɵ̃²⁴ 宣
ɕyɵ̃²¹³ 船玄悬旋弦
ɕyɵ̃⁴² 选{文}
ɕyɵ̃³³ 县
yɵ̃²⁴ 远渊
yɵ̃²¹³ 原圆元缘袁园员援铅
yɵ̃⁴² 软
yɵ̃³³ 院
