汉字	注释	隘子
騙		pʰien55
便	方~	pʰien31
恩		mien55
箭		tɕien55
賤		tɕʰien31
線		ɕien55
羨		ɕien55
戰		tsan55
顫		tsan55
扇		san55
諺		ien31
別		pʰiet5
滅		met5
列		liet5
烈		liet5
裂		liet5
薛		ɕiet2
泄		ɕiet2
哲		tsat2
徹		tsʰat2
撤		tsʰat2
折		tsat2
浙		tsat2
舌		sat5
設		sak2
熱		ɲiet5
傑		tɕʰiet5
孽		ɲiet2
言		ɲien11
軒		ɕien33
掀		ɕin33
鍵		tɕien31
建		tɕien31
健		tɕʰien31
憲		ɕien55
獻		ɕien55
堰		ien55
揭		tɕʰiet2
歇		ɕiet2
邊		pien33
眠		min11
顛		tien33
天		tʰien33
田		tʰien11
填		tʰien11
年		ɲien11
憐		lien11
蓮		lien11
箋		tɕʰien33
千		tɕʰien33
前		tɕʰien11
先		ɕien33
先	~生	sen33
肩		tɕien33
堅		tɕien33
牽		tɕʰien33
研		ɲien33
賢		ɕien11
弦		ɕien11
煙		ien33
扁		pien31
匾		pien31
辮		pien33
典		tien31
攆		/
繭		/
筧	以竹通水	tɕien31
顯		ɕien31
遍	~地	pʰien33
片		pʰien31
麵		mien31
電		tʰien31
奠		tien31
墊		tʰien31
墊		tʰiak5
練		lien31
鍊		lien31
薦		tɕien55
見		tɕien55
硯		/
現		ɕien31
燕	~子	ien55
宴		ien55
撇		pʰiet2
篾		miet5
鐵		tʰiet2
捏		net2
節		tɕiet2
切	~開	tɕʰiet2
截		tɕʰiet5
屑	木~	/
結		tɕiet2
潔		tɕiet2
般		pan33
搬		pan33
潘		pʰan33
拚	~命	pʰin55
盤		pʰan11
瞞		man11
饅		man11
端		ton33
團		tʰon11
鸞		non31
鑽	動詞	tson55
酸		son33
官		kuan33
棺		kuan33
觀	參~	kuan33
冠	衣~	kuan55
寬		kʰuan33
歡		fan33
完		van11
丸		van11
豌		van31
伴		pʰan55
拌		pan55
滿		man33
短		ton31
斷	~絕	tʰon33
暖		non33
卵		lon31
纂		tsʰon55
管		kuan31
館		kuan31
款		kʰan31
緩		fan31
碗		van31
半		pan55
絆		pʰan55
判		pʰan55
叛		pʰan31
漫		man31
斷	決~	tʰon31
鍛		tʰon31
段		tʰon31
緞		tʰon31
亂		lon31
鑽	名詞	tson55
竄		tsʰon55
算		son55
蒜		son55
貫		kuan55
罐		kuan55
冠	~軍	kuan55
玩	古~	van31
喚		fan31
煥		fan31
換		van31
腕		van31
鉢		pat2
撥		pat2
潑		pʰat2
鈸		pʰat5
末		mat5
抹		mat2
脫		tʰot2
奪		tʰot5
捋	~袖	lot5
撮	一~米	tsut2
括	包~	kuat2
闊		kʰuat2
活		fat5
頑		ŋan11
幻		fan55
滑		vat5
猾		vat5
挖		va33
挖		vat2
挖		vet2
挖		iet2
閂		son33
拴		ɕion33
關		kuan33
還	~原	fan11
還		van11
還	~有	han11
環		fan11
彎		van33
灣		van33
撰		tsʰon31
篡		tsʰon55
涮	~洗	/
慣		kuan55
患		faŋ31
宦		fan55
刷		sot2
刮		kuat2
全		tɕʰion11
泉		tsʰan11
宣		ɕien33
旋		ɕien11
傳	~達	tsʰon11
專		tson33
磚		tson33
川		tsʰon33
穿		tsʰon33
船		son11
圈	圓~	tɕʰion33
拳		tɕʰien11
權		tɕʰien11
圓		ien11
員		ien11
緣		ien11
沿		ien11
鉛		ien11
捐		tɕien33
選		ɕien31
轉		tson31
篆		tsʰon31
喘		tsʰon31
軟		ɲion33
捲		tɕien31
戀		lien31
傳	~記	tsʰon31
串		tsʰon55
卷		tɕien31
絹		tɕien33
倦		tɕien31
院		ien55
劣		liet5
絕		tɕʰiet5
雪		ɕiet2
說	~話	sot2
悅		ie31
閱		iet5
藩		fan33
翻		fan33
番	幾~	fan33
番	~瓠：南瓜	pʰan33
煩		fan11
繁		fan11
元		ien11
原		ɲien11
源		ɲien11
喧		ɕien33
冤		ien33
袁		ien11
園		ien11
援		ien11
反		fan31
晚		van55
挽		van55
阮		ɲion33
遠		ien31
販		pʰan31
飯		fan31
萬		van31
勸		tɕʰien55
券		tɕien31
願		ɲien31
怨		ien55
髮		fat2
發		fat2
發		pot2
伐		fat5
罰		fat5
襪		mat2
月		ɲiet5
越		iet5
粵		iet5
玄		ɕien11
懸		ɕien11
淵		ien33
犬		tɕʰion31
縣		ien31
眩		ɕien31
決		tɕiet2
訣		tɕiet2
缺		tɕʰiet2
血		ɕiet2
穴		ɕiet2
吞		tʰun33
搷		ken33
根		ken33
痕		hen11
恩		en33
懇		kʰen31
墾		kʰen31
很		hen31
恨		hen31
彬		pin33
賓		pin33
貧		pʰin11
頻		pʰin11
閩		min31
民		min11
鄰		lin11
鱗		lin33
津		tɕin33
親		tɕʰin33
秦		tɕʰin11
辛		ɕin33
新		ɕin33
珍		tɕin33
陳		tɕʰin11
塵		tɕʰin11
真		tɕin33
神		ɕin11
身		ɕin33
伸		ɕin33
晨		ɕin11
臣		ɕin11
人		ɲin11
仁		in11
巾		tɕin33
銀		ŋen11
因		in33
姻		ien33
憫		min31
敏		min31
儘		tɕʰin31
盡		tɕʰin31
診		tɕin33
疹		tɕin33
腎		ɕin31
忍		nin31
緊		tɕin31
引		in31
殯		pin33
吝		lin31
進		tɕin55
晉		tɕin55
信		ɕin55
訊		ɕin31
鎮		tɕin31
趁		tɕʰin55
陣		tɕʰin31
襯		tsʰen55
振		tɕin31
震		tɕin31
慎		ɕin31
刃		nin31
認		nin31
僅		tɕin31
釁		ɕin31
印		in55
筆		pit2
必		pit2
匹		pʰit2
密		mit5
蜜		met5
栗		lit5
七		tɕʰit2
漆		tɕʰit2
疾		tɕʰit5
悉		ɕit2
膝		tɕʰit2
姪		tɕʰit5
秩		tɕʰit2
瑟		set2
蝨		set2
質		tɕit2
實		ɕit5
失		ɕit2
室		ɕit2
日		ɲit2
吉		tɕit2
乙		iet2
一		it2
逸		it2
斤		tɕin33
筋		tɕin33
勤		tɕʰin11
芹		tɕʰin11
欣		ɕin33
謹		tɕin31
近	远~	kʰen33
近	~视	tɕʰin31
隱		in31
勁		tɕin55
乞		tɕʰit2
奔		pen33
噴	~水	pʰun55
盆		pʰun11
門		mun11
敦		tun33
墩		tun33
屯		tun33
臀		tʰun11
論	~語	lun31
崙		lun31
尊		tsun33
村		tsʰun33
存		tsʰun11
孫		sun33
昆		kʰun33
崑		kʰun33
坤		kʰun33
昏		fun11
婚		fun33
魂		fun11
渾	~濁	fun11
溫		vun33
瘟		vun33
本		pun31
笨		pun55
囤		tun31
沌		/
盾		tʰun31
損		sun31
滾		kun31
綑		kʰun31
混	相~	kʰun55
穩		vun31
悶		mun31
頓		tun31
褪		tʰe55
鈍		tʰun31
嫩		nun31
論	議~	lun31
寸		tsʰun55
遜		sun33
棍		kun55
困		kʰun55
不		put2
勃		pʰet2
沒	沉~	mut5
突		tʰut2
卒		tsut2
骨		kut2
窟		fut2
忽		fut2
核		het2
倫		lun11
淪		lun11
輪		lun11
遵		tsun33
荀		sun31
旬		sun11
循		sun11
巡		tsʰun11
肫	~肝	tɕʰin33
春		tsʰun33
脣		sun11
純		sun11
醇		sun11
均		tɕiun33
鈞		tɕiun33
勻		iun11
筍		sun31
榫	~頭	sun31
準		tsun31
准		tsun31
蠢		tsʰun31
菌		kʰun55
允		iun31
俊		tsun55
迅		ɕin55
殉		sun31
順		sun31
舜		sun31
潤		iun31
閏		iun31
律		lut5
率	速~	lut5
恤		ɕiet2
率	~領	sut2
蟀		sut2
出		tsʰut2
術		ɕyt5
述		ɕyt5
橘		tɕyt2
分	~開	fun33
分		pun33
芬		fun33
紛		fun33
墳		fun11
文		vun11
蚊		mun33
聞		vun11
君		tɕiun33
軍		tɕiun33
群		tɕʰiun11
裙		tɕʰiun11
熏		ɕiun33
勳		ɕiun33
葷		fun33
雲		iun11
粉		fun31
憤		fun31
忿		fun31
吻		vun31
刎		vun31
糞		pun55
奮		fun31
份		fun31
問		mun55
郡		tɕʰiun31
訓		ɕiun55
熨		yt5
韻		iun31
運		iun31
彿	彷~	fut2
佛		fut5
物		vut5
勿		fut5
屈		tɕʰyt2
倔		tɕʰyt2
幫		poŋ33
滂		pʰoŋ11
旁		pʰoŋ11
忙		moŋ11
茫		moŋ11
當	~時	toŋ33
湯		tʰoŋ33
堂		tʰoŋ11
糖		tʰoŋ11
塘		tʰoŋ11
囊		noŋ11
郎		loŋ11
廊		loŋ11
狼		loŋ11
贓		tsoŋ33
髒		tsoŋ55
倉		tsʰoŋ33
蒼		tsʰoŋ33
藏	隱~	tsʰoŋ11
桑		soŋ33
喪	婚~	soŋ55
岡		koŋ33
剛		koŋ33
缸		koŋ33
康		kʰoŋ33
糠		kʰoŋ33
昂		ŋoŋ33
行	銀~	hoŋ11
航		hoŋ11
骯		an33
榜		poŋ31
莽		maŋ31
黨		toŋ31
擋		toŋ31
躺		tʰoŋ31
蕩		tʰoŋ31
朗		loŋ31
嗓		soŋ31
慷		kʰoŋ33
謗		poŋ31
傍		pʰoŋ11
當	典~	toŋ55
燙		tʰoŋ31
趟		tʰoŋ31
宕		tʰoŋ31
浪		loŋ31
葬		tsoŋ55
藏	西~	tsʰoŋ11
臟		tsʰoŋ31
喪	~失	soŋ55
抗		kʰoŋ55
博		pok2
泊	梁山~	pʰak5
薄		pʰok5
泊		pʰak5
莫		mok5
幕		mok5
寞		mok5
摸		mo33
摸		mia33
託		tʰok2
托		tʰok2
諾		nok5
落		lok5
烙		lok5
絡		lok5
樂		lok5
作		tsok2
錯		tsʰo55
鑿		tsʰok5
昨		tsʰok5
昨	~晡日：昨天；~晡夜：昨夜	tsʰia11
索		sok2
各		kok2
閣		kok2
鄂		ŋok5
鶴		hok5
惡	善~	ok2
娘		ɲioŋ11
良		lioŋ11
涼		lioŋ11
量	~長短	lioŋ11
糧		lioŋ11
將	~來	tɕioŋ33
漿		tɕioŋ33
槍		tɕʰioŋ33
牆		tɕʰioŋ11
相	互~	ɕioŋ33
箱		ɕioŋ33
廂		ɕioŋ33
鑲		ɕioŋ33
詳		ɕioŋ11
祥		ɕioŋ11
張		tsoŋ33
長	~短	tsʰoŋ11
腸		tsʰoŋ11
場		tsʰoŋ11
莊		tsoŋ33
裝		tsoŋ33
瘡		tsʰoŋ33
床		tsʰoŋ11
霜		soŋ33
章		tsoŋ33
樟		tsoŋ33
昌		tsʰoŋ33
商		soŋ33
傷		soŋ33
常		soŋ11
嘗		soŋ11
償		soŋ11
瓤	瓜~	noŋ11
疆		tɕioŋ33
薑		tɕioŋ33
姜		tɕioŋ33
羌		tɕʰioŋ33
強		tɕʰioŋ11
香		ɕioŋ33
鄉		ɕioŋ33
央		ioŋ33
秧		ioŋ33
羊		ioŋ11
楊		ioŋ11
陽		ioŋ11
揚		ioŋ11
兩	~個	lioŋ31
兩	斤~	lioŋ33
獎		tɕioŋ31
槳		tɕioŋ31
搶		tɕʰioŋ31
想		ɕioŋ31
象		ɕioŋ31
像		ɕioŋ55
像		tɕʰioŋ55-
長	生~	tsoŋ31
漲		tsoŋ55
丈		tsʰoŋ31
丈	姨~	tsʰoŋ33
仗		tsʰoŋ31
杖		tsʰoŋ31
闖		tsʰoŋ31
爽		soŋ31
掌		tsoŋ31
廠		tsʰoŋ31
賞		soŋ31
上	~山	soŋ33
壤		ɲioŋ31
攘		ɲioŋ31
強	勉~，倔~	tɕʰioŋ31
仰		ɲioŋ31
享		ɕioŋ31
響		ɕioŋ31
養		ioŋ33
癢		ioŋ33
釀		ɲioŋ31
亮		lioŋ31
諒		lioŋ31
輛		lioŋ31
量	數~	lioŋ31
醬		tɕioŋ55
將	大~	tɕioŋ55
匠		ɕioŋ31
相	~貌	ɕioŋ55
帳		tsoŋ55
賬		tsoŋ55
脹		tsoŋ55
暢		tsʰoŋ55
壯		tsoŋ55
創		tsʰoŋ31
狀		tsʰoŋ31
障		tsoŋ55
唱		tsʰoŋ55
倡		tsʰoŋ55
餉		ɕioŋ31
尚		soŋ31
上	~恩	soŋ31
讓		ɲioŋ31
向		ɕioŋ55
樣		ioŋ31
略		liok5
掠		liok5
爵		tɕiok2
雀	麻~	tɕiok2
鵲	喜~	ɕiak2
嚼		tɕiok2
削		ɕiok2
著	~衣	tsok2
著	附~	tsʰok5
酌		tsok2
綽		sok2
勺		sok5
若		iok5
弱		ɲiok5
腳		tɕiok2
卻		tɕʰiok2
虐		ɲiok5
瘧		ɲiok5
約		iok2
藥		iok5
躍		iok2
光		koŋ33
荒		foŋ33
慌		foŋ33
黃		voŋ11
皇		voŋ11
廣		koŋ31
謊		foŋ33
晃		foŋ31
曠		kʰoŋ55
郭		kok2
擴		kʰoŋ55
霍		kʰok2
鑊		vok5
方		foŋ33
芳		foŋ33
妨		foŋ31
房		foŋ11
防		foŋ11
亡		moŋ11
筐		tɕʰioŋ33
眶		tɕʰioŋ33
狂		kʰoŋ11
王		voŋ11
倣		foŋ31
紡		foŋ31
仿		foŋ31
網		moŋ31
網		mioŋ31
枉		voŋ31
往		voŋ31
放		foŋ55
訪		foŋ31
忘		moŋ31
望		moŋ31
逛		kʰoŋ11
況		kʰoŋ55
旺		voŋ31
钁	大鋤	tɕiok2
邦		poŋ33
肨	腫	pʰuŋ33
龐		pʰaŋ11
樁		/
窗		tsʰoŋ33
窗		tsʰuŋ33
雙		suŋ33
江		koŋ33
扛		koŋ33
腔		tɕʰioŋ33
降	投~	hoŋ11
綁		poŋ31
講		koŋ31
港		koŋ31
項		hoŋ31
胖		pan55
撞		tsʰoŋ31
降	下~	koŋ55
巷		hoŋ31
剝		pok2
駁		pok2
樸		pʰuk5
雹		pʰok5
桌		tsok2
琢		tsok2
啄		tsok2
戳		tsʰok5
濁		tsʰuk5
捉		tsok2
鐲		tsʰok5
朔		sok2
覺	知~	kok2
角		kok2
確		kʰok2
殼		kʰok2
嶽		ŋok5
岳		ŋok5
樂	音~	lok5
學		hok5
握		vok2
崩		pen33
朋		pʰuŋ11
朋		pʰen11
登		ten33
燈		ten33
騰		tʰen11
謄		tʰen11
藤		tʰen11
能		nen11
增		tsen33
憎		tsen33
曾	~經	tsʰen11
層		tsʰen11
僧		sen33
恆		hen11
等		ten31
肯		hen31
凳		ten55
鄧		tʰen31
蹭		/
贈		tsʰen31
北		pet2
墨		met5
默		met5
得		tet2
德		tet2
特		tʰet5
肋		let5
勒		let5
則		tset2
賊		tsʰet5
塞		set2
塞		tsʰet2
刻		kʰet2
克		kʰet2
黑		het2
冰		pen33
憑		pʰen11
陵		lin11
凌		lin11
徵	~求	tɕin33
澄		tɕʰin11
懲		tɕʰin31
蒸		tɕin33
稱	~呼	tɕʰin33
乘	~法	ɕin11
乘	~坐	ɕin31
繩		ɕin11
塍		sun11
升		ɕin33
承		ɕin11
丞		ɕin11
仍		in11
凝		ɲi11
興	~旺	ɕin33
應	~當	in55
鷹		in33
蠅		in11
拯		tɕin31
瞪		ten33
證		tɕin55
症		tɕin55
稱	相~	tsʰen55
秤		tɕʰin55
剩		ɕin31
勝		ɕin55
凝	湯~成凍	kʰen11
興	高~	ɕin55
應	~對	in55
孕		in31
逼		pit2
逼		pet2
力		lit5
即		tɕit2
鯽		tɕit2
息		ɕit2
熄		ɕit2
媳		ɕit2
直		tɕʰit5
值		tɕʰit5
側		tset2
測		tsʰet2
測		tset2
色		set2
嗇		set2
織		tɕit2
職		tɕit2
食		ɕit5
蝕		ɕit5
識		ɕit2
式		ɕit2
飾		ɕit5
殖		tɕʰit5
植		tɕʰit5
極		tɕʰit5
憶		i55
億		i55
抑		it2
翼		it5
弘		/
國		kuet2
或		fet5
惑		fet5
域		yt5
烹		pʰuŋ33
彭		pʰaŋ11
膨		pʰaŋ11
盲		maŋ11
撐		tsʰaŋ55
生		sen33
生		saŋ33
牲		sen33
甥		sen33
庚		ken33
羹		ken33
坑		haŋ33
亨		hen33
行	~為	haŋ11
衡		hen11
猛		men31
打		ta31
冷		len33
省	~長	sen31
省	節~	saŋ31
哽		kaŋ31
杏		hen31
孟		men31
更	~加	ken55
硬		ŋaŋ31
行	品~	haŋ11
百		pak2
伯		pak2
迫		pʰet2
拍		pʰak2
拍		pʰok2
魄		pʰak2
白		pʰak5
陌		mok5
拆		tsʰak2
澤		tsʰet2
擇	~菜	tsʰet2
擇		tʰok5
宅		tsʰet2
格		ket2
格		kak2
客		kʰak2
額		ɲiak2
嚇	恐~	hak2
棚		pʰaŋ11
萌		min11
爭		tsen33
爭		tsaŋ33
睜		tsen33
耕		kaŋ33
莖		tɕin33
莖		kuaŋ31
鶯		in33
鸚		in33
耿		ken31
幸		hen31
擘		pak2
麥		mak5
脈		mak2
摘		tsak2
責		tset2
策		tsʰet2
冊		tsʰak2
柵		tsʰak5
革		ket2
隔		kak2
核	審~	het2
核	果~	het2
扼		ŋak2
軛		ak2
兵		pin33
平		pʰin11
平		pʰiaŋ11
坪		pʰiaŋ11
評		pʰin11
鳴		min11
明		min11
明		miaŋ11
盟		men11
京		tɕin33
驚		tɕiaŋ33
卿		tɕʰin33
擎		tɕʰiaŋ11
鯨		tɕin33
迎		ɲiaŋ11
英		in33
丙		piaŋ31
秉		pin31
皿		min31
境		tɕiaŋ55
景		tɕin31
警		tɕin31
影		iaŋ31
柄		piaŋ55
病		pʰiaŋ31
命		min31
命		miaŋ31
敬		tɕin55
竟		tɕin55
鏡		tɕiaŋ55
慶		tɕʰin55
競		tɕin55
映		iaŋ31
碧		pit2
戟		tɕit2
劇	戲~	tɕʰiak5
屐		tɕʰiak5
逆		ɲiak5
名		miaŋ11
精		tɕin33
精		tɕiaŋ33
晶		tɕin33
清		tɕʰin33
清		tɕʰiaŋ33-
情		tɕʰin11
晴		tɕʰiaŋ11
貞		tɕin33
偵		tɕin33
呈		tɕʰin11
程		tɕʰin11
正	~月	tsaŋ33
征		tɕin33
聲		saŋ33
成		ɕin11
成		saŋ11-
成		tsʰaŋ11-
城		saŋ11
誠		ɕin11
輕		tɕʰiaŋ33
嬰		in33
盈		in11
贏		iaŋ11
餅		piaŋ31
領		liaŋ33
嶺		liaŋ33
井		tɕiaŋ31
請		tɕʰiaŋ31
靜		tɕʰin31
省	反~	sen31
逞		tɕʰin11
整		tɕin31
整		tsaŋ31
頸		tɕiaŋ31
併		pin55
聘		pʰin55
令		lin31
淨		tɕʰiaŋ31
性		ɕin55
性		ɕiaŋ55
姓		ɕiaŋ55
鄭		tsʰaŋ31
正		tɕin55
正		tsaŋ55
政		tɕin55
聖		ɕin55
盛	興~	ɕin55
勁		tɕin55
璧		pit2
僻		pʰit2
闢		pʰit2
積		tɕit2
跡		tɕit2
籍		tɕʰit5
藉	狼~	tɕʰit5
惜		ɕit2
昔		ɕit2
席		ɕit5
夕		ɕit2
隻		tsak2
炙		tsak2
赤		tsʰak2
斥		tsʰak2
尺		tsʰak2
射		sa31
適		ɕit2
釋		ɕit2
石		sak5
益		it2
亦		it2
譯		it5
易	交~	it5
液		it2
拼		pʰin55
瓶		pʰin11
萍		pʰin11
銘		men11
丁		ten33
釘		ten33
疔		ten33
聽		tʰen33
廳		tʰen33
汀		tin33
亭		tʰin11
停		tʰin11
庭		tʰin11
寧	安~	lin11
靈		lin11
零		liaŋ11
鈴		laŋ11
青		tɕʰiaŋ33
星		sen33
腥		sen33
經		tɕin33
馨		ɕin33
形		ɕin11
型		ɕin11
刑		ɕin11
並		pin55
頂		tin31
鼎		tin31
艇		tʰiaŋ31
挺		tʰin31
醒		ɕiaŋ31
訂		tin55
定		tʰin55
另		len31
徑		kaŋ55
壁		piak2
劈		pʰiak2
覓		met5
的	目~	tit2
滴		tit2
踢		tʰiak2
笛		tit5
敵		tʰit5
糴		tʰet5
歷		lit5
曆		lit5
曆		liak5
績		tɕit2
戚		tɕʰit2
寂		tɕʰit2
錫		ɕiak2
析		ɕit2
擊		tɕit2
激		tɕit2
橫	~直	vaŋ11
礦		kʰoŋ55
轟		vaŋ33
宏		fen11
獲		fet2
劃		vak5
兄		ɕiuŋ33
榮		iuŋ11
永		iun31
泳		iun31
詠		iun31
傾		tɕʰiun31
瓊		tɕʰiun11
營		iaŋ11
頃		tɕʰiun31
穎		in31
疫		it5
役		it5
螢		iaŋ11
蓬		fuŋ11
蒙		muŋ11
東		tuŋ33
通		tʰuŋ33
同		tʰuŋ11
銅		tʰuŋ11
筒		tʰuŋ11
童		tʰuŋ11
籠		luŋ33
聾		luŋ33
鬃		tsuŋ33
聰		tsʰuŋ33
葱		tsʰuŋ33
囪		tsʰuŋ33
叢		tsʰuŋ11
公		kuŋ33
工		kuŋ33
功		kuŋ33
攻		kuŋ33
空	~虛	kʰuŋ33
烘	~乾	kʰuŋ55
紅		fuŋ11
洪		fuŋ11
鴻		fuŋ11
虹		fuŋ11
虹		koŋ55
翁		vuŋ33
懵		muŋ31
董		tuŋ31
懂		tuŋ31
桶		tʰuŋ31
捅		tʰuŋ31
動		tʰuŋ31
動		tʰuŋ33
攏		luŋ31
總		tsuŋ31
孔		kʰuŋ31
哄		fuŋ31
汞		kuŋ55
凍		tuŋ55
棟		tuŋ55
痛		tʰuŋ55
洞		tʰuŋ31
弄		luŋ31
粽		tsuŋ55
送		suŋ55
貢		kuŋ55
控		kʰuŋ55
甕		vuŋ33
卜		puk2
撲		pʰuk5
仆	~倒	pʰuk5
僕		pʰuk5
曝		pʰau55
木		muk2
禿		tʰut5
獨		tʰuk5
讀		tʰuk5
鹿		luk5
祿		luk5
族		tsʰuk5
速		suk2
穀		kuk2
谷		kuk2
哭		kʰuk2
屋		vuk2
冬		tuŋ33
農		nuŋ11
膿		nuŋ11
宗		tsuŋ33
鬆		suŋ33
統		tʰuŋ31
宋		suŋ55
督		tuk2
毒		tʰuk5
酷		kʰuk2
沃		vok2
風		fuŋ33
楓		fuŋ33
瘋		fuŋ33
豐		fuŋ33
馮		fuŋ11
隆		luŋ11
嵩		suŋ33
中	當~	tsuŋ33
忠		tsuŋ33
蟲		tsʰuŋ11
崇		tsʰuŋ11
終		tsuŋ33
充		tsʰuŋ33
戎		iuŋ11
絨		iuŋ11
弓		kuŋ33
宮		kuŋ33
窮		tɕʰiuŋ11
熊		ɕiuŋ11
雄		ɕiuŋ11
融		iuŋ11
諷		fuŋ33
鳳		fuŋ31
夢		muŋ31
中	射~	tsuŋ55
仲		tsʰuŋ31
眾		tsuŋ55
銃		tsʰuŋ55
福		fuk2
幅		puk2
複		fuk2
腹		fuk2
覆	反~	fuk2
服		fuk5
伏		fuk5
復	~原	fuk2
目		muk2
穆		muk5
六		luk2
陸		luk5
肅		ɕiuk2
宿		ɕiuk2
竹		tsuk2
築		tsuk2
畜	~牲	ɕiuk2
逐		tsʰuk5
軸		tsʰuk5
縮		suk2
祝		tsuk2
粥		tsuk2
叔		suk2
熟	~悉	suk5
淑		suk2
肉		ɲiuk2
菊		tɕʰiuk2
麴		tɕʰiuk2
畜	~牧	ɕiuk2
蓄	儲~	ɕiuk2
郁		yt5
育		iuk2
封		fuŋ33
峰		fuŋ33
蜂		fuŋ33
鋒		fuŋ33
逢		fuŋ11
縫	~衣服	fuŋ11
濃		nuŋ11
濃	酒、茶~	ɲiuŋ11
龍		luŋ11
蹤		tɕiuŋ33
縱	~橫	tɕiuŋ33
從	搷~	tɕʰiuŋ11
松		tɕʰiuŋ11
重	~復	tsʰuŋ11
鐘		tsuŋ33
鍾		tsuŋ33
衝		tsʰuŋ33
舂	~米	tsuŋ33
茸		iuŋ11
恭		kuŋ33
胸		ɕiuŋ33
凶	吉~	ɕiuŋ33
兇	~惡	ɕiuŋ33
癰		iuŋ33
容		iuŋ11
庸		iuŋ33
捧		fuŋ31
捧		puŋ31
奉		fuŋ31
壠		luŋ33
冢		tɕiuŋ31
寵		tsʰuŋ33
重	輕~	tsʰuŋ33
種	~類	tsuŋ31
腫		tsuŋ31
冗		/
拱		kuŋ31
鞏		kuŋ31
恐		kʰuŋ31
擁		iuŋ55
勇		iuŋ31
俸		fuŋ31
縫	門~	pʰuŋ31
誦		ɕiuŋ31
訟		ɕiuŋ31
種	~樹	tsuŋ55
供		kuŋ55
供	~猪：喂猪	tɕiuŋ55
共		kʰuŋ31
用		iuŋ31
綠		luk5
錄		luk5
足		tɕiuk2
促		tɕiuk2
粟		ɕiuk2
俗		ɕiuk5
續		ɕiuk5
燭		tsuk2
囑		tsuk2
觸		tsʰuk2
贖		suk5
束		tsʰuk2
屬		suk5
辱		yt5
褥		iuk5
曲		tɕʰiuk2
局		tɕʰiuk5
玉		ɲiuk5
獄		yt5
欲		iuk5
慾		iuk5
浴		yt5
