a	
tsʰ	[31]徐除厨橱瓷糍慈磁辞词[25]取此娶[13]储苎署柱似[33]处趣赐次厕[22]住树[-45]脐{肚～}
s	[52]书舒须{必～}需枢输斯撕私师司丝思[31]薯殊祠[25]暑鼠使{假～}史[13]絮緖似[33]庶恕嗉{鸡～头}□{剔(牙)}[22]戍竖字士仕事侍箸{一～餸：一筷子菜}[-45]狮[-25]柿
j	[52]迂于[31]如鱼渔余豫儒愚虞娱愉[13]语与予乳[22]御誉遇寓愈吁喻
k	[52]居车{～马炮}[25]举矩□{老～：妓女}[33]据句[22]巨具惧飓
kʰ	[52]拘俱区驱[31]渠佢{第三人称}蜍{蟾～}[13]拒距
h	[52]墟虚嘘[31]逾[25]许[13]雨宇禹羽[33]去[22]裕预喻
ʔ	[52]于淤[25]瘀
yn	
t	[52]端[25]短[13]断{～开}[22]断{判～}锻段缎
tʰ	[31]团屯豚囤
l	[31]联鸾[13]暖[22]乱嫩[25]恋
ts	[52]专砖尊[25]转[33]纂钻转[22]传旋{头发旋}
tsʰ	[52]川穿[31]全泉传存[25]喘[13]吮{～雪条：吮冰棍}[33]串[-45]村
s	[52]酸宣[31]旋船[25]选损[33]算蒜寸[22]篆[-45]孙
j	[31]完员沿元{～旦}原源[25]皖阮[13]软[22]愿□{～仔：小孩}
k	[52]捐□{～窿：钻洞}[25]卷[33]眷绢[22]倦
kʰ	[31]拳权
h	[52]喧[31]完圆缘铅元丸袁辕园玄悬眩芫{～荽}[25]犬[13]远[33]劝券[-45]圈䘆{[hœŋ31]～：蚯蚓}[-25]院县
ʔ	[52]冤渊[33]怨
yt	
t	[2]夺
tʰ	[3]脱
l	[2]捋劣□{地～：垄间通道}
ts	[3]啜{吮吸}[2]绝拙
tsʰ	[2]猝
s	[3]雪说
j	[3]乙[2]悦月
k	[3]□{打}
kʰ	[3]蕨决诀缺[2]橛{一～：一段}
h	[3]血[2]越粤
ɔ	
p	[52]波啵{疑问语气词}[31]婆[33]播[22]孵抱{～肚：围裙}[-45]菠坡玻
pʰ	[33]破
f	[33]课货[-45]科
m	[52]魔摩摸{行动缓慢}[31]磨{动词}[25]磨{石～}摸
t	[52]多[31]□{传染}[25]躲[22]惰
tʰ	[52]拖[31]驼[13]妥椭
l	[52]啰[31]挪罗锣箩{大箩}[25]裸攞{拿}[-45]箩{小箩}
ts	[25]左阻[33]佐[22]座助
tsʰ	[52]初雏[31]锄[25]楚础[33]锉错
s	[52]蓑唆疏蔬梳{动词}搓[31]傻[25]锁琐所[-45]梳{名词}梭
k	[52]哥{大～}[-45]歌哥{学生～}[25]嗰{远指代词}
h	[31]荷河何[25]可[22]贺
ŋ	[31]蛾鹅俄讹[13]我[22]饿卧
ʔ	[52]屙{排便}
kʷ	[52]戈[25]果裹[33]过
w	[52]倭[31]和禾[25]火伙[22]祸和{唱～}[-45]窝蜗
ɔi	
t	[31]台抬[22]待代袋{装入(袋子里)；量词}[25]袋{名词}
tʰ	[52]胎[13]怠殆
l	[22]耐奈内
ts	[52]灾栽[25]宰载{一年半～}[33]再载{～重}[22]在
tsʰ	[31]才材财裁[25]彩采睬髓{骨～}翠{翡～}[33]菜赛蔡
k	[52]该[25]改[33]个
kʰ	[33]概溉慨丐
ŋ	[31]呆[13]我[22]碍外
h	[52]开[25]凯海{江河}蔼[22]亥害
ʔ	[52]哀[33]爱
ɔm	
k	[52]甘[25]感敢[33]咁{这么}[-45]柑
ʔ	[33]暗[-45]龛庵
h	[52]堪□{棵}[31]含[25]坎{地上小坑}砍□{棵}□{石臼}[33]勘坎{土台}[22]撼憾冚{盖}
ɔn	
p	[52]般搬[31]盘[33]半
pʰ	[52]潘番{～禺}[25]拚{～命}伴{有～}
m	[13]满
k	[52]干{晒～}杆[25]秆赶[33]干{～部}[-45]竿干{饼～}
h	[52]看{～守}[31]鼾寒韩[25]罕[13]旱[33]看汉[22]汗焊翰[-25]刊
ŋ	[22]岸
ʔ	[52]安鞍[33]按案
ɔŋ	
p	[52]帮邦[25]榜绑[22]谤磅{磅秤}
pʰ	[52]□{宽口锄}[31]滂旁螃傍庞
f	[52]荒慌谎方肪芳[25]晃仿纺彷访[31]妨房防[33]放况
m	[31]忙芒茫亡[13]莽蟒网妄[22]忘望[-45]芒{芒草}
t	[52]当[31]塘糖□{一～网：一张网}[25]裆党挡[33]档当{～铺}[22]荡
tʰ	[52]汤劏{宰杀}[31]堂棠螳唐[25]倘躺[33]烫趟摥{来回拖拉；来回走动}[-25]糖{糖果}
l	[31]瓤囊郎廊狼螂[13]□{过水}朗塱{地名用字}[33]㝗{架起}[22]裆浪㫰{晾}[-45]郎{白头～：鸟名}
ts	[52]装赃脏桩[33]壮葬[22]状藏{～族}脏撞[-45]庄妆
tsʰ	[52]苍[31]床藏{收～}[25]闯厂[33]创[-45]仓
s	[52]丧[25]爽[33]丧[-45]疮桑嗓
k	[52]冈刚纲缸江[25]讲港[33]杠钢降[-45]岗
kʰ	[52]扛□{双手掇}[31]狂[33]抗旷扩矿
h	[52]康糠匡[31]行{银～}航杭降{投～}绗{大针脚缝}[25]慷[33]炕{烘干，晒干}[22]项[-45]腔[-25]巷□{鸡～：小母鸡}
ŋ	[31]昂[33]仰[22]戇{傻憨}
ʔ	[52]肮[33]蕹{～菜：空心菜}□{青～：黄背蛙}
kʷ	[52]光[25]广
w	[52]汪[31]黄皇蝗凰王惶[25]枉[13]往[22]旺[-25]簧{弹～}
ɔp	
p	[2]□{～辫：扎辫子}
k	[3]蛤鸽㪉{～伙：合伙；～本：凑本钱}
h	[2]合[25]盒匣
ɔt	
p	[3]钵[2]拨
pʰ	[3]泼□{搧(扇子)}
m	[3]抹□{毛虫}
k	[3]割葛
h	[3]渴喝{喝斥}□{鐾(把刀口在砖、石、布等上磨擦使锋利)}
ɔk	
p	[5]□{鱼～：鱼鳔；水疱；豆腐～：油豆腐}㩧{敲打}[3]博驳[2]薄泊雹
pʰ	[3]朴扑
f	[3]霍藿
m	[5]剥[2]莫幕寞[25]膜
t	[2]铎度{测量(长度)}
tʰ	[3]托箨{竹皮}
l	[2]诺落烙骆洛络乐
ts	[3]作[2]凿昨
s	[3]塑朔索
k	[3]各阁搁觉角[25]桷{桁，檩子}
kʰ	[3]廓确
h	[3]壳[2]鹤学□{水勺}
ŋ	[2]鄂鳄岳乐□{抬头}
ʔ	[3]恶
kʷ	[3]郭国
w	[2]镬{炒菜锅}获
oŋ	
p	[31]篷{船～}
pʰ	[31]蓬[25]捧
f	[52]风疯丰封[31]冯逢缝[33]讽[22]奉凤[-45]枫峰蜂[25]俸
m	[31]蒙[25]懵[22]梦[-45]蒙{～～光：蒙蒙亮}芒{一种芦苇，可制扫帚}
t	[52]东[31]铜桐同茼{～蒿}[25]董懂捅[33]冻[22]栋动洞戙{竖起；藕～：莲茎}[-45]冬{冬至}筒
tʰ	[52]通[31]童瞳同[25]桶捅统[33]痛[-45]囱{烟～}[-25]筒{电～：手电}
l	[52]燶{焦糊}[31]笼聋农脓隆浓龙[25]拢[13]垄栊{木箱}[22]弄[-45]窿
ts	[52]棕宗中忠终踪舂综{～合}[25]总种肿[33]粽中众纵种综{织布机上的综}□{宠爱}[22]重{～要；～有：还有}仲诵颂讼[-45]鬃钟盅
tsʰ	[52]聪充冲[31]丛虫从松重{～复}[25]宠[13]重{～量}[33]铳□{捅}
s	[52]鬆嵩涌{小河}[31]崇[25]怂[33]送宋餸{菜肴}[-45]葱
j	[52]雍[31]戎融茸容蓉镕庸鳙□{茶浓}[25]拥涌[13]勇[22]用[-45]翁[-25]绒
k	[52]公蚣攻弓躬宫恭供功{成～}工{～人}[25]拱巩□{～样：这样}[33]贡[22]共[-45]功{～夫}工{打～}
kʰ	[31]穷
h	[52]空胸凶[31]虹红洪鸿熊雄[25]孔恐[33]控哄汞□{嗅}
ʔ	[52]壅掩埋[25]擁{推}[33]瓮
ok	
p	[5]卜{占～}[2]仆曝瀑伏
pʰ	[5]仆{～倒}
f	[5]复{反～}福幅蝠辐腹覆[2]服伏袱复{～员}
m	[5]□{出～：出芽}[2]木目穆牧
t	[5]笃督□{量词，用于排泄物}厾{戳}[2]独读毒
tʰ	[5]秃
l	[5]睩{～大眼：瞪大眼睛}辘{车轮}碌{打滚}□{本地柚子}[2]六陆绿录摝{搅拌}熝{开水烫}樚{猪～：猪圈}□{脚踩}[25]鹿
ts	[5]竹筑祝粥足烛嘱触[3]捉[2]续族逐轴俗
tsʰ	[5]速畜蓄促束[2]浊赎{找钱}熟□{呛}
s	[5]馊肃宿缩叔粟[3]嗍{～鼻涕：吸溜}[2]淑蜀属熟
j	[5]喐{动}沃[2]肉育辱玉狱欲浴[25]褥
k	[5]谷{山～}菊□{鼓起}[3]穀[2]局
kʰ	[5]曲[2]焗
h	[5]哭麯{酒～}[2]斛酷
ʔ	[5]屋
u	
p	[52]褒煲{～饭}[31]浮[25]补保堡宝[13]抱泡{泡沫}妇{新～：新娘}[33]布浦怖报[22]部步捕埠暴[-45]煲{瓦～：陶锅}[-25]簿
pʰ	[52]铺{～地}敷{～药}[31]蒲菩脯袍[25]谱普[33]铺{店～}
f	[52]枯虎夫肤俘敷{～衍}[31]乎符芙[25]苦{～瓜}虎府腑俯甫斧傅抚釜[13]妇[33]库咐赋富副[22]付傅赴讣父腐辅附负
m	[52]殕{食物长毛变质}[31]模摹无巫诬毛[13]武舞侮鹉母拇[22]暮慕墓募务雾戊冒帽{斗笠}[25]帽{草～}
t	[52]都刀[31]淘绹{拴住}[25]堵赌岛倒[13]肚[33]妬到[22]杜度渡镀道稻盗导[-45]都{～系：都是}
tʰ	[52]滔[31]徒屠途涂图桃逃陶萄涛[25]土祷讨{～厌}[13]吐[33]兔套
l	[52]□{镬～：锅烟子}□{混合}[31]奴卢炉芦鸬庐驴劳牢唠{～嘈：唠叨}□{碰撞起的肿块}[13]努鲁虏卤脑恼老□{～水：涉水}[22]怒路赂露鹭□{骂}
ts	[52]租遭糟[25]祖组早枣[33]灶[22]皂造
tsʰ	[52]粗操[31]曹槽嘈{唠～：唠叨}[25]草[13]储{积攒}[33]措躁糙
s	[52]苏酥鬚骚臊□{生孩子}[25]数{～数}嫂娶[33]醋素诉数{数～}扫
h	[52]薅箍呼麸蒿{茼～}□{臊}[31]芋戽{～斗}湖狐壶瓠胡蝴糊瓠扶豪壕毫蚝[25]浒好苦{辛～}[33]裤犒好耗[22]户沪互护号浩[-25]胡{二～}
ŋ	[22]傲
ʔ	[52]乌污[33]坞恶懊奥澳□{探身，弯身}
kʷ	[52]姑孤高篙羔[25]古估牯股鼓蛊稿[33]故固锢雇顾告[-45]膏糕
ui	
p	[52]杯[31]赔[33]贝辈[22]背{～书}焙[25]痱{热～：痱子}背{后～}□{酵子}
pʰ	[52]胚坯[31]培陪裴[13]倍[33]沛配佩
f	[52]魁恢灰奎[33]悔晦
m	[31]梅枚媒煤玫霉脢[13]每[22]昧[-45]枚{猜～：划拳}[25]莓妹
t	[52]堆[33]碓兑对{～错}[22]队{～伍}[25]队{排～}对{对联}
tʰ	[52]推[25]腿[33]退蜕
l	[52]□{倒头栽落}[31]雷
ts	[22]罪
tsʰ	[52]趋催崔摧炊
s	[52]腮鳃[33]碎
h	[31]回{～礼}茴[22]汇
ʔ	[52]煨[13]会[22]会{～面}[25]会{开～}
kʷ	[33]盖{盖子}[22]癐{累}
kʷh	[25]贿溃刽桧绘
w	[31]回
un	
p	[31]盆[25]本[22]绊伴拌叛胖
pʰ	[13]泮{～池}[33]判
f	[52]宽[25]款
m	[31]瞒门[22]闷
h	[52]欢宽[22]换焕[31]桓
kʷ	[52]官棺观冠{衣～}[25]管馆[33]贯灌观冠{～军}[-25]罐{罐子}
w	[31]缓援[25]豌碗腕[22]唤焕
ut	
p	[2]勃
m	[2]末沫没
h	[3]阔[2]活
kʷh	[3]括豁
ŋ	
	[31]吴蜈梧[13]五伍午仵[22]误悟
