cid	cʰaracter	initian	finan	tone	note
828	极	tɕ	i	212	
829	国	k	ue̞	212	
830	或	x	uai	212	
830	或	f	ai	212	
831	猛	m	oŋ	42	
832	打	t	a	42	
833	冷	n	ən	42	
834	生	s	ən	24	
8455	省	s	ən	42	
836	更	k	ən	24	
837	梗	k	ən	42	
838	坑	kʰ	ən	24	
839	硬	ŋ	ən	455	
840	行	ɕ	in	212	
841	百	p	e̞	212	
842	拍	pʰ	e̞	212	
843	白	p	e̞	212	
844	拆	tsʰ	e̞	212	
845	择	ts	e̞	212	
846	窄	ts	e̞	212	
847	格	k	e̞	212	
	革	k	e̞	212	
	给	k	e̞	42	
848	客	kʰ	e̞	212	
849	额	ŋ	e̞	212	
	扼	ŋ	e̞	212	
850	棚	pʰ	oŋ	212	
851	争	ts	ən	24	
852	耕	k	ən	24	
853	麦	m	e̞	212	
854	摘	ts	ai	24	
855	策	tsʰ	e̞	212	
856	隔	k	e̞	212	
857	兵	p	in	24	
858	柄	p	in	42	
859	平	pʰ	in	212	
860	病	p	in	455	
861	明	m	in	212	
862	命	m	in	455	
863	镜	tɕ	in	455	
864	庆	tɕʰ	in	455	
865	迎	∅	in	212	
866	影	∅	in	42	
867	剧	tɕ	y	455	
868	饼	p	in	42	
869	名	m	in	212	
870	领	n	in	42	
871	井	tɕ	in	42	
872	清	tɕʰ	in	24	
873	静	tɕ	in	455	
874	姓	ɕ	in	455	
875	贞	ts	ən	24	
876	程	tsʰ	ən	212	
877	整	ts	ən	42	
878	正	ts	ən	455	
879	声	s	ən	24	
880	城	tsʰ	ən	212	
881	轻	tɕʰ	in	24	
882	赢	∅	in	212	
883	积	tɕ	i	24	
884	惜	ɕ	i	212	
885	席	ɕ	i	212	
886	尺	tsʰ	ɿ	212	
887	石	s	ɿ	212	
888	益	∅	i	212	
889	瓶	pʰ	in	212	
890	钉	t	in	24	
891	顶	t	in	42	
892	厅	tʰ	in	24	
893	听	tʰ	in	455	
894	停	tʰ	in	212	
895	挺	tʰ	in	42	
896	定	t	in	455	
897	零	n	in	212	
898	青	tɕʰ	in	24	
899	星	ɕ	in	24	
900	经	tɕ	in	24	
901	形	ɕ	in	212	
902	壁	p	i	455	
903	劈	pʰ	i	212	
904	踢	tʰ	i	212	
905	笛	t	i	212	
906	历	n	i	212	
907	锡	ɕ	i	212	
908	击	tɕ	i	212	
909	吃	tɕʰ	i	212	
910	横	x	ən	212	
911	划	f	a	455	
912	兄	ɕ	ioŋ	24	
913	荣	∅	ioŋ	212	
914	永	∅	ioŋ	42	
915	营	∅	yn	212	
916	蓬	pʰ	oŋ	212	
917	东	t	oŋ	24	
918	懂	t	oŋ	42	
919	冻	t	oŋ	455	
920	通	tʰ	oŋ	24	
9212	桶	tʰ	oŋ	42	
922	痛	tʰ	oŋ	455	
923	铜	tʰ	oŋ	212	
924	动	t	oŋ	455	
925	洞	t	oŋ	455	
926	聋	n	oŋ	24	
927	弄	n	oŋ	455	
928	粽	ts	oŋ	455	
929	葱	tsʰ	oŋ	24	
930	送	s	oŋ	455	
931	公	k	oŋ	24	
932	孔	kʰ	oŋ	42	
933	烘	x	oŋ	24	
934	红	x	oŋ	212	
9455	翁	ŋ	oŋ	24	
936	木	m	uᶹ	212	
937	读	t	əu	212	
938	鹿	n	əu	212	
939	族	tsʰ	əu	212	
940	谷	k	uᶹ	212	
941	哭	kʰ	uᶹ	212	
942	屋	v	uᶹ	212	
943	冬	t	oŋ	24	
944	统	tʰ	oŋ	42	
945	脓	n	oŋ	212	
946	松	s	oŋ	24	
947	宋	s	oŋ	455	
948	毒	t	əu	212	
949	风	f	oŋ	24	
950	丰	f	oŋ	24	
951	凤	f	oŋ	455	
952	梦	m	oŋ	455	
953	中	ts	oŋ	24	
954	虫	tsʰ	oŋ	212	
955	终	ts	oŋ	24	
956	充	tsʰ	oŋ	24	
957	宫	k	oŋ	24	
958	穷	tɕʰ	ioŋ	212	
959	熊	ɕ	ioŋ	212	
960	雄	ɕ	ioŋ	212	
961	福	f	uᶹ	212	
962	服	f	uᶹ	212	
963	目	m	uᶹ	212	
964	六	n	əu	212	
965	宿	s	əu	212	
966	竹	ts	əu	212	
967	畜	tsʰ	əu	212	
968	缩	s	o	212	
969	粥	ts	əu	24	
970	叔	s	əu	212	
971	熟	s	əu	212	
972	肉	z	əu	212	
973	菊	tɕ	y	212	
974	育	∅	iəu	212	
975	封	f	oŋ	24	
976	蜂	f	oŋ	24	
977	缝	f	oŋ	455	
978	浓	n	oŋ	212	
979	龙	n	oŋ	212	
980	松	tsʰ	oŋ	212	
981	重	ts	oŋ	455	
982	肿	ts	oŋ	42	
983	种	ts	oŋ	455	
984	冲	tsʰ	oŋ	24	
984	冲	tsʰ	oŋ	455	
985	恭	k	oŋ	24	
986	共	k	oŋ	455	
987	凶	ɕ	ioŋ	24	
988	拥	∅	ioŋ	42	
989	容	∅	ioŋ	212	
990	用	∅	ioŋ	455	
991	绿	n	əu	212	
992	足	ts	əu	212	
993	烛	ts	əu	212	
994	赎	s	əu	212	
995	属	s	əu	212	
996	褥	z	uᶹ	42	
997	曲	tɕʰ	y	212	
998	局	tɕ	y	212	
	迂	∅	y	24	
	与	∅	y	42	
999	玉	∅	y	455	
1000	浴	∅	y	455	存疑
1001	我	ŋ	o	42	
1002	彭	pʰ	ən	212	
1003	扯	tsʰ	e̞	42	
1004	遮	ts	e̞	24	
	责	ts	e̞	212	
	者	ts	e̞	42	
	这	ts	e̞	455	
1005	惹	z	e̞	42	
1006	扩	k	ue̞	212	
1007	些	ɕ	ie̞	24	
1008	椰	∅	ie̞	24	
	妻	tɕʰ	i	24	
	奇	tɕʰ	i	212	
	起	tɕʰ	i	42	
1009	企	tɕʰ	i	455	
1010	鄙	pʰ	i	42	
1011	替	tʰ	i	455	
1012	痴	tsʰ	ɿ	24	
	此	tsʰ	ɿ	42	
1012	次	tsʰ	ɿ	455	
	波	p	o	24	
	博	p	o	212	
1013	簸	p	o	42	
	播	p	o	455	
	栽	tɕ	yai	24	白，摔
	拽	tɕ	yai	455	
	揣	tɕʰ	yai	24	
	喘	tɕʰ	yai	42	
	踹	tɕʰ	yai	455	
1014	甩	ɕ	yai	42	
1015	帅	ɕ	yai	455	
1016	锤	tɕʰ	yei	212	
1017	永	∅	yn	42	
1018	蔬	s	əu	24	
1019	仰	n	iaŋ	42	
1020	孃	n	iaŋ	24	
1021	闯	tɕʰ	yaŋ	42	
1022	乓	p	oŋ	42	
1023	龚	tɕ	ioŋ	24	
1024	堆	t	ei	24	
1025	推	tʰ	ei	24	
1026	腿	tʰ	ei	42	
1027	退	tʰ	ei	455	
1028	雷	n	ei	212	
1029	磊	n	ei	42	
1030	队	t	ei	455	
1031	耍	ɕ	ya	42	
1032	虽	ɕ	yei	24	
1033	绒	z	oŋ	212	
1034	披	pʰ	ei	24	
1035	芭	p	a	24	
1036	锐	∅	yei	455	
1037	屏	pʰ	in	212	
1038	衰	ɕ	yai	24	
1039	脆	tɕʰ	yei	455	
1040	你	n	i	42	
	利	n	i	455	
	册	tsʰ	e̞	212	
	颓	tʰ	ei	212	
