字	声	韵	调	
耀		iau	阴平	
鹞		iau	去声	
刁	t	iau	阴平	
貂	t	iau	阴平	
雕	t	iau	阴平	
鸟	n	iau	上声	
吊	t	iau	去声	
跳	tʰ	iau	去声	
粜	tʰ	iau	去声	
条	tʰ	iau	去声	
调	tʰ	iau	去声	
跳	tʰ	iau	去声	
掉	t	iau	去声	
调	tʰ	iau	去声	
尿	n	iau	去声	
聊	l	iau	去声	
辽	l	iau	去声	
撩	l	iau	去声	
了	l	iau	上声	
了	l	iau	去声	
料	l	iau	去声	
尥	l	iau	去声	
箫	ɕ	iau	阴平	
浇	c	iau	阴平	
缴	c	iau	阴平	
侥	c	iau	上声	
叫	c	iau	去声	
窍	cʰ	iau	上声	
尧		iau	去声	
晓	ç	iau	上声	
吆		iau	阴平	
某	m	u	上声	
亩	m	u	上声	
牧	m	u	去声	
母	m	u	上声	
姆	m	u	上声	
茂	m	au	去声	
贸	m	au	去声	
兜	t	ou	阴平	
斗	t	ou	上声	
抖	t	ou	上声	
陡	t	ou	上声	
偷	tʰ	ou	阴平	
透	tʰ	ou	去声	
头	tʰ	ou	去声	
投	tʰ	ou	去声	
豆	t	ou	去声	
逗	t	ou	上声	
楼	l	ou	去声	
搂	l	ou	上声	
耧	l	ou	上声	
篓	l	ou	上声	
漏	l	ou	去声	
陋	l	ou	去声	
走	ts	ou	上声	
奏	ts	ou	去声	
凑	tsʰ	ou	去声	
叟	s	ou	上声	
勾	k	ou	阴平	
钩	k	ou	阴平	
沟	k	ou	阴平	
狗	k	ou	上声	
苟	k	ou	上声	
够	k	ou	去声	
构	k	ou	上声	
购	k	ou	上声	
勾	k	ou	上声	
抠	kʰ	ou	阴平	
口	kʰ	ou	上声	
叩	kʰ	ou	去声	
扣	kʰ	ou	去声	
寇	kʰ	ou	去声	
偶		ou	上声	
吼	x	ou	上声	
侯	x	ou	去声	
喉	x	ou	阴平	
猴	x	ou	去声	
瘊	x	ou	去声	
后	x	ou	去声	
厚	x	ou	去声	
候	x	ou	去声	
欧		ou	阴平	
呕		ou	阴平	
怄		ou	去声	
怄		ou	去声	
否	f	ou	阴平	
富	f	u	阴平	
副	f	u	去声	
浮	f	u	去声	
妇	f	u	阴平	
扭	n	iu	阴平	
流	l	iu	去声	
刘	l	iu	去声	
留	l	iu	阴平	
硫	l	iu	去声	
琉	l	iu	去声	
柳	l	iu	上声	
溜	l	iu	阴平	
廖	l	iau	去声	
揪	tɕ	iu	阴平	
酒	tɕ	iu	上声	
秋	tɕʰ	iu	阴平	
就	tɕ	iu	去声	
修	ɕ	iu	阴平	
羞	ɕ	iu	阴平	
秀	ɕ	iu	去声	
绣	ɕ	iu	去声	
锈	ɕ	iu	去声	
囚	cʰ	iu	阴平	
泅	cʰ	iu	阴平	
袖	ɕ	iu	去声	
肘	tʂ	ou	上声	
昼	tʂ	ou	阴平	
抽	tʂʰ	ou	阴平	
丑	tʂʰ	ou	上声	
绸	tʂʰ	ou	去声	
稠	tʂʰ	ou	去声	
筹	tʂʰ	ou	去声	
纣	tʂ	ou	去声	
宙	tʂ	ou	去声	
皱	tʂ	ou	阴平	
绉	tʂ	ou	阴平	
瞅	tʂʰ	ou	上声	
愁	tʂʰ	ou	去声	
骤	tʂ	ou	去声	
搜	s	ou	阴平	
飕	s	ou	去声	
馊	s	ou	去声	
搜	s	ou	阴平	
瘦	ʂ	ou	去声	
周	tʂ	ou	阴平	
舟	tʂ	ou	阴平	
州	tʂ	ou	阴平	
洲	tʂ	ou	阴平	
咒	tʂ	ou	去声	
丑	tʂʰ	ou	上声	
臭	tʂʰ	ou	去声	
收	ʂ	ou	阴平	
手	ʂ	ou	上声	
首	ʂ	ou	上声	
守	ʂ	ou	上声	
兽	ʂ	ou	去声	
仇	tʂʰ	ou	去声	
酬	tʂʰ	ou	去声	
受	ʂ	ou	去声	
寿	ʂ	ou	去声	
授	ʂ	ou	去声	
售	tʂʰ	ou	去声	
柔		iu	阴平	
揉		iu	阴平	
纠	c	iu	阴平	
九	c	iu	阳平	
久	c	iu	阳平	
灸	c	iu	阳平	
救	c	iu	去声	
究	c	iu	阴平	
丘	cʰ	iu	阴平	
求	cʰ	iu	去声	
球	cʰ	iu	去声	
舅	c	iu	去声	
旧	c	iu	去声	
牛	n	iu	阴平	
休	ç	iu	阴平	
朽	ç	iu	上声	
嗅	ç	iu	去声	
忧		iu	阴平	
优		iu	阴平	
尤		iu	去声	
邮		iu	阴平	
有		iu	上声	
友		iu	上声	
又		iu	去声	
佑		iu	去声	
侑		iu	去声	
由		iu	去声	
油		iu	阴平	
游		iu	阴平	
犹		iu	去声	
酉		iu	阴平	
诱		iu	去声	
釉		iu	去声	
彪	p	iau	阴平	
丢	t	iu	阴平	
纠	c	iu	阴平	
幽		iu	阴平	
幼		iu	阴平	
耽	t	an	阴平	
贪	tʰ	an	阴平	
探	tʰ	an	去声	
潭	tʰ	an	去声	
潭	tʰ	an	去声	
南	n	an	阴平	
男	n	an	去声	
簪	ts	an	去声	
参	tsʰ	an	阴平	
惨	tsʰ	an	阴平	
蚕	tsʰ	an	去声	
感	k	an	上声	
堪	kʰ	an	阳平	
龛	kʰ	an	阳平	
坎	kʰ	an	上声	
砍	kʰ	an	上声	
含	x	an	去声	
函	x	an	去声	
撼	x	an	去声	
庵		an	阴平	
揞		an	去声	
暗		an	去声	
胆	t	an	上声	
毯	tʰ	an	上声	
谈	tʰ	an	去声	
痰	tʰ	an	去声	
淡	t	an	去声	
兰	l	an	去声	
蓝	l	an	去声	
篮	l	an	去声	
览	l	an	上声	
揽	l	an	上声	
滥	l	an	去声	
缆	l	an	上声	
惭	tsʰ	an	阳平	
錾	ts	an	去声	
三	s	an	阴平	
甘	k	an	阴平	
柑	k	an	阴平	
敢	k	an	上声	
橄	k	an	上声	
憨	x	an	阴平	
喊	x	an	上声	
埯		an	上声	
站	tʂ	an	去声	
斩	tʂ	an	上声	
蘸	tʂ	an	去声	
谗	tʂʰ	an	去声	
馋	tʂʰ	an	去声	
衫	ʂ	an	阴平	
减	c	ian	上声	
碱	c	ian	上声	
咸	ɕ	ian	阳平	
陷	ç	ian	去声	
馅	ç	ian	去声	
搀	tʂʰ	an	阴平	
衫	ʂ	an	阴平	
监	c	ian	阴平	
监	c	ian	去声	
粘	tɕ	ian	阴平	
廉	l	ian	去声	
镰	l	ian	去声	
帘	l	ian	去声	
敛	l	ian	去声	
潋	l	ian	去声	
殓	l	ian	去声	
尖	tɕ	ian	阴平	
签	tɕʰ	ian	阴平	
潜	tɕʰ	ian	上声	
渐	tɕʰ	ian	阴平	
纤	tɕʰ	ian	阴平	
沾	tɕ	ian	去声	
粘	tɕ	ian	阴平	
占	tɕ	ian	去声	
闪	ɕ	ian	上声	
蟾	tɕʰ	ian	去声	
染		ian	上声	
检	c	ian	上声	
脸	l	ian	上声	
钳	cʰ	ian	去声	
俭	c	ian	上声	
验		ian	去声	
险	ɕ	ian	上声	
淹		ian	阴平	
阎		ian	阴平	
掩		ian	阴平	
厌		ian	去声	
炎		ian	去声	
盐		ian	阴平	
阎		ian	去声	
檐		ian	阴平	
艳		ian	阴平	
盐		ian	阴平	
剑	c	ian	去声	
欠	cʰ	ian	去声	
严		ian	去声	
腌		ian	阴平	
掂	t	ian	阴平	
点	t	ian	上声	
店	t	ian	去声	
添	tʰ	ian	阴平	
舔	tʰ	ian	上声	
甜	tʰ	ian	阳平	
鲇	n	ian	阴平	
拈	n	ian	阴平	
念	n	ian	去声	
兼	c	ian	去声	
谦	cʰ	ian	阴平	
款	cʰ	ian	去声	
嫌	ç	ian	阳平	
泛	f	an	去声	
凡	f	an	去声	
帆	f	an	去声	
范	f	an	去声	
犯	f	an	去声	
品	pʰ	in	上声	
赁		in	去声	
林	l	in	去声	
淋	l	in	阴平	
临	l	in	阴平	
凛	l	in	去声	
檩	l	in	去声	
浸	tɕʰ	yn	上声	
侵	tɕʰ	yn	阳平	
寝	tɕʰ	yn	上声	
吣	tɕʰ	yn	上声	
心	ɕ	in	阴平	
寻	ɕ	yn	去声	
沉	tʂʰ	ən	去声	
岑	tsʰ	ən	阴平	
参	ʂ	ən	阴平	
渗	ʂ	ən	阴平	
针	tʂ	ən	阴平	
枕	tʂ	ən	上声	
深	ʂ	ən	阴平	
沈	ʂ	ən	上声	
审	ʂ	ən	上声	
婶	ʂ	ən	上声	
甚	ʂ	ən	去声	
任		in	去声	
今	c	in	阴平	
金	c	in	阴平	
襟	c	in	阳平	
锦	c	in	上声	
钦	cʰ	ian	阴平	
琴	cʰ	in	去声	
禽	cʰ	in	去声	
擒	cʰ	in	去声	
音		in	阴平	
阴		in	阴平	
饮		in	上声	
荫		in	阴平	
饮		in	上声	
淫		in	去声	
丹	t	an	阴平	
单	t	an	阴平	
滩	tʰ	an	阴平	
摊	tʰ	an	阴平	
坦	tʰ	an	上声	
炭	tʰ	an	去声	
叹	tʰ	an	去声	
檀	tʰ	an	去声	
坛	tʰ	an	去声	
弹	tʰ	an	去声	
但	t	an	阴平	
弹	t	an	去声	
蛋	t	an	去声	
难	n	an	阴平	
兰	l	an	去声	
拦	l	an	去声	
栏	l	an	去声	
懒	l	an	上声	
烂	l	an	去声	
赞	ts	an	去声	
餐	tsʰ	an	阴平	
灿	tsʰ	an	阴平	
残	tsʰ	an	上声	
珊	s	an	上声	
伞	s	an	上声	
散	s	an	去声	
干	k	an	阴平	
肝	k	an	阴平	
杆	k	an	去声	
秆	k	an	上声	
擀	k	an	上声	
赶	k	an	上声	
幹	k	an	阴平	
看	kʰ	an	去声	
岸		an	去声	
罕	x	an	去声	
汉	x	an	去声	
寒	x	an	去声	
韩	x	an	去声	
旱	x	an	去声	
焊	x	an	去声	
汗	x	an	去声	
焊	x	an	去声	
安		an	阴平	
鞍		an	去声	
按		an	阴平	
案		an	去声	
盼	pʰ	an	去声	
瓣	p	an	去声	
办	p	an	去声	
盏	tʂ	an	去声	
铲	tsʰ	an	上声	
山	ʂ	an	阴平	
产	tsʰ	an	上声	
艰	c	ian	阴平	
间	c	ian	阴平	
简	c	ian	上声	
柬	c	ian	上声	
拣	c	ian	上声	
眼		ian	上声	
闲	ç	ian	去声	
限	ç	ian	去声	
班	p	an	阴平	
斑	p	an	阴平	
扳	p	an	阳平	
颁	p	an	阴平	
板	p	an	上声	
版	p	an	上声	
攀	pʰ	an	去声	
蛮	m	an	去声	
慢	m	an	去声	
栈	tʂ	an	去声	
删	ʂ	an	阴平	
奸	c	ian	阴平	
颜		ian	去声	
雁		ian	去声	
鞭	p	ian	阴平	
编	p	ian	阴平	
变	p	ian	去声	
篇	pʰ	ian	阴平	
偏	pʰ	ian	阴平	
骗	pʰ	ian	去声	
便	p	ian	去声	
辨	p	ian	去声	
辩	p	ian	去声	
便	p	ian	去声	
绵	m	ian	阴平	
棉	m	ian	阴平	
免	m	ian	上声	
勉	m	ian	上声	
娩	m	ian	上声	
面	m	ian	上声	
碾	n	ian	上声	
连	l	ian	去声	
联	l	ian	去声	
煎	tɕ	ian	阴平	
剪	tɕ	ian	上声	
箭	tɕ	ian	去声	
溅	tɕ	ian	去声	
迁	cʰ	ian	阴平	
浅	tɕʰ	ian	上声	
钱	tɕʰ	ian	去声	
践	tɕ	ian	去声	
贱	tɕ	ian	去声	
践	tɕ	ian	去声	
仙	ɕ	ian	阴平	
鲜	ɕ	ian	阴平	
癣	ɕ	ian	上声	
线	ɕ	ian	去声	
羡	cʰ	ian	去声	
展	tɕ	ian	上声	
缠	tɕʰ	ian	去声	
毡	tɕ	ian	阴平	
战	tɕ	ian	去声	
颤	tɕ	ian	去声	
膻	ɕ	ian	阴平	
扇	ɕ	ian	阴平	
搧	ɕ	ian	去声	
蝉	tʂʰ	an	去声	
禅	tʂʰ	an	去声	
蟮	ɕ	ian	去声	
善	ɕ	ian	去声	
禅	tɕʰ	ian	去声	~让，存疑
然		ian	去声	
燃		ian	去声	
遣	cʰ	ian	阴平	
乾	cʰ	ian	阴平	
件	c	ian	去声	
谚		ian	去声	
蔫		ian	去声	
延		ian	去声	
演		ian	上声	
犍	c	ian	去声	
建	c	ian	去声	
键	c	ian	去声	
健	c	ian	去声	
腱	c	ian	去声	
言		ian	去声	
掀	ç	ian	阴平	
宪	ç	ian	去声	
献	ç	ian	上声	
边	p	ian	阴平	
扁	p	ian	上声	
匾	p	ian	上声	
遍	p	ian	去声	
片	pʰ	ian	去声	
辩	p	ian	去声	
眠	m	ian	阴平	
麪	m	ian	去声	
颠	t	ian	阴平	
典	t	ian	上声	
天	tʰ	ian	阴平	
腆	tʰ	ian	上声	
田	tʰ	ian	去声	
填	tʰ	ian	阴平	
电	t	ian	去声	
殿	t	ian	去声	
奠	t	ian	去声	
佃	t	ian	去声	
垫	t	ian	去声	
年	n	ian	阴平	
捻	n	ian	上声	
撵	n	ian	上声	
怜	l	ian	去声	
莲	l	ian	去声	
练	l	ian	去声	
炼	l	ian	去声	
笺	tɕ	ian	阳平	
荐	tɕ	ian	上声	
千	tɕʰ	ian	阴平	
前	tɕʰ	ian	去声	
先	ɕ	ian	阴平	
肩	c	ian	阴平	
坚	c	ian	阳平	
茧	c	ian	上声	
趼	c	ian	上声	
见	c	ian	去声	
牵	cʰ	ian	阴平	
研	c	ian	阴平	
砚	c	ian	去声	
显	ç	ian	上声	
贤	ç	ian	去声	
弦	ç	ian	去声	
现	ç	ian	去声	
烟		ian	阴平	
燕		ian	去声	
燕		ian	去声	
咽		ian	去声	
宴		ian	去声	
般	p	an	阴平	
搬	p	an	阴平	
半	p	an	去声	
绊	p	an	去声	
潘	pʰ	an	阴平	
判	pʰ	an	去声	
盘	pʰ	an	去声	
伴	p	an	去声	
叛	pʰ	an	去声	
瞒	m	an	去声	
馒	m	an	去声	
满	m	an	上声	
漫	m	an	去声	
慢	m	an	去声	
端	t	an	阴平	
短	t	an	上声	
断	t	an	去声	
锻	t	an	去声	
团	tʰ	an	去声	
断	t	an	去声	
段	t	an	去声	
锻	t	an	去声	
卵	l	uan	上声	
乱	l	an	去声	
钻	ts	an	去声	
纂	ts	an	上声	
攒	ts	an	去声	
钻	ts	an	去声	
窜	tsʰ	uan	阴平	
酸	s	uan	阴平	
算	s	an	去声	
蒜	s	an	去声	
官	k	uan	阴平	
观	k	uan	阴平	
管	k	uan	上声	
馆	k	uan	上声	
贯	k	uan	去声	
灌	k	uan	去声	
罐	k	uan	去声	
观	k	uan	去声	
宽	kʰ	uan	阴平	
款	kʰ	uan	上声	
欢	x	uan	阴平	
唤	x	uan	上声	
焕	x	uan	去声	
桓	x	uan	去声	
完	u	an	去声	
丸	u	an	去声	
缓	x	uan	上声	
换	x	uan	去声	
豌	s	uan	阳平	
剜	s	uan	阳平	
碗	u	an	上声	
腕	u	an	上声	
幻	u	an	去声	
撰	ts	uan	去声	
闩	s	uan	阴平	
栓	s	uan	阴平	
涮	s	ua	上声	
关	k	uan	阴平	
惯	k	uan	去声	
还	x	uan	去声	
环	x	uan	去声	
患	x	uan	去声	
宦	x	uan	去声	
弯		uan	阴平	
湾		uan	阴平	
恋	l	ian	去声	
痊	tɕʰ	yan	去声	
全	tɕʰ	yan	去声	
泉	tɕʰ	yan	去声	
宣	ɕ	yan	阴平	
选	ɕ	yan	上声	
转	tʂ	uan	上声	
转	tʂ	uan	去声	
传	tʂʰ	uan	去声	
椽	tʂ	uan	去声	
篆	tʂ	uan	去声	
传	tʂ	uan	去声	
专	tʂ	uan	阴平	
砖	tʂ	uan	阴平	
川	tʂʰ	uan	阴平	
穿	tʂʰ	uan	阴平	
喘	tʂʰ	uan	上声	
串	tʂʰ	uan	去声	
船	tʂʰ	uan	去声	
软		yan	上声	
圈	c	yan	去声	
拳	cʰ	yan	去声	
权	cʰ	yan	去声	
颧	cʰ	yan	阳平	
倦	c	yan	去声	
圆		yan	去声	
员		yan	去声	
院		yan	去声	
缘		yan	去声	
沿		ian	去声	
铅	cʰ	ian	阴平	
捐	c	yan	阴平	
反	f	an	上声	
贩	f	an	去声	
翻	f	an	阴平	
烦	f	an	去声	
矾	f	an	去声	
繁	f	an	去声	
饭	f	an	去声	
晚		uan	上声	
挽		uan	上声	
万		uan	去声	
蔓	m	an	去声	
劝	cʰ	yan	去声	
券	c	yan	去声	
元		yan	去声	
原		yan	去声	
源		yan	去声	
愿		yan	去声	
喧	ç	yan	阴平	
楦	ç	yan	去声	
冤		yan	阴平	
怨		yan	阴平	
园		yan	去声	
援		yan	阳平	
远		yan	上声	
犬	cʰ	yan	上声	
玄	ç	yan	去声	
悬	ç	yan	去声	
眩	ç	yan	去声	
渊		yan	阴平	
吞	tʰ	ən	阴平	
跟	k	an	阴平	
根	k	ən	阴平	
恳	kʰ	ən	上声	
垦	kʰ	ən	上声	
啃	kʰ	ən	上声	
痕	x	ən	去声	
很	x	ən	上声	
恨	x	ən	去声	
恩		ən	阴平	
彬	p	in	阴平	
宾	p	in	阴平	
殡	p	in	去声	
鬓	p	in	阴平	
贫	pʰ	in	去声	
频	pʰ	in	去声	
闽	m	in	阴平	
民	m	in	阳平	
悯	m	in	上声	
敏	m	in	上声	
泯	m	in	上声	
邻	l	in	去声	
鳞	l	in	阴平	
吝	l	in	去声	
津	tɕ	in	去声	
尽	tɕ	in	去声	
进	tɕ	in	去声	
晋	tɕ	in	去声	
亲	tɕʰ	in	阴平	
亲	tɕʰ	in	去声	
秦	tɕʰ	in	去声	
尽	tɕ	in	去声	
辛	ɕ	in	阴平	
新	ɕ	in	阴平	
信	ɕ	in	去声	
珍	tʂ	ən	阴平	
镇	tʂ	ən	去声	
趁	tʂʰ	ən	去声	
陈	tʂʰ	ən	去声	
尘	tʂʰ	ən	去声	
阵	tʂ	ən	去声	
真	tʂ	ən	阴平	
诊	tʂ	ən	阴平	
疹	tʂ	ən	上声	
振	tʂ	ən	去声	
震	tʂ	ən	去声	
神	ʂ	ən	去声	
身	ʂ	ən	阴平	
申	ʂ	ən	阳平	
伸	ʂ	ən	阴平	
辰	tʂʰ	ən	去声	
晨	tʂʰ	ən	去声	
臣	tʂʰ	ən	去声	
肾	ʂ	ən	上声	
慎	ʂ	ən	去声	
人		in	阴平	
仁		in	去声	
忍		in	上声	
刃		in	上声	
认		in	去声	
韧		in	去声	
巾	c	in	阴平	
紧	c	in	上声	
仅	c	in	上声	
银		in	去声	
因		in	阴平	
姻		in	阴平	
洇		in	阴平	
印		in	去声	
寅		in	上声	
引		in	上声	
斤	c	in	阴平	
筋	c	in	阴平	
谨	c	in	上声	
劲	c	in	去声	
勤	cʰ	in	去声	
芹	cʰ	in	去声	
近	c	in	去声	
欣	ç	in	阴平	
殷		in	上声	
隐		in	上声	
奔	p	ən	阴平	
锛	p	ən	阴平	
本	p	ən	上声	
喷	pʰ	ən	阴平	
盆	pʰ	ən	去声	
笨	p	ən	去声	
门	m	ən	阴平	
问	m	ən	去声	
墩	t	uən	去声	
顿	t	uən	阴平	
屯	tʰ	uən	去声	
囤	t	uən	去声	
沌	t	uən	去声	
盾	t	uən	去声	
钝	t	uən	去声	
遁	t	uən	去声	
嫩	l	ən	去声	
仑	l	ən	去声	
论	l	ən	去声	
尊	ts	ən	阴平	
樽	ts	ən	阴平	
村	tsʰ	ən	阴平	
忖	tsʰ	ən	上声	
寸	tsʰ	ən	去声	
存	tsʰ	ən	去声	
蹲	t	uən	阴平	
孙	s	ən	阴平	
损	s	ən	上声	
逊	s	uən	上声	
昆	kʰ	uən	阴平	
滚	k	uən	上声	
棍	k	uən	去声	
坤	kʰ	uən	阴平	
捆	kʰ	uən	上声	
困	kʰ	uən	去声	
昏	x	uən	阴平	
婚	x	uən	阴平	
魂	x	uən	去声	
锟	x	uən	去声	
浑	x	uən	去声	
混	x	uən	去声	
温		uən	阴平	
瘟		uən	阴平	
稳		uən	上声	
伦	l	ən	去声	
沦	l	ən	去声	
轮	l	ən	去声	
遵	ts	ən	阴平	
俊	tɕ	yn	去声	
荀	ɕ	yn	去声	
笋	s	uən	上声	
迅	ɕ	yn	去声	
循	ɕ	yn	去声	
巡	ɕ	yn	去声	
殉	ɕ	yn	去声	
椿	tʂʰ	uən	去声	
谆	tʂ	uən	去声	
准	tʂ	uən	上声	
春	tʂʰ	uən	阴平	
蠢	tʂʰ	uən	上声	
唇	tʂʰ	uən	去声	
盾	tʂʰ	uən	去声	
顺	tʂʰ	uən	去声	
舜	ʂ	uən	去声	
纯	tʂʰ	uən	去声	
醇	tʂʰ	uən	去声	
润		yn	去声	
闰		yn	去声	
均	c	yn	阴平	
菌	c	yn	上声	
匀		yn	阴平	
允		yn	上声	
尹		in	去声	
分	f	ən	阴平	
粉	f	ən	上声	
粪	f	ən	去声	
奋	f	ən	去声	
芬	f	ən	阴平	
纷	f	ən	阴平	
焚	f	ən	阳平	
坟	f	ən	去声	
愤	f	ən	去声	
份	f	ən	阴平	
文		uən	去声	
纹		uən	去声	
蚊		uən	阴平	
闻		uən	去声	
吻		uən	上声	
刎		uən	上声	
问		uən	去声	
阌		uən	去声	
君	c	yn	阴平	
军	c	yn	阴平	
群	cʰ	yn	去声	
裙	cʰ	yn	去声	
郡	c	yn	去声	
熏	ç	yn	去声	
勋	ç	yn	去声	
荤	x	uən	去声	
训	ç	yn	去声	
熨		yn	去声	
云		yn	去声	
韵		yn	上声	
运		yn	去声	
晕		yn	去声	
帮	p	aŋ	阴平	
榜	p	aŋ	上声	
谤	pʰ	aŋ	去声	
旁	pʰ	aŋ	去声	
螃	pʰ	aŋ	去声	
傍	p	aŋ	阴平	
忙	m	aŋ	阴平	
芒	m	aŋ	阳平	
莽	m	aŋ	上声	
蟒	m	aŋ	上声	
当	t	aŋ	阴平	
党	t	aŋ	上声	
汤	tʰ	aŋ	阴平	
倘	tʰ	aŋ	上声	
躺	tʰ	aŋ	上声	
烫	tʰ	aŋ	去声	
趟	tʰ	aŋ	去声	
堂	tʰ	aŋ	去声	
棠	tʰ	aŋ	去声	
糖	tʰ	aŋ	去声	
塘	tʰ	aŋ	去声	
荡	tʰ	aŋ	阴平	
宕	tʰ	aŋ	去声	
囊	n	aŋ	去声	
郎	l	aŋ	去声	
狼	l	aŋ	阴平	
螂	l	aŋ	去声	
朗	l	aŋ	去声	
浪	l	aŋ	去声	
赃	ts	aŋ	阴平	
脏	ts	aŋ	去声	
葬	ts	aŋ	去声	
仓	tsʰ	aŋ	阴平	
苍	tsʰ	aŋ	阴平	
藏	tsʰ	aŋ	去声	
藏	ts	aŋ	去声	
脏	ts	aŋ	去声	
桑	s	aŋ	阴平	
丧	s	aŋ	阴平	
嗓	s	aŋ	上声	
颡	s	aŋ	上声	
丧	s	aŋ	去声	
冈	k	aŋ	阳平	
岗	k	aŋ	上声	
刚	k	aŋ	阴平	
纲	k	aŋ	阴平	
钢	k	aŋ	阴平	
缸	k	aŋ	阴平	
杠	k	aŋ	去声	
康	kʰ	aŋ	阴平	
糠	kʰ	aŋ	阴平	
抗	kʰ	aŋ	去声	
炕	kʰ	aŋ	去声	
昂		iaŋ	阳平	
行	x	aŋ	去声	
航	x	aŋ	去声	
杭	x	aŋ	去声	
肮		aŋ	阴平	
娘	n	iaŋ	去声	
良	l	iaŋ	去声	
将	tɕ	iaŋ	阳平	
浆	tɕ	iaŋ	阴平	
奖	tɕ	iaŋ	上声	
桨	tɕ	iaŋ	上声	
酱	tɕ	iaŋ	去声	
将	tɕ	iaŋ	阴平	
枪	tɕʰ	iaŋ	阴平	
抢	tɕʰ	iaŋ	上声	
墙	tɕʰ	iaŋ	去声	
匠	ts	aŋ	阴平	
相	ɕ	iaŋ	去声	
箱	ɕ	iaŋ	阴平	
厢	ɕ	iaŋ	阴平	
湘	ɕ	iaŋ	阴平	
镶	ɕ	iaŋ	阴平	
想	ɕ	iaŋ	上声	
相	ɕ	iaŋ	去声	
详	ɕ	iaŋ	去声	
祥	ɕ	iaŋ	去声	
象	ɕ	iaŋ	去声	
像	ɕ	iaŋ	去声	
橡	ɕ	iaŋ	去声	
张	tʂ	aŋ	阴平	
长	tʂ	aŋ	去声	
帐	tʂ	aŋ	去声	
胀	tʂ	aŋ	去声	
畅	tʂʰ	aŋ	上声	
长	tʂʰ	aŋ	去声	
肠	tʂʰ	aŋ	去声	
丈	tʂ	aŋ	去声	
仗	tʂ	aŋ	去声	
杖	tʂ	aŋ	去声	
庄	tʂ	uaŋ	阴平	
装	tʂ	uaŋ	阴平	
壮	tʂ	uaŋ	阴平	
闯	tʂʰ	uaŋ	上声	
创	tʂʰ	uaŋ	上声	
床	tʂʰ	uaŋ	去声	
状	tʂ	uaŋ	去声	
霜	ʂ	uaŋ	阴平	
爽	ʂ	uaŋ	上声	
章	tʂ	aŋ	阴平	
樟	tʂ	aŋ	阴平	
掌	tʂ	aŋ	上声	
昌	tʂʰ	aŋ	阴平	
菖	tʂʰ	aŋ	阴平	
厂	tʂʰ	aŋ	上声	
唱	tʂʰ	aŋ	去声	
倡	tʂʰ	aŋ	阴平	
商	ʂ	aŋ	阴平	
伤	ʂ	aŋ	阴平	
赏	ʂ	aŋ	上声	
晌	ç	iaŋ	上声	
常	tʂʰ	aŋ	去声	
偿	ʂ	aŋ	阴平	
尚	ʂ	aŋ	阴平	
上	ʂ	aŋ	去声	
瓤		iaŋ	去声	
穰		iaŋ	去声	
壤		iaŋ	去声	
让		iaŋ	去声	
疆	c	iaŋ	阴平	
僵	c	iaŋ	阴平	
礓	c	iaŋ	阴平	
缰	c	iaŋ	阴平	
姜	c	iaŋ	阴平	
羌	cʰ	iaŋ	阴平	
强	cʰ	iaŋ	阳平	
强	cʰ	iaŋ	上声	
仰	c	iaŋ	上声	
香	ɕ	iaŋ	阴平	
乡	ɕ	iaŋ	阴平	
享	ɕ	iaŋ	上声	
响	ɕ	iaŋ	上声	
向	ɕ	iaŋ	去声	
央		iaŋ	去声	
秧		iaŋ	阴平	
殃		iaŋ	去声	
羊		iaŋ	阴平	
洋		iaŋ	去声	
杨		iaŋ	去声	
阳		iaŋ	去声	
扬		iaŋ	去声	
养		iaŋ	上声	
痒		iaŋ	上声	
样		iaŋ	去声	
光	k	uaŋ	阴平	
广	k	uaŋ	上声	
旷	kʰ	uaŋ	阴平	
荒	x	uaŋ	阴平	
慌	x	uaŋ	阴平	
谎	x	uaŋ	上声	
黄	x	uaŋ	去声	
簧	x	uaŋ	去声	
皇	x	uaŋ	去声	
蝗	x	uaŋ	去声	
晃	x	uaŋ	上声	
汪		uaŋ	去声	
方	f	aŋ	阴平	
仿	f	aŋ	上声	
放	f	aŋ	去声	
芳	f	aŋ	阴平	
妨	f	aŋ	阴平	
纺	f	aŋ	阴平	
仿	f	aŋ	阴平	
房	f	aŋ	去声	
防	f	aŋ	去声	
网		uaŋ	上声	
望		uaŋ	去声	
忘		uaŋ	去声	
妄		uaŋ	去声	
逛	kʰ	uaŋ	去声	
匡	kʰ	uaŋ	去声	
筐	kʰ	uaŋ	阴平	
眶	kʰ	uaŋ	去声	
狂	kʰ	uaŋ	去声	
况	kʰ	uaŋ	去声	
枉		uaŋ	去声	
王		uaŋ	去声	
往		uaŋ	上声	
旺		uaŋ	去声	
邦	p	aŋ	阴平	
绑	p	aŋ	上声	
胖	pʰ	aŋ	去声	
庞	pʰ	aŋ	阴平	
棒	p	aŋ	去声	
桩	tʂ	uaŋ	阴平	
撞	tʂʰ	uaŋ	去声	
窗	tʂʰ	uaŋ	阴平	
双	ʂ	uaŋ	阴平	
江	c	iaŋ	阴平	
豇	c	iaŋ	阴平	
讲	c	iaŋ	上声	
港	k	aŋ	上声	
虹	x	oŋ	去声	
降	ɕ	iaŋ	去声	
项	ɕ	iaŋ	去声	
巷	ɕ	iaŋ	去声	
崩	p	əŋ	阴平	
朋	pʰ	əŋ	去声	
登	t	əŋ	阴平	
灯	t	əŋ	阴平	
等	t	əŋ	上声	
