字	音	注釋		调类	阴平	阳平	上声	去声	阴入	阳入
優	iəu³⁵									
尤	iəu¹³	~其								
郵	iəu¹³									
由	iəu¹³									
油	iəu¹³									
有	iəu³⁵									
友	iəu³⁵									
幼	iəu⁵³									
又	iəu⁵³									
右	iəu⁵³									
佑	iəu⁵³	保~								
班	pan³⁵									
斑	pan³⁵									
扳	pan³⁵	~手								
般	pan³⁵									
搬	pan³⁵									
板	pan²¹									
半	pan⁵³									
伴	pʰɔn⁵³									
辦	pʰan⁵³									
拌	pʰan⁵³									
攀	pʰan³⁵									
潘	pʰan³⁵									
盤	pʰan¹³									
判	pʰɔn⁵³									
蠻	man¹³									
瞞	man¹³									
滿	man³⁵	~意								
慢	man⁵³									
帆	fan³⁵									
翻	fan³⁵									
番	fan³⁵	三~五次，~茄								
凡	fan¹³									
煩	fan¹³									
反	fan²¹									
範	fan⁵³									
飯	fan⁵³									
犯	fan⁵³									
販	fan⁵³									
擔	tan³⁵	~任；挑~子								
丹	tan³⁵									
單	tan³⁵	~獨，~身								
膽	tan²¹									
淡	tʰan³⁵									
旦	tan⁵³									
但	tan⁵³									
彈	tʰan⁵³	子~								
	tʰan¹³	~琴								
蛋	tʰan⁵³									
貪	tʰan³⁵									
灘	tʰan³⁵									
攤	tʰan³⁵									
譚	tʰan¹³									
談	tʰan¹³									
痰	tʰan¹³									
檀	tʰan¹³									
毯	tʰan²¹									
坦	tʰan²¹									
炭	tʰan⁵³									
歎	tʰan⁵³									
南	lan¹³									
男	lan¹³									
難	lan¹³	~易，~處								
	lan⁵³	患~，遇~								
藍	lan¹³									
籃	lan⁵³									
蘭	lan¹³									
攔	lan¹³									
欄	lan¹³									
覽	lan²¹									
攬	lan²¹									
懶	lan³⁵									
爛	lan⁵³									
濫	lan⁵³									
暫	ʦʰan⁵³									
贊	ʦan⁵³									
參	ʦʰan³⁵	~加								
	sen³⁵	人~								
餐	ʦʰɔn³⁵									
蠶	ʦʰan¹³									
殘	ʦʰan¹³									
慘	ʦʰan²¹									
三	san³⁵									
傘	san⁵³									
散	san²¹	松~								
	san⁵³	~會								
沾	tʂen³⁵									
氈	tʂan³⁵	油毛~，~帽								
盞	ʦan²¹									
斬	ʦan²¹									
展	tʂen²¹									
站	ʦan⁵³	車~								
占	tʂan³⁵	~卦								
佔	tʂen⁵³	~領								
戰	tʂen⁵³									
蟬	ʂan¹³									
纏	tʂʰen¹³									
鏟	ʦʰan²¹									
產	ʦʰan²¹									
衫	san³⁵									
山	san³⁵									
陝	ʂan²¹									
扇	ʂen⁵³									
善	ʂen⁵³									
然	ien¹³									
燃	ɲien¹³									
染	ɲian⁵³									
甘	kan³⁵									
柑	kan³⁵									
肝	kɔn³⁵									
竿	kɔn³⁵	竹~，釣魚~								
乾	kɔn³⁵	~濕								
	cʰien¹³	~坤								
敢	kan²¹									
感	kɔn²¹									
杆	kɔn²¹	筆~子，電線~								
稈	kɔn²¹	高粱~								
趕	kɔn²¹									
幹	kɔn⁵³	~部								
堪	kʰɔn³⁵									
看	kʰɔn⁵³	~守所，~見								
刊	kʰɔn³⁵									
函	xɔn¹³									
寒	xɔn¹³									
韓	xɔn¹³									
含	xɔn¹³									
喊	xan²¹									
汗	xɔn⁵³									
漢	xɔn⁵³									
旱	xɔn⁵³									
安	ɔn³⁵									
岸	an⁵³									
暗	an⁵³									
按	ŋɔn⁵³									
案	ŋɔn⁵³									
鞭	pien³⁵									
編	pʰien³⁵									
邊	pien³⁵									
貶	pien²¹									
扁	pien²¹									
匾	pien²¹									
變	pien⁵³									
辨	pʰien⁵³	~別								
辯	pʰien⁵³	~護，~解								
便	pʰien⁵³	方~								
	pʰien¹³	~宜								
辮	pʰien⁵³									
遍	pʰien⁵³									
篇	pʰien³⁵									
偏	pʰien³⁵									
片	pʰien⁵³									
騙	pʰien⁵³									
綿	mien¹³									
棉	mien¹³									
眠	mien¹³									
免	mien³⁵									
勉	mien³⁵									
面	mien⁵³	~子，臉~								
麵	mien⁵³	~條								
顛	tien³⁵									
癲	tien³⁵									
典	tian²¹									
點	tian²¹									
店	tian⁵³									
電	tʰien⁵³									
殿	tian⁵³	宮~								
佃	tʰien⁵³	~戶								
天	tʰien³⁵									
添	tʰian³⁵									
甜	tʰian¹³									
田	tʰien¹³									
填	tʰien¹³									
舔	tʰien²¹									
年	ɲien¹³									
碾	ŋan³⁵	~米								
念	ɲian⁵³									
連	lien¹³									
蓮	lien¹³									
廉	lian¹³	禮義~恥								
鐮	lian¹³									
簾	lian¹³									
聯	lien¹³									
憐	lien¹³									
臉	lien²¹									
戀	lien⁵³									
練	lien⁵³	~習								
鏈	lien⁵³									
尖	ʦian³⁵									
殲	ʦʰien³⁵	~滅								
煎	ʦien³⁵									
兼	cian³⁵									
艱	kan³⁵									
奸	kan³⁵									
肩	cien³⁵									
堅	cien³⁵									
間	kan³⁵	房~								
	kan⁵³	~隔								
剪	ʦien²¹									
鹼	kan²¹									
儉	cien²¹	節~								
簡	kan²¹									
撿	cian²¹									
繭	cien²¹	蠶~								
減	kan²¹									
檢	cian²¹									
漸	ʦʰien⁵³									
箭	ʦien⁵³									
薦	ʦien⁵³									
件	cʰien⁵³									
建	cien⁵³									
健	cʰien⁵³									
賤	ʦʰien⁵³									
見	cien⁵³									
劍	cian⁵³									
牽	cʰien³⁵									
籖	ʦʰian³⁵	求~								
簽	ʦʰian³⁵	~字								
遷	ʦʰien³⁵									
千	ʦʰien³⁵									
謙	cʰian³⁵									
鉛	ʦʰien³⁵	~鋅礦								
	vien¹³	~筆								
錢	ʦʰien¹³									
前	ʦʰien¹³									
鉗	cʰian¹³									
淺	ʦʰien²¹									
欠	cʰian⁵³									
先	sien³⁵									
仙	sien³⁵									
鮮	sien³⁵	新~								
	sien²¹	朝~								
鹹	xan¹³	~淡								
銜	xan¹³									
嫌	çian¹³									
閒	xan¹³									
賢	çien¹³									
險	çien²¹									
顯	çien²¹									
線	sien⁵³									
限	xan⁵³									
陷	xan⁵³									
莧	xan⁵³	~菜								
憲	çien⁵³									
獻	çien⁵³									
現	çien⁵³									
縣	çien⁵³									
煙	ien³⁵									
鹽	ian¹³									
簷	ian¹³	屋~								
閻	ɲian¹³									
顏	ŋan¹³									
研	ɲien³⁵									
嚴	ɲien¹³									
延	ien¹³									
言	ɲien¹³									
眼	ŋan²¹									
掩	ien²¹									
演	ien²¹									
驗	ɲian⁵³									
厭	ien⁵³									
雁	ŋan⁵³									
晏	ŋan⁵³									
硯	ien⁵³									
燕	ien⁵³									
宴	ien⁵³									
端	tɔn³⁵									
短	tɔn²¹									
斷	tɔn⁵³	~定，~言								
	tʰɔn³⁵	~奶								
鍛	tɔn⁵³									
段	tɔn⁵³									
緞	tʰɔn⁵³									
團	tʰɔn¹³									
暖	lɔn³⁵									
卵	lo²¹									
亂	lɔn⁵³									
鑽	ʦɔn³⁵	~空子								
	ʦɔn⁵³	~孔，電~								
酸	sɔn³⁵									
算	sɔn³⁵									
蒜	sɔn⁵³									
專	tʂɔn³⁵									
磚	tʂɔn³⁵									
轉	tʂɔn²¹	~移								
	tʂuɔn⁵³	~圈								
賺	ʦʰan⁵³									
傳	tʂʰɔn⁵³	~記								
	tʂʰɔn¹³	~達								
川	tʂʰɔn³⁵									
穿	tʂʰɔn³⁵									
船	ʂɔn¹³									
椽	ʂɔn¹³	~子								
串	tʂʰɔn⁵³									
閂	ʦʰɔn³⁵	門~								
軟	ɲiɔn³⁵									
官	kɔn³⁵									
關	kuan³⁵									
觀	kɔn³⁵	參~								
	kɔn⁵³	寺~								
冠	kɔn³⁵	雞~								
	kɔn⁵³	冠~								
管	kɔn²¹									
館	kɔn²¹									
貫	kɔn⁵³									
灌	kɔn⁵³									
罐	kɔn⁵³									
慣	kuan⁵³									
寬	kʰɔn³⁵									
款	kʰɔn²¹									
歡	fɔn³⁵									
還	uan¹³	~錢，歸~								
環	fan¹³									
緩	fɔn²¹									
換	uɔn⁵³									
喚	fɔn⁵³									
煥	xɔn⁵³									
患	fan⁵³									
豌	uan³⁵	~豆								
彎	uan³⁵									
灣	uan³⁵									
完	uɔn¹³									
丸	ien¹³									
頑	ŋan¹³									
碗	uɔn²¹									
晚	uan²¹									
挽	uan²¹									
萬	uan⁵³									
捐	tʂan³⁵									
捲	cien²¹	~起來								
卷	tʂen⁵³	考~								
倦	tʂen⁵³	疲~								
圈	cʰien³⁵	圓~								
泉	ʦʰan¹³									
拳	cʰien¹³									
全	ʦʰien¹³									
權	tʂʰen¹³									
顴	tʂʰen¹³									
犬	cʰien²¹									
勸	tʂʰen²¹									
宣	sien³⁵									
旋	sien¹³									
玄	çien¹³									
懸	çien¹³									
選	sien²¹									
癬	sien²¹									
楦	çien⁵³	鞋~子								
冤	ien³⁵									
圓	ien¹³									
元	ɲien¹³									
緣	ien¹³									
員	ien¹³									
原	ɲien¹³									
源	ɲien¹³									
袁	ien¹³									
園	ien¹³									
轅	ien¹³									
援	ien¹³									
遠	ien²¹									
願	ɲien⁵³									
院	ien⁵³	白								
	vien⁵³	文								
怨	ien⁵³	~恨								
奔	pən³⁵									
本	pən²¹									
噴	pʰən⁵³	~水								
	pʰəŋ³⁵	~腥								
盆	pʰən¹³									
門	mən¹³									
悶	mən⁵³									
分	fən³⁵	~家，~開								
	pən³⁵	給								
紛	fən³⁵									
墳	fən¹³									
粉	fən²¹									
憤	fən⁵³									
糞	pən⁵³									
奮	fən⁵³									
份	fən⁵³									
森	sen³⁵									
針	tʂən³⁵									
珍	tʂən³⁵									
真	tʂən³⁵									
肫	cʰin³⁵	鳥胃。雞~								
貞	tʂən³⁵									
偵	tʂən³⁵									
枕	tʂən²¹									
診	tʂən²¹									
疹	tʂən²¹	麻~								
鎮	tʂən⁵³									
振	tʂən²¹	白								
	tʂən⁵³	文								
陣	tʂʰən⁵³									
震	tʂən⁵³									
塵	tʂʰən¹³									
陳	tʂʰən¹³									
沉	tʂʰən¹³									
晨	ʂən¹³									
辰	ʂən¹³									
臣	tʂʰən¹³									
趁	tʂʰən⁵³									
襯	ʦʰən⁵³	~衣								
稱	tʂʰən⁵³	對~								
	tʂʰən³⁵	~呼								
深	tʂʰən³⁵									
身	ʂən³⁵									
申	ʂən³⁵									
伸	tʂʰən³⁵									
嬸	ʂən²¹									
神	ʂən¹³									
審	ʂən²¹									
沈	ʂən²¹									
滲	ʂən⁵³									
甚	ʂən⁵³									
腎	ʂən⁵³									
慎	ʂən⁵³									
仁	in¹³									
人	ɲin¹³									
忍	ɲin³⁵									
任	uən⁵³	~務								
認	ɲin⁵³									
刃	uən⁵³									
跟	cien³⁵									
根	cien³⁵									
肯	xen²¹	白								
	cʰien²¹	文								
懇	cʰien²¹									
墾	cʰien²¹									
啃	cʰien²¹									
很	xen²¹									
恨	xen⁵³									
恩	ɲien³⁵									
賓	pin³⁵									
殯	pin⁵³	~儀館，~葬								
拼	pʰin³⁵	~湊								
貧	pʰin¹³									
頻	pʰin¹³									
品	pʰin²¹									
聘	pʰin²¹	白								
	pʰin⁵³	文								
民	min¹³									
敏	min²¹									
臨	lin⁵³									
鄰	lin¹³									
林	lin¹³									
淋	lin¹³	~濕，~油								
鱗	lin¹³	魚~								
磷	lin¹³	~肥								
津	ʦin³⁵									
今	cin³⁵									
金	cin³⁵									
巾	cin³⁵									
斤	cin³⁵									
筋	cin³⁵									
緊	cin²¹									
僅	ʦʰin⁵³									
儘	ʦin²¹	~好的吃								
近	cʰin³⁵									
進	ʦʰin⁵³									
禁	cin⁵³	~止								
勁	cin⁵³									
盡	ʦʰin⁵³	~力								
侵	ʦʰin³⁵									
親	ʦʰin³⁵	~戚；~家								
秦	ʦʰin¹³									
琴	cʰin¹³									
禽	cʰin¹³									
勤	cʰin¹³									
芹	cʰin¹³									
寢	ʦʰin²¹									
辛	sin³⁵									
新	sin³⁵									
心	sin³⁵									
欣	çin³⁵									
信	sin⁵³									
音	in³⁵									
陰	in³⁵									
因	in³⁵									
姻	in³⁵									
銀	ɲin¹³									
寅	in¹³									
引	in²¹									
飲	in²¹	~料								
隱	in²¹									
印	in⁵³									
敦	tən³⁵									
墩	tən³⁵									
盾	tən⁵³	矛~，~牌								
頓	tən⁵³									
鈍	tʰən⁵³									
吞	tʰən³⁵									
嫩	lən⁵³									
輪	lən¹³									
論	lən⁵³	議~								
尊	ʦən³⁵									
遵	ʦən³⁵									
村	ʦʰən³⁵									
存	ʦʰən¹³									
寸	ʦʰən⁵³									
孫	sən³⁵									
損	sən²¹									
筍	sən²¹									
准	tʂən²¹									
春	tʂʰən³⁵									
唇	ʂən¹³									
純	ʂən¹³									
蠢	tʂʰən²¹									
順	ʂən⁵³									
閏	in⁵³									
潤	in⁵³									
滾	kuən²¹									
棍	kuən⁵³									
昆	kʰuən³⁵									
坤	kʰuən³⁵									
捆	kʰuən²¹									
困	kʰuən⁵³									
昏	fən³⁵									
婚	fən³⁵									
葷	fən³⁵	~菜								
魂	fən¹³									
渾	uən¹³									
混	fən⁵³									
溫	uən³⁵									
瘟	uən³⁵									
聞	uən¹³									
文	uən¹³									
紋	uən¹³	~路，魚尾~								
蚊	mən³⁵	~子，~香								
穩	uən²¹									
問	uən⁵³									
均	tʂən³⁵									
君	tʂən³⁵									
軍	tʂən³⁵									
俊	ʦən⁵³									
群	tʂʰən¹³									
裙	cʰin¹³									
熏	çin³⁵									
勳	ʂən³⁵									
旬	sən¹³									
循	sən¹³									
巡	sən¹³									
尋	ʦʰin¹³									
訓	ʂən⁵³									
訊	sin⁵³	通~社								
迅	sin⁵³	~速								
雲	in¹³									
勻	in¹³									
允	in²¹									
熨	in⁵³									
運	in⁵³	白								
	uən⁵³	文								
暈	in³⁵	~倒；月~，~車								
韻	uən⁵³									
孕	uən⁵³									
幫	pɔŋ³⁵									
邦	pɔŋ³⁵	聯~								
榜	pɔŋ²¹									
綁	pɔŋ²¹									
棒	pɔŋ⁵³									
旁	pʰɔŋ¹³									
胖	pʰɔŋ⁵³									
忙	mɔŋ¹³									
方	fɔŋ³⁵									
芳	fɔŋ³⁵									
防	fɔŋ¹³									
房	fɔŋ¹³									
紡	fɔŋ²¹									
訪	fɔŋ²¹									
放	fɔŋ⁵³									
當	tɔŋ³⁵	~家，~幹部								
	tɔŋ⁵³	上~，~鋪								
黨	tɔŋ²¹									
擋	tɔŋ²¹									
湯	tʰɔŋ³⁵									
堂	tʰɔŋ¹³									
唐	tʰɔŋ¹³									
糖	tʰɔŋ¹³									
塘	tʰɔŋ¹³									
搪	tʰɔŋ¹³	~瓷								
躺	tʰɔŋ²¹									
燙	tʰɔŋ⁵³	水太~，~頭髮								
趟	tʰɔŋ⁵³									
郎	lɔŋ¹³									
廊	lɔŋ¹³									
狼	lɔŋ¹³									
浪	lɔŋ⁵³									
贓	ʦɔŋ³⁵									
髒	ʦɔŋ³⁵	~水								
藏	ʦʰɔŋ⁵³	西~								
	ʦʰɔŋ¹³	隱~								
臓	ʦʰɔŋ⁵³	心~								
葬	ʦɔŋ⁵³									
倉	ʦʰɔŋ³⁵									
蒼	ʦʰɔŋ³⁵									
桑	sɔŋ³⁵									
喪	sɔŋ³⁵	婚~，辦~事								
	sɔŋ⁵³	~失								
嗓	sɔŋ²¹									
張	tʂɔŋ³⁵									
章	tʂɔŋ³⁵									
樟	tʂɔŋ³⁵									
掌	tʂɔŋ²¹									
長	tʂɔŋ²¹	生~，~草，~高								
	tʂʰɔŋ¹³	~短								
漲	tʂɔŋ²¹	~水								
丈	tʂʰɔŋ⁵³									
杖	tʂʰɔŋ⁵³									
仗	tʂɔŋ⁵³	打~								
	tʂʰɔŋ⁵³	~勢欺人								
帳	tʂɔŋ⁵³	蚊								
賬	tʂɔŋ⁵³	算~，~本								
脹	tʂɔŋ⁵³									
障	tʂɔŋ⁵³									
昌	tʂʰɔŋ³⁵									
腸	tʂʰɔŋ¹³									
常	ʂɔŋ¹³	白								
	tʂʰɔŋ¹³	文								
嘗	ʂɔŋ¹³									
償	ʂɔŋ²¹	賠~								
場	tʂʰɔŋ²¹	操~								
廠	tʂʰɔŋ²¹									
暢	tʂʰɔŋ⁵³									
唱	tʂʰɔŋ⁵³									
商	ʂɔŋ³⁵									
上	ʂɔŋ³⁵	白								
	ʂɔŋ⁵³	文								
尚	ʂɔŋ⁵³	和~								
壤	ɲiɔŋ⁵³	土~								
讓	ɲiɔŋ⁵³									
岡	kɔŋ³⁵	井~山								
剛	kɔŋ³⁵	~強，~才								
綱	kɔŋ³⁵									
缸	kɔŋ³⁵									
鋼	kɔŋ³⁵	~鐵								
港	kɔŋ²¹									
杠	kɔŋ⁵³									
康	kʰɔŋ³⁵									
糠	xɔŋ³⁵									
抗	kʰɔŋ⁵³									
炕	kʰɔŋ⁵³									
行	xɔŋ¹³	外~，銀~								
	xaŋ¹³	白，~路								
	çin¹³	文，~為								
航	xɔŋ¹³									
杭	xɔŋ¹³									
昂	ŋɔŋ¹³									
娘	ɲiɔŋ¹³									
良	liɔŋ¹³									
涼	liɔŋ¹³									
量	liɔŋ¹³	~長短，~米								
	liɔŋ⁵³	容~，氣~								
輛	liɔŋ¹³									
將	ʦiɔŋ³⁵	~來，~軍								
	ʦiɔŋ⁵³	大~，兵來~擋								
漿	ʦiɔŋ³⁵	豆~								
疆	ciɔŋ³⁵									
薑	ciɔŋ³⁵	生~								
姜	ciɔŋ³⁵	姓。孟~女								
江	kɔŋ³⁵									
講	kɔŋ²¹									
蔣	ʦiɔŋ²¹									
獎	ʦiɔŋ²¹									
匠	siɔŋ⁵³									
醬	ʦiɔŋ⁵³									
降	ciɔŋ⁵³	下~								
	cʰiɔŋ¹³	投~								
槍	ʦʰiɔŋ³⁵									
腔	cʰiɔŋ³⁵									
強	cʰiɔŋ¹³	~大								
牆	ʦʰiɔŋ¹³									
搶	ʦʰiɔŋ²¹									
相	siɔŋ³⁵	互~								
	siɔŋ⁵³	~貌								
箱	siɔŋ³⁵									
廂	siɔŋ³⁵	~房，包~								
湘	siɔŋ³⁵									
鑲	siɔŋ³⁵									
香	çiɔŋ³⁵									
鄉	çiɔŋ³⁵									
詳	ʦʰiɔŋ¹³									
祥	ʦʰiɔŋ¹³									
翔	ʦʰiɔŋ¹³									
想	siɔŋ²¹									
享	çiɔŋ²¹									
響	çiɔŋ²¹									
餉	çiɔŋ²¹									
向	çiɔŋ⁵³									
像	ʦʰiɔŋ⁵³	父子相~								
象	siɔŋ⁵³	大~								
橡	siɔŋ⁵³	~皮，~膠								
項	xɔŋ⁵³									
巷	xɔŋ⁵³									
央	iɔŋ³⁵									
秧	iɔŋ³⁵									
殃	iɔŋ³⁵	禍國~民，遭~								
羊	iɔŋ¹³									
洋	iɔŋ¹³									
楊	iɔŋ¹³									
陽	iɔŋ¹³									
揚	iɔŋ¹³									
仰	ɲiɔŋ²¹									
養	iɔŋ³⁵									
癢	iɔŋ³⁵									
樣	iɔŋ⁵³									
莊	ʦɔŋ³⁵									
裝	ʦɔŋ³⁵									
樁	ʦɔŋ³⁵									
狀	ʦʰɔŋ⁵³									
壯	ʦɔŋ⁵³									
撞	ʦʰɔŋ⁵³									
瘡	ʦʰɔŋ³⁵									
窗	ʦʰɔŋ³⁵									
床	ʦʰɔŋ¹³									
闖	tʂʰɔŋ²¹									
創	ʦʰɔŋ⁵³									
霜	sɔŋ³⁵									
雙	səŋ³⁵	白								
	sɔŋ³⁵	文								
爽	sɔŋ²¹									
光	kɔŋ³⁵									
廣	kɔŋ²¹									
筐	kʰɔŋ³⁵									
狂	kʰɔŋ¹³									
況	kʰɔŋ⁵³									
礦	kʰɔŋ⁵³									
荒	fɔŋ³⁵									
慌	fɔŋ³⁵	~張								
黃	uɔŋ¹³									
皇	fɔŋ¹³									
蝗	fɔn¹³									
謊	fɔŋ²¹	~話								
汪	uɔŋ³⁵									
亡	mɔŋ¹³									
王	uɔŋ¹³									
往	uɔŋ³⁵	白								
	uɔŋ²¹	文								
網	mɔŋ²¹									
望	uɔŋ⁵³									
忘	uɔŋ¹³	白								
	uɔŋ⁵³	文								
旺	uɔŋ⁵³									
崩	pien³⁵	“邊”的訓讀音								
烹	pʰən³⁵									
朋	pʰəŋ¹³									
彭	pʰaŋ¹³									
棚	pʰaŋ¹³	白								
	pʰəŋ¹³	文								
彭	pʰaŋ¹³									
膨	pʰaŋ¹³									
篷	pʰəŋ¹³									
捧	pəŋ²¹									
碰	pʰəŋ⁵³									
盟	məŋ¹³									
蒙	məŋ¹³									
猛	məŋ²¹									
孟	məŋ⁵³	姓。~姜女								
夢	məŋ⁵³									
豐	fəŋ³⁵									
風	fəŋ³⁵									
瘋	fəŋ³⁵									
封	fəŋ³⁵									
峰	fəŋ³⁵									
鋒	fəŋ³⁵									
蜂	fəŋ³⁵									
馮	fəŋ¹³									
逢	fəŋ¹³									
縫	fəŋ¹³	~衣服，裁~								
	pʰəŋ⁵³	一條~								
諷	fəŋ²¹									
奉	fəŋ⁵³									
鳳	fəŋ⁵³									
登	ten³⁵									
燈	ten³⁵									
等	ten²¹									
凳	ten⁵³									
鄧	tʰen⁵³									
騰	tʰen¹³									
謄	tʰen¹³									
藤	tʰen¹³									
能	len¹³									
冷	laŋ³⁵									
曾	ʦen³⁵	姓								
	ʦʰen¹³	白，~經，不~								
	ʦʰən¹³	文								
增	ʦen³⁵									
贈	ʦen³⁵									
層	ʦʰen¹³									
僧	sen³⁵									
箏	ʦen³⁵									
睜	ʦaŋ³⁵									
蒸	tʂən³⁵									
爭	ʦaŋ³⁵									
正	tʂaŋ³⁵	~月								
	tʂən⁵³	~好								
征	tʂən³⁵									
整	tʂaŋ²¹	白								
	tʂən²¹	文								
證	tʂən⁵³									
鄭	tʂʰaŋ⁵³	白								
	tʂʰən⁵³	文								
政	tʂən⁵³									
撐	ʦʰaŋ⁵³	~船，白								
	ʦʰaŋ³⁵	文								
橙	tʂʰaŋ¹³	白								
	tʂʰən¹³	文								
乘	ʂən¹³	加減~除，坐								
承	tʂʰən¹³									
丞	tʂʰən¹³									
呈	tʂʰən¹³									
程	tʂʰən¹³									
城	tʂʰən¹³									
成	ʂaŋ¹³	白								
	tʂʰən¹³	文								
誠	tʂʰən¹³									
盛	tʂʰən¹³	~滿								
	ʂən⁵³	興~								
秤	tʂʰən⁵³									
升	ʂən³⁵									
生	saŋ³⁵	白								
	sen³⁵	文，~產隊								
聲	saŋ³⁵									
牲	saŋ³⁵									
甥	saŋ³⁵	外~								
繩	ʂən¹³									
省	saŋ²¹	~錢								
	sen²¹	湖南~；反~								
剩	ʂən⁵³									
勝	ʂən⁵³									
聖	ʂən⁵³									
庚	kaŋ³⁵	白								
	ken³⁵	文								
更	kaŋ³⁵	三~半夜								
	ken³⁵	~正；~換								
	ken⁵³	~加；~上一層樓								
耕	ken³⁵									
坑	xaŋ³⁵									
橫	uaŋ¹³	~豎								
	xen⁵³	蠻~								
恒	xen¹³									
衡	xen¹³									
兵	pin³⁵									
冰	pin³⁵									
餅	piaŋ²¹									
丙	piaŋ²¹	白								
	pin²¹	文								
並	pin⁵³									
病	pʰiaŋ⁵³									
憑	pʰin¹³									
平	pʰiaŋ¹³	白								
	pʰin¹³	文								
評	pʰin¹³									
瓶	pʰin¹³									
屏	pʰin¹³									
萍	pʰin¹³									
明	miaŋ¹³	白								
	min¹³	文								
鳴	min¹³									
名	miaŋ¹³	白								
	min¹³	文								
命	miaŋ⁵³	白								
	min⁵³	文								
丁	tin³⁵									
釘	taŋ³⁵	名詞。~子，鐵~								
	taŋ³⁵	白，動詞。~釘子								
	tin⁵³	文								
頂	taŋ²¹									
鼎	tin²¹									
訂	tin⁵³									
定	tʰiaŋ⁵³	白								
	tʰin⁵³	文								
聽	tʰaŋ³⁵	~說								
廳	tʰaŋ³⁵	白								
	tʰin³⁵	文								
亭	tʰin¹³									
停	tʰin¹³									
廷	tʰin¹³	朝~								
庭	tʰin¹³									
挺	tʰin²¹									
艇	tʰin²¹									
寧	lin¹³	~靜								
陵	lin¹³									
菱	lin¹³									
靈	lin¹³									
鈴	laŋ¹³	白								
	lin¹³	文								
零	laŋ¹³	白								
	liŋ¹³	文								
領	liaŋ³⁵	白								
	lin³⁵	文								
嶺	liaŋ³⁵									
令	lin⁵³									
另	laŋ⁵³	白								
	lin⁵³	文								
經	cin³⁵									
精	ʦin³⁵									
晶	ʦin³⁵									
睛	ʦiaŋ³⁵									
京	cin³⁵									
驚	ciaŋ³⁵									
井	ʦiaŋ²¹									
景	cin²¹									
警	cin²¹									
頸	ciaŋ²¹									
淨	ʦʰiaŋ⁵³	白								
	ʦʰin⁵³	文								
靜	ʦʰin⁵³									
境	cin⁵³									
竟	cin⁵³	畢~								
敬	cin⁵³									
鏡	cin⁵³									
競	cin⁵³	~賽								
輕	cʰiaŋ³⁵	白								
	cʰin³⁵	文								
清	ʦʰiaŋ³⁵	白								
	ʦʰin³⁵	文								
青	ʦʰiaŋ³⁵	白								
	ʦʰin³⁵	文								
傾	kʰuaŋ³⁵	白								
	tʂʰən³⁵	文								
情	ʦʰin¹³									
晴	ʦʰiaŋ¹³									
請	ʦʰiaŋ¹³									
慶	cʰin⁵³									
星	siaŋ³⁵	白								
	sin³⁵	文								
腥	siaŋ³⁵									
興	çin³⁵	~旺								
	çin⁵³	高~								
形	çin¹³									
型	çin¹³									
刑	çin¹³									
醒	siaŋ²¹									
姓	siaŋ⁵³	白								
	sin⁵³	文								
杏	çin⁵³									
幸	çin⁵³									
鷹	in³⁵									
應	in⁵³	~當；文，~急，~用								
	en⁵³	白，~聲								
鸚	in³⁵	~鵡								
英	in³⁵									
嬰	in³⁵									
纓	in³⁵									
營	in¹³									
迎	ɲiaŋ¹³									
贏	iaŋ¹³									
螢	in¹³	~火蟲，~光燈								
影	iaŋ²¹	白								
	in²¹	文								
硬	ŋaŋ⁵³									
東	təŋ³⁵									
冬	təŋ³⁵									
董	təŋ²¹									
懂	təŋ²¹									
動	tʰəŋ³⁵	白								
	tʰəŋ⁵³	文								
凍	təŋ⁵³									
洞	tʰəŋ⁵³									
通	tʰəŋ³⁵									
同	tʰəŋ¹³									
銅	tʰəŋ¹³									
桐	tʰəŋ¹³									
童	tʰəŋ¹³									
瞳	tʰəŋ¹³	~孔								
筒	tʰəŋ¹³	竹~								
桶	tʰəŋ²¹									
統	tʰəŋ²¹									
痛	tʰəŋ⁵³									
農	ləŋ¹³									
膿	ləŋ¹³									
濃	ɲiəŋ¹³	白								
	ləŋ¹³	文								
弄	ləŋ⁵³									
籠	ləŋ³⁵	白								
	ləŋ²¹	文								
聾	ləŋ³⁵									
隆	ləŋ¹³									
龍	liəŋ¹³									
攏	ləŋ³⁵									
棕	ʦəŋ³⁵	~繩								
鬃	ʦəŋ³⁵	豬~								
宗	ʦəŋ³⁵									
蹤	ʦəŋ³⁵	無影無~，失~								
總	ʦəŋ²¹									
粽	ʦəŋ³⁵	~子								
縱	ʦəŋ⁵³									
聰	ʦʰəŋ³⁵									
匆	ʦʰəŋ³⁵									
蔥	ʦʰəŋ³⁵									
囪	ʦʰəŋ³⁵	煙~								
從	ʦʰəŋ¹³									
叢	ʦʰəŋ¹³									
松	ʦʰəŋ³⁵									
送	səŋ⁵³									
宋	səŋ⁵³									
誦	səŋ⁵³									
頌	səŋ⁵³									
訟	səŋ⁵³	訴~								
中	tʂəŋ³⁵	當~，~間								
	tʂəŋ⁵³	射~，~獎								
忠	tʂəŋ³⁵									
終	tʂəŋ³⁵									
鐘	tʂəŋ³⁵	~錶								
鍾	tʂəŋ³⁵	姓。~情								
種	tʂəŋ²¹	~類								
	tʂəŋ⁵³	~樹								
腫	tʂəŋ²¹									
眾	tʂəŋ⁵³									
重	tʂʰəŋ³⁵	~量，一斤~								
	tʂʰəŋ¹³	~複，~新								
充	tʂʰəŋ³⁵									
衝	tsʰəŋ³⁵	~鋒								
