#漢字	音標
𩇪	fui6
𩇪	fɨi6+
翡	fui6
翡	fɨi6+
𧕿	fui6
𧕿	fɨi6+
㔗	fui6
㔗	fɨi6+
狒	fui6
狒	fɨi6+
䀟	fui6
䀟	fɨi6+
𥄱	fui6
𥄱	fɨi6+
𥄱	pʰot7
萉	fui6
萉	fɨi6+
𡌦	fui6
𡌦	fɨi6+
䨾	fui6
䨾	fɨi6+
屝	fui6
屝	fɨi6+
𤲳	fui6
𤲳	fɨi6+
𧌘	fui6
𧌘	fɨi6+
䠊	fui6
䠊	fɨi6+
㵒	fui6
㵒	fɨi6+
𦦔	fui6
𦦔	fɨi6+
𥝋	fui6
𥝋	fɨi6+
黂	fui6
黂	fɨi6+
怫	fui6
怫	fut8
怫	fɨi6+
怫	fɨt8
彗	fui6
彗	fɨi6+
會	fui6
會	fɨi6+
會	ui6=
匯	fui6
匯	fɨi6+
瘣	fui6
瘣	fɨi6+
䕇	fui6
䕇	fɨi6+
䕇	kui1
䜋	fui6
䜋	fɨi6+
䜋	kʰui3
㱱	fui6
㱱	fɨi6+
𨝀	fui6
𨝀	fɨi6+
𨝀	ui3
廆	fui6
廆	fɨi6+
䢈	fui6
䢈	fɨi6+
禬	fui6
禬	fɨi6+
禬	kui5
檜	fui6
檜	fɨi6+
檜	kui5
檜	kuot7
燴	fui6
燴	fɨi6+
𨘇	fui6
𨘇	fɨi6+
𨘇	ɕien6
繪	fui6
繪	fɨi6+
螝	fui6
螝	fɨi6+
螝	kui1
螝	kui5
䛛	fui6
䛛	fɨi6+
闠	fui6
闠	fɨi6+
吠	fui6
吠	fɨi6+
𩵥	fui6
𩵥	fɨi6+
鼣	fui6
鼣	fɨi6+
惠	fui6
惠	fɨi6+
慧	fui6
慧	fɨi6+
蕙	fui6
蕙	fɨi6+
潓	fui6
潓	fɨi6+
憓	fui6
憓	fɨi6+
橞	fui6
橞	fɨi6+
㩨	fui6
㩨	fɨi6+
蟪	fui6
蟪	fɨi6+
譓	fui6
譓	fɨi6+
儶	fui6
儶	fɨi6+
鏸	fui6
鏸	fɨi6+
繐	fui6
繐	fɨi6+
繐	sui5
搥	tui1
鎚	tsʰui2
鎚	tsʰui6
鎚	tui1
𠂤	tui1
堆	tui1
𢈹	tui1
塠	tui1
嵟	tui1
𡏩	tui1
磓	tui1
𩈜	tui1
鴭	tui1
䭔	tui1
䜃	tui1
頧	tui1
頧	tui3
敦	tui1
敦	tun1
敦	tun5
敦	tɨn1+
敦	tɨn5+
敦	tʰon2
𠩰	tui1
𡑈	tui3
䇏	tui3
𦞙	tui3
謉	kui5
謉	tui3
祋	tot7
祋	tui5
碓	tui5
對	tui5
𡭊	tui5
𠏮	tui5
𣝉	tui5
轛	tsui5
轛	tui5
推	tʰui1
𨋱	tʰui1
蓷	tsʰui1
蓷	tʰui1
㞜	tʰui1
𨌴	tʰui1
藬	tʰui1
㷟	tʰui1
㢈	tʰui2
隤	tʰui2
尵	tʰui2
頹	tʰui2
頽	tʰui2
𤗴	tʰui2
魋	tʰui2
㿉	tʰui2
𧝋	tʰui2
蘈	tʰui2
蹪	tʰui2
穨	tʰui2
𧮓	tʰui2
𩓬	tʰui2
僓	kʰui3
僓	tʰui3
㞂	tʰui3
㱣	tʰui3
脮	lui3
脮	tʰui3
骽	tʰui3
聉	tsot7
聉	tʰui3
聉	uat7
聉	ȵit7
𨓤	tʰui3
𡯵	tʰui3
退	tʰui3
𢓴	tʰui3
㥆	tʰui3
㥆	tʰut7
㥆	tʰɨt7
褪	tʰui3
裞	sui5
裞	tʰui3
娧	tʰui3
娧	yot7
蛻	tʰui3
駾	tʰui3
錞	sun5
錞	tʰui6
陮	tʰui6
𦶏	tʰui6
𨯝	tʰui6
瀢	tʰui6
瀢	ui3
隊	tʰui6
憝	tʰui6
薱	tʰui6
濧	tʰui6
䯟	tʰui6
譈	tʰui6
𩐌	tʰui6
䨴	tʰui6
鐓	tʰui6
憞	tʰui6
䃍	tʰui6
兊	tʰui6
兌	tʰui6
㟋	tʰui6
綐	tʰui6
𩊭	tʰui6
轠	lui3
轠	lui5
耒	lui3
耒	lui6
誄	lui3
𡻭	lui3
藟	lui3
壘	lui3
𤢹	lui3
櫐	lui3
蘽	lui3
讄	lui3
㶟	lui3
㶟	lui5
鸓	lui3
鸓	lui5
蜼	iu6
蜼	lui3
蜼	ui6
厽	lui3
垒	lui3
絫	lui3
樏	lui3
樏	lui5
䉂	lui3
甤	lui3
甤	lui5
蕊	lui3
繠	lui3
蘂	lui3
㼏	lui3
餒	lui3
𩗔	lui3
鮾	lui3
浽	lui3
浽	sui1
娞	lui3
餧	lui3
餧	ui5
櫑	lui3
櫑	lui5
礧	lui3
礧	lui6
䣂	lui3
䣂	lui6
𨻾	lui3
磊	lui3
𡼊	lui3
蕾	lui3
磥	lui3
儡	lui3
儡	lui5
𡾋	lui3
癗	lui3
㵽	lui3
𦢏	lui3
鑘	lui3
鑘	lui5
頛	lui3
嫘	lui5
縲	lui5
瓃	lui5
瓃	lui6
虆	lui5
𡿔	lui5
𡤯	lui5
欙	lui5
𤜖	lui5
𥍔	lui5
纝	lui5
纍	lui5
纍	lui6
儽	lui5
儽	lui6
㠥	lui5
羸	lui5
䅑	lui5
䅑	sui1
緌	lui5
蕤	lui5
桵	lui5
䬐	lui5
𨡌	lui5
𢅼	lan6
𢅼	lui5
𩂩	lui5
畾	lui5
檑	lui5
檑	lui6
𤮚	lui5
㔣	lui5
㔣	lui6
𦌵	lui5
罍	lui5
鐳	lui5
擂	lui5
擂	lui6
靁	lui5
䐯	lui5
蘱	lui6
禷	lui6
𦝭	lui6
䄲	lui6
內	lui6
内	lui6
䒹	lui6
酹	lui6
銇	lui6
錑	lui6
攂	lui6
𥣬	lui6
纇	lui6
𡔇	lui6
㲕	lot7
㲕	lui6
頪	lui6
䬽	lui6
䬽	sui5
䓲	lui6
䓲	yot7
蜹	lot7
蜹	lui6
睿	lui6
銳	lui6
叡	lui6
鈉	lat7
鈉	lui6
芮	lui6
汭	lui6
枘	lui6
蚋	lot7
蚋	lui6
笍	lui6
笍	tsui5
腄	iu5
腄	tsui1
腄	tsʰui2
箠	tsui1
箠	tsui3
㩾	tsui1
追	tsui1
䨨	tsui1
娺	tsot7
娺	tsui1
嶉	tsui1
檇	tsui1
檇	tsui5
檇	tsʰui2
臇	tsui1
臇	tɕyon3
𤎱	tsui1
𤎱	tɕyon3
㷷	tsui1
𦸺	tsui1
䮔	tsui1
䮔	tsui3
萑	fon5
萑	tsui1
隹	tsui1
㮅	tsui1
錐	tsui1
騅	tsui1
鵻	tsui1
鵻	ɕyn3
𪋇	tsui1
䶆	tsui1
脧	tsui1
𡱥	tsui1
䘒	tsui1
濢	tsui3
濢	tsʰui3
臎	tsui3
臎	tsʰui3
噿	tsui3
嘴	tsui3
捶	tsui3
棰	tsui3
𦓝	tson3
𦓝	tsui3
沝	tsui3
洅	tsui3
嶊	tsui3
娷	tsui5
諈	tsui5
醉	tsui5
惴	tsui5
𦥻	tsui5
𦦇	tsui5
綷	tsui5
𢃒	tsui5
晬	tsui5
祽	tsui5
𪓌	tsui5
捘	tsui5
捘	tsun5
捘	tɕʰyn1
最	tsui5
𧎹	tsui5
啜	sui6
啜	tsot7
啜	tsui5
啜	tsʰot7
輟	tsot7
輟	tsui5
卂	tsui5
卂	ɕin5
腏	tot7
腏	tsot7
腏	tsui5
䄌	tsui5
畷	tsot7
畷	tsui5
綴	tsot7
綴	tsui5
醊	tsot7
醊	tsui5
錣	tsot7
錣	tsui5
餟	tsot7
餟	tsui5
𧑎	tsui5
𧑎	tsʰui3
㨹	tsui5
㨹	ɕyot7
蕝	tsui5
蕝	tɕyot7
𠭥	sui5
𠭥	tsui5
贅	tsui5
夊	sui1
夊	tsʰui1
吹	tsʰui1
炊	tsʰui1
龡	tsʰui1
䶴	tsʰui1
䶴	tsʰui3
崔	tsʰui1
催	tsʰui1
𨻵	tsʰui1
𢕘	tsʰui1
𧽠	tsʰui1
縗	tsʰui1
桘	tsʰui2
槌	tsʰui2
顀	tsʰui2
椎	tsʰui2
錘	tsʰui2
甀	tsʰui2
甀	tsʰui6
圌	tsʰon2
圌	tsʰui2
篅	tsʰon2
篅	tsʰui2
𥳙	tsʰui2
垂	tsʰui2
倕	tsʰui2
𠂹	tsʰui2
陲	tsʰui2
𡍮	tsʰui2
𦈼	tsʰui2
𨿠	sui6
𨿠	tsʰui2
脽	tsʰui2
䜅	tsʰeu1
䜅	tsʰui2
䜅	ui5
摧	tsʰui2
慛	tsʰui2
槯	tsʰui2
膗	tsʰui2
𢶀	tsʰui2
趡	tsʰui3
趡	tɕieu5
趡	tɕʰieu6
𨿐	tsʰui3
踓	tsʰui3
踓	ui3
翠	tsʰui3
萃	tsʰui3
悴	tsʰui3
瘁	tsʰui3
㿷	tsʰau3
㿷	tsʰui3
𥞃	tsʰui3
漼	tsʰui3
璀	tsʰui3
皠	tsʰui3
𣿓	tsʰui3
𣿒	tsʰui3
䊫	tsʰui3
𥼺	tsʰui3
啐	sui5
啐	tsʰui3
啐	tɕyt7
淬	tsʰui3
焠	tsʰui3
䃀	tsʰui3
倅	tsut7
倅	tsʰui3
𥨒	tsʰui3
𦦣	tsʰui3
𨅎	tsʰui3
襊	tsʰot7
襊	tsʰui3
𠽶	tsʰui3
𣤌	tsʰui3
䴝	tsʰui3
嘬	tsʰui3
脆	tsʰui3
脃	tsʰui3
毳	tsʰui3
㯔	tsʰui3
膬	tsʰui3
膬	tɕʰyot7
竁	tsʰon3
竁	tsʰui3
𣃍	tsʰui3
韢	tsʰui3
㓹	tsʰui3
帨	sui5
帨	tsʰui3
𤂳	tsʰui3
𤂳	ɕyon5
粹	tsʰui3
硾	tsʰui6
膇	tsʰui6
縋	tsʰui6
懟	tsʰui6
墜	tsʰui6
㠑	tsʰui6
㱖	tsʰui6
顇	tsʰui6
䆊	tsʰui6
罪	tsʰui6
辠	tsʰui6
蕞	tsʰui6
𥳣	tsʰui6
㧳	tsʰui6
𨮱	tsʰui6
䒘	sui1
荾	sui1
濉	sui1
雖	sui1
綏	sui1
奞	sui1
奞	ɕieu1
奞	ɕin5
奞	ɕyn5
榱	sui1
𤸬	sui1
䭨	sui1
䭨	sui5
䪎	sui1
𤗯	sui1
毸	sui1
挼	sui1
嶲	sui3
靃	fɔk7
靃	fɔʔ7+
靃	sui3
𣿂	sui3
䭉	sui3
髓	sui3
氵	sui3
水	sui3
睟	sui5
賥	sui5
誶	sui5
誶	tɕʰyt8
𢢝	sui5
邃	sui5
譢	sui5
瀡	sui5
䅗	sui5
𥶻	sui5
誰	sui5
㽷	sui5
𥤼	sui5
𤭢	sui5
碎	sui5
繀	sui5
𣩡	sui5
𥕸	sui5
𥊴	sui5
櫘	sui5
歲	sui5
歳	sui5
𦄑	sui5
𠻜	sot7
𠻜	sui5
涗	sui5
稅	sui5
說	sot7
說	sui5
說	yot7
𤢍	sui6
蔧	sui6
𥝩	sui6
㒸	sui6
遂	sui6
𣔾	sui6
隧	sui6
𦼯	sui6
澻	sui6
𤎩	sui6
𦂁	sui6
璲	sui6
檖	sui6
燧	sui6
穗	sui6
穟	sui6
䉌	sui6
襚	sui6
旞	sui6
䡵	sui6
鐆	sui6
鐩	sui6
𩏚	sui6
𤓫	sui6
𨎥	sui6
菙	sui6
㥨	sui6
瑞	sui6
睡	sui6
槥	sui6
槥	ui6
篲	sui6
𥱵	sui6
𥱵	ɕit7
𥱵	ɕit8
𢅫	sui6
䵻	sui6
𪔊	sui6
軎	sui6
軎	ui6
轊	sui6
轊	ui6
鏏	sui6
皈	kui1
㱕	kui1
歸	kui1
騩	kui1
騩	kui5
規	kui1
𨾚	kui1
摫	kui1
槻	kui1
𩓡	kui1
𩓸	kui1
鬹	kui1
𠃾	kui1
𤕣	kui1
𪚦	kui1
龜	kui1
鱖	kui1
鱖	kui5
鱖	tɕyot7
鱖	tɕʰyot8
頄	kui1
頄	kʰui2
頄	tɕʰiu2
䟸	kui1
䟸	kʰui2
媯	kui1
嬀	kui1
溈	kui1
溈	ui5
潙	kui1
潙	ui5
膭	kui1
膭	kʰui3
𠐤	kui1
𤪿	kui1
瓌	kui1
鞼	kui1
鞼	kʰui6
傀	kui1
傀	kʰui3
圭	kui1
邽	kui1
茥	kui1
茥	kʰui1
珪	kui1
𡌲	kui1
袿	kui1
𦓯	kui1
閨	kui1
𨾴	kui1
𪊧	kui1
氿	kui3
宄	kui3
𧗝	kui3
軌	kui3
匭	kui3
𠥗	kui3
晷	kui3
𣷾	kui3
厬	kui3
簋	kui3
頯	kui3
頯	kʰui2
朹	kui3
朹	tɕʰiu2
㔲	kui3
佹	kui3
䣀	kui3
䣀	kʰui6
䃽	kui3
陒	kui3
垝	kui3
垝	kui5
恑	kui3
姽	kui3
姽	ui3
庪	kui3
祪	kui3
蛫	kui3
觤	kui3
詭	kui3
䤥	kui3
𪀗	kui3
𪀗	ui3
蟡	kui3
蟡	ui1
攱	kui3
攱	kui5
洈	kui3
洈	ui5
桅	kui3
桅	ui5
鬼	kui3
癸	kui3
湀	kui3
湀	kʰui1
湀	kʰui6
湀	tɕʰyot7
昋	kui3
𣧎	kui3
炅	kuen3
炅	kui3
炅	tɕiuŋ3
𤰮	kui3
筀	kui3
䳏	kui3
炔	kui3
䁛	kui5
頍	kui5
頍	kʰui3
愧	kui5
媿	kui5
聭	kui5
餽	kui5
餽	kʰui6
瞡	kui5
𢈌	kui5
䞈	kui5
貴	kui5
瞶	kui5
瞶	ui6
𠐽	kui5
𠐽	kʰui2
𢶒	kui5
䐴	kui5
劊	kui5
劊	kuot7
襘	kui5
澮	kui5
巜	kui5
儈	kui5
鄶	kui5
廥	kui5
膾	kui5
旝	kui5
䯤	kui5
鱠	kui5
鬠	kui5
鬠	uot8
䈐	kui5
簂	kui5
𪏤	kui5
蔮	kui5
幗	kuet7
幗	kui5
慖	kuet7
慖	kui5
憒	kui5
䵋	kui5
䵋	ui3
劌	kui5
𨇙	kui5
𠜾	kui5
𠜾	tɕyt7
蹶	kui5
蹶	tɕyot7
𤜂	kui5
𤜂	kʰui6
𤜂	ui6
桂	kui5
窺	kʰui1
闚	kʰui1
虧	kʰui1
蘬	kʰui1
蘬	kʰui3
巋	kʰui1
巋	kʰui3
𧢦	kʰui1
𧢦	kʰui2
㷇	kʰui1
詼	kʰui1
𥲖	kʰui1
盔	kʰui1
顝	kʰui1
顝	kʰui3
顝	kʰut7
魁	kʰui1
刲	kʰui1
𠝥	kʰui1
㨒	kʰui1
聧	kʰui1
䯓	kʰui1
奎	kʰui1
䖯	kʰui1
楏	kʰui1
暌	kʰui1
睽	kʰui1
蝰	kʰui1
藈	kʰui1
艽	kau1
艽	kʰui2
艽	tɕʰiu2
𢌳	kʰui2
逵	kʰui2
𠊾	kʰui2
𠊾	kʰui6
馗	kʰui2
馗	tɕʰiu2
𨾗	kʰui2
𦝢	kʰui2
戣	kʰui2
𣦞	kʰui2
鍨	kʰui2
騤	kʰui2
騤	tɕyot7
夔	kʰui2
躨	kʰui2
犪	kʰui2
鄈	kʰui2
葵	kʰui2
𢜽	kʰui2
𢜽	kʰui6
楑	kʰui2
楑	kʰui6
𧍜	kʰui2
𩹍	kʰui2
䳫	kʰui2
跪	kʰui3
跪	kʰui6
𣄲	kʰui3
䞨	kʰui3
跬	kʰui3
䠑	kʰui3
䙡	kʰui3
𥽂	kʰui3
𧝷	kʰui3
𨌗	kʰui3
尯	kʰui3
樻	kʰui3
樻	kʰui6
䯣	kʰui3
䰎	kʰui3
腃	kʰui3
觖	kʰui3
觖	tɕyot7
磈	kʰui3
磈	ui3
㚍	kʰui3
殨	kʰui3
繢	kʰui3
潰	kʰui3
𥏙	kʰui3
揆	kʰui6
猤	kʰui6
痵	kʰui6
𡬄	kʰui6
櫃	kʰui6
𩌃	kʰui6
𦆠	kʰui6
匱	kʰui6
饋	kʰui6
𠀐	kʰui6
薇	ui1
危	ui1=
危	ui5-
逶	ui1
㮃	ui1
覣	ui1
䴧	ui1
𣨙	ui1
𣨙	ui5
蜲	ui1
蜲	ui3
威	ui1
隇	ui1
葳	ui1
㟪	ui1
楲	ui1
蝛	ui1
鰄	ui1
媁	ui1
媁	ui3
嵔	ui1
嵔	ui3
𩗯	ui1
偎	ui1
隈	ui1
隈	ui5
揋	ui1
葨	ui1
渨	ui1
椳	ui1
煨	ui1
䋿	ui1
𧤖	ui1
鰃	ui1
𤮰	ui1
烓	kʰuen3
烓	tɕʰiuŋ3
烓	ui1
𧟼	ui1
娓	ui3
浘	ui3
艉	ui3
䞔	ui3
䬿	ui3
亹	mɨn5
亹	ui3
斖	ui3
䅏	ui3
硊	ui3
頠	ui3
犩	ui3
犩	ui5
魏	ui3
偽	ui3
僞	ui3
委	ui3
萎	ui3
痿	ui3
骫	ui3
䍴	ui3
䍴	ui5
蘤	ui3
𤾸	ui3
鄬	ui3
鄬	ui5
寪	ui3
蔿	ui3
薳	ui3
儰	ui3
𤺉	ui3
鍏	ui3
鍏	ui5
偉	ui3
𢯷	ui3
葦	ui3
愇	ui3
瑋	ui3
椲	ui3
暐	ui3
煒	ui3
韙	ui3
𩘚	ui3
韡	ui3
洧	ui3
鮪	ui3
痏	ui3
蓶	ui3
蓶	ui5
㨊	ui3
壝	ui3
壝	ui5
撱	ui3
䔺	ui3
䔺	ui5
䝐	ui3
䝐	ui5
芛	ui3
芛	yt7
𤼒	ui3
䓈	ui3
䓈	yt7
峞	ui3
峞	ui5
嵬	ui3
嵬	ui5
隗	ui3
䃬	ui3
㞇	ui3
猥	ui3
㛱	ui3
𥓔	ui3
㱬	ui3
腲	ui3
鍡	ui3
𢼸	ui5
癓	ui5
䥩	ui5
㨅	ui5
㢻	ui5
諉	ui5
㕒	ui5
峗	ui5
巍	ui5
恚	ui5
㜇	ui5
畏	ui5
尉	ui5
尉	yt7
喂	ui5
㷉	ui5
蔚	ui5
蔚	yt7
犚	ui5
慰	ui5
罻	ui5
餵	ui5
螱	ui5
褽	ui5
䲁	ui5
𧕈	ui5
婔	ui5
囗	ui5
韋	ui5
幃	ui5
圍	ui5
圍	ui6
湋	ui5
違	ui5
𢾁	ui5
潿	ui5
𠆎	ui5
𩎯	ui5
闈	ui5
䙟	ui5
𧝕	ui5
為	ui5
爲	ui5
爲	ui6
帷	ui5
𣄧	ui5
唯	ui5
惟	ui5
琟	ui5
維	ui5
濰	ui5
𥌰	ui5
𧔥	ui5
𧔥	ui6
𩁌	ui5
𧲚	ui5
欈	ui5
鮠	ui5
磑	ui5
磑	ui6
阢	ui5
阢	ut7
薈	ui5
嬒	ui5
嬒	uot7
瞺	ui5
𩲄	ui5
薉	ui5
獩	ui5
穢	ui5
饖	ui5
䮹	ui5
未	ui6
味	ui6
𡶎	ui6
菋	ui6
䊊	ui6
𩑵	ui6
鮇	ui6
彚	ui6
彙	ui6
緯	ui6
胃	ui6
𦳢	ui6
𢍚	ui6
渭	ui6
㥜	ui6
媦	ui6
煟	ui6
蝟	ui6
𦩝	ui6
緭	ui6
謂	ui6
䬑	ui6
䬑	yt7
𨾂	ui6
𩹂	ui6
位	ui6
𤀷	ui6
𢣘	ui6
䗽	ui6
瓗	ui6
䜜	ui6
贀	ui6
熭	ui6
熭	yot7
衛	ui6
衞	ui6
𥶽	ui6
𧲔	ui6
讏	ui6
𧲝	ui6
𨚔	pau1
𨚔	pʰau1
𠅬	pau1
煲	pau1
褒	pau1
襃	pau1
勹	pau1
包	pau1
佨	pau1
苞	pau1
胞	pau1
胞	pʰau1
𠤏	pau3
𡥀	pau3
𣎼	pau3
保	pau3
珤	pau3
䎂	pau3
堢	pau3
葆	pau3
堡	pau3
駂	pau3
褓	pau3
鴇	pau3
緥	pau3
賲	pau3
寶	pau3
宲	pau3
飽	pau3
𩛁	pau3
𩝰	pau3
報	pau5
豹	pau5
𢖔	pau5
爆	pau5
𧭤	pau5
䶂	pau5
䶂	tit7
䶂	tsɔk7
䶂	tsɔʔ7+
䶂	tɕiɔk7
䶂	tɕiɔʔ7+
藨	pieu1
藨	pʰau1
藨	pʰieu6
㲏	pʰau1
䫽	pʰau1
㯱	pʰau1
浮	feu5=
浮	pʰau1-
𢿏	pʰau1
䍖	feu5
䍖	pʰau1
𦫶	pʰau1
𦫶	tɕiu1
𠐋	lau5
𠐋	pʰau1
抛	pʰau1
抛	pʰau3
拋	pʰau1
脬	pʰau1
泡	pʰau1
泡	pʰau3
袌	pʰau2
袌	pʰau6
袍	pʰau2
軳	pʰau2
齙	pʰau2
鉋	pʰau2
鉋	pʰau6
颮	pʰau2
颮	pʰɔk7
颮	pʰɔʔ7+
麃	pʰau2
麃	pʰieu3
瓟	pʰau2
瓟	pʰɔk7
瓟	pʰɔk8
瓟	pʰɔʔ7+
瓟	pʰɔʔ8+
尥	lieu6
尥	pʰau2
刨	pʰau2
咆	pʰau2
狍	pʰau2
庖	pʰau2
炰	pʰau2
匏	pʰau2
鞄	pʰau2
鞄	pʰau6
鞄	pʰɔk7
鞄	pʰɔʔ7+
麅	pʰau2
跑	pʰau2
㯡	pʰau2
捊	pʰau2
捊	pʰeu3
掊	feu5
掊	pʰau2
掊	pʰeu3
窌	lau5
窌	liu6
窌	pʰau3
奅	pʰau3
炮	pʰau3
疱	pʰau3
疱	pʰau6
皰	pʰau3
皰	pʰau6
麭	pʰau3
礮	pʰau3
抱	pʰau6
勽	pʰau6
勽	un3
菢	pʰau6
𤔣	pʰau6
暴	pʰau6
暴	pʰuk8
暴	pʰuʔ8+
虣	pʰau6
𪇰	puk7
𪇰	puʔ7+
𪇰	pɔk7
𪇰	pɔʔ7+
𪇰	pʰau6
曝	pʰau6
曝	pʰuk8
曝	pʰuʔ8+
孢	pʰau6
骲	pʰau6
骲	pʰuk7
骲	pʰuʔ7+
骲	pʰɔk7
骲	pʰɔk8
骲	pʰɔʔ7+
骲	pʰɔʔ8+
鮑	pʰau6
𡂟	pʰau6
靤	pʰau6
毛	mau1-
毛	mau5=
𠔼	mau3
𠔼	meu6
蓩	mau3
蓩	muk7
蓩	muʔ7+
冃	mau3
冃	mau6
䓮	mau3
䓮	meu6
茆	liu3
茆	mau3
緢	mau3
緢	mau6
緢	mieu5
卯	mau3
戼	mau3
峁	mau3
泖	mau3
昴	mau3
鉚	mau3
媌	mau3
媌	mau5
枆	mau5
牦	mau5
旄	mau5
旄	mau6
酕	mau5
堥	mau5
𣹪	mau5
髦	mau5
錨	mau5
芼	mau5
芼	mau6
楙	mau5
楙	meu6
㮘	mau5
貓	mau5
貓	mieu5-
罞	mau5
罞	muŋ5
鶜	mau5
猫	mau5=
猫	mieu5-
矛	mau5=
矛	mieu5-
𢦵	mau5
蟊	mau5
𩭾	mau5
冇	mau6
𤣽	mau6
㺺	mau6
眊	mau6
眊	mɔk7
眊	mɔʔ7+
冒	mau6
冒	met7
耄	mau6
䋃	mau6
覒	mau6
𢯾	mau6
帽	mau6
𣔺	mau6
𣔺	muk7
𣔺	muʔ7+
𦹾	mau6
𥈆	mau6
𥈆	ɕiuk7
𥈆	ɕiuʔ7+
𩿂	mau6
𧂕	mau6
㲝	mau6
皃	mau6
皃	mɔk7
皃	mɔʔ7+
𢂹	mau6
䡚	mau6
貌	mau6
𢅉	mau6
䫉	mau6
刂	tau1
刀	tau1
忉	tau1
朷	muk7
朷	muʔ7+
朷	tau1
氘	tau1
舠	tau1
魛	tau1
𩕯	tau1
懤	tau3
懤	tsʰɨu2+
懤	tsʰɨu6+
懤	tɕʰiu2
懤	tɕʰiu6
倒	tau3
倒	tau5
倒	tʰau6
島	tau3
禂	tau3
搗	tau3
㨶	tau3
㠀	tau3
壔	tau3
擣	tau3
禱	tau3
禱	tau5
㿒	tau3
㿒	tsʰɨu6+
㿒	tɕʰiu6
䮻	tau3
檮	tau3
檮	tsʰɨu2+
檮	tɕʰiu2
檮	tʰau2
到	tau5
𤓾	tau5
菿	tau5
菿	tsɔk7
菿	tsɔʔ7+
𧛔	tau5
𧛔	tuk7
𧛔	tuʔ7+
夲	tʰau1
𠌪	tʰau1
綢	tsʰɨu2+
綢	tɕʰiu2
綢	tʰau1
叨	tʰau1
翢	tʰau1
翢	tʰau2
𠦎	tʰau1
𠬢	tʰau1
𠦂	tʰau1
弢	tʰau1
𤘸	tʰau1
掏	tʰau1
掏	tʰau2
絛	tʰau1
詜	tʰau1
搯	tʰau1
幍	tʰau1
滔	tʰau1
慆	tʰau1
瑫	tʰau1
槄	tʰau1
槄	tʰau3
𠚜	tʰau1
䈱	tʰau1
縚	tʰau1
謟	tʰau1
㹗	tʰau1
韜	tʰau1
𩥓	tʰau1
饕	tʰau1
洮	ieu5
洮	tʰau1
蜪	tʰau1
蜪	tʰau2
𠚡	tʰau1
翿	tʰau2
翿	tʰau6
錭	tʰau2
濤	tʰau2
燾	tʰau2
燾	tʰau6
匋	tʰau2
咷	tʰau2
咷	tʰieu3
逃	tʰau2
桃	tʰau2
陶	tʰau2
萄	tʰau2
啕	tʰau2
淘	tʰau2
䛌	tʰau2
裪	tʰau2
鞀	tʰau2
綯	tʰau2
鞉	tʰau2
䛬	tʰau2
駣	tsʰeu6
駣	tʰau2
駣	tʰau6
騊	tʰau2
鼗	tʰau2
䬞	tsʰɨu2+
䬞	tɕʰiu2
䬞	tʰau2
討	tʰau3
𡘷	tʰau3
𡬲	tʰau6
道	tʰau6
𡬹	tʰau6
稻	tʰau6
衟	tʰau6
𣜦	tʰau6
䆃	tʰau6
𨱵	lau3
𨱵	lau6
𨱵	tʰau6
儔	tsʰɨu2+
儔	tɕʰiu2
儔	tʰau6
幬	tsʰɨu2+
幬	tɕʰiu2
幬	tʰau6
導	tʰau6
蹈	tʰau6
悼	tʰau6
盜	tʰau6
䊭	tʰau6
䌦	tʰau6
䌦	tʰit8
纛	tʰau6
纛	tʰuk8
纛	tʰuʔ8+
𠺛	tʰau6
撈	lau1
孬	lau1
𠜶	lau3
匘	lau3
堖	lau3
㺁	lau3
惱	lau3
㛴	lau3
瑙	lau3
腦	lau3
碯	lau3
𧳦	lau3
𩔇	lau3
老	lau3
佬	lau3
荖	lau3
恅	lau3
栳	lau3
銠	lau3
橑	lau3
橑	lieu5
𡂕	lau3
䕩	lau3
轑	lau3
䝤	lau3
䝤	tsau3
䵏	lau3
𣠼	lau3
澇	lau3
澇	lau5
澇	lau6
獠	lau3
獠	lieu5
獠	tsau3
潦	lau3
潦	lau6
獿	lau3
獿	lau5
㺒	hau6
㺒	lau3
峱	lau5
猱	lau5
猱	ȵiu6
𢜸	lau5
䛝	lau5
嶩	lau5
巎	lau5
𤫕	lau5
㺜	lau5
㺜	luŋ5
憹	lau5
憹	luŋ5
𤣜	lau5
訄	kʰau1
訄	lau5
訄	tɕʰiu1
訄	tɕʰiu2
牢	lau5
窂	lau5
哰	lau5
㟉	lau5
勞	lau5
㗦	lau5
𣘪	lau5
嶗	lau5
𨦭	lau5
𤩂	lau5
憥	lau5
䝁	lau5
醪	lau5
蟧	lau5
蟧	lieu5
簩	lau5
𧰉	lau5
鐒	lau5
髝	lau5
髝	lau6
嫪	lau5
嫪	lau6
䜮	lau5
䜮	lieu5
𦗖	lau5
𦗖	lieu5
簝	lau5
簝	lieu5
呶	lau5
𣲿	lau5
怓	lau5
硇	lau5
撓	hau1
撓	lau5
𡽧	lau5
鐃	lau5
䴃	lau5
𥗰	lau5
𥗸	lau5
譊	lau5
顟	lau5
賿	lau5
腝	lau6
腝	lon3
腝	lun6
腝	lɨn6
腝	ȵyon3
僗	lau6
癆	lau6
橯	lau6
耮	lau6
𣟽	lau6
𠆴	lau6
淖	lau6
閙	lau6
鬧	lau6
橈	lau6
橈	leu5
傮	tsau1
槽	tsau1
槽	tsʰau2
𦵩	tsau1
𦵩	tɕʰiu2
遭	tsau1
