			中山石岐話			中山環城話			南蓢白話			珠海唐家話												
	淒		tsʰ	ɐi	1	tsʰ	ɐi	1	tsʰ	ɐi	1	tsʰ	ɐi	1										
	悽		tsʰ	ɐi	1	tsʰ	ɐi	1	tsʰ	ɐi	1	tsʰ	ɐi	1										
	齊		tsʰ	ɐi	4	tsʰ	ɐi	4	tsʰ	ɐi	4	tsʰ	ɐi	4										
	臍		tsʰ	i	4	tsʰ	i	4	tsʰ	i	4	tsʰ	i	4										
	棲		tsʰ	ɐi	1	tsʰ	ɐi	1	tsʰ	ɐi	1	tsʰ	ɐi	1										
	犀		s	ɐi	1	s	ɐi	1	s	ɐi	1	s	ɐi	1										
	撕		s	i	1	s	i	1	s	i	1	s	i	1										
	西		s	ɐi	1	s	ɐi	1	s	ɐi	1	s	ɐi	1										
	嘶		s	ɐi	1	s	ɐi	1	s	ɐi	1	s	ɐi	1										
	圭		kʷ	ɐi	1	kʷ	ɐi	1	kʷ	ɐi	1	k	ɐi	1										
	雞		k	ɐi	1	k	ɐi	1	k	ɐi	1	k	ɐi	1										
	閨		kʷ	ɐi	1	kʷ	ɐi	1	kʷ	ɐi	1	k	ɐi	1										
	鮭		kʷ	ɐi	1	kʷ	ɐi	1	kʷ	ɐi	1	k	ɐi	1										
	稽		kʰ	ɐi	1	kʰ	ɐi	1	kʰ	ɐi	1	kʰ	ɐi	1	滑稽									
	稽		kʰ	ɐi	2	kʰ	ɐi	2	kʰ	ɐi	2	kʰ	ɐi	2	稽首									
	溪		kʰ	ɐi	1	kʰ	ɐi	1	kʰ	ɐi	1	kʰ	ɐi	1										
	睽		kʷʰ	ɐi	4	kʷʰ	ɐi	4	kʷʰ	ɐi	4	kʰ	ɐi	4										
	霓		ŋ	ɐi	4	ŋ	ɐi	4	ŋ	ɐi	4	ŋ	ɐi	4										
	倪		ŋ	ɐi	4	ŋ	ɐi	4	ŋ	ɐi	4	ŋ	ɐi	4										
	奚		h	ɐi	4	h	ɐi	4	h	ɐi	4	h	ɐi	4										
	攜		kʷʰ	ɐi	4	kʷʰ	ɐi	4	kʷʰ	ɐi	4	kʰ	ɐi	4										
	兮		h	ɐi	4	h	ɐi	4	h	ɐi	4	h	ɐi	4										
	畦		kʷʰ	ɐi	4	kʷʰ	ɐi	4	kʷʰ	ɐi	4	kʰ	ɐi	4										
	迷		m	ɐi	4	m	ɐi	4	m	ɐi	4	m	ɐi	4										
	批		pʰ	ɐi	1	pʰ	ɐi	1	pʰ	ɐi	1	pʰ	ɐi	1										
	抵		t	ɐi	2	t	ɐi	2	t	ɐi	2	t	ɐi	2										
	底		t	ɐi	2	t	ɐi	2	t	ɐi	2	t	ɐi	2										
	邸		t	ɐi	2	t	ɐi	2	t	ɐi	2	t	ɐi	2										
	涕		tʰ	ɐi	3	tʰ	ɐi	3	tʰ	ɐi	3	tʰ	ɐi	3										
	體		tʰ	ɐi	2	tʰ	ɐi	2	tʰ	ɐi	2	tʰ	ɐi	2										
	遞		t	ɐi	3	t	ɐi	3	t	ɐi	3	t	ɐi	3										
	弟		t	ɐi	3	t	ɐi	3	t	ɐi	3	t	ɐi	3										
	豊		l	ɐi	2	l	ɐi	2	l	ɐi	2	l	ɐi	2										
	禮		l	ɐi	2	l	ɐi	2	l	ɐi	2	l	ɐi	2										
	濟		ts	ɐi	2	ts	ɐi	2	ts	ɐi	2	ts	ɐi	2	人才濟濟									
	濟		ts	ɐi	3	ts	ɐi	3	ts	ɐi	3	ts	ɐi	3	救濟									
	洗		s	ɐi	2	s	ɐi	2	s	ɐi	2	s	ɐi	2										
	陛		p	ɐi	3	p	ɐi	3	p	ɐi	3	p	ɐi	3										
	米		m	ɐi	2	m	ɐi	2	m	ɐi	2	m	ɐi	2										
	米		m	ɐi	1										一米									
	帝		t	ɐi	3	t	ɐi	3	t	ɐi	3	t	ɐi	3										
	嚏		tʰ	ɐi	3	tʰ	ɐi	3	tʰ	ɐi	3	tʰ	ɐi	3										
	諦		t	ɐi	3	t	ɐi	3	t	ɐi	3	t	ɐi	3										
	剃		tʰ	ɐi	3	tʰ	ɐi	3	tʰ	ɐi	3	tʰ	ɐi	3										
	替		tʰ	ɐi	3	tʰ	ɐi	3	tʰ	ɐi	3	tʰ	ɐi	3										
	逮		t	ɐi	3	t	ɐi	3	t	ɐi	3	t	ɐi	3										
	第		t	ɐi	3	t	ɐi	3	t	ɐi	3	t	ɐi	3										
	捩		l	ɐi	3	l	ɐi	3	l	ɐi	3	l	ɐi	3	琵琶撥法									
	捩		l	it	6	l	it	6	l	it	6	l	it	6	捩手									
	隸		t	ɐi	3	t	ɐi	3	t	ɐi	3	t	ɐi	3										
	戾		l	ɵy	3	l	ɐi	3	l	ɐi	3	l	ui	3										
	砌		tsʰ	ɐi	3	tsʰ	ɐi	3	tsʰ	ɐi	3	tsʰ	ɐi	3										
	切		tsʰ	ɐi	3	tsʰ	ɐi	3	tsʰ	ɐi	3	tsʰ	ɐi	3	一切									
	切		tsʰ	it	6	tsʰ	it	6	tsʰ	it	6	tsʰ	it	5	急切									
	細		s	ɐi	3	s	ɐi	3	s	ɐi	3	s	ɐi	3										
	髻		k	ɐi	3	k	ɐi	3	k	ɐi	3	k	ɐi	3										
	桂		kʷ	ɐi	3	kʷ	ɐi	3	kʷ	ɐi	3	k	ɐi	3										
	計		k	ɐi	3	k	ɐi	3	k	ɐi	3	k	ɐi	3										
	繫		h	ɐi	3	h	ɐi	3	h	ɐi	3	h	ɐi	3	聯繫									
	繫		k	ɐi	3	k	ɐi	3	k	ɐi	3	k	ɐi	3	繫鞋帶									
	繼		k	ɐi	3	k	ɐi	3	k	ɐi	3	k	ɐi	3										
	係		h	ɐi	3	h	ɐi	3	h	ɐi	3	h	ɐi	3										
	契		kʰ	ɐi	3	kʰ	ɐi	3	kʰ	ɐi	3	kʰ	ɐi	3										
	契		s	it	6										契丹									
	絜		kʰ	it	6																			
	羿		ŋ	ɐi	3	ŋ	ɐi	3	ŋ	ɐi	3	ŋ	ɐi	3										
	蕙		w	ɐi	3	w	ɐi	3	w	ɐi	3	w	ɐi	3										
	系		h	ɐi	3	h	ɐi	3	h	ɐi	3	h	ɐi	3										
	惠		w	ɐi	3	w	ɐi	3	w	ɐi	3	w	ɐi	3										
	慧		w	ɐi	3	w	ɐi	3	w	ɐi	3	w	ɐi	3										
	閉		p	ɐi	3	p	ɐi	3	p	ɐi	3	p	ɐi	3										
	謎		m	ɐi	4	m	ɐi	4	m	ɐi	4	m	ɐi	4										
	媲		pʰ	i	3	pʰ	i	3	pʰ	i	3	pʰ	i	3										
	胎		tʰ	ɔi	1	tʰ	ɔi	1	tʰ	ɔi	1	tʰ	ui	1										
	臺		tʰ	ɔi	4	tʰ	ɔi	4	tʰ	ɔi	4	tʰ	ui	4										
	檯		tʰ	ɔi	4	tʰ	ɔi	4	tʰ	ɔi	4	tʰ	ui	4										
	苔		tʰ	ɔi	4	tʰ	ɔi	4	tʰ	ɔi	4	tʰ	ui	4	青苔									
	苔		tʰ	ɔi	1	tʰ	ɔi	1	tʰ	ɔi	1	tʰ	ui	1	舌苔									
	能		n	ɐŋ	4	n	ɐŋ	4	n	ɐŋ	4	n	ɐŋ	4										
	來		l	ɔi	4	l	ɔi	4	l	ɔi	4	l	ui	4										
	萊		l	ɔi	4	l	ɔi	4	l	ɔi	4	l	ui	4										
	災		ts	ɔi	1	ts	ɔi	1	ts	ɔi	1	ts	ui	1										
	哉		ts	ɔi	1	ts	ɔi	1	ts	ɔi	1	ts	ui	1										
	栽		ts	ɔi	1	ts	ɔi	1	ts	ɔi	1	ts	ui	1										
	猜		tsʰ	ai	1	tsʰ	ai	1	tsʰ	ai	1	tsʰ	ai	1										
	材		tsʰ	ɔi	4	tsʰ	ɔi	4	tsʰ	ɔi	4	tsʰ	ui	4										
	財		tsʰ	ɔi	4	tsʰ	ɔi	4	tsʰ	ɔi	4	tsʰ	ui	4										
	裁		tsʰ	ɔi	4	tsʰ	ɔi	4	tsʰ	ɔi	4	tsʰ	ui	4										
	才		tsʰ	ɔi	4	tsʰ	ɔi	4	tsʰ	ɔi	4	tsʰ	ui	4										
	鰓		s	ɔi	1	s	ɔi	1	s	ɔi	1	s	ui	1										
	該		k	ɔi	1	k	ɔi	1	k	ɔi	1	k	ui	1										
	賅		k	ɔi	1																			
	陔		k	ɔi	1																			
	開		h	ɔi	1	h	ɔi	1	h	ɔi	1	h	ui	1										
	皚			ɔi	2		ɔi	2		ɔi	2		ui	2										
	孩		h	ai	4	h	ai	4	h	ai	4	h	ai	4										
	咳		kʰ	ɐt	5	kʰ	ɐt	5	kʰ	ɐt	5	kʰ	ɐt	5										
	唉			ai	1		ai	1		ai	1		ai	1										
	哀			ɔi	1		ɔi	1		ɔi	1		ui	1										
	埃			ai	1		ai	1		ai	1		ai	1										
	等		t	ɐŋ	2	t	ɐŋ	2	t	ɐŋ	2	t	ɐŋ	2										
	怠		tʰ	ɔi	2	tʰ	ɔi	2	tʰ	ɔi	2	tʰ	ui	2										
	待		t	ɔi	3	t	ɔi	3	t	ɔi	3	t	ui	3										
	殆		tʰ	ɔi	2	tʰ	ɔi	2	tʰ	ɔi	2	tʰ	ui	2										
	迺		n	ai	2	n	ai	2	n	ai	2													
	乃		n	ai	2	n	ai	2	n	ai	2	n	ai	2										
	載		ts	ɔi	2	ts	ɔi	2	ts	ɔi	2	ts	ui	2	一年半載									
	載		ts	ɔi	3	ts	ɔi	3	ts	ɔi	3	ts	ui	3	記載									
	宰		ts	ɔi	2	ts	ɔi	2	ts	ɔi	2	ts	ui	2										
	採		tsʰ	ɔi	2	tsʰ	ɔi	2	tsʰ	ɔi	2	tsʰ	ui	2										
	采		tsʰ	ɔi	2	tsʰ	ɔi	2	tsʰ	ɔi	2	tsʰ	ui	2										
	彩		tsʰ	ɔi	2	tsʰ	ɔi	2	tsʰ	ɔi	2	tsʰ	ui	2										
	綵		tsʰ	ɔi	2	tsʰ	ɔi	2	tsʰ	ɔi	2	tsʰ	ui	2										
	在		tsʰ	ɔi	2	tsʰ	ɔi	2	tsʰ	ɔi	2				白讀									
	在		ts	ɔi	3	ts	ɔi	3	ts	ɔi	3	ts	ui	3	文讀									
	改		k	ɔi	2	k	ɔi	2	k	ɔi	2	k	ui	2										
	凱			ɔi	2		ɔi	2		ɔi	2		ui	2										
	海		h	ɔi	2	h	ɔi	2	h	ɔi	2	h	ui	2										
	亥		h	ɔi	3	h	ɔi	3	h	ɔi	3	h	ui	3										
	戴		t	ai	3	t	ai	3	t	ai	3	t	ai	3										
	態		tʰ	ai	3	tʰ	ai	3	tʰ	ai	3	tʰ	ai	3										
	貸		tʰ	ai	3	tʰ	ai	3	tʰ	ai	3	tʰ	ai	3										
	岱		t	ɔi	3	t	ɔi	3	t	ɔi	3	t	ui	3										
	代		t	ɔi	3	t	ɔi	3	t	ɔi	3	t	ui	3										
	袋		t	ɔi	3	t	ɔi	3	t	ɔi	3	t	ui	3										
	黛		t	ɔi	3	t	ɔi	3	t	ɔi	3	t	ui	3										
	耐		n	ɔi	3	n	ɔi	3	n	ɔi	3	n	ui	3										
	睞		l	ɔi	3	l	ɔi	3	l	ɔi	3	l	ui	3										
	再		ts	ɔi	3	ts	ɔi	3	ts	ɔi	3	ts	ui	3										
	菜		tsʰ	ɔi	3	tsʰ	ɔi	3	tsʰ	ɔi	3	tsʰ	ui	3										
	塞		s	ɐk	5	s	ɐk	5	s	ɐk	5	s	ɐk	5	塞車									
	塞		s	ɔi	3	s	ɔi	3	s	ɔi	3	s	ui	3	塞外									
	賽		s	ɔi	3	s	ɔi	3	s	ɔi	3	s	ui	3										
	概		kʰ	ɔi	3	kʰ	ɔi	3	kʰ	ɔi	3	kʰ	ui	3										
	慨		kʰ	ɔi	3	kʰ	ɔi	3	kʰ	ɔi	3	kʰ	ui	3										
	礙		ŋ	ɔi	3	ŋ	ɔi	3	ŋ	ɔi	3	ŋ	ui	3										
	愛			ɔi	3		ɔi	3		ɔi	3		ui	3										
	堆		t	ui	1	t	ui	1	t	ui	1	t	ui	1										
	敦		t	ɵn	1	t	ɐn	1	t	ɐn	1	t	ɐn	1										
	敦		t	ɐn	1																			
	頹		tʰ	ui	4	tʰ	ui	4	tʰ	ui	4	tʰ	ui	4										
	雷		l	ui	4	l	ui	4	l	ui	4	l	ui	4										
	儡		l	ui	2	l	ui	2	l	ui	2	l	ui	2										
	鐳		l	ui	4	l	ui	4	l	ui	4	l	ui	4										
	崔		tsʰ	ui	1	tsʰ	ui	1	tsʰ	ui	1	tsʰ	ui	1										
	催		tsʰ	ui	1	tsʰ	ui	1	tsʰ	ui	1	tsʰ	ui	1										
	摧		tsʰ	ui	1	tsʰ	ui	1	tsʰ	ui	1	tsʰ	ui	1										
	蓑		s	ɔ	1	s	ɔ	1	s	ɔ	1	s	ɔ	1										
	傀		f	ai	3	f	ai	3	f	ai	3	f	ai	3										
	恢		h	ui	1	h	ui	1	h	ui	1	h	ui	1										
	魁		h	ui	1	h	ui	1	h	ui	1	h	ui	1										
	盔		kʷʰ	ɐi	1	kʷʰ	ɐi	1	kʷʰ	ɐi	1	kʰ	ɐi	1										
	桅		w	ɐi	4	w	ɐi	4	w	ɐi	4	w	ɐi	4										
	嵬		ŋ	ɐi	4	ŋ	ɐi	4	ŋ	ɐi	4	ŋ	ɐi	4										
	灰		h	ui	1	h	ui	1	h	ui	1	h	ui	1										
	回		h	ui	4	h	ui	4	h	ui	4	h	ui	4										
	瑰		kʷ	ɐi	3	kʷ	ɐi	3	kʷ	ɐi	3	k	ɐi	3	玫瑰									
	瑰		kʷ	ɐi	1	kʷ	ɐi	1	kʷ	ɐi	1	k	ɐi	1	瑰麗									
	洄		h	ui	4	h	ui	4	h	ui	4	h	ui	4										
	迴		h	ui	4	h	ui	4	h	ui	4	h	ui	4										
	徊		h	ui	4	h	ui	4	h	ui	4	h	ui	4										
	偎			ui	1		ui	1		ui	1		ui	1										
	杯		p	ui	1	p	ui	1	p	ui	1	p	ui	1										
	盃		p	ui	1	p	ui	1	p	ui	1	p	ui	1										
	陪		pʰ	ui	4	pʰ	ui	4	pʰ	ui	4	pʰ	ui	4										
	徘		pʰ	ui	4	pʰ	ui	4	pʰ	ui	4	pʰ	ui	4										
	培		pʰ	ui	4	pʰ	ui	4	pʰ	ui	4	pʰ	ui	4										
	媒		m	ui	4	m	ui	4	m	ui	4	m	ui	4										
	莓		m	ui	4	m	ui	4	m	ui	4	m	ui	4										
	梅		m	ui	4	m	ui	4	m	ui	4	m	ui	4										
	枚		m	ui	4	m	ui	4	m	ui	4	m	ui	4										
	煤		m	ui	4	m	ui	4	m	ui	4	m	ui	4										
	腿		tʰ	ui	2	tʰ	ui	2	tʰ	ui	2	tʰ	ui	2										
	餒		n	ui	2	n	ui	2	n	ui	2	n	ui	2										
	蕾		l	ui	2	l	ui	2	l	ui	2	l	ui	2										
	璀		tsʰ	ui	1	tsʰ	ui	1	tsʰ	ui	1	tsʰ	ui	1										
	罪		ts	ui	3	ts	ui	3	ts	ui	3	ts	ui	3										
	悔		h	ui	3	h	ui	3	h	ui	3	h	ui	3										
	賄		h	ui	2	h	ui	2	h	ui	2	h	ui	2										
	蓓		pʰ	ui	2	pʰ	ui	2	pʰ	ui	2	pʰ	ui	2										
	蓓		pʰ	ui	4																			
	倍		pʰ	ui	2	pʰ	ui	2	pʰ	ui	2	pʰ	ui	2										
	每		m	ui	2	m	ui	2	m	ui	2	m	ui	2										
	啡		f	ɛ	1	f	ia	1	f	ia	1	f	ɛ	1										
	對		t	ui	3	t	ui	3	t	ui	3	t	ui	3										
	退		tʰ	ui	3	tʰ	ui	3	tʰ	ui	3	tʰ	ui	3										
	隊		t	ui	3	t	ui	3	t	ui	3	t	ui	3										
	內		n	ɔi	3	n	ɔi	3	n	ɔi	3	n	ui	3										
	淬		s	ui	3	s	ui	3	s	ui	3	s	ui	3										
	碎		s	ui	3	s	ui	3	s	ui	3	s	ui	3										
	塊		f	ai	3	f	ai	3	f	ai	3	f	ai	3										
	誨		h	ui	3	h	ui	3	h	ui	3	h	ui	3										
	晦		h	ui	3	h	ui	3	h	ui	3	h	ui	3										
	潰		kʰ	ui	2	kʰ	ui	2	kʰ	ui	2	kʰ	ui	2										
	潰		kʰ	ui	3	kʰ	ui	3	kʰ	ui	3	kʰ	ui	3										
	輩		p	ui	3	p	ui	3	p	ui	3	p	ui	3										
	背		p	ui	3	p	ui	3	p	ui	3	p	ui	3										
	悖		p	ui	3	p	ui	3	p	ui	3	p	ui	3										
	珮		pʰ	ui	3	pʰ	ui	3	pʰ	ui	3	pʰ	ui	3										
	佩		pʰ	ui	3	pʰ	ui	3	pʰ	ui	3	pʰ	ui	3										
	妹		m	ui	3	m	ui	3	m	ui	3	m	ui	3										
	妹		m	ui	1	m	ui	1	m	ui	1	m	ui	1	妹仔									
	昧		m	ui	3	m	ui	3	m	ui	3	m	ui	3										
	配		pʰ	ui	3	pʰ	ui	3	pʰ	ui	3	pʰ	ui	3										
	麟		l	ɵn	4	l	ɐn	4	l	ɐn	4	l	ɐn	4										
	掄		l	ɵn	4	l	ɐn	4	l	ɐn	4	l	ɐn	4										
	磷		l	ɵn	4	l	ɐn	4	l	ɐn	4	l	ɐn	4										
	鄰		l	ɵn	4	l	ɐn	4	l	ɐn	4	l	ɐn	4										
	輪		l	ɵn	4	l	ɐn	4	l	ɐn	4	l	ɐn	4										
	論		l	ɵn	3	l	ɐn	3	l	ɐn	3	l	ɐn	3										
	倫		l	ɵn	4	l	ɐn	4	l	ɐn	4	l	ɐn	4										
	綸		kʷ	an	1	kʷ	an	1	kʷ	an	1	k	an	1	綸巾									
	綸		l	ɵn	4	l	ɐn	4	l	ɐn	4	l	ɐn	4	垂綸									
	鱗		l	ɵn	4	l	ɐn	4	l	ɐn	4	l	ɐn	4										
	淪		l	ɵn	4	l	ɐn	4	l	ɐn	4	l	ɐn	4										
	遵		ts	ɵn	1	ts	ɐn	1	ts	ɐn	1	ts	ɐn	1										
	津		ts	ɵn	1	ts	ɐn	1	ts	ɐn	1	ts	ɐn	1										
	竣		ts	ɵn	3	ts	ɐn	3	ts	ɐn	3	ts	ɐn	3										
	親		tsʰ	ɐn	1	tsʰ	ɐn	1	tsʰ	ɐn	1	tsʰ	ɐn	1	親人									
	親		tsʰ	ɐn	3	tsʰ	ɐn	3	tsʰ	ɐn	3	tsʰ	ɐn	3	親家									
	秦		tsʰ	ɵn	4	tsʰ	ɐn	4	tsʰ	ɐn	4	tsʰ	ɐn	4										
	薪		s	ɐn	1	s	ɐn	1	s	ɐn	1	s	ɐn	1										
	詢		s	ɵn	1	s	ɐn	1	s	ɐn	1	s	ɐn	1										
	新		s	ɐn	1	s	ɐn	1	s	ɐn	1	s	ɐn	1										
	辛		s	ɐn	1	s	ɐn	1	s	ɐn	1	s	ɐn	1										
	巡		tsʰ	ɵn	4	tsʰ	ɐn	4	tsʰ	ɐn	4	tsʰ	ɐn	4										
	馴		tsʰ	ɵn	4	tsʰ	ɐn	4	tsʰ	ɐn	4	tsʰ	ɐn	4										
	旬		tsʰ	ɵn	4	tsʰ	ɐn	4	tsʰ	ɐn	4	tsʰ	ɐn	4										
	循		tsʰ	ɵn	4	tsʰ	ɐn	4	tsʰ	ɐn	4	tsʰ	ɐn	4										
	振		ts	ɐn	3	ts	ɐn	3	ts	ɐn	3	ts	ɐn	3										
	諄		ts	ɵn	1	ts	ɐn	1	ts	ɐn	1	ts	ɐn	1										
	真		ts	ɐn	1	ts	ɐn	1	ts	ɐn	1	ts	ɐn	1										
	甄		j	ɐn	1	j	ɐn	1	j	ɐn	1	j	ɐn	1										
	春		tsʰ	ɵn	1	tsʰ	ɐn	1	tsʰ	ɐn	1	tsʰ	ɐn	1										
	淳		s	ɵn	4	s	ɐn	4	s	ɐn	4	s	ɐn	4										
	醇		s	ɵn	4	s	ɐn	4	s	ɐn	4	s	ɐn	4										
	辰		s	ɐn	4	s	ɐn	4	s	ɐn	4	s	ɐn	4										
	臣		s	ɐn	4	s	ɐn	4	s	ɐn	4	s	ɐn	4										
	宸		s	ɐn	4	s	ɐn	4	s	ɐn	4	s	ɐn	4										
	純		s	ɵn	4	s	ɐn	4	s	ɐn	4	s	ɐn	4										
	鶉		tsʰ	ɵn	1	tsʰ	ɐn	1	tsʰ	ɐn	1	tsʰ	ɐn	1										
	晨		s	ɐn	4	s	ɐn	4	s	ɐn	4	s	ɐn	4										
	身		s	ɐn	1	s	ɐn	1	s	ɐn	1	s	ɐn	1										
	申		s	ɐn	1	s	ɐn	1	s	ɐn	1	s	ɐn	1										
	伸		s	ɐn	1	s	ɐn	1	s	ɐn	1	s	ɐn	1										
	紳		s	ɐn	1	s	ɐn	1	s	ɐn	1	s	ɐn	1										
	呻		s	ɐn	1	s	ɐn	1	s	ɐn	1	s	ɐn	1										
	脣		s	ɵn	4	s	ɐn	4	s	ɐn	4	s	ɐn	4										
	神		s	ɐn	4	s	ɐn	4	s	ɐn	4	s	ɐn	4										
	人		j	ɐn	4	j	ɐn	4	j	ɐn	4	j	ɐn	4										
	仁		j	ɐn	4	j	ɐn	4	j	ɐn	4	j	ɐn	4										
	鈞		kʷ	ɐn	1	kʷ	ɐn	1	kʷ	ɐn	1	k	ɐn	1										
	均		kʷ	ɐn	1	kʷ	ɐn	1	kʷ	ɐn	1	k	ɐn	1										
	因		j	ɐn	1	j	ɐn	1	j	ɐn	1	j	ɐn	1										
	茵		j	ɐn	1	j	ɐn	1	j	ɐn	1	j	ɐn	1										
	姻		j	ɐn	1	j	ɐn	1	j	ɐn	1	j	ɐn	1										
	勻		w	ɐn	4	w	ɐn	4	w	ɐn	4	w	ɐn	4										
	濱		p	ɐn	1	p	ɐn	1	p	ɐn	1	p	ɐn	1										
	檳		p	ɐn	1	p	ɐn	1	p	ɐn	1	p	ɐn	1										
	賓		p	ɐn	1	p	ɐn	1	p	ɐn	1	p	ɐn	1										
	蘋		pʰ	ɐn	4	pʰ	ɐn	4	pʰ	ɐn	4	pʰ	ɐn	4	蘋婆									
	頻		pʰ	ɪŋ	4	pʰ	ɐŋ	4	pʰ	ɐŋ	4	pʰ	ɐŋ	4	蘋果									
	民		m	ɐn	4	m	ɐn	4	m	ɐn	4	m	ɐn	4										
	繽		p	ɐn	1	p	ɐn	1	p	ɐn	1	p	ɐn	1										
	盡		ts	ɐn	3	ts	ɐn	3	ts	ɐn	3	ts	ɐn	3										
	筍		s	ɐn	2	s	ɐn	2	s	ɐn	2	s	ɐn	2										
	疹		tsʰ	ɐn	2	tsʰ	ɐn	2	tsʰ	ɐn	2	tsʰ	ɐn	2										
	診		tsʰ	ɐn	2	tsʰ	ɐn	2	tsʰ	ɐn	2	tsʰ	ɐn	2										
	准		ts	ɵn	2	ts	ɐn	2	ts	ɐn	2	ts	ɐn	2										
	準		ts	ɵn	2	ts	ɐn	2	ts	ɐn	2	ts	ɐn	2										
	賑		ts	ɐn	3	ts	ɐn	3	ts	ɐn	3	ts	ɐn	3										
	蠢		tsʰ	ɵn	2	tsʰ	ɐn	2	tsʰ	ɐn	2	tsʰ	ɐn	2										
	腎		s	ɐn	3	s	ɐn	3	s	ɐn	3	s	ɐn	3										
	腎		s	ɐn	2	s	ɐn	2	s	ɐn	2	s	ɐn	2										
	盾		tʰ	ɵn	2	tʰ	ɐn	2	tʰ	ɐn	2	tʰ	ɐn	2										
	忍		j	ɐn	2	j	ɐn	2	j	ɐn	2	j	ɐn	2										
	緊		k	ɐn	2	k	ɐn	2	k	ɐn	2	k	ɐn	2										
	蚓		j	ɐn	2	j	ɐn	2	j	ɐn	2	j	ɐn	2										
	允		w	ɐn	2	w	ɐn	2	w	ɐn	2	w	ɐn	2										
	尹		w	ɐn	2	w	ɐn	2	w	ɐn	2	w	ɐn	2										
	引		j	ɐn	2	j	ɐn	2	j	ɐn	2	j	ɐn	2										
	臏		p	ɐn	1	p	ɐn	1	p	ɐn	1	p	ɐn	1										
	藺		l	ɵn	3	l	ɐn	3	l	ɐn	3	l	ɐn	3										
	遴		l	ɵn	4	l	ɐn	4	l	ɐn	4	l	ɐn	4										
	吝		l	ɵn	3	l	ɐn	3	l	ɐn	3	l	ɐn	3										
	進		ts	ɐn	3	ts	ɐn	3	ts	ɐn	3	ts	ɐn	3										
	俊		ts	ɐn	3	ts	ɐn	3	ts	ɐn	3	ts	ɐn	3										
	晉		ts	ɐn	3	ts	ɐn	3	ts	ɐn	3	ts	ɐn	3										
	駿		ts	ɐn	3	ts	ɐn	3	ts	ɐn	3	ts	ɐn	3										
	訊		s	ɵn	6	s	ɐn	6	s	ɐn	6	s	ɐn	6										
	峻		ts	ɵn	3	ts	ɐn	3	ts	ɐn	3	ts	ɐn	3										
	迅		s	ɵn	6	s	ɐn	6	s	ɐn	6	s	ɐn	6										
	信		s	ɵn	3	s	ɐn	3	s	ɐn	3	s	ɐn	3										
	殉		s	ɵn	1	s	ɐn	1	s	ɐn	1	s	ɐn	1										
	震		ts	ɐn	3	ts	ɐn	3	ts	ɐn	3	ts	ɐn	3										
	盹		t	ɵn	3	t	ɐn	3	t	ɐn	3	t	ɐn	3										
	慎		s	ɐn	3	s	ɐn	3	s	ɐn	3	s	ɐn	3										
	舜		s	ɵn	3	s	ɐn	3	s	ɐn	3	s	ɐn	3										
	瞬		s	ɵn	3	s	ɐn	3	s	ɐn	3	s	ɐn	3										
	順		s	ɵn	3	s	ɐn	3	s	ɐn	3	s	ɐn	3										
	仞		j	ɐn	3	j	ɐn	3	j	ɐn	3	j	ɐn	3										
	閏		j	ɐn	3	j	ɐn	3	j	ɐn	3	j	ɐn	3										
	刃		j	ɐn	3	j	ɐn	3	j	ɐn	3	j	ɐn	3										
	認		ŋ	ɪŋ	3	ŋ	ɐŋ	3	ŋ	ɐŋ	3	ŋ	ɐŋ	3										
	認		j	ɐn	3	j	ɐn	3	j	ɐn	3	j	ɐn	3										
	潤		j	ɐn	3	j	ɐn	3	j	ɐn	3	j	ɐn	3										
	膶		j	ɐn	2																			
	韌		j	ɐn	3	j	ɐn	3	j	ɐn	3	j	ɐn	3	文讀									
	韌		ŋ	ɐn	3	ŋ	ɐn	3	ŋ	ɐn	3	ŋ	ɐn	3	白讀									
	印		j	ɐn	3	j	ɐn	3	j	ɐn	3	j	ɐn	3										
	鬢		p	ɐn	3	p	ɐn	3	p	ɐn	3	p	ɐn	3										
	栗		l	ɵt	6	l	ɐt	6	l	ɐt	6	l	ɐt	6										
	律		l	ɵt	6	l	ɐt	6	l	ɐt	6	l	ɐt	6										
	慄		l	ɵt	6	l	ɐt	6	l	ɐt	6	l	ɐt	6										
	卒		ts	ɵt	5	ts	ɐt	5	ts	ɐt	5	ts	ɐt	5	士卒									
	卒		tsʰ	yt	6	tsʰ	it	6	tsʰ	it	6	tsʰ	yt	5	倉卒									
	唧		ts	ɪk	5	ts	ɐk	5	ts	ɐk	5	ts	ɐk	5										
	柒		tsʰ	ɐt	5	tsʰ	ɐt	5	tsʰ	ɐt	5	tsʰ	ɐt	5										
	七		tsʰ	ɐt	5	tsʰ	ɐt	5	tsʰ	ɐt	5	tsʰ	ɐt	5										
	漆		tsʰ	ɐt	5	tsʰ	ɐt	5	tsʰ	ɐt	5	tsʰ	ɐt	5										
	疾		ts	ɐt	6	ts	ɐt	6	ts	ɐt	6	ts	ɐt	6										
	窸		s	ɪk	5	s	ɐk	5	s	ɐk	5	s	ɐk	5										
	悉		s	ɪk	5	s	ɐk	5	s	ɐk	5	s	ɐk	5										
	膝		s	ɐt	5	s	ɐt	5	s	ɐt	5	s	ɐt	5										
	恤		s	ɵt	5	s	ɐt	5	s	ɐt	5	s	ɐt	5										
	蟋		s	ɪk	5	s	ɐk	5	s	ɐk	5	s	ɐk	5										
