"#符号说明：-白=文/书*俗?待考"	
"k"	"［1］疆僵礓缰姜江［3］讲［5］降{下～}"
"kʰ"	"［1］腔［5］□{漂亮}"
"h"	"［1］香乡［3］响享［5］向"
"Ø"	
"#iaŋʔ"	
"n"	"［7］娘"
"l"	"［7］凉良粮梁粱量{测～}"
"ʨ"	
"ʨʰ"	"［7］墙藏"
"ɕ"	"［7］降{投～}详祥翔"
"k"	
"kʰ"	"［7］强"
"h"	
"Ø"	"［7］瓤"
"#uaŋ"	
"ts"	"［1］庄装妆桩［5］壮状"
"tsʰ"	"［1］拴疮窗［3］闯［5］创"
"s"	"［1］霜孀双［3］爽"
"k"	"［1］观光胱［3］广［5］灌罐冠贯惯逛摔-"
"kʰ"	"［1］匡筐眶框［5］旷扩况矿"
"h"	"［1］荒慌［3］谎恍晃{～眼}［5］宦晃{～动}幌"
"Ø"	
"#uaŋʔ"	
"ts"	
"tsʰ"	"［7］床幢"
"s"	
"k"	
"kʰ"	"［7］狂"
"h"	"［7］黄簧皇蝗凰隍蟥磺惶煌"
"#əŋ"	
"p"	"［1］般搬奔锛绷［3］本苯［5］笨"
"pʰ"	"［1］烹［5］喷"
"m"	"［1］们［5］闷"
"f"	"［1］分{划～}吩芬纷酚氛［3］粉［5］粪奋愤忿份分{本～}"
"v"	"［3］婉碗宛腕［5］问"
"t"	"［1］墩蹲登灯吨敦［3］等［5］凳邓瞪蹬顿钝沌"
"tʰ"	
"n"	
"l"	"［1］扔［3］冷［5］论楞嫩"
"ts"	"［1］正{～月}征尊遵肫曾{～姓}增罾僧甑征蒸争筝贞侦憎［3］整［5］俊骏赠证症郑政峻"
"tsʰ"	"［1］称撑睁郴村［3］逞骋［5］忖寸秤蹭衬"
"s"	"［1］牲笙甥声森参{人～}孙升生［5］剩胜盛{旺～}圣［3］省笋榫"
"k"	"［1］更{～换}粳庚耕跟根羹［3］埂梗哽耿［5］更{～加}"
"kʰ"	"［1］坑［3］恳垦啃肯"
"h"	"［1］亨哼［3］很［5］恨横{蛮～}"
"z"	"［1］仍腌"
"ŋ"	"［1］恩"
"Ø"	"［3］嗯［5］硬"
"#əŋʔ"	
"p"	
"pʰ"	"［7］盆"
"m"	"［7］门"
"f"	"［7］焚坟汾"
"v"	"［7］文纹蚊闻吻"
"tʰ"	"［7］腾誊藤疼屯豚囤饨"
"n"	"［7］能"
"l"	"［7］仑沦轮"
"tsʰ"	"［7］娠澄程曾{～经}存层承丞澄清橙呈成城诚乘唇岑"
"s"	"［7］绳神"
"h"	"［7］痕恒衡横{～竖}"
"#oŋ"	
"p"	"［1］崩［5］泵蹦迸"
"pʰ"	"［3］捧［5］碰"
"m"	"［3］猛［5］孟梦"
"f"	"［1］风枫疯丰封峰蜂锋烽［5］凤奉俸缝{裂～}讽"
"t"	"［1］东冬［3］董懂［5］冻栋动洞侗恫"
"tʰ"	"［1］通［3］桶捅筒统［5］痛"
"n"	"［5］弄［1］软-"
"l"	"［3］拢陇垄"
"ts"	"［1］棕鬃宗综中{～间}忠衷终踪钟盅［3］总种{品～}肿准［5］粽仲众纵重{轻～}种{～植}揰"
"tsʰ"	"［1］聪匆葱囱冲充舂春［3］宠［5］铳"
"s"	"［1］松［3］耸怂［5］送宋诵颂"
"z"	"［1］庸拥佣［3］永咏泳勇涌恿踊冗［5］用"
"k"	"［1］公蚣工功攻弓躬宫恭龚［3］拱汞巩［5］贡供共"
"kʰ"	"［1］空{天～}［3］孔恐［5］控空{有～}"
"h"	"［1］轰烘［5］哄"
"Ø"	"［1］翁瓮"
"#oŋʔ"	
"p"	"［7］甭"
"pʰ"	"［7］彭膨棚篷鹏朋"
"m"	"［7］萌盟蒙懵蠓"
"f"	"［7］蓬冯逢缝{～补}"
"t"	
"tʰ"	"［7］同铜桐童瞳"
"n"	"［7］农浓侬脓"
"l"	"［7］笼聋胧隆窿龙"
"ts"	
"tsʰ"	"［7］丛虫崇从重{～新}"
"s"	
"z"	"［7］荣戎绒融茸容蓉镕溶榕熔"
"k"	
"kʰ"	
"h"	"［7］虹弘宏红洪鸿"
"Ø"	
"#ioŋ"	
"ɕ"	"［1］兄匈凶"
"kʰ"	
"h"	"［1］胸"
"Ø"	"［1］壅臃雍"
"#ioŋʔ"	
"kʰ"	"［7］穷"
"h"	"［7］熊雄"
