序号	汉字	注释	兴安堡里	全州磨头	全州竹塘	全州蛟潭	灌阳椅山	灌阳宅塘	资源瓜里	资源大坨	
310	表	手～	piɤu53	piɤu35	piau53	piɑu325	piɤu33	ɓiɤu33	piau53	piau53	
311	票		pʰiɤu31	pʰiou212	pʰiɔu212	pʰiɔu33	pʰiɤu13	pʰiɔu53	pʰiɤu325	pʰiɤu35	
312	庙		miɤu11	miɤu212	miɔu212	mĩ33	miɤu41	miɤu33	miɤu24	miɤu24	
313	焦		tsiɤu35	tsiɔu55		tsy55	tsiɤu53				
314	小		nai31			sy325					
315	笑		siɤu31	siɤu212	ɕyɔ212	sy33	siɤu13	ɕiɤu53	ɕiɤu325	ɕiɤu35	
316	朝	～向	tʃiɤu13	ʑiɤu325	dʑyo325	dʑy212/dʑiɑu212	tʃʰu22	iɤu212/zau212	zau24	zau24	
317	照		tʃɤu31	tsiɤu212	tɕyɔ212	tɕy33	tʃu13	tsɤu35	tsɤu325	tsɤu35	
318	烧		ʃiɤu35	siɤu55	su55	su55	ʃu53	ɕiɤu35	sɤu55	sɤu55	
319	绕	～线		iɑu53		iɑu33	iau33				
320	桥		tʃiɤu13	ʑiɤu325	ɡyo325	dʑy212	cʰiɤu22	ʑiɤu212	dʑiɤu214	dʑiɤu214	
321	轿		tʃiɤu11	ʑiɤu212	ɡyɔ212	dʑy33	cʰiɤu41	ʑiɤu33	dʑiɤu24	dʑiɤu24	
322	腰		iɤu35	iɤu55	yo55	y55	iɤu53	iɤu35	iɤu55	iɤu55	
323	要		iɤu31	ʔiɤu212	yɔ212	i33	iɤu13	iɤu53	iɤu325	iɤu35	
324	摇		iɤu13	iɤu212	iau325	iɑu35	iau22	iɤu212	iau214	iau214	
325	鸟		tiɤu53	tiɤu35	tyo334	ty325	tiɤu33	ɗiɤu33	tiɤu24	tiɤu24	
326	钓		tiɤu31	tiɤu212	tyɔ212	ty33	tiɤu13	ɗiɤu53	tiɤu325	tiɤu35	
327	条		tiɤu13	diɤu325	dyo325	di212	tʰiɤu33	diɤu212	diɤu214	diɤu214	
328	料		liɤu11	liɤu212	liau212	ly33/liɑu33	liau13	liau35	tiɤu24	diɤu24/diau24	
329	箫		siɤu35				siɤu53				
330	叫									tɕiɤu35	
331	母			mu53							
332	抖		tɑu53	tɑu35	tau334		tau33	ɗau33			
333	偷		tʰɑu35	tʰɔu55	tʰau55	tʰɑu55	tʰau53	tʰau35	tʰau55	tʰau55	
334	头		tɑu11	dɔu325	dau325	dɑu212	tʰau22	dau212	dau214	dau214	
335	豆		tɑu11	dɑu212	dau212	dɑu33	tʰau41	dau33	dau24	dau24	
336	楼		lɑu13	lɔu325	lau34	lɑu212	lau22	lau212	lau214	lau214	
337	走		tsɑu53	tsɔu55	tsau334	tsɑu325	tsau33	ɗau33			
338	凑		tsʰɑu31	tsʰɑu212	tsʰau212	tsʰɑu33	tsʰau13	tsʰau53	tsʰau325		
339	钩		kɑu35	kɔu55	kau55	kɑu55	kau53	kau35	kau55	kau55	
340	狗		kɑu53	kɔu55	kau334	kɑu325	kau33	kau33	kau24	kau24	
341	够		kɑu31	kɑu212	kau212	kɑu33	kau13	kau53	au53	au24	
342	口		hɑu53	hɑu35	hau334	hɑu325	hau33		hau24	hau24	
343	藕		ŋɑu41	ɤu53	au55	ŋɑu214	ŋau33	ɤu55	ɤu53	ŋɤu53	
344	后	前～		hɑu212		ɑu33	hau41				
345	厚		hɑu41	hɔu55	au34		hau33	hau55	au53	au24	
346	富		fɤ11	hu212	hu212	fu33	hu13	hu35	fu325	fu35	
347	副		fu31	hu212	hu212	fu33	hu13	hu35	fu325	fu35	
348	浮		pɤu13	bu325	bu325	bu212	hu22	bu212	bu214	bu214	
349	妇			mie53	bai55	bi0	hu13	bei33/hu35	bɛi0	bu0	
350	流		liɤu13							lai214	
351	酒		tsiɤu53	tsiɤu35	tɕiɤu334	tsiɯ325	tsiau33	tsei33	tsɛi24	tsɤe24	
352	修		siɤu35	siɤu55	ɕiɤu55	siɯ55	siau53	sei35/ɕiɤu33	ɕiɤu55	ɕiɤu55	
353	袖		siɤu11	ʑiɤu212	ɕiɤu0	ziɑŋ0	çiɤu13	zei33	zɛi0	zai0	
354	抽		tʃʰiɤu35	tsʰiɤu55	tɕʰiɤu55	tɕʰiɯ55	tʃʰau53	tsʰei35	tsʰɤu55	tsʰɤu55	
355	绸		tʃiɤu13	ʑiɤu325	dʑiɤu325	dʑiɯ212	tʃʰau22	zɤu212	zɤu24	zɤu24	
356	愁		tʃɑu13	zɔu325	dzau325	dzɑu212	tʃʰau22	zɤu212	zɤu24	zɤu24	
357	瘦		ʃɑu31	sɑu212	sau212	sɑu33	ʃau13	ɕiau53	sau325	sau35	
358	州		tʃiɤu35	tsiɤu55	tɕiɤu55	tɕiɯ55	tʃau53	tsei33/tsɤu33			
359	臭	香～	tʃʰiɤu31	tsʰiɤu212	tɕʰiɤu212	tɕʰiɯ33	tʃʰau13	tsʰei53	tsʰɤu325	tsʰɤu35	
360	手		ʃiɤu53	siɤu35	ɕiɤu334	ɕiɯ325	ʃau33	sei33	sɤu24	sɤu24	
361	寿		ʃiɤu11	siɤu212	ʑiɤu212	ʑiɯ214	ʃau41	ɕiɤu35	zɤu214	zɤu214	
362	九		tʃiɤu53	tsiɤu35	kiɤu334	tɕiɯ325	ciau33	tsei33	tɕiɤu53	tɕiɤu24	
363	球		tʃiɤu13	ʑiɤu325	ɡiɤu325	dʑiɯ212	cʰiau22	zei212	dʑiɤu24	dʑiɤu24	
364	舅		tʃiɤu11	ʑiɤu212	ɡiɤu212	dʑiɯ33	cʰiau33	zei55	dʑiɤu214	dʑiɤu24	
365	旧			ʑiɤu212	ɡiɤu212	dʑiɯ33	cʰiau41	zei33	dʑiɤu24	dʑiɤu214	
366	牛		ŋɑu13	ɔu325	au325	ŋɑu212	ŋau22	iau212	au214	ŋau214	
367	休					ɕiɯ55	çiau53	hiɤu33			
368	优		iɤu35	iɤu55	iɤu55	iɯ55	iɤu22	iɤu33	iɤu55	iɤu55	
369	有		iɤu41	ɑu53	au34	ɑu212	iau33	hau55	au53	au24	
370	右		iɤu11	ʔiɤu212	iɤu212	iɯ33	yɔ41	iei33	iɤu214	iɤu214	
371	油		iɤu13	iɤu325	iɤu325	iɯ212	iau22	iei212	iɤu214	iɤu214	
372	丢										
373	幼		iɤu11	ʔiɤu212	iɤu212	iɯ325	iau41	iɤu35	iɤu325	iɤu35	
374	搭		tuo51	tuo53	tuo53	tuo53	ta35	ɗuo55	ta55	ta24	
375	贪		tʰan35	tʰan55	tʰɛ̃i55	tʰãn55	tʰa53	tʰaŋ33	tʰan55	tʰan55	
376	踏		tʰuo51		tʰa53		tʰa22	tʰie55			
377	潭		tuo13	duo325		dæ̃i212	tʰa22		duo214	duo214	
378	南		nuo13	nau325	nuɔŋ325	nɑŋ212	na22	nuõŋ212	nan24	nan24	
379	拉		lɑ13				la53		la44		
380	蚕		tsuo13	zan325	dzɛ̃i325	zuõŋ212	tsʰa22	zuõŋ212	zan24	zan24	
381	杂		tsuo13	za212	dza34	za35	tsa41	ʑia212	za214	za24	
382	感		kan53	kan53	kɛ̃i53	kãn325	kan33	kaŋ55		kan53	
383	鸽		kuo51	kuo55	kuo53	kuo53	kuo35	kuo212	kuo24	kuo24	
384	含		han13	au325	uɔŋ325	uõŋ212	han22	huõŋ212	uo214	uo214	
385	盒		hɤu11	uo35	uo34	uo35	huo41	huo33	uo214	huo55	
386	暗		ŋan31			uõŋ33	oŋ13	aŋ35		ŋan35	
387	胆		tuo53	tau55	tuɔŋ334	nuõŋ325	ta33	ɗuõŋ33	tuo24	ta24	
388	毯		tʰuo53	tʰan53	tʰɛ̃i53	tʰãn325	tʰa33	tʰaŋ55	tʰan53	tʰa24	
389	塔		tʰuo51	tʰa53	tʰa53	tʰuo53	tʰa35	tʰa33	tʰa33	tʰa24	
390	淡		tuo41	dau212	duɔŋ34	dɑŋ214	tʰa33	duõŋ55	duo53	da24	
391	蓝		luo13	lau325	nɤ̃325	lei212	la22	nuõŋ212		la214	
392	蜡		luo11	luo35	luo34	luo35	la41	luo33	luo214	la214	
393	三		suo35	sau55	suɔŋ55	sɑŋ55	sa53	suõŋ35	suo55	sa55	
394	甘		kuŋ35	kau55	kyɔŋ55	kuõŋ55	kuŋ53	kuõŋ35	ka55	kan55	
395	敢		kan53	kau35	kuɔŋ334	kãn325	kan33	kaŋ55	kan53	kan53	
396	喊		huo53	au53	hai212	hei33	han33		ha214	ha35	
397	赚		tsuan31	zau212	dzɤ̃212		tsuŋ13	zuaŋ55	zɤ24	zuɛi24	
398	插		tʃʰuo51	tsʰie53	tɕʰie53	tɕʰie53	tʃʰiᴇ35	tɕʰie55	tsʰɤ55	tsʰuɤe55	
399	闸		tʃuo51	tsa55	tsa52	dza53	tʃiᴇ35	tsa212			
400	杉	～木	ʃuo35	sa55	sa55	sa55	ʃa53	ɕia35	sa55	sua55	
401	减		kan53	tsian35	kɛ̃i53	kãn325	kan33	kã33	kan53	kan53	
402	夹		kuo51	ka53	ka53	tɕie53	ciᴇ35	ka55	tɕie55	tɕie55	
403	咸	～淡	huo13	hau325	ã325	ɑŋ212	han22	hã212	a214	a214	
404	衫		ʃuo35			sa55	ʃa53	ɕia35		sua55	
405	监		tʃiŋ35			tɕiẽ55	cian33	tɕin33	tɕian55	tɕian55	
406	甲		kuo51	tsia55	kia55	tɕia53	cia35	tɕia212	tɕia33	tɕia24	
407	岩		ŋuo13	au325	ã325	ɑŋ212	ŋan22	iã212			
408	鸭		uo51	ʔa53	ʔa53	ʔa53	ia35	a55	a55	a55	
409	黏					ȵia212				ȵia55	
410	尖		tsie35	tsei55	tsei55	tsiɛ̃55	tsin53	tɕin35	tɕie55	tsɤe55	
411	接		tsai51	tsɤ53	tsɿ53	tsɯ53	tsi35	tɕi55	tɕi55	tsɤe55	
412	签	～名	tsʰie35	tsʰian55		tsʰiẽ55	tsʰin53	tɕʰin35	tɕʰian55	tɕʰian55	
413	占	～领	tʃie31	tsye212	tɕỹ212	tɕiẽ33	tʃan13	tsaŋ35	tsɤɛ325	tsɤɛ35/tsan35	
414	染		ȵie41/ȵiŋ41	ie53	ʑĩ34	ʑiẽ214	ɲin33	in55	ȵie53	zan53	
415	钳		tʃiŋ13	zei325	dʑian325	dʑie0		ʑin212	dʑyan214	dʑie24	
416	验		ŋiŋ11		ȵian212	ȵian214	ɲin41	ȵin35			
417	险		ʃiŋ53	hian53	hian53	ɕian325	çin33	hin55	ɕian53	ɕian53	
418	厌			ʔian212			in13	in35		ian35	
419	炎			ian325	ian325		ian41	in212	ȵiẽ24	ian24	
420	盐		hie13	ie325	ĩ325	iẽ212	in22	hin212	ȵie214	ie24	
421	叶	树～	hai11	ie35	ĩ34	i35	i35	i33		ie24	
422	剑		tsie31	tsei212	tsei212	tɕiẽ325	cin13	tɕin35	tɕie325	tɕian35	
423	欠		kʰie31	tsʰie212	kʰĩ212	tɕʰiẽ33	cʰin13	tɕʰin53	tɕʰian325	tɕʰian35	
424	严		iŋ13		ian325	ȵian35	in22	in212	ȵian24	ian24	
425	业		ŋie11	ie35	ie34	ie35	ɲiᴇ41	lie212	ȵie214	ȵie214	
426	点		tie53	tie35	tĩ334	lẽi325	tin33	ɗin33	tie24	tɤe24	
427	店		tie31	tian212	tian212	tian325	tian13	ɗin35	tian325	tian35	
428	跌		tai51	tie53		tɤ53		ɗi55	ti55	tɤe55	
429	添		tʰie35		tʰĩ55	tʰiẽ55	tʰin53	tʰin35		tʰɤe55	
430	贴		tʰai51	tʰie53			tʰi35	tʰi55			
431	甜		tie13	die325	dĩ325	diẽ212	tʰin22	din212	die214	dɤɛ214	
432	碟		tie11	die35	di34		tiᴇ41		die24		
433	念		ȵiŋ11		ȵian212			ȵin35		ȵian35	
434	嫌		hie13	ʔiẽ325	ĩ325	iẽ212	çin22	hin212	ȵie214	ie24	
435	协		ʃie11				çiᴇ41	hie212			
436	法		huo51	hua53	hua53	fie53	hua35	hua212	hua0	fua55	
437	犯		fan31	hau35	uã212	vãn53	huan41	huaŋ35	uan214	uan214	
438	品		pʰie53				pʰən33	pʰin55			
439	林		liŋ13				nən22	ȵin212	ȵin214	lin24	
440	立		li11	li35	li34	lɛ35	li41	luei33/li212			
441	浸		tsʰiŋ31				tsʰɛ41		tɕin325		
442	集		tsi11	zɿ212	dzɤ325	zɯ325	tsi35	ʑi212	dʑi214	dʑi214	
443	心		siŋ35	sĩn55	ɕiŋ55	siŋ55	sən53	ɕin35	ɕin55	səŋ55	
444	寻		ʃyən13			ziŋ212					
445	习		si31				si41	ɕi212			
446	沉		tiŋ13	ʑĩn325	diŋ212	diŋ325	tʰən22	din33	din214	dəŋ24	
447	参	人～	səŋ35	sẽi55	sən55	sẽi55	sən22	sən33	sən55	sən55	
448	针		tʃiŋ35	tsĩn55	tɕiŋ55	tɕiŋ55	tʃən53	tɕin35	tsən55	tsəŋ55/tsən55	
449	汁			tsɿ53			tʃi22	tsɿ55			
450	深		ʃiŋ35	sĩn55	ɕiŋ55	ɕiŋ55	ʃən53	ɕin35	sən55	səŋ55	
451	十		ʃie11	zɤ35	zɿ34	zɿ35	sɿ41	zɿ33	zɿ24	zɿ214	
452	任	责～	iŋ11	ʑĩn212	ʑĩ212		in41	in35	zən214	zən214	
453	入		yi11/ȵi11						ȵy214	ȵi24	
454	金		kiŋ35	tsĩn55	kiŋ55	tɕiŋ55	kən53	tɕin35	tɕin55	tɕin55	
455	急		ki51	tsɿ53	ki53	tɕi53	ci35	tɕi55	tɕi55	tɕi24	
456	琴		kiŋ13	ʑĩn325	ɡiŋ325	dʑiŋ212	kʰən22	ʑin212	dʑin24	dʑiŋ214	
457	及		tʃi13	zɿ212	dʑi34		ci41	ʑi212	dʑi214	dʑi24	
458	吸							tɕi33	ɕi55		
459	音		iŋ35			ʔiŋ55	in53	in35	ȵin55	iŋ55	
460	单		tuo35	tie55/tan55	tɤ̃55	tãn55	ta53	ɗaŋ35		ta55/tan55	
461	炭		tʰuo31	tʰie212	tʰɤ̃212	tʰei33	tʰa13	tʰɛ̃i53	tʰa325	tʰa35	
462	弹	～琴	tan13	dan325	dɤ̃325/daĩ325	dei33	tʰa22	dɛ̃i212	dan24	dan24	
463	达		tuo51	da35			ta35	da212	ta24	ta24	
464	难	～易	nuo13	ȵie325	nɤ̃325	lei22	la22	nɛ̃i212	na214	na214	
465	兰		luo13	nau325	nɤ̃325	lɛ212	la22	naŋ212	nan24	nan24	
466	懒		luo41	lei53	nɤ̃34	lɛ214	la33	nɛ̃i55	na53	la55	
467	烂		luo11	lei212	nɤ̃212	lɛ33	la41	nɛ̃i33	na24	la24	
468	辣		luo11	la35	lie34	lie35	la41	lie33	la214	la214	
469	擦		tsʰuo51	tsʰa53	tɕʰie53		tsʰa35		tsʰa55	tsʰa55	
470	伞		suo31	sei35	sɤ̃334	sei33	sa33	sɛ̃i33	sa24	sa24	
471	肝		kuŋ35	kuei55	kuei55	kuõŋ55	kuŋ53	kaŋ33	kuɤ55	kuo55	
472	割		kɤu51	kuɤ53	kuɤ53	kui53	kuo35	kuo55	kɤɛ325	kɤɛ35	
473	看										
474	渴		hie55	hau35	hã34				tɕia55		
475	岸		ŋan11			uõŋ33	ŋan41	uõŋ53			
476	汉		han31	han212	hɛ̃i212	hãn33	han13	haŋ35	han325	han35	
477	汗		huŋ11	ʔuei212	uei212	uõŋ33	huŋ41	huõŋ33	uɤ24	uo24	
478	安		ŋan35	uei55	uei55	ʔuõŋ55	oŋ53	aŋ33	ŋan55	ŋan55	
479	扮		pan31	pei212	pei212			baŋ35			
480	八		puo51	pie53	pie53	pie53	piᴇ35	ɓie55	pa55	pie55	
481	办		pan11	bei212	bei212	pãn214	pʰan41	baŋ35	ban214	ban214	
482	扎		tʃuo51				tʃa35				
483	铲		tʃʰuo53	tsʰie35	tsʰɤ̃334	tsʰuɛ325	tʃʰan33	tsʰɛ̃i33	tsʰan53	tsʰan53	
484	山		ʃuo35	sie55	sɤ̃55	sei55	ʃan53	sɛ̃i35	sɤ55		
485	产		tsʰan53	tsʰan53	tsʰɛ̃i53		tʃʰan33	tsʰaŋ55	tsʰan53	tsʰan53	
486	杀		ʃuo51	sie53	ɕye53	ɕie53	ʃiᴇ35	ɕie55	sɤ55	sɤe55	
487	间	一～房	tʃiŋ35	tsie55	kɤ̃55	kei55	kan13	kɛ̃i35	tɕie214	kai35	
488	眼		ŋio41	ie53	ɤ̃34	ŋɛ214	ŋan33	in55	ȵie53	ŋai55	
489	限		han31	han35			han41	hɛ̃i33	ɕian214	an214	
490	班		pan35	pie55	pɤ̃55	pãn55	pan53	ɓɛ̃i35	pan55	pan55	
491	板		puo53	pie35	pɤ̃334	pɛ325	pan33	ɓɛ̃i33	pan53	pɛi24	
492	慢		muo11	mie212	mɤ̃212	mei33	man41	mɛ̃i33	mie214	mɛi24	
493	奸		kiŋ35	tsian55	kian55	tɕian55	cian22	tɕin33	tɕian55	kan55	
494	颜		iŋ13	ian325	ian325	ian35	in22	in212	ȵiẽ24	ian24	
495	瞎		huo51	hie53	hie53	ɕie53	çiᴇ35	hie55	ɕie55	ɕie55	
496	变		pie31	pie212	pĩ212	piẽ33	pin13	ɓin53	pie325	pɤɛ35	
497	别		pie11	bie35			pʰi41	ɓi33/ɓie212			
498	骗	欺～	pʰiŋ31	pʰie212	pʰĩ212	pʰiẽ33	pʰin13	pʰin35	pʰian325	pʰiãn35	
499	便	方～	piŋ11	bie212	bian212		pin13	bin35	bie214	bian24	
500	棉		mie13	mie325	mĩ325	miẽ212		min212	mie214	mɤɛ214	
501	面	～孔	mie11	mie212	mĩ212	mĩ33	mi41	min33	mie214	mɤe24	
502	灭		mie11	mie35	mie34	mie35	miᴇ41	mie212			
503	连		liŋ13	ȵian325	ȵie34	ȵia212	ɲin22	ȵin212	lian24	dian24	
504	列		lie11			lie35	liᴇ41	ȵie212	lie214/tie214	die214	
505	剪		tsie53	tsei55	tsei334	tsiɛ̃325	tsin33	tɕin33	tɕie24	tsɤe24	
506	浅		tsʰie53	tsei212	tsʰei334	tsʰiɛ̃325	tsʰin33	tɕʰin33	tɕʰie24	tsʰuɤe24	
507	钱		tsie13	zei325	dzei325	dziɛ̃212	tsʰin22	ʑin212	dʑie214	zɤɛ214	
508	鲜		sie35				sən53	ɕyən33	ɕia55	sɤe55	
509	线		sie31	sei212	sei212	siɛ̃33	sin13	ɕin53	ɕie325	sɤɛ35	
510	撤		tʃʰie51			tɕʰie53	tsʰᴇ41	tsʰɤ212		tsʰɤe24	
511	缠			zei212		dʑiẽ212	tsʰan41		zɤ24	zɤe24	
512	战		tʃiŋ35		tɕian212	tɕian33	tʃan13	tɕiuŋ53			
513	折	～叠	tʃie51								
514	舌		hai11	ʑie35	i34	ʑi325	ʃi22		i24	ie24	
515	扇	名词	ʃie31	sie212	ɕy212	ɕiẽ33	ʃən13	ɕin53	sɤɛ325	sɤɛ35	
516	设		ʃie11		ɕie53	ɕie53	ʃᴇ41	sɤ212			
517	善		ʃiŋ41	syan35	ʑyan212	ʑian214	ʃən13	saŋ35	zan214	zɤe24/zan24	
518	热		nai11			dʑie35			i214	nɤe24	
519	件		kie41	ʑie212		dʑiẽ214	cʰin33	ʑin33			
520	杰		tʃie51	ʑie35	ɡie34		ciᴇ41	ʑie212			
521	孽		ŋie11	lie35	ȵi34	ȵiẽ53	ɲi41		ȵie214	ȵie214	
522	延		iŋ13				ian41	in212			
523	建		tʃiŋ31	tsei212	tɕian212	tɕian33	cian13	tɕin35			
524	健		tʃiŋ31	tsian53	tɕian212	dʑian214	cian13	tɕin35	tɕian325	dʑian214	
525	言		iŋ13					in212			
526	歇		hai51					hi55		ɕie55	
527	扁		pie53	pie35	pĩ334	piẽ325	pin33	ɓin33	pie24	pɤe24	
528	憋		pie51	pie53		pie53		ɓei55	pi55		
529	片		pʰie31	pʰie212	pʰĩ212	pʰiẽ33	pʰin13	pʰin53	pʰian325	pʰian35	
530	面	～条	mie11	mie212	mian212	mĩ33	mi41	min33	mian214	mɤe24	
531	篾		mai11	mie35	mĩ34	mi35	mi41	mi33	mi214	mɤe24	
532	典		tie53	tie53	tian53		tin33	ɗin55	tian53	tian53	
533	天		tʰie35	tʰie55	tʰĩ55	tʰiẽ55	tʰin53	tʰin35	tʰie55	tʰɤe55	
534	铁		tʰai51	tʰie53	tʰi53	tʰɯ53	tʰi35	tʰi55	tʰi55	tʰɤe55	
535	田		tie13	die325	dĩ325	diẽ212	tʰin22	din212	die214	dɤɛ214	
536	垫		tie11	die212	dĩ212	diẽ33	tʰin41	din35	dian214	dian214	
537	年		ȵie13	ȵie325	ȵi325	ȵiẽ212	ɲi22	ȵin212	ȵie214	ȵie24	
538	捏		ȵie41					ȵi35		ȵie55	
539	莲		liŋ13	ȵian325	ȵian325	ȵiẽ212	ɲin22	ȵin212	lian24	dian24	
540	节		tsai51	tsɤ53	tsɿ53	tsɯ53	tsi35	tɕi55	tɕi55	tsɤe55	
541	切	动词	tsʰai51	tsʰɤ53	tsʰɿ53	tsʰɯ53	tsʰi35	tɕʰi55	tɕʰi55	tsʰɤe55	
542	前		tsie13/tsiŋ13	zei325			tsʰin22	ʑin212			
543	截						tsi35	ʑie212			
544	先		siŋ35	sei55	sei55	siɛ̃55	sən53	ɕin35	ɕie55	sɤe55	
545	肩			tsie55	kĩ55	tɕiẽ55	cin53		tɕie55	kai55	
546	见		kie31	tsie212			cin13	tɕin53		tɕie35	
547	结		kai51	tsɤ53	tɕie53		ci35	tɕie212		tɕie24	
548	牵		kʰie35	tsʰie55	kʰĩ55	tɕʰiẽ55	cʰin53	tɕʰin35	tɕʰie55	tɕʰie55	
549	显		ʃiŋ53	hie53	hĩ334	ɕiẽ33	çin33	hin55	ɕian53	ɕian53	
550	现		ʃiŋ11				çin13	hin35			
551	烟		ie35	ʔie55	ĩ55	ʔiẽ55	in53	in35	ȵie55	ie55	
552	搬		pan35	pei55	pei55	puõ55	pan53	ɓuõŋ35	pie55	puo55	
553	半		puŋ31	pei212	pei212	puõ33	muo13	ɓuõŋ53	pie325	puo35	
554	拨		puo51		pɤ53		puo35				
555	判		pʰan31	pʰie212	pʰɤ̃212	pʰãn33	pʰan13	pʰɛ̃i53	pʰan325	pʰan35	
556	泼		pʰuo51				pʰuo35				
557	盘		puŋ13	bei325	bei325	buõŋ212	pʰuo22	buõŋ212	bie214	buo214	
558	满		muŋ41	mei53/maŋ53	meĩ34	mɑu214	muo33	mu55	mie53	muo55/man53	
559	末		muo11				muo22	muo212		muo214	
560	端		taŋ35	tɤ55/tɤ53	tɤ̃55/tɤ53	tuõŋ55		ɗõŋ35	taŋ55	tuo55	
561	短		tuŋ53	tei35	tei334	tuõŋ325	tuŋ33	ɗuõŋ33	tɤ24	tuo24	
562	断	绳～了	tuŋ41	tei212	tei34	duõŋ325	tʰuŋ33	ɗuaŋ35	tɤɛ214	duo24/duan24	
563	脱		tʰuo51	tʰɤ53	tʰɤ53	tʰɯ53	tʰuo35	tʰuo55		tʰuo55	
564	夺		tuo11	duo35	dɤ34	dɯ35		duo212			
565	暖		nuŋ41	lei53	nən34	luo214	nuŋ33	luo55	nɤɛ53	nuo55	
566	乱		luo11	lei212	nɤ̃212	nuõŋ33	luŋ41	nuõŋ33	na24	luo24	
567	酸		suŋ35	suei55	sei55	suõŋ55	suŋ53	suõŋ35	sɤ55	suo55	
568	算		suŋ31	sei212	sei212	suõŋ33	suŋ13	suõŋ53	sɤɛ325	suo35	
569	官		kuan35	kuei55	kuei55	kuõŋ55	kuo53	kuõŋ35	kuɤ55	kuo55/kuan55	
570	宽							kʰuaŋ33			
571	阔		huo51	huɤ53	huɤ53	hui53	kʰuo35	huo55		huo55	
572	欢		fan35	huei55	huɤ̃55	huõŋ55	huo53	huaŋ33	fan0	fuan55	
573	完		uan13	ye325	uɤ̃325	uei212	uən22	uaŋ212	uɛ214	uɤɛ214	
574	换		fan11	hau212						uo24	
575	活			uɤ35	uɤ34	ui35	huo22	huo212	uo214	uo24	
576	碗		uo53	ʔuei35	uei334	ʔuõŋ325	ŋuo33	uõŋ55	uɤ24	uo24	
577	顽		uan13	ye325			uan22	uaŋ212			
578	滑		uo11	ua35	ye34	ye35	çyᴇ41	ye33	uɤɛ214	ye24	
579	挖			ʔua53	ye53	ye53	yᴇ35	ye55	uɤ55	ye55	
580	闩		ʃuŋ35	sye55		suei55	ʃuan53	suɛ̃i35	sɤ55	suai55	
581	刷		ʃuɑ51	sye53/sua53	ɕye53	ɕye53	ʃua41	sua55	sa55	sua24	
582	关		kuan35	kuei55/kuaŋ55	kuei55/kuɛ̃i55	kuei55/kuãn55	kuan53	kuɛ̃i35	kuɤ55/kuan55	kuai55/kuan55	
583	惯		kuan31	kuei212	kuɤ̃212/kuɛ̃i212	kuãn33	kuan13	kuɛ̃i53/kuaŋ35	kuan325	kuan35	
584	刮		kuo51	kua53	kye53	kuɛ53	cyᴇ35	kye55	kua55	kua24	
585	还	动词	fei13	uaŋ325	uɤ̃325	uei212	uan22	huaŋ212			
586	还	副词	hɑ13	hie55	uɤ̃325	ei212	hai22	hai212		ɛi24	
587	弯		uan35	uei55	uɤ̃55	uei55	uan53	uɛ̃i35	uɤ55	uai55	
588	全		tsɤ13	zei325	dzei325	zuõŋ212	tsʰən22	ʑyən212	dʑie214	zuai214/dʑyan24	
589	绝		tsuei11	ʑye35	dzɤ34/dʑye34	zɯ35/zye35	tsʰuei41	zuei33/ʑye212	zei214	dʑy214/tɕye24	
590	选		ʃyən53	sei35		suõŋ325	sən33	suən33	sɤ24	suɤe24	
591	雪		suei51	sɤ53	sɿ53	sɯ53	suei35	suei55	sei55	ɕy55	
592	转	～送	tʃyən53		tɕỹ334	dʑyɛ̃325	tsʰən41	tsuən33/tsuaŋ55	tsɤ24	tsuan24	
593	传	～下来	tʃyən13	ʑye325		dʑyɛ̃212	tʃʰuan41	zuõŋ212	dʑyan214	zuan24	
594	传	～记						zuaŋ35			
595	砖		tʃye35	tsye55	tɕỹ55	tɕyɛ̃55	tʃyən53	tsuən35	tsɤ55	tsuɤe55	
596	船		ʃye13	ʑye325	ʑỹ325	ʑyɛ̃212	ʃyən22	suən212	zɤɛ214	zuɤɛ214	
597	软			ie53		ʑyɛ̃214					
598	卷	～起	tʃyən53	tsye35	kỹ334	tɕyɛ̃325	kuən33	tsuən33			
599	圈	圆～	kʰye35	tsʰye55		tɕʰyɛ̃55	kʰuən53				
600	权		tʃyən13	ʑye325	dʑyan325	dʑyan35		ʑyən212	dʑyan214	dʑyan24	
601	圆				yan325			yən212			
602	院		yən11	ʔye212	ỹ212		uən41	yən35			
603	铅		yən13	tsʰei55	yan325	yɛ̃212	uən22	yən212	tɕʰian55	tɕʰian55	
604	反		fan53	huei35/huaŋ53	bɤ̃35/huɤ̃53/huɛ̃i53	fãn325	huan33	ɓɛ̃i33/huaŋ55	hɤu55/fan53	fuan53	
605	发	头～		pei51	hua53	hua53	fa53	çyᴇ35	hye55	bi0	huo0/bi0
606	翻			huei55	huɤ̃55/fɤ̃	fɛ55	huan53	ɓɛ̃i33	huɤ55	fuai55/fan55	
607	饭		pei11	bie212	bɤ212	bei214	pʰan41	bai33	bi24	bɛi24	
608	罚		huo11	ua35	ye34	vie35	çyᴇ35	hye33	hua325	ɕye55	
609	晚										
610	万		uan11	ʔuei212/ʔuaŋ212	uɤ̃212/uɛ̃i212	vei33/uãn325	uan41	uɛ̃i33/uaŋ35	uɤ24/uan214	uɛi24/uan24	
611	袜		muo11	mie35	mie34	mie35	ua41	mie33	ua214	ua24	
612	劝		kʰye31	tsʰye212	kʰỹ212	tɕʰyɛ̃33	kʰuən13	tsʰuən53	kʰuɤɛ325	kʰuɤɛ35	
