#參考文獻 《興化方言地理語言學研究》《興化方言志》	
#調值	陰平陽去21 陽平35 上213 陰去443 陰入3 陽入45
#ɿ	
p	[1]奔栟{～茶}畚賁錛[3]本[5]奔笨
pʰ	[1]噴笨[2]盆[5]噴
m	[1]悶燜璺溫{～熱水}[2]明-門
f	[1]份分紛芬吩[2]焚墳[3]粉[5]分奮畚糞
v	[1]瘟問溫=[2]文蚊紋聞[3]穩吻
t	[1]噸墩燈登瞪蹬蹲驐敦[3]戥盹等躉[5]凳扽燉飩鈍=頓𧘸遁盾
tʰ	[1]吞鄧囤鈍-[2]疼騰滕藤[5]褪
n	[1]嫩楞愣論[2]埨淪能輪[3]冷
k	[1]今-庚更根羹跟耕[3]埂梗挭拫[5]更
kʰ	[1]坑[3]啃肯[5]掯{按}硍{污垢}
x	[1]哼恨[2]痕恆[3]很狠[5]脝
ts	[1]爭正{～月}真睜曾增罾蒸針錚珍征[3]拯怎整枕疹[5]振政正甑症證鎮震枕
tsʰ	[1]㵾撐稱蟶陣[2]乘城塵成承曾層沉𨀛{蹲}辰鈂陳程[3]逞[5]秤稱趁
s	[1]伸升參聲深牲生甥申身裳{衣～}[2]盛神繩蹲-+[3]沈瀋省審[5]抻甚瘮盛勝腎聖滲
z	[1]認韌任[2]人壬任{姓}仁[3]忍韌
0	[1]恩硬
#in	
p	[1]兵賓冰檳繽[3]丙秉餅[5]併並柄
pʰ	[1]姘拼病乒[2]評平蘋苹瓶貧憑[3]品評[5]聘
m	[1]命[2]名明=民鳴[3]抿敏瞑皿脗
t	[1]丁叮盯釘靪疔[3]頂鼎[5]定=訂釘
tʰ	[1]定廳汀[2]亭停庭桯[3]挺艇[5]聽
n	[1]令另[2]臨鱗寧檸拎鄰林淋靈玲鈴齡菱陵零輪{～到}[3]領嶺[5]寧
#iən	
tɕ	[1]晶京巾驚斤睛精筋經莖襟金[3]井儘景緊警阱頸[5]競竟淨=勁境盡=敬桱徑進鏡靜
tɕʰ	[1]親=淨-盡-清輕近-青侵[2]勤尋晴情琴芹[3]請[5]慶顉撳磬親
ɕ	[1]興心新星腥芯辛欣[2]形刑型行[3]醒擤省[5]信興幸姓性杏汛-釁訊
0	[1]因姻殷洇纓英茵陰蔭音鷹蠅[2]熒寅盈塋螢營贏迎銀[3]引影隱癮飲[5]印應窨蔭映{倒～}
#uən	
k	[3]滾磙緄[5]棍
kʰ	[1]坤昆裩[3]捆[5]困
x	[1]婚昏葷[2]餛渾魂[3]混[5]混
#yən	
tɕ	[1]軍君均尊菌諄[3]準[5]俊峻
tɕʰ	[1]春椿村皴[2]存羣裙[3]蠢[5]寸襯
ɕ	[1]孫燻勳順-[2]巡循旬洵純[3]損榫筍[5]訓訊汛=順=
0	[1]暈運-閏[2]雲勻[3]允永-泳-[5]運=潤孕熨韻
#ɔŋ	
p	[1]崩繃[3]繃[5]蹦
pʰ	[1]䳞埲烹[2]朋棚篷蓬蟛鵬膨彭[3]捧[5]碰
m	[1]夢[2]蒙朦盟[3]懵猛蜢蠓
f	[1]豐封峯瘋縫蜂風[2]馮逢縫[3]諷[5]鳳奉
t	[1]東冬咚[3]懂董總+[5]凍動=棟
tʰ	[1]動-洞胴通[2]同瞳童茼銅桐[3]捅桶囪+筒統[5]痛蘣{可愛}
n	[1]弄[2]農濃穠膿隆龍籠聾嚨瓏𨏠朧[3]攏[5]膿
k	[1]公攻功宮工弓躬恭疘[3]拱[5]共供貢
kʰ	[1]空[3]孔恐[5]空控
x	[1]吽哄烘訇轟[2]紅洪宏蕻[3]哄[5]橫=
ts	[1]中宗鬃忠盅終鍾鐘[3]總種腫[5]中種衆糉
tsʰ	[1]仲充衝沖匆蔥重聰[2]從蟲重[3]寵囪[5]衝蹱𥅻
s	[1]松舂[2]㞞[3]聳[5]宋誦送
z	[2]戎絨茸
0	[1]翁嗡[2]橫-[5]䐥齆𨞑
#iɔŋ	
tɕ	[3]窘
tɕʰ	[2]窮瓊
ɕ	[1]兄兇胸洶[2]熊雄=
0	[1]用傭雍[2]容榮蓉溶融熔雄-[3]湧勇擁蛹永=泳=[5]壅
#iɪʔ	
p	[7]別{～針}壁璧必憋畢癟碧筆蹩憋逼鱉
pʰ	[7]撇辟僻劈癖[8]別-{～的事}鼻
m	[7]滅=密=蔑[8]密-篾蜜滅-
t	[7]疊嫡扚敵=滴的碟跌迭
tʰ	[7]帖貼踢惕剔鐵蝶[8]敵-笛胅
n	[7]列力=劣歷孽律捏獵立粒逆=[8]力-曆栗捏裂鑷躡逆-立歷
ts	[7]䇽折浙哲
tsʰ	[7]徹撤
s	[7]攝設涉[8]折{～本}舌
z	[8]日熱
tɕ	[7]結節揭接給劫潔竭癤
tɕʰ	[7]切怯妾竊[8]截捷杰傑
ɕ	[7]歇揭泄脅蠍楔[8]協
0	[7]頁噎掖[8]業葉
#æʔ	
p	[7]八
pʰ	[8]拔跋
m	[8]抹-蛨㩢
f	[7]發髮法[8]罰乏垡筏閥伐
v	[7]挖[8]滑-{～迭}襪
t	[7]搭瘩答繨達=沓
tʰ	[7]塌塔搨榻獺遢[8]踏達闥沓
n	[8]納捺吶
l	[7]瘌[8]辣蠟臘邋
k	[7]夾挾裌胳莢軋
kʰ	[7]掐甲-{指～}[8]軋
x	[7]瞎[8]匣狹
ts	[7]咂扎雜眨砸
tsʰ	[7]察插擦[8]煠閘鍘
s	[7]撒殺煞薩霎靸㞚{木楔}[8]剎
0	[7]押鴨阿壓[8]壓軋齾
#iæʔ	
tɕ	[7]甲=
ɕ	[8]峽
#uæʔ	
k	[7]刮括
