来源：	本地方言调查；山佳木 整理录入
ɕ	［1］休修羞［3］囚-咻{代字，～净：形容衣服清爽干净，或者院子清净}［2］朽［5］宿秀绣袖锈嗅孝
Ø	［1］优忧幽悠［3］友有酉咬［2］尤由邮油游［5］柚莠又右幼祐诱
#eu	
t	［1］刀叨［3］岛倒祷［5］导倒=到盗道稻=
tʰ	［1］掏［3］讨稻-{~畦：地名}［2］涛滔逃桃陶淘萄［5］套
n	［3］脑恼［5］淖
l	［3］老［2］捞劳牢唠［5］涝烙
k	［1］羔高糕［3］膏=篙搞稿［5］告
kʰ	［3］考烤［5］犒靠
x	［1］蒿［3］好［2］毫豪嚎号壕耗{消～}［5］好号浩耗{～子：老鼠}
ts	［1］遭糟［3］早枣蚤澡［2］凿{开～}［5］灶皂造=躁
tsʰ	［1］操{～练}［3］草［2］曹槽［5］糙造-
s	［1］骚臊［3］扫嫂［5］扫潲
tʂ	［1］朝招昭沼召［3］找=［5］兆诏赵照
tʂʰ	［1］超［2］朝潮［5］翘-
ʂ	［1］烧少绍［2］勺芍韶［5］烧少邵
ʐ	［3］扰绕［2］饶［5］绕
Ø	［1］［3］祆=拗{~价}［2］熬［5］傲懊奥拗
#ieu	
p	［1］彪标膘［3］表［5］鳔
pʰ	［1］漂飘［2］瓢嫖［5］漂票
m	［3］秒渺藐［2］苗描［5］妙庙谬
t	［1］刁貂雕［5］吊钓调藋掉
tʰ	［1］挑{~：针灸；～刺：用针挑手中不小心扎入的刺}［3］挑{挑拨}［2］调条［5］粜跳
n	［5］尿
l	［1］撩{日～：形容人能耐大［3］了［2］辽疗聊寥撩燎［5］尥料瞭
tɕ	［1］郊娇浇骄椒焦蕉教［3］侥狡绞剿缴［2］嚼［5］矫叫轿较教={~育}噍醮
tɕʰ	［1］悄敲锹雀{黄～～：黄鹂鸟}［2］乔侨荞桥瞧［5］俏窍鞘翘=
ɕ	［1］宵消萧硝销箫霄嚣［3］小晓［2］学=［5］效校笑
Ø	［1］幺吆妖腰邀杳约={～摸：估计}要［3］舀［2］尧肴姚窑谣摇［5］要鹞耀跃猺{黄～：黄鼠狼}
#aŋ	
p	［1］扳班般颁斑搬［3］板版扁-［5］办半伴扮拌{搅～}绊瓣畔
pʰ	［1］潘攀［2］爿盘［5］判叛盼襻
m	［3］满螨［2］蛮馒瞒［5］幔慢漫蔓
f	［1］番翻藩［3］反［2］帆凡矾烦繁［5］犯泛饭范贩
t	［1］丹单担耽［3］胆掸［5］担旦但诞弹淡蛋氮
n	［2］男南难［5］喃=难
l	［3］览揽缆榄漤懒［2］兰拦燣蓝篮［5］烂滥乱-{忙～}
k	［1］干甘肝泔柑［3］杆竿尴秆赶敢感橄擀［5］干
kʰ	［1］刊勘龛堪看［3］坎砍［5］看
