pĩ	边鳊蝙鞭编=		扁匾贬	变遍=						
pʰĩ	偏编-遍-篇	便-(~宜)骈		片骗辨辩辫便(方~)卞						
mĩ	棉绵眠		免勉娩冕缅	面						
tĩ	掂颠癫		点扂(~撑)典	甸店惦踮奠淀						
tʰĩ	天添	填田甜恬	舔腆忝	掭(~笔)舕垫电佃殿						
nĩ	拈蔫	年严酽粘黏鲇研阎	碾蹍捻撚撵拟	念砚						
lĩ		联莲连鲢镰廉簾帘怜	脸敛殓	恋链练炼						
tɕĩ	尖坚沾煎笺=兼搛(~菜：夹菜)肩瞻占毡		展搌辗剪茧趼检捡謇	见舰建犍剑箭晾占战荐溅俭渐健腱践						
tɕʰĩ	千扦歼迁牵签谦笺-纤(~维)椠(~皮)	前=钱掮缠钳=乾蝉婵禅僭虔	浅遣谴	欠歉纤(背~)茜腱件						
ɕĩ	先仙苮籼鲜煽搧苫掀锨	嫌闲-娴-贤-涎=弦	显险陕-蚬苋闪铣	扇骟宪线献羨腺苫县善现膳鳝擅赡单(姓)						
ĩ	烟咽=(~喉)胭焉蔫阉	沿盐檐然燃言冉延筵炎	染庵魇掩演衍冉	焰晏(海~：地名)厌咽=(吞~)宴燕谚堰验腌醃躽						
pũ	搬			半						
pʰũ	潘拼-(~命)	般-盘磐蟠蹒		判叛绊伴拌畔						
mũ		瞒馒鳗鞔(蒙)	满螨	漫						
lũ			卵(~子)							
kũ	甘柑泔肝干(~亲)官观冠倌棺		赶杆秆竿擀馆管箝感敢	干(~部)灌罐赣贯盥						
kʰũ	堪看(~门)刊宽髋勘-龛		刊款坎砍侃瞰	看(~病)勘=						
xũ	欢=鼾酣蚶憨	含晗函(~件)涵韩寒邗	缓=罕	汉唤焕翰汗旱换捍焊撼						
ũ	安鞍氨豌庵鹌	完丸纨桓	碗婉腕=惋蜿皖烷接唵挽-缓-	案暗黯按换-岸						
tỹ	端		短	锻断=(决~)簖						
tʰỹ	贪湍	团坛-(~子)潭凼		探段缎断-(~裂)						
nỹ		男南楠	暖							
lỹ		孪挛銮恋-峦鸾	卵	乱恋						
tɕỹ	捐涓鹃专砖钻(~研)簪		卷(~发)转(~发)晷	绢卷眷转(~角)撰钻(~石)						
tɕʰỹ	川穿圈(~地)氽	全痊诠铨权船传(相~)颧蚕椽泉拳	犬蹿喘	串窜劝篡传(~记)倦-券篆圈(猪~)						
ɕỹ	轩喧宣酸	悬旋玄	选癣	楦蒜算						
ỹ	冤鸳渊	辕援媛元园员圆原源缘袁鼋	远软	怨愿院苑沅阮						
pʌŋ	崩蹦绷=(~带)		绷-(~人)	迸蹦泵						
pʰʌŋ	烹抨砰怦	朋=棚硼鹏彭澎膨蟛蓬篷	捧	碰蚌						
mʌŋ	蒙	蒙朦檬濛氓虻萌盟	猛锰蜢硼懵蠓	梦孟懵						
fʌŋ	丰封枫风疯	蜂峰锋烽逢缝冯	讽	俸凤缝奉						
vʌŋ	翁嗡	横		瓮蕹齆						
tʌŋ	东冬咚		董懂栋	冻栋						
tʰʌŋ	通	同秱铜茼酮童僮潼瞳佟彤	筒桶捅统	痛恸动洞洞胴						
nʌŋ		农浓脓		弄						
lʌŋ		龙聋聋珑胧砻隆窿笼	拢垄陇	弄(~子)						
tsʌŋ	宗踪=棕鬃中(~国)蛊忠衷钟终		总种(~子)肿冢踵炯窘迥	种(~地)中(~奖)众纵粽踪-						
