cid	cʰaracter	initian	final	tone	note
909	吃	tsʰ	ɿ	33	
910	横	x	oŋ	21	
911	划	x	uᴀ	24	
912	兄	ɕ	ioŋ	45	
913	荣	∅	ioŋ	21	
914	永	∅	ioŋ	42	
915	营	∅	ioŋ	21	
916	蓬	pʰ	oŋ	21	
917	东	t	oŋ	45	
918	懂	t	oŋ	42	
919	冻	t	oŋ	24	
920	通	tʰ	oŋ	45	
921	桶	tʰ	oŋ	42	
922	痛	tʰ	oŋ	24	
923	铜	tʰ	oŋ	21	
924	动	t	oŋ	24	
925	洞	t	oŋ	24	
926	聋	n	oŋ	45	
927	弄	n	oŋ	24	
928	粽	ts	oŋ	24	
929	葱	tsʰ	oŋ	45	
930	送	s	oŋ	24	
931	公	k	oŋ	45	
932	孔	kʰ	oŋ	42	
933	烘	x	oŋ	45	
934	红	x	oŋ	21	
935	翁	∅	oŋ	45	
936	木	m	uᶹ	33	
937	读	t	uᶹ	33	
938	鹿	n	uᶹ	33	
939	族	tsʰ	uᶹ	33	
940	谷	k	uᶹ	33	
941	哭	kʰ	uᶹ	33	
942	屋	v	uᶹ	33	
943	冬	t	oŋ	45	
944	统	tʰ	oŋ	42	
945	脓	n	oŋ	21	
946	松	s	oŋ	45	
947	宋	s	oŋ	24	
948	毒	t	uᶹ	33	
949	风	f	oŋ	45	
950	丰	f	oŋ	45	
951	凤	f	oŋ	24	
952	梦	m	oŋ	24	
953	中	ts	oŋ	45	
954	虫	tsʰ	oŋ	21	
955	终	ts	oŋ	45	
956	充	tsʰ	oŋ	45	
957	宫	k	oŋ	45	
958	穷	tɕʰ	ioŋ	21	
959	熊	ɕ	ioŋ	21	
960	雄	ɕ	ioŋ	21	
961	福	f	uᶹ	33	
962	服	f	uᶹ	33	
963	目	m	uᶹ	33	
964	六	n	uᶹ	33	
965	宿	ɕ	yi	33	
966	竹	ts	uᶹ	33	
967	畜	tsʰ	uᶹ	33	
968	缩	ɕ	yi	33	白
968	缩	s	o	33	文
969	粥	ts	uᶹ	33	
970	叔	s	uᶹ	33	
971	熟	s	uᶹ	33	
972	肉	z	uᶹ	33	
973	菊	tɕ	yi	33	
974	育	∅	yi	33	
975	封	f	oŋ	45	
976	蜂	f	oŋ	45	
977	缝	f	oŋ	24	
978	浓	n	oŋ	21	
979	龙	n	oŋ	21	
980	松	tsʰ	oŋ	21	
981	重	ts	oŋ	24	
982	肿	ts	oŋ	42	
983	种	ts	oŋ	24	
984	冲	tsʰ	oŋ	45	
985	恭	k	oŋ	45	
986	共	k	oŋ	24	
987	凶	ɕ	ioŋ	45	
988	拥	∅	ioŋ	42	
989	容	∅	ioŋ	21	
990	用	∅	ioŋ	24	
991	绿	n	uᶹ	33	
992	足	tɕ	yi	33	
993	烛	ts	uᶹ	33	
994	赎	ts	uᶹ	33	白
994	赎	s	uᶹ	33	文
995	属	s	uᶹ	33	
996	褥	z	uᶹ	42	
997	曲	tɕʰ	yi	33	
998	局	tɕ	yi	33	
999	玉	∅	yi	24	
1000	浴	∅	yi	33	
	谜	m	i	24	∽子
	界	k	ai	24	田家∽
	牡	m	ᴀu	42	∽丹
	你	n	i	42	
	我	ŋ	o	42	
	他	tʰ	ᴀ	45	
	在	ts	ai	24	
	在	t	ai	24	白
	是	s	ɿ	24	
	挼	z	uᴀ	33	揉
	擀	k	an	42	
	倒	t	ᴀu	24	∽酒
	哽	k	ən	42	口语形容噎
