"汉字"	"拼音"	"IPA"	"注释"	"廈門"	"声调"	"调值"	"编号"	""	"缺音字"
"訝"	"ga6"	"ɡa22"	""	""	""	""	""	""	""
"迓"	"ga6"	"ɡa22"	""	""	""	""	""	""	""
"蝦"	"he2"	"he24"	"白"	""	""	""	""	""	""
"蝦"	"ha2"	"ha24"	"文"	""	""	""	""	""	""
"嚇"	"ha5"	"ha21"	""	""	""	""	""	""	""
"霞"	"he2"	"he24"	"白"	""	""	""	""	""	""
"霞"	"ha2"	"ha24"	"文"	""	""	""	""	""	""
"遐"	"ha2"	"ha24"	""	""	""	""	""	""	""
"瑕"	"ha2"	"ha24"	""	""	""	""	""	""	""
"下"	"e6"	"e22"	"白"	""	""	""	""	""	""
"下"	"ke6"	"ke22"	"白"	""	""	""	""	""	""
"下"	"ha6"	"ha22"	"文"	""	""	""	""	""	""
"下"	"e6"	"e22"	"白"	""	""	""	""	""	""
"下"	"he6"	"he22"	"白"	""	""	""	""	""	""
"下"	"khe6"	"kʰe22"	"白"	""	""	""	""	""	""
"下"	"ha6"	"ha22"	"文"	""	""	""	""	""	""
"夏"	"he6"	"he22"	"白"	""	""	""	""	""	""
"夏"	"ha6"	"ha22"	"文"	""	""	""	""	""	""
"廈"	"e6"	"e22"	"白"	""	""	""	""	""	""
"廈"	"he6"	"he22"	"白"	""	""	""	""	""	""
"廈"	"ha6"	"ha22"	"文"	""	""	""	""	""	""
"暇"	"he2"	"he24"	"白"	""	""	""	""	""	""
"暇"	"ha2"	"ha24"	"文"	""	""	""	""	""	""
"暇"	"he6"	"he22"	"白"	""	""	""	""	""	""
"暇"	"ha6"	"ha22"	"文"	""	""	""	""	""	""
"丫"	"a1"	"a44"	""	""	""	""	""	""	""
"鴉"	"a1"	"a44"	""	""	""	""	""	""	""
"啞"	"e3"	"e53"	"白"	""	""	""	""	""	""
"啞"	"a3"	"a53"	"文"	""	""	""	""	""	""
"亞"	"a1"	"a44"	"俗"	""	""	""	""	""	""
"亞"	"a5"	"a21"	""	""	""	""	""	""	""
"嗟"	"tsia1"	"tsia44"	""	""	""	""	""	""	""
"姐"	"tse3"	"tse53"	""	""	""	""	""	""	""
"姐"	"tsia3"	"tsia53"	""	""	""	""	""	""	""
"借"	"tsioh7"	"tsioʔ32"	"白"	""	""	""	""	""	""
"借"	"tsik7"	"tsik32"	"文，借入"	""	""	""	""	""	""
"借"	"tsia5"	"tsia21"	"文，借出"	""	""	""	""	""	""
"且"	"tshia3"	"tsʰia53"	""	""	""	""	""	""	""
"且"	"tshiann3"	"tsʰiã53"	""	""	""	""	""	""	""
"藉"	"tsia5"	"tsia21"	""	""	""	""	""	""	""
"藉"	"tsia6"	"tsia22"	""	""	""	""	""	""	""
"些"	"se1"	"se44"	""	""	""	""	""	""	""
"些"	"sia1"	"sia44"	""	""	""	""	""	""	""
"寫"	"sia3"	"sia53"	""	""	""	""	""	""	""
"瀉"	"sia5"	"sia21"	""	""	""	""	""	""	""
"卸"	"sia5"	"sia21"	""	""	""	""	""	""	""
"邪"	"sia2"	"sia24"	""	""	""	""	""	""	""
"邪"	"ia2"	"ia24"	""	""	""	""	""	""	""
"斜"	"tshia2"	"tsʰia24"	""	""	""	""	""	""	""
"斜"	"sia2"	"sia24"	""	""	""	""	""	""	""
"謝"	"sia6"	"sia22"	""	""	""	""	""	""	""
"爹"	"tia1"	"tia44"	""	""	""	""	""	""	""
"遮"	"tsia2"	"tsia24"	"俗"	""	""	""	""	""	""
"遮"	"tsia1"	"tsia44"	""	""	""	""	""	""	""
"者"	"tsia3"	"tsia53"	""	""	""	""	""	""	""
"蔗"	"tsia5"	"tsia21"	""	""	""	""	""	""	""
"車"	"tshia1"	"tsʰia44"	""	""	""	""	""	""	""
"車"	"ku1"	"ku44"	""	""	""	""	""	""	""
"扯"	"tshe3"	"tsʰe53"	"白"	""	""	""	""	""	""
"扯"	"tshia3"	"tsʰia53"	"文"	""	""	""	""	""	""
"蛇"	"tsua2"	"tsua24"	"白"	""	""	""	""	""	""
"蛇"	"sia2"	"sia24"	"文"	""	""	""	""	""	""
"射"	"sia6"	"sia22"	""	""	""	""	""	""	""
"奢"	"tshia1"	"tsʰia44"	""	""	""	""	""	""	""
"奢"	"sia1"	"sia44"	""	""	""	""	""	""	""
"賒"	"sia1"	"sia44"	""	""	""	""	""	""	""
"捨"	"sia3"	"sia53"	""	""	""	""	""	""	""
"捨"	"sia5"	"sia21"	""	""	""	""	""	""	""
"赦"	"sia5"	"sia21"	""	""	""	""	""	""	""
"舍"	"sia3"	"sia53"	""	""	""	""	""	""	""
"舍"	"sia5"	"sia21"	""	""	""	""	""	""	""
"社"	"sia6"	"sia22"	""	""	""	""	""	""	""
"惹"	"lia3"	"lia53"	""	""	""	""	""	""	""
"耶"	"ia2"	"ia24"	""	""	""	""	""	""	""
"椰"	"ia2"	"ia24"	""	""	""	""	""	""	""
"爺"	"ia2"	"ia24"	""	""	""	""	""	""	""
"冶"	"ia3"	"ia53"	""	""	""	""	""	""	""
"也"	"ia3"	"ia53"	""	""	""	""	""	""	""
"也"	"ia6"	"ia22"	""	""	""	""	""	""	""
"也"	"a6"	"a22"	""	""	""	""	""	""	""
"野"	"ia3"	"ia53"	""	""	""	""	""	""	""
"夜"	"ia6"	"ia22"	""	""	""	""	""	""	""
"耍"	"sua3"	"sua53"	""	""	""	""	""	""	""
"瓜"	"kue1"	"kue44"	"白"	""	""	""	""	""	""
"瓜"	"kua1"	"kua44"	"文"	""	""	""	""	""	""
"蝸"	"o1"	"o44"	""	""	""	""	""	""	""
"寡"	"kua3"	"kua53"	""	""	""	""	""	""	""
"寡"	"kuann3"	"kuã53"	""	""	""	""	""	""	""
"垮"	"khua1"	"kʰua44"	""	""	""	""	""	""	""
"跨"	"khua5"	"kʰua21"	""	""	""	""	""	""	""
"跨"	"khua1"	"kʰua44"	""	""	""	""	""	""	""
"娃"	"ua1"	"ua44"	""	""	""	""	""	""	""
"瓦"	"hia6"	"hia22"	"白"	""	""	""	""	""	""
"瓦"	"gua3"	"ɡua53"	"文"	""	""	""	""	""	""
"花"	"hue1"	"hue44"	"白"	""	""	""	""	""	""
"花"	"hua1"	"hua44"	"文"	""	""	""	""	""	""
"化"	"hue5"	"hue21"	"白"	""	""	""	""	""	""
"化"	"hua5"	"hua21"	"文"	""	""	""	""	""	""
"華"	"hua2"	"hua24"	""	""	""	""	""	""	""
"蛙"	"ua1"	"ua44"	""	""	""	""	""	""	""
"洼"	"ua1"	"ua44"	""	""	""	""	""	""	""
"補"	"poo3"	"pɔ53"	""	""	""	""	""	""	""
"譜"	"phoo3"	"pʰɔ53"	""	""	""	""	""	""	""
"布"	"poo5"	"pɔ21"	""	""	""	""	""	""	""
"佈"	"poo5"	"pɔ21"	""	""	""	""	""	""	""
"鋪"	"phoo1"	"pʰɔ44"	""	""	""	""	""	""	""
"普"	"phoo3"	"pʰɔ53"	""	""	""	""	""	""	""
"浦"	"phoo3"	"pʰɔ53"	""	""	""	""	""	""	""
"鋪"	"phoo5"	"pʰɔ21"	""	""	""	""	""	""	""
"怖"	"poo5"	"pɔ21"	""	""	""	""	""	""	""
"菩"	"poo2"	"pɔ24"	""	""	""	""	""	""	""
"菩"	"phoo2"	"pʰɔ24"	""	""	""	""	""	""	""
"菩"	"phoo1"	"pʰɔ44"	""	""	""	""	""	""	""
"菩"	"phue6"	"pʰue22"	""	""	""	""	""	""	""
"蒲"	"poo2"	"pɔ24"	""	""	""	""	""	""	""
"蒲"	"phoo2"	"pʰɔ24"	""	""	""	""	""	""	""
"脯"	"poo3"	"pɔ53"	"白"	""	""	""	""	""	""
"脯"	"hu3"	"hu53"	"文"	""	""	""	""	""	""
"脯"	"poo2"	"pɔ24"	""	""	""	""	""	""	""
"脯"	"phoo2"	"pʰɔ24"	""	""	""	""	""	""	""
"部"	"poo6"	"pɔ22"	""	""	""	""	""	""	""
"部"	"pho6"	"pʰo22"	""	""	""	""	""	""	""
"簿"	"phoo6"	"pʰɔ22"	""	""	""	""	""	""	""
"步"	"poo6"	"pɔ22"	""	""	""	""	""	""	""
"埠"	"poo1"	"pɔ44"	""	""	""	""	""	""	""
"捕"	"poo2"	"pɔ24"	"俗"	""	""	""	""	""	""
"捕"	"poo6"	"pɔ22"	""	""	""	""	""	""	""
"模"	"boo2"	"bɔ24"	""	""	""	""	""	""	""
"模"	"moo2"	"mɔ24"	""	""	""	""	""	""	""
"暮"	"boo6"	"bɔ22"	""	""	""	""	""	""	""
"墓"	"boo6"	"bɔ22"	""	""	""	""	""	""	""
"墓"	"boong6"	"bɔŋ22"	""	""	""	""	""	""	""
"募"	"boo6"	"bɔ22"	""	""	""	""	""	""	""
"慕"	"boo6"	"bɔ22"	""	""	""	""	""	""	""
"都"	"too1"	"tɔ44"	""	""	""	""	""	""	""
"堵"	"too3"	"tɔ53"	""	""	""	""	""	""	""
"賭"	"too3"	"tɔ53"	""	""	""	""	""	""	""
"肚"	"too3"	"tɔ53"	""	""	""	""	""	""	""
"肚"	"too6"	"tɔ22"	""	""	""	""	""	""	""
"妒"	"too5"	"tɔ21"	""	""	""	""	""	""	""
"蠹"	"too5"	"tɔ21"	""	""	""	""	""	""	""
"土"	"thoo3"	"tʰɔ53"	""	""	""	""	""	""	""
"吐"	"thoo3"	"tʰɔ53"	""	""	""	""	""	""	""
"吐"	"thoong3"	"tʰɔŋ53"	""	""	""	""	""	""	""
"吐"	"thoo5"	"tʰɔ21"	""	""	""	""	""	""	""
"兔"	"thoo5"	"tʰɔ21"	""	""	""	""	""	""	""
"途"	"too2"	"tɔ24"	""	""	""	""	""	""	""
"屠"	"too3"	"tɔ53"	"俗"	""	""	""	""	""	""
"屠"	"too2"	"tɔ24"	""	""	""	""	""	""	""
"圖"	"too2"	"tɔ24"	""	""	""	""	""	""	""
"徒"	"too2"	"tɔ24"	""	""	""	""	""	""	""
"杜"	"too6"	"tɔ22"	""	""	""	""	""	""	""
"度"	"too6"	"tɔ22"	""	""	""	""	""	""	""
"渡"	"too6"	"tɔ22"	""	""	""	""	""	""	""
"鍍"	"too6"	"tɔ22"	""	""	""	""	""	""	""
"奴"	"loo2"	"lɔ24"	""	""	""	""	""	""	""
"努"	"noo3"	"nɔ53"	""	""	""	""	""	""	""
"怒"	"noo6"	"nɔ22"	""	""	""	""	""	""	""
"盧"	"loo2"	"lɔ24"	""	""	""	""	""	""	""
"爐"	"loo2"	"lɔ24"	""	""	""	""	""	""	""
"鹵"	"loo6"	"lɔ22"	"白"	""	""	""	""	""	""
"鹵"	"loo3"	"lɔ53"	"文"	""	""	""	""	""	""
"魯"	"loo3"	"lɔ53"	""	""	""	""	""	""	""
"櫓"	"loo3"	"lɔ53"	""	""	""	""	""	""	""
"虜"	"loo3"	"lɔ53"	""	""	""	""	""	""	""
"露"	"loo6"	"lɔ22"	""	""	""	""	""	""	""
"路"	"loo6"	"lɔ22"	""	""	""	""	""	""	""
"賂"	"loo6"	"lɔ22"	""	""	""	""	""	""	""
