漢字	聲部	韻部	調類	聲-值	韻-值	調-值	釋義
窶	來	諸	陽去	l	y	6	貧窶空乏也
竪	審	諸	陽去	ʃ	y	6	立也植也
筯	照	諸	陽去	tʃ	y	6	筷子
箸	照	諸	陽去	tʃ	y	6	同上(筷子)
縷	來	諸	陽去	l	y	6	布縷麻縷
聚	精	諸	陽去	ts	y	6	會也又積聚
芋	以	諸	陽去	j	y	6	芋頭
茹	日	諸	陽去	ɲ	y	6	食也又草根
蕷	以	諸	陽去	j	y	6	山藥
藇	精	諸	陽去	ts	y	6	美也
虡	古	諸	陽去	kʷ	y	6	植木以懸鐘磬者橫曰簨縱曰虡
裕	以	諸	陽去	j	y	6	饒也寬也有餘之意
褸	來	諸	陽去	l	y	6	襤褸敝也
覦	以	諸	陽去	j	y	6	覬覦
詎	古	諸	陽去	kʷ	y	6	豈也
諭	以	諸	陽去	j	y	6	曉諭告諭譬諭又諫也
豎	審	諸	陽去	ʃ	y	6	牧豎童僕之未冠者
豫	以	諸	陽去	j	y	6	先也悅也逸也又忘也
足	精	諸	陽去	ts	y	6	足恭恭之過也
足	精	東入	陰入	ts	ok	7	脚也備足完足
踞	古	諸	陽去	kʷ	y	6	蹲踞
踰	以	諸	陽去	j	y	6	越也
逾	以	諸	陽去	j	y	6	越進也
遇	日	諸	陽去	ɲ	y	6	逢也合也
遽	古	諸	陽去	kʷ	y	6	急遽
鉅	古	諸	陽去	kʷ	y	6	大也剛也
鑢	來	諸	陽去	l	y	6	磨錯之物
預	以	諸	陽去	j	y	6	先也又干涉也
颶	古	諸	陽去	kʷ	y	6	颶風
馭	日	諸	陽去	ɲ	y	6	駕馭使也
鱮	精	諸	陽去	ts	y	6	魴鱮魚名
鸒	以	諸	陽去	j	y	6	鳥名
𧭜	來	諸	陽去	l	y	6	詐也
㖃	曉	修	陰平	h	ɐu	1	忿聲又厚怒也
㨮	端	修	陰平	t	ɐu	1	裝起曰㨮
㹯	以	修	陰平	j	ɐu	1	與貅同
䆋	清	修	陰平	tsʰ	ɐu	1	同上(四季之一)
丘	以	修	陰平	j	ɐu	1	高地也
休	以	修	陰平	j	ɐu	1	美也慶也息也安也又罷也
侜	照	修	陰平	tʃ	ɐu	1	載也
修	心	修	陰平	s	ɐu	1	修飾又作葺理也
偷	透	修	陰平	tʰ	ɐu	1	盜也又薄也
優	以	修	陰平	j	ɐu	1	有餘也勝也暇也
兜	端	修	陰平	t	ɐu	1	兜鍪
吼	曉	修	陰平	h	ɐu	1	獅子吼
呦	以	修	陰平	j	ɐu	1	鹿鳴之聲
周	照	修	陰平	tʃ	ɐu	1	周密周濟周備周遍又姓
咻	以	修	陰平	j	ɐu	1	嚾也
啾	精	修	陰平	ts	ɐu	1	啾唧小聲也
坯	非	修	陰平	f	ɐu	1	一坯之土
坯	滂	魁	陰平	pʰ	ui	1	陶瓦坯燒者
坵	以	修	陰平	j	ɐu	1	田之似也
州	照	修	陰平	tʃ	ɐu	1	九州
幽	以	修	陰平	j	ɐu	1	㴱也暗也隱微也
庥	以	修	陰平	j	ɐu	1	庇廕也
廋	心	修	陰平	s	ɐu	1	匿也
廋	穿	修	陰平	tʃʰ	ɐu	1	匿也
彄	溪	修	陰平	kʰ	ɐu	1	弓囊
彪	幫	修	陰平	p	ɐu	1	虎文又小虎也
愀	清	修	陰平	tsʰ	ɐu	1	色變也
憂	以	修	陰平	j	ɐu	1	懼也愁也
抷	非	修	陰平	f	ɐu	1	以手掬物也
抽	穿	修	陰平	tʃʰ	ɐu	1	收也援引也
掫	精	修	陰平	ts	ɐu	1	擊也守夜擊刀斗之類
摳	溪	修	陰平	kʰ	ɐu	1	挈起也
收	審	修	陰平	ʃ	ɐu	1	聚也取也
棸	精	修	陰平	ts	ɐu	1	木名又姓
楸	清	修	陰平	tsʰ	ɐu	1	木名
樛	溪	修	陰平	kʰ	ɐu	1	木名也
歐	亞	修	陰平		ɐu	1	歐陽覆姓也
洲	照	修	陰平	tʃ	ɐu	1	水中可居之也
湫	清	修	陰平	tsʰ	ɐu	1	水名
溝	溪	修	陰平	kʰ	ɐu	1	水渠
滮	幫	修	陰平	p	ɐu	1	水流貌
漚	亞	修	陰平		ɐu	1	水上泡
漚	亞	修	陰去		ɐu	5	以水久浸物曰漚
甃	清	修	陰平	tsʰ	ɐu	1	井甃又結砌也
甌	亞	修	陰平		ɐu	1	荼甌
瘳	穿	修	陰平	tʃʰ	ɐu	1	病好曰瘳
秋	清	修	陰平	tsʰ	ɐu	1	四季之一
篘	穿	修	陰平	tʃʰ	ɐu	1	酒篘
篼	端	修	陰平	t	ɐu	1	箭竹
絇	溪	修	陰平	kʰ	ɐu	1	絇縱
緅	精	修	陰平	ts	ɐu	1	青赤色
缶	非	修	陰平	f	ɐu	1	瓦器
罘	非	修	陰平	f	ɐu	1	罘罳屏風也
羞	心	修	陰平	s	ɐu	1	羞辱愧恥也又饌也
耰	以	修	陰平	j	ɐu	1	以土覆種曰耰
舟	照	修	陰平	tʃ	ɐu	1	船也
蒌	來	修	陰平	l	ɐu	1	同上(蔞葉)
蚯	以	修	陰平	j	ɐu	1	蚯蚓
裒	幫	修	陰平	p	ɐu	1	聚也又多笑貌
諏	精	修	陰平	ts	ɐu	1	咨事曰諏
謳	亞	修	陰平		ɐu	1	謳歌長吟也
譸	照	修	陰平	tʃ	ɐu	1	書經譸張爲幻
貅	以	修	陰平	j	ɐu	1	貔貅猛獸之名
賙	照	修	陰平	tʃ	ɐu	1	賬恤也
輈	照	修	陰平	tʃ	ɐu	1	車轅
輖	照	修	陰平	tʃ	ɐu	1	匣也
週	照	修	陰平	tʃ	ɐu	1	回也
鄒	精	修	陰平	ts	ɐu	1	國名又姓
鄹	精	修	陰平	ts	ɐu	1	孔子故鄉
鉤	溪	修	陰平	kʰ	ɐu	1	曲也又探取之義
鍮	透	修	陰平	tʰ	ɐu	1	石似玉
陬	精	修	陰平	ts	ɐu	1	遐陬
鞦	清	修	陰平	tsʰ	ɐu	1	馬靷又鞦韆
颼	心	修	陰平	s	ɐu	1	風聲
騶	精	修	陰平	ts	ɐu	1	騶虞仁獸
鬮	溪	修	陰平	kʰ	ɐu	1	拈籌分物也
鯫	精	修	陰平	ts	ɐu	1	魚名又鯫生小人也
鰌	清	修	陰平	tsʰ	ɐu	1	與鰍同泥鰌又海鰌魚
鰌	以	修	陽平	j	ɐu	2	魚名
鰍	清	修	陰平	tsʰ	ɐu	1	魚名
鳩	溪	修	陰平	kʰ	ɐu	1	鳥名
鵂	以	修	陰平	j	ɐu	1	惡鳥食雀者
鶖	清	修	陰平	tsʰ	ɐu	1	秃鶖食魚之鳥
鷗	亞	修	陰平		ɐu	1	水鳥
麀	以	修	陰平	j	ɐu	1	牝鹿
𩢮	以	修	陰平	j	ɐu	1	馬名
䝏	來	修	陽平	l	ɐu	2	䝏豬
仇	溪	修	陽平	kʰ	ɐu	2	止也讎也又姓
仇	穿	修	陽平	tʃʰ	ɐu	2	同上(冤讎)
侔	明	修	陽平	m	ɐu	2	齊等也均也
侯	曉	修	陽平	h	ɐu	2	諸侯又姓
俅	溪	修	陽平	kʰ	ɐu	2	恭順貌
僂	來	修	陽平	l	ɐu	2	傴僂
儔	穿	修	陽平	tʃʰ	ɐu	2	侶也衆也等類也
劉	來	修	陽平	l	ɐu	2	人姓又虔劉謂殺也
厹	溪	修	陽平	kʰ	ɐu	2	矛屬
喉	曉	修	陽平	h	ɐu	2	頸喉
囚	清	修	陽平	tsʰ	ɐu	2	囚犯拘罪人也
婁	來	修	陽平	l	ɐu	2	宿名
尤	以	修	陽平	j	ɐu	2	怨也責也怪也過也甚也
悠	以	修	陽平	j	ɐu	2	遠也長也
惆	穿	修	陽平	tʃʰ	ɐu	2	惆悵
愁	心	修	陽平	s	ɐu	2	憂愁
慺	來	修	陽平	l	ɐu	2	敬謹也
投	透	修	陽平	tʰ	ɐu	2	擲也贈也合也
捄	溪	修	陽平	kʰ	ɐu	2	曲貌
摟	來	修	陽平	l	ɐu	2	牽也
攸	以	修	陽平	j	ɐu	2	所也曰相攸言擇其可嫁之所
斿	以	修	陽平	j	ɐu	2	旗屬
旒	來	修	陽平	l	ɐu	2	冕旒
柔	日	修	陽平	ɲ	ɐu	2	柔顺柔弱
柚	以	修	陽平	j	ɐu	2	柚子果名
柚	照	東入	陽入	tʃ	ok	8	杼柚布機之受經者
榴	來	修	陽平	l	ɐu	2	石榴果名
樓	來	修	陽平	l	ɐu	2	樓臺
毬	溪	修	陽平	kʰ	ɐu	2	氣毬
求	溪	修	陽平	kʰ	ɐu	2	索也取也
油	以	修	陽平	j	ɐu	2	點燈用又雲盛貌又和也
泅	以	修	陽平	j	ɐu	2	泅水
流	來	修	陽平	l	ɐu	2	流水又洞也演也
浮	非	修	陽平	f	ɐu	2	泛也溢也
涪	非	修	陽平	f	ɐu	2	地名
游	以	修	陽平	j	ɐu	2	浮游優游
滺	以	修	陽平	j	ɐu	2	水流貌
瀏	來	修	陽平	l	ɐu	2	水清也
牛	我	修	陽平	ŋ	ɐu	2	耕田之獸
牟	明	修	陽平	m	ɐu	2	牛鳴又中牟地名
犨	穿	修	陽平	tʃʰ	ɐu	2	白色牛又牛息聲又生
猴	曉	修	陽平	h	ɐu	2	馬貌之屬
猶	以	修	陽平	j	ɐu	2	尚也似也又猶豫
猷	以	修	陽平	j	ɐu	2	謀猷道也
球	溪	修	陽平	kʰ	ɐu	2	美玉
琉	來	修	陽平	l	ɐu	2	琉璃
瑠	來	修	陽平	l	ɐu	2	同上(琉璃)
璆	溪	修	陽平	kʰ	ɐu	2	玉磬
由	以	修	陽平	j	ɐu	2	自從也行也因也
留	來	修	陽平	l	ɐu	2	住也止也久也
疇	穿	修	陽平	tʃʰ	ɐu	2	耕治之田也又衆也類也
疣	以	修	陽平	j	ɐu	2	肉瘤之病
瘤	來	修	陽平	l	ɐu	2	肉瘤
眸	明	修	陽平	m	ɐu	2	目瞳子也
矦	曉	修	陽平	h	ɐu	2	同上(諸侯又姓)
硫	來	修	陽平	l	ɐu	2	硫磺
稠	穿	修	陽平	tʃʰ	ɐu	2	密也
篌	曉	修	陽平	h	ɐu	2	箜篌樂器
籌	穿	修	陽平	tʃʰ	ɐu	2	算也又壺矢也
紑	非	修	陽平	f	ɐu	2	衣鮮潔貌
紬	穿	修	陽平	tʃʰ	ɐu	2	同上(綢緞又密也纏也)
絿	溪	修	陽平	kʰ	ɐu	2	競絿緩也急曰競緩曰絿
綢	穿	修	陽平	tʃʰ	ɐu	2	綢緞又密也纏也
緱	曉	修	陽平	h	ɐu	2	劒頭纏絲
繆	明	修	陽平	m	ɐu	2	綢繆纏綿也
繆	明	東入	陽入	m	ok	8	惡諡也名與實爽曰繆又音謀
繇	以	修	陽平	j	ɐu	2	同上(自從也行也因也)
艛	來	修	陽平	l	ɐu	2	船名
艽	溪	修	陽平	kʰ	ɐu	2	地名
蕕	以	修	陽平	j	ɐu	2	臭草
蘨	以	修	陽平	j	ɐu	2	草盛
虯	溪	修	陽平	kʰ	ɐu	2	無角龍也
蜉	非	修	陽平	f	ɐu	2	蜉蝣蟲名
蝣	以	修	陽平	j	ɐu	2	蜉蝣蟲名朝生暮死
蝤	以	修	陽平	j	ɐu	2	蟲名
螻	來	修	陽平	l	ɐu	2	螻蟻
裘	溪	修	陽平	kʰ	ɐu	2	毛服
裯	穿	修	陽平	tʃʰ	ɐu	2	單被也
觩	溪	修	陽平	kʰ	ɐu	2	角盃
訧	以	修	陽平	j	ɐu	2	過也
謀	明	修	陽平	m	ɐu	2	計謀謀議
讎	穿	修	陽平	tʃʰ	ɐu	2	冤讎
賕	溪	修	陽平	kʰ	ɐu	2	以財枉法相謝也
輶	以	修	陽平	j	ɐu	2	輕車也
逑	溪	修	陽平	kʰ	ɐu	2	好逑合也聚也
遊	以	修	陽平	j	ɐu	2	遊行遨游
遒	清	修	陽平	tsʰ	ɐu	2	聚也
郵	以	修	陽平	j	ɐu	2	傳遞文書之舍
酋	清	修	陽平	tsʰ	ɐu	2	夷狄有酋長
酧	穿	修	陽平	tʃʰ	ɐu	2	同酬
酬	穿	修	陽平	tʃʰ	ɐu	2	答也報也
醻	穿	修	陽平	tʃʰ	ɐu	2	同上(答也報也)
銶	溪	修	陽平	kʰ	ɐu	2	鑿屬兵士所用
鍪	明	修	陽平	m	ɐu	2	兜鍪首鎧
鍭	曉	修	陽平	h	ɐu	2	箭鏃以鐵爲之
鏐	溪	修	陽平	kʰ	ɐu	2	金之美者
頄	溪	修	陽平	kʰ	ɐu	2	面頰間之骨
頭	透	修	陽平	tʰ	ɐu	2	首也
飀	來	修	陽平	l	ɐu	2	高風
餱	曉	修	陽平	h	ɐu	2	乾食
騮	來	修	陽平	l	ɐu	2	赤馬黑鬣也
骰	透	修	陽平	tʰ	ɐu	2	骰子賭博之具
鶹	來	修	陽平	l	ɐu	2	惡鳥食鳥子者
麰	明	修	陽平	m	ɐu	2	大麥
鼽	溪	修	陽平	kʰ	ɐu	2	鼻氣傷曰鼽嚏
𤠑	來	修	陽平	l	ɐu	2	同上(馬𧳽)
𧳽	來	修	陽平	l	ɐu	2	馬𧳽
丑	穿	修	陰上	tʃʰ	ɐu	3	辰名
久	見	修	陰上	k	ɐu	3	長久
九	見	修	陰上	k	ɐu	3	數名
剖	滂	修	陰上	pʰ	ɐu	3	判也割也破也
叟	心	修	陰上	s	ɐu	3	長老之稱
口	曉	修	陰上	h	ɐu	3	口所以食
嘔	亞	修	陰上		ɐu	3	吐也
垢	見	修	陰上	k	ɐu	3	塵污也
守	審	修	陰上	ʃ	ɐu	3	守護執守
帚	照	修	陰上	tʃ	ɐu	3	帚彗掃地
懮	泥	修	陰上	n	ɐu	3	思也憂也
手	審	修	陰上	ʃ	ɐu	3	手足
扭	泥	修	陰上	n	ɐu	3	手轉也
掊	滂	修	陰上	pʰ	ɐu	3	掊克聚斂也
揉	日	修	陰上	ɲ	ɐu	3	矯揉屈伸乎木也
搜	心	修	陰上	s	ɐu	3	索也尋也
斗	端	修	陰上	t	ɐu	3	十升曰斗
朽	日	修	陰上	ɲ	ɐu	3	木之腐也
杻	泥	修	陰上	n	ɐu	3	手械
枓	端	修	陰上	t	ɐu	3	木名
枸	見	修	陰上	k	ɐu	3	枸杞藥名
毆	亞	修	陰上		ɐu	3	毆辱捶擊也
狗	見	修	陰上	k	ɐu	3	犬也
玖	見	修	陰上	k	ɐu	3	同上又黑石似玉(數名)
瞍	心	修	陰上	s	ɐu	3	目無童子
笱	見	修	陰上	k	ɐu	3	魚笱
箒	照	修	陰上	tʃ	ɐu	3	掃箒
糾	見	修	陰上	k	ɐu	3	督也彈也察也統也
糾	來	鴛	陽去	l	yn	6	同上古字(不治也又樂之卒章曰亂)
耇	見	修	陰上	k	ɐu	3	老壽也老人而凍梨如浮耇
肘	照	修	陰上	tʃ	ɐu	3	臂節也又制肘
艘	心	修	陰上	s	ɐu	3	船之總名
芣	非	修	陰上	f	ɐu	3	芣苢車前草也
苟	見	修	陰上	k	ɐu	3	誠也苦也又苟且草率
蒐	心	修	陰上	s	ɐu	3	獵名又聚人民也又索求也又治兵也
藪	心	修	陰上	s	ɐu	3	草之深厚者也
蚪	端	修	陰上	t	ɐu	3	𧓍蚪蟲名字體有名蝌蚪者
詬	見	修	陰上	k	ɐu	3	詬詈辱罵之言
走	精	修	陰上	ts	ɐu	3	奔走趨也
赳	見	修	陰上	k	ɐu	3	武勇貌
蹂	日	修	陰上	ɲ	ɐu	3	以足踐踏也
酒	精	修	陰上	ts	ɐu	3	儀狄所造
醜	穿	修	陰上	tʃʰ	ɐu	3	惡也不美也又醜類
鈕	泥	修	陰上	n	ɐu	3	衣結會也
韭	見	修	陰上	k	ɐu	3	菜名
首	審	修	陰上	ʃ	ɐu	3	頭也元首魁又先也
首	審	修	陰去	ʃ	ɐu	5	有罪自陳
魗	穿	修	陰上	tʃʰ	ɐu	3	惡也
黝	泥	修	陰上	n	ɐu	3	微青色
偶	我	修	陽上	ŋ	ɐu	4	匹偶雙也又偶然
卣	以	修	陽上	j	ɐu	4	酒尊
友	以	修	陽上	j	ɐu	4	朋友
拇	明	修	陽上	m	ɐu	4	足大指也又有讀作母
有	以	修	陽上	j	ɐu	4	對無之稱
某	明	修	陽上	m	ɐu	4	凡人未知名者以某字代之也
柳	來	修	陽上	l	ɐu	4	木名
桕	溪	修	陽上	kʰ	ɐu	4	木名
牖	以	修	陽上	j	ɐu	4	窻也又開明也
牡	明	修	陽上	m	ɐu	4	獸之雄者又牡丹花
畝	明	修	陽上	m	ɐu	4	田畝畋畝
綹	來	修	陽上	l	ɐu	4	緯十縷爲綹又剪荷包曰剪綹
罶	來	修	陽上	l	ɐu	4	魚笱
羑	以	修	陽上	j	ɐu	4	羑里紂囚文王于此地
耦	我	修	陽上	ŋ	ɐu	4	並也雙也
臼	溪	修	陽上	kʰ	ɐu	4	舂砍也
臼	見	修	陽去	k	ɐu	6	同上(故舊)
舅	溪	修	陽上	kʰ	ɐu	4	母之兄曰舅妻稱夫之父母曰舅姑
莠	以	修	陽上	j	ɐu	4	害苗之草
藕	我	修	陽上	ŋ	ɐu	4	蘧藕
誘	以	修	陽上	j	ɐu	4	引誘導也教也
酉	以	修	陽上	j	ɐu	4	辰名
𥡤	以	修	陽上	j	ɐu	4	積禾爲薪曰𥡱
㝌	見	修	陰去	k	ɐu	5	貧病
厩	見	修	陰去	k	ɐu	5	馬欄
叩	溪	修	陰去	kʰ	ɐu	5	問也發也又叩首
呪	照	修	陰去	tʃ	ɐu	5	同上(符咒又咒咀)
咎	見	修	陰去	k	ɐu	5	過也逝也惡也
咒	照	修	陰去	tʃ	ɐu	5	符咒又咒咀
嗅	穿	修	陰去	tʃʰ	ɐu	5	鳥哀鳴聲
嗽	心	修	陰去	s	ɐu	5	咳嗽
奏	精	修	陰去	ts	ɐu	5	奏本
媾	見	修	陰去	k	ɐu	5	重婚也
寇	溪	修	陰去	kʰ	ɐu	5	寇盜
幼	以	修	陰去	j	ɐu	5	幼小稚也弱也
彀	溪	修	陰去	kʰ	ɐu	5	弓矢持滿之限
扣	溪	修	陰去	kʰ	ɐu	5	扣也又擊也
搆	見	修	陰去	k	ɐu	5	結搆又牽也
救	見	修	陰去	k	ɐu	5	拯濟也護也
晝	照	修	陰去	tʃ	ɐu	5	日中曰晝
構	見	修	陰去	k	ɐu	5	結也造也又屋椽
湊	清	修	陰去	tsʰ	ɐu	5	會合也
漱	心	修	陰去	s	ɐu	5	洗滌也又漱口
漱	清	東入	陰入	tsʰ	ok	7	水名又音秀
灸	見	修	陰去	k	ɐu	5	灸火
狩	審	修	陰去	ʃ	ɐu	5	巡狩
琇	心	修	陰去	s	ɐu	5	美玉
疚	見	修	陰去	k	ɐu	5	病也
瘦	審	修	陰去	ʃ	ɐu	5	瘠也
皺	精	修	陰去	ts	ɐu	5	面皮蹙也
秀	心	修	陰去	s	ɐu	5	茂也榮也苗之吐華曰秀
究	見	修	陰去	k	ɐu	5	窮也審也又究治
篝	見	修	陰去	k	ɐu	5	燻籠燃火而籠罩兵上用以熏衣
簆	溪	修	陰去	kʰ	ɐu	5	織布之器
糗	穿	修	陰去	tʃʰ	ɐu	5	乾粮
綉	心	修	陰去	s	ɐu	5	同上(刺繡五采爲之)
縐	精	修	陰去	ts	ɐu	5	縮而不光曰縐
繡	心	修	陰去	s	ɐu	5	刺繡五采爲之
臭	穿	修	陰去	tʃʰ	ɐu	5	氣息也又臭穢
蔻	溪	修	陰去	kʰ	ɐu	5	花名荳蔲
覯	見	修	陰去	k	ɐu	5	見也又遇也
購	見	修	陰去	k	ɐu	5	以財買物
輳	清	修	陰去	tsʰ	ɐu	5	輻輳猶聚集也
透	透	修	陰去	tʰ	ɐu	5	通徹也
遘	見	修	陰去	k	ɐu	5	遇也又結遘
鞲	見	修	陰去	k	ɐu	5	射臂央也
鬦	端	修	陰去	t	ɐu	5	同上(爭也戰也)
鬪	端	修	陰去	t	ɐu	5	同上(爭也戰也)
鬭	端	修	陰去	t	ɐu	5	爭也戰也
𡻉	見	修	陰去	k	ɐu	5	山物
𩱛	精	修	陰去	ts	ɐu	5	與奏同
㮢	曉	修	陽去	h	ɐu	6	斥𢰡所以望烽火也
佑	以	修	陽去	j	ɐu	6	助也又僯佑
侑	以	修	陽去	j	ɐu	6	勸也報也又酹也
候	曉	修	陽去	h	ɐu	6	時候氣候又待也
冑	照	修	陽去	tʃ	ɐu	6	后裔也又甲胄
厚	曉	修	陽去	h	ɐu	6	重也
又	以	修	陽去	j	ɐu	6	再也
受	審	修	陽去	ʃ	ɐu	6	承也取也領也容納也
右	以	修	陽去	j	ɐu	6	左右
后	曉	修	陽去	h	ɐu	6	君也又皇后又與後同
囿	以	修	陽去	j	ɐu	6	園囿
埠	非	修	陽去	f	ɐu	6	舶船埠頭
壽	審	修	陽去	ʃ	ɐu	6	年高稱壽
宙	照	修	陽去	tʃ	ɐu	6	宇宙古行今來曰宙
宥	以	修	陽去	j	ɐu	6	寬也恕也又宥密
就	精	修	陽去	ts	ɐu	6	即也迎也從也
岫	精	修	陽去	ts	ɐu	6	山有石穴曰岫
後	曉	修	陽去	h	ɐu	6	前後又遲也
授	審	修	陽去	ʃ	ɐu	6	以物與人曰授
柩	見	修	陽去	k	ɐu	6	尸在棺曰柩
溜	來	修	陽去	l	ɐu	6	渭溜
漏	來	修	陽去	l	ɐu	6	洩漏又更漏
獸	審	修	陽去	ʃ	ɐu	6	禽獸
痘	端	修	陽去	t	ɐu	6	痘疹
祐	以	修	陽去	j	ɐu	6	神庇也
竇	端	修	陽去	t	ɐu	6	穴也又姓
紂	照	修	陽去	tʃ	ɐu	6	商王之號
綬	審	修	陽去	ʃ	ɐu	6	組綬佩印之帶也
縟	泥	修	陽去	n	ɐu	6	繁縟又細也
縟	日	東入	陽入	ɲ	ok	8	繁采又細也
耨	泥	修	陽去	n	ɐu	6	芸草曰耨
舊	見	修	陽去	k	ɐu	6	故舊
茂	明	修	陽去	m	ɐu	6	盛也達也生也
荳	端	修	陽去	t	ɐu	6	麻荳
袖	精	修	陽去	ts	ɐu	6	衫袖
覆	非	修	陽去	f	ɐu	6	天覆地載蓋也
覆	非	東入	陰入	f	ok	7	反覆
謬	明	修	陽去	m	ɐu	6	謬妄誕言也
豆	端	修	陽去	t	ɐu	6	木豆祭器也亦作荳
逅	曉	修	陽去	h	ɐu	6	邂逅不期而會
逗	端	修	陽去	t	ɐu	6	逗遛消息
遛	來	修	陽去	l	ɐu	6	逗遛
酎	照	修	陽去	tʃ	ɐu	6	新熱之酒
阜	非	修	陽去	f	ɐu	6	山無石曰阜又曲阜地名又民豐物阜
陋	來	修	陽去	l	ɐu	6	鄙陋
驟	照	修	陽去	tʃ	ɐu	6	馳驟又疾速也
鱟	曉	修	陽去	h	ɐu	6	蠏鱟魚類
𢡟	明	修	陽去	m	ɐu	6	勉也勤也
㤝	穿	東	陰平	tʃʰ	oŋ	1	心動貌
中	照	東	陰平	tʃ	oŋ	1	中正不偏也
中	照	東	陰去	tʃ	oŋ	5	合式曰中
丰	非	東	陰平	f	oŋ	1	丰采又面丰滿也
供	見	東	陰平	k	oŋ	1	供給又進也招認也
充	穿	東	陰平	tʃʰ	oŋ	1	滿也塞也實也
兇	曉	東	陰平	h	oŋ	1	暴也惡也
公	見	東	陰平	k	oŋ	1	公侯又正而無私也又共也
共	見	東	陰平	k	oŋ	1	與供同
共	見	東	陽去	k	oŋ	6	總也同也
冬	端	東	陰平	t	oŋ	1	秋冬
冲	穿	東	陰平	tʃʰ	oŋ	1	幼小曰冲年又相冲也
凶	曉	東	陰平	h	oŋ	1	不吉也禍也
功	見	東	陰平	k	oŋ	1	勳勞也
匆	清	東	陰平	tsʰ	oŋ	1	匆匆喜色
匈	曉	東	陰平	h	oŋ	1	匈奴夷狄姓也
壅	以	東	陰平	j	oŋ	1	美玉
壅	以	東	陰上	j	oŋ	3	塞也障也
夢	明	東	陰平	m	oŋ	1	同上(無知貌心亂也)
夢	明	東	陽去	m	oŋ	6	夢寐又夢兆
夣	明	東	陰平	m	oŋ	1	同上(無知貌心亂也)
夣	明	東	陽去	m	oŋ	6	同上(夢寐又夢兆)
宗	精	東	陰平	ts	oŋ	1	宗族祖宗又主也本也
宫	見	東	陰平	k	oŋ	1	宮殿又宮室
封	非	東	陰平	f	oŋ	1	穢也培也又封贈
峯	非	東	陰平	f	oŋ	1	山之尖頂
崆	曉	東	陰平	h	oŋ	1	崆峒山名
崧	心	東	陰平	s	oŋ	1	同上(高山也)
嵩	心	東	陰平	s	oŋ	1	高山也
工	見	東	陰平	k	oŋ	1	工匠又巧也九也
廱	以	東	陰平	j	oŋ	1	辟廱天子之學
弓	見	東	陰平	k	oŋ	1	弓箭
從	心	東	陰平	s	oŋ	1	從容徐緩也
從	清	東	陽平	tsʰ	oŋ	2	隨也順也就也
從	精	東	陽去	ts	oŋ	6	隨從首從
忠	照	東	陰平	tʃ	oŋ	1	忠臣又盡已之謂忠
忡	穿	東	陰平	tʃʰ	oŋ	1	和也又相沖
怱	清	東	陰平	tsʰ	oŋ	1	怱忙急遽也
恭	見	東	陰平	k	oŋ	1	敬也讓也
悰	精	東	陰平	ts	oŋ	1	情懷也
悾	曉	東	陰平	h	oŋ	1	無能貌
憧	穿	東	陰平	tʃʰ	oŋ	1	意不定也
懵	明	東	陰平	m	oŋ	1	無知貌心亂也
攻	見	東	陰平	k	oŋ	1	專治也又攻擊又攻伐
東	端	東	陰平	t	oŋ	1	東西
棕	精	東	陰平	ts	oŋ	1	木名
椶	精	東	陰平	ts	oŋ	1	同上(木名)
楓	非	東	陰平	f	oŋ	1	木名
樅	精	東	陰平	ts	oŋ	1	植木以懸磬者
沖	穿	東	陰平	tʃʰ	oŋ	1	搖也
洶	曉	東	陰平	h	oŋ	1	洶湧泉之湧出也
涌	穿	東	陰平	tʃʰ	oŋ	1	涌𣽸小海者也
淙	精	東	陰平	ts	oŋ	1	水聲
渢	非	東	陰平	f	oŋ	1	水名
灉	以	東	陰平	j	oŋ	1	水名
烽	非	東	陰平	f	oŋ	1	烽火置薪火於高處賊至則焚之以相告曰烽火
琮	精	東	陰平	ts	oŋ	1	瑞玉
瘋	非	東	陰平	f	oŋ	1	大疾
癰	以	東	陰平	j	oŋ	1	癰疽瘡名
种	穿	東	陰平	tʃʰ	oŋ	1	稚也又姓
空	曉	東	陰平	h	oŋ	1	空虛乏也
空	曉	東	陰去	h	oŋ	5	匱乏也
終	照	東	陰平	tʃ	oŋ	1	末也盡也
綜	精	東	陰平	ts	oŋ	1	理也又治也
綜	精	東	陰去	ts	oŋ	5	織機綜線
縱	精	東	陰平	ts	oŋ	1	縱横
縱	精	東	陰去	ts	oŋ	5	縱肆又故縱
罿	穿	東	陰平	tʃʰ	oŋ	1	掩兔之車
罿	透	東	陽平	tʰ	oŋ	2	魚網
翀	穿	東	陰平	tʃʰ	oŋ	1	直飛上也
翁	以	東	陰平	j	oŋ	1	長老之稱
聰	清	東	陰平	tsʰ	oŋ	1	察也明也耳力也
聰	清	東	陰平	tsʰ	oŋ	1	同上(察也明也耳力也)
胷	曉	東	陰平	h	oŋ	1	同上(膺也心也)
胸	曉	東	陰平	h	oŋ	1	膺也心也
舂	照	東	陰平	tʃ	oŋ	1	擣米也
芎	見	東	陰平	k	oŋ	1	川芎藥名
葑	非	東	陰平	f	oŋ	1	葑菲菜名
蓪	透	東	陰平	tʰ	oŋ	1	草名即紙蓪也
蚣	見	東	陰平	k	oŋ	1	蜈蚣
蜂	非	東	陰平	f	oŋ	1	蜜蜂
螽	照	東	陰平	tʃ	oŋ	1	螽斯蟲名一生九十九子
蠭	非	東	陰平	f	oŋ	1	同蜂字
