漢字	石橋	注釋
赤	ɕia21	
尺	tɕʰia21	
射	ɕia21	
聲	sai55	
聖	/	
成	suai13	
城	tsən13	
盛	tsai13	~飯
石	ɕia13	
頸	kai51	
輕	kʰai55	
益	ie21	
贏	ai13	
壁	pʰin21	
拼	pʰin	
瓶	pin13	
並	pie31	
釘	tie55	鐵~
頂	tin51	
鼎	/	
釘	tai55	~住
滴	tia21	
聽	tʰai21	~見
踢	tia21	
剔	/	
亭	tai13	
停	tai13	
挺	/	
定	tai21	
笛	tia21	
寧	lai13	~遠
靈	lin13	
零	lin13	
鈴	lin13	
另	lin13	
曆	lie13	~書
績	/	
青	tsʰai55	
戚	tɕʰiə55	
星	ɕie55	
腥	sai55	
醒	suai51	
醒	kai21	
錫	ɕia21	
經	kɛ55	
橫	uən13	~直
划	xua13	
兄	xuai55	
螢	iom31	
篷	pən13	
蓬	pən13	
蒙	mən13	
蠓	/	
木	mə13	
東	tən55	
懂	tən51	
凍	kau21	訓讀
棟	/	
通	tʰən55	
桶	tʰən51	
痛	/	
同	tən13	
銅	tən13	
桐	tən13	
筒	tən13	
動	/	
洞	/	
獨	/	
讀	tɛ13	
籠	lən13	
聾	lən13	
鹿	/	
棕	tsən55	
總	tsən51	
粽	tsən21	
聰	tsʰən55	
蔥	tsʰən55	
送	sən21	
公	kuən55	
蚣	kuən55	
工	kuən55	
功	kuən55	
穀	kuei21	稻~
空	kʰuən21	~虛
空	/	有~
哭	xue21	
烘	xom55	
哄	xuən51	
紅	xuən13	
洪	xuən13	
甕	uən21	
屋	au13	
冬	tən55	
毒	tə21	
農	lom13	
膿	lən13	
鬆	sən55	
風	fən55	
楓	fən55	
瘋	fən55	
福	fu55	
幅	fu21	
鳳	/	
服	fə13	
伏	fɛ13	
夢	mən13	
六	lie13	
中	tɕyn55	當~
忠	tɕyn55	
中	tɕyn55	陰平，射~
竹	tɕye21	
畜	tɕʰye21	
蟲	tɕʰyn13	
縮	so21	
終	tɕyn55	
粥	kɛ55	
充	/	
銃	tɕʰyn21	
叔	mie51	滿訓讀
熟	ɕye21	
絨	yn13	
肉	o21	
弓	kuən55	
菊	tsu13	
窮	tɕyn13	
嗅	ɕyn51	
融	yn13	
封	fən55	
蜂	pʰən55	
捧	pʰən51	
縫	lie13	疑聯訓讀，~衣服
縫	nie21	訓讀，一條~
濃	/	
龍	lən13	
綠	nie13	
松	tsən13	~樹
重	/	~複
重	tɕyn31	陽上，輕~
鐘	tɕyn55	
種	tɕyn51	~子
種	/	~樹
腫	tɕyn51	
燭	tɕye21	
沖	tɕʰyn55	
贖	ɕye13	
舂	ɕyn55	
恐	/	
玉	y13	借官
胸	ɕyn55	
兇	ɕyn55	
用	yn21	
