id	ini	fn	pt	单字	IPA	注释、
602	ŋ	ai	21	崖	ŋai21	悬崖
603	ŋ	ai	21	捱	ŋai21	捱苦，捱打
604	h	ai	21	鞋	hai21	布鞋
605	k	ai	35	解	kai35	理解（知道，懂了）
606	h	ai	35	蟹	hai35	螃蟹
607		ai	35	矮	ai35	高矮
608	p	ai	22	敗	pai22	失败
609	m	an	22	邁	man22	迈步
610	tʃ	ai	33	寨	tʃai33	山寨
611	p	ɐi	33	蔽	pɐi33	隐蔽
612	p	ɐi	22	弊	pɐi22	作弊
613	p	ɐi	22	幣	pɐi22	人民币
614	p	ɐi	22	斃	pɐi22	枪毙
615	l	ai	22	例	lai22	例子
616	l	ɐi	22	厲	lɐi22	厉害
617	l	ai	22	勵	lai22	鼓励
618	tʃ	ai	33	祭	tʃai33	祭祀
619	tʃ	ɐi	33	際	tʃɐi33	国际
620	tʃ	ai	33	滯	tʃai33	停滞
621	tʃ	ɐi	33	制	tʃɐi33	制度
622	tʃ	ɐi	33	製	tʃɐi33	制造
623	ʃ	ɐi	33	世	ʃɐi33	世界
624	ʃ	ɐi	33	勢	ʃɐi33	势力
625	ʃ	ai	22	誓	ʃai22	发誓
626	ʃ	ai	22	逝	ʃai22	逝去，逝世
627	ŋ	ai	22	藝	ŋai22	艺术
628	p	ɐi	33	蓖	pɐi33	蓖麻
629	p	ɐi	33	閉	pɐi33	关闭
630	pʰ	ai	213	批	pʰai213	批评
631	m	ɐi	21	迷	mɐi21	迷路
632	m	ɐi	33	米	mɐi33	大米
633	m	ɐi	21	謎	mɐi21	谜语
634	t	ai	213	低	tai213	高低
635	tʰ	ai	21	堤	tʰai21	河堤
636	t	ai	35	底	tai35	水底
637	t	ai	35	抵	tai35	抵押
638	t	ai	33	帝	tai33	皇帝
639	t	ai	33	蒂	tai33	瓜蒂，并蒂莲
640	tʰ	ai	213	梯	tʰai213	楼梯
641	tʰ	ai	35	體	tʰai35	身体
642	tʰ	ai	33	替	tʰai33	代替
643	tʰ	ai	33	涕	tʰai33	鼻涕
644	tʰ	ai	33	剃	tʰai33	剃头
645	tʰ	ai	21	題	tʰai21	题目
646	tʰ	ai	21	提	tʰai21	提问
647	tʰ	ai	21	蹄	tʰai21	猪蹄
648	tʰ	ai	21	啼	tʰai21	鸡啼
649	t	ai	22	弟	tai22	弟弟
650	t	ai	22	第	tai22	第一
651	t	ai	22	遞	tai22	传递
652	l	ai	21	泥	lai21	水泥
653	l	ai	21	犁	lai21	犁地
654	l	ai	21	黎	lai21	黎明；姓
655	l	ai	33	禮	lai33	礼貌
656	l	ai	22	麗	lai22	美丽
657	t	ai	22	隸	tai22	奴隶；隶属
658	l	ɐi	22	莉	lɐi22	茉莉
659	tʃ	ai	213	擠	tʃai213	拥挤
660	tʃ	ai	33	濟	tʃai33	经济
661	tʃʰ	ai	213	妻	tʃʰai213	妻子
662	tʃʰ	ai	33	砌	tʃʰai33	砌墙
663	tʃʰ	ai	21	齊	tʃʰai21	整齐
664	tʃʰ	ɐi	21	臍	tʃʰɐi21	肚脐
665	tʃ	ai	213	劑	tʃai213	药剂
666	ʃ	ai	213	西	ʃai213	东西南北
667	tʃʰ	ai	213	棲	tʃʰai213	栖息，两栖
668	ʃ	ai	213	犀	ʃai213	犀牛
669	ʃ	ai	35	洗	ʃai35	洗衣服
670	ʃ	ai	33	細	ʃai33	粗细；大细
671	ʃ	ai	33	婿	ʃai33	女婿
672	k	ai	213	雞	kai213	公鸡
673	kʰ	ai	213	稽	kʰai213	稽查
674	k	ai	33	計	kai33	会计
675	k	ai	33	繼	kai33	继续
676	h	ai	22	繫	hai22	联系
677	k	ai	33	髻	kai33	发髻
678	kʰ	ai	213	溪	kʰai213	小溪
679	kʰ	ai	35	啓	kʰai35	启发
680	kʰ	ai	33	契	kʰai33	地契
681	ŋ	ai	22	倪	ŋai22	姓
682	h	ai	22	系	hai22	系统；中文系
684	h	ɐi	22	係	hɐi22	是
685	p	ui	213	杯	pui213	茶杯
686	p	ui	33	輩	pui33	长辈
687	p	ui	22	背	pui22	背书
688	pʰ	ɐi	213	胚	pʰɐi213	胚胎
689	pʰ	ɐi	213	坯	pʰɐi213	毛坯
690	pʰ	ui	33	配	pʰui33	分配
691	pʰ	ui	21	培	pʰui21	培训
692	pʰ	ui	21	陪	pʰui21	陪伴
693	pʰ	ui	21	賠	pʰui21	赔钱
694	pʰ	ui	21	裴	pʰui21	姓
695	pʰ	ui	33	倍	pʰui33	倍数
696	pʰ	ui	33	佩	pʰui33	佩服
697	p	ui	33	背	pui33	后背
698	p	ui	22	焙	pui22	焙干
699	m	ui	21	梅	mui21	梅花
700	m	ui	21	枚	mui21	一枚
701	m	ui	21	媒	mui21	媒人
702	m	ui	21	煤	mui21	煤矿
703	m	ui	21	玫	mui21	玫瑰
704	m	ui	21	莓	mui21	草莓
705	m	ui	33	每	mui33	每天
706	m	ui	22	妹	mui22	妹妹
707	m	ɐi	22	昧	mɐi22	拾金不昧
708	t	ɔy	213	堆	tɔy213	堆放
709	t	ɔy	33	對	tɔy33	对错
710	tʰ	ɔy	213	推	tʰɔy213	推动
711	tʰ	ɔy	35	腿	tʰɔy35	腿部
712	tʰ	ɔy	33	退	tʰɔy33	退后
713	t	ɔy	22	隊	tɔy22	队伍
714	l	ɔy	22	内	lɔy22	内外
715	l	ɔy	21	雷	lɔy21	雷公；姓
716	l	ɔy	22	累	lɔy22	极困；劳累
717	tʃʰ	ɔy	213	催	tʃʰɔy213	催眠
718	tʃʰ	ɔy	213	崔	tʃʰɔy213	姓
719	tʃ	ɔy	22	罪	tʃɔy22	犯罪
720	ʃ	ɔy	33	碎	ʃɔy33	破碎
721	kʰ	uɐi	213	盔	kʰuɐi213	头盔
722	kʰ	uɐi	21	魁	kʰuɐi21	魁悟
723	f	ui	213	恢	fui213	恢复
724	f	ai	33	塊	fai33	块状
726	f	ui	213	灰	fui213	灰色
727	kʰ	ui	35	賄	kʰui35	贿赂
728	f	ui	33	悔	fui33	后悔
729	f	ui	33	晦	fui33	晦气
730		ui	21	回	ui21	回去
731		ui	21	茴	ui21	茴香
732		ui	21	匯	ui21	汇报
733	kʰ	ui	35	潰	kʰui35	溃疡
734		ui	213	煨	ui213	煨番薯
735	tʰ	ɔy	33	蜕	tʰɔy33	蜕变
736	t	ɔy	33	兑	tɔy33	兑换
737	tʃ	ɔy	33	最	tʃɔy33	最好
738		ui	22	會	ui22	会不会
739	kʰ	ui	35	劊	kʰui35	刽子手
740		ui	22	檜	ui22	秦桧
741	ŋ	ɔy	22	外	ŋɔy22	外面
742		ui	22	會	ui22	会计
743		ui	22	會	ui22	开会
744		ui	22	繪	ui22	绘画
745	k	uai	213	乖	kuai213	小孩听话
746	k	uai	33	怪	kuai33	奇怪
747		uai	21	懷	uai21	胸怀
748		uai	21	槐	uai21	槐树
749		uai	21	淮	uai21	淮河
750		uai	22	壞	uai22	好坏
751	kʰ	uai	35	拐	kʰuai35	拐卖
752	k	ua	33	掛	kua33	挂钩
753	k	ua	33	卦	kua33	卜卦；八卦
754		uai	213	歪	uai213	歪斜
755		ua	35	畫	ua35	油画
756		ua	213	蛙	ua213	青蛙
757	f	ai	33	快	fai33	快点；快车
758	f	ai	33	筷	fai33	筷子
759		ua	22	話	ua22	说话
760	tʃʰ	ɔy	33	脆	tʃʰɔy33	干脆
761	ʃ	ɔy	33	歲	ʃɔy33	万岁
762	tʃ	ɔy	22	贅	tʃɔy22	入赘
763	ʃ	ɔy	33	税	ʃɔy33	税收
764	k	uɐi	33	鱖	kuɐi33	鳜鱼
765		uɐi	22	衛	uɐi22	卫生
766		iɔy	22	鋭	iɔy22	尖锐
767	f	ɐi	33	廢	fɐi33	废品
768	f	ɐi	33	肺	fɐi33	猪肺
769	p	ui	22	吠	pui22	狗叫、狗吠
770		uɐi	35	穢	uɐi35	污秽
771	k	uɐi	213	圭	kuɐi213	人名用字
772	k	uɐi	213	閨	kuɐi213	闺房
773	k	uɐi	33	桂	kuɐi33	桂花
774	kʰ	uɐi	213	奎	kʰuɐi213	人名用字
775	kʰ	uɐi	21	携	kʰuɐi21	携带
776		uɐi	22	惠	uɐi22	优惠
777		uɐi	22	慧	uɐi22	智慧
778	p	ɐi	213	碑	pɐi213	石碑
779	p	ɐi	213	卑	pɐi213	卑鄙
780	pʰ	ɐi	35	彼	pʰɐi35	彼此
781	pʰ	ɐi	35	俾	pʰɐi35	俾使
782	p	ɐi	33	臂	pɐi33	手臂
783	pʰ	ɐi	213	披	pʰɐi213	披上
784	p	ɐi	35	譬	pɐi35	譬如；譬喻
785	pʰ	ɐi	21	皮	pʰɐi21	果皮
786	pʰ	ɐi	21	疲	pʰɐi21	疲劳
787	pʰ	ɐi	21	脾	pʰɐi21	脾气
788	pʰ	ɐi	33	被	pʰɐi33	被动
789	p	ɐi	213	婢	pɐi213	婢女
790	pʰ	ɐi	33	被	pʰɐi33	棉被
791	p	ɐi	22	避	pɐi22	避开
792	m	ɐi	21	糜	mɐi21	糜烂；粥
793	l	ɐi	21	彌	lɐi21	弥补
794	l	ɐi	21	離	lɐi21	离别
795	l	ɐi	21	籬	lɐi21	篱笆
796	l	ɐi	213	璃	lɐi213	玻璃
797	l	ai	22	荔	lai22	荔枝
798	l	ɐi	21	離	lɐi21	离开
799	tʃ	i	35	紫	tʃi35	紫色
800	tʃʰ	i	21	雌	tʃʰi21	雌雄
801	tʃʰ	i	35	此	tʃʰi35	此地
802	tʃʰ	i	33	刺	tʃʰi33	鱼刺
803	ʃ	i	213	斯	ʃi213	斯大林
804	ʃ	i	213	撕	ʃi213	撕破
805	ʃ	ai	35	璽	ʃai35	玉玺
807	tʃʰ	i	33	賜	tʃʰi33	赏赐
808	tʃ	i	213	知	tʃi213	知道
809	tʃ	i	213	蜘	tʃi213	蜘蛛
810	tʃ	i	33	智	tʃi33	智慧
811	tʃʰ	i	21	池	tʃʰi21	池塘
812	tʃʰ	i	21	馳	tʃʰi21	奔驰
813	ʃ	ai	213	篩	ʃai213	筛子
814	tʃ	i	213	支	tʃi213	支持
815	tʃ	i	213	枝	tʃi213	荔枝
816	tʃ	i	213	肢	tʃi213	四肢
817	tʃ	i	35	紙	tʃi35	白纸
818	tʃ	i	35	只	tʃi35	只有
819	tʃʰ	i	35	侈	tʃʰi35	奢侈
821	ʃ	i	213	施	ʃi213	施肥
822	tʃʰ	i	33	翅	tʃʰi33	鱼翅
823	ʃ	i	22	匙	ʃi22	钥匙；匙羹
825	ʃ	i	22	氏	ʃi22	姓氏
826	ʃ	i	22	豉	ʃi22	豆豉
827		i	21	兒	i21	儿童
828		i	35	爾	i35	尔虞我诈
829	k	ɐi	33	寄	kɐi33	寄信
830	kʰ	ɐi	35	企	kʰɐi35	企业
831	kʰ	ɐi	21	奇	kʰɐi21	奇怪
832	kʰ	ɐi	21	騎	kʰɐi21	骑马
833	kʰ	ɐi	21	岐	kʰɐi21	岐山
834	kʰ	i	33	徛	kʰi33	站立
835	k	ɐi	22	技	kɐi22	技术
836	k	ɐi	22	妓	kɐi22	妓女
837		i	21	宜	i21	便宜
838		i	21	儀	i21	礼仪
839	ŋ	ai	35	蟻	ŋai35	蚂蚁
840		i	21	誼	i21	友谊
841		i	22	義	i22	情义
842		i	33	議	i33	会议
843	h	i	213	犧	hi213	牺牲
844	h	i	33	戲	hi33	大戏
845		i	213	倚	i213	倚靠
846		i	35	椅	i35	椅子
847		i	21	移	i21	移动
848		i	22	易	i22	容易
849	p	ɐi	213	悲	pɐi213	悲伤
850	pʰ	ɐi	35	鄙	pʰɐi35	卑鄙
851	p	ɐi	35	比	pɐi35	对比
852	pʰ	ɐi	213	秕	pʰɐi213	秕谷（不饱满的稻谷）
853	p	ɐi	33	秘	pɐi33	秘密
854	p	ɐi	33	泌	pɐi33	分泌
855	pʰ	ɐi	33	庇	pʰɐi33	包庇
856	p	ɐi	33	痹	pɐi33	麻痹
857	pʰ	ɐi	213	丕	pʰɐi213	曹丕
858	pʰ	ɐi	33	屁	pʰɐi33	放屁
859	pʰ	ɐi	21	琵	pʰɐi21	琵琶
860	pʰ	ɐi	21	枇	pʰɐi21	枇杷
861	p	ɐi	22	備	pɐi22	准备
862	p	ɐi	22	鼻	pɐi22	鼻涕
863	p	ɐi	22	篦	pɐi22	篦子（可抓虱子的很密的梳子）
864	m	ɐi	21	眉	mɐi21	眉毛
865	m	ɐi	21	楣	mɐi21	门楣
866	m	ui	21	霉	mui21	发霉
867	m	ɐi	213	美	mɐi213	美化
868	m	ɐi	21	媚	mɐi21	妩媚
869	t	ɐi	22	地	tɐi22	土地
870	l	ɐi	21	尼	lɐi21	尼姑
871	l	ɐi	22	膩	lɐi22	油腻
872	l	ɐi	21	梨	lɐi21	雪梨
873	l	ai	22	履	lai22	履行
874	l	ɐi	22	利	lɐi22	有利
875	l	ɐi	22	痢	lɐi22	痢疾
876	tʃ	i	213	資	tʃi213	资本
877	tʃ	i	213	姿	tʃi213	姿势
878	tʃ	i	213	咨	tʃi213	咨询
879	tʃ	i	35	姊	tʃi35	姊妹
880	tʃʰ	i	33	次	tʃʰi33	名次
881	tʃʰ	i	21	瓷	tʃʰi21	陶瓷
882	tʃʰ	ɐi	21	糍	tʃʰɐi21	糍粑；糯米糍
883	tʃ	i	22	自	tʃi22	自己
884	ʃ	i	213	私	ʃi213	自私
885	ʃ	ɐi	35	死	ʃɐi35	死亡
886	ʃ	ɐi	33	四	ʃɐi33	四个
887	tʃʰ	i	33	肆	tʃʰi33	放肆
888	tʃ	i	33	致	tʃi33	导致
889	tʃʰ	i	21	遲	tʃʰi21	迟到
890	tʃ	i	33	稚	tʃi33	幼稚
891	ʃ	i	213	師	ʃi213	老师
892	ʃ	i	213	獅	ʃi213	狮子
893	tʃ	i	213	脂	tʃi213	脂肪
894	tʃ	i	35	旨	tʃi35	奉旨
895	tʃ	i	35	指	tʃi35	手指
896	tʃ	i	33	至	tʃi33	至少
897	ʃ	i	22	示	ʃi22	启示
898	ʃ	i	213	尸	ʃi213	死尸
899	ʃ	i	33	矢	ʃi33	有的放矢
900	ʃ	i	35	屎	ʃi35	狗屎
901	ʃ	i	22	視	ʃi22	近视
902	ʃ	i	33	嗜	ʃi33	嗜好
903		i	22	二	i22	第二
904		i	22	貳	i22	二心
905	k	i	213	飢	ki213	饥饿
906	k	ɐi	213	肌	kɐi213	肌肉
907	k	i	213	几	ki213	茶几
908	h	i	33	器	hi33	武器
909	h	i	33	棄	hi33	放弃
910		i	213	伊	i213	伊犁
911		i	21	夷	i21	化险为夷
912		i	213	姨	i213	阿姨
913		i	213	姨	i213	姨丈
914	l	ɐi	33	你	lɐi33	你们
915	l	ɐi	21	厘	lɐi21	厘米
916	l	ɐi	21	狸	lɐi21	狐狸
917	l	ɐi	33	李	lɐi33	姓
918	l	ɐi	33	里	lɐi33	公里
919	l	ɐi	33	裏	lɐi33	里面
920	l	ɐi	33	理	lɐi33	道理
921	l	ɐi	33	鯉	lɐi33	鲤鱼
922	l	ɐi	22	吏	lɐi22	官吏
923	tʃ	i	213	兹	tʃi213	公文用语
924	tʃ	i	213	滋	tʃi213	滋润
925	tʃ	i	35	子	tʃi35	孔子；子孙
926	tʃ	i	35	梓	tʃi35	桑梓
927	tʃʰ	i	21	慈	tʃʰi21	慈悲
928	tʃʰ	i	21	磁	tʃʰi21	磁铁
929	tʃ	i	22	字	tʃi22	文字
930	ʃ	i	213	司	ʃi213	公司
931	ʃ	i	213	絲	ʃi213	丝绸
932	ʃ	i	213	思	ʃi213	思念
933	tʃʰ	i	33	伺	tʃʰi33	伺机应变
934	ʃ	i	213	思	ʃi213	意思
935	tʃʰ	i	21	辭	tʃʰi21	告辞
936	tʃʰ	i	21	詞	tʃʰi21	歌词
937	tʃʰ	i	21	祠	tʃʰi21	祠堂
938	tʃʰ	i	33	似	tʃʰi33	相似
939	tʃʰ	i	21	祀	tʃʰi21	祭祀
941	tʃ	i	22	寺	tʃi22	寺庙
942	tʃ	i	22	嗣	tʃi22	后嗣
943	tʃʰ	i	21	飼	tʃʰi21	饲养
944	tʃ	i	33	置	tʃi33	布置
945	tʃʰ	i	213	癡	tʃʰi213	痴呆
946	tʃʰ	i	35	耻	tʃʰi35	耻辱
947	tʃʰ	i	21	持	tʃʰi21	坚持
948	tʃ	i	22	痔	tʃi22	痔疮
949	tʃ	i	22	治	tʃi22	治安
950	tʃʰ	i	33	厠	tʃʰi33	厕所
951	ʃ	i	22	士	ʃi22	士兵
952	ʃ	i	22	仕	ʃi22	仕途
953	ʃ	i	33	柿	ʃi33	柿子
954	ʃ	i	22	事	ʃi22	事情
955	ʃ	i	35	使	ʃi35	大使馆
956	ʃ	ai	35	使	ʃai35	使用
957	ʃ	i	35	史	ʃi35	历史
958	ʃ	ai	35	駛	ʃai35	驾驶
959	tʃ	i	213	之	tʃi213	之前
960	tʃ	i	213	芝	tʃi213	灵芝
961	tʃ	i	35	止	tʃi35	停止
962	tʃ	i	35	趾	tʃi35	脚趾
963	tʃ	i	35	址	tʃi35	地址
964	tʃ	i	33	志	tʃi33	志气
965	tʃ	i	33	誌	tʃi33	标志
966	tʃ	i	33	痣	tʃi33	与胎记不同
967	tʃʰ	i	35	齒	tʃʰi35	牙齿
968	ʃ	i	213	詩	ʃi213	诗人
969	tʃʰ	i	35	始	tʃʰi35	开始
970	ʃ	i	33	試	ʃi33	考试
971	ʃ	i	21	時	ʃi21	时间
972	ʃ	i	33	市	ʃi33	市场
973	tʃʰ	i	21	恃	tʃʰi21	有恃无恐，自恃
974	ʃ	i	33	侍	ʃi33	服侍
975		i	21	而	i21	而且
976		i	33	耳	i33	耳朵
977		i	33	餌	i33	钓饵
978	k	i	213	基	ki213	基本
979	k	i	213	箕	ki213	粪箕
980	k	i	35	己	ki35	自己
981	k	ɐi	35	紀	kɐi35	纪律
982	k	ɐi	33	紀	kɐi33	纪念
983	k	ɐi	33	記	kɐi33	记号
984	h	i	213	欺	hi213	欺负
985	h	ɐi	35	起	hɐi35	起床
986	k	ɐi	35	杞	kɐi35	枸杞
987	kʰ	i	21	其	kʰi21	其他
988	kʰ	i	21	棋	kʰi21	下棋
989	kʰ	i	21	期	kʰi21	日期
990	kʰ	ɐi	21	旗	kʰɐi21	红旗
991	k	ɐi	22	忌	kɐi22	禁忌
992		i	21	疑	i21	怀疑
993		i	35	擬	i35	拟人
994	h	i	33	嬉	hi33	嬉戏
995	h	i	213	熙	hi213	康熙
996	h	ɐi	35	喜	hɐi35	喜欢
997		i	213	醫	i213	医生
998		i	33	意	i33	大意
999		i	21	飴	i21	饴糖
1000		i	35	已	i35	已经
1001		i	33	以	i33	可以
1002		i	22	異	i22	异同
1003	k	i	35	幾	ki35	几乎
1004	k	i	213	機	ki213	机器
1005	k	ɐi	213	譏	kɐi213	讥笑
1006	k	i	213	饑	ki213	饥荒
1007	k	i	35	幾	ki35	几个
1008	k	ɐi	33	既	kɐi33	既然
1009	h	ɐi	35	豈	hɐi35	岂有此理
1010	h	i	33	氣	hi33	空气
1011	h	i	33	汽	hi33	汽车
1012	kʰ	ɐi	21	祈	kʰɐi21	祈祷
1013	ŋ	ai	22	毅	ŋai22	毅力
1014	h	i	213	希	hi213	希望
1015	h	i	213	稀	hi213	稀有
1016		i	213	衣	i213	衣服
1017		i	213	依	i213	依靠
1018	l	ɔy	21	累	lɔy21	累积
1019	l	ɔy	22	累	lɔy22	连累
1020	tʃ	ɔy	35	嘴	tʃɔy35	嘴巴
1021	ʃ	ɔy	22	髓	ʃɔy22	骨髓
1022	ʃ	ɔy	21	隨	ʃɔy21	随便
1023	tʃʰ	ɔy	213	吹	tʃʰɔy213	吹牛
1024	tʃʰ	ɔy	213	炊	tʃʰɔy213	炊烟
1025	tʃʰ	ɔy	21	垂	tʃʰɔy21	下垂
1026	ʃ	ɔy	22	睡	ʃɔy22	午睡
1027		iɔy	22	瑞	iɔy22	瑞雪
1028	l	ɔy	33	蕊	lɔy33	花蕊
1029	k	uɐi	213	規	kuɐi213	规矩
1030	k	uɐi	35	詭	kuɐi35	诡计
1031	kʰ	uɐi	213	虧	kʰuɐi213	吃亏
1032	kʰ	uɐi	213	窺	kʰuɐi213	偷窥
1033	k	uɐi	22	跪	kuɐi22	下跪
1034	ŋ	ɐi	21	危	ŋɐi21	危险
1035		uɐi	22	僞	uɐi22	虚伪
1036		uɐi	35	毁	uɐi35	毁灭
1037		uɐi	35	萎	uɐi35	枯萎
1038		uɐi	35	委	uɐi35	委托
1039		uɐi	22	爲	uɐi22	为什么
1040		uɐi	21	爲	uɐi21	行为
1041	l	ɔy	33	壘	lɔy33	堡垒
1042	l	ɔy	22	類	lɔy22	分类
1043	l	ɔy	22	淚	lɔy22	眼泪
1044	tʃ	ɔy	33	醉	tʃɔy33	喝醉
1045	tʃʰ	ɔy	33	翠	tʃʰɔy33	翡翠
1046	ʃ	ɔy	213	雖	ʃɔy213	虽然
1047	ʃ	ɔy	33	粹	ʃɔy33	纯粹
1048	ʃ	ɔy	22	遂	ʃɔy22	未遂
1049	ʃ	ɔy	22	隧	ʃɔy22	隧道
1050	ʃ	ɔy	22	穗	ʃɔy22	谷穗
1051	tʃ	ɔy	213	追	tʃɔy213	追赶
1052	tʃʰ	ɔy	21	槌	tʃʰɔy21	棒槌
1053	tʃʰ	ɔy	21	錘	tʃʰɔy21	铁锤
1054	tʃ	ɔy	22	墜	tʃɔy22	下坠
1055	ʃ	ɔy	213	衰	ʃɔy213	衰老
1057	ʃ	ɔy	33	帥	ʃɔy33	元帅
1058		iɔy	213	錐	iɔy213	圆锥
1059	ʃ	ɔy	35	水	ʃɔy35	水果
1060	ʃ	ɔy	21	誰	ʃɔy21	谁人
1061	k	uɐi	213	龜	kuɐi213	乌龟
1062	k	uɐi	35	軌	kuɐi35	铁轨
1063	kʰ	uɐi	21	癸	kʰuɐi21	天干第十
1064	kʰ	uɐi	35	愧	kʰuɐi35	惭愧
1065	k	uɐi	33	季	kuɐi33	四季
1066	kʰ	uɐi	21	逵	kʰuɐi21	李逵
1067	kʰ	uɐi	21	葵	kʰuɐi21	向日葵
1068	k	uɐi	22	櫃	kuɐi22	柜台
1069		uɐi	22	位	uɐi22	地位
1070		uɐi	21	維	uɐi21	维持
1071		uɐi	21	惟	uɐi21	惟一
1072		uɐi	21	遺	uɐi21	遗失
1073		uɐi	21	唯	uɐi21	唯有
1074	f	ɐi	213	非	fɐi213	非常
1075	f	ɐi	213	飛	fɐi213	飞机
1076	f	ɐi	35	匪	fɐi35	土匪
1077	f	ɐi	35	痱	fɐi35	痱子，热痱
1078	f	ɐi	33	沸	fɐi33	沸腾
1079	f	ɐi	213	妃	fɐi213	贵妃
1080	f	ɐi	33	費	fɐi33	浪费
1081	f	ɐi	21	肥	fɐi21	肥料
1082	f	ɐi	35	翡	fɐi35	翡翠
1083	m	ɐi	21	微	mɐi21	细微
1084	m	ɐi	35	尾	mɐi35	尾巴
1085	m	ɐi	22	未	mɐi22	未来
1086	m	ɐi	22	味	mɐi22	味道
1087	k	uɐi	213	歸	kuɐi213	回归
1088	k	uɐi	35	鬼	kuɐi35	鬼神
1089	k	uɐi	33	貴	kuɐi33	贵客
1090		uɐi	22	魏	uɐi22	魏国；姓
1091	f	ɐi	213	揮	fɐi213	指挥
1092	f	ɐi	213	輝	fɐi213	光辉
1093	f	ɐi	213	徽	fɐi213	国徽
1094		uɐi	21	諱	uɐi21	忌讳
1095		uɐi	213	威	uɐi213	威风
1096		uɐi	22	畏	uɐi22	畏罪
1097		uɐi	22	慰	uɐi22	安慰
1098		uɐi	21	違	uɐi21	违背
1099		uɐi	21	圍	uɐi21	包围
1100		uɐi	35	偉	uɐi35	伟大
1101		uɐi	35	葦	uɐi35	芦苇
1102		uɐi	35	緯	uɐi35	经纬
1103		uɐi	22	胃	uɐi22	肠胃
1104		uɐi	22	謂	uɐi22	所谓
1105		uɐi	33	猬	uɐi33	刺猬
1106		ui	22	匯	ui22	汇报
1107	p	au	213	褒	pau213	褒奖
1108	p	au	35	保	pau35	保护
1109	p	au	35	堡	pau35	碉堡
1110	p	au	35	寶	pau35	宝贝
1111	p	au	33	報	pau33	报告；日报
1112	pʰ	au	21	袍	pʰau21	长袍
1113	pʰ	ou	13	抱	pʰou13	*借調，拥抱
1114	p	ou	22	暴	pou22	暴露
1115	p	u	22	菢	pu22	菢小鸡
1116	m	au	213	毛	mau213	毛笔
1117	m	au	22	冒	mau22	冒充
1118	m	au	22	帽	mau22	草帽
1119	t	au	213	刀	tau213	菜刀
1120	tʰ	au	35	禱	tʰau35	祈祷
1121	t	au	35	島	tau35	海岛
1122	t	au	35	搗	tau35	捣乱
1123	t	au	35	倒	tau35	打倒
1124	t	au	33	到	tau33	来到
1125	t	au	35	倒	tau35	倒水
1126	tʰ	au	213	滔	tʰau213	滔滔不绝
1127	tʰ	au	35	討	tʰau35	讨好
1128	tʰ	au	33	套	tʰau33	配套
1129	tʰ	au	21	桃	tʰau21	桃花
1130	tʰ	au	21	逃	tʰau21	逃难
1131	tʰ	au	213	淘	tʰau213	淘米
1132	tʰ	au	21	陶	tʰau21	陶瓷
1133	tʰ	au	21	萄	tʰau21	葡萄
1134	tʰ	au	213	濤	tʰau213	波涛
1135	t	au	22	道	tau22	道理
1136	t	au	22	稻	tau22	水稻
1137	t	au	22	盗	tau22	强盗
1138	t	au	22	導	tau22	领导
1139	l	au	33	腦	lau33	大脑
1140	l	au	33	惱	lau33	恼火
1141	l	au	21	勞	lau21	劳动
1142	l	au	213	撈	lau213	打捞
1143	l	au	213	撈	lau213	捞钱，捞面
1144	l	au	21	牢	lau21	坐牢
1145	l	au	33	老	lau33	老实
1146	l	au	21	澇	lau21	洪涝
1147	tʃ	au	213	遭	tʃau213	遭殃
1148	tʃ	au	213	糟	tʃau213	糟糕
1149	tʃ	au	35	早	tʃau35	早上
1150	tʃ	au	35	棗	tʃau35	红枣
1153	tʃʰ	au	33	躁	tʃʰau33	暴躁
1154	tʃ	au	33	竈	tʃau33	灶神
1155	tʃʰ	au	213	操	tʃʰau213	操作
1156	tʃʰ	au	35	草	tʃʰau35	青草
1157	tʃ	au	33	糙	tʃau33	粗糙，糙米
1158	tʃʰ	au	21	曹	tʃʰau21	阴曹
1159	tʃʰ	au	21	槽	tʃʰau21	猪槽
1160	tʃ	au	35	皂	tʃau35	肥皂；皂角
1161	tʃ	au	22	造	tʃau22	制造
1162	ʃ	au	213	騷	ʃau213	风骚
1163	ʃ	au	213	臊	ʃau213	羊臊气
1164	ʃ	au	33	掃	ʃau33	扫把（名）
1165	ʃ	au	35	嫂	ʃau35	大嫂
1166	ʃ	au	33	掃	ʃau33	扫地（动）
1167	k	au	213	高	kau213	跳高
1168	k	au	213	膏	kau213	牙膏；膏药
1169	k	au	213	篙	kau213	竹篙
1170	k	au	213	羔	kau213	羊羔
1171	k	au	213	糕	kau213	蛋糕
1172	k	au	35	稿	kau35	草稿
1173	k	au	33	告	kau33	报告
1174	h	au	35	考	hau35	考试
1175	h	au	213	烤	hau213	烧烤
1176	kʰ	au	33	靠	kʰau33	可靠
1177	kʰ	au	33	銬	kʰau33	手铐
1178		au	21	熬	au21	难熬
1179		au	22	傲	au22	骄傲
1180	h	au	213	蒿	hau213	蓬蒿
1181	h	au	213	薅	hau213	薅田（除田草）
1182	h	au	35	好	hau35	好坏
1183	h	au	33	好	hau33	爱好
1184	h	au	33	耗	hau33	消耗
1185	h	au	21	毫	hau21	毫厘
1186	h	au	21	壕	hau21	战壕
1187	h	au	21	豪	hau21	豪华
1188	h	au	22	號	hau22	号叫，呼号（动）
1189	h	au	22	浩	hau22	浩荡
1190	h	au	22	號	hau22	号码（名）
1191		au	213	襖	au213	棉襖
1192		au	33	懊	au33	懊恼
1193		au	33	奥	au33	奥妙
