"来源："	"高晓慧 2019《山西中阳方言语音研究》；Skanda, Hynuza 整理录入"
"Ø"	"［1］豌-{~豆}剜踒{~折，折断}［2］完-{~成}王-{姓}丸-{~药}［3］碗-{单念}腕-{手~子}［5］卧"
"#ie"	""
"p"	"［1］鞭编边蝙［3］扁-{~食，指饺子}匾贬□{把东西放在腰间}缏{~袖子}［5］变便{方~}辨遍辫"
"pʰ"	"［1］篇［2］偏{~宜}［3］撇□{~子，当地一种面食}［5］骗劈={~成两半}片"
"m"	"［2］棉绵眠［3］免勉娩{分~}缅渑□{笑~圪陀，指酒窝}［5］面{~孔，~条}"
"t"	"［1］滇颠掂［3］点典［5］店垫簟电殿奠佃"
"tʰ"	"［1］添天［2］甜田{姓}填［3］舔腆{腼~}［5］田{用在人名中，如根~。}"
"n"	"［2］颜年拈{~起来}□{抬，把头~起来}崖黏{~米}言-{~语}娘-{~~庙}［3］眼{~珠子}腆{~肚子}辇捻撵蹨{追赶}［5］念砚酽{浓}乜{油脂不~，指油多}"
"l"	"［2］连莲廉镰帘联量{~长短}凉-{~菜}裢{褡~，中间开口两端装东西的口袋}［3］两-{~斤}敛脸［5］练炼镣{脚~}"
"tɕ"	"［1］街监尖间奸肩阶歼兼艰间{空~，~断}煎笺［3］解减剪检简柬拣茧□{~爷，指外公}［5］戒剑件建健见界介芥械渐谏箭溅践饯毽苋{马齿~}"
"tɕʰ"	"［1］签牵铅揩谦迁千杴{木~}□{~奔奔，指一种鸟}［2］钳前乾虔犍强-{比你~}墙-{~上}□{~~地，你甚也不要做，你就~~地等着吧}［3］浅抢且遣［5］欠嵌歉钱"
"ɕ"	"［1］先仙涎{~水}箱-{~子}相-{~[媳妇]子}鼾憨-{~子}［2］嫌限{门~}谐闲寒-{~露}孩{~~}衔={~接}贤弦襄-{~哄，指帮助}［3］险鲜显想-{~得不行}写响-{~炮}［5］泻泄谢=蟹汉-{老~}限{~制}线现县像-{不~}孩{单念}陷={~阱}旱-{天~}限羡宪献腺{腮~}"
"k"	"［1］甘-{~草}肝-{~子}干竿矸{瓦~石}［3］敢-{~不~}擀{~面}杆秆"
"kʰ"	"［3］砍［5］看"
"ŋ"	"［1］安-{~灯}淹埯{~山药，挖坑种土豆}［2］严-{盖~}［3］掩［5］案-{~板}砚{~瓦}按{~你说的}揞{~住}唵{一口~下去}"
"Ø"	"［1］烟秧-{~子}腌苶{发~}蔫{食物不新鲜}醃{~菜}爷=［2］岩盐严={~格}延言={发~}炎阎研［3］眼={一~井}演□{~孩，生小孩}黡养-{~活}野={越~}也-［5］验厌样-{~~}艳焰谚堰燕宴羊-{放~}雁液腋咽夜="
"#ye"	""
"tɕ"	"［1］捐［3］卷噘□{骂人}［5］眷绢圈{猪~}"
"tɕʰ"	"［1］圈{~子}［2］全权泉旋{头上的~子}颧{~骨}瘸=［3］犬［5］劝"
"ɕ"	"［1］喧宣揎□{~开，推开}［2］玄悬轩［3］选［5］眩楦{鞋~}"
"Ø"	"［1］冤渊［2］圆原园元源袁援辕［3］远［5］院愿怨苑"
"#ɒ"	""
"p"	"［1］帮={~忙}邦［2］□{拟声词，敲击物体时~~的声音}［3］绑榜［5］棒谤蚌傍"
"pʰ"	"［1］肨［2］滂旁螃庞［5］胖={~子}"
"m"	"［2］忙={帮~}芒={~果}茫盲［3］莽蟒"
"t"	"［1］多裆{裤~}当{~时}［3］档党挡［5］大当{典~}荡宕驮铛{烙饼工具}"
"tʰ"	"［1］拖驼驮{~起来}汤［2］糖堂棠螳唐塘［3］倘{~使}躺={~下}［5］趟烫□{~得快，指跑得快}"
"n"	"［2］囊{胶~}［3］□{~丈京，形容话多}囊{窝~，指无能}［5］□{~~地吃，形容吃饭的样子}"
"l"	"［2］螺{~丝}郎廊狼□{~当，指粗心}［3］朗［5］锣浪"
"ts"	"［1］装={假~}［3］左佐［5］匠-{木~}壮撞={~击}葬藏{西~}"
"tsʰ"	"［1］仓疮苍搓［2］床藏{~东西}［3］闯［5］错{~误}畅创□{不要~，不让碰}"
"s"	"［1］霜桑孀［3］爽［5］丧"
"tʂ"	"［1］张={姓}章樟［3］长={生~}涨=掌［5］帐={~子}账={~单子}胀={~气}丈={方~}杖={拐~}仗=障"
"tʂʰ"	"［1］昌窗［2］长={~短}肠={~胃炎}常偿［3］场={广~}敞氅{大衣}［5］唱={合~}倡畅"
"ʂ"	"［1］伤商双{一~}墒［2］裳={衣~}［3］赏晌［5］尚上={~海}双{~首，指双胞胎}"
"ʐ"	"［2］瓤={瓜~}［3］壤嚷攘［5］让"
"k"	"［1］钢光={~辉}刚={名字}缸岗冈［2］哥［3］广港={~口}［5］逛□{跑}"
"kʰ"	"［1］筐康慷匡眶［2］狂［3］扛［5］抗炕=旷况矿"
"ŋ"	"［2］昂-"
"x"	"［1］方荒慌［2］房防行航杭皇={~帝}蝗妨［3］纺仿彷访［5］放晃巷-{水~，地名}贺-{~家社}"
"Ø"	"［1］肮［2］昂=［5］□{语气词，说完一句话后加~，希望得到对方肯定的回答}"
"#iɒ"	""
"n"	"［2］娘={姑~}［3］仰□{~一会}［5］酿"
"l"	"［2］良凉={~~}量={人名}梁={姓}［3］两={斤~}辆［5］亮"
"tɕ"	"［1］姜江将{~来}疆僵=豇{~豆}礓［3］讲蒋奖桨港-{毛~，地名}耩{农具}［5］浆将{大~}降{下~}虹{天上的虹}醤"
"tɕʰ"	"［1］枪腔羌［2］墙={城~}强={~大}［3］抢={~劫}强{勉~}［5］炝呛"
"ɕ"	"［1］相={~互}厢襄香={人名}乡箱={~子}湘镶［2］降{投~}详祥［3］想={~事情}享饷［5］像={图~}向项象橡巷={柳~}"
"Ø"	"［1］秧={~歌}央殃［2］洋羊={喜~~}杨阳{人名}扬疡［3］痒养={~育}［5］样={小~}"
"#uɒ"	""
"Ø"	"［2］王={姓}亡［3］网□{指第三人称}往={来~}［5］旺望={~远镜}妄忘={~记}"
"#ʌ"	""
"t"	"［1］都{~是}兜［3］抖陡□{~的，指有优越感}□{把衣服~开}［5］豆稻={~子}斗逗痘"
"tʰ"	"［1］偷逃［2］头托{~人办事}投［5］透"
"n"	"［2］奴-{~子}［3］努-{~力}［5］怒-{~了}"
"l"	"［1］□{圪~，直打嗝}［2］楼炉庐芦耧{~谷}垆［3］鲁搂虏篓［5］路-{单念}露-{~水}漏陋赂瘘"
"ts"	"［1］邹诌{~经，指胡说}掫{~碗}［3］走肘={~子}［5］就奏皱"
"tsʰ"	"［1］粗-［2］愁瞧-{~一下}［5］凑"
"s"	"［1］搜［3］叟［5］嗽瘦"
"tʂ"	"［1］租州周舟洲粥诌{~经，指胡说}［3］祖［5］昼宙纣骤咒□{~住，时刻把经~住，不要放松}"
"tʂʰ"	"［1］抽粗［2］稠绸筹仇={报~}酬［3］丑［5］臭措醋"
"ʂ"	"［1］酥收苏□{圪~，形容不慌不忙的}［2］塑{~像}□{~子，[新妇]合音}仇-{~人}［3］手首守□{特~，形容身体在抖动}［5］寿兽受授售素塑诉"
"ʐ"	"［2］柔揉□{窝~，指不捣蛋}［3］肘-{圪~}□{洗了衣服要~干，拧干}扭{~的}［5］肉"
"k"	"［1］钩勾沟［3］狗苟［5］够构购{~买}"
"kʰ"	"［1］抠敲-{~打}［3］口［5］扣寇"
"ŋ"	"［1］欧呕［3］藕-熰偶-{配~，~然}［5］怄{~气}沤{久浸水中}购{~物}"
"x"	"［2］候喉猴瘊［3］吼喊［5］后厚"
"#iʌ"	""
"t"	"［1］丢"
"tʰ"	"［2］□{提溜}"
"n"	"［2］牛{指小虫子}［3］纽扭{~秧歌}［5］牛{单念}"
"l"	"［2］流刘留榴硫{~磺}瘤琉馏{蒸~}［3］柳［5］六={单念}溜□{鞋~子，鞋拔子}"
"tɕ"	"［1］揫{一把~住}纠{~缠}究［3］九酒久韭灸鸠［5］救旧舅臼"
"tɕʰ"	"［1］秋{~天，~千}丘［2］球求"
"ɕ"	"［1］修休羞［3］朽［5］袖宿-{星~}锈嗅"
"Ø"	"［1］优幽忧悠［2］油游犹尤由蚰［3］有莠［5］右幼柚釉{彩~}诱又佑"
"#æ"	""
"p"	"［1］班斑颁扳般搬={~家}［3］摆板扁-{~豆}版□{反复在水里淘洗衣服}［5］拜办扮瓣伴拌败-"
"pʰ"	"［1］攀潘［2］排牌［5］盼叛"
"m"	"［2］埋蛮瞒［3］买满［5］卖慢迈漫幔"
"t"	"［1］单{~人}耽担{~东西}丹［3］胆疸{黄~}［5］淡担{挑~}诞旦但弹{子~}蛋"
"tʰ"	"［1］贪滩摊［2］潭弹{~琴}谭谈痰檀坛［3］毯掸{鸡毛~子}坦［5］炭太探叹泰碳"
"n"	"［2］男难{~了}奶{名词}［3］奶{动词}［5］难{患~}"
"l"	"［2］蓝兰漤{~菜}篮拦栏［3］懒览揽榄［5］烂滥赖癞"
"ts"	"［1］簪毡［3］斩盏攒［5］寨暂站蘸{~酱油}赞绽栈债"
"tsʰ"	"［1］参餐汆搀=［2］柴蚕惭{~愧}谗残［3］产{~妇}惨铲［5］燦□{~皮皮，弄饺子皮}□{不~子，底子浅的器皿}□{量词，便，洗了一~}□{~开，把捆着的东西解开}"
"s"	"［1］三衫杉山筛{~子}珊删［3］伞散{~架}［5］晒散{失~}疝{~气}"
"tʂ"	"［1］瞻毡{羊毛~}［3］展={人名}［5］占={~便宜}战={~争}"
"tʂʰ"	"［2］缠{纠~}蝉禅{~宗}"
"ʂ"	"［2］禅{~房，地名}［3］陕={~北}闪={一~}［5］扇={桃花~}膳单{姓}善={~良}"
"ʐ"	"［2］然燃□{无根据的瞎说}□{圪~，嚼东西}［5］□{道路泥泞难行}"
"k"	"［1］甘={~蔗}肝={~炎}柑尴［3］感敢={勇~}"
"kʰ"	"［1］堪龛勘［3］坎"
"ŋ"	"［1］安={~全}庵［5］暗-岸-{~边}揞"
"x"	"［1］憨={~厚}［2］鞋={单念}含咸={~菜}函酣寒={~冷}［3］喊罕［5］汉={~族}汗={可~}解{~下}撼憾旱={~灾}翰陷-{~子}"
"Ø"	"［1］安={人名}［5］案={~件}岸={人名}暗={~杀}"
"#uæ"	""
"t"	"［1］端={人名}［3］短={读字}［5］断=锻=段={读字}"
"tʰ"	"［2］团={读字}"
"n"	"［3］暖={~爱}"
"l"	"［3］卵［5］乱={~世家人}"
"tʂ"	"［1］专={~一}砖=钻={~研}［5］赚={~下了}传={~记}转=篆={~刻}钻={电~}撰"
"tʂʰ"	"［1］川={人名}穿={~衣打扮}［2］船=椽传={~达}［3］喘揣［5］篡=串={~连}窜={读字}"
"ʂ"	"［1］闩拴酸={~~梅}［5］漱{~口}涮{洗~}算蒜"
"ʐ"	"［3］阮软={~胶囊}"
