#参考资料	《安徽庐江方言音系》 周元琳
#调值	[1]陰平55 [2]陽平31 [3]上聲213 [5]去聲35 [7]陰入5 [8]陽入3 [0]輕聲
#ɹ̩	
Ø	[1]醃{菜}烟{冒~；喫~}咽{~喉}胭{~脂}閹 [2]嚴炎{~涼}鹽閻{~王}簷延筵言閆{姓}沿{牀~} [3]掩{把門~之}演研 [5]驗厭豔焰硯燕{~子}嚥{下~}
#yĩ	
tɕ	[1]絹{~絲}捐 [3]捲{~起來} [5]卷{五~}毽{踢~子}
tɕʰ	[1]圈{畫個~子把~起來} [2]全泉拳{劃~；打~}権顴□{拔去動物的毛：~鷄毛} [3]犬{屬~} [5]勸拳{牛鼻~子}
ɕ	[1]仙鮮{魚好~}宣{~□fɛ̃꜊：吹噓自己} [2]絃玄{越講越~}懸{挂：~在高頭怕人} [3]癬選 [5]羡旋{到外頭~一圈；挖；搞刀把它~得}楦{鞋~子}眩{暈~；喝點個酒頭就直~} [0]鮮{新~}
Ø	[1]冤鴛{~鴦} [2]圓員緣元原源袁{姓}園援 [3]染軟阮{姓}遠 [5]眷{親~}院願怨{毫無~言} [0]怨{抱~}
#õ	
p	[1]搬 [5]伴拌半
pʰ	[1]潘{姓} [2]盤{臉~子；~問} [5]判叛
m	[2]瞞 [3]滿{水桶~之；密；秧栽好~} [5]漫{水~得之}
t	[1]端{~晚；~架子：擺架子} [3]短{長~；攔：把他~住；忌：~嘴} [5]斷段鍛緞
tʰ	[1]團{飯~子；團結；把大夥~在一塊；圓：~~臉}罈{菜~} [3]□{哄：好好~~她}
l	[1]□{得到：~之人；~點個飯} [2]□{追或趕：~不上他；把鴨~走} [3]暖{文|講話不~人心}卵{~子，~蛋：男性的陰囊和睾丸，常用作詈詞} [5]亂
ts	[1]鑽{往懷裏~} [3]□{鵝、鴨等用嘴齩或覓食：鵝~人；鴨在泥巴裏~} [5]鑽{~子}
tsʰ	[1]汆{~肉}𥅻{~瞌睡}□{跌跌撞撞的樣子：跑之直~} [2]□{簇：一大~；擁：~在一塊} [5]竄
s	[1]酸 [3]□{“喜、歡”的合音} [5]算{~賬；~小}蒜
tʂ	[1]專甎 [3]轉{~業} [5]轉{打~：轉圈}
tʂʰ	[1]川穿 [2]傳{~代}椽船 [3]喘 [5]串{一大~}
k	[1]官棺觀冠{鷄~} [3]管館 [5]貫{萬~家財}灌罐{燒~}冠{~軍}
kʰ	[1]寬{路~；心~：~~他的心} [3]款{貸~}
x	[1]歡{~喜}獾□{合；~在一塊；混：搞~得之} [2]橫{白|混亂：家裏搞~得之} [3]緩{~氣} [5]喚{~狗}換瘓
Ø	[1]剜帵{布~子}睕{刀剜似地看人：~他一眼} [2]完丸 [3]宛{姓}腕{手~}晥{~南}碗
#iõ	
ɕ	[1]□{“喜、歡”的合音}
#ɛ̃	
p	[1]班斑{~~點點}扳{搞~子~}般{~配} [3]板{木~；踹；一腳~死你；板結土好~} [5]瓣辦□{人的體積：好大~子} [0]斑{跡~}扮{打~}
pʰ	[1]攀{~親；攀比：別跟人家~} [2]爿{竹~子；開裂：竹子~得之；剖成兩~} [5]盼襻絆爿{臉~子；屁股~子}鋬{壺~子}
m	[1]□{强迫別人喫} [2]蠻{~不講理}埋{~怨}饅{~頭} [5]慢{~~走；怠~}
f	[1]帆翻番{五次三~} [2]凡煩{~心事}繁礬{~山} [3]反{~手}返 [5]范{姓}範犯汎{~綠：發綠}販畈{田~裏}飯 [0]□{宣~：吹噓自己}
v	[1]彎{~腰：作~}灣{牛~：地名} [2]玩頑 [3]晚輓{~聯} [5]萬
t	[1]單擔{~待；牀鋪：開~}丹{煉~} [3]膽撣疸 [5]擔{~子}旦{元~}但彈{子~}蛋{鷄~；卵~；零~}淡 [0]單{孤~}
tʰ	[1]貪灘攤癱 [2]譚{姓}談痰檀擔{扁~}彈{~琴}□{絮~子：愛嘮叨的人} [3]毯坦{憨，不急：性子~}襢{~護} [5]探嘆炭碳
l	[2]南男藍籃難{~易}蘭攔欄 [3]攬{~生意} [5]濫難{落~}爛
ts	[1]簪{~子} [3]儹{~錢}㜺{好、漂亮：搞之好~得很} [5]蘸綻{~綫}鏨{頭~碎之}
tsʰ	[1]參{~謀}䱗{~頭子；~魚} [2]蠶慚饞殘 [3]慘 [5]燦{金~~}孱{~頭：軟弱無能之人}
s	[1]三參 [3]散{~之架}傘 [5]散{~糖}
tʂ	[1]占{~卜；一口~}斬{~碎} [3]盞{燈~子；一~燈} [5]暫{~時；一~個子：一會兒}站{~住；車~}占{霸~}戰
tʂʰ	[1]摻{~假} [2]躔{跳躍式地快速跑動：跑就麽直~} [3]產鏟{搞鍋~子~；暗中提留、賺：給他~去不少錢}
ʂ	[1]杉{水~}衫山{高~}刪 [3]□{打：~他} [5]山{~墻}疝 [0]山{靠~}□{膿~：髒}
ʐ	[2]然{要不~} [0]□{語氣詞|你講~！}
Ø	[0]咹{語氣詞|你打~？}
#iɛ̃	
t	[1]□{語氣詞|“的、咹”的合音：箇什麽搞~？}
tɕ	[1]監{太~}閒{時~}艱奸{~巧} [3]簡減堿 [5]監{~攷}艦{~船}閒{~斷}
tɕʰ	[1]鉛
ɕ	[2]鹹{好~}閑銜{文|頭~} [5]陷{文|~害}限{~度}
k	[1]甘{不~心}干{不相~}肝{心~}閒{中~；一~屋} [3]感敢揀{~菜} [5]幹{~事}
kʰ	[1]堪鵮{鳥~人} [2]銜{白|~在嘴裏} [3]砍 [5]嵌{把相~到相框裏去}陷{白|~到泥巴裏去之}□{~毛子：劉海兒}
x	[1]憨{走路~；性子~}寒{冰（人）：水好~人} [2]含函涵{文|包~}鹹{~鹽}寒{~心}韓{姓} [3]喊罕{不稀~} [5]憾漢{養~子}焊旱莧{~菜}□{害：太慣，~之他噢！}
ŋ	[1]菴淹{~死之}安{平~；~徽}鞍{馬~山} [2]顔{~色}□{無空處：屋裏扽~之}□{現在：到~的} [3]眼{~睛；窗~}兩{~個} [5]暗{~號}按{就~他那麽講}案{~板}晏{晚} [0]眼{榫~}
#uɛ̃	
tʂ	[5]賺
ʂ	[1]閂{門~；~門}栓{~牛} [5]涮{~稻草}
k	[1]關 [5]貫{一~}慣{習~；寵愛：~小伢子}
kʰ	[2]環{耳朵~子}□{彎曲，彎曲的：腿~之；~頭毛} [5]摜{摔：~碎得；~之一跤}環{彎起小臂輓：手夾子高（胳膊上）：~之個菜籃子}
x	[2]還{~錢} [5]患□{挑食：什麽菜都不喫，好~！}
#ã	
p	[1]幫{鞋~子；~忙}梆{硬~~的} [3]榜膀{~子}綁{~腿}塝{河~}□{要求他人跟自己一樣（幹活）：別~人家} [5]棒蚌{~埠}磅{搞~秤~個子}膀{魁~：魁梧}
pʰ	[1]乓膀{浮腫：腿~之}搒{打：~他一頓} [2]旁{~人} [3]髈{豬小腿} [5]胖
m	[1]□{~槌：棒槌；打：~你一頓} [2]忙芒{~種}茫{白~~}盲{~目} [3]莽{~撞}蟒{~蛇} [0]嗎{語氣詞|不就一塊錢~}
f	[1]方芳坊{牌~} [2]妨房{~屋：臥室}防 [3]倣{~照；相~}紡訪 [5]放
v	[1]汪{打~：牛睡在水裏；油~~的} [2]王{丫頭~：最寶貝的女兒}亡芒{麥~}忘{白|~記} [3]枉{~然}往網 [5]妄忘{文|貴人多~事}望旺 [0]枉{冤~}
t	[1]當{~父親；~時}襠 [3]擋檔{~案}黨 [5]當{~舖}蕩凼{水~}碭□{~~布；把刀~~}
tʰ	[1]湯□{輪到、遇上：~之鬼了} [2]堂棠螳{~~子}膛唐{姓}糖塘搪{~瓷；擋：用手~之}溏{~~痢：溏便} [3]倘{~麽：假使}躺淌 [5]燙趟{做絮襖要打~子；走~~} [0]唐{荒~}赯{顔色：紫~色}
l	[1]饢{宴俗：强行添加飯菜：~飯}囔{傷風了，鼻子~之}□{餓之~~倒（疲軟無力貌）} [2]囊郎廊狼{~心狗肺}□{鬆、下垂：繩子~之} [3]朗攮{小~子}衖{巷~子：巷子}□{龜~頭：後腦勺突出的頭} [5]浪晾{~衣裳} [0]狼{豺~}
ts	[1]贓{栽~}髒{~得之：可惜了；沒用了} [2]葬藏{~青色}臟{心~}
tsʰ	[1]倉艙 [2]藏{~起來} [5]□{摩擦：~癢} [0]蒼{老~}
s	[1]桑喪{報~} [3]嗓{大~門}□{臉浮腫}
tʂ	[1]張{姓；~口；一~紙}章樟蟑 [3]長{~大；~臉}漲{~價}掌{手~；~嘴} [5]丈仗漲{~開之}帳賬脹障瘴{烏烟~氣}幛{孝~}
tʂʰ	[1]昌{字輩}倡{提~}猖{~狂}娼□{大量流淌：頭打通之，血往外直~}□{兩個容器不停輪換著倒，使液體變涼} [2]長{~短}腸常{~來~往}嘗償 [3]場{~地；吵之一~}敞{寬~；用錢大方：手~得很}氅{大~：大衣} [5]暢{~快}唱 [0]常{拉家~}場{排~}
ʂ	[1]商{~店；~議}傷晌{好~子：什麽時候} [3]賞{~臉} [5]上尚緔{~鞋} [0]裳
ʐ	[2]瓤{瓜~}□{差、弱：不~}□{柔軟：~和} [3]壤{土~} [5]讓
k	[1]岡崗{地名：裴~；陸~}綱鋼缸剛{性子~}□{擠進：往裏頭~} [3]港 [5]崗{山崗：大~子}鋼{把刀~~}虹{白|東~日頭西~雨}槓{~子}□{身體某部位受下面堅硬物體擠壓：傻好~腳}行{離開，跑掉}□{結~：健康}□{精~~：精神抖擻貌}
kʰ	[1]康糠□{疑問語氣詞：用於徵求對方同意：他好壞，~？} [2]扛 [5]抗炕{把鞋~乾得}□{稻~子：土坯砌成，用來存放穀物}
x	[1]夯{打：~你}□{開一條縫：門~之} [2]行{銀~}航杭絎{~幾針} [3]夥{大~}□{喘粗氣} [5]項{~圈子}巷{~廊子：巷子}
ŋ	[1]骯 [2]昂
Ø	[2]□{疑問語氣詞：用於徵求對方同意：跟我一陣走，~？}
#iã	
n	[1]□{最小的：小~~子} [2]娘{老~}良涼{冰~的} [3]兩{一斤十~}輛仰{頭~之} [5]亮涼{把他~在旁邊}諒{~解}量{飯~；不見~：無自知之明}𪳄{~子：木製用具：小於水桶} [0]娘{姨~}諒{原~}
tɕ	[1]剛{~才；~好}將{~就}漿疆僵姜江 [3]蔣{姓}獎槳講□{~筋筋的：筋斗} [5]醬將{大~}匠{教書~}像{長之~他父親}強{脾氣~}降{下~}
tɕʰ	[1]槍腔{聲音：~好大；大聲爭吵：別跟媽媽~} [2]墻詳祥強{~盜}降{投~} [3]搶 [5]嗆鏘{咚咚~}
ɕ	[1]相{~好}箱廂襄{~安：地名}瓖香{花~；吻：~一口}鄉 [3]想享響餉{官~} [5]相{~貌；~親}象{~棋}像{畫~}向橡{~皮}項{不曉得事~：不懂事}
Ø	[1]央{中~}秧{栽~；~子：秧苗}殃怏{病~~的} [2]羊洋楊陽{陰~}揚佯{裝~}□{調皮搗蛋} [3]養{~人}癢飲{~湯：米湯} [5]樣{~子；手~起來想打他}養{~媳婦：童養媳} [0]鴦{鴛~}陽{太~}養{縱~：嬌慣}
#uã	
tʂ	[1]莊裝樁妝 [5]壯{~膽}狀{告~} [0]狀{漢~}
tʂʰ	[1]瘡窗 [2]牀{雙人~；稻場：懶牛上~，尿屎屁淌} [3]闖 [5]創{~業}撞
ʂ	[1]霜雙{一~；~不子：雙胞胎} [3]爽{~快}
k	[1]光{太陽~} [3]廣 [5]逛光{剃光：把鬍子~得；批評：給老師~之；~當：整潔，好看}
kʰ	[1]匡{~算}筐眶哐{~當響}框{相~子} [3]□{把毛缐~起來；一~缐} [5]曠況礦 [0]誑{輕~}
x	[1]荒{~春}慌 [2]黃{~色；不成功，沒有結果：搞~得之}簧皇蝗凰惶{心~~的}潢{裝~}□{~子：（動物身體）養得好} [3]謊{撦~}晃{虛~一刀}幌{~子} [5]晃{散步：出去~個子}衁{動物供食用的血：鷄~}
#ən	
p	[1]奔 [3]本繃{臉~之} [5]笨{~蛋}
pʰ	[1]噴{~水；~嚏} [2]盆{洗臉~；茶~子：正式酒宴前所設之茶點}
m	[1]悶{不講話：~頭驢子；~壞} [2]門{開~；~牙；~路；一~不~：什麽都不會}明{~年} [5]悶{發~}燜 [0]嘛{語氣詞|就怪他~}
f	[1]分{~開}芬{常用於人名} [2]墳 [3]粉{搽~；用石灰等涂：把墻~個子} [5]糞奮{發~}分{過~}份{一~}□{~山芋：將剪好的一節節山芋藤莖栽進土裏} [0]份{緣~}
v	[1]溫{~湯熱}瘟{翻~} [2]文紋蚊炆{~蛋}聞 [3]穩抆{抹、擦：~之一桌子的}□{~子：秕穀} [5]問{查~：理睬：老之都沒人~他；向、跟：~他要}
t	[1]墩{胖~~的}礅{石頭~子}屯{黃~：地名}噸蹲{下來；~在家裏；吃飽~}登蹬燈 [3]等{一口~不到一口；~於} [5]燉{~蛋：蒸鷄蛋}頓扽{放：~之}飩{餛~}燉{~骨頭湯}盾凳鄧蹬
tʰ	[1]吞 [2]豚{~豬：母豬}騰{~出來}藤疼□{板~：板凳，多指長條形} [5]退{往後~}褪{~褲子}
l	[2]倫綸{滌~}輪{年~；~流}能 [3]暖{~和}冷{天好~；~水：涼水} [5]嫩論 [0]圇
ts	[1]尊遵曾{姓}增爭{~頭一名}箏睜 [5]贈掙爭{吵：夫妻兩個~得很}
tsʰ	[1]村皴{臉~之}撐 [2]存層□{抵得上：一個~兩個人做} [3]□{浮淺、愛表現：~巴巴的} [5]襯{布頭子留著做~（做布鞋底用}寸蹭
s	[1]森參{人~}孫生{~人}牲{~口} [3]損{破碎，有裂縫：鷄蛋~之}榫{~眼}筍省{~長；節~} [5]生{~蛋} [0]生{學~}牲{畜~}
tʂ	[1]鍼斟{~酒}珍真砧{~板}蒸貞傎正{~月}徵{~兵} [3]枕{~對~頭}診疹{~子}紾{擰}整 [5]枕{~之媽媽夾子（胳膊）睡}鎮陣震證癥正{~派；手~不子：手指}政鄭
tʂʰ	[1]稱{~肉}伸{~直直的；~朗：平整} [2]沉陳塵{掃~：除夕之前大掃除}辰晨臣乘承呈逞{文|得~}程{過一~子：過一段時間}成城盛{~飯} [3]懲 [5]趁稱{~心}秤{~砣}
ʂ	[1]深身申{~冤}升聲 [2]神{~仙；小家夥~得很}繩{搓~子；頭~子} [3]沈{姓}審{~問}嬸{~子} [5]甚腎慎剩勝聖盛{~情}
ʐ	[2]任{姓}人{有~}仁{~義} [3]忍 [5]任{~你選}刃日{~裏：白天} [0]人{上~}
k	[1]今{白|~年}跟根更{三~半夜}羹耕 [3]粳{~米}梗{桔~}耿□{整，出生月份早：~年~月的}緪{~繩：很粗的草繩} [5]更{~壞}□{努力掙：自己~}
kʰ	[1]坑{~人}吭{一聲不~} [3]懇肯啃恐{~怕}[5]掯{低頭：頭~之}
x	[1]哼 [2]恆衡{~量} [3]很狠 [5]恨
ŋ	[1]恩{~人} [5]硬{餅好~；~狠}
#iən	
p	[1]賓{貴~}冰{~凍；~冷的}兵 [3]稟{~告}丙炳{~字輩}秉柄{把~}餅 [5]病{害~}倂{合~}並
pʰ	[1]姘{~頭}拼 [2]貧{~農}憑平瓶屏萍{浮~}蘋 [3]品{人~}評{~理} [5]聘{~禮}
m	[2]民明{~白}名□{~從：找人評理} [3]閔{姓}敏抿皿冥{~錢}瞑{~目} [5]命 [0]明{聰~}
t	[1]丁釘{洋~}疔{~瘡}盯 [3]頂{頭~；~嘴；~好} [5]釘{~釘}訂定錠
tʰ	[1]聽廳 [2]亭停{~車；~當：聰明靈巧}庭 [3]挺{肚子~之} [5]停{~尸} [0]廷
n	[1]拎 [2]林淋琳{常用於人名}臨{~走}輪{~到我}鄰鱗燐陵{南~：地名}菱{~角}寧{安~；~願}靈零鈴玲齡呢{嘆詞|引起聽話人注意：~，別講了！} [3]領嶺 [5]令另 [0]呢{語氣詞：媽媽~？}
tɕ	[1]今{文|~後}金禁{~不住}襟{大~}津{汗~~}巾斤筋{三根~：形容很瘦的人}莖京驚精{~肉；~得很}晶睛經 [3]錦{~上添花}盡{~佈做}緊{鬆~；~（老是）講}僅謹景警井頸淨{漂流：放到水裏~個子} [5]禁{~止}進晉盡{苦~甜來}勁近境敬鏡競淨{~重；~是灰} [0]記{忘~}見{睇~}今{文|講古~：講故事}淨{乾~}
tɕʰ	[1]欽{~差大臣}親{~人；~家}清輕青蜻{~~子：蜻蜓} [2]琴{彈~}禽秦{姓}勤芹情晴 [3]寢{~室}請 [5]慶 [0]琴{胡~：二胡}親{父~}
ɕ	[1]心{好~}辛新{~舊}薪{~水}興{種：~菜}星腥{~氣} [2]行{步~}形型刑 [3]醒 [5]信興{生意~}杏幸{~虧}性{~子}姓 [0]心{點~}新{新~：新鮮、奇怪}性{記~}興{作~}
Ø	[1]音陰廕{樹~|因姻茵{綠~~的}殷應{~該}鷹蠅鸚英} [2]淫銀寅迎盈贏營螢{~火蟲} [3]飲{文|~料}引用隱癮影 [5]印應{~付}映{反~} [0]蠅{蒼~}塋
#uən	
tʂ	[3]準
tʂʰ	[1]椿春{~上：春天} [3]蠢
ʂ	[2]純{單純、乖巧} [5]順{~風；~手：右手}
k	[3]滾{~蛋；~燙的}磙{石~子} [5]棍{~子；~氣}
kʰ	[1]坤{常用於人名} [3]綑 [5]困{~難}
x	[1]昏{頭~}婚葷 [2]魂餛渾橫{文|一~一竪} [5]混 [0]□{（xuɛ˧˩）~：事已開始，沒有退路}
#yən	
tɕ	[1]肫均君軍 [5]俊菌
tɕʰ	[2]脣{嘴~}群裙
ɕ	[1]熏勳醺 [2]尋旬循{~規蹈矩}巡純{順：頭毛~} [3]□{紋理鬆散開：布~得之} [5]訊{喜~}汛{防~}殉訓馴
Ø	[1]暈{不緊不慢，磨蹭：慢慢~} [2]匀雲 [3]允永泳 [5]閏{~月}潤熨運暈{~車}孕
#əŋ	
p	[1]崩繃{緊~~的}嘣{~脆} [5]蹦鏰{鋼~}
pʰ	[1]嘭{~咚一聲} [2]朋彭{姓}膨棚篷蓬{蓬鬆：頭毛~得很}鵬 [3]捧{之；一~花生} [5]裴{~崗：地名}碰{~頭；~得：有時}噴{~香}
m	[1]蒙{瞎~} [2]蒙{~襖褂子} [3]猛懵{不聰明}蠓{~蟲}□{醭：腌菜高長之~}
f	[1]風楓瘋{~子；別~了}豐{~收}封峰{頂~}烽{~火}蜂鋒{衝~} [2]馮{姓}逢縫{~衣裳} [3]諷{~刺} [5]鳳奉俸縫{一道~} [0]縫{裁~}
t	[1]東冬咚{~~響；挑撥，進讒言：老在他跟前~啊~啊的} [3]董{古~}懂□{蛤蟆疙~子：蝌蚪} [5]凍{魚~子}棟動洞
tʰ	[1]通{箇條路~到縣城；破：衣裳~得之}嗵{撲~一聲} [2]同{不~人：跟別人不一樣}銅桐筒童{~子骨}瞳 [3]桶擁統動{挪移：往那邊~點個子} [5]痛{~心}
l	[1]隆{轟~}弄{得到：~之人（娶了老婆）}□{凑合：暫時~個子} [2]籠{袖~；收~在袖子裏}聾齈{~鼻子}隆{興~}窿膿濃{湯熬之好~}龍櫳{鷄~}□{~□（ʂɛ̃꜊）：髒} [3]攏{~在一塊；~共}□{出剄~：解大便時使勁}□{~子：一種魚} [5]弄{詈詞|肏：~你媽媽} [0]嚨{喉~}弄{日~；做事不利索}
ts	[1]棕鬃蹤宗綜{~合}樅{~陽} [3]總{~投資；一句話歸~} [5]粽縱{往高頭直~；別~著他}
tsʰ	[1]聰匆葱 [2]從{跟~} [0]從{依~}
s	[1]鬆{~緊；~汎} [2]㞞{弱、無能} [3]慫搡{推推~~}聳 [5]送宋頌□{吸：~鼻子}
tʂ	[1]中{~閒；不~不行}忠終鐘{閙~}盅{把~：瓷缸子}衷 [3]種{雜~}腫{浮~；~頸子：喫飯（貶義）} [5]中{打~}衆重{生活~}種{~瓜}
tʂʰ	[1]沖{宛~：地名}衝{大蒜~人}充{冒~}舂{~米} [2]蟲重{~複；~不子：重孫} [3]寵{得~} [5]銃{放~}衝{批評：又~我一頓；擤：~鼻子}
k	[1]公{~家；~婆；共同擁有：~老太太}蚣{蜈~}工功{~夫}攻弓躬{鞠~}宮{皇~}恭拱{豬~嘴} [3]汞{紅~}拱{~手；~出來之} [5]貢{進~}供共
kʰ	[1]空{撲個~} [3]孔{姓；非常：~㞞}恐{文|~怖} [5]空{~閑；虧~}控{~制}
x	[1]轟{搞像雷~；~走}哄{~堂大笑}烘{~鞋} [2]宏紅洪鴻{~運} [3]哄{小伢子} [5]訌{内~}哄{起~}
Ø	嗡{~聲~氣}
#iəŋ	
tɕʰ	[2]窮
ɕ	[1]兄胸凶{吉~；~狠；好不~：好不了多少} [2]熊{狗熊；訓斥：~之我一頓；~樣子}雄
Ø	[1]臃{~腫}庸□{打褶：~點個起來；領子做之有點個~之} [2]榮融容溶{粥燒之好~}戎絨茸□{一心想著：心裏~之幹事，飯都忘記煮} [3]擁勇湧{往前頭~；快、急：酒喝~之} [5]用佣
#m̍	
Ø	[1]呣{嘆詞|表示思考、應答、疑問或懷疑等}
ŋ̍	
Ø	[1]嗯{嘆詞|表示思考、應答、疑問或懷疑等}
#ɤʔ	
k	[7]葛{瓜~}各閣{出~：出嫁}擱郭{姓}钁{鋤：~頭；~草}角{牛~；硬幣：鉛~子}國□{石~~沉甸甸}□{低頭專注地：~頭~腦的}革{老~~：老成、老練貌} [8]□{彎曲凸起並排的指關節：搞□（ləʏ꜊）~他頭}
kʰ	[7]括闊擴確{白|~實}殼
x	[7]豁{大~；~不嘴}郝{姓}鶴霍{姓}藿劐{~開}或獲穫 [8]活{死~}
ŋ	[7]惡{箇狗好~}
Ø	[7]惡{打~：惡心}
#iʔ	
p	[7]敝{~人}蔽{隐~}弊{作~}鳖憋鉢{~子}撥博薄{~刀}剝駮北百柏伯碧蔔{蘿~} [8]別{~鍼；努力使改變：把他壞脾氣~過來}白
pʰ	[7]撇潑{~水}迫拍劈□{~飲湯：舀取未煮熟的米飯上的米湯}
m	[7]滅篾末{期~}沫{~□（løʔ꜊）子}墨麥脈{把~}
t	[7]跌{~倒}諜{間~} [8]碟牒
tʰ	[7]帖貼鐵
n	[7]膩{油~~的}
l	[7]聶{姓}鑷躡獵列烈{性子~}裂{開~}孽{作~}捏{手~子：手帕；~之}劣匿
ts	[1]則{原~}澤擇{選~}宅窄責 [8]摘
tsʰ	[7]切{~菜}側測厠{文|~所}拆㿭{土地乾裂}策冊
s	[7]屑{木~子}色䜺{山芋~子：切碎的小山芋丁子}
tʂ	[7]摺{~個印子}褶哲浙□{將一器皿中之物體移至另一器皿}
tʂʰ	[7]徹撤□{搞不~：來不及}□{反應敏捷}
ʂ	[7]攝{魂~走之}涉{干~}設射{~擊} [8]舌{豬~條}折{~本}
tɕ	[7]接傑揭{~不開鍋}節截結潔{~癖}吉{~言}
tɕʰ	[7]妾{妻~成群}
ɕ	[7]歇楔{~子}雪
k	[7]合{一升十~}鴿割格革{皮~}隔
kʰ	[7]磕{~頭}渴刻{時~；刀~}克{~夫}客
x	[7]喝{~水}嚇{~死之：嚇死了} [8]合{上下不~}盒覈{~賬}
ŋ	[7]額{~顱頭}扼軛
Ø	[7]葉頁業揖{作~}噎
#yiʔ	
tɕ	[7]絕{文|~對}決訣{口~；~人：駡人} [8]絕{白|無後：他家~得之}
tɕʰ	[7]缺
ɕ	[7]血穴
Ø	[7]熱月越
#øʔ	
t	[7]掇□{搞裁縫機子~個子}沰{淋：~濕之}□{將紙（多張）的一邊觸擊某平面物體使整齊} [8]奪沓{摞：一~紙；把紙~在一塊}
tʰ	[7]脫托{~之屁股；拍馬屁：別~}
l	[7]絡{經~}樂垃{~圾}
ts	[7]撮{一~頭毛}作{下~}□{堵塞：搞點個泥巴~之} [8]鑿{~子：~個眼}
tsʰ	[7]□{詈詞：不是人~的}
s	[7]索{文|缐~}圾{垃~}□{吮~}
tʂ	[7]桌捉著{不~聲} [8]這{睡~；燒~}鐲{手~子}
tʂʰ	[7]㪕戳 [8]□{搖動以洗淨器皿中的物體} [0]齪{齷~}
ʂ	[7]說{~書}
ʐ	[7]弱
#iøʔ	
l	[7]略{~微}掠{稍稍剪去一點兒：把頭毛~得點個}虐{~待}
tɕ	[7]腳覺{文|~得}角{丑~}
tɕʰ	[7]雀{麻~子}鵲{喜~子}卻確{文|的~}
ɕ	[7]削{白|~鉛筆} [8]學
Ø	[7]約藥鑰嶽{~父}樂{音~}
#əʔ	
p	[7]不{~對} [8]□{簇：一~籠}□{兩肘分開伏：~在桌子高頭}□{~栗子：一種橢圓形的野栗子}
pʰ	[7]朴卜{~卦}撲僕{~人}瀑
m	[7]沒{埋~}木{~頭；麻木：腿~得之}目{~的}穆{姓}牧{農~業}
f	[7]佛{倣~}扶{推：往那邊~個子}福幅復腹{心~}服{制~} [8]佛{拜~}服{不~氣}伏{三~}
v	[7]物握屋□{狗叫聲}□{凶狠地看}
t	[7]得{~不償失}得{~性}讀督□{底：水缸~的} [8]毒{心好~}獨{喫~食}□{反復地煮：魚頭再~個子}
tʰ	[7]突特{~爲}禿□{髒：毛缐~得之} [8]□{不順：講話老打~}
l	[7]肋勒{~緊}祿六陸綠碌錄{~音} [8]□{噢~~：喚豬聲}
ts	[7]卒𡎺{水瓶~子；堵塞：鼻子~之不得出氣}足□{暗中塞給} [8]□{夾腳：鞋小之，好~人}
tsʰ	[7]族促{倉~}□{睜大眼睛搜尋似地看：眼睛直~}
s	[7]澀虱嗇{小氣：箇家夥~之要命}速肅宿縮粟{蘆~子：高粱}俗續{文|手~}□{~肋坡：膝蓋}
tʂ	[7]蜇{驚~}執汁質植織職隻{一~襪子；擲~色子} [8]姪直{路~；不停地：~顫；~嘶}值{不~價}
tʂʰ	[7]赤{~脚}尺秩□{水冷之~人}□{用青灰將包裹著的衣被等中的水分吸去}□{~簸子：簸箕}
ʂ	[7]濕什{~麽：什麽；怎麽}實{事~}失室食{夥~}蝕識飾釋 [8]十拾{收~}實{滿：屋裏扽~得之}食{豬~}石{~頭}
ʐ	[7]日{~子}入{詈詞：~你媽的}
k	[7]疙{~瘩}曷{疑問副詞|~是的？}箇{這} [8]咯{笑聲：笑就麽直~}
kʰ	[7]□{繫：~鞋帶子}
x	[7]黑
#iəʔ	
p	[7]筆畢{~業}必逼潷{把湯~得}璧{完~歸趙}壁 [8]鼻{~子：鼻子；鼻涕}
pʰ	[7]□{陰門}
m	[7]密蜜
t	[7]的{~確}滴嫡嘀敵□{拽：把繩子~斷之；把電燈~過（熄滅）得；糾纏：老是~之我} [8]笛
tʰ	[7]踢剔涕{鼻~}
l	[7]立{~馬：馬上}笠{斗~}粒栗律{紀~}率{效~}力逆{忠言~耳}歷瀝{把水~乾得}
tɕ	[7]集急級{上~}及{~時}疾鯽極{積~}積跡{~斑}脊籍{戶~}績{成~}擊激{~將法}□{爆裂而出：擠~得之}
tɕʰ	[7]緝{~鞋}七漆{~黑}喫{~飯；~烟；~喜酒；~香茶}戚{~親姑老表}襲{閃了腰}
ɕ	[7]習{~字；~慣}襲吸息{利~}媳{~婦：兒媳婦}惜{~顧}昔夕{除~}席{主~}錫析{分~}□{快速攀爬：狗往他身上直~} [8]席{酒~}□{折磨、煩擾：~人}
Ø	[7]一逸{安~}益{用處：養兒子有什麽~}
#uəʔ	
tʂ	[7]竹築{建~}祝粥燭{蠟~}觸{接~}蜀{~山：地名}□{塞：往強拐的一~} [8]逐{~浙}軸
tʂʰ	[7]出畜{~牲}
ʂ	[7]術{法~}叔束{約~}屬{家~} [8]熟贖屬{~龍}□{反復念叨：老師~啊~的}
ʐ	[7]入{~門}肉{白|稱~}辱浴{白|~腳}□{加熱使彎曲：把箇根竹子~彎得}
k	[7]骨穀{六不~子：玉米}□{無牙的老人用牙牀等擠壓食物：沒牙子，慢慢~}
kʰ	[7]窟{~窿洞}哭酷{殘~}
