□	丨(囗) 一
䔇	艹 豈
䔈	艹 貢
䔉	艹 禾
䔊	艹 并
䔋	艹 紗
䔌	艹 本
䔍	艹 馬
䔎	艹 速
䔏	艹 造
䔐	艹 淺
䔑	艹 斜
䔒	艹 陪
䔓	艹 許
䔔	艹 竟
䔕	艹 甫
䔖	艹 陵
䔗	艹 祥
䔘	艹 且
䔙	艹 釣
䔚	艹 脣
䔛	艹 頃
䔜	艹 冉
䔝	艹 紫
䔞	艹 率
䔟	艹 移
䔠	艹 梢
䔡	艹 魚
䔢	艹 亏
䔣	艹 犁
䔤	艹 百
䔥	艹 肅(粛)
䔦	艹 梅
䔧	艹 梨
䔨	艹 隹
䔩	艹 攵
䔪	艹 爽
䔫	艹 朿
䔬	艹 異
䔭	艹 甯
䔮	艹 斯
䔯	艹 古
䔰	艹 富
䔱	艹 咠
䔲	艹 登
䔳	艹 然
䔴	艹 又
䔵	艹 閑
䔶	艹 提
䔷	艹 琴
䔸	艹 犬
䔹	艹 隊
䔺	艹 隋
䔻	艹 敦
䔼	艹 止
䔽	艹 渴
䔾	艹 揭
䔿	艹 尊
䕀	艹 款
䕁	艹 木
䕂	艹 遠
䕃	艹 長(镸)
䕄	艹 皿
䕅	艹 嫂
䕆	艹 俞
䕇	艹 鬼
䕈	艹 枼
䕉	艹 幸
䕊	艹 旦(亶)
䕋	艹 唐
䕌	艹 稚
䕍	艹 裔
䕎	艹 畐
䕏	艹 義
䕐	艹 福
䕑	艹 妥
䕒	艹 嘉
䕓	艹 察
䕔	艹 銜
䕕	艹 曼
䕖	艹 遜
䕗	艹 鼻
䕘	艹 領
䕙	艹 截
䕚	艹 匱
䕛	艹 夾
䕜	艹 翠
䕝	艹 稱
䕞	艹 良
䕟	艹 興
䕠	艹 廢
䕡	艹 吕
䕢	艹 差
䕣	艹 曷
䕤	艹 鄲
䕥	艹 网
䕦	艹 嬴
䕧	艹 交
䕨	艹 糸(縢)
䕩	艹 尞
䕪	艹 澤
䕫	艹 夂
䕬	艹 畺(彊)
䕭	艹 炎
䕮	艹 匊
䕯	艹 瓢
䕰	艹 番
䕱	艹 頭
䕲	艹 禀
䕳	艹 彌
䕴	艹 焦
䕵	艹 鳥
䕶	艹 隻
䕷	艹 糸
䕸	艹 吉
䕹	艹 雜
䕺	艹 叢
䕻	艹 麗
䕼	艹 難
䕽	艹 蜀
䕾	艹 嚴
䕿	艹 鳥
䖀	艹 囂
䖁	萬 意
䖂	艹 攣
䖃	若 若
䖄	艹 灬
䖅	艹 靈
䖆	艹 釀
䖇	艹 鬱
䖈	虍 匕
䖉	虍 于
䖊	乂 虎
䖋	虎 人
䖌	虎 刂
䖍	虍 攵
䖎	阝 虎
䖏	虍 匆
䖐	斤 虎
䖑	虎 日
䖒	虍 豆
䖓	出 虎
䖔	去 虎
䖕	虎 且
䖖	虎 甲
䖗	虍 咸
䖘	虎 兔
䖙	卧 虎
䖚	虎 烏
䖛	虎 索
䖜	虎 日
䖝	丿 虫
䖞	虫 寸
䖟	亡 虫
䖠	虫 凡
䖡	虫 丑
䖢	虫 少
䖣	虫 爪
䖤	夗 虫
䖥	矛 虫
䖦	虫 出
䖧	虫 旦
䖨	虫 石
䖩	虫 必
䖪	此 虫
䖫	虫 干
䖬	虫 甲
䖭	卷(龹) 虫
䖮	虫 向
䖯	圭 虫
䖰	虫 派(𠂢)
䖱	虫 匡
䖲	虫 旬
䖳	虫 宅
䖴	虫 兆
䖵	虫 虫
䖶	虫 豕
䖷	虫 希
䖸	我 虫
䖹	虫 干
䖺	亻 虫
䖻	虫 流(㐬)
䖼	虫 却
䖽	利 虫
䖾	虫 完
䖿	利 虫
䗀	虫 夌
䗁	虫 奇
䗂	虫 虎
䗃	虫 戔
䗄	虫 斧
䗅	虫 長
䗆	虫 官
䗇	虫 匊
䗈	虫 盲
䗉	虫 昌
䗊	虫 炎
䗋	虫 某
䗌	虫 星
䗍	彖 虫
䗎	虫 土
䗏	虫 又
䗐	施 虫
䗑	虫 昱
䗒	虫 並
䗓	虫 心(怱)
䗔	虫 侯
䗕	宛 虫
䗖	虫 带
䗗	虫 开
䗘	虫 盍
䗙	宀 虫
䗚	虫 尃
䗛	虫 修(脩)
䗜	虫 留
䗝	神 虫
䗞	天 虫
䗟	医(殹) 虫
䗠	旋 虫
䗡	虫 焉
䗢	虫 造
䗣	甘 虫
䗤	虫 庸
䗥	虫 從
䗦	虫 逢
䗧	虫 康
䗨	虫 魚
䗩	虫 戚
䗪	庶 虫
䗫	虫 麻
䗬	逢 虫
䗭	虫 患
䗮	虫 爽
䗯	虫 進
䗰	虫 貫
䗱	虫 菐
䗲	虫 粦
䗳	虫 登
䗴	虫 廷
䗵	虫 畺
䗶	虫 葛
䗷	虫 意
䗸	雍 虫
䗹	虫 慈
䗺	延 虫
䗻	虫 節
䗼	虫 熏
䗽	維 虫
䗾	虫 絲(㬎)
䗿	虫 寧
䘀	阜 虫
䘁	截 虫
䘂	虫 韭(韯)
䘃	虫 墨
䘄	者 虫
䘅	能 虫
䘆	虫 憲
䘇	文 虫(蟲)
䘈	虫 勵
䘉	蚕 虫
䘊	虫 篾
䘋	虫 韭(韱)
䘌	匿 虫
䘍	萬 虫
䘎	虫 彎
䘏	血 阝
䘐	血 刃
䘑	血 永
䘒	血 夋
䘓	血 臽
䘔	血 客
䘕	行 亢
䘖	行 缶
䘗	行(微) 系(糸)
䘘	行 素
䘙	行 帀
䘚	衣 十
䘛	衤 几
䘜	衤 巾
䘝	衤 弋
䘞	衤 马
䘟	衤 弓(弔)
䘠	衤 乂
䘡	比 衣
䘢	衤 宁
䘣	衤 此
䘤	衤 术
䘥	衤 甲
䘦	衤 尼
䘧	衤 央
䘨	衤 交
䘩	衤 旬
䘪	衤 充
䘫	如 衣
䘬	衤 戎
䘭	衤 至
䘮	土 衣
䘯	衤 肖
䘰	衤 延
䘱	衣 谷
䘲	衤 侵(𠬶)
䘳	衤 金
䘴	衤 松
䘵	衤 录
䘶	衤 函
䘷	衤 敝(㡀)
䘸	衤 夜
䘹	衤 卒
䘺	衤 定
䘻	衤 育
䘼	衤 宛
䘽	衤 兒
䘾	衤 官
䘿	衤 屈
䙀	衤 朋
䙁	衤 戔
䙂	衤 心(忩)
䙃	衤 月
䙄	衤 臿
䙅	衤 要
䙆	衤 癸
䙇	衤 大
䙈	衤 侯
䙉	衤 盾
䙊	衤 带
䙋	衤 宣
䙌	衤 贵
䙍	衤 飛
䙎	衤 奚
䙏	衤 尃
䙐	衤 鬲
䙑	衤 衰
䙒	衤 畜
䙓	衤 罢
䙔	衤 區
䙕	衤 從
䙖	衤 崩
䙗	衤 啇
䙘	衤 戚
䙙	衤 犀
䙚	鳥 衣
䙛	衤 口
䙜	衤 逢
䙝	衣 執
䙞	衤 登
䙟	衤 圍
䙠	衤 厥
䙡	衤 貴
䙢	衤 曾
䙣	衤 非
䙤	衤 過
䙥	衤 零
䙦	衤 夢
䙧	衤 熏
䙨	衤 衣
䙩	衤 蒙
䙪	樊 衣
䙫	衤 冀
䙬	衤 嬰
䙭	衤 足
䙮	衤 雚
䙯	衤 足
䙰	衤 離
䙱	衤 屬
䙲	西 大
䙳	西 火
䙴	西 巳
䙵	西 圭
䙶	西 农
䙷	見 寸
䙸	見 寸
䙹	开 見
䙺	火 見
䙻	姊(𠂤) 見
䙼	召 見
䙽	大 見
䙾	它 見
䙿	未 見
䚀	舟 見
䚁	向 見
䚂	赤 見
䚃	占 見
䚄	录 見
䚅	來 見
䚆	英 見
䚇	省 見
䚈	西 見
䚉	契 見
䚊	益 見
䚋	員 見
䚌	白 見
䚍	責 見
䚎	舂 見
䚏	粦 見
䚐	智 見
䚑	買 見
䚒	童 見
䚓	覃 見
䚔	賓 見
䚕	麗 見
䚖	靈 見
䚗	角 公
䚘	行 角
䚙	角 亘
䚚	角 先
䚛	角 告
䚜	角 卑
䚝	角 卒
䚞	角 來
䚟	角 得(㝵)
䚠	角 昆
䚡	角 思
䚢	角 枼
䚣	角 是
䚤	角 禺
䚥	角 弱
䚦	角 虎
䚧	角 翏
䚨	角 發
䚩	角 喬
䚪	角 睘
䚫	白(敫) 角
䚬	角 粦
䚭	角 雚
䚮	言 乃
䚯	言 刂
䚰	言 匕
䚱	言 小
䚲	言 彡
䚳	言 支
䚴	言 月
䚵	言 斗
䚶	言 天
䚷	言 兮
䚸	言 介
䚹	言 比
䚺	言 攵
䚻	月 言
䚼	言 丑
䚽	言 毛
䚾	言 壬
䚿	言 欠
䛀	言 反
䛁	言 冄
䛂	言 升
䛃	言 元
䛄	言 夗
䛅	言 甲
䛆	言 由
䛇	言 口
䛈	言 矢
䛉	言 民
䛊	言 只
䛋	言 戊
䛌	言 包
䛍	言 弗
䛎	言 穴
䛏	言 尼
䛐	司 言
䛑	言 必
䛒	巧 言
䛓	丨 言
䛔	言 而
䛕	言 乂
䛖	言 曳
䛗	臣 言
䛘	言 任
䛙	言 休
䛚	丰 言
䛛	言 回
䛜	言 囟
䛝	言 山
䛞	言 旱
䛟	言 夾
䛠	言 豆
䛡	言 口
䛢	言 秃
䛣	言 甹
䛤	言 足
䛥	言 希
䛦	言 谷
䛧	言 米
䛨	言 辛
䛩	言 亞
䛪	言 穹
䛫	言 長
䛬	言 匋
䛭	言 幸
䛮	言 咎
䛯	言 居
䛰	言 昆
䛱	言 忠
䛲	言 帛
䛳	言 奄
䛴	言 奇
䛵	言 受
䛶	言 木
䛷	言 宛
䛸	言 店
䛹	言 彖
䛺	言 界
䛻	言 盾
䛼	言 工
䛽	言 臿
䛾	言 素
䛿	言 鬲
䜀	言 止
䜁	言 大
䜂	言 本
䜃	誰 土
䜄	言 犀
䜅	言 崔
䜆	麻 言
䜇	言 袞(衮)
䜈	言 巢
䜉	言 桼
䜊	言 曹
䜋	言 貴
䜌	糹 言(絲)
䜍	言 尞
䜎	言 勞
䜏	言 隋
䜐	隋 言
䜑	言 惡
䜒	言 奥
䜓	言 葉
䜔	言 遀
䜕	言 萬
䜖	言 賈
䜗	言 感
䜘	言 敬
䜙	言 絲(㬎)
䜚	言 小(遝)
䜛	言 免
䜜	言 睿
䜝	言 丝(㡭)
䜞	言 齊
䜟	言 韭(韯)
䜠	言 質
䜡	言 憂
䜢	言 憲
䜣	讠 斤
䜤	讠 共
䜥	讠 旦
䜦	讠 旬(荀)
䜧	讠 止
䜨	讠 患
䜩	讠 燕
䜪	谷 九
䜫	谷 工
䜬	谷 由
䜭	卜 谷
䜮	谷 牢
䜯	谷 匊
䜰	谷 本
䜱	谷 曼
䜲	谷 巤
䜳	豆 乙
䜴	豆 攴
䜵	豆 皮
䜶	豆 夅
䜷	豆 侵(𠬶)
䜸	豆 尾
䜹	豆 束
䜺	豆 昔
䜻	豆 是
䜼	矛(敄) 豆
䜽	豆 俞
䜾	豆 音
䜿	臣 豆
䝀	豆 留
䝁	瑩(𤇾) 豆
䝂	臣 豆
䝃	豆 絲(㬎)
䝄	豆 雙
䝅	豕 土
䝆	勿 豕
䝇	八 豕
䝈	豕 犯(㔾)
䝉	业 豕
䝊	豕 疌
䝋	豕 宗
䝌	豕 叕
䝍	豕 軍
䝎	豕 耑
䝏	豕 婁
䝐	豕 隋
䝑	豕 童
䝒	豕 聚
䝓	豕 巤
䝔	豕 雚
䝕	豕 聶
䝖	豸 爪
䝗	豸 木
䝘	豸 殳
䝙	豸 区
䝚	豸 尼
䝛	豸 皮
䝜	豸 夋
䝝	豸 奇
䝞	豸 虎
䝟	豸 契
䝠	豸 原
䝡	豸 滿(㒼)
䝢	豸 曼
䝣	豸 渠
䝤	豸 尞
䝥	豸 十
䝦	豸 衆
䝧	貝 匀
䝨	丨 貝
䝩	貝 珍(㐱)
䝪	貝 疋
䝫	貝 乍
䝬	貝 主
䝭	貝 句
䝮	貝 玄
䝯	貝 也
䝰	貝 寺
䝱	力 貝
䝲	貝 尽
䝳	歺(𣦼) 貝
䝴	十 貝
䝵	貝 甫
䝶	貝 京
䝷	知 貝
䝸	貝 支
䝹	貝 宛
䝺	文 貝
䝻	貝 居
䝼	貝 青
䝽	貝 厓
䝾	武 貝
䝿	臾 貝
䞀	貝 侯
䞁	貝 妟(匽)
䞂	貝 大
䞃	貝 致
䞄	施 貝
䞅	貝 唇
䞆	貝 鎖(𧴪)
䞇	坴(埶) 貝
䞈	貝 爲
䞉	貝 貝
䞊	貝 目
䞋	貝 親
䞌	贝 舌
䞍	贝 青
䞎	贝 昌
䞏	贝 思
䞐	贝 春
䞑	赤 工
䞒	赤 同
䞓	赤 巠
䞔	赤 尾
䞕	赤 需
䞖	走 弋
䞗	走 才
䞘	走 乞
䞙	走 帀
䞚	走 支
䞛	走 丏
䞜	走 不
䞝	走 玉
䞞	走 弗
䞟	走 白
䞠	走 石
䞡	走 旦
䞢	走 乍
䞣	走 斥
䞤	走 句
䞥	走 有
䞦	走 各
䞧	走 后
䞨	走 圭
䞩	走 合
䞪	走 匠
䞫	走 君
䞬	走 秀
䞭	走 夋
䞮	走 余
䞯	走 孚
䞰	走 赤
䞱	走 谷
䞲	走 我
䞳	走 咅
䞴	走 周
䞵	走 叕
䞶	走 易
䞷	走 屈
䞸	走 口
䞹	走 皇
䞺	走 盾
䞻	走 勇
䞼	走 彖
䞽	走 索
䞾	走 虎
䞿	宀 走
䟀	走 差
䟁	走 巢
䟂	走 曼
䟃	走 參
䟄	走 責
䟅	斬 走
䟆	走 畢
䟇	走 幾
䟈	走 呈
䟉	走 蜀
䟊	走 豦
䟋	走 詹
䟌	走 截
䟍	走 方
䟎	走 贊(賛)
䟏	走 樂
䟐	走 歷
䟑	走 龠
䟒	走 雚
䟓	足 丁
䟔	足 卜
䟕	足 叉
䟖	足 山
䟗	足 氏
䟘	足 亢
䟙	足 切
䟚	足 亓
䟛	足 巿
䟜	足 内
䟝	足 殳
䟞	足 少
䟟	斥 足
䟠	足 戉
䟡	足 氐
䟢	足 尔
䟣	足 术
䟤	足 必
䟥	足 矛
䟦	足 友
䟧	足 田
䟨	足 民
䟩	足 去
䟪	足 乏
䟫	小 足
䟬	足 丘
䟭	足 乍
䟮	足 伏
䟯	足 舌
䟰	足 行
䟱	足 朿
䟲	足 充
䟳	足 羽
䟴	足 辰
䟵	足 求
䟶	足 坐
䟷	足 折
䟸	足 廾
䟹	足 寽
䟺	足 貝
䟻	足 余
䟼	足 武
䟽	足 流(㐬)
䟾	足 叕
䟿	足 录
䠀	足 尚
䠁	足 二
䠂	林 足
䠃	足 兩
䠄	足 典
䠅	足 囷
䠆	足 長
䠇	足 屈
䠈	足 隶
䠉	足 官
䠊	足 非
䠋	足 卑
䠌	足 月
䠍	足 叚
䠎	足 屋
䠏	足 癸
䠐	足 犬
䠑	足 奎
䠒	足 胡
䠓	足 酋
䠔	足 遂(㒸)
䠕	足 柴
䠖	足 咨
䠗	足 臭
䠘	足 比
䠙	足 旁
䠚	足 瓜
䠛	足 摇(䍃)
䠜	足 茸
䠝	足 員
䠞	足 戚
䠟	幸(執) 足
䠠	帶 足
䠡	足 且
䠢	艹 足
䠣	足 巽
䠤	足 單
䠥	足 敝
䠦	足 智
䠧	足 屠
䠨	足 詹
䠩	足 歲
䠪	足 丝(㡭)
䠫	足 聚
䠬	足 鄧
䠭	足 賴
䠮	足 馬(駦)
䠯	足 龠
䠰	足 雚
䠱	足 屬
䠲	身 令
䠳	身 出
䠴	身 立
䠵	身 付
䠶	身 矢
䠷	身 兆
䠸	身 夸
䠹	身 亥
䠺	身 问
䠻	身 穹
䠼	身 俞
䠽	身 豈
䠾	身 閃
䠿	身 貴
䡀	身 旦(亶)
䡁	身 龍
䡂	車 丩
䡃	車 力
䡄	車 几
䡅	車 川
䡆	車 公
䡇	車 元
䡈	車 爻
䡉	車 亢
䡊	車 反
䡋	車 支
䡌	車 厷
䡍	車 夫
䡎	車 户
䡏	車 弘
䡐	車 它
䡑	車 民
䡒	車 田
䡓	行 車
䡔	車 多
䡕	車 丞
䡖	車 土
䡗	巩 車
䡘	車 甸
䡙	車 良
䡚	車 皃
䡛	車 車
䡜	車 坴
䡝	車 宛
䡞	具 車
䡟	車 卑
䡠	車 貞
䡡	車 皆
䡢	車 扁
䡣	車 軍
䡤	者 車
䡥	車 容
䡦	車 桑
䡧	車 烏
䡨	差 車
䡩	車 真
䡪	車 扇
䡫	車 逢
䡬	車 曼
䡭	車 羞
䡮	車 從
䡯	車 心(悤)
䡰	声(殸) 車
䡱	車 區
䡲	車 單
䡳	車 斯
䡴	車 童
䡵	車 遂
䡶	車 辟
䡷	車 蓋
䡸	車 戉
䡹	車 疋
䡺	車 慧
䡻	車 方
䡼	車 霝
䡽	車 贊
䡾	車 獻
䡿	車 靈
䢀	车 乞
䢁	车 月
䢂	车 立
䢃	辟 乂
䢄	台(辝) 林
䢅	臼 辰
䢆	冗 辱
䢇	宀 辱
䢈	辰 會
䢉	囟 辰
䢊	辶 子
䢋	辶 丌
䢌	辶 巿
䢍	辶 方
䢎	辶 开
䢏	辶 斗
䢐	辶 且
䢑	辶 氐
䢒	辶 交
䢓	辶 宇
䢔	辶 合
䢕	辶 戌
䢖	辶 聿
䢗	辶 曲
䢘	辶 守
䢙	辶 貝
䢚	辶 更
䢛	辶 冏
䢜	辶 帚
䢝	辶 亞
䢞	辶 林
䢟	辶 放
䢠	辶 廾
䢡	辶 枼
䢢	辶 倉
䢣	辶 言
䢤	辶 术
䢥	辶 目
䢦	辶 率
䢧	辶 翏
䢨	辶 從
䢩	辶 攵
䢪	辶 喬
䢫	辶 隋
䢬	辶 舜
䢭	辶 羡
䢮	辶 雷
䢯	辶 舛
䢰	辶 翟
䢱	辶 賣
䢲	辶 矍
䢳	几 阝
䢴	千 阝
䢵	云 阝
䢶	木 阝
䢷	丹 阝
䢸	且 阝
䢹	巨 阝
䢺	出 阝
䢻	臣 阝
䢼	共 阝
䢽	共 邑
䢾	先 阝
䢿	安 阝
䣀	危 阝
䣁	羽 阝
䣂	耒 阝
䣃	卸(𦈢) 阝
䣄	余 阝
䣅	辰 阝
䣆	巠 阝
䣇	求 阝
䣈	邑 邑
䣉	沙 邑
䣊	尚 阝
䣋	采 阝
䣌	底 阝
䣍	奄 阝
䣎	巛(甾) 阝
䣏	供 阝
䣐	英 阝
䣑	厘 阝
䣒	贵 阝
䣓	鬲 阝
䣔	鎖(𧴪) 阝
䣕	馬 阝
䣖	馬 邑
䣗	白 阝
䣘	堂 阝
䣙	崩 阝
䣚	婁 阝
䣛	木 阝
䣜	虍 阝
䣝	屠 阝
䣞	口 阝
䣟	旡(朁) 阝
䣠	替 阝
䣡	義 阝
䣢	耒(耤) 阝
䣣	黨 阝
䣤	瞿 阝
䣥	酉 匕
䣦	酉 力
䣧	酉 弋
䣨	酉 七
䣩	酉 屯
䣪	酉 巿
䣫	酉 支
䣬	酉 戈
䣭	酉 犬
䣮	酉 犮
䣯	酉 且
䣰	酉 巨
䣱	酉 句
䣲	酉 弁
䣳	酉 司
䣴	酉 兇
䣵	酉 耳
䣶	酉 舌
䣷	酉 朱
䣸	任 酉
䣹	酉 伐
䣺	酉 肙
䣻	酉 含
䣼	酉 京
䣽	知 酉
䣾	酉 宜
䣿	酉 盂
䤀	酉 若
䤁	酉 甚
䤂	酉 某
䤃	酉 音
䤄	酉 面
䤅	酉 俞
䤆	酉 癸
䤇	酉 又
䤈	酉 皿
䤉	酉 皿
䤊	酉 茸
䤋	酋 或
䤌	酉 倉
䤍	酉 滿(㒼)
䤎	酉 矞
䤏	酉 手
䤐	酉 日
䤑	酉 黄
䤒	酉 幾
䤓	酉 蒙
䤔	漸 酉
䤕	酉 樂
䤖	酉 暴
䤗	章 酉
䤘	酉 韭(韱)
䤙	酉 虫(蠡)
䤚	月 里
䤛	金 丩
䤜	金 七
䤝	金 卬
䤞	金 尤
䤟	金 冗
䤠	金 止
䤡	金 冉
䤢	金 另
䤣	金 乎
䤤	金 亥
䤥	金 危
䤦	金 伐
䤧	金 回
䤨	金 派(𠂢)
䤩	金 宅
䤪	金 朵
䤫	金 今(岑)
䤬	金 沙
䤭	金 希
䤮	金 步
䤯	金 形
䤰	坎 金
䤱	金 斤
䤲	金 赤
䤳	金 夜
䤴	金 函
䤵	金 非
䤶	金 奄
䤷	金 妟(匽)
䤸	金 彖
䤹	金 又
䤺	金 斫
䤻	金 月
䤼	金 泉
䤽	金 四(眔)
䤾	金 舀
䤿	金 手
䥀	金 虫(蚩)
䥁	金 干(圅)
䥂	金 豕
䥃	金 隺
䥄	金 昔
䥅	十 金
䥆	亠 金
䥇	金 扇
䥈	金 莽
䥉	金 寃
䥊	金 責
䥋	金 烹
䥌	宀 金
䥍	幸(執) 金
䥎	金 脣
䥏	金 御
䥐	務 金
䥑	金 麥
䥒	强 金
䥓	金 基
䥔	金 粟
䥕	金 敝
䥖	金 奠
䥗	金 款
䥘	金 日
䥙	金 隊
䥚	几 金
䥛	金 糸
䥜	金 閑
䥝	金 匕
䥞	金 敫
䥟	金 揭
䥠	金 咸
䥡	金 枼
䥢	鼓 金
䥣	毁 金
䥤	金 雹
䥥	金 廉
䥦	金 遀
䥧	金 睿
䥨	金 吕
䥩	金 微
䥪	金 絲(㬎)
䥫	金 截
䥬	金 尃
䥭	求 金
䥮	金 卩
䥯	金 罷
䥰	金 虫
䥱	金 冩(寫)
䥲	金 歐
䥳	金 憂
䥴	金 雋(嶲)
䥵	金 曉
䥶	金 歷
䥷	金 刂
䥸	彌 金
䥹	金 齒
䥺	钅 牙
䥻	钅 无
䥼	钅 勿
䥽	钅 发
䥾	钅 写
䥿	钅 厉
䦀	钅 羽
䦁	钅 邦
䦂	钅 扇
䦃	钅 著
䦄	钅 衣
䦅	钅 善
䦆	钅 矍
䦇	镸 乙
䦈	镸 左
䦉	镸 四
䦊	镸 小(尗)
䦋	镸 敖
䦌	門 土
䦍	門 乞
䦎	門 元
䦏	門 介
䦐	門 手
䦑	門 夬
䦒	門 石
䦓	門 占
䦔	門 旦
䦕	門 并
䦖	門 吉
䦗	門 血
䦘	門 艮
䦙	門 寺
䦚	門 舌
䦛	門 争
䦜	門 吾
䦝	門 赤
䦞	門 汪
䦟	門 坐
䦠	門 豕
䦡	門 官
䦢	門 法
䦣	門 咅
䦤	門 叕
䦥	門 林
䦦	門 金
䦧	門 兒
䦨	門 東
䦩	門 夂
䦪	門 曷
䦫	門 英
䦬	門 契
䦭	門 香
䦮	門 春
䦯	門 致
䦰	門 龟
䦱	門 爲
䦲	門 詹
䦳	門 鄉
䦴	門 幸
䦵	門 爾
䦶	门 争
䦷	门 坐
䦸	门 禺
䦹	阝 十
䦺	阝 丁
䦻	阝 子
䦼	阝 夬
䦽	阝 予
䦾	追(𠂤) 允
䦿	阝 中
䧀	阝 厷
䧁	阝 句
䧂	阝 召
䧃	阝 田
䧄	阝 各
䧅	阝 夷
䧆	阝 共
䧇	阝 衣
䧈	阝 西
䧉	阝 里
䧊	阝 告
䧋	阝 見
䧌	阝 妥
䧍	阝 谷
䧎	阝 肙
䧏	阝 夆
䧐	阝 享
䧑	阝 定
䧒	阝 來
䧓	阝 周
䧔	阝 念
䧕	阝 或
䧖	阝 戔
䧗	阝 复
䧘	阝 彖
䧙	阝 心(⺗)
䧚	阝 高
䧛	阝 旁
䧜	阝 唐
䧝	阝 虫(蚩)
䧞	阝 馬
䧟	阝 舀
䧠	阝 專
䧡	阝 庸
䧢	阝 區
䧣	阝 票
䧤	阝 菐
䧥	阝 惠
䧦	阝 爲
䧧	阝 義
䧨	阝 業
䧩	阝 敢
䧪	阝 女
䧫	阝 豪
䧬	阝 賓
䧭	阝 心
䧮	阝 憲
䧯	阝 兔(毚)
䧰	阝 系
䧱	九 隹
䧲	干 隹
䧳	止 隹
䧴	支 隹
䧵	冘 隹
䧶	隹 六
䧷	冬 隹
䧸	古 隹
䧹	广 隹
䧺	右 隹
䧻	合 隹
䧼	告 隹
䧽	釆 隹
䧾	舍 隹
䧿	昔 隹
䨀	入 隹
䨁	矛(敄) 隹
䨂	秋 隹
䨃	晏 隹
䨄	今 隹
䨅	尞 隹
䨆	敝 隹
䨇	隻 隻
䨈	賓 隹
䨉	嬰 隹
䨊	隹 片
䨋	雨 乇
䨌	雨 元
䨍	雨 井
䨎	雨 弘
䨏	雨 次
䨐	雨 合
䨑	雨 夷
䨒	雨 羽
䨓	雨 回
䨔	雨 光
䨕	雨 于
䨖	雨 有
䨗	雨 孚
䨘	雨 見
䨙	雨 壬
䨚	雨 忽
䨛	雨 析
䨜	雨 朋
䨝	雨 青
䨞	雨 禹
䨟	雨 洼
䨠	雨 曷
䨡	雨 函
䨢	雨 甚
䨣	雨 革
䨤	雨 迪
䨥	雨 隻
䨦	雨 旁
䨧	雨 令
䨨	雨 追
䨩	雨 神
䨪	雨 埋
䨫	雨 麥
䨬	雨 林
䨭	雲 肖
䨮	雨 彗
䨯	雨 陳
䨰	雨 革
䨱	雨 复
䨲	需 兔
䨳	雨 見
䨴	雨 對
䨵	雨 潭
䨶	雨 鼎
䨷	雨 攴
䨸	雨 隱
䨹	雨 黑(儵)
䨺	雲 雲
䨻	雷 雷
䨼	青 蒦
䨽	非 己
䨾	广 非
䨿	天 非
䩀	非 貝
䩁	非 毛
䩂	面 今
䩃	面 比
䩄	面 见
䩅	面 皮
䩆	面 乍
䩇	面 占
䩈	面 每
䩉	面 甫
䩊	面 宛
䩋	面 麻
䩌	面 焦
䩍	面 尞
䩎	面 僉
䩏	面 蔑
䩐	革 乞
䩑	革 弓
䩒	革 于
䩓	革 勾
䩔	革 殳
䩕	革 卬
䩖	革 少
䩗	革 月
䩘	革 幺
䩙	革 玄
䩚	革 氐
䩛	革 必
䩜	革 由
䩝	革 瓜
䩞	革 占
䩟	革 夷
䩠	革 廷
䩡	革 夾
䩢	革 折
䩣	革 余
䩤	革 見
䩥	革 延
䩦	攸 革
䩧	革 言
䩨	革 長
䩩	革 宛
䩪	革 官
䩫	革 兩
䩬	革 奉
䩭	革 奇
䩮	革 录
䩯	革 亟
䩰	革 咠
䩱	革 俞
䩲	革 度
䩳	革 又
䩴	革 胡
䩵	革 軍
䩶	革 虫(蚩)
䩷	革 旁
䩸	革 茸
䩹	革 鬲
䩺	革 翁
䩻	革 馬
䩼	革 逢
䩽	革 區
䩾	革 庶
䩿	革 賁
䪀	革 心
䪁	革 菐
䪂	革 棘
䪃	革 敦
䪄	革 黄
䪅	革 蜀
䪆	革 豊
䪇	革 尃
䪈	革 遣
䪉	革 巤
䪊	革 龍
䪋	革 遺
䪌	革 兔(毚)
䪍	革 闌
䪎	革 冏(巂)
䪏	韋 内
䪐	韋 必
䪑	韋 它
䪒	韋 主
䪓	韋 占
䪔	韋 甫
䪕	韋 匊
䪖	韋 复
䪗	韋 叚
䪘	韋 是
䪙	韋 尃
䪚	韋 塌(𦐇)
䪛	韋 番
䪜	韋 詹
䪝	韋 蒦
䪞	天 韭
䪟	巿 韭
䪠	姊(𠂤) 韭
䪡	姊(𠂤) 韭
䪢	姊(𠂤) 韭
䪣	巿(𪩲) 韭
䪤	韭 番
䪥	卜 韭
䪦	音 工
䪧	音 也
䪨	音 勺
䪩	音 今
䪪	加 音
䪫	音 巠
䪬	音 孛
䪭	音 音
䪮	音 芻
䪯	瑩(𤇾) 音
䪰	音 意
䪱	己 頁
䪲	兀 頁
䪳	尹 頁
䪴	冘 頁
䪵	牙 頁
䪶	且 頁
䪷	句 頁
䪸	民 頁
䪹	丕 頁
䪺	去 頁
䪻	弁 頁
䪼	出 頁
䪽	号 頁
䪾	頁 珍(㐱)
䪿	囟 頁
䫀	艮 頁
䫁	自 頁
䫂	多 頁
䫃	辰 頁
䫄	兑 頁
䫅	宋 頁
䫆	成 頁
䫇	須 冄
䫈	山 頁
䫉	豸 頁
䫊	否 頁
䫋	委 頁
