單字	(沙塘)聲母	(沙塘)韻母	(沙塘)聲調	備註	(IPA)聲母	(IPA)韻母	(IPA)聲調												
汗	h	uon	6		h	uɔn	32												
瀚	h	uon	6		h	uɔn	32												
銲	h	uon	6		h	uɔn	32												
悍	h	uon	6		h	uɔn	32												
番	h	uon	1		h	uɔn	33												
漢	h	uon	1		h	uɔn	33												
看	h	uon	1		h	uɔn	33												
潘	h	uon	1		h	uɔn	33												
判	h	uon	1		h	uɔn	33												
泮	h	uon	1		h	uɔn	33												
罕	h	uon	2		h	uɔn	55												
斷	h	uot	5		h	uɔt	21												
旱	h	uot	5		h	uɔt	21												
褐	h	uot	6		h	uɔt	32												
喝	h	uot	1		h	uɔt	33												
渴	h	uot	1		h	uɔt	33												
潑	h	uot	1		h	uɔt	33												
脫	h	uot	1		h	uɔt	33												
墟	h	ui	5		h	ui	21												
頹	h	ui	4		h	ui	22												
去	h	ui	1		h	ui	33												
蛻	h	ui	1		h	ui	33												
退	h	ui	1		h	ui	33												
褪	h	ui	1		h	ui	33												
墟	h	ui	1		h	ui	33												
虛	h	ui	1		h	ui	33												
褪	h	ui	1		h	ui	33												
吁	h	ui	1		h	ui	33												
噓	h	ui	1		h	ui	33												
腿	h	ui	2		h	ui	55												
栩	h	ui	2		h	ui	55												
許	h	ui	2		h	ui	55												
咻	h	ui	2		h	ui	55												
煦	h	ui	2		h	ui	55												
酷	h	uk	6		h	ʊk	32												
哭	h	uk	2		h	ʊk	55												
臀	h	un	4		h	un	22												
吞	h	un	1		h	un	33												
鼕	h	ung	4		h	ʊŋ	22												
洪	h	ung	4		h	ʊŋ	22												
紅	h	ung	4		h	ʊŋ	22												
虹	h	ung	4		h	ʊŋ	22												
訌	h	ung	4		h	ʊŋ	22												
鴻	h	ung	4		h	ʊŋ	22												
仝	h	ung	4		h	ʊŋ	22												
僮	h	ung	4		h	ʊŋ	22												
同	h	ung	4		h	ʊŋ	22												
彤	h	ung	4		h	ʊŋ	22												
桐	h	ung	4		h	ʊŋ	22												
童	h	ung	4		h	ʊŋ	22												
茼	h	ung	4		h	ʊŋ	22												
銅	h	ung	4		h	ʊŋ	22												
熊	h	ung	4		h	ʊŋ	22												
雄	h	ung	4		h	ʊŋ	22												
囪	h	ung	1		h	ʊŋ	33												
哄	h	ung	1		h	ʊŋ	33												
哄	h	ung	1		h	ʊŋ	33												
烘	h	ung	1		h	ʊŋ	33												
空	h	ung	1		h	ʊŋ	33												
控	h	ung	1		h	ʊŋ	33												
通	h	ung	1		h	ʊŋ	33												
彤	h	ung	1	又讀	h	ʊŋ	33												
痛	h	ung	1		h	ʊŋ	33												
兇	h	ung	1		h	ʊŋ	33												
凶	h	ung	1		h	ʊŋ	33												
匈	h	ung	1		h	ʊŋ	33												
洶	h	ung	1		h	ʊŋ	33												
胸	h	ung	1		h	ʊŋ	33												
恐	h	ung	2		h	ʊŋ	55												
桶	h	ung	2		h	ʊŋ	55												
筒	h	ung	2		h	ʊŋ	55												
統	h	ung	2		h	ʊŋ	55												
盾	h	ut	5	矛盾	h	ut	21												
豚	h	ut	5		h	ut	21												
呀	j	aa			j	a													
也	j	aa	5		j	a	21												
洩	j	aai	6		j	ai	32												
曳	j	aai	6		j	ai	32												
吔	j	aai	6		j	ai	32												
唷	j	o			j	ɔ													
喲	j	o			j	ɔ													
野	j	ea	5		j	ə	21												
冶	j	ea	5		j	ə	21												
椰	j	ea	4		j	ə	22												
爺	j	ea	4		j	ə	22												
邪	j	ea	4		j	ə	22												
耶	j	ea	4		j	ə	22												
射	j	ea	6		j	ə	32												
夜	j	ea	6		j	ə	32												
爺	j	ea	2	阿爺 老沙塘話父親之謂	j	ə	55												
睪	j	eak	6		j	ək	32												
弈	j	eak	6		j	ək	32												
帟	j	eak	6		j	ək	32												
懌	j	eak	6		j	ək	32												
痬	j	eak	6		j	ək	32												
埸	j	eak	6		j	ək	32												
圛	j	eak	6		j	ək	32												
斁	j	eak	6		j	ək	32												
驛	j	eak	6		j	ək	32												
嶧	j	eak	6		j	ək	32												
醳	j	eak	6		j	ək	32												
襗	j	eak	6		j	ək	32												
墿	j	eak	6		j	ək	32												
㴒	j	eak	6		j	ək	32												
燡	j	eak	6		j	ək	32												
𦔥	j	eak	6		j	ək	32												
𡱿	j	eak	6		j	ək	32												
㘁	j	eak	6		j	ək	32												
𤑹	j	eak	6		j	ək	32												
𠓋	j	eak	6		j	ək	32												
射	j	eak	6		j	ək	32												
亦	j	eak	6	文讀	j	ək	32												
奕	j	eak	6		j	ək	32												
易	j	eak	6		j	ək	32												
繹	j	eak	6		j	ək	32												
翼	j	eak	6		j	ək	32												
蜴	j	eak	6		j	ək	32												
譯	j	eak	6		j	ək	32												
驛	j	eak	6		j	ək	32												
翌	j	eak	6		j	ək	32												
億	j	eak	2		j	ək	55												
憶	j	eak	2		j	ək	55												
益	j	eak	2		j	ək	55												
嫌	j	eam	4		j	əm	22												
閻	j	eam	4		j	əm	22												
鹽	j	eam	4		j	əm	22												
焰	j	eam	4		j	əm	22												
簷	j	eam	4		j	əm	22												
炎	j	eam	6		j	əm	32												
燄	j	eam	6		j	əm	32												
豔	j	eam	6		j	əm	32												
淹	j	eam	1		j	əm	33												
醃	j	eam	1		j	əm	33												
奄	j	eam	1		j	əm	33												
厭	j	eam	1		j	əm	33												
掩	j	eam	2		j	əm	55												
俺	j	eam	2		j	əm	55												
奄	j	eam	2		j	əm	55												
弇	j	eam	2		j	əm	55												
弦	j	ean	4		j	ən	22												
絃	j	ean	4		j	ən	22												
賢	j	ean	4		j	ən	22												
延	j	ean	4		j	ən	22												
嫣	j	ean	4		j	ən	22												
焉	j	ean	1	語氣助詞	j	ən	33												
焉	j	ean	4	安也|何也	j	ən	22												
蜒	j	ean	4		j	ən	22												
筵	j	ean	4		j	ən	22												
埏	j	ean	4	際也地也又墓道亦地有八極八埏又音羶	j	ən	22												
見	j	ean	6		j	ən	32												
現	j	ean	6		j	ən	32												
煙	j	ean	1		j	ən	33												
燕	j	ean	1	燕國|燕窩	j	ən	33												
菸	j	ean	1		j	ən	33												
演	j	ean	2		j	ən	55												
衍	j	ean	2		j	ən	55												
鼴	j	ean	2		j	ən	55												
堰	j	ean	2		j	ən	55												
刑	j	eang	4		j	əŋ	22												
型	j	eang	4		j	əŋ	22												
形	j	eang	4		j	əŋ	22												
營	j	eang	4		j	əŋ	22												
瑩	j	eang	4		j	əŋ	22												
螢	j	eang	4		j	əŋ	22												
蠅	j	eang	4		j	əŋ	22												
縈	j	eang	4		j	əŋ	22												
嬰	j	eang	1		j	əŋ	33												
櫻	j	eang	1		j	əŋ	33												
瑛	j	eang	1		j	əŋ	33												
英	j	eang	1		j	əŋ	33												
鷹	j	eang	1		j	əŋ	33												
鸚	j	eang	1		j	əŋ	33												
影	j	eang	2	文讀	j	əŋ	55												
葉	j	eap	5		j	əp	21												
頁	j	eap	5		j	əp	21												
葉	j	eap	6	葉姓	j	əp	32												
靨	j	eap	6		j	əp	32												
燕	j	eat	5	鳥名	j	ət	21												
陶	j	eau	4		j	əu	22												
姚	j	eau	4		j	əu	22												
搖	j	eau	4		j	əu	22												
瑤	j	eau	4		j	əu	22												
窯	j	eau	4		j	əu	22												
謠	j	eau	4		j	əu	22												
遙	j	eau	4		j	əu	22												
曜	j	eau	6		j	əu	32												
耀	j	eau	6		j	əu	32												
腰	j	eau	1		j	əu	33												
邀	j	eau	1		j	əu	33												
要	j	eau	1		j	əu	33												
要	j	eau	1		j	əu	33												
妖	j	eau	2		j	əu	55												
舀	j	eau	2		j	əu	55												
窈	j	eau	2		j	əu	55												
夭	j	eau	2		j	əu	55												
吆	j	eau	2		j	əu	55												
姨	j	i	5	阿姨	j	i	21												
以	j	i	5		j	i	21												
已	j	i	5		j	i	21												
矣	j	i	5		j	i	21												
予	j	i	5	賜與也	j	i	21												
宇	j	i	5		j	i	21												
羽	j	i	5		j	i	21												
與	j	i	5		j	i	21												
雨	j	i	5		j	i	21												
禹	j	i	5		j	i	21												
儒	j	i	4		j	i	22												
蛇	j	i	4	委蛇	j	i	22												
台	j	i	4		j	i	22												
咦	j	i	4		j	i	22												
夷	j	i	4		j	i	22												
姨	j	i	4		j	i	22												
怡	j	i	4		j	i	22												
移	j	i	4		j	i	22												
胰	j	i	4		j	i	22												
貽	j	i	4		j	i	22												
頤	j	i	4		j	i	22												
飴	j	i	4		j	i	22												
迤	j	i	4		j	i	22												
迤	j	i	4		j	i	22												
余	j	i	4		j	i	22												
愉	j	i	4		j	i	22												
瑜	j	i	4		j	i	22												
盂	j	i	4		j	i	22												
萸	j	i	4		j	i	22												
諛	j	i	4		j	i	22												
輿	j	i	4		j	i	22												
餘	j	i	4		j	i	22												
予	j	i	4	我也	j	i	22												
嶼	j	i	4	大嶼山	j	i	22												
渝	j	i	4		j	i	22												
榆	j	i	4		j	i	22												
嚅	j	i	4		j	i	22												
孺	j	i	4		j	i	22												
蠕	j	i	4		j	i	22												
籲	j	i	6		j	i	32												
易	j	i	6		j	i	32												
異	j	i	6		j	i	32												
雨	j	i	6		j	i	32												
喻	j	i	6		j	i	32												
愈	j	i	6		j	i	32												
癒	j	i	6		j	i	32												
裕	j	i	6		j	i	32												
譽	j	i	6		j	i	32												
豫	j	i	6		j	i	32												
預	j	i	6		j	i	32												
諭	j	i	6		j	i	32												
逾	j	i	6		j	i	32												
於	j	i	1		j	i	33												
伊	j	i	1		j	i	33												
依	j	i	1		j	i	33												
衣	j	i	1		j	i	33												
衣	j	i	1		j	i	33												
醫	j	i	1		j	i	33												
椅	j	i	1		j	i	33												
意	j	i	1		j	i	33												
懿	j	i	1		j	i	33												
迂	j	i	1		j	i	33												
于	j	i	1		j	i	33												
綺	j	i	2		j	i	55												
依	j	i	2	又讀	j	i	55												
漪	j	i	2		j	i	55												
倚	j	i	2		j	i	55												
椅	j	i	2		j	i	55												
嫗	j	i	2		j	i	55												
氧	j	iaak	5		j	iak	21												
養	j	iaak	5		j	iak	21												
藥	j	iaak	5		j	iak	21												
亦	j	iaak	6	白讀	j	iak	32												
躍	j	iaak	6		j	iak	32												
鑰	j	iaak	6		j	iak	32												
癢	j	iaak	1		j	iak	33												
約	j	iaak	2		j	iak	55												
徉	j	iaang	4		j	iaŋ	22												
揚	j	iaang	4		j	iaŋ	22												
楊	j	iaang	4		j	iaŋ	22												
洋	j	iaang	4		j	iaŋ	22												
烊	j	iaang	4		j	iaŋ	22												
瘍	j	iaang	4		j	iaŋ	22												
羊	j	iaang	4		j	iaŋ	22												
陽	j	iaang	4		j	iaŋ	22												
贏	j	iaang	4	白讀	j	iaŋ	22												
贏	j	eang	4	文讀	j	əŋ	22												
樣	j	iaang	6		j	iaŋ	32												
漾	j	iaang	6		j	iaŋ	32												
央	j	iaang	1		j	iaŋ	33												
殃	j	iaang	1		j	iaŋ	33												
秧	j	iaang	1		j	iaŋ	33												
鴦	j	iaang	1		j	iaŋ	33												
應	j	iaang	1	白讀	j	iaŋ	33												
應	j	eang	1	文讀	j	əŋ	33												
影	j	iaang	2	白讀	j	iaŋ	55												
映	j	iaang	2	白讀	j	iaŋ	55												
映	j	eang	2	文讀	j	əŋ	55												
淫	j	im	4		j	im	22												
霪	j	im	4		j	im	22												
瘖	j	im	1		j	im	33												
陰	j	im	1		j	im	33												
音	j	im	1		j	im	33												
蔭	j	im	1		j	im	33												
蚓	j	it	5		j	it	21												
寅	j	in	4		j	in	22												
恩	j	in	1		j	in	33												
咽	j	in	1		j	in	33												
咽	j	in	1		j	in	33												
嚥	j	in	1		j	in	33												
因	j	in	1		j	in	33												
姻	j	in	1		j	in	33												
殷	j	in	1		j	in	33												
茵	j	in	1		j	in	33												
印	j	in	1		j	in	33												
蔭	j	ip	5		j	ip	21												
入	j	ip	6		j	ip	32												
邑	j	ip	2		j	ip	55												
引	j	it	5		j	it	21												
癮	j	it	5		j	it	21												
隱	j	it	5		j	it	21												
液	j	it	6		j	it	32												
腋	j	it	6		j	it	32												
佚	j	it	6		j	it	32												
溢	j	it	6		j	it	32												
逸	j	it	6		j	it	32												
佾	j	it	6		j	it	32												
一	j	it	2		j	it	55												
壹	j	it	2		j	it	55												
咽	j	it	2	哽咽	j	it	55												
友	j	iu	5		j	iu	21												
有	j	iu	5		j	iu	21												
柚	j	iu	5		j	iu	21												
酉	j	iu	5		j	iu	21												
牖	j	iu	5		j	iu	21												
悠	j	iu	4		j	iu	22												
尤	j	iu	4		j	iu	22												
油	j	iu	4		j	iu	22												
游	j	iu	4		j	iu	22												
猶	j	iu	4		j	iu	22												
由	j	iu	4		j	iu	22												
疣	j	iu	4		j	iu	22												
遊	j	iu	4		j	iu	22												
郵	j	iu	4		j	iu	22												
鈾	j	iu	4		j	iu	22												
魷	j	iu	4		j	iu	22												
有	j	iu	6		j	iu	32												
佑	j	iu	6		j	iu	32												
又	j	iu	6		j	iu	32												
右	j	iu	6		j	iu	32												
祐	j	iu	6		j	iu	32												
誘	j	iu	6		j	iu	32												
優	j	iu	1		j	iu	33												
幽	j	iu	1		j	iu	33												
憂	j	iu	1		j	iu	33												
攸	j	iu	1		j	iu	33												
幼	j	iu	1		j	iu	33												
黝	j	iu	2		j	iu	55												
鉛	j	uon	4		j	uɔn	22												
丸	j	uon	4		j	uɔn	22												
完	j	uon	4		j	uɔn	22												
烷	j	uon	4		j	uɔn	22												
懸	j	uon	4		j	uɔn	22												
玄	j	uon	4		j	uɔn	22												
炫	j	uon	4		j	uɔn	22												
眩	j	uon	4		j	uɔn	22												
沿	j	uon	4		j	uɔn	22												
員	j	uon	4		j	uɔn	22												
園	j	uon	4		j	uɔn	22												
圓	j	uon	4		j	uɔn	22												
垣	j	uon	4		j	uɔn	22												
援	j	uon	4		j	uɔn	22												
猿	j	uon	4		j	uɔn	22												
緣	j	uon	4		j	uɔn	22												
袁	j	uon	4		j	uɔn	22												
轅	j	uon	4		j	uɔn	22												
湲	j	uon	4		j	uɔn	22												
縣	j	uon	6		j	uɔn	32												
遠	j	uon	6	離也	j	uɔn	32												
院	j	uon	6		j	uɔn	32												
冤	j	uon	1		j	uɔn	33												
淵	j	uon	1		j	uɔn	33												
鳶	j	uon	1		j	uɔn	33												
鴛	j	uon	1		j	uɔn	33												
怨	j	uon	1		j	uɔn	33												
遠	j	uon	2	遙遠也	j	uɔn	55												
苑	j	uon	2		j	uɔn	55												
說	j	uot	6		j	uɔt	32												
穴	j	uot	6		j	uɔt	32												
悅	j	uot	6		j	uɔt	32												
粵	j	uot	6		j	uɔt	32												
越	j	uot	6		j	uɔt	32												
閱	j	uot	6		j	uɔt	32												
曰	j	uot	6		j	uɔt	32												
乙	j	uot	2		j	uɔt	55												
銳	j	ui	6		j	ui	32												
裔	j	ui	6		j	ui	32												
釉	j	ui	6		j	ui	32												
勇	j	uk	5		j	ʊk	21												
谷	j	uk	6		j	ʊk	32												
辱	j	uk	6		j	ʊk	32												
褥	j	uk	6		j	ʊk	32												
慾	j	uk	6		j	ʊk	32												
欲	j	uk	6		j	ʊk	32												
浴	j	uk	6		j	ʊk	32												
育	j	uk	6		j	ʊk	32												
鬻	j	uk	6		j	ʊk	32												
峪	j	uk	6		j	ʊk	32												
沃	j	uk	2		j	ʊk	55												
旭	j	uk	2		j	ʊk	55												
昱	j	uk	2		j	ʊk	55												
郁	j	uk	2		j	ʊk	55												
燠	j	uk	2		j	ʊk	55												
容	j	ung	4		j	ʊŋ	22												
榕	j	ung	4		j	ʊŋ	22												
溶	j	ung	4		j	ʊŋ	22												
熔	j	ung	4		j	ʊŋ	22												
蓉	j	ung	4		j	ʊŋ	22												
融	j	ung	4		j	ʊŋ	22												
鎔	j	ung	4		j	ʊŋ	22												
傭	j	ung	4		j	ʊŋ	22												
庸	j	ung	4		j	ʊŋ	22												
佣	j	ung	4		j	ʊŋ	22												
用	j	ung	6		j	ʊŋ	32												
雍	j	ung	1		j	ʊŋ	33												
蓊	j	ung	1	又音	j	ʊŋ	33												
翁	j	ung	1		j	ʊŋ	33												
俑	j	ung	2		j	ʊŋ	55												
恿	j	ung	2		j	ʊŋ	55												
擁	j	ung	2		j	ʊŋ	55												
湧	j	ung	2		j	ʊŋ	55												
蛹	j	ung	2		j	ʊŋ	55												
踴	j	ung	2		j	ʊŋ	55												
蓊	j	ung	2		j	ʊŋ	55												
嗡	j	ung	2		j	ʊŋ	55												
架	g	aa	5		k	a	21												
架	g	aa	6		k	a	32												
瓜	g	aa	1		k	a	33												
卦	g	aa	1		k	a	33												
伽	g	aa	1		k	a	33												
伽	g	aa	1	瑜伽	k	a	33												
傢	g	aa	1		k	a	33												
加	g	aa	1		k	a	33												
嘉	g	aa	1		k	a	33												
家	g	aa	1		k	a	33												
枷	g	aa	1		k	a	33												
迦	g	aa	1		k	a	33												
假	g	aa	1	又音	k	a	33												
價	g	aa	1		k	a	33												
嫁	g	aa	1		k	a	33												
駕	g	aa	1		k	a	33												
咖	g	aa	1		k	a	33												
呱	g	aa	1		k	a	33												
嘎	g	aa	2		k	a	55												
寡	g	aa	2		k	a	55												
假	g	aa	2	假如	k	a	55												
賈	g	aa	2		k	a	55												
髻	g	aai	5		k	ai	21												
街	g	aai	5		k	ai	21												
尬	g	aai	1		k	ai	33												
怪	g	aai	1		k	ai	33												
雞	g	aai	1		k	ai	33												
繼	g	aai	1		k	ai	33												
計	g	aai	1		k	ai	33												
佳	g	aai	1		k	ai	33												
皆	g	aai	1		k	ai	33												
階	g	aai	1		k	ai	33												
介	g	aai	1		k	ai	33												
屆	g	aai	1		k	ai	33												
戒	g	aai	1		k	ai	33												
界	g	aai	1		k	ai	33												
芥	g	aai	1		k	ai	33												
誡	g	aai	1		k	ai	33												
楷	g	aai	1	楷書	k	ai	33												
偕	g	aai	1		k	ai	33												
乖	g	aai	1		k	ai	33												
解	g	aai	1		k	ai	33												
拐	g	aai	2		k	ai	55												
枴	g	aai	2		k	ai	55												
解	g	aai	2		k	ai	55												
格	g	aak	5		k	ak	21												
隔	g	aak	1		k	ak	33												
胳	g	aak	2		k	ak	55												
格	g	aak	2		k	ak	55												
革	g	aak	2		k	ak	55												
骼	g	aak	2		k	ak	55												
贛	g	aam	1		k	am	33												
尷	g	aam	1		k	am	33												
柑	g	aam	1		k	am	33												
甘	g	aam	1		k	am	33												
橄	g	aam	1		k	am	33												
監	g	aam	1		k	am	33												
緘	g	aam	1		k	am	33												
鑑	g	aam	1		k	am	33												
感	g	aam	2		k	am	55												
敢	g	aam	2		k	am	55												
減	g	aam	2		k	am	55												
關	g	aan	1		k	an	33												
慣	g	aan	1		k	an	33												
奸	g	aan	1		k	an	33												
姦	g	aan	1		k	an	33												
肩	g	aan	1	白讀	k	an	33												
艱	g	aan	1		k	an	33												
間	g	aan	1		k	an	33												
澗	g	aan	1		k	an	33												
諫	g	aan	1		k	an	33												
綸	g	aan	1		k	an	33												
揀	g	aan	2		k	an	55												
簡	g	aan	2		k	an	55												
繭	g	aan	2		k	an	55												
鹼	g	aan	2		k	an	55												
逛	g	aang	6		k	aŋ	32												
庚	g	aang	1		k	aŋ	33												
羹	g	aang	1		k	aŋ	33												
耕	g	aang	1		k	aŋ	33												
更	g	aang	1		k	aŋ	33												
更	g	aang	1		k	aŋ	33												
轟	g	aang	1		k	aŋ	33												
亙	g	aang	2		k	aŋ	55												
哽	g	aang	2		k	aŋ	55												
埂	g	aang	2		k	aŋ	55												
梗	g	aang	2		k	aŋ	55												
耿	g	aang	2		k	aŋ	55												
合	g	aap	5		k	ap	21												
甲	g	aap	5		k	ap	21												
夾	g	aap	6	動詞	k	ap	32												
胳	g	aap	1	胳肋	k	ap	33												
夾	g	aap	1		k	ap	33												
舺	g	aap	1		k	ap	33												
莢	g	aap	1		k	ap	33												
頰	g	aap	1		k	ap	33												
甲	g	aap	1		k	ap	33												
蛤	g	aap	2		k	ap	55												
刮	g	aat	1		k	at	33												
颳	g	aat	1		k	at	33												
頡	g	aat	1		k	at	33												
聒	g	aat	2		k	at	55												
括	g	aat	2		k	at	55												
勾	g	aau	5	勾眼	k	au	21												
夠	g	aau	1		k	au	33												
交	g	aau	1		k	au	33												
膠	g	aau	1		k	au	33												
蛟	g	aau	1		k	au	33												
跤	g	aau	1		k	au	33												
郊	g	aau	1		k	au	33												
教	g	aau	1		k	au	33												
窖	g	aau	1		k	au	33												
較	g	aau	1		k	au	33												
鳩	g	aau	1		k	au	33												
覺	g	aau	1	瞓覺	k	au	33												
覺	g	aau	1		k	au	33												
校	g	aau	1		k	au	33												
搞	g	aau	2		k	au	55												
枸	g	aau	2		k	au	55												
狗	g	aau	2		k	au	55												
苟	g	aau	2		k	au	55												
垢	g	aau	2		k	au	55												
攪	g	aau	2		k	au	55												
狡	g	aau	2		k	au	55												
皎	g	aau	2		k	au	55												
絞	g	aau	2		k	au	55												
餃	g	aau	2		k	au	55												
篙	g	o	5		k	ɔ	21												
篙	g	o	1	又讀	k	ɔ	33												
糕	g	o	1		k	ɔ	33												
羔	g	o	1		k	ɔ	33												
膏	g	o	1		k	ɔ	33												
高	g	o	1		k	ɔ	33												
告	g	o	1		k	ɔ	33												
睾	g	o	1		k	ɔ	33												
稿	g	o	2		k	ɔ	55												
岡	g	ok	5		k	ɔk	21												
鋼	g	ok	5		k	ɔk	21												
崗	g	ok	5		k	ɔk	21												
角	g	ok	5	物體兩端交接之處	k	ɔk	21												
擱	g	ok	1		k	ɔk	33												
角	g	ok	1		k	ɔk	33												
咯	g	ok	1		k	ɔk	33												
閣	g	ok	2		k	ɔk	55												
各	g	ok	2		k	ɔk	55												
國	g	ok	2		k	ɔk	55												
閤	g	ok	2		k	ɔk	55												
覺	g	ok	2		k	ɔk	55												
逛	g	ong	6	又讀	k	ɔŋ	32												
剛	g	ong	1		k	ɔŋ	33												
岡	g	ong	1		k	ɔŋ	33												
綱	g	ong	1		k	ɔŋ	33												
缸	g	ong	1		k	ɔŋ	33												
肛	g	ong	1		k	ɔŋ	33												
鋼	g	ong	1		k	ɔŋ	33												
崗	g	ong	1		k	ɔŋ	33												
光	g	ong	1		k	ɔŋ	33												
胱	g	ong	1		k	ɔŋ	33												
江	g	ong	1		k	ɔŋ	33												
降	g	ong	1		k	ɔŋ	33												
廣	g	ong	2		k	ɔŋ	55												
講	g	ong	2		k	ɔŋ	55												
過	g	ea	1		k	ə	33												
嘅	g	ea	1		k	ə	33												
渦	g	ea	1		k	ə	33												
果	g	ea	2		k	ə	55												
粿	g	ea	2		k	ə	55												
裹	g	ea	2		k	ə	55												
蓋	g	eai	5	所以覆物者	k	əi	21												
基	g	eai	5		k	əi	21												
箕	g	eai	5		k	əi	21												
機	g	eai	6		k	əi	32												
妓	g	eai	6		k	əi	32												
忌	g	eai	6		k	əi	32												
技	g	eai	6		k	əi	32												
几	g	eai	1		k	əi	33												
嘰	g	eai	1	哗叽	k	əi	33												
基	g	eai	1		k	əi	33												
姬	g	eai	1		k	əi	33												
朞	g	eai	1		k	əi	33												
犄	g	eai	1		k	əi	33												
磯	g	eai	1		k	əi	33												
肌	g	eai	1		k	əi	33												
譏	g	eai	1		k	əi	33												
飢	g	eai	1		k	əi	33												
饑	g	eai	1		k	əi	33												
幾	g	eai	1		k	əi	33												
寄	g	eai	1		k	əi	33												
既	g	eai	1		k	əi	33												
暨	g	eai	1		k	əi	33												
記	g	eai	1		k	əi	33												
期	g	eai	1		k	əi	33												
奇	g	eai	1		k	əi	33												
嘰	g	eai	2		k	əi	55												
畸	g	eai	2		k	əi	55												
己	g	eai	2		k	əi	55												
幾	g	eai	2		k	əi	55												
紀	g	eai	2		k	əi	55												
杞	g	eai	2		k	əi	55												
極	g	eak	6		k	ək	32												
亟	g	eak	6	亟需	k	ək	32												
激	g	eak	2		k	ək	55												
擊	g	eak	2		k	ək	55												
今	g	eam	1		k	əm	33												
金	g	eam	1		k	əm	33												
錦	g	eam	2		k	əm	55												
近	g	ean	6	文讀	k	ən	32												
干	g	ean	1		k	ən	33												
杆	g	ean	1		k	ən	33												
竿	g	ean	1		k	ən	33												
肝	g	ean	1		k	ən	33												
桿	g	ean	1		k	ən	33												
幹	g	ean	1		k	ən	33												
根	g	ean	1		k	ən	33												
跟	g	ean	1		k	ən	33												
倌	g	ean	1		k	ən	33												
冠	g	ean	1		k	ən	33												
官	g	ean	1		k	ən	33												
棺	g	ean	1		k	ən	33												
觀	g	ean	1		k	ən	33												
觀	g	ean	1		k	ən	33												
灌	g	ean	1		k	ən	33												
貫	g	ean	1		k	ən	33												
鸛	g	ean	1		k	ən	33												
巾	g	ean	1		k	ən	33												
斤	g	ean	1		k	ən	33												
筋	g	ean	1		k	ən	33												
觔	g	ean	1		k	ən	33												
乾	g	ean	1		k	ən	33												
稈	g	ean	2		k	ən	55												
趕	g	ean	2		k	ən	55												
管	g	ean	2		k	ən	55												
館	g	ean	2		k	ən	55												
僅	g	ean	2		k	ən	55												
槿	g	ean	2		k	ən	55												
瑾	g	ean	2		k	ən	55												
緊	g	ean	2		k	ən	55												
菫	g	ean	2		k	ən	55												
謹	g	ean	2		k	ən	55												
莖	g	eang	6		k	əŋ	32												
勁	g	eang	6		k	əŋ	32												
徑	g	eang	6		k	əŋ	32												
竟	g	eang	6		k	əŋ	32												
競	g	eang	6		k	əŋ	32												
京	g	eang	1		k	əŋ	33												
兢	g	eang	1		k	əŋ	33												
矜	g	eang	1		k	əŋ	33												
涇	g	eang	1		k	əŋ	33												
經	g	eang	1		k	əŋ	33												
荊	g	eang	1		k	əŋ	33												
驚	g	eang	1	文讀	k	əŋ	33												
敬	g	eang	1		k	əŋ	33												
逕	g	eang	1		k	əŋ	33												
憬	g	eang	2		k	əŋ	55												
景	g	eang	2		k	əŋ	55												
警	g	eang	2		k	əŋ	55												
境	g	eang	2		k	əŋ	55												
炯	g	eang	2		k	əŋ	55												
迥	g	eang	2		k	əŋ	55												
今	g	eap	5	今mət³³，即今日	k	əp	21												
急	g	eap	2		k	əp	55												
罐	g	eat	5		k	ət	21												
乾	g	eat	5		k	ət	21												
割	g	eat	1		k	ət	33												
吉	g	eat	2		k	ət	55												
棘	g	eat	2		k	ət	55												
桔	g	eat	2		k	ət	55												
舊	g	eau	6		k	əu	32												
究	g	eau	1		k	əu	33												
灸	g	eau	1		k	əu	33												
咎	g	eau	1		k	əu	33												
救	g	eau	1		k	əu	33												
疚	g	eau	1		k	əu	33												
久	g	eau	2		k	əu	55												
九	g	eau	2		k	əu	55												
玖	g	eau	2		k	əu	55												
韭	g	eau	2		k	əu	55												
罐	g	iaak	5		k	iak	21												
腳	g	iaak	1		k	iak	33												
強	g	iaang	6		k	iaŋ	32												
僵	g	iaang	1		k	iaŋ	33												
姜	g	iaang	1		k	iaŋ	33												
疆	g	iaang	1		k	iaŋ	33												
薑	g	iaang	1		k	iaŋ	33												
韁	g	iaang	1		k	iaŋ	33												
驚	g	iaang	1	白讀	k	iaŋ	33												
鏡	g	iaang	1		k	iaŋ	33												
羌	g	iaang	1		k	iaŋ	33												
頸	g	iaang	2		k	iaŋ	55												
儉	g	im	6		k	im	32												
瞼	g	im	6		k	im	32												
兼	g	im	1		k	im	33												
劍	g	im	1		k	im	33												
撿	g	im	2		k	im	55												
檢	g	im	2		k	im	55												
件	g	in	6		k	in	32												
健	g	in	6		k	in	32												
毽	g	in	6		k	in	32												
鍵	g	in	6		k	in	32												
倦	g	in	6		k	in	32												
圈	g	in	6		k	in	32												
堅	g	in	1		k	in	33												
肩	g	in	1	文讀	k	in	33												
建	g	in	1		k	in	33												
見	g	in	1		k	in	33												
娟	g	in	1		k	in	33												
捐	g	in	1		k	in	33												
涓	g	in	1		k	in	33												
鵑	g	in	1		k	in	33												
眷	g	in	1		k	in	33												
絹	g	in	1		k	in	33												
捲	g	in	2		k	in	55												
卷	g	in	2		k	in	55												
卷	g	in	2		k	in	55												
