序号	例字	注释	古晋	揭西
939	陶		tʰo24	tʰau24
940	萄		tʰo24	tʰou24
941	濤			tʰau44
942	稻		tʰo31	tʰo31
943	道		tʰo31	tʰou31
944	導		to31	tʰou31
945	盗		tʰo31	tou52
946	腦		no31	nou31
947	勞		lo24	lou24
948	撈		leu24	leu24
949	牢		lo24	kam44
950	嘮		lau44	lau44
951	癆		lo24	lou24
952	老		lo31	lou31
953	姥		lo31	lou31
954	糟		ʦau44	ʦou44
955	遭		ʦau44	ʦau44
956	早		ʧo44	ʧau44
957	棗		ʦo31	ʦou31
958	操		ʦʰau44	ʦʰau44
959	草		ʦʰo31	ʦʰou31
960	糙		ʦʰo52	ʦʰau52
961	曹		ʦʰau24	ʦʰau24
962	槽		ʦʰo24	ʦʰou24
963	造		ʦʰo31	ʦʰou31
964	騷		sau44	sau44
965	臊		sau44	sou44
966	嫂		so31	sou31
967	掃		so52	sou52
968	燥			
969	掃		so52	sou52
970	高		ko44	kou44
971	膏		kau44	kau44
972	篙		ko44	kou44
973	糕			kou44
974	羔			kou44
975	稿		kau31	kau31
976	告		ko52	ko52
977	膏		kau44	kau44
978	考		kʰau31	kʰau31
979	烤		kʰau31	kʰau31
980	拷		kʰau31	kʰau31
981	靠		kʰau52	kʰau52
982	犒			kʰau52
983	熬		ŋau24	au24
984	傲		ŋau31	ŋau31
985	蒿			hau44
986	薅			hau44
987	好		ho31	hou31
988	耗		hau52	hau52
989	毫		hau24	hau24
990	豪		hau24	hau24
991	號		ho31	hou31
992	號		ho31	hou31
993	奥		o52	ou52
994	澳		o52	ou52
995	包		pau44	pau44
996	胞		pau44	pau44
997	飽		pau31	pau31
998	豹		pau52	pau52
999	爆		pau52	pau52
1000	泡		pʰau52	pʰau52
1001	抛		pʰau44	pʰau44
1002	泡		pʰau52	pʰau52
1003	炮		pʰau52	pʰau52
1004	跑		ʦeu31	ʦeu31
1005	刨		pʰau44	pʰau44
1006	鮑		pau44	pau44
1007	鉋		pʰau24	pʰau24
1008	貓		miau52	miau52
1009	茅		mau24	mau24
1010	錨		mau24	mau24
1011	卯		mau44	mau44
1012	貌		mau31	mau31
1013	閙		nau31	nau31
1014	罩		ʦau52	ʦau52
1015	爪		ʦau31	ʦau31
1016	找		ʦau31	ʦau31
1017	抄		ʦʰau44	ʦʰau44
1018	鈔		ʧʰau44	ʦʰau44
1019	炒		ʦʰau31	ʦʰau31
1020	巢		ʦʰau24	ʦʰau24
1021	交		kau44	kau44
1022	膠		kau44	kau44
1023	郊		kau44	kau44
1024	教		kau44	kau44
1025	茭			kau44
1026	狡			kau31
1027	搞		kau31	kau31
1028	攪		kau31	kau31
1029	教		kau52	kau52
1030	較			kau31
1031	酵		kau52	hau44
1032	校		kau31	kau52
1033	敲		kʰau52	kʰau52
1034	骹			kiok2
1035	咬		ŋau44	ŋau44
1036	孝		hau52	hau52
1037	校		kau31	kau31
1038	校		kau31	kau31
1039	效		hau31	hau31
1040	標		pʰiau44	piau44
1041	表		piau31	piau31
1042	錶		piau44	piau44
1043	飄		pʰiau44	pʰiau44
1044	漂		pʰiau31	pʰiau31
1045	票		pʰiau52	pʰiau52
1046	嫖		pʰiau24	pʰiau24
1047	鰾		pʰiau52	pʰiau52
1048	貓		miau52	miau52
1049	苗		miau24	miau24
1050	描		miau24	miau44
1051	秒		miau31	miau31
1052	渺		miau24	miau24
1053	廟		miau31	miau31
1054	妙		miau52	miau52
1055	燎			liau24
1056	療		liau24	liau24
1057	焦		ʦiau44	ʦiau44
1058	蕉		ʦiau44	ʦiau44
1059	椒		ʦiau44	ʦiau44
1060	剿			ʦiau31
1061	樵		ʦʰiau24	ʦʰiau24
1062	消		siau44	siau44
1063	宵		siau44	siau44
1064	霄		siau44	siau44
1065	硝			siau44
1066	銷		siau44	siau44
1067	小		se52	sei52
1068	逍		siau44	siau44
1069	笑		siau52	siau52
1070	朝		ʧau44	ʧau44
1071	超		ʧʰau44	ʧʰau44
1072	潮		ʧʰau24	ʧʰau24
1073	朝		ʧʰau24	ʧʰau24
1074	趙		ʧʰau31	ʧʰau31
1075	兆			ʧʰau31
1076	召		ʧʰau31	ʧau44
1077	昭		ʧau44	ʧau44
1078	招		ʧau44	ʧau44
1079	沼		ʧau44	ʧau44
1080	照		ʧau52	ʧau52
1081	燒		ʃau44	ʃau44
1082	少		ʃau31	ʃau31
1083	少		ʃau52	ʃau52
1084	韶			ʃau24
1085	紹		ʃau52	ʃau52
1086	邵		ʃau52	ʃau52
1087	擾			ʒau44
1088	驕		kiau44	kiau44
1089	嬌		kiau44	kiau44
1090	僑		kʰiau24	kʰiau24
1091	橋		kʰiau24	kʰiau24
1092	喬		kʰiau24	kʰiau24
1093	翹		kʰiau52	kʰiau52
1094	轎		kʰiau31	kʰiau31
1095	囂		siau44	siau44
1096	妖		ʒau44	ʒiau44
1097	邀		ʒau44	ʒau44
1098	腰		ʒau44	ʒau44
1099	要		ʒau44	ʒau44
1100	夭		ʒau44	ʒau44
1101	要		ʒau52	ʒau52
1102	摇		ʒau24	ʒau24
1103	謡		ʒau24	ʒau24
1104	姚		ʒau24	ŋiau24
1105	窑			ʒau24
1106	舀		ʒau31	ʒau31
1107	遥		ʒau24	ʒau24
1108	刁		tiau44	tiau44
1109	雕		tiau44	tiau44
1110	貂			tiau44
1111	凋			tiau44
1112	鳥		tiau44	tiau44
1113	吊		tiau52	tiau52
1114	釣		tiau52	tiau52
1115	挑		tʰiau44	tʰiau44
1116	跳		tʰiau52	tʰiau52
1117	條		tʰiau24	tʰiau24
1118	調		tʰiau24	tʰiau24
1119	跳		tʰiau52	tʰiau52
1120	調		tiau52	tʰiau52
1121	掉		tʰet2	tʰet2
1122	調		tiau52	tʰiau31
1123	尿		ŋiau31	ŋiau31
1124	遼			liau24
1125	聊		liau24	liau24
1126	寥			liau24
1127	廖		liau52	liau31
1128	了		liau31	liau31
1129	瞭			liau24
1130	僚			liau24
1131	料		liau31	liau31
1132	鐐			liau52
1133	蕭		siau44	siau44
1134	簫		siau44	siau44
1135	繳			kau44
1136	叫		kiau52	kiau52
1137	撬		kʰiau31	kʰiau31
1138	竅		kʰiau52	kʰiau52
1139	堯			ʒau24
1140	曉		hiau31	hiau31
1141	吆			ʒau44
1142	剖		pʰo44	pʰou44
1143	某		meu44	meu44
1144	畝			meu31
1145	牡			meu31
1146	拇			mu44
1147	戊			vu52
1148	貿		mau52	meu52
1149	斗		teu31	teu52
1150	偷		tʰeu44	tʰeu44
1151	透		tʰeu52	tʰeu52
1152	頭		tʰeu24	tʰeu24
1153	投		tʰeu24	tʰeu24
1154	豆		tʰeu31	tʰeu31
1155	痘		tʰeu31	tʰeu31
1156	逗			tʰeu52
1157	樓		leu24	leu24
1158	漏		leu31	leu31
1159	走		ʦeu31	haŋ24
1160	奏			ʦeu52
1161	凑		ʦʰeu52	ʦʰeu52
1162	嗽		ʦʰuk2	ʦʰuk2
1163	勾		kieu44	kieu44
1164	鈎		kieu44	kieu44
1165	溝		kieu44	kieu44
1166	狗		kieu31	kieu31
1167	够		kieu52	kieu52
1168	構		kieu52	kieu52
1169	購		kieu52	kieu52
1170	勾		kieu44	
1171	摳		kʰieu52	kʰieu52
1172	口		kʰieu31	kʰieu31
1173	扣		kʰieu52	kʰieu52
1174	寇		kʰieu52	kʰieu52
1175	藕		ŋieu31	ŋieu31
1176	偶			ŋieu31
1177	偶			ŋieu31
1178	侯		heu24	heu24
1179	喉		heu24	heu24
1180	猴		heu24	heu24
1181	后		heu24	heu24
1182	厚		heu24	heu24
1183	後		heu24	heu24
1184	歐		eu44	eu44
1185	甌			eu44
1186	區			eu44
1187	嘔		eu31	
1188	毆			eu44
1189	漚		eu52	
1190	否			feu31
1191	不		m24	m24
1192	富		fu52	fu52
1193	副		fu52	fu52
1194	浮		feu24	feu24
1195	負		fu52	fu52
1196	婦		fu52	fu31
1197	復		fu52	fu52
1198	謀		meu24	meu24
1199	矛			mau24
1200	紐		niu31	neu31
1201	流		liu24	liu24
1202	留		liu24	liu24
1203	劉		liu24	liu24
1204	榴		liu24	liu24
1205	琉		liu24	liu24
1206	硫		liu24	liu24
1207	柳		liu31	liu31
1208	溜		liu44	liu44
1209	餾		liu24	liu24
1210	酒		ʦiu31	ʦiu31
1211	秋		ʦʰiu44	ʦʰiu44
1212	鰍		ʦʰiu44	
1213	就		ʦiu31	ʦiu52
1214	修		siu44	siu44
1215	秀		siu52	siu52
1216	繡		siu52	siu52
1217	銹		lu44	lu44
1218	囚		kʰiu24	kʰiu24
1219	泅		ʦʰiu24	ʦʰiu24
1220	袖		ʦʰiu31	ʦʰiu31
1221	肘		ʦaŋ44	ʦaŋ44
1222	晝		ʦiu52	ʦiu52
1223	抽		ʦʰiu44	ʦʰiu44
1224	丑		ʦʰiu31	ʦʰiu31
1225	綢		ʦʰiu24	ʦʰiu24
1226	稠		ʦʰiu24	
1227	籌		ʦʰiu24	ʦʰiu24
1228	紂		ʦʰiu52	
1229	宙		ʦʰiu31	
1230	鄒		ʦeu44	
1231	皺		ʧiu52	ʧiu52
1232	搜		seu44	seu44
1233	飕		seu44	
1234	餿		ʧʰiu52	
1235	蒐		seu44	seu44
1236	瘦		seu52	seu52
1237	漱		loŋ44	loŋ44
1238	周		ʧiu44	ʧiu44
1239	舟		ʧiu44	
1240	州		ʧiu44	ʧiu44
1241	洲		ʧiu44	ʧiu44
1242	週		ʧiu44	ʧiu44
1243	咒		ʧiu52	ʧiu52
1244	醜		ʧiei31	ʧie31
1245	臭		ʧʰiu52	ʧʰiu52
1246	收		ʃiu44	ʃiu44
1247	手		ʃiu31	ʃiu31
1248	首		ʃiu31	ʃiu31
1249	獸		ʧʰiu52	ʧʰiu52
1250	酬		ʧʰiu24	ʧʰiu24
1251	仇		ʧʰiu24	ʧʰiu24
1252	受		ʃiu31	ʃiu31
1253	壽		ʃiu31	ʃiu31
1254	授		ʃiu31	ʃiu31
1255	售		ʃiu31	ʃiu31
1256	柔		ʒiu24	ʒiu24
1257	揉		no24	nou24
1258	鳩			kiu44
1259	鬮			kiu44
1260	糾		kiu44	kiu44
1261	九		kiu31	kiu31
1262	久		kiu31	kiu31
1263	韭		kiu31	kiu31
1264	灸		ʦiu52	kiu52
1265	救		kiu52	kiu52
1266	究		kiu52	kiu44
1267	丘		kʰiu44	kʰiu44
1268	求		kʰiu24	kʰiu24
1269	球		kʰiu24	kʰiu24
1270	仇		ʦʰiu24	ʦʰiu24
1271	臼			kʰiu44
1272	舅		kʰiu44	kʰiu44
1273	舊		kʰiu31	kʰiu31
1274	牛		ŋieu24	ŋieu24
1275	休		siu44	hiu44
1276	朽		siu	siu
1277	優		ʒiu44	ʒiu44
1278	憂		ʒiu44	ʒiu44
1279	尤		ʒiu24	ʒiu24
1280	郵		ʒiu24	ʒiu24
1281	有		ʒiu44	ʒiu44
1282	友		ʒiu44	ʒiu44
1283	又		ʒiu52	ʒiu31
1284	右		ʒiu31	ʒiu31
1285	祐		ʒiu31	ʒiu31
1286	由		ʒiu24	ʒiu24
1287	油		ʒiu24	ʒiu24
1288	游		ʒiu24	ʒiu24
1289	猶			ʒiu24
1290	悠			ʒiu44
1291	酉			ʒiu31
1292	誘		ʒiu52	ʒiu31
1293	柚		ʒiu31	ʒiu31
1294	彪			piau44
1295	丢		tiu44	ou31
1296	糾		kiu44	kiu44
1297	幽		ʒiu44	ʒiu44
1298	幼		ʒiu31	ʒiu52
1299	耽		tam44	tam44
1300	搭		tap2	tap2
1301	答		tap2	tap2
1302	貪		tʰam44	tʰam44
1303	探		tʰam52	tʰam52
1304	踏		tʰap2	tʰap2
1305	潭			tʰam24
1306	谭		tʰam24	tʰam24
1307	沓		tʰiap5	tʰiap5
1308	南		nam24	nam24
1309	男		nam24	nam24
1310	納			nap5
1311	拉		lai44	lai44
1312	參		ʦʰam44	ʦʰam44
1313	慘		ʦʰam31	ʦʰam31
1314	蠶		ʦʰam24	ʦʰam24
1315	雜		ʦʰap5	ʦʰap5
1316	感		kam31	kam31
1317	蛤		ham44	ham44
1318	合		hap5	hap5
1319	鴿			kot2
1320	堪			kʰam44
1321	砍		kʰam31	kʰam31
1322	勘			kʰam44
1323	喝		ʒim31	ʃit5
1324	含		ham24	ham24
1325	函		hon24	ham24
1326	撼			ham31
1327	憾			ham31
1328	合		hap5	hap5
1329	盒		hap5	hap5
1330	庵		am44	on44
1331	揞		ŋien31	ŋien44
1332	擔		tam44	tam44
1333	膽		tam31	tam31
1334	擔		tam44	tam44
1335	坍		tʰet5	tʰat5
1336	塔		tʰap2	tʰap2
1337	塌		tʰap2	tʰap2
1338	談		tʰam24	tʰam24
1339	痰		tʰam24	tʰam24
1340	淡		tʰam44	tʰam44
1341	藍		lam24	lam24
1342	籃		lam24	lam24
1343	覽			lam31
1344	攬		lam31	lam31
1345	欖		lam31	lam31
1346	纜			sok2
1347	臘		lat5	lat5
1348	蠟		lat5	lat5
1349	镴			lat5
1350	慚			ʦʰan24
1351	暫		ʦʰiam24	ʦʰiam24
1352	三		sam44	sam44
1353	甘		kam44	kam44
1354	柑		kam44	kam44
1355	泔		ʧip2	kam44
1356	敢		kam31	kam31
1357	橄		ka44	kam31
1358	蚶		ham44	
1359	喊		ham52	sei44
1360	酣			ham44
1361	站		kʰi44	kʰi44
1362	賺		ʦʰon31	ʦʰon31
1363	站		ʦʰam31	ʦʰam31
1364	斬		ʦam31	ʦam31
1365	蘸		ʦiam31	ʦiam31
1366	眨		ŋiap5	sap2
1367	插		hap2	ʦʰap2
1368	閘			ʦap2
1369	煠		ʦa52	ʦa52
1370	杉			sam44
1371	尷			kam44
1372	减		kam31	kam31
1373	鹼			kiam31
1374	夾		kiap5	kiap5
1375	掐		ŋien31	ʦok2
1376	恰		kʰiap5	kʰap2
1377	喊		hem44	sei44
1378	鹹		ham24	ham24
1379	咸			ham24
1380	陷		ham24	
1381	餡		li31	a44
1382	狹		kʰiap52	hap5
1383	峽		kʰiap52	
1384	攙		pʰu24	pʰu24
1385	懺			
1386	衫		sam44	sam44
1387	監		kam44	kam44
1388	鑑		kam52	
1389	監			kam44
1390	甲		kap2	kap2
1391	巖		ʒam24	ŋam24
1392	銜		ham24	ham24
1393	艦		kam52	
1394	檻		kiam44	kiam44
1395	匣		hap5	
1396	鴨		ap2	ap2
1397	押		ap2	ap2
1398	壓		ap2	ap2
1399	貶		pien31	
1400	黏			niam24
1401	鑷		kʰiam24	kiap5
1402	廉		liam24	liam24
1403	鐮		liam24	liam24
1404	簾		liam24	liam24
1405	斂		liam24	
1406	殮		lien31	liaŋ31
1407	獵		liap5	liap5
1408	尖		ʦiam44	ʦiam44
1409	接		ʦiap2	ʦiap2
1410	籤		ʦʰiam44	ʦʰiam44
1411	簽		ʦʰiam44	ʦʰiam44
1412	潛		ʦʰiam24	mi31
1413	漸		ʦʰiam24	
1414	捷		ʦʰiap5	ʦʰiap5
1415	沾		ʧam44	
1416	粘		ʧam44	niam24
1417	瞻		ʧam44	
1418	占		ʧam44	ʧam52
1419	佔		ʧam52	ʧam52
1420	摺		ʧap2	ʧap2
1421	褶		ʧap2	ʧiu52
1422	閃		ʃam31	ʃam31
1423	攝		ŋiep52	
1424	染		ŋiam31	ŋiam31
1425	檢		kiam31	kiam31
1426	臉		mien52	mien52
1427	鉗		kʰiam24	kʰiam24
1428	儉		kiam31	kiam31
1429	驗		ŋiam31	ŋiam31
1430	險		hiam31	hiam31
1431	淹		ʦim52	ʦim52
1432	閹		ʒam44	ʒam44
1433	掩			ʒam31
1434	厭		ʒam52	ʒam52
1435	炎		ŋam24	ʒam24
1436	鹽		ʒam24	ʒam24
1437	閻		ŋiam24	ʒam24
1438	檐		ʒam24	ʒam24
1439	豔			ʒam31
1440	鹽		ʒam24	ʒam44
1441	葉		ʒap5	ʒap5
1442	頁		ʒap5	ʒap5
1443	劍		kiam52	kiam52
1444	劫		kiap2	kiap2
1445	欠		kʰiam52	kʰiam52
1446	怯			kiaŋ44
1447	嚴		ŋiam24	ŋiam24
1448	釅		ŋiam24	ŋiam24
1449	業		ŋiap5	ŋiap5
1450	脅		hiap5	hiap5
1451	醃		ʒam44	ʒam44
1452	腌		ʒam44	ʒam44
1453	點		tiam31	tit5
1454	踮		nen52	nen52
1455	店		tiam52	tiam52
1456	跌		tiet2	tiet2
1457	添		tʰiam44	tʰiam44
1458	舔			ʃe31
1459	帖		tʰiap2	tʰiap2
1460	貼		tʰiap2	tʰiap2
1461	甜		tʰiam24	tʰiam24
1462	疊		tʰiap5	
1463	碟		tʰiap5	tʰiap5
1464	牒			tʰiap5
1465	蝶		tʰiap5	tʰiap5
1466	諜			tʰiap5
1467	鮎		nian24	nian24
1468	拈		niam44	niam44
1469	念		niam31	niam31
1470	廿		ŋi31ʃip5	ŋi31ʃip5
1471	兼		kiam44	kiam44
1472	搛		kiap2	kiap2
1473	挾		kiap2	kiap2
1474	莢			kʰiap25
1475	謙		kʰiam44	kʰiam44
1476	歉		kʰiam52	kʰiap2
1477	嫌		hiam24	hiam24
1478	協		hiap5	hiap5
1479	法		fap2	fap2
1480	泛			fan52
1481	凡		fan24	fan24
1482	帆		fan24	fan44
1483	範		fan52	fan52
1484	范		fan52	fan52
1485	犯		fan31	fan31
1486	梵			fan24
1487	品		pʰin31	pʰin31
1488	林		lim24	lim24
1489	淋		lim24	lim24
1490	臨		lim24	lim24
1491	立		lip5	lit5
1492	笠		lit5	lit5
1493	粒		liap5	kai52
1494	浸		ʦim52	ʦim52
1495	侵			ʦʰim44
1496	集		ʦʰip5	ʦʰip5
1497	輯		kʰip2	ʦʰip5
1498	心		sim44	sim44
1499	芯		sim44	sim44
1500	尋		ʦʰim24	ʦʰim24
1501	習		sip5	sip5
1502	襲			sip5
1503	沉		ʧʰim24	ʧʰim24
1504	森		san44 pa44	sem44
1505	參		sem44	sem44
1506	滲			sem52
1507	澀		sep	sep
1508	針		ʧim44	ʧim44
1509	斟		to31	t31
1510	枕		ʧim31	ʧim31
1511	枕		ʧim31	ʧim31
1512	執			ʧip2
1513	汁		ʧip2	ʧip2
1514	深		ʧʰim44	ʧʰim44
1515	沈		ʃim31	ʃim31
1516	嬸		ʃim31	ʃim31
1517	審		ʃim31	ʃim31
1518	濕		ʃip2	ʃip2
1519	甚			ʃin31
1520	十		ʃip5	ʃip5
1521	什			ʃin24
1522	拾			kiam31
1523	任		ŋim24	ŋim24
1524	任		ŋim24	ŋim24
1525	入		ŋip5	ŋip5
1526	今		kin44	kim44
1527	金		kim44	kim44
1528	禁		kim52	
1529	錦		kim31	kim31
1530	禁		kim52	kim52
1531	急		kip2	kip2
1532	級		kʰip2	kʰip2
1533	給		pun44	pun44
1534	欽			kʰin44
1535	撳		kʰim31	
1536	琴		kʰim24	kʰim24
1537	禽		kʰim24	kʰim24
1538	擒			kʰim24
1539	妗		kʰiu44	kʰiu44
1540	及		kʰip5	kʰip5
1541	吸		ʦiot5	kʰip2
1542	音		ʒim44	ʒim44
1543	陰		ʒim44	ʒim44
1544	飲		ʒim31	ʒim31
1545	陰		ʒim44	ʒim44
1546	淫			ʒim24
1547	丹		tan44	tan44
1548	單		tan44	tan44
1549	疸		tam31	tam31
1550	旦		tan52	tan52
1551	灘		taʰan44	taʰan44
1552	攤		taʰan44	taʰan44
1553	癱		taʰan44	taʰan44
1554	坦			taʰan31
1555	炭		taʰan52	taʰan52
1556	檀			tʰan24
1557	壇		tʰan24	tʰan24
1558	彈		tʰan24	tʰan24
1559	誕			tan52
1560	但		tʰan31	tan31
1561	蛋		ʦʰun44	tan31
1562	達		tʰap5	tʰat5
1563	難		nan24	nan24
1564	難		nan24	nan24
1565	捺			nai52
1566	蘭		lam24	lan24
1567	攔		lan24	lan24
1568	欄		lan24	lan24
1569	懶		lan44	lan44
1570	爛		lan31	lan31
1571	辣		lat5	lat5
1572	贊		ʦan52	ʦan52
1573	餐		ʦʰon44	ʦʰon44
1574	燦			ʦʰan52
1575	擦		ʦʰut5	ʦʰut5
1576	殘		ʦʰan24	ʦʰan24
1577	珊			san44
1578	散		san52	san52
1579	傘		ʧa44	ʧa44
1580	散		san52	san52
1581	撒			sa31
1582	薩		sa31	sa31
1583	干		kon44	kon44
1584	乾		kon44	kon44
1585	肝		kon44	kon44
1586	竿		kon44	kon44
1587	桿		kon44	kon44
1588	擀			kon31
1589	幹		kon52	kon52
1590	割		kot2	kot2
1591	葛			kot2
1592	看		kʰon52	kʰon52
1593	刊		kʰon44	kʰon44
1594	看		kʰon52	kʰon52
1595	渴		kʰot2	kʰot2
1596	岸		on52	on52
1597	鼾		hon44	
1598	罕		hon31	hon31
1599	漢		hon52	hon52
1600	寒		hon24	hon24
1601	韓		hon24	hon24
1602	旱		hon52	hon52
1603	捍		hon52	hon52
1604	汗		hon31	hon31
1605	銲		hon31	hon52
1606	翰			hon52
1607	安		on44	on44
1608	鞍			on44
1609	按		on52	on52
1610	案		on52	on52
1611	扮		pan52	pan52
1612	八		pat2	pat2
1613	盼		pʰan52	pʰan52
1614	辦		pʰan31	pʰan31
1615	拔		paŋ44	pʰat5
1616	抹		mat2	mat2
1617	盞		ʦan31	
1618	鏟		ʦʰan31	ʦʰan31
1619	察			ʦʰat2
1620	山		san44	san44
1621	産		ʦʰan31	ʦʰan31
1622	殺		sat2	sat2
1623	艱		kien44	kan44
1624	間		kien44	kien44
1625	簡		kan31	kan31
1626	揀		kan31	kan31
1627	間			kan52
1628	擖		kot2	kuat2
1629	眼		ŋan31	muk2
1630	閑		han24	han24
1631	限		han31	han31
1632	莧		han31	han31
1633	班		pan44	pan44
1634	斑		pan44	pan44
1635	扳		pan44	pan44
1636	頒			pan44
1637	板		pan31	pan31
1638	版		pan31	pan31
1639	慢		man31	man31
1640	棧		ʦʰam31	ʦʰam31
1641	删			san44
1642	疝			san52
1643	奸		kan44	kan44
1644	锏			kan31
1645	顔			ŋan24
1646	雁		ʒan52	ʒan52
1647	編		pʰien44	pien44
1648	變		pien52	pien52
1649	别		pʰet5	pʰiet5
1650	鼈		piet2	piet2
1651	篇		pien44	pien44
1652	偏		pien44	pien44
1653	騙		pien52	pien52
1654	便		pʰien24	pʰien24
1655	辯		pʰien31	pʰien31
1656	辨			pʰien52
1657	便		pʰien24	pʰien31
1658	别		pʰiet5	pʰiet5
1659	綿		mien24	mien24
1660	棉		mien24	mien24
1661	免		mien31	mien31
1662	勉		mien31	mien44
1663	緬		mien31	mien31
1664	娩			mien31
1665	面		mien52	mien52
1666	滅		miet5	miet5
1667	連		lien24	lien24
1668	聯		lien24	lien24
1669	列		liet5	liet5
1670	烈		liet5	liet5
1671	裂		liet5	liet5
1672	煎		ʦien44	ʦien44
1673	剪		ʦien31	ʦien31
1674	箭		ʦien52	kiam52
1675	濺			ʦien52
1676	遷		pan44	ʦʰien44
1677	淺		ʦʰien31	ʦʰien31
1678	錢		lui44	ʦʰien24
1679	踐			ʦʰien31
1680	賤			ʦien52
1681	仙		sien44	sien44
1682	鮮		sien44	sien44
1683	鮮			sien31
1684	癬		sien31	sien31
1685	綫		sien52	sien52
1686	泄			siet2
1687	羡			sien52
1688	展		ʧan31	ʧan31
1689	哲			ʧat2
1690	蜇		tio44	ŋat2
1691	撤		ʧʰat2	ʧʰat5
1692	徹		ʧʰat5	ʧʰat5
1693	纏			ʧʰan24
1694	轍		ʧʰat2	ʧʰat5
1695	戰		ʧan52	ʧan52
1696	顫			ʧun44
1697	折		ʧap2	ʧat2
1698	浙			ʧat2
1699	舌		ʃat5	ʃat5
1700	搧		pʰat2	pʰat2
1701	扇		ʃan52	ʃan52
1702	設		ʃat2	sat2
1703	蟬		ʧʰam24	ʃam24
1704	禪		ʧʰam24	ʃam24
1705	善		ʃan31	ʃan31
1706	折		ʃak5	kʰui44
1707	然		ʒan24	ʒan24
1708	燃		ʒan24	ʒan24
1709	熱		ŋiet5	ŋiet5
1710	囝		lai52	lai52
1711	遣			ʦʰien31
1712	乾			kʰiam24
1713	虔		kʰien24	
1714	犍		kʰien31	kʰien31
1715	諺		ʒam52	
1716	焉		ʒan44	
1717	延		ʒan24	
1718	演		ʒan52	ʒan31
1719	建		kien31	kien31
1720	揭		kiet2	kiet2
1721	鍵		kien31	kien31
1722	健		kʰien31	kʰien31
1723	言		ŋien24	ʒan24
1724	掀			ʒan44
1725	軒		hien44	
1726	憲		hien52	hien52
1727	獻		hien52	hien52
1728	堰		ʒan52	
1729	邊		pien44	pien44
1730	蝙		pien44	pʰit5 pʰo24
1731	扁		pien31	pien31
1732	匾		pien31	
1733	遍			pien44
1734	遍		pien52	pien52
1735	憋			
1736	片		pʰien52	pʰien52
1737	撇		pʰiet2	pʰiet2
1738	辮		pien52	
1739	癟		piet2	
1740	蹩		kuai24	kuai24
1741	眠		mien24	
1742	麵		mien31	mien31
1743	顛		tien44	
1744	癲		tien44	
1745	典		tien31	tiam31
1746	天		tien44	tien44
1747	鐵		tʰiet2	tʰiet2
1748	田		tʰien24	tʰien24
1749	填		tʰien24	tʰien24
1750	電		tʰien31	tʰien31
1751	奠		tien52	
1752	澱		tʰien31	
1753	年		ŋien24	ŋien24
1754	憐			lien24
1755	蓮		lien24	lien24
1756	練		lien31	lien31
1757	煉		lien31	lien31
1758	鏈		lien31	lien31
1759	鍊		lien31	lien31
1760	薦			ʦien52
1761	節		ʦiet2	ʦiet2
1762	千		ʦʰien44	ʦʰien44
1763	切		ʦʰiet2	ʦʰiet2
1764	竊			ʦʰiet2
1765	前		ʦʰien24	ʦʰien24
1766	截		ʦʰiet5	ʦʰiet5
1767	先		sien44	sien44
1768	肩		kien44	kien44
1769	堅		kien44	kien44
1770	繭			ʦien31
1771	趼			
1772	見		kien52	kien52
1773	結		kiet2	kiet2
1774	金	絜		
1775	潔		kiet2	kiet2
1776	牽		kien44	kien44
1777	縴			sien44
1778	研		ŋan44	ŋan44
1779	硯			ʒan24
1780	顯		hien31	hien31
1781	賢		hien24	hien24
1782	弦			hien24
1783	現		hien31	hien31
1784	煙		ʒan44	ʒan44
1785	燕		ʒan52	ʒan52
1786	胭		ʒan44	ʒan44
1787	宴		ʒan52	ʒan52
1788	燕		ʒan52	ʒan52
1789	噎		kaŋ31	kaŋ31
1790	搬		pan44	pan44
1791	般		pan44	pan44
1792	半		pan52	pan52
1793	絆		pʰan52	pan52
1794	撥		pʰat2	pʰat2
1795	潘		pʰan44	pʰan44
1796	判		pʰan52	pʰan52
1797	潑			pʰat2
1798	盤		pʰan24	pʰan24
1799	伴		pʰan52	pʰan31
1800	拌		pʰan31	pʰan31
1801	叛		pʰan52	pʰan52
1802	鈸			pʰat5
1803	瞞		man24	man24
1804	饅		man24	man24
1805	鰻		man24	man24
1806	滿		man44	man44
1807	漫		man31	man31
1808	末		mui44	mui44
1809	端		ton44	ton44
1810	短		ton31	ton31
1811	斷		tʰon44	tʰon44
1812	鍛		tʰon31	tʰon31
1813	脱		tʰot2	tʰot2
1814	團		tʰon24	tʰon24
1815	糰		tʰon24	tʰon24
1816	斷		tʰon44	tʰon44
1817	段		tʰon31	tʰon31
1818	緞			tʰon31
1819	奪		tʰot5	tʰot5
1820	暖		non44	non44
1821	鸞			lon24
1822	卵		lon31	lon31
1823	亂		lon31	lon31
1824	鑽		ʦon52	ʦon52
1825	鑽		ʦon52	ʦon52
1826	竄			ʦʰon52
1827	酸		son44	son44
1828	蒜		son52	son52
1829	官		kuan44	kuan44
1830	棺		kuan44	kuan44
1831	觀		kuan44	kuan44
1832	冠		kuan52	kuan44
1833	管		kuan31	kuan31
1834	館		kuan31	kuan31
1835	貫		kuan52	kuan52
1836	灌		kuan52	kuan52
1837	罐		kuan52	kuan52
1838	觀		kuan44	kuan52
1839	冠		kuan52	kuan52
1840	括		kuat2	kʰuat2
1841	寬		kʰuan44	kʰuan44
