
ɿ
p	鞭编边蝙	别（~针）	扁匾蝙贬	辨辩变汴便（方~） 遍辫
pʰ	篇偏	便（~宜）	撇=	骗片
m	咩	绵棉眠	免勉娩缅冕	面灭
t	掂颠（~达）癫爹	碟	点典	店电殿奠佃垫
tʰ	添天	甜填田	舔腆
n		黏鲶年	碾辇捻撵	念□（~子，引火线）
l		廉镰连联怜莲帘	敛脸	殓练=链恋=
ʨ	间（~间）皆阶街监 尖歼兼艰奸煎肩坚	截	姐解检俭简柬剪茧 趼（老~）减	借介界芥疥届戒鉴 渐剑涧键件箭溅见 贱
ʨʰ	鹐（鸟啄） 签迁千 铅	茄潜钳乾钱虔前	且浅遣	嵌欠歉
ɕ	仙鲜掀先	邪斜谐鞋咸闲贤弦	写险癣显	泻卸谢泄解（姓） 蟹羡陷馅限腺宪献 现现
Ǿ	淹阉腌蔫焉烟	爷严炎盐阎檐岩颜 言研筵研沿延	也野掩俨眼演	夜验厌艳焰叶页雁 谚砚燕宴液腋
uæ
阴平42	阳平 413	上声 53	去声 24
t	端		短	断锻段缎椴
tʰ		团
n			暖=
ʦ	钻（~进）专砖		转（~眼）	赚钻攥钻（~石）撰 转传（~记）篆
ʦʰ	汆（烹饪方法） 川 穿串（动词）	传（~说）椽船	喘	窜篡串（量词）
s	酸闩拴栓			算蒜涮
z			软阮
k	官棺观（~看）冠（鸡 ~）关		管馆	贯灌罐观（道~）冠 （~军）惯
kʰ	宽		款
x	欢	桓还（~给）环	缓	唤焕幻患宦
yɛ
阴平42	阳平 413	上声 53	去声 24
l	□（忽~ ，快速吃完 东西）			圙（圐~）练-恋-
ʨ	绢捐		卷（~起）	卷（~子）眷圈（羊 ~）倦
ʨʰ	圈（圆~）	瘸全泉拳权颧	犬	劝券
ɕ	靴轩宣喧□（推倒）	旋（~转）玄悬	选	旋（~风） □（~走~ 看）削（~皮）
Ǿ	冤渊	圆员缘元原源袁辕 园援	远	院愿怨

ɒ
阴平42	阳平 413	上声 53	去声 24
p	帮邦梆		榜绑膀	谤傍蚌棒
pʰ	肨（肿）	滂旁螃庞		胖
m		忙芒氓茫盲	莽蟒
f	方芳	肪妨妨防	仿纺访坊	放
v	汪	王亡	网枉往	忘妄忘旺
t	当（~时）裆铛		挡党	当（~铺）荡宕
tʰ	汤	堂棠螳唐糖塘	倘躺	烫趟
n	囔	囊馕	攮（用拳击打）暖-
l	□（叫猪声）	郎廊狼螂	朗	浪
ʦ	脏赃张章樟装-桩-妆- 庄-		长（~大）掌涨	葬藏（西~）丈仗杖 账胀障撞-壮-状-
ʦʰ	仓苍昌猖娼窗-	长（~短） 常藏（ ~ 起来）嫦肠尝偿床-	场厂闯-	畅唱倡创-
s	桑商伤裳丧双-霜-孀-		嗓赏晌缩-□-（~利， 女性手巧）	上尚
z		瓤□（不结实）	壤嚷	让
k	冈刚纲钢缸		岗港哥（~~）膏-（~ 了一脸）	杠
kʰ	康糠慷	扛	□（用力顶住）	抗炕渴-
x	夯	行（~家）航杭		巷
Ǿ	□（应答声）	昂		□（疑问发语词）
iɒ
阴平42	阳平 413	上声 53	去声 24
n	□（舒服地躺着）	娘		酿
l		良凉量（动词） 粮 梁粱	两	量（名词）亮凉辆 谅
ʨ	将浆疆僵姜缰江豇		蒋奖桨耩（用耧播种或施肥）	酱将匠降
ʨʰ	枪腔呛（~住）戗	墙强	抢	跄□（倒霉）
ɕ	相箱厢湘襄镶香乡	详祥降（投~）	想享响饷	象像橡相向项
Ǿ	央秧殃鸯	羊洋杨阳扬疡	仰养痒氧	样漾恙
uɒ
阴平42	阳平 413	上声 53	去声 24
ʦ	装=庄=桩=妆=			壮=状=撞=
ʦʰ	窗=	床=	闯=	创=
s	霜=孀=双=
k	光咣胱		广	逛桄（~子，木制绕 线器具）
kʰ	匡筐	狂		旷眶况矿
x	荒慌	黄簧皇蝗潢凰	谎	晃
ə̃
阴平42	阳平 413	上声 53	去声 24
p	奔锛（~子，硬币） 崩		本	笨迸奔（投~）蹦
pʰ	喷烹砰	盆朋彭棚蓬篷鹏	捧	碰
m	焖闷	门萌盟蒙（~古）懵	猛蒙（内~）	孟梦
f	分芬纷风枫疯丰封峰蜂	坟焚冯逢缝（~衣服）	粉讽	粪奋愤份凤奉俸缝（~子）
v	温瘟翁	文纹蚊闻	稳吻	问瓮
t	登灯蹬		等	凳邓澄（~清）瞪
tʰ	熥（~饭） 吞（狼~ 虎咽）	腾藤疼誊
n		能脓		嫩摁弄-（~死）
l	□（打倒）	棱	冷	愣楞
ʦ	针斟珍榛真增蒸争 筝筝贞征		枕诊疹拯整	缜阵震憎赠证症锃 郑正镇
ʦʰ	称（~重）撑	沉陈尘辰晨臣曾层 澄惩橙承丞呈程成 城诚盛（~饭）	逞	趁衬蹭称（~心）秤 乘
s	森参（人~）深身申 伸僧升生牲笙	神绳	沈省婶审	甚葚渗肾慎胜剩盛 （茂~）
z	扔仍	壬任人仁	忍	刃认韧
k	跟根庚羹		梗哽埂耿	更
kʰ	坑吭		恳垦肯
x	哼亨	痕恒衡横	很狠	恨
iə̃
阴平42	阳平 413	上声 53	去声 24
p	彬宾槟冰兵	□（否定副词，不 要）	禀丙秉柄饼兵	殡鬓病并
pʰ	拼姘乒=	贫频凭平坪瓶屏萍	品	聘娉
m		民鸣明名铭瞑	闽悯敏抿泯皿	命
t	丁钉（名词）疔叮		顶鼎	钉（动词）订锭定
tʰ	听厅屉-	庭亭停廷婷	艇蜓挺
n		凝宁（安~）拧		硬宁（~可）佞
l	拎璃-	林淋临邻鳞陵凌菱 灵零	檩领岭	赁吝另令龄
ʨ	今金襟津巾斤筋更 （五~）耕茎京惊鲸 精 晶睛经系-（~ 鞋 带）		锦紧仅谨景警井颈=	禁浸妗尽进晋劲近 境敬竟镜
ʨʰ	侵亲钦卿清轻青蜻 倾	琴禽擒勤芹擎情晴	寝请顷	亲（~家）庆吣（ ~ 奶）
ɕ	心欣兴星腥馨辛	行（~为）形型刑寻=	省（~悟）醒	衅杏幸性姓信
Ǿ	音阴因姻殷应鹰莺 鹦樱英婴	吟淫银蝇迎盈赢萤 营茔	饮（~用）寅引隐尹 影颖	饮（~马）窨（~子） 印应（反~）映
uə̃
阴平42	阳平 413	上声 53	去声 24
t	敦墩蹲冬东		董懂	顿饨沌盾钝冻栋动 洞
tʰ	吞=通	屯豚臀同铜桐童瞳	桶捅筒统	痛
n		农浓侬
l	抡	仑伦沦轮笼聋隆龙	拢陇垅	论
ʦ	尊遵肫棕宗综中忠 终踪钟盅子		准总冢种（~子）肿	粽中（~奖）众重（~ 量）纵种（~地）
ʦʰ	村皴春聪葱囱充冲 舂	存唇醇丛虫崇从纯 重（~新）	蠢宠	寸铳（火~） □（打 扰）
s	孙松嵩		损笋榫怂耸	顺舜宋诵颂讼
z		荣戎绒融冗容蓉		润闰
k	公蚣工功攻弓躬宫 恭		滚巩汞拱	棍贡供共
kʰ	昆崑坤空（~姐）		捆孔恐	困控空（~缺）
x	昏婚荤轰烘	魂馄浑虹弘洪鸿虹	哄	混
yə̃
阴平42	阳平 413	上声 53	去声 24
ʨ	均钧军君		窘菌迥	俊骏郡
ʨʰ		群裙琼穷
ɕ	熏勋薰兄胸凶	旬荀循巡熊雄		逊迅殉训
Ǿ	晕雍拥庸	匀云勇涌	允永泳咏	熨韵运孕用
aʔ	入声4
p	八捌拨博剥驳掰扒伯（大~子） □（糊~）
pʰ	琶杷泊（湖~）朴魄泼粕(糟~）酦（白~）
m	抹（~墙）拇（大~哥）末沫寞摸莫默漠没-（淹~）
f	父（外~）腐（豆~）法发
v	挖袜握沃龌（~蹉）
t	答搭达哒妲
tʰ	踏搨沓塔塌溻榻弹（动~）
n	恶（~心）纳捺额（金~）娜-钠-
l	蜡拉-（~糊糊，闯祸）
ʦ	蔗扎折褶（~子）蛰哲蜇浙则楂泽责摘窄□（~饭）吒
ʦʰ	厕插擦察撤彻侧测拆查册策澈扯（拉~ ，抚养）
s	摄涉涩杀设瑟虱（~子）色啬社撒（~开）萨（菩~） □（不~好）
z	热-（~闹）
k	鸽割葛各阁搁格革隔戈（~壁）
kʰ	可（很）磕（~头）渴壳（~子）客=咳（~嗽）
x	贺（~喜）喝郝鹤赫哈（~尔滨）合（~作）核（~实）
iaʔ	入声4
