符号说明：{}外注释 {}内注释																																																	
taŋ	5	当{∽铺,不∽回事}																																															
tʰaŋ	1	汤																																															
tʰaŋ	2	塘																																															
tʰaŋ	3	淌																																															
tʰaŋ	5	烫																																															
laŋ	1	躴{身体单簿廋削}																																															
laŋ	2	郎																																															
laŋ	3	朗□{晃动液体(清洗液体或弄个凉液体)}																																															
laŋ	5	浪让{偏铜鼓音}																																															
tsaŋ	1	庄装桩张																																															
tsaŋ	3	掌																																															
tsaŋ	5	壮仗账																																															
tsʰaŋ	1	昌窗																																															
tsʰaŋ	2	长场肠床																																															
tsʰaŋ	3	厂场{赶∽}																																															
tsʰaŋ	5	畅唱创																																															
saŋ	1	双伤商裳{衣∽}																																															
saŋ	2	常裳																																															
saŋ	3	爽赏□{稀罕：哪个∽你来？}																																															
saŋ	5	上																																															
zaŋ	3	□{没力气,没劲}																																															
zaŋ	5	让																																															
kaŋ	1	钢江{白,∽边,部分乡镇用}刚																																															
kaŋ	3	港																																															
kaŋ	5	杠虹{口语}																																															
kʰaŋ	1	康																																															
kʰaŋ	2	扛																																															
kʰaŋ	3	㝩{罩住,把饭店菜∽起}																																															
kʰaŋ	5	抗炕																																															
xaŋ	1	夯																																															
xaŋ	2	航																																															
xaŋ	5	巷项																																															
ŋaŋ	1	肮□{∽嘴,张开嘴}																																															
ŋaŋ	2	昂																																															
kuaŋ	1	光																																															
kuaŋ	3	广																																															
kuaŋ	5	逛□{打耳光}□{蹭磨,拿刀在石头上∽两下}																																															
kʰuaŋ	1	框																																															
kʰuaŋ	2	狂桄{将纱、线等置于织机框上；量词：用天纱线：一∽线}																																															
kʰuaŋ	5	旷																																															
tsuaŋ	1	庄装																																															
suaŋ	1	双霜																																															
uaŋ	1	汪																																															
uaŋ	2	王																																															
uaŋ	3	枉																																															
uaŋ	5	望□{喊∽∽：乱吼乱叫}																																															
tiaŋ	1	拎{白}																																															
tiaŋ	5	□{tiəŋ tiəŋ∽∽,形容零乱}																																															
liaŋ	2	良																																															
liaŋ	3	两																																															
liaŋ	5	亮																																															
tɕiaŋ	1	姜江刚{白,∽∽,才∽}																																															
tɕiaŋ	3	讲																																															
tɕiaŋ	5	匠降{下∽}																																															
tɕʰiaŋ	1	枪																																															
tɕʰiaŋ	2	强																																															
tɕʰiaŋ	3	抢																																															
tɕʰiaŋ	5	呛？																																															
ȵiaŋ	1	娘{∽∽(姑姑)}																																															
ȵiaŋ	2	娘{爹∽}																																															
ȵiaŋ	3	仰																																															
ȵiaŋ	5	□{腻味：∽腥、肥肉∽人得很}□{无事可做}																																															
ɕiaŋ	1	香																																															
ɕiaŋ	2	降{投∽}																																															
ɕiaŋ	3	想																																															
ɕiaŋ	5	向																																															
iaŋ	1	秧																																															
iaŋ	2	羊																																															
iaŋ	3	养																																															
iaŋ	5	样																																															
pən	1	奔崩																																															
pən	3	本□{很、十分：∽好,∽香}																																															
pən	5	笨捹{挣,用力使自己摆脱,∽开}□{靠：∽着墙壁}																																															
pʰən	1	□{用鼎罐焖饭：∽饭,打∽；烘烤使水分蒸发致干：∽衣服}																																															
pʰən	2	盆彭																																															
pʰən	5	喷																																															
mən	1	们闷{阴沉、不爱言语：这人∽得很}																																															
mən	2	明{∽天}门																																															
mən	5	闷																																															
fən	1	分婚																																															
fən	2	坟魂横																																															
fən	3	粉惛{∽里∽气：傻里傻气,不开窍}																																															
fən	5	奋																																															
kən	1	根更{三∽五∽}																																															
kən	3	哽{身体某部被硬物顶住：~背,~着腰干。}□{完整：钱是~的,找不开。}																																															
kən	5	更{∽好,∽大}																																															
kʰən	1	坑																																															
kʰən	3	肯																																															
ŋən	1	恩																																															
ŋən	5	硬																																															
xən	1	哼																																															
xən	2	恒																																															
xən	3	狠很																																															
xən	5	恨																																															
tən	1	登墩{表示堆、撂的量词：一∽书,一∽豆腐}敦																																															
tən	2	□{用力往地下杵：把拐棍∽在地下}																																															
tən	3	等□{∽子：桩子(多用于固定木材)。也形容人体粗矮壮实：这人像个木∽子}																																															
tən	5	凳顿囤{把重物放下,把桶∽稳}																																															
tʰən	1	吞																																															
tʰən	2	滕																																															
tʰən	3	□{颠簸：车子~得很。引由为受阻而停下。}□{打～:说话因犹豫不决等而中断。}																																															
tʰən	5	磴{量词,阶梯的级：一～—～的石坎子。}□{~命：拼命}□{摆脱(纠缠等):他～不脱。}□{互相推委：他们两个～来～去的。}																																															
nən	2	能																																															
nən	5	嫩																																															
lən	2	能捻{搓、捻：~麻绳。}人轮																																															
lən	3	冷																																															
lən	5	嫩任{偏铜鼓音}论																																															
tsən	1	真争今{白,∽天,∽年}遵尊蒸针争增																																															
tsən	2	怎																																															
tsən	3	整																																															
tsən	5	镇正□{使劲叫喊、排便等、也指妇女生小孩。}□{用手支撑起身}																																															
tsʰən	1	村春椿撑																																															
tsʰən	2	存陈成城承																																															
tsʰən	3	惩䟫{按住,摁住}□{往下塞支撑：拿棒棒～着桌子。}																																															
tsʰən	5	趁撑{∽腰}																																															
sən	1	生声孙																																															
sən	2	绳神承{白。承受、承担：一切责任我来～。}纯辰																																															
sən	3	省笋沈瘆{发～:旧伤病复发。}																																															
sən	5	胜剩顺																																															
zən	2	人																																															
zən	3	忍																																															
zən	5	认闰																																															
kuən	5	棍																																															
kuən	3	滚																																															
kʰuən	1	昆																																															
kʰuən	2	馄																																															
kʰuən	3	捆																																															
kʰuən	5	困																																															
uən	1	温																																															
uən	2	文																																															
uən	3	稳																																															
uən	5	问																																															
in	1	因																																															
in	2	银迎																																															
in	3	影引蚁{蚂∽}																																															
in	5	应运{铜鼓音}																																															
pin	1	兵																																															
pin	3	丙																																															
pin	5	病																																															
pʰin	1	拼																																															
pʰin	2	平屏瓶频																																															
pʰin	3	品																																															
pʰin	5	聘																																															
min	1	□{~甜：形容极甜。}																																															
min	2	名																																															
min	3	敏抿{饮入少量液体：~一口酒。}																																															
min	5	命																																															
tin	1	丁																																															
tin	3	顶																																															
tin	5	定订																																															
tʰin	1	听																																															
tʰin	2	停																																															
tʰin	3	挺																																															
tʰin	5	听□{尝：~菜}																																															
lin	2	林零																																															
lin	3	领																																															
lin	5	令																																															
tɕin	1	今金经斤军{铜鼓、隆里音}																																															
tɕin	3	锦井																																															
tɕin	5	进净近尽□{蓄(须、发):~胡子。}																																															
tɕʰin	1	轻青清																																															
tɕʰin	2	情群岑																																															
tɕʰin	3	请																																															
tɕʰin	5	庆凊{(水)冷、冰凉：~水,那井水好～。}																																															
ȵin	1	□{~精：啰嗦。}																																															
ȵin	5	□{“~tio”:指食物粘糯,口感舒适。常作ABAB式重叠。如,你家糍粑～□tio~□tio”的,盖好吃。也说“硬”□tɕio”。}																																															
ɕin	1	心辛新																																															
ɕin	2	形																																															
ɕin	3	醒□{蛋、粥等稍变质：蛋～嘎。}																																															
ɕin	5	信姓焮{用文火焖(饭等):~饭。}																																															
yn	1	晕																																															
yn	2	云																																															
yn	3	永																																															
yn	5	运																																															
tɕyn	1	军																																															
tɕyn	5	俊																																															
ɕyn	1	熏																																															
ɕyn	2	寻																																															
ɕyn	5	迅																																															
tɕʰyn	2	群裙																																															
kyn	1	军{见于墩寨、龙池等地老派}君{见于墩寨、龙池等地老派}																																															
kʰyn	2	裙{见于墩寨、龙池等地老派}																																															
pəŋ	3	□{凸(起)}																																															
pʰəŋ	2	朋																																															
pʰəŋ	3	捧																																															
pʰəŋ	5	碰																																															
məŋ	2	蒙																																															
məŋ	3	猛																																															
məŋ	5	梦																																															
təŋ	1	东																																															
təŋ	2	□{把东西放入水中浸一下：~一下。}□{厚∽∽,厚,厚实}																																															
təŋ	3	董																																															
təŋ	5	动																																															
tʰəŋ	1	通																																															
tʰəŋ	2	筒																																															
tʰəŋ	3	桶																																															
tʰəŋ	5	痛																																															
ləŋ	1	聋																																															
ləŋ	2	龙浓□{~子：巷子,里弄。}																																															
ləŋ	3	拢□{~背：背微驼}																																															
ləŋ	5	弄																																															
tsəŋ	1	中钟宗																																															
tsəŋ	3	种																																															
tsəŋ	5	重{∽量}粽																																															
tsʰəŋ	1	葱																																															
tsʰəŋ	2	从虫重{∽新,∽庆}松{∽树}																																															
tsʰəŋ	3	宠																																															
tsʰəŋ	5	冲{不稳重,好表现。有合成词“～火”,指唆使,怂恿。}																																															
səŋ	1	松{∽急,放∽}																																															
səŋ	2	□{笨,不懂礼节}																																															
səŋ	3	耸																																															
səŋ	5	宋																																															
zəŋ	2	绒□{1.稀烂,或皱破不成样子。2.身体因病痛而疲惫无力。}																																															
kəŋ	1	公工																																															
kəŋ	2	拱{乱挤、乱动：不要到处~。}																																															
kəŋ	3	汞拱{~背：背微驼}																																															
kəŋ	5	共																																															
kʰəŋ	1	空																																															
kʰəŋ	3	孔																																															
kʰəŋ	5	空																																															
xəŋ	1	风																																															
xəŋ	2	红洪缝																																															
xəŋ	3	讽																																															
xəŋ	5	凤缝																																															
əŋ	1	翁{富∽}																																															
əŋ	5	瓮																																															
tiəŋ	5	□{∽∽tiaŋ tiaŋ,形容零乱}																																															
Iiəŋ	1	□{蛇爬行,一条蛇才∽过去}																																															
tɕiəŋ	1	龚																																															
tɕʰiəŋ	2	穷																																															
ȵiəŋ	2	浓{口语。酽、稠：茶太∽嘎}																																															
ȵiəŋ	5	□{皱：脸打∽∽}																																															
ɕiəŋ	1	凶兄																																															
ɕiəŋ	2	熊																																															
ɕiəŋ	3	□{擤,∽鼻涕}□{臭骂、指责,∽他一餐}																																															
ɕiəŋ	5	嗅{口语。狗鼻子到处∽}																																															
iəŋ	1	雍																																															
iəŋ	2	荣容																																															
iəŋ	3	拥																																															
iəŋ	5	用																																															
pʰoŋ	2	朋{一派}																																															
pʰoŋ	3	棒{一派}																																															
pʰoŋ	5	碰{一派}																																															
moŋ	2	蒙{一派}																																															
moŋ	3	猛{一派}																																															
moŋ	5	梦{一派}																																															
toŋ	1	东{一派}																																															
toŋ	3	董{一派}																																															
toŋ	5	动{一派}																																															
tʰoŋ	1	通{一派}																																															
tʰoŋ	2	同{一派}筒{一派}																																															
tʰoŋ	3	桶{一派}																																															
tʰoŋ	5	痛{一派}																																															
loŋ	1	聋{一派}																																															
loŋ	2	龙{一派}																																															
loŋ	3	拢{一派}																																															
noŋ	5	弄{一派}																																															
tsoŋ	1	钟{一派}中{一派}																																															
tsoŋ	3	肿{一派}																																															
tsoŋ	5	重{一派}棕{一派}																																															
tsʰoŋ	1	葱{一派}																																															
tsʰoŋ	2	从{一派}虫{一派}																																															
tsʰoŋ	3	宠{一派}																																															
soŋ	1	松{一派}																																															
soŋ	5	宋{一派}																																															
koŋ	1	公{一派}工{一派}																																															
koŋ	3	拱{一派}																																															
koŋ	5	共{一派}																																															
kʰoŋ	1	空{一派}																																															
kʰoŋ	3	孔{一派}																																															
kʰoŋ	5	空{一派}控{一派}																																															
xoŋ	1	风{一派}																																															
xoŋ	2	红{一派}洪{一派}缝{一派}																																															
xoŋ	3	讽{一派}																																															
xoŋ	5	凤{一派}缝{一派}																																															
tɕioŋ	1	龚{一派}																																															
tɕʰioŋ	2	穷{一派}																																															
ɕioŋ	1	凶{一派}兄{一派}																																															
ɕioŋ	2	熊{一派}																																															
ioŋ	2	荣{一派}容{一派}																																															
ioŋ	3	拥{一派}																																															
ioŋ	5	用{一派}																																															
