	注釋：=文讀，-白讀
ts	[1]災{～害}栽哉崽齋{書～}知{～影：知道}[2]才財材{～料}豺臍-{肚～}[3]宰{～相}滓{目～：眼淚}[4]在[5]載再寨債
tsʰ	[1]猜差{～事}釵[2]裁才{又，～～：剛剛}材{又，木～}豺{又}柴[3]釆彩睬踩[5]菜蔡
s	[1]腮{～腺}鰓篩{～選}師{～兄}獅{石～}私{～錢：私房錢}西-{～邊}犀{～角}[3]屎-{拉～}史-{姓}駛-{駕～}使-{～性：發脾氣}[5]賽{～跑}塞{邊～}曬{～臺}使{又，大～}婿{妹～：妹夫}[6]侍{服～}事{熟～：熟悉}姒{同～：妯娌}祀{～佛：供佛}
k	[1]該賅階皆街=[3]改={～造}解={～釋}骱{俗，～溝：腹股溝}[5]尬{尷～}丐鈣蓋{遮～}介蚧{蛤～}芥{草～}疥界{～限}屆戒誡解{～元}廨{公～}[6]□{自己}
kʰ	[1]開={～展}揩{～油}[3]暨{俗，～南大學}楷{小～}凱鎧{～甲}愷{人名用字}[5]慨概溉愾
ɡ	[2]呆{又，～板}皚㾏{～哥：執拗的人}崖涯{又}[6]礙艾{方興未～}
h	[1]□{大}[2]孩骸{形～}頦{下～：下巴}諧鞋鮭械{俗，機～}[3]海[4]亥駭解{又}蟹[6]害嗐懈邂械
∅	[1]哀埃{塵～}挨{～打}唉[3]矮[5]愛噯{～仔：嗩呐}嬡暖{～昧}隘{～門}藹{和～}
#au	
p	[1]包苞胞[2]包{俗，～公：人名}庖咆{～哮}[3]飽{～和}[4]抱{懷～}鮑{～魚}[5]豹
pʰ	[1]拋{～棄}泡枹{柚}脬[2]袍刨[3]跑[4]抱{～負}[5]雹{俗}炮泡{～沫}袍{俗，旗～}
b	[2]矛茅[3]卯鉚{～釘}[6]貌{禮～}
t	[1]兜{年～：除夕}[2]投{～降}骰{～仔：色子}[3]搗{～亂}斗-{漏～}[5]到{～底}鬥{裝配；拼合}罩{口～}晝{日～：中午}[6]豆-{黃～}逗痘-{～苗}脰-{搖頭拌～：搖頭}
tʰ	[1]偷-{小～}[2]潮{水～：地名}頭-{碼～}[3]敨{～索：解開繩索}[5]透-{～明}[6]毒{～蟲：用藥物殺蟲}
l	[2]流-{～血}留-{～底稿}溜{～石：地名}劉-{姓}樓[3]牢{俗，～固}老{～實}佬{～仔：小偷}潦{～草}蓼{麻～：裹上芝麻的糯米餅}鐃撓{不屈不～}[4]老{又，～母：母親}[5]老{俗，～板}瘺{～管}漏{～洞}落{～空：回空}[6]鬧{～熱：熱鬧}
ts	[1]糟{～粕}□{柴～：未燒盡的木頭}[2]巢{～穴}□{均勻}[3]蚤找爪走{逃～}[4]找{俗，～錢}[5]灶{～臺}奏{～疏}
tsʰ	[1]操{早～}抄{～寫}鈔{現～}[2]嘈=□{移動}[3]草{花～}吵炒[5]臭
s	[1]捎{～帶}梢{～殺：搶白}稍{～許}艄{～公}颼{～聲：聲音沙啞}[5]掃{～墓}哨{放～}嗽
k	[1]勾-{～結}溝-{水～}鉤{又，鐵～}交{外～}郊蛟{～龍}膠鮫鉸跤{摔～}茭[2]猴{老～}[3]搞狗-{走～}垢{油～}攪狡九-玖-口{啞～：啞巴}咬{俗，程～金：人名}[4]厚{～度}[5]遘{到}夠-{～格}教={～學}較{比～}校{～正}漖
kʰ	[1]薅{～草：除草}鬮{抽～：抓鬮兒}尻摳{～雞：扳機}敲{～詐}[3]口{又，進～}巧{美～：漂亮}[5]銬{手～}扣{落～：圏套}哭{～窮}
ɡ	[2]𠢕{有本事}淆{混～}肴{佳～}
h	[1]囂{～張}哮{咆～}[2]侯{拖延}淆肴爻[3]吼{哭}[4]後{～生：年輕}[5]哮{俗，～喘}孝{忠～}酵{俗，發～}[6]候{聽～：等候}鱟{做賊做～：胡作非為}校{～園}效
∅	[1]凹區{姓}鷗{海～}歐{～洲}甌{茶～}漚{～肥}謳[2]喉{～頭}[3]拗{折}毆嘔黝{鳥～：黑紫色}[4]後{又，～來}[5]漚{又，臭}
#auʔ	
p	[7]暴{～泡：起泡}[8]□{全部買下}
pʰ	[7]鞄{胖～：嬰兒肥胖}炮{鞭炮}
t	[7]篤{橂～：堅硬}罩{老鼠～：捕鼠器}[8]□{又，～～：常常}瀆{洘～～：很稠}
l	[7]落{又，～臉：丟臉}[8]落{又，揭～：掉落}
tsʰ	[7]□{茹～～：亂糟糟}[8]□{～～滴：滴個不停}□{～～念：嘮叨}
k	[7]窖{～肥：漚肥}[8]轂{軟～～：軟綿綿}
kʰ	[8]□{～糜：熬粥}
∅	[7]拗{又，～紙：折紙}
#ia	
t	[1]爹[3]嗲
l	[3]惹{～禍}啱[4]□{來～：來吧}啱{唱～}
ts	[1]嗟遮[3]姐{小～}者[5]借{～口}蔗鷓{～鴣}炙{麵～：麵筋}□{用中指侮辱人}
tsʰ	[1]車{又，汽～}奢{～侈}□{～倒：推倒}[2]斜{傾～}[3]扯[5]趆{起～：上坡}
s	[1]賒畬奢奓些[2]佘{姓}蛇斜邪[3]寫[4]舍赦瀉卸[6]射麝{～香}石{～榴}謝榭
k	[4]崎{陡坡}[5]寄{～託}
ɡ	[2]鵝-{天～}蜈{～蚣}
h	[1]桸{大勺子}靴{海～：大的靴子}[4]瓦-{磚～廠}蟻-{白～：白螞蟻}
∅	[1]埃{轟～：灰塵}呀[2]爺耶椰揶[3]雅{副詞，很}野也{副詞，還}冶{～金}[4]□{～種：撒種子，原文作“掖”}也{又，～罷}[5]夜{厭倦，疲倦}
#iaʔ	
p	[7]壁{牆～}
pʰ	[7]辟{～雨：避雨}癖{性～：癖性}僻{偏～}[8]癖{俗，出～：出麻疹}
t	[7]摘{文～}糴{～米：買米}
tʰ	[7]拆-{～散}
l	[7]跡{血～}[8]掠{～魚：打魚}
ts	[7]脊{巴～：脊背}跡{無影無～：子虛烏有}睫{目～毛：睫毛}雀{～仔：麻雀}則{拄～：剛才}隻{量詞，只}[8]食{吃}
tsʰ	[7]赤-{窮～：貧窮}刺{～網：織網}[8]斜{又，歪斜；拐道}
s	[7]錫{～紙}削{～弱}[8]勺{鐵～}石{又，～硯}
k	[8]屐{又，柴～：木屐}
kʰ	[7]隙{空～：縫隙}
ɡ	[8]額-{數～}
h	[8]額-{又，頭～：額頭}
∅	[7]挖{～樹根}益{進～}[8]蝶{美～：蝴蝶}頁{～碼}易{《～經》}驛{清軍～：地名}役{差～}疫{瘟～}
#io	
p	[1]標-{～槍}鏢-{保～}膘-{肥～：肥肉}摽{～笑：玩笑}鰾{俗，魚～}[3]表{鐘～}裱{～褙}
pʰ	[1]飄{輕～}[2]瓢{水～}薸{浮萍}[3]剖{～析}[5]票{戲～}漂{～白}
b	[2]貿{俗，外～}描{～筆}牟侔眸謀[3]母{～親}拇[6]茂{～盛}懋貿{又}廟{寺～}
t	[1]兜[2]長{～泰：地名}潮{～州：地名}跳{跺}投[3]斗{阿～：人名}蚪陡{～立}抖{～擻}[4]趙{姓}[5]釣{～魚}掉{抖}鬥{～爭}逗{～號}[6]豆=痘=脰=讀{句～}竇{疑～}銚{鐵～：炒菜的鐵鍋}□{白～：花斑癬}
tʰ	[1]挑{～燈}佻{輕～}偷=[2]跳{又，反弾}頭={把～}[5]糶{～米：賣米}透=
l	[1]□{偷看}[2]撩{～油：用刀從肉中取脂肪}婁樓={高～}髏[3]瞭{瞟}摟蔞{瓜～：乾的瓜瓤}簍{背～}縷{俗，絲～}[5]漏={疏～}□{個子高}[6]陋{簡～}鏤瘺{痔～}尿{屎～}
ts	[1]椒{辣～}蕉{芭～}招{～收}[3]少{～量}[5]醮{做～：打醮}照{～相}
tsʰ	[1]□{動物發情}[2]愁[5]俏{～市}笑{～話}[6]耀{～手電筒：打手電}
s	[1]燒{發～}霄{雲～：地名}蕭{姓}[2]□{拖拉}[3]小{～心}[5]邵{姓}
k	[1]勾{～結}溝{～通}鉤{～心鬥角}購{俗，收～}[2]蕎{～麥}橋{大～}茄{又，～仔：茄子}[3]枸{～杞}苟{～且}狗垢詬[5]構購{～物}夠媾{～和}叫{呼～}[6]轎{～車}
kʰ	[3]口={～頭}[5]扣{折～}叩{面～}冦蔻{豆～}竅{做～：一種意欲加害於人的迷信手段}
ɡ	[2]蟯{蚌類的一種}[3]偶=藕=咬={～臍}[4]藠{露～：薤}□{撬}[5]□{撐住}
h	[1]靴[2]浮{～名}侯{諸～}喉{咽～}猴{沐～而冠}[3]否{又，是～}吼{怒～}[4]厚={忠～}後={落～}[6]候={問～}逅{邂～}鱟
∅	[1]區{又}歐鷗甌謳{～歌}腰{～帶}邀{相～}么{一}[2]搖{～擺}窯{灰～}[3]毆{鬥～}嘔{～心瀝血}舀{～水}唷{哎～}[6]鷂{雀鷹}
#ioʔ	
t	[7]擢{拉，提}[8]著{對，正確}
l	[7]瞭{又，瞥}[8]略{惜～：愛惜}弱{軟～：柔軟}
ts	[7]□{棉～：棉花胎}借-{出～}炙-{～日：曬太陽}[8]石-{又，～頭}
tsʰ	[7]尺-{～寸}螫{小蟲咬}□{～水：少水浸濕}[8]蓆-{草～}
s	[7]□{～籃：投籃}惜{珍～}[8]勺-{又，杯～}芍{～藥}俗{臭～：過時乏味}液{手～：手汗}
k	[7]腳{苦力；角色}
kʰ	[7]挈{拾取}
ɡ	[8]□{譏諷，挑逗}
h	[7]歇{～喘：歇乏}[8]鶚{老～：老鷹}諾{表同意的應答聲}箬-{樹～：樹葉}
∅	[7]溢{搖晃}約{估計}[8]藥-{中～}鑰{～門：鎖門}
#iu	
p	[1]彪
b	[2]繆{綢～}[6]謬{～論}繆{又，紕～}
t	[1]丟[2]綢惆稠儔疇躊籌[3]肘{掣～}[4]紂{～王：商朝末代暴君}宙{俗，宇～}粙{俗，稻}[5]晝{白～}□{提，拉}[6]宙冑住{居住}
tʰ	[1]抽紬{牽～：襟貼邊}[3]醜
l	[1]溜{～走}[2]留={～學}瘤榴溜{又}劉=瀏{～覽}流={～亡}硫琉{～璃}柔{溫～}揉{擦洗}糅{雜～}[3]柳綹妞扭紐鈕溜{俗，～帽：脫帽}[6]餾{重蒸熟食}
ts	[1]周舟州洲珠{目～：眼睛}[3]酒守{～寡}帚[5]咒{～誓：發誓}蛀{～蟲}[6]就
tsʰ	[1]秋鰍羞{～～：食指刮臉以羞人}鬚{鬍～}[2]愁{憂～}酋遒[3]取{贖回}手{～掌}帚{掃～}[6]樹-
s	[1]收修羞{～愧}[2]酬仇囚泅售{俗，零～}[3]守{保～}首手[4]受[5]守{又，太～}狩獸壽秀繡鏽袖[6]授綬售宿{星～}岫{狗～：狗窩}
k	[1]鳩赳鬮拘{～水：縮水}[2]求球俅逑裘仇{又，姓}[3]九={重～}久={悠～}玖韭=[4]咎{～由自取}舅={國～}臼=[5]究糾灸疚救[6]舊=柩={靈～}
kʰ	[1]鳩{又}丘=蚯=邱=[2]□{～筋：抽筋，原文作“虯”}跔{縮}[3]□{拉；揪}[5]䊆{軟而韌}□{死}
ɡ	[2]牛=[3]扭{俗，揪住}
h	[1]休[2]裘{棉～：棉襖}[3]朽{枯～}[5]□{甩}□{酒}
∅	[2]由油郵遊尤魷{～魚}疣猶酋{俗}猷[3]友有{所～制}酉莠誘黝[5]幼[6]又右佑柚釉鈾宥囿
#iuʔ	
p	[7]□{裂開}[8]□{氣體或液體因容器破裂而突然外泄}
pʰ	[8]□{滑脫，溜掉}
t	[7]搐{牽動，猛拉}
l	[7]□{掉下}
ts	[7]□{密～～：嚴密}[8]啾{鳥鳴}
tsʰ	[7]觸{溜～：不實在}[8]□{濺；噴}
s	[8]□{呷}
k	[7]掬{～腸～肚：牽腸掛肚}□{閹割}[8]□{軟～～：軟綿綿}球{三～線：三團線}
h	[8]□{吸氣}優憂幽攸悠呦
#ua	
p	[5]簸-{～米}
pʰ	[5]破-{看～}
b	[2]磨-{～刀}
t	[2]汰-{～沙：淘米去沙}[4]舵-{～手}[5]帶-{布～}[6]大-{～聲}□{住}
tʰ	[1]拖-[4]豸{蟲～}[5]泰{長～：地名}[6]汰{洗過再用清水漂}
l	[4]偌{～濟：多少}[6]賴{姓}
ts	[1]抓撾{又}[2]蛇-{毒～}[3]紙-{白～}[6]逝{量詞，趟}誓{咒～：發誓}
tsʰ	[5]蔡-{姓}[6]漈{水～：地名}□{～路：帶路；娶}泄{～尿：尿床}
s	[1]沙-{～坑}砂{～輪}鯊{～魚}刷{俗，鞋～}[3]耍徙{搬～：搬遷}[4]唰{俗，暢～～：高興得很}[5]續{接續}
k	[1]歌-{唱～}瓜{～分}畖{頂～～}過{蔬菜熟過期}羈{中途停留}柯-{姓}[2]荷-{～樹：木荷}[3]寡[5]蓋-{瓶～}掛{～號}卦{八～}褂{馬～}過{又，罪～}芥{～菜}
kʰ	[1]誇垮{俗，～臺}跨{俗，～欄}[3]可{小～：稍微}[5]□{放置}挎{俗～包}胯{～骨}跨{～越}
ɡ	[2]華{～州：地名}[3]瓦=我-[6]外{～國}
h	[1]花{～費}[2]何{又，～蔔：何必}華{～僑}樺嘩{喧～}鏵[4]嘩{俗，風傳，鬧哄哄}[5]化{～緣}[6]畫{～龍點睛}話{～語}
∅	[1]挖{俗，～苦}媧{女～：我國古代神話中的女神}哇窪蛙娃[2]何{無奈～}[3]瓦{俗，～解}佤{俗，～族}倚{依～：依靠}[5]化{～殼灰：燒灰}倚{又，～行：手扶東西走路}[6]話{～別}畫{詩～}
#uaʔ	
p	[7]撥-{～款}缽{暖～：陶器}[8]跋{～倒：摔倒}鈸{鐃～}
pʰ	[7]潑{～水}撇[8]跋{又，盤繞，披掛}
b	[7]抺-{～煞}[8]末-{粉～}沫{泡～}
t	[7]掇{張～：賭氣不理人}
tʰ	[7]獺-{水～}屜{～櫃：抽屜}
l	[7]捋{訓斥}[8]辣-{～椒}捋{又，梳}熱-{～天}
ts	[7]□{這麼}□{酒}[8]□{蛟～：蟑螂}□{無～：沒有差別}
tsʰ	[7]礤{菜～：礤床兒}掣{猛拉}□{害怕；抖動}泄{又，～尿：禁不住而泄尿}[8]□{歪斜不正}
s	[7]撒{～鹽：放鹽}殺-{～血：宰殺動物使出血}煞{結束}
k	[7]割-{～據}葛{番～：龍舌蘭}刮{搜～}剮括{落～：合群}
kʰ	[7]渴-{喙凋喉～：焦渴}闊-{寬～}
h	[7]喝-[8]伐{邁步}
∅	[8]活-{死～}
#ue	
p	[1]杯□{球～：球拍}[2]培{栽～}賠{～禮}陪裴[4]倍{～増}蓓[5]狽{狼～}[6]貝輩背{～誦}褙焙悖{～謬}佩{～服}
pʰ	[1]裴{俗，～巷：巷名}批[3]䫌{尻川～：屁股的兩側；喙～：臉頰}[5]稗配{～備}帔{又，鳳冠霞～}
b	[1]□{不會，不}[6]賣{販～}
t	[2]題{～目}蹄{牛～}頹{～廢}[3]底{海～}貯{～飯：盛飯}[4]苧{～仔索：苧麻繩}[5]綴[6]地{外～}遞{投～}兌{～換}
tʰ	[1]□{～刀：刨刀}釵{金～}[3]體{樣子}[5]替{～換}退{後～}蛻{蟬～}
l	[2]犁{～耙}[3]詈{～罵：咒罵}餒{氣～}[4]□{荀延殘喘}
ts	[2]摧{～殘}齊-{整～}[4]罪{～惡}贅{入～}最做{～夢}[6]濟{～少：多少}
tsʰ	[1]初-{～三}妻{夫～}[2]摧{又，磨擦}[5]粞{米～：大米磨成的粉}切{磨，擦}
s	[1]棲{孤～}衰梳{～頭}疏{親～}蔬{菜～：蔬菜}[3]黍{番～：高梁}洗{清～}銑{俗，～床}[5]帥說{遊～}稅歲{萬～}細{～漢：小個子}
k	[1]瓜-{西～}雞-{～毛}街-{大～}[2]膎{淹製的水產品或水果}[3]改{～酒：戒酒}解{～勸：勸解}[5]怪{責～}鱖劊檜{秦～：人名}疥{生～：長疥瘡}界{四～：到處}解{又，～送：押送}會{～計}儈膾[6]會{又，容易}繪{～畫}
kʰ	[1]恢{～複}稽{挨～：磨蹭}魁{罪～}盔溪{～水}[5]快{～便：便利}契{～約}喫{啃}
ɡ	[2]倪{姓}[6]外{～甥}藝{做～：消遣}
h	[1]花{菊～}灰{～心}恢詼{～諧}[2]回{～收}茴洄蛔徊{徘～}[3]悔晦賄{～賂}[4]匯{～報}蟹-{毛蟹}[5]廢化{～緣}喙{不容置～}誨會{～議}繪{描～}薈{俗，蘆～}
∅	[1]挨{～磨：推磨}唉偎[2]鞋{皮～}[3]矮{～仔：矮子}[4]解{又，能，會}[6]畫{圖～}話{說～}穢{汙～}棁{拿}衛喂
#ueʔ	
p	[7]八-{～字}捌[8]拔{～毒}
tʰ	[7]貼{鞋～：鞋墊}[8]□{拿}
l	[8]笠-{草～：草帽}
ts	[7]節-{過～}[8]截-{～斷：切斷}
tsʰ	[7]切{又，抽泣}
s	[7]揳{塞}
k	[7]夾{～裘：夾襖}鍥{～仔：鐮刀}[8]狹{拘～：局促}挾{～扁：夾扁}
kʰ	[7]鍥{擁擠}篋□{～目：閉上眼睛}[8]挈{侬～：沒出息的人}狹{狹縫}
ɡ	[7]夾{～菜}莢{豆～}[8]挾{又，夾住}
h	[7]□{～目：眨眼}
∅	[8]劃-{策～}狹-{窄}
#ui	
p	[2]肥-{～料}[5]痱-{生～：長痱子}沸-[6]吠-{雞啼狗～}
pʰ	[5]屁-{放～}啡{～痰：吐痰}
b	[1]微{麻～笑：微笑}[4]靡{～：漂亮}
t	[1]堆{～積}追[2]捶[5]對碓[6]隊墜兌{～銀}腿{～氣：腳浮腫}
tʰ	[1]梯-{樓～}推{～動}[2]錘槌[3]腿[5]替{～包：掉包}蛻{～毛}[6]墜{又，耳～}
l	[1]鐳{銅板，錢}溜{俗，下滑}[2]雷鐳{又，一種金屬元素}擂羸{～弱}[3]壘儡{傀～}磊累{～計}蕾蕊[6]類淚{又}累{又，勞～}彙{《～音妙悟》：泉州方言韻書}縋{用繩子往下送東西}
ts	[1]隹錐椎[2]摧{又，～甘蔗：切甘蔗}誰[3]水{～庫}[5]贅{又，入～}惴醉啐
tsʰ	[1]吹={～捧}炊={～煙}崔{姓；勒緊}催摧{俗，～毀}[2]箠=[3]璀{～燦}[4]脆{乾～}翠粹淬碎{粉～}啐喙{嘴巴}[6]悴萃{薈～}瘁
s	[1]綏{～靖}荽{芫～}雖=蓑{棕～：蓑衣}[2]垂{～直}陲{邊～}誰隨隋[3]水{雨～}嫷{漂亮}髓{精～}[5]碎祟{鬼～}[6]瑞睡穗遂隧燧邃
k	[1]歸龜{～縮}規瑰圭矽胿{頷～：脖子}閨皈機-{布～：織布機}奎{又}[2]逵葵{～花}馗[3]癸鬼詭=佹宄{奸～}幾{～斤}[4]跪{又}[5]掛{～衫：掛衣服}桂貴瑰{又，玫～}季悸[6]櫃{俗，功虧一～}
kʰ	[1]開-{～學}虧窺巋[2]逵{又}葵{又}[3]軌傀{～儡}[5]愧{羞～}潰{俗}饋{俗，～贈}匱{俗，～乏}喟{～歎}氣{外～：洋氣}
ɡ	[2]巍危桅[6]魏偽
h	[1]飛={～機}非啡{嗎～}緋菲{芳～}霏扉蜚{～語}妃揮輝暉琿徽{國～}麾{～下}[2]肥{～美}淝□{陶瓷}[3]誹{～謗}悱{～惻}菲{又，～薄}匪毀[5]肺沸{～騰}費{花～}痱卉{花～}諱{～言}[6]翡{～翠}吠彗{～星}慧{～眼}惠蕙
∅	[1]威□{～空：鑽孔}逶{～迤}胃{俗，～腸}衣-{寒～}[2]惟{～恐}維{又，～護}唯{又，～物}帷{～幕}濰韋幃違圍為{行～}危{俗，～險}桅{俗，～杆}偽{俗，虛～}遺{～失}[3]緯偉葦韙委諉萎痿猥[5]畏尉蔚慰位遺{又，贈送}[6]胃渭謂{～語}蝟為{又}
#uiʔ	
pʰ	[7]□{禃～仔：一點點}
tʰ	[8]□{沉，重}
k	[7]刮-{又，～灰：抹灰}
ɡ	[7]刮{又，抹}
h	[7]血-{流～}
∅	[7]挖{又，～空：挖洞}[8]劃{又，縫合處裂開}
#iau	
p	[1]標={錦～}膘鏢摽[3]表={～揚}婊裱{～褙}[4]鰾
pʰ	[1]標{又，目～}飄{～揚}漂{～流}螵{海～蛸：烏賊骨}[2]嫖瓢剽{～竊}藻樸{姓}[5]漂{～亮}
b	[2]苗={幼～}瞄{～準}描{～寫}[3]秒渺藐淼[6]妙{～齡}廟繆{姓}
t	[1]潮{俗，高～}刁貂凋{～謝}碉雕朝{～氣}[2]朝{又，～代}潮{～濕}嘲櫥{豬～：豬圏}條{～件}調{～整}迢[4]趙兆{預～}肇{～事}[5]掉{～隊}釣吊召[6]調{又，～査}銚
tʰ	[1]超{～工：故意；特地}挑{～動}佻{輕～}桃[2]迢{又}苕髫{小～：小孩}鰷{～魚：一種淡水魚}跳□{面～：粉刺}[3]窕[4]柱{石～}[5]跳{又，～動}眺{～望}糶
l	[2]條{椅～：板凳}遼療燎僚嘹繚獠撩{裁；鋸}寮聊寥饒嬈{妖～}[3]了{～解}潦{又，～倒}擾{干～}繞爪{手～：手指頭；指甲}[4]繚{又，秤～：秤毫}[5]繚{又，～牛：拴牛}爪{又，用手指抓}[6]料廖{姓}了{～望}鐐{～銬}尿=
ts	[1]椒焦礁蕉招{～待}昭釗沼{俗，～氣}[2]焦{俗，枯～}礁{俗，～石}樵{～夫}憔譙{～樓}撨褿=[3]剿沼爪{又，鳥}[5]醮{再～：再嫁}照{遵～}詔{～書}[6]邵{～武：地名}
tsʰ	[1]悄抄{～家}超{～過}[3]□{好}[5]俏峭笑{又，眉開顏～}
s	[1]燒梢{下～：下賤}肖消硝逍宵霄{重～}蕭{～條}瀟簫[2]韶{～華}潲{精液}[3]少{多～}□{精神病}小{～說}[4]紹{～興：地名}[5]鞘{劍～}少{又，～年}紹{又，介～}數{算～：算帳}漱{～口水}肖{又，不～}笑{見～：慚愧}[6]邵{姓}
k	[1]嬌驕交{又，和；同}澆{～鑄}僥[2]喬{姓}僑橋蕎翹{連～}[3]餃繳攪{～拌}矯九{跋～：賭博}[4]□{～中哥：用中指戳人}[5]叫{大呼小～}[6]轎
kʰ	[1]蹺{彎～：彎曲}[2]喬{又，～苦：刁難}[3]巧{又，～妙}翹{又，～尾：翹尾巴}竅{訣～}
ɡ	[2]堯蟯{～蟲}[4]□{撬}
h	[1]僥{～興}囂{叫～}梟驍枵{～腹從公}[2]姣{女性舉止輕佻}[3]曉
∅	[1]枵{饑餓}夭妖要{～求}腰邀{～請}麼吆{～喝}[2]搖{動～}謠瑤徭{～役}遙窯{～洞}姚{姓}[3]夭{又，～壽：夭折}窈{～窕}舀[5]要{又，需～}[6]耀{照～}鷂{～鷹}
#iauʔ	
l	[7]□{女性不實在}
tsʰ	[7]悄{俗，靜～～}□{拍板；一種打擊樂}[8]嚼{好說話}
k	[7]攪{又，用針挑}
kʰ	[7]□{死}
ɡ	[7]撓{俗，打鉤}
h	[7]□{嬉～：輕浮}
#uai	
ts	[2]□{這些}[4]□{扭傷}
s	[1]摔{俗，～交}[5]率{俗，～領}
k	[1]乖[3]拐蒯{姓}[4]拐{俗，～篙：作梗}[5]怪{奇～}
kʰ	[3]□{講}[5]快{～速}塊{方～}筷
h	[2]懷淮{～河：水名}槐{～樹}□{那些}[5]壞{破～}
∅	[1]歪[3]□{跛行}
#m	
∅	[2]媒{～儂：媒人}梅{楊～}莓{花～：花苞}[3]姆{又，阿～：伯母}[6]毋{不，不要}
#mʔ	
h	[7]□{使勁打}[8]默{～～：默不作聲}
∅	[8]□{嘆詞，表疑問}
#am	
t	[1]耽眈{虎視～～}擔{承～}啖{俗，用舌頭嘗}[2]談澹{濕}[3]膽{～略}[4]淡湛{精～}[5]擔□{～頭：點頭}[6]啖{～糝：吃點兒東西}淡{又，平～}氮
tʰ	[1]貪[2]痰罎{～～罐罐}曇{～花}覃潭譚{姓}[5]探
l	[1]□{以物炫耀}[2]婪藍={～色}籃=嵐淋-{～雨}南楠喃男[3]覽攬欖纜{電～}荏{不結實}[5]艦{俗，～艇}[6]濫{～用}
ts	[1]簪{～花}臜{醃～}沾{胡蠅～糖：蒼蠅沾上糖}針{～線}[2]岑{～岩：牢固}[3]斬{～首}嶄{～然：相當}[4]站{俗，車～}鏨{剁}[5]蘸[6]暫
tsʰ	[1]參摻[2]蠶慚讒饞[3]慘[5]懺{～悔}讖{預言}
s	[1]三{～牲}三衫{雲～：襯衣}杉{～木}[3]糝{濫～：隨便；亂來}[5]□{毛髮散亂}□{嚴厲批評}
k	[1]甘柑泔坩{～鍋}疳尷監{～護}[2]含{～糖仔：含糖果}[3]感敢={勇～}橄=㔶{埋}[5]監{又，～督}鑒
kʰ	[1]勘{～誤}戡龕坩[3]砍坎闞{神氣，自大}襤{門～}[4]喊{～嗽：咳嗽}陷{～竭：衰竭}[5]瞰勘{又，較～：比較}
ɡ	[2]癌
h	[1]蚶酣憨[2]含{～量}晗函涵{～養}邯{～鄲：地名}咸{～陽：地名}銜{軍～}[3]喊[4]撼{震～}喊{又}嗰{俗，虎～：吞噬}頷{～首}[5]泛{～～：隨便，將就}陷{俗，～井}[6]憾餡陷{～害}
∅	[1]庵醃鵪□{傻}[2]涵{～洞}含{又，合併}[3]罯飲{米湯}[4]頷{～胿：脖子}[5]暗揞
#ap	
t	[7]答={～案}搭=[8]沓{紛至～來}踏=
tʰ	[7]塌{～方}遢塔榻蹋
l	[7]擸{～𢶍：垃圾；骯髒}邋{～遢}□{踢，踹}䟜{踢，踹}塌{凹下}□{塌陷}[8]蠟=臘=納{出～}衲{百～衣}呐鈉訥
ts	[7]汁-{墨～}[8]十-{三～}拾什{～物}雜{～技}閘=
tsʰ	[7]插={～牌：洗牌}
s	[7]𢶍{擸～：垃圾；骯髒}□{碎屑}[8]□{雨～：雨點密}閘{又}
k	[7]鴿蛤{～仔：蛤蜊}合{～藥：買藥}夾{～細囝：照管嬰兒}甲={～第}[8]洽{液體濃}
kʰ	[7]卡咔嗑瞌恰{～當}[8]磕{俗，～破}
h	[7]哈{大口吃}翕{～像：照相}[8]蛤合={又，～作}盒=狎{戲～}匣=狹={～義}峽
∅	[7]壓={～迫}押鴨=[8]蛤{～蟆}盒-匣-
#əm	
ts	[1]簪=針=箴{～言}斟[3]怎
tsʰ	[1]參{又，～差}
s	[1]森參{又，人～}
h	[1]欣{～～向榮}
#im	
t	[1]砧[2]沉{～默}[4]朕{皇帝自稱}[5]□{掂}□{重}沉{又，沒於水中}[6]沉{又}鴆{～毒}□{隔水煮熟}
tʰ	[1]琛{陰～：陰險}[5]椹{又，砸；拋擲}
l	[1]啉{飲，喝}[2]林{姓}淋{～漓}琳霖臨{～近}壬任{姓}[3]懍凜廩{倉～}忍{～耐}荏{～苒}紉{俗，縫～}[6]賃{租～}任妊{～娠}飪{烹～}衽{～席}刃={俗，刀～}韌{俗，～帶}
ts	[1]斟{吻}[2]蟳{海蟹}潯{～美：地名}[3]嬸{阿～：嬸母}枕浸
tsʰ	[1]侵深{～入}[2]岑[3]寢沁鋟
s	[1]深心芯{燈～}[2]忱鱘尋{～常}潯{江～}[3]審嬸沈{姓}[4]甚{～至}[5]滲{～透}□{上下一起一落地顫動}
k	[1]金今{當～}矜{～持}[3]錦[4]妗{阿～：舅母}[5]禁噤
kʰ	[1]襟欽衾[2]岑{俗，姓}黔芩{黃～}琴禽擒噙
ɡ	[2]吟□{石～：石階}[3]□{量詞，局}
h	[2]熊-{～貓}[5]□{砸}
∅	[1]淹{～水}音陰{～天}蔭{～蔽}[2]淫{荒～}[3]飲={～料}[5]蔭{又，致～：蔭庇}窨{～熄：封閉使熄滅}
#ip	
t	[8]蟄{～伏}
l	[7]□{稍欠}[8]立粒=笠=
ts	[7]緝{追}輯汁=執[8]集籍寂{又，～靜}噴{俗，象聲詞，表示不滿或為難}
tsʰ	[7]緝{又}輯{又}楫葺
s	[7]澀濕[8]十={～全}什{～錦}拾{收～}習襲
