字目	读音	注释	声母	韵母	声调	(声母)	(声母序)	(韵母序)	(调序)	最后一个同音字?1为是	声韵组合	最后一个同音异调?1为是	同音字汇(同音异调!)	同音字汇连声韵
使	=D1705&E1705&F1705	白	s	ai	41	=IF(D1705=0,"〇",D1705)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1705=B1706,0,1)	=D1705&E1705	=IF(L1705=L1706,0,1)	=IF(M1704=0,IF(K1704=0,IF(B1705=B1704,N1704&IF(C1705=0,A1705,A1705&"{"&C1705&"}"),"["&J1705&"]"&IF(C1705=0,A1705,A1705&"{"&C1705&"}")),N1704&"["&J1705&"]"&IF(C1705=0,A1705,A1705&"{"&C1705&"}")),"["&J1705&"]"&IF(C1705=0,A1705,A1705&"{"&C1705&"}"))	=L1705&N1705
該	=D1706&E1706&F1706		k	ai	35	=IF(D1706=0,"〇",D1706)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1706=B1707,0,1)	=D1706&E1706	=IF(L1706=L1707,0,1)	=IF(M1705=0,IF(K1705=0,IF(B1706=B1705,N1705&IF(C1706=0,A1706,A1706&"{"&C1706&"}"),"["&J1706&"]"&IF(C1706=0,A1706,A1706&"{"&C1706&"}")),N1705&"["&J1706&"]"&IF(C1706=0,A1706,A1706&"{"&C1706&"}")),"["&J1706&"]"&IF(C1706=0,A1706,A1706&"{"&C1706&"}"))	=L1706&N1706
皆	=D1707&E1707&F1707		k	ai	35	=IF(D1707=0,"〇",D1707)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1707=B1708,0,1)	=D1707&E1707	=IF(L1707=L1708,0,1)	=IF(M1706=0,IF(K1706=0,IF(B1707=B1706,N1706&IF(C1707=0,A1707,A1707&"{"&C1707&"}"),"["&J1707&"]"&IF(C1707=0,A1707,A1707&"{"&C1707&"}")),N1706&"["&J1707&"]"&IF(C1707=0,A1707,A1707&"{"&C1707&"}")),"["&J1707&"]"&IF(C1707=0,A1707,A1707&"{"&C1707&"}"))	=L1707&N1707
偕	=D1708&E1708&F1708		k	ai	35	=IF(D1708=0,"〇",D1708)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1708=B1709,0,1)	=D1708&E1708	=IF(L1708=L1709,0,1)	=IF(M1707=0,IF(K1707=0,IF(B1708=B1707,N1707&IF(C1708=0,A1708,A1708&"{"&C1708&"}"),"["&J1708&"]"&IF(C1708=0,A1708,A1708&"{"&C1708&"}")),N1707&"["&J1708&"]"&IF(C1708=0,A1708,A1708&"{"&C1708&"}")),"["&J1708&"]"&IF(C1708=0,A1708,A1708&"{"&C1708&"}"))	=L1708&N1708
稭	=D1709&E1709&F1709		k	ai	35	=IF(D1709=0,"〇",D1709)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1709=B1710,0,1)	=D1709&E1709	=IF(L1709=L1710,0,1)	=IF(M1708=0,IF(K1708=0,IF(B1709=B1708,N1708&IF(C1709=0,A1709,A1709&"{"&C1709&"}"),"["&J1709&"]"&IF(C1709=0,A1709,A1709&"{"&C1709&"}")),N1708&"["&J1709&"]"&IF(C1709=0,A1709,A1709&"{"&C1709&"}")),"["&J1709&"]"&IF(C1709=0,A1709,A1709&"{"&C1709&"}"))	=L1709&N1709
階	=D1710&E1710&F1710		k	ai	35	=IF(D1710=0,"〇",D1710)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1710=B1711,0,1)	=D1710&E1710	=IF(L1710=L1711,0,1)	=IF(M1709=0,IF(K1709=0,IF(B1710=B1709,N1709&IF(C1710=0,A1710,A1710&"{"&C1710&"}"),"["&J1710&"]"&IF(C1710=0,A1710,A1710&"{"&C1710&"}")),N1709&"["&J1710&"]"&IF(C1710=0,A1710,A1710&"{"&C1710&"}")),"["&J1710&"]"&IF(C1710=0,A1710,A1710&"{"&C1710&"}"))	=L1710&N1710
揩	=D1711&E1711&F1711	文	k	ai	35	=IF(D1711=0,"〇",D1711)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1711=B1712,0,1)	=D1711&E1711	=IF(L1711=L1712,0,1)	=IF(M1710=0,IF(K1710=0,IF(B1711=B1710,N1710&IF(C1711=0,A1711,A1711&"{"&C1711&"}"),"["&J1711&"]"&IF(C1711=0,A1711,A1711&"{"&C1711&"}")),N1710&"["&J1711&"]"&IF(C1711=0,A1711,A1711&"{"&C1711&"}")),"["&J1711&"]"&IF(C1711=0,A1711,A1711&"{"&C1711&"}"))	=L1711&N1711
楷	=D1712&E1712&F1712		k	ai	35	=IF(D1712=0,"〇",D1712)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1712=B1713,0,1)	=D1712&E1712	=IF(L1712=L1713,0,1)	=IF(M1711=0,IF(K1711=0,IF(B1712=B1711,N1711&IF(C1712=0,A1712,A1712&"{"&C1712&"}"),"["&J1712&"]"&IF(C1712=0,A1712,A1712&"{"&C1712&"}")),N1711&"["&J1712&"]"&IF(C1712=0,A1712,A1712&"{"&C1712&"}")),"["&J1712&"]"&IF(C1712=0,A1712,A1712&"{"&C1712&"}"))	=L1712&N1712
個	=D1713&E1713&F1713	又	k	ai	44	=IF(D1713=0,"〇",D1713)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1713=B1714,0,1)	=D1713&E1713	=IF(L1713=L1714,0,1)	=IF(M1712=0,IF(K1712=0,IF(B1713=B1712,N1712&IF(C1713=0,A1713,A1713&"{"&C1713&"}"),"["&J1713&"]"&IF(C1713=0,A1713,A1713&"{"&C1713&"}")),N1712&"["&J1713&"]"&IF(C1713=0,A1713,A1713&"{"&C1713&"}")),"["&J1713&"]"&IF(C1713=0,A1713,A1713&"{"&C1713&"}"))	=L1713&N1713
改	=D1714&E1714&F1714	文	k	ai	53	=IF(D1714=0,"〇",D1714)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1714=B1715,0,1)	=D1714&E1714	=IF(L1714=L1715,0,1)	=IF(M1713=0,IF(K1713=0,IF(B1714=B1713,N1713&IF(C1714=0,A1714,A1714&"{"&C1714&"}"),"["&J1714&"]"&IF(C1714=0,A1714,A1714&"{"&C1714&"}")),N1713&"["&J1714&"]"&IF(C1714=0,A1714,A1714&"{"&C1714&"}")),"["&J1714&"]"&IF(C1714=0,A1714,A1714&"{"&C1714&"}"))	=L1714&N1714
解	=D1715&E1715&F1715	文	k	ai	53	=IF(D1715=0,"〇",D1715)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1715=B1716,0,1)	=D1715&E1715	=IF(L1715=L1716,0,1)	=IF(M1714=0,IF(K1714=0,IF(B1715=B1714,N1714&IF(C1715=0,A1715,A1715&"{"&C1715&"}"),"["&J1715&"]"&IF(C1715=0,A1715,A1715&"{"&C1715&"}")),N1714&"["&J1715&"]"&IF(C1715=0,A1715,A1715&"{"&C1715&"}")),"["&J1715&"]"&IF(C1715=0,A1715,A1715&"{"&C1715&"}"))	=L1715&N1715
解	=D1716&E1716&F1716	文	k	ai	53	=IF(D1716=0,"〇",D1716)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1716=B1717,0,1)	=D1716&E1716	=IF(L1716=L1717,0,1)	=IF(M1715=0,IF(K1715=0,IF(B1716=B1715,N1715&IF(C1716=0,A1716,A1716&"{"&C1716&"}"),"["&J1716&"]"&IF(C1716=0,A1716,A1716&"{"&C1716&"}")),N1715&"["&J1716&"]"&IF(C1716=0,A1716,A1716&"{"&C1716&"}")),"["&J1716&"]"&IF(C1716=0,A1716,A1716&"{"&C1716&"}"))	=L1716&N1716
屆	=D1717&E1717&F1717	文	k	ai	41	=IF(D1717=0,"〇",D1717)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1717=B1718,0,1)	=D1717&E1717	=IF(L1717=L1718,0,1)	=IF(M1716=0,IF(K1716=0,IF(B1717=B1716,N1716&IF(C1717=0,A1717,A1717&"{"&C1717&"}"),"["&J1717&"]"&IF(C1717=0,A1717,A1717&"{"&C1717&"}")),N1716&"["&J1717&"]"&IF(C1717=0,A1717,A1717&"{"&C1717&"}")),"["&J1717&"]"&IF(C1717=0,A1717,A1717&"{"&C1717&"}"))	=L1717&N1717
個	=D1718&E1718&F1718	白	k	ai	41	=IF(D1718=0,"〇",D1718)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1718=B1719,0,1)	=D1718&E1718	=IF(L1718=L1719,0,1)	=IF(M1717=0,IF(K1717=0,IF(B1718=B1717,N1717&IF(C1718=0,A1718,A1718&"{"&C1718&"}"),"["&J1718&"]"&IF(C1718=0,A1718,A1718&"{"&C1718&"}")),N1717&"["&J1718&"]"&IF(C1718=0,A1718,A1718&"{"&C1718&"}")),"["&J1718&"]"&IF(C1718=0,A1718,A1718&"{"&C1718&"}"))	=L1718&N1718
溉	=D1719&E1719&F1719		k	ai	41	=IF(D1719=0,"〇",D1719)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1719=B1720,0,1)	=D1719&E1719	=IF(L1719=L1720,0,1)	=IF(M1718=0,IF(K1718=0,IF(B1719=B1718,N1718&IF(C1719=0,A1719,A1719&"{"&C1719&"}"),"["&J1719&"]"&IF(C1719=0,A1719,A1719&"{"&C1719&"}")),N1718&"["&J1719&"]"&IF(C1719=0,A1719,A1719&"{"&C1719&"}")),"["&J1719&"]"&IF(C1719=0,A1719,A1719&"{"&C1719&"}"))	=L1719&N1719
概	=D1720&E1720&F1720		k	ai	41	=IF(D1720=0,"〇",D1720)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1720=B1721,0,1)	=D1720&E1720	=IF(L1720=L1721,0,1)	=IF(M1719=0,IF(K1719=0,IF(B1720=B1719,N1719&IF(C1720=0,A1720,A1720&"{"&C1720&"}"),"["&J1720&"]"&IF(C1720=0,A1720,A1720&"{"&C1720&"}")),N1719&"["&J1720&"]"&IF(C1720=0,A1720,A1720&"{"&C1720&"}")),"["&J1720&"]"&IF(C1720=0,A1720,A1720&"{"&C1720&"}"))	=L1720&N1720
蓋	=D1721&E1721&F1721	文	k	ai	41	=IF(D1721=0,"〇",D1721)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1721=B1722,0,1)	=D1721&E1721	=IF(L1721=L1722,0,1)	=IF(M1720=0,IF(K1720=0,IF(B1721=B1720,N1720&IF(C1721=0,A1721,A1721&"{"&C1721&"}"),"["&J1721&"]"&IF(C1721=0,A1721,A1721&"{"&C1721&"}")),N1720&"["&J1721&"]"&IF(C1721=0,A1721,A1721&"{"&C1721&"}")),"["&J1721&"]"&IF(C1721=0,A1721,A1721&"{"&C1721&"}"))	=L1721&N1721
丐	=D1722&E1722&F1722		k	ai	41	=IF(D1722=0,"〇",D1722)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1722=B1723,0,1)	=D1722&E1722	=IF(L1722=L1723,0,1)	=IF(M1721=0,IF(K1721=0,IF(B1722=B1721,N1721&IF(C1722=0,A1722,A1722&"{"&C1722&"}"),"["&J1722&"]"&IF(C1722=0,A1722,A1722&"{"&C1722&"}")),N1721&"["&J1722&"]"&IF(C1722=0,A1722,A1722&"{"&C1722&"}")),"["&J1722&"]"&IF(C1722=0,A1722,A1722&"{"&C1722&"}"))	=L1722&N1722
戒	=D1723&E1723&F1723		k	ai	41	=IF(D1723=0,"〇",D1723)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1723=B1724,0,1)	=D1723&E1723	=IF(L1723=L1724,0,1)	=IF(M1722=0,IF(K1722=0,IF(B1723=B1722,N1722&IF(C1723=0,A1723,A1723&"{"&C1723&"}"),"["&J1723&"]"&IF(C1723=0,A1723,A1723&"{"&C1723&"}")),N1722&"["&J1723&"]"&IF(C1723=0,A1723,A1723&"{"&C1723&"}")),"["&J1723&"]"&IF(C1723=0,A1723,A1723&"{"&C1723&"}"))	=L1723&N1723
芥	=D1724&E1724&F1724	文	k	ai	41	=IF(D1724=0,"〇",D1724)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1724=B1725,0,1)	=D1724&E1724	=IF(L1724=L1725,0,1)	=IF(M1723=0,IF(K1723=0,IF(B1724=B1723,N1723&IF(C1724=0,A1724,A1724&"{"&C1724&"}"),"["&J1724&"]"&IF(C1724=0,A1724,A1724&"{"&C1724&"}")),N1723&"["&J1724&"]"&IF(C1724=0,A1724,A1724&"{"&C1724&"}")),"["&J1724&"]"&IF(C1724=0,A1724,A1724&"{"&C1724&"}"))	=L1724&N1724
尬	=D1725&E1725&F1725		k	ai	41	=IF(D1725=0,"〇",D1725)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1725=B1726,0,1)	=D1725&E1725	=IF(L1725=L1726,0,1)	=IF(M1724=0,IF(K1724=0,IF(B1725=B1724,N1724&IF(C1725=0,A1725,A1725&"{"&C1725&"}"),"["&J1725&"]"&IF(C1725=0,A1725,A1725&"{"&C1725&"}")),N1724&"["&J1725&"]"&IF(C1725=0,A1725,A1725&"{"&C1725&"}")),"["&J1725&"]"&IF(C1725=0,A1725,A1725&"{"&C1725&"}"))	=L1725&N1725
界	=D1726&E1726&F1726	文	k	ai	41	=IF(D1726=0,"〇",D1726)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1726=B1727,0,1)	=D1726&E1726	=IF(L1726=L1727,0,1)	=IF(M1725=0,IF(K1725=0,IF(B1726=B1725,N1725&IF(C1726=0,A1726,A1726&"{"&C1726&"}"),"["&J1726&"]"&IF(C1726=0,A1726,A1726&"{"&C1726&"}")),N1725&"["&J1726&"]"&IF(C1726=0,A1726,A1726&"{"&C1726&"}")),"["&J1726&"]"&IF(C1726=0,A1726,A1726&"{"&C1726&"}"))	=L1726&N1726
介	=D1727&E1727&F1727		k	ai	41	=IF(D1727=0,"〇",D1727)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1727=B1728,0,1)	=D1727&E1727	=IF(L1727=L1728,0,1)	=IF(M1726=0,IF(K1726=0,IF(B1727=B1726,N1726&IF(C1727=0,A1727,A1727&"{"&C1727&"}"),"["&J1727&"]"&IF(C1727=0,A1727,A1727&"{"&C1727&"}")),N1726&"["&J1727&"]"&IF(C1727=0,A1727,A1727&"{"&C1727&"}")),"["&J1727&"]"&IF(C1727=0,A1727,A1727&"{"&C1727&"}"))	=L1727&N1727
疥	=D1728&E1728&F1728	文	k	ai	41	=IF(D1728=0,"〇",D1728)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1728=B1729,0,1)	=D1728&E1728	=IF(L1728=L1729,0,1)	=IF(M1727=0,IF(K1727=0,IF(B1728=B1727,N1727&IF(C1728=0,A1728,A1728&"{"&C1728&"}"),"["&J1728&"]"&IF(C1728=0,A1728,A1728&"{"&C1728&"}")),N1727&"["&J1728&"]"&IF(C1728=0,A1728,A1728&"{"&C1728&"}")),"["&J1728&"]"&IF(C1728=0,A1728,A1728&"{"&C1728&"}"))	=L1728&N1728
届	=D1729&E1729&F1729	文	k	ai	41	=IF(D1729=0,"〇",D1729)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1729=B1730,0,1)	=D1729&E1729	=IF(L1729=L1730,0,1)	=IF(M1728=0,IF(K1728=0,IF(B1729=B1728,N1728&IF(C1729=0,A1729,A1729&"{"&C1729&"}"),"["&J1729&"]"&IF(C1729=0,A1729,A1729&"{"&C1729&"}")),N1728&"["&J1729&"]"&IF(C1729=0,A1729,A1729&"{"&C1729&"}")),"["&J1729&"]"&IF(C1729=0,A1729,A1729&"{"&C1729&"}"))	=L1729&N1729
開	=D1730&E1730&F1730	文	kʰ	ai	35	=IF(D1730=0,"〇",D1730)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1730=B1731,0,1)	=D1730&E1730	=IF(L1730=L1731,0,1)	=IF(M1729=0,IF(K1729=0,IF(B1730=B1729,N1729&IF(C1730=0,A1730,A1730&"{"&C1730&"}"),"["&J1730&"]"&IF(C1730=0,A1730,A1730&"{"&C1730&"}")),N1729&"["&J1730&"]"&IF(C1730=0,A1730,A1730&"{"&C1730&"}")),"["&J1730&"]"&IF(C1730=0,A1730,A1730&"{"&C1730&"}"))	=L1730&N1730
凱	=D1731&E1731&F1731		kʰ	ai	53	=IF(D1731=0,"〇",D1731)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1731=B1732,0,1)	=D1731&E1731	=IF(L1731=L1732,0,1)	=IF(M1730=0,IF(K1730=0,IF(B1731=B1730,N1730&IF(C1731=0,A1731,A1731&"{"&C1731&"}"),"["&J1731&"]"&IF(C1731=0,A1731,A1731&"{"&C1731&"}")),N1730&"["&J1731&"]"&IF(C1731=0,A1731,A1731&"{"&C1731&"}")),"["&J1731&"]"&IF(C1731=0,A1731,A1731&"{"&C1731&"}"))	=L1731&N1731
愷	=D1732&E1732&F1732		kʰ	ai	53	=IF(D1732=0,"〇",D1732)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1732=B1733,0,1)	=D1732&E1732	=IF(L1732=L1733,0,1)	=IF(M1731=0,IF(K1731=0,IF(B1732=B1731,N1731&IF(C1732=0,A1732,A1732&"{"&C1732&"}"),"["&J1732&"]"&IF(C1732=0,A1732,A1732&"{"&C1732&"}")),N1731&"["&J1732&"]"&IF(C1732=0,A1732,A1732&"{"&C1732&"}")),"["&J1732&"]"&IF(C1732=0,A1732,A1732&"{"&C1732&"}"))	=L1732&N1732
楷	=D1733&E1733&F1733		kʰ	ai	53	=IF(D1733=0,"〇",D1733)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1733=B1734,0,1)	=D1733&E1733	=IF(L1733=L1734,0,1)	=IF(M1732=0,IF(K1732=0,IF(B1733=B1732,N1732&IF(C1733=0,A1733,A1733&"{"&C1733&"}"),"["&J1733&"]"&IF(C1733=0,A1733,A1733&"{"&C1733&"}")),N1732&"["&J1733&"]"&IF(C1733=0,A1733,A1733&"{"&C1733&"}")),"["&J1733&"]"&IF(C1733=0,A1733,A1733&"{"&C1733&"}"))	=L1733&N1733
慨	=D1734&E1734&F1734		kʰ	ai	41	=IF(D1734=0,"〇",D1734)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1734=B1735,0,1)	=D1734&E1734	=IF(L1734=L1735,0,1)	=IF(M1733=0,IF(K1733=0,IF(B1734=B1733,N1733&IF(C1734=0,A1734,A1734&"{"&C1734&"}"),"["&J1734&"]"&IF(C1734=0,A1734,A1734&"{"&C1734&"}")),N1733&"["&J1734&"]"&IF(C1734=0,A1734,A1734&"{"&C1734&"}")),"["&J1734&"]"&IF(C1734=0,A1734,A1734&"{"&C1734&"}"))	=L1734&N1734
概	=D1735&E1735&F1735		kʰ	ai	41	=IF(D1735=0,"〇",D1735)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1735=B1736,0,1)	=D1735&E1735	=IF(L1735=L1736,0,1)	=IF(M1734=0,IF(K1734=0,IF(B1735=B1734,N1734&IF(C1735=0,A1735,A1735&"{"&C1735&"}"),"["&J1735&"]"&IF(C1735=0,A1735,A1735&"{"&C1735&"}")),N1734&"["&J1735&"]"&IF(C1735=0,A1735,A1735&"{"&C1735&"}")),"["&J1735&"]"&IF(C1735=0,A1735,A1735&"{"&C1735&"}"))	=L1735&N1735
獃	=D1736&E1736&F1736		ŋ	ai	35	=IF(D1736=0,"〇",D1736)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1736=B1737,0,1)	=D1736&E1736	=IF(L1736=L1737,0,1)	=IF(M1735=0,IF(K1735=0,IF(B1736=B1735,N1735&IF(C1736=0,A1736,A1736&"{"&C1736&"}"),"["&J1736&"]"&IF(C1736=0,A1736,A1736&"{"&C1736&"}")),N1735&"["&J1736&"]"&IF(C1736=0,A1736,A1736&"{"&C1736&"}")),"["&J1736&"]"&IF(C1736=0,A1736,A1736&"{"&C1736&"}"))	=L1736&N1736
呆	=D1737&E1737&F1737		ŋ	ai	35	=IF(D1737=0,"〇",D1737)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1737=B1738,0,1)	=D1737&E1737	=IF(L1737=L1738,0,1)	=IF(M1736=0,IF(K1736=0,IF(B1737=B1736,N1736&IF(C1737=0,A1737,A1737&"{"&C1737&"}"),"["&J1737&"]"&IF(C1737=0,A1737,A1737&"{"&C1737&"}")),N1736&"["&J1737&"]"&IF(C1737=0,A1737,A1737&"{"&C1737&"}")),"["&J1737&"]"&IF(C1737=0,A1737,A1737&"{"&C1737&"}"))	=L1737&N1737
涯	=D1738&E1738&F1738		ŋ	ai	44	=IF(D1738=0,"〇",D1738)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1738=B1739,0,1)	=D1738&E1738	=IF(L1738=L1739,0,1)	=IF(M1737=0,IF(K1737=0,IF(B1738=B1737,N1737&IF(C1738=0,A1738,A1738&"{"&C1738&"}"),"["&J1738&"]"&IF(C1738=0,A1738,A1738&"{"&C1738&"}")),N1737&"["&J1738&"]"&IF(C1738=0,A1738,A1738&"{"&C1738&"}")),"["&J1738&"]"&IF(C1738=0,A1738,A1738&"{"&C1738&"}"))	=L1738&N1738
崖	=D1739&E1739&F1739		ŋ	ai	44	=IF(D1739=0,"〇",D1739)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1739=B1740,0,1)	=D1739&E1739	=IF(L1739=L1740,0,1)	=IF(M1738=0,IF(K1738=0,IF(B1739=B1738,N1738&IF(C1739=0,A1739,A1739&"{"&C1739&"}"),"["&J1739&"]"&IF(C1739=0,A1739,A1739&"{"&C1739&"}")),N1738&"["&J1739&"]"&IF(C1739=0,A1739,A1739&"{"&C1739&"}")),"["&J1739&"]"&IF(C1739=0,A1739,A1739&"{"&C1739&"}"))	=L1739&N1739
隑	=D1740&E1740&F1740		ŋ	ai	44	=IF(D1740=0,"〇",D1740)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B1740=B1741,0,1)	=D1740&E1740	=IF(L1740=L1741,0,1)	=IF(M1739=0,IF(K1739=0,IF(B1740=B1739,N1739&IF(C1740=0,A1740,A1740&"{"&C1740&"}"),"["&J1740&"]"&IF(C1740=0,A1740,A1740&"{"&C1740&"}")),N1739&"["&J1740&"]"&IF(C1740=0,A1740,A1740&"{"&C1740&"}")),"["&J1740&"]"&IF(C1740=0,A1740,A1740&"{"&C1740&"}"))	=L1740&N1740
