#符号说明	-白读音 =文读音  □本字不明  {}内容注释
#调值	[1]阴平21 [2]阳平35 [3]上声32 [5]阴去44 [6]阳去33 [7a]阴入5 [8]阳入2 [7b]次阴入224
#ɿ	
ŋ	[1]肮[2]昂[5]盎
x	[1]夯□{喘气：~气}[2]杭航行[3]㨔{给，表被动}[5]炕{一种烹调方法，将食品放在锅里或炉中，用小火慢慢地烤熟}[6]巷项{~圈}
ø	[1]咉{答应声}[2]昂=
#iã	
ȵ	[1]嬢[2]娘[3]仰[6]酿
l	[2]梁椋凉粱粮良量[3]魉[6]亮谅量辆
tɕ	[1]将僵江浆疆缰[2]姜将[3]桨奖蒋讲[5]将犟酱降
tɕʰ	[1]呛枪羌腔戗{急~：因为生气或者愤怒而失去理智}[2]强墙祥翔蔷襁详降-[3]抢[5]戗[6]像匠强橡犟象
ɕ	[1]厢湘相箱缃襄乡镶香[2]降[3]享想响饷[5]向向向相象[6]项=
ø	[1]央殃泱秧鸯[2]佯徉扬杨洋痒疡羊阳[3]氧痒养[5]□{火旺}䬬{令人难以下咽而导致的恶心欲吐感觉}[6]样
#uã	
tʂ	[1]妆桩妆庄装[3]奘{粗壮}[5]壮
tʂʰ	[1]窗[2]床[3]闯[5]创[6]撞状
ʂ	[1]双霜[3]爽
k	[1]光胱[3]广[5]逛
kʰ	[1]匡框眶筐[2]狂[5]况旷矿
x	[1]慌荒黄[2]凰潢煌璜皇磺簧蝗蟥隍黄[3]幌恍谎[5]晃
ø	[2]黄
#ɛ᷉	
p	[1]扳攽斑班瘢般蓖颁[3]坂板版舨阪[5]扮瓣办
pʰ	[1]攀[2]爿□{淌水}[5]盼襻[6]办
m	[2]蛮[3]晚[6]慢曼漫蔓
f	[1]幡番翻[2]凡帆樊烦矾繁藩[3]反返[5]㽹泛贩[6]犯范饭
v	[1]弯湾[2]玩顽[3]挽晚[5]弯{拐进、绕道去}[6]万
t	[1]担丹单郸[3]掸胆[5]担旦
tʰ	[1]坍摊滩痑瘫[2]坛弹檀痰谈谭[3]坦毯袒[5]叹炭碳[6]弹惮氮淡蛋诞
n	[2]难[6]难{困~}
l	[2]拦栏澜篮蓝兰阑[3]俩两懒揽榄缆览[6]滥烂
ts	[1]簪劗{剁}[3]攒[5]灒赞
tsʰ	[1]参餐[2]惭残[3]惨馓[5]灿[6]暂绽{丰满}
s	[1]三参叁[2]涎[3]伞散[5]散
tʂ	[3]崭斩盏[5]站蘸
tʂʰ	[1]掺搀[2]孱巉潺谗馋[3]铲产铲[5]忏[6]栈湛
ʂ	[1]删姗山杉珊舢衫跚[2]馋[5]汕疝讪
ʐ	[2]然=
k	[1]尴监间[3]碱拣柬减简-
kʰ	[1]铅□{挑，拣，夹}[2]函{~子}[3]槛[5]嵌
ŋ	[1]淹[2]癌岩□{蟹钳}颜[3]眼[5]晏[6]雁
