id	ini	fn	pt	middeng	middiao	midini	midkaihe	midyun	单字	ipa调值	ipa调号	注释
906	ȵ	i	213	三b	去	疑	開	支	誼	ȵi213	ȵi2	友～
907	ȵ	i	451	三b	去	疑	開	支	義	ȵi451	ȵi5	情～，～气
908	ȵ	i	451	三b	去	疑	開	支	議	ȵi451	ȵi5	～论，会～
909	h	i	33						犠	hi33	hi1a	～牲
910	h	i	451	三b	去	曉	開	支	戲	hi451	hi5	做～
911	j	i	21	三b	上	影	開	支	倚	ji21	ji3	～靠，～老卖老
912	j	i	21	三b	上	影	開	支	椅	ji21	ji3	椅子，藤～
913	j	i	213	三	平	以	開	支	移	ji213	ji2	～动
914	j	i	21	三	去	以	開	支	易	ji21	ji3	容～
915	p	i	33	三b	平	幫	開	脂	悲	pi33	pi1a	～伤
916	p	i	33	三b	上	幫	開	脂	鄙	pi33	pi1a	卑～，～视[文]
917	p	i	33	三b	上	幫	開	脂	鄙	pi33	pi1a	差劲[白]
918	p	i	21	三a	上	幫	開	脂	比	pi21	pi3	～较，对～
919	p	i	451	三b	去	幫	開	脂	祕	pi451	pi5	～书，～密
920	p	i	451	三b	去	幫	開	脂	泌	pi451	pi5	分～；滤出汤汁
921	p	i	451	三a	去	幫	開	脂	庇	pi451	pi5	包～，～护
922	p	i	451	三a	去	幫	開	脂	痹	pi451	pi5	麻～
923	pʰ	i	33	三b	平	滂	開	脂	丕	pʰi33	pʰi1a	人名用字，曹～
924	pʰ	i	451	三a	去	滂	開	脂	屁	pʰi451	pʰi5	放～
925	pʰ	i	451	三a	平	並	開	脂	琵	pʰi451	pʰi5	～琶
926	pʰ	i	213	三a	平	並	開	脂	枇	pʰi213	pʰi2	～杷
927	pʰ	i	21	三b	去	並	開	脂	備	pʰi21	pʰi3	准～，～用
928	pʰ	i	21	三a	去	並	開	脂	鼻	pʰi21	pʰi3	鼻子；鼻涕
929	k	ɛ	451	三a	去	並	開	脂	篦	kɛ451	kɛ5	篦子（很密的梳子）
930	m	i	213	三b	平	明	開	脂	眉	mi213	mi2	眉毛，画～
931	m	i	213	三b	平	明	開	脂	楣	mi213	mi2	门～
932	m	ɔi	213	三b	平	明	開	脂	黴	mɔi213	mɔi2	发～，倒～
933	m	i	33	三b	上	明	開	脂	美	mi33	mi1a	～丽，～化
934	m	i	213	三b	去	明	開	脂	媚	mi213	mi2	～眼，妩～；人名用字
935	m	ei	21	三a	去	明	開	脂	寐	mei21	mei3	梦～以求，假～
936	tʰ	i	21	三	去	定	開	脂	地	tʰi21	tʰi3	土～
937	n	ɛ	213	三	平	娘	開	脂	尼	nɛ213	nɛ2	～姑
938	n	ɛ	21	三	去	娘	開	脂	膩	nɛ21	nɛ3	油～，细～
939	l	i	213	三	平	來	開	脂	梨	li213	li2	梨
940	l	y	33	三	上	來	開	脂	履	ly33	ly1a	～行，～历
941	l	i	33	三	去	來	開	脂	利	li33	li1a	～润，有～
942	l	i	33	三	去	來	開	脂	痢	li33	li1a	～疾
943	l	i	33	三	去	來	開	脂	痢	li33	li1a	癞～（头屑）
944	t	ia	33	三	平	精	開	脂	資	tia33	tia1a	～本
945	ʦ	i	33	三	平	精	開	脂	姿	ʦi33	ʦi1a	～势
946	ʦ	i	33	三	平	精	開	脂	咨	ʦi33	ʦi1a	～询
947	ʦ	ia	21	三	上	精	開	脂	姊	ʦia21	ʦia3	～妹
948	ʦʰ	i	451	三	去	清	開	脂	次	ʦʰi451	ʦʰi5	名～，～品
949	ʦʰ	i	451	三	平	從	開	脂	瓷	ʦʰi451	ʦʰi5	～砖，陶～
950	s	i	213	三	平	從	開	脂	餈	si213	si2	糍粑，糯米～
951	ʦʰ	ia	21	三	去	從	開	脂	自	ʦʰia21	ʦʰia3	～私
952	s	ia	33	三	平	心	開	脂	私	sia33	sia1a	自～
953	ɬ	i	21	三	上	心	開	脂	死	ɬi21	ɬi3	～人
954	ɬ	i	451	三	去	心	開	脂	四	ɬi451	ɬi5	数字
955	ɬ	i	451	三	去	心	開	脂	肆	ɬi451	ɬi5	放～
956	ʦ	i	451	三	去	知	開	脂	致	ʦi451	ʦi5	导～
957	ʦʰ	i	213	三	平	澄	開	脂	遲	ʦʰi213	ʦʰi2	～到，推～
958	ʦ	i	451	三	去	澄	開	脂	稚	ʦi451	ʦi5	幼～
959	s	a	33	三	平	生	開	脂	師	sa33	sa1a	老～，～父
960	s	a	33	三	平	生	開	脂	獅	sa33	sa1a	狮子
961	ʦ	i	33	三	平	章	開	脂	脂	ʦi33	ʦi1a	～肪，胭～
962	ʦ	i	21	三	上	章	開	脂	旨	ʦi21	ʦi3	圣～
963	ʦ	i	21	三	上	章	開	脂	指	ʦi21	ʦi3	手～，～甲
964	ʦ	i	451	三	去	章	開	脂	至	ʦi451	ʦi5	～少
965	s	i	451	三	去	船	開	脂	示	si451	si5	表～
966	s	i	33	三	平	書	開	脂	屍	si33	si1a	～体，死～
968	s	i	21	三	上	書	開	脂	屎	si21	si3	狗～
969	s	i	451	三	去	禪	開	脂	視	si451	si5	近～
971	ȵ	i	451	三	去	日	開	脂	二	ȵi451	ȵi5	数字
972	ȵ	i	451	三	去	日	開	脂	貳	ȵi451	ȵi5	～心
973	k	i	33	三b	平	見	開	脂	飢	ki33	ki1a	～饿
974	k	i	33	三b	平	見	開	脂	肌	ki33	ki1a	～肉
975	k	i	33	三b	上	見	開	脂	几	ki33	ki1a	茶～
976	kʰ	ɛ	451	三b	去	見	開	脂	冀	kʰɛ451	kʰɛ5	河北简称，晋察～
977	h	i	451	三b	去	溪	開	脂	器	hi451	hi5	武～，机～，～重
978	h	i	451	三a	去	溪	開	脂	棄	hi451	hi5	放～，抛～
979	kʰ	i	213	三b	平	群	開	脂	祁	kʰi213	kʰi2	～连山
980	j	i	33	三a	平	影	開	脂	伊	ji33	ji1a	～犁；姓
982	j	i	213	三	平	以	開	脂	夷	ji213	ji2	化险为～，蛮～
983	j	i	213	三	平	以	開	脂	姨	ji213	ji2	大～，～丈
984	h	i	451	三	去	以	開	脂	肄	hi451	hi5	～业
985	ȵ	i	213	三	上	娘	開	之	你	ȵi213	ȵi2	～们，第二人称[文]
986	ȵ	i	213	三	上	娘	開	之	你	ȵi213	ȵi2	第二人称[白]
987	l	i	213	三	平	來	開	之	釐	li213	li2	～米
988	l	i	213	三	平	來	開	之	狸	li213	li2	狐～
989	l	i	21	三	上	來	開	之	李	li21	li3	姓；水果
990	l	i	33	三	上	來	開	之	里	li33	li1a	公～
991	l	y	21	三	上	來	開	之	裏	ly21	ly3	～外，～背（里面）
992	l	i	33	三	上	來	開	之	理	li33	li1a	道～，～由
993	l	i	33	三	上	來	開	之	鯉	li33	li1a	～鱼
994	s	ia	21	三	去	來	開	之	吏	sia21	sia3	官～
995	ʦ	i	33	三	平	精	開	之	滋	ʦi33	ʦi1a	～味
996	ʦ	ia	21	三	上	精	開	之	子	ʦia21	ʦia3	～孙；孔～
997	ʦ	i	21	三	上	精	開	之	梓	ʦi21	ʦi3	桑～；曾宪～
998	ʦʰ	i	213	三	平	從	開	之	慈	ʦʰi213	ʦʰi2	～悲，～禧太后
999	ʦʰ	i	213	三	平	從	開	之	磁	ʦʰi213	ʦʰi2	～铁，～场
1000	ɬ	ia	21	三	去	從	開	之	字	ɬia21	ɬia3	～典，文～
1001	ɬ	ia	33	三	平	心	開	之	司	ɬia33	ɬia1a	公～，～令
1002	ɬ	ia	33	三	平	心	開	之	絲	ɬia33	ɬia1a	～绸
1003	ɬ	ia	33	三	平	心	開	之	思	ɬia33	ɬia1a	～想
1004	ɬ	ia	21	三	去	心	開	之	伺	ɬia21	ɬia3	～候，～机而动
1005	ɬ	ia	33	三	平	心	開	之	思	ɬia33	ɬia1a	意～
1006	ʦʰ	i	213	三	平	邪	開	之	辭	ʦʰi213	ʦʰi2	～职，告～
1007	s	ia	33	三	平	邪	開	之	詞	sia33	sia1a	歌～
1008	ʦʰ	i	213	三	平	邪	開	之	祠	ʦʰi213	ʦʰi2	～堂
1009	ʦʰ	i	451	三	上	邪	開	之	似	ʦʰi451	ʦʰi5	相～，～乎[文]
1010	ʦʰ	i	451	三	上	邪	開	之	似	ʦʰi451	ʦʰi5	好～（好像）[白]
1011	k	i	451	三	上	邪	開	之	祀	ki451	ki5	祭～
1012	j	i	21	三	上	邪	開	之	巳	ji21	ji3	地支，～时
1013	s	ia	21	三	去	邪	開	之	寺	sia21	sia3	～庙，灵光～
1014	s	ia	213	三	去	邪	開	之	嗣	sia213	sia2	后～；谭～同
1015	ʦʰ	ia	21	三	去	邪	開	之	飼	ʦʰia21	ʦʰia3	～料，～养[文]
1016	ʦʰ	ia	21	三	去	邪	開	之	飼	ʦʰia21	ʦʰia3	喂饭[白]
1017	ʦ	i	451	三	去	知	開	之	置	ʦi451	ʦi5	布～
1018	ʦʰ	i	33	三	平	徹	開	之	癡	ʦʰi33	ʦʰi1a	白～，～呆
1019	ʦʰ	i	21	三	上	徹	開	之	恥	ʦʰi21	ʦʰi3	～辱
1020	ʦʰ	i	213	三	平	澄	開	之	持	ʦʰi213	ʦʰi2	支～
1021	ʦ	i	451	三	上	澄	開	之	痔	ʦi451	ʦi5	～疮
1022	ʦʰ	ia	21	三	去	澄	開	之	治	ʦʰia21	ʦʰia3	～安，统～[文]
1023	ʦʰ	ia	21	三	去	澄	開	之	治	ʦʰia21	ʦʰia3	～鸡，～猪[白]
1024	ʦʰ	i	451						廁	ʦʰi451	ʦʰi5	～所，公～
1025	s	ia	21	三	上	崇	開	之	士	sia21	sia3	～兵
1026	s	ia	21	三	上	崇	開	之	仕	sia21	sia3	～途
1027	ʦ	i	451	三	上	崇	開	之	柿	ʦi451	ʦi5	柿子，～饼
1028	ʦ	ia	21	三	去	崇	開	之	事	ʦia21	ʦia3	～实，～情[文]
1029	s	ia	21	三	去	崇	開	之	事	sia21	sia3	做～[白]
1030	s	ia	451	三	上	生	開	之	使	sia451	sia5	～用，假～，大～馆
1031	s	i	21	三	上	生	開	之	史	si21	si3	历～
1032	s	ia	21	三	上	生	開	之	駛	sia21	sia3	驾～
1033	ʦ	ia	33	三	平	章	開	之	之	ʦia33	ʦia1a	～前
1034	ʦ	ia	33	三	平	章	開	之	芝	ʦia33	ʦia1a	灵～，～麻
1035	ʦ	i	21	三	上	章	開	之	止	ʦi21	ʦi3	停～，～血
1036	ʦ	i	21	三	上	章	開	之	趾	ʦi21	ʦi3	脚～
1037	ʦ	i	21	三	上	章	開	之	址	ʦi21	ʦi3	地～
1038	ʦ	i	451	三	去	章	開	之	志	ʦi451	ʦi5	～气，～愿
1039	ʦ	i	451	三	去	章	開	之	誌	ʦi451	ʦi5	县～，标～
1040	ʦ	i	451	三	去	章	開	之	痣	ʦi451	ʦi5	乌～
1041	ʦʰ	i	21	三	上	昌	開	之	齒	ʦʰi21	ʦʰi3	牙～
1042	s	ia	33	三	平	書	開	之	詩	sia33	sia1a	～人
1043	s	i	21	三	上	書	開	之	始	si21	si3	开～，～终
1044	s	i	451	三	去	書	開	之	試	si451	si5	考～[文]
1045	ʦ	i	451	三	去	書	開	之	試	ʦi451	ʦi5	试试[白]
1046	s	i	213	三	平	禪	開	之	時	si213	si2	～间，当～
1047	s	i	21	三	入	非	合	物	巿	si21	si3	～场，城～
1049	s	ia	21	三	去	禪	開	之	侍	sia21	sia3	服～，～卫
1050	ȵ	i	213	三	平	日	開	之	而	ȵi213	ȵi2	～且，反～
1051	ȵ	i	21	三	上	日	開	之	耳	ȵi21	ȵi3	耳朵，中～炎
1052	k	i	33	三	平	見	開	之	基	ki33	ki1a	～本，地～
1053	k	i	33	三	平	見	開	之	箕	ki33	ki1a	畚～
1054	k	i	21	三	上	見	開	之	己	ki21	ki3	自～
1055	k	i	21	三	上	見	開	之	紀	ki21	ki3	～律
1056	k	i	451	三	去	見	開	之	記	ki451	ki5	笔～，～号
1057	h	i	33	三	平	溪	開	之	欺	hi33	hi1a	～负
1058	h	i	21	三	上	溪	開	之	起	hi21	hi3	起
1059	k	i	21	三	上	溪	開	之	杞	ki21	ki3	枸～
1060	kʰ	i	213	三	平	群	開	之	其	kʰi213	kʰi2	～他，～实
1061	kʰ	i	213	三	平	群	開	之	棋	kʰi213	kʰi2	围～，捉～（下棋）
1062	kʰ	i	213	三	平	群	開	之	期	kʰi213	kʰi2	日～
1063	kʰ	i	213	三	平	群	開	之	旗	kʰi213	kʰi2	红～
1064	k	i	451	三	去	群	開	之	忌	ki451	ki5	禁～，～讳，～日[文]
1065	k	i	451	三	去	群	開	之	忌	ki451	ki5	做～（做法事）[白]
1066	ȵ	i	213	三	平	疑	開	之	疑	ȵi213	ȵi2	怀～
1067	ȵ	i	21	三	上	疑	開	之	擬	ȵi21	ȵi3	模～，～人
1068	h	i	21	三	平	曉	開	之	嬉	hi21	hi3	玩，～戏
1069	h	i	33	三	平	曉	開	之	熙	hi33	hi1a	康～
1071	h	i	21	三	平	曉	開	之	嘻	hi21	hi3	～皮笑脸
1072	ʔ	i	33	三	平	影	開	之	醫	ʔi33	ʔi1a	～生
1073	j	i	451	三	去	影	開	之	意	ji451	ji5	～思
1074	ʔ	i	213	三	平	以	開	之	怡	ʔi213	ʔi2	心旷神～；人名用字
1075	j	i	21	三	上	以	開	之	已	ji21	ji3	～经
1076	j	y	451	三	上	以	開	之	以	jy451	jy5	可～，～为
1077	j	y	451	三	去	以	開	之	異	jy451	jy5	～同
1078	k	i	33	三	平	見	開	微	幾	ki33	ki1a	～乎
1079	k	i	33	三	平	見	開	微	機	ki33	ki1a	～会，飞～
1080	k	i	33	三	平	見	開	微	譏	ki33	ki1a	～笑
1081	k	i	33	三	平	見	開	微	饑	ki33	ki1a	～荒
1082	k	i	21	三	平	見	開	微	幾	ki21	ki3	～只
1083	k	i	21	三	平	見	開	微	幾	ki21	ki3	～何
1084	k	i	451						旣	ki451	ki5	～然
1085	h	i	21	一	上	溪	開	咍	豈	hi21	hi3	～有此理
1086	h	i	451	三	去	溪	開	微	氣	hi451	hi5	～人，空～
1087	h	i	451	三	去	溪	開	微	汽	hi451	hi5	～水，～车
1088	kʰ	i	213	三	平	群	開	微	祈	kʰi213	kʰi2	～祷
1089	ŋ	ɛ	21	三	去	疑	開	微	毅	ŋɛ21	ŋɛ3	～力
1090	h	i	33	三	平	曉	開	微	希	hi33	hi1a	～望
1091	h	i	33	三	平	曉	開	微	稀	hi33	hi1a	～少
1092	j	i	33	三	平	影	開	微	衣	ji33	ji1a	外～；花生皮
1093	j	i	33	三	平	影	開	微	依	ji33	ji1a	～靠
1094	l	ui	21	一	去	來	合	灰	累	lui21	lui3	积～
1095	l	ui	21	一	去	來	合	灰	累	lui21	lui3	连～
1096	ʦ	ɔi	451	三	上	精	合	支	嘴	ʦɔi451	ʦɔi5	嘴巴[文]
1097	ʦ	ɔi	451	三	上	精	合	支	嘴	ʦɔi451	ʦɔi5	嘴巴[白，训]
1098	ɬ	ɔi	21	三	上	心	合	支	髓	ɬɔi21	ɬɔi3	骨～
1099	ʦʰ	ui	213	三	平	邪	合	支	隨	ʦʰui213	ʦʰui2	～时，～便
1100	ʦʰ	ui	33	三	平	昌	合	支	吹	ʦʰui33	ʦʰui1a	～牛皮，～喇叭
1101	ʦʰ	ui	33	三	平	昌	合	支	炊	ʦʰui33	ʦʰui1a	野～
1102	s	ui	213	三	平	禪	合	支	垂	sui213	sui2	下～，～头丧气
1103	s	ɔi	21	三	去	禪	合	支	睡	sɔi21	sɔi3	睡觉
1104	ɬ	ui	21	三	去	禪	合	支	瑞	ɬui21	ɬui3	～金；董存～
1105	ȵ	ui	21	三	上	日	合	支	蕊	ȵui21	ȵui3	花～
1106	kʰ	ui	33	三a	平	見	合	支	規	kʰui33	kʰui1a	～定，圆～
1107	k	uɐi	21	三b	上	見	合	支	詭	kuɐi21	kuɐi3	～计多端
1108	kʰ	uɐi	33	三b	平	溪	合	支	虧	kʰuɐi33	kʰuɐi1a	食～（吃亏）
1109	kʰ	uɐi	33	三a	平	溪	合	支	窺	kʰuɐi33	kʰuɐi1a	偷～
1110	kʰ	uɐi	21	三b	上	群	合	支	跪	kʰuɐi21	kʰuɐi3	下～
1111	ŋ	ɛ	213	三b	平	疑	合	支	危	ŋɛ213	ŋɛ2	～险，安～
1112	ŋ	ɛ	21	三b	去	疑	合	支	僞	ŋɛ21	ŋɛ3	虚～
1113	f	ei	21						毀	fei21	fei3	～灭
1114	v	ei	21	三b	平	影	合	支	萎	vei21	vei3	枯～
1115	v	ei	21	三b	上	影	合	支	委	vei21	vei3	～托，常～
1116	v	ɐi	213						為	vɐi213	vɐi2	作～，行～，～人
1117	v	ɐi	213						為	vɐi213	vɐi2	～什么
1118	l	ui	213	三	上	來	合	脂	壘	lui213	lui2	堡～，～球
1119	l	ui	21	三	去	來	合	脂	類	lui21	lui3	分～
1120	l	ui	21	三	去	來	合	脂	淚	lui21	lui3	眼～
1121	ʦ	ui	451	三	去	精	合	脂	醉	ʦui451	ʦui5	～酒
1122	ʦʰ	ui	451	三	去	清	合	脂	翠	ʦʰui451	ʦʰui5	翡～
1123	ɬ	ui	451	三	去	從	合	脂	悴	ɬui451	ɬui5	憔～
1124	ɬ	ui	33	三	平	心	合	脂	雖	ɬui33	ɬui1a	～然
1125	ɬ	ui	451	三	去	心	合	脂	粹	ɬui451	ɬui5	纯～
1126	ɬ	ui	21	三	去	邪	合	脂	遂	ɬui21	ɬui3	杀人未～
1127	ɬ	ui	21	三	去	邪	合	脂	隧	ɬui21	ɬui3	～道
1128	v	ɐi	21	三	去	邪	合	脂	穗	vɐi21	vɐi3	谷～
1129	ʦ	ui	33	三	平	知	合	脂	追	ʦui33	ʦui1a	～求[文]
1130	ʦ	ui	33	三	平	知	合	脂	追	ʦui33	ʦui1a	追赶，赶走[白]
1131	ʦʰ	ui	213	三	平	澄	合	脂	槌	ʦʰui213	ʦʰui2	木～[名]；[动]
1132	ʦʰ	ui	213	三	平	澄	合	脂	錘	ʦʰui213	ʦʰui2	铁～[名]；[动]
1133	ʦʰ	ui	21	三	去	澄	合	脂	墜	ʦʰui21	ʦʰui3	下～，玉～[文]
1134	ʦʰ	ui	21	三	去	澄	合	脂	墜	ʦʰui21	ʦʰui3	目～～[白]
1135	s	ui	33	三	平	生	合	脂	衰	sui33	sui1a	～弱，～老[文]
1136	s	ui	33	三	平	生	合	脂	衰	sui33	sui1a	运气不好[白]
1137	t	ɐp	021	三	入	生	合	術	摔	tɐp21	tɐp8a	～跤
1138	ɬ	ɔi	451	三	去	生	合	脂	帥	ɬɔi451	ɬɔi5	元～
1139	ʦ	ui	33	三	平	章	合	脂	錐	ʦui33	ʦui1a	圆～
1140	ʦ	ui	21	三	上	書	合	脂	水	ʦui21	ʦui3	～果，～平
1141	ʦ	ui	213	三	平	禪	合	脂	誰	ʦui213	ʦui2	疑问代词
1142	k	uɐi	33	三b	平	見	開	脂	龜	kuɐi33	kuɐi1a	乌～
1143	k	uɐi	21	三b	上	見	合	脂	軌	kuɐi21	kuɐi3	铁～
1144	kʰ	uɐi	213	三a	上	見	合	脂	癸	kʰuɐi213	kʰuɐi2	天干
1145	kʰ	uɐi	451	三b	去	見	合	脂	愧	kʰuɐi451	kʰuɐi5	惭～
1146	k	uɐi	451	三a	去	見	合	脂	季	kuɐi451	kuɐi5	四～，～节
1147	kʰ	uɐi	213	三b	平	群	合	脂	逵	kʰuɐi213	kʰuɐi2	人名用字，李～
1148	kʰ	uɐi	213	三a	平	群	合	脂	葵	kʰuɐi213	kʰuɐi2	向日～，～花籽
1149	kʰ	uɐi	21	三b	去	群	合	脂	櫃	kʰuɐi21	kʰuɐi3	～台
1150	v	ɐi	21	三	去	雲	合	脂	位	vɐi21	vɐi3	座～，～置
1151	v	ɐi	213	三	平	以	合	脂	維	vɐi213	vɐi2	～生素，～持，纤～
1152	v	ɐi	213	三	平	以	合	脂	惟	vɐi213	vɐi2	～一
1153	v	ɐi	213	三	平	以	合	脂	遺	vɐi213	vɐi2	～失，～憾
1154	v	ɐi	213	三	上	以	合	脂	唯	vɐi213	vɐi2	～物主义
1155	f	ɐi	33	三	平	非	合	微	非	fɐi33	fɐi1a	是～，～常
1156	f	ɐi	33	三	平	非	合	微	飛	fɐi33	fɐi1a	～机；人名，张～[文]
1157	f	ɐi	33	三	平	非	合	微	飛	fɐi33	fɐi1a	飞行[白]
1158	f	ɐi	21	三	上	非	合	微	匪	fɐi21	fɐi3	土～
1159	m	ɐi	45	一	上	並	合	灰	痱	mɐi45	mɐi1b	痱子，热～
1160	f	ɐi	33	三	平	敷	合	微	妃	fɐi33	fɐi1a	贵～
1161	f	ɐi	451	三	去	敷	開	微	費	fɐi451	fɐi5	～用，浪～
1162	pʰ	ɐi	213	三	平	奉	合	微	肥	pʰɐi213	pʰɐi2	化～，～肉
1163	f	ɐi	21	三	去	奉	合	微	翡	fɐi21	fɐi3	～翠
1164	m	i	213	三	平	微	合	微	微	mi213	mi2	稍～
1165	m	ei	33	三	上	微	合	微	尾	mei33	mei1a	尾巴
1166	m	ei	21	三	去	微	合	微	未	mei21	mei3	～来；地支
1167	m	ei	21	三	去	微	合	微	味	mei21	mei3	～道，～精
1168	k	uɐi	33	三	平	見	合	微	歸	kuɐi33	kuɐi1a	回～，～类
1169	k	uɐi	21	三	上	見	合	微	鬼	kuɐi21	kuɐi3	鬼神
1170	k	uɐi	451	三	去	見	合	微	貴	kuɐi451	kuɐi5	～重
1171	ŋ	ɛ	213	三	去	疑	合	微	魏	ŋɛ213	ŋɛ2	～国；姓
1172	f	ɐi	33	三	平	曉	合	微	揮	fɐi33	fɐi1a	指～
1173	f	ɐi	33	三	平	曉	合	微	輝	fɐi33	fɐi1a	光～，～煌
1174	f	ɐi	33	三	平	曉	合	微	徽	fɐi33	fɐi1a	国～，～章
1175	v	ɐi	21	三	去	曉	合	微	諱	vɐi21	vɐi3	忌～
1176	v	ɐi	33	三	平	影	合	微	威	vɐi33	vɐi1a	～风，～胁
1177	v	ɐi	451	三	去	影	合	微	畏	vɐi451	vɐi5	不喜欢；怕，～热
1178	v	ɐi	451	三	去	影	合	微	慰	vɐi451	vɐi5	安～，～问
1179	v	ɐi	213	三	平	雲	合	微	違	vɐi213	vɐi2	～反
1180	v	ɐi	213	三	平	雲	合	微	圍	vɐi213	vɐi2	包～，～墙
1181	v	ɐi	21	三	上	雲	合	微	偉	vɐi21	vɐi3	～大
1182	v	ɐi	21	三	上	雲	合	微	葦	vɐi21	vɐi3	芦～
1183	v	ɐi	21	三	去	雲	合	微	緯	vɐi21	vɐi3	经～
1184	v	ɐi	451	三	去	雲	合	微	胃	vɐi451	vɐi5	肠～
1185	v	ɐi	451	三	去	雲	合	微	謂	vɐi451	vɐi5	称～，所～
1186	f	ɐi	21	三	去	雲	合	微	彙	fɐi21	fɐi3	词～
1187	p	ɔ	33	一	平	幫	開	豪	褒	pɔ33	pɔ1a	～奖，～义词
1188	p	ɔ	33	一	上	幫	開	豪	保	pɔ33	pɔ1a	～护
1189	p	ɔ	21	一	上	幫	開	豪	堡	pɔ21	pɔ3	碉～
1190	p	ɔ	21	一	上	幫	開	豪	寶	pɔ21	pɔ3	～贝
1191	p	ɔ	451	一	去	幫	開	豪	報	pɔ451	pɔ5	～告，日～
1192	pʰ	u	213	一	平	並	開	豪	袍	pʰu213	pʰu2	长～，袄～
1193	l	am	21	一	上	並	開	豪	抱	lam21	lam3	拥抱
1194	pʰ	u	21	一	去	並	開	豪	暴	pʰu21	pʰu3	～雨，残～
1195	m	ɔ	33	一	平	明	開	豪	毛	mɔ33	mɔ1a	～病，鸡～
1196	m	u	451	一	去	明	開	豪	冒	mu451	mu5	～充，感～
1197	m	ɔ	21	一	去	明	開	豪	帽	mɔ21	mɔ3	草～
1198	t	ɔ	33	一	平	端	開	豪	刀	tɔ33	tɔ1a	菜～
1199	s	ɔ	33	一	平	端	開	豪	叨	sɔ33	sɔ1a	唠～
1200	pʰ	u	213	一	上	端	開	豪	禱	pʰu213	pʰu2	祈～，～告
1201	t	ɔ	21	一	上	端	開	豪	島	tɔ21	tɔ3	海南～
1202	t	ɔ	21	一	上	端	開	豪	倒	tɔ21	tɔ3	颠～
1203	t	ɔ	451	一	去	端	開	豪	到	tɔ451	tɔ5	～站
1204	t	ɔ	21	一	上	端	開	豪	倒	tɔ21	tɔ3	～水，～退
1205	tʰ	ɔ	33	一	平	透	開	豪	滔	tʰɔ33	tʰɔ1a	～～不绝，波浪～天
1206	tʰ	u	21	一	上	透	開	豪	討	tʰu21	tʰu3	～老婆，～厌
1207	tʰ	ɔ	451	一	去	透	開	豪	套	tʰɔ451	tʰɔ5	配～，～房
1208	tʰ	ɔ	213	一	平	定	開	豪	桃	tʰɔ213	tʰɔ2	杨～，～花
1209	tʰ	ɔ	213	一	平	定	開	豪	逃	tʰɔ213	tʰɔ2	～走
1210	tʰ	ɔ	213	一	平	定	開	豪	淘	tʰɔ213	tʰɔ2	～米，～沙
1211	tʰ	ɔ	213	一	平	定	開	豪	陶	tʰɔ213	tʰɔ2	～瓷；姓
1212	tʰ	u	213	一	平	定	開	豪	萄	tʰu213	tʰu2	葡～
1213	tʰ	ɔ	213	一	平	定	開	豪	濤	tʰɔ213	tʰɔ2	波～
1214	tʰ	ɔ	21	一	上	定	開	豪	道	tʰɔ21	tʰɔ3	～理
1215	tʰ	ɔ	21	一	上	定	開	豪	稻	tʰɔ21	tʰɔ3	水～
1216	tʰ	u	21						盜	tʰu21	tʰu3	强～，～窃
1217	tʰ	ɔ	451	一	去	定	開	豪	導	tʰɔ451	tʰɔ5	领～，～师
1218	n	ɔ	21	一	上	泥	開	豪	腦	nɔ21	nɔ3	猪～，～屎（脑子）
1219	n	ɔ	21	一	上	泥	開	豪	惱	nɔ21	nɔ3	烦～[文]
1220	n	ɔ	21	一	上	泥	開	豪	惱	nɔ21	nɔ3	讨厌，不喜欢[白]
1221	l	ɔ	213	一	平	來	開	豪	勞	lɔ213	lɔ2	～动
1222	l	au	213	一	平	來	開	豪	撈	lau213	lau2	打～局[文]
1223	l	ai	213	一	平	來	開	豪	撈	lai213	lai2	～起来[白]
1224	l	u	213	一	平	來	開	豪	牢	lu213	lu2	～房，坐～
1225	l	ɔ	33	一	平	來	開	豪	嘮	lɔ33	lɔ1a	～叨
1226	l	ɔ	21	一	上	來	開	豪	老	lɔ21	lɔ3	～爷，～实
1227	l	u	213	一	去	來	開	豪	澇	lu213	lu2	洪～，旱～
1228	ʦ	ɔ	33	一	平	精	開	豪	遭	ʦɔ33	ʦɔ1a	～遇，～殃
1229	ʦ	ɔ	33	一	平	精	開	豪	糟	ʦɔ33	ʦɔ1a	酒～，～糕
1230	ʦ	ɔ	21	一	上	精	開	豪	早	ʦɔ21	ʦɔ3	还～
1231	ʦ	ɔ	21	一	上	精	開	豪	棗	ʦɔ21	ʦɔ3	红～
1232	ɬ	ɐt	021	一	上	精	開	豪	蚤	ɬɐt21	ɬɐt8a	跳～
1233	ʦʰ	u	451	一	去	精	開	豪	躁	ʦʰu451	ʦʰu5	烦～，暴～
1234	ʦ	u	451	一	去	精	開	豪	竈	ʦu451	ʦu5	～头，～神
1235	ʦʰ	u	33	一	平	清	開	豪	操	ʦʰu33	ʦʰu1a	做～，～作
1236	ʦʰ	ɔ	21	一	上	清	開	豪	草	ʦʰɔ21	ʦʰɔ3	青～，～稿
1237	ʦʰ	ɔ	451	一	去	清	開	豪	糙	ʦʰɔ451	ʦʰɔ5	～米，粗～
1238	ʦʰ	ɔ	213	一	平	從	開	豪	曹	ʦʰɔ213	ʦʰɔ2	姓
1239	ʦʰ	ɔ	213	一	平	從	開	豪	槽	ʦʰɔ213	ʦʰɔ2	猪～，水～
1240	ʦ	ɔ	451	一	上	從	開	豪	皂	ʦɔ451	ʦɔ5	肥～
