#漢字	常家河	榜羅	第三舖	李家店	碧玉	雞川	馬營	寺子川
蛛	tsəu³¹²	tʂou⁴¹²	tsəu³¹²	tsəu³¹²	tsəu¹³	tsəu¹³	tsəu¹³	tsəu¹³
智	tʂʅ⁴⁴	tʂʅ⁴⁴	tʂʅ⁴⁴	tʂʅ⁴⁴	tʂʅ⁴⁴	tʂʅ⁴⁴	tʂʅ⁴⁴	tʂʅ⁴⁴
池	tʂʰʅ¹³	tʂʰʅ¹³	tʂʰʅ¹³	tʂʰʅ¹³	tʂʰʅ¹³	tʂʰʅ¹³	tʂʰʅ¹³	tʂʰʅ¹³
筛	sei⁵³	ʂei⁵³	sei⁵³	se⁵³	sɛ⁵³	sɛ⁵³	sɛ⁵³	sɛ⁵³
支	tsɿ³¹²	tʂʅ⁴¹²	tsɿ³¹²	tsɿ³¹²	tsɿ¹³	tsɿ¹³	tsɿ¹³	tsɿ¹³
纸	tsɿ⁵³	tʂʅ⁵³	tsɿ⁵³	tsɿ⁵³	tsɿ⁵³	tsɿ⁵³	tsɿ⁵³	tsɿ⁵³
翅	tsʰɿ⁴⁴	tʂʰʅ⁴⁴	tsʰɿ⁴⁴	tsʰɿ⁴⁴	tsʰɿ⁴⁴	tsʰɿ⁴⁴	tsʰɿ⁴⁴	tsʰɿ⁴⁴
匙	sɿ¹³	ʂʅ¹³	sɿ¹³	sɿ¹³	sɿ¹³	sɿ¹³	sɿ¹³	sɿ¹³
是	sɿ⁴⁴	ʂʅ⁴⁴	sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴
儿	zɿ¹³	ʐʅ¹³	zɿ¹³	zɿ¹³	ar¹³	ar¹³	aŋ¹³	ar¹³
寄	tɕi⁴⁴	tɕi⁴⁴	tɕi⁴⁴	tɕi⁴⁴	tɕi⁴⁴	tɕi⁴⁴	tɕi⁴⁴	tɕi⁴⁴
戏	ɕi⁴⁴	ɕi⁴⁴	ɕi⁴⁴	ɕi⁴⁴	ɕi⁴⁴	ɕi⁴⁴	ɕi⁴⁴	ɕi⁴⁴
椅	ʑi⁵³	ʑi⁵³	ʑi⁵³	ʑi⁵³	ʑi⁵³	ʑi⁵³	ʑi⁵³	ʑi⁵³
比	pi⁵³	pi⁵³	pi⁵³	pi⁵³	pi⁵³	pi⁵³	pi⁵³	pi⁵³
鼻	pʰi¹³	pʰi¹³	pʰi¹³	pʰi¹³	pʰi¹³	pʰi¹³	pʰi¹³	pʰi¹³
美	mei⁵³	mei⁵³	mei⁵³	me⁵³	mɛ⁵³	mɛ⁵³	mɛ⁵³	mɛ⁵³
地	tɕʰi⁴⁴	tɕʰi⁴⁴	tɕʰi⁴⁴	tɕʰi⁴⁴	tʰi⁴⁴	tɕʰi⁴⁴	tʰi⁴⁴	tʰi⁴⁴
姊	tsʰɿ⁵³	tsʰɿ⁵³	tsʰɿ⁵³	tsʰɿ⁵³	tsʰɿ⁵³	tsʰɿ⁵³	tsʰɿ⁵³	tsʰɿ⁵³
次	tsʰɿ⁴⁴	tsʰɿ⁴⁴	tsʰɿ⁴⁴	tsʰɿ⁴⁴	tsʰɿ⁴⁴	tsʰɿ⁴⁴	tsʰɿ⁴⁴	tsʰɿ⁴⁴
自	tsʰɿ⁴⁴	tsʰɿ⁴⁴	tsʰɿ⁴⁴	tsʰɿ⁴⁴	tsʰɿ⁴⁴	tsʰɿ⁴⁴	tsʰɿ⁴⁴	tsʰɿ⁴⁴
四	sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴
迟	tsʰɿ¹³	tʂʰʅ¹³	tsʰɿ¹³	tsʰɿ¹³	tsʰɿ¹³	tsʰɿ¹³	tsʰɿ¹³	tsʰɿ¹³
狮	sɿ³¹²	ʂʅ⁴¹²	sɿ³¹²	sɿ³¹²	sɿ¹³	sɿ¹³	sɿ¹³	sɿ¹³
指	tsɿ⁵³	tʂʅ⁵³	tsɿ⁵³	tsɿ⁵³	tsɿ⁵³	tsɿ⁵³	tsɿ⁵³	tsɿ⁵³
视	sɿ⁴⁴	ʂʅ⁴⁴	sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴
二	zɿ⁴⁴/aŋ⁴⁴	ʐʅ⁴⁴/aŋ⁴⁴	zɿ⁴⁴/aŋ⁴⁴	zɿ⁴⁴/aŋ⁴⁴	ar⁴⁴	ar⁴⁴	aŋ⁴⁴	ar⁴⁴
几	tɕi⁵³	tɕi⁵³	tɕi⁵³	tɕi⁵³	tɕi⁵³	tɕi⁵³	tɕi⁵³	tɕi⁵³
姨	ʑi¹³	ʑi¹³	ʑi¹³	ʑi¹³	ʑi¹³	ʑi¹³	ʑi¹³	ʑi¹³
你	tɕi⁵³	tɕi⁵³	ȵi⁵³	ȵi⁵³	ȵi⁵³	ȵi⁵³	ȵi⁵³	ȵi⁵³
李	ȵi⁵³	ȵi⁵³	ȵi⁵³	ȵi⁵³	ȵi⁵³	ȵi⁵³	ȵi⁵³	ȵi⁵³
里	ȵi⁵³	ȵi⁵³	ȵi⁵³	ȵi⁵³	ȵi⁵³	ȵi⁵³	ȵi⁵³	ȵi⁵³
子	tsɿ⁵³	tsɿ⁵³	tsɿ⁵³	tsɿ⁵³	tsɿ⁵³	tsɿ⁵³	tsɿ⁵³	tsɿ⁵³
字	tsʰɿ⁴⁴	tsʰɿ⁴⁴	tsʰɿ⁴⁴	tsʰɿ⁴⁴	tsʰɿ⁴⁴	tsʰɿ⁴⁴	tsʰɿ⁴⁴	tsʰɿ⁴⁴
思	sɿ³¹²	sɿ⁴¹²	sɿ³¹²	sɿ³¹²	sɿ¹³	sɿ¹³	sɿ¹³	sɿ¹³
置	tʂʅ⁴⁴	tʂʅ⁴⁴	tʂʅ⁴⁴	tʂʅ⁴⁴	tʂʅ⁴⁴	tʂʅ⁴⁴	tʂʅ⁴⁴	tʂʅ⁴⁴
痔	tsɿ⁴⁴	tʂʅ⁴⁴	tsɿ⁴⁴	tsɿ⁴⁴	tsɿ⁴⁴	tsɿ⁴⁴	tsɿ⁴⁴	tsɿ⁴⁴
治	tʂʅ⁴⁴	tʂʅ⁴⁴	tʂʅ⁴⁴	tʂʅ⁴⁴	tʂʅ⁴⁴	tʂʅ⁴⁴	tʂʅ⁴⁴	tʂʅ⁴⁴
厕	tsʰei¹³	tʂʰei¹³	tsʰei¹³	tsʰe¹³	tsʰɛ¹³	tsʰɛ¹³	tsʰɛ¹³	tsʰɛ¹³
事	sɿ⁴⁴	ʂʅ⁴⁴	sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴	sɿ⁴⁴
使	sɿ⁵³	ʂʅ⁵³	sɿ⁵³	sɿ⁵³	sɿ⁵³	sɿ⁵³	sɿ⁵³	sɿ⁵³
趾	tsɿ⁵³	tʂʅ⁵³	tsɿ⁵³	tsɿ⁵³	tsɿ⁵³	tsɿ⁵³	tsɿ⁵³	tsɿ⁵³
齿	tsʰɿ⁴⁴	tʂʰʅ⁴⁴	tsʰɿ⁴⁴	tsʰɿ⁴⁴	tsʰɿ⁵³	tsʰɿ⁵³	tsʰɿ⁵³	tsʰɿ⁵³
诗	sɿ³¹²	ʂʅ⁴¹²	sɿ³¹²	sɿ³¹²	sɿ¹³	sɿ¹³	sɿ¹³	sɿ¹³
耳	ʒʯ⁵³	ʒʯ⁵³	ʒʯ⁵³	ʒʯ⁵³	ar⁵³	ʒʯ⁵³	ʒʯ⁵³	ar⁵³
基	tɕi³¹²	tɕi⁴¹²	tɕi³¹²	tɕi³¹²	tɕi¹³	tɕi¹³	tɕi¹³	tɕi¹³
起	tɕʰi⁵³	tɕʰi⁵³	tɕʰi⁵³	tɕʰi⁵³	tɕʰi⁵³	tɕʰi⁵³	tɕʰi⁵³	tɕʰi⁵³
忌	tɕʰi⁴⁴	tɕʰi⁴⁴	tɕʰi⁴⁴	tɕʰi⁴⁴	tɕʰi⁴⁴	tɕi⁴⁴	tɕʰi⁴⁴	tɕʰi⁴⁴
喜	ɕi⁵³	ɕi⁵³	ɕi⁵³	ɕi⁵³	ɕi⁵³	ɕi⁵³	ɕi⁵³	ɕi⁵³
已	tɕi⁵³	tɕi⁵³	tɕi⁵³	tɕi⁵³	tɕi⁵³	tɕi⁵³	tɕi⁵³	tɕi⁵³
气	tɕʰi⁴⁴	tɕʰi⁴⁴	tɕʰi⁴⁴	tɕʰi⁴⁴	tɕʰi⁴⁴	tɕʰi⁴⁴	tɕʰi⁴⁴	tɕʰi⁴⁴
希	ɕi³¹²	ɕi⁴¹²	ɕi³¹²	ɕi³¹²	ɕi¹³	ɕi¹³	ɕi¹³	ɕi¹³
累	lei⁴⁴	lei⁴⁴	lei⁴⁴	le⁴⁴	lɛ⁴⁴	lɛ⁴⁴	lɛ⁴⁴	lɛ⁴⁴
嘴	tsuei⁵³	tsuei⁵³	tsuei⁵³	tsue⁵³	tsuɛ⁵³	tsuɛ⁵³	tsuɛ⁵³	tsuɛ⁵³
髓	suei⁵³	suei⁵³	suei⁵³	sue⁵³	suɛ⁵³	suɛ⁵³	suɛ⁵³	suɛ⁵³
揣	tʃʰʯei⁵³	tʃʯei⁵³	tʃʰʯei⁵³	tʃʰʯe⁵³	tʃʰʯɛ⁵³	tʃʰʯɛ⁵³	tʃʰʯɛ⁵³	tʃʰʯɛ⁵³
吹	tʃʰʯei³¹²	tʃʰʯei⁴¹²	tʃʰʯei³¹²	tʃʰʯe³¹²	tʃʰʯɛ¹³	tʃʰʯɛ¹³	tʃʰʯɛ¹³	tʃʰʯɛ¹³
睡	ʃʯei⁴⁴	ʃʯei⁴⁴	ʃʯei⁴⁴	ʃʯe⁴⁴	ʃʯɛ⁴⁴	ʃʯɛ⁴⁴	ʃʯɛ⁴⁴	ʃʯɛ⁴⁴
瑞	ʒʯei⁴⁴	ʒʯei⁴⁴	ʒʯei⁴⁴	ʒʯe⁴⁴	ʒʯɛ⁴⁴	ʒʯɛ⁴⁴	ʒʯɛ⁴⁴	ʒʯɛ⁴⁴
跪	kʰuei⁴⁴	kʰuei⁴⁴	kʰuei⁴⁴	kʰue⁴⁴	kʰuɛ⁴⁴	kʰuɛ⁴⁴	kʰuɛ⁴⁴	kʰuɛ⁴⁴
毁(~牙)	ɕy⁴⁴	ɕy⁴⁴	ɕy⁴⁴	ɕy⁴⁴	ɕy⁴⁴	ɕy⁴⁴	ɕy⁴⁴	ɕy⁴⁴
委	uei⁵³	uei⁵³	uei⁵³	ve⁵³	uɛ⁵³	uɛ⁵³	uɛ⁵³	vɛ⁵³
为	uei⁴⁴	uei⁴⁴	uei⁴⁴	ve⁴⁴	uɛ⁴⁴	uɛ⁴⁴	uɛ⁴⁴	vɛ⁴⁴
垒	luei⁵³	luei⁵³	luei⁵³	lue⁵³	luɛ⁵³	luɛ⁵³	luɛ⁵³	luɛ⁵³
泪	ʒʯ¹³	ʒʯ¹³	ʒʯ¹³	ʒʯ¹³	lɛ⁴⁴	ʒʯ¹³	lɛ⁴⁴	ʒʯ¹³
醉	tsuei⁴⁴	tsuei⁴⁴	tsuei⁴⁴	tsue⁴⁴	tsuɛ⁴⁴	tsuɛ⁴⁴	tsuɛ⁴⁴	tsuɛ⁴⁴
虽	suei⁴⁴	suei⁴⁴	suei⁴⁴	suei⁴⁴	suɛ¹³	suɛ¹³	suɛ¹³	suɛ¹³
穗	suei⁴⁴	suei⁴⁴	suei⁴⁴	sue⁴⁴	suɛ⁴⁴	suɛ⁴⁴	suɛ⁴⁴	suɛ⁴⁴
追	tʃʯei³¹²	tʃʯei⁴¹²	tʃʯei³¹²	tʃʯe³¹²	tʃʯɛ¹³	tʃʯɛ¹³	tʃʯɛ¹³	tʃʯɛ¹³
锤	tʃʰʯei¹³	tʃʰʯei¹³	tʃʰʯei¹³	tʃʰʯe¹³	tʃʰʯɛ¹³	tʃʰʯɛ¹³	tʃʰʯɛ¹³	tʃʰʯɛ¹³
帅	ʃʯei⁴⁴	ʃʯei⁴⁴	ʃʯei⁴⁴	ʃʯe⁴⁴	ʃʯɛ⁴⁴	ʃʯɛ⁴⁴	ʃʯɛ⁴⁴	ʃʯɛ⁴⁴
锥	tʃʯei³¹²	tʃʯei⁴¹²	tʃʯei³¹²	tʃʯe³¹²	tʃʯɛ¹³	tʃʯɛ¹³	tʃʯɛ¹³	tʃʯɛ¹³
水	ʃʯei⁵³	ʃʯei⁵³	ʃʯei⁵³	ʃʯe⁵³	ʃʯɛ⁵³	ʃʯɛ⁵³	ʃʯɛ⁵³	ʃʯɛ⁵³
葵	kʰuei¹³	kʰuei¹³	kʰuei¹³	kʰue¹³	kʰuɛ¹³	kʰuɛ¹³	kʰuɛ¹³	kʰuɛ¹³
柜	kʰuei⁴⁴	kʰuei⁴⁴	kʰuei⁴⁴	kʰue⁴⁴	kʰuɛ⁴⁴	kʰuɛ⁴⁴	kʰuɛ⁴⁴	kʰuɛ⁴⁴
唯	uei¹³	uei¹³	uei¹³	ve¹³	uɛ¹³	uɛ¹³	uɛ¹³	vɛ¹³
遗	ʑi¹³	ʑi¹³	ʑi¹³	ʑi¹³	ʑi¹³	ʑi¹³	ʑi¹³	ʑi¹³
非	fei³¹²	fei⁴¹²	fei³¹²	fe³¹²	fɛ¹³	fɛ¹³	fɛ¹³	fɛ¹³
匪	fei⁵³	fei⁵³	fei⁵³	fe⁵³	fɛ⁵³	fɛ⁵³	fɛ⁵³	fɛ⁵³
费	fei⁴⁴	fei⁴⁴	fei⁴⁴	fe⁴⁴	fɛ⁴⁴	fɛ⁴⁴	fɛ⁴⁴	fɛ⁴⁴
微	uei³¹²	uei⁴¹²	uei³¹²	ve³¹²	uɛ¹³	uɛ¹³	uɛ¹³	vɛ¹³
尾	ʑi⁵³	ʑi⁵³	ʑi⁵³	ʑi⁵³	ʑi⁵³	ʑi⁵³	ʑi⁵³	ʑi⁵³
味	ʑy⁴⁴	ʑy⁴⁴	ʑy⁴⁴	ʑy⁴⁴	uɛ⁴⁴	ʑy⁴⁴	ʑy⁴⁴	vɛ⁴⁴
鬼	kuei⁵³	kuei⁵³	kuei⁵³	kue⁵³	kuɛ⁵³	kuɛ⁵³	kuɛ⁵³	kuɛ⁵³
挥	xuei³¹²	xuei⁴¹²	xuei³¹²	xue³¹²	xuɛ¹³	xuɛ¹³	xuɛ¹³	xuɛ¹³
围	uei¹³	uei¹³	uei¹³	ve¹³	uɛ¹³	uɛ¹³	uɛ¹³	vɛ¹³
苇	ʑy⁵³	ʑy⁵³	uei⁵³	ve⁵³	uɛ⁵³	uɛ⁵³	uɛ⁵³	uɛ⁵³
保	pɔ⁵³	pɔ⁵³	pɔ⁵³	pɔ⁵³	pɔ⁵³	pɔ⁵³	pɔ⁵³	pɔ⁵³
堡	pu⁵³	pu⁵³	pu⁵³	pu⁵³	pu⁵³	pu⁵³	pu⁵³	pu⁵³
毛	mɔ¹³	mɔ¹³	mɔ¹³	mɔ¹³	mɔ¹³	mɔ¹³	mɔ¹³	mɔ¹³
到	tɔ⁴⁴	tɔ⁴⁴	tɔ⁴⁴	tɔ⁴⁴	tɔ⁴⁴	tɔ⁴⁴	tɔ⁴⁴	tɔ⁴⁴
淘	tʰɔ¹³	tʰɔ¹³	tʰɔ¹³	tʰɔ¹³	tʰɔ¹³	tʰɔ¹³	tʰɔ¹³	tʰɔ¹³
道(~路)	tʰɔ⁴⁴	tʰɔ⁴⁴	tʰɔ⁴⁴	tʰɔ⁴⁴	tʰɔ⁴⁴	tʰɔ⁴⁴	tʰɔ⁴⁴	tʰɔ⁴⁴
脑	lɔ⁵³	lɔ⁵³	lɔ⁵³	lɔ⁵³	lɔ⁵³	lɔ⁵³	lɔ⁵³	lɔ⁵³
老	lɔ⁵³	lɔ⁵³	lɔ⁵³	lɔ⁵³	lɔ⁵³	lɔ⁵³	lɔ⁵³	lɔ⁵³
早	tsɔ⁵³	tsɔ⁵³	tsɔ⁵³	tsɔ⁵³	tsɔ⁵³	tsɔ⁵³	tsɔ⁵³	tsɔ⁵³
槽	tsʰɔ¹³	tsʰɔ¹³	tsʰɔ¹³	tsʰɔ¹³	tsʰɔ¹³	tsʰɔ¹³	tsʰɔ¹³	tsʰɔ¹³
造	tsʰɔ⁴⁴	tsʰɔ⁴⁴	tsʰɔ⁴⁴	tsʰɔ⁴⁴	tsʰɔ⁴⁴	tsʰɔ⁴⁴	tsʰɔ⁴⁴	tsʰɔ⁴⁴
高	kɔ³¹²	kɔ⁴¹²	kɔ³¹²	kɔ³¹²	kɔ¹³	kɔ¹³	kɔ¹³	kɔ¹³
考	kʰɔ⁵³	kʰɔ⁵³	kʰɔ⁵³	kʰɔ⁵³	kʰɔ⁵³	kʰɔ⁵³	kʰɔ⁵³	kʰɔ⁵³
傲	kɔ⁴⁴	kɔ⁴⁴	kɔ⁴⁴	kɔ⁴⁴	kɔ⁴⁴	kɔ⁴⁴	kɔ⁴⁴	kɔ⁴⁴
熬	kɔ¹³	kɔ¹³	kɔ¹³	kɔ¹³	kɔ¹³	kɔ¹³	kɔ¹³	kɔ¹³
饱	pɔ⁵³	pɔ⁵³	pɔ⁵³	pɔ⁵³	pɔ⁵³	pɔ⁵³	pɔ⁵³	pɔ⁵³
炮	pʰɔ⁴⁴	pʰɔ⁴⁴	pʰɔ⁴⁴	pʰɔ⁴⁴	pʰɔ⁴⁴	pʰɔ⁴⁴	pʰɔ⁴⁴	pʰɔ⁴⁴
茅	mɔ¹³	mɔ¹³	mɔ¹³	mɔ¹³	mɔ¹³	mɔ¹³	mɔ¹³	mɔ¹³
闹	lɔ⁴⁴	lɔ⁴⁴	lɔ⁴⁴	lɔ⁴⁴	lɔ⁴⁴	lɔ⁴⁴	lɔ⁴⁴	lɔ⁴⁴
罩	tsɔ⁴⁴	tʂɔ⁴⁴	tsɔ⁴⁴	tsɔ⁴⁴	tsɔ⁴⁴	tsɔ⁴⁴	tsɔ⁴⁴	tsɔ⁴⁴
抓	tʃʯa³¹²	tʃʯa⁴¹²	tʃʯa³¹²	tʃʯa³¹²	tʃʯa¹³	tʃʯa¹³	tʃʯa¹³	tʃʯa¹³
吵	tsʰɔ⁵³	tʂʰɔ⁵³	tsʰɔ⁵³	tsʰɔ⁵³	tsʰɔ⁵³	tsʰɔ⁵³	tsʰɔ⁵³	tsʰɔ⁵³
梢	sɔ³¹²	ʂɔ⁴¹²	sɔ³¹²	sɔ³¹²	sɔ¹³	sɔ¹³	sɔ¹³	sɔ¹³
交	tɕiɔ³¹²	tɕiɔ⁴¹²	tɕiɔ³¹²	tɕiɔ³¹²	tɕiɔ¹³	tɕiɔ¹³	tɕiɔ¹³	tɕiɔ¹³
窖	tɕiɔ⁴⁴	tɕiɔ⁴⁴	tɕiɔ⁴⁴	tɕiɔ⁴⁴	tɕiɔ⁴⁴	tɕiɔ⁴⁴	tɕiɔ⁴⁴	tɕiɔ⁴⁴
巧	tɕʰiɔ⁵³	tɕʰiɔ⁵³	tɕʰiɔ⁵³	tɕʰiɔ⁵³	tɕʰiɔ⁵³	tɕʰiɔ⁵³	tɕʰiɔ⁵³	tɕʰiɔ⁵³
咬	tɕiɔ⁵³	tɕiɔ⁵³	tɕiɔ⁵³	ȵiɔ⁵³	ȵiɔ⁵³	ȵiɔ⁵³	ȵiɔ⁵³	ȵiɔ⁵³
孝	ɕiɔ⁴⁴	ɕiɔ⁴⁴	ɕiɔ⁴⁴	ɕiɔ⁴⁴	ɕiɔ⁴⁴	ɕiɔ⁴⁴	ɕiɔ⁴⁴	ɕiɔ⁴⁴
淆	ɕiɔ¹³	ɕiɔ¹³	ɕiɔ¹³	ɕiɔ¹³	ɕiɔ¹³	ɕiɔ¹³	ɕiɔ¹³	ɕiɔ¹³
膘	piɔ³¹²	piɔ⁴¹²	piɔ³¹²	piɔ³¹²	piɔ¹³	piɔ¹³	piɔ¹³	piɔ¹³
表	piɔ⁵³	piɔ⁵³	piɔ⁵³	piɔ⁵³	piɔ⁵³	piɔ⁵³	piɔ⁵³	piɔ⁵³
描	miɔ¹³	miɔ¹³	miɔ¹³	miɔ¹³	miɔ¹³	miɔ¹³	miɔ¹³	miɔ¹³
庙	miɔ⁴⁴	miɔ⁴⁴	miɔ⁴⁴	miɔ⁴⁴	miɔ⁴⁴	miɔ⁴⁴	miɔ⁴⁴	miɔ⁴⁴
焦	tsiɔ³¹²	tsiɔ⁴¹²	tsiɔ³¹²	tɕiɔ³¹²	tɕiɔ¹³	tsiɔ¹³	tɕiɔ¹³	tɕiɔ¹³
椒	tsiɔ³¹²	tsiɔ⁴¹²	tsiɔ³¹²	tɕiɔ³¹²	tɕiɔ¹³	tsiɔ¹³	tɕiɔ¹³	tɕiɔ¹³
悄	tsʰiɔ³¹²	tsʰiɔ⁴¹²	tsʰiɔ³¹²	tɕʰiɔ³¹²	tɕʰiɔ¹³	tsʰiɔ¹³	tɕʰiɔ¹³	tɕʰiɔ¹³
小	siɔ⁵³	siɔ⁵³	siɔ⁵³	ɕiɔ⁵³	ɕiɔ⁵³	siɔ⁵³	ɕiɔ⁵³	ɕiɔ⁵³
笑	siɔ⁴⁴	siɔ⁴⁴	siɔ⁴⁴	ɕiɔ⁴⁴	ɕiɔ⁴⁴	siɔ⁴⁴	ɕiɔ⁴⁴	ɕiɔ⁴⁴
超	tʂʰɔ³¹²	tʂʰɔ⁴¹²	tʂʰɔ³¹²	tʂʰɔ³¹²	tʂʰɔ¹³	tʂʰɔ¹³	tʂʰɔ¹³	tʂʰɔ¹³
赵	tʂʰɔ⁴⁴	tʂʰɔ⁴⁴	tʂʰɔ⁴⁴	tʂʰɔ⁴⁴	tʂʰɔ⁴⁴	tʂʰɔ⁴⁴	tʂʰɔ⁴⁴	tʂʰɔ⁴⁴
沼	tʂɔ³¹²	tʂɔ⁴¹²	tʂɔ³¹²	tʂɔ³¹²	tʂɔ¹³	tʂɔ¹³	tʂɔ¹³	tʂɔ¹³
照	tʂɔ⁴⁴	tʂɔ⁴⁴	tʂɔ⁴⁴	tʂɔ⁴⁴	tʂɔ⁴⁴	tʂɔ⁴⁴	tʂɔ⁴⁴	tʂɔ⁴⁴
烧	ʂɔ³¹²	ʂɔ⁴¹²	ʂɔ³¹²	ʂɔ³¹²	ʂɔ¹³	ʂɔ¹³	ʂɔ¹³	ʂɔ¹³
少(多~)	ʂɔ⁵³	ʂɔ⁵³	ʂɔ⁵³	ʂɔ⁵³	ʂɔ⁵³	ʂɔ⁵³	ʂɔ⁵³	ʂɔ⁵³
饶	ʐɔ¹³	ʐɔ¹³	ʐɔ¹³	ʐɔ¹³	ʐɔ¹³	ʐɔ¹³	ʐɔ¹³	ʐɔ¹³
骄	tɕiɔ³¹²	tɕiɔ⁴¹²	tɕiɔ³¹²	tɕiɔ³¹²	tɕiɔ¹³	tɕiɔ¹³	tɕiɔ¹³	tɕiɔ¹³
桥	tɕʰiɔ¹³	tɕʰiɔ¹³	tɕʰiɔ¹³	tɕʰiɔ¹³	tɕʰiɔ¹³	tɕʰiɔ¹³	tɕʰiɔ¹³	tɕʰiɔ¹³
轿	tɕʰiɔ⁴⁴	tɕʰiɔ⁴⁴	tɕʰiɔ⁴⁴	tɕʰiɔ⁴⁴	tɕʰiɔ⁴⁴	tɕʰiɔ⁴⁴	tɕʰiɔ⁴⁴	tɕʰiɔ⁴⁴
嚣	ɕiɔ³¹²	ɕiɔ⁴¹²	ɕiɔ³¹²	ɕiɔ³¹²	ɕiɔ¹³	ɕiɔ¹³	ɕiɔ¹³	ɕiɔ¹³
要	iɔ⁴⁴	iɔ⁴⁴	iɔ⁴⁴	iɔ⁴⁴	iɔ⁴⁴	iɔ⁴⁴	iɔ⁴⁴	iɔ⁴⁴
舀	iɔ⁵³	iɔ⁵³	iɔ⁵³	iɔ⁵³	iɔ⁵³	iɔ⁵³	iɔ⁵³	iɔ⁵³
鸟	tɕiɔ⁵³	tɕiɔ⁵³	tɕiɔ⁵³	ȵiɔ⁵³	ȵiɔ⁵³	ȵiɔ⁵³	ȵiɔ⁵³	ȵiɔ⁵³
挑	tɕʰiɔ³¹²	tɕʰiɔ⁴¹²	tʰiɔ³¹²	tɕʰiɔ³¹²	tʰiɔ¹³	tʰiɔ¹³	tʰiɔ¹³	tʰiɔ¹³
跳	tɕʰiɔ⁴⁴	tɕʰiɔ⁴⁴	tʰiɔ⁴⁴	tʰiɔ⁴⁴	tʰiɔ⁴⁴	tʰiɔ⁴⁴	tʰiɔ⁴⁴	tʰiɔ⁴⁴
尿	tɕiɔ⁴⁴	tɕiɔ⁴⁴	tɕiɔ⁴⁴	ȵiɔ⁴⁴	ȵiɔ⁴⁴	ȵiɔ⁴⁴	ȵiɔ⁴⁴	ȵiɔ⁴⁴
箫	ɕiɔ³¹²	ɕiɔ⁴¹²	ɕiɔ³¹²	ɕiɔ³¹²	ɕiɔ¹³	ɕiɔ¹³	ɕiɔ¹³	ɕiɔ¹³
浇	tɕiɔ³¹²	tɕiɔ⁴¹²	tɕiɔ³¹²	tɕiɔ³¹²	tɕiɔ¹³	tɕiɔ¹³	tɕiɔ¹³	tɕiɔ¹³
叫	tɕiɔ⁴⁴	tɕiɔ⁴⁴	tɕiɔ⁴⁴	tɕiɔ⁴⁴	tɕiɔ⁴⁴	tɕiɔ⁴⁴	tɕiɔ⁴⁴	tɕiɔ⁴⁴
晓	ɕiɔ⁵³	ɕiɔ⁵³	ɕiɔ⁵³	ɕiɔ⁵³	ɕiɔ⁵³	ɕiɔ⁵³	ɕiɔ⁵³	ɕiɔ⁵³
吆	iɔ³¹²	iɔ⁴¹²	iɔ³¹²	iɔ³¹²	iɔ¹³	iɔ¹³	iɔ¹³	iɔ¹³
剖	pʰɔ³¹²	pʰɔ⁴¹²	pʰɔ³¹²	pʰɔ³¹²	pʰɔ¹³	pʰɔ¹³	pʰɔ¹³	pʰɔ¹³
牡	mɔ⁵³	mɔ⁵³	mɔ⁵³	mɔ⁵³	mɔ⁵³	mɔ⁵³	mɔ⁵³	mɔ⁵³
母	mu⁵³	mu⁵³	mu⁵³	mu⁵³	mu⁵³	mu⁵³	mu⁵³	mu⁵³
兜(~~)	tu³¹²	tu⁴¹²	tu³¹²	tu³¹²	təu¹³	tu¹³	tu¹³	tu¹³
抖	tʰəu⁵³	tʰou⁵³	tʰəu⁵³	tʰəu⁵³	tʰəu⁵³	tʰəu⁵³	tʰəu⁵³	tʰəu⁵³
透	tʰəu⁴⁴	tʰou⁴⁴	tʰəu⁴⁴	tʰəu⁴⁴	tʰəu⁴⁴	tʰəu⁴⁴	tʰəu⁴⁴	tʰəu⁴⁴
头	tʰəu¹³	tʰou¹³	tʰəu¹³	tʰəu¹³	tʰəu¹³	tʰəu¹³	tʰəu¹³	tʰəu¹³
楼	lu¹³	lu¹³	lu¹³	lu¹³	lu¹³	lu¹³	lu¹³	lu¹³
搂	lu¹³	lu¹³	lu¹³	lu¹³	lu¹³	lu¹³	lu¹³	lu¹³
漏	lu⁴⁴	lu⁴⁴	lu⁴⁴	lu⁴⁴	lu⁴⁴	lu⁴⁴	lu⁴⁴	lu⁴⁴
走	tsəu⁵³	tsou⁵³	tsəu⁵³	tsəu⁵³	tsəu⁵³	tsəu⁵³	tsəu⁵³	tsəu⁵³
凑	tsʰəu⁴⁴	tsʰou⁴⁴	tsʰəu⁴⁴	tsʰəu⁴⁴	tsʰəu⁴⁴	tsʰəu⁴⁴	tsʰəu⁴⁴	tsʰəu⁴⁴
