汉字	注释	罗坝
軒		ɕion11
掀		ɕin11
鍵		tɕien44
建		tɕien44
健		tɕʰion44
憲		ɕien44
獻		ɕien44
堰		/
揭		tɕʰiet3
歇		ɕiet3
邊		pien11
眠		mien42
顛		tien11
天		tʰien11
田		tʰien42
填		tʰien42
年		ɲien42
憐		lien42
蓮		lien42
箋		tɕʰien11
千		tɕʰien11
前		tɕʰien42
先		ɕien11
先	~生	sen11
肩		tɕien11
堅		tɕien11
牽		tɕʰien11
研		ɲien11
賢		ɕien42
弦		ɕion42
煙		ien11
扁		pien31
匾		pien31
辮		pʰien44
典		tien31
攆		ɲien31
繭		kan31
筧	以竹通水	/
顯		ɕien31
遍	~地	pʰien11
片		pʰien44
麵		mien44
電		tʰien44
奠		tien44
墊		tʰien44
練		lien44
鍊		lien44
薦		tɕien44
見		tɕien44
硯		ien44
現		ɕien44
燕	~子	ien44
宴		ien44
撇		pʰiet3
篾		met2
鐵		tʰiet3
捏		ɲiet2
捏		net2
節		tɕiet3
切	~開	tɕʰiet3
截		tɕiet3
屑	木~	ɕiet3
結		tɕiet3
潔		tɕiet3
般		pan11
搬		pan11
潘		pʰan11
拚	~命	pʰin11
盤		pʰan42
瞞		man42
饅		man42
端		ton11
團		tʰon42
鸞		non42
鑽	動詞	tson44
酸		son11
官		kon11
棺		kon11
觀	參~	kon11
冠	衣~	kon44
寬		kʰon11
歡		fon11
完		von42
丸		van42
豌		van31
伴		pʰan44
拌		pʰan44
滿		man31
短		ton31
斷	~絕	tʰon11
暖		non11
卵		non31
纂		tsʰon44
管		kon31
館		kon31
款		kʰan31
緩		fan31
碗		von31
半		pan44
絆		pʰan44
判		pʰan44
叛		pʰan44
漫		man44
斷	決~	tʰon11
鍛		tʰon44
段		tʰon11
緞		tʰon11
亂		lon44
鑽	名詞	tson44
竄		tsʰon44
算		son44
蒜		son44
貫		kan44
罐		kon44
冠	~軍	kan44
玩	古~	van31
喚		von44
煥		von44
換		von44
腕		van31
鉢		pat3
撥		pat3
潑		pʰat3
鈸		pʰat2
末		mat3
抹		mat3
脫		tʰot3
奪		tʰot3
捋	~袖	/
撮	一~米	tsut3
括	包~	kʰat3
闊		kʰat3
活		fat2
頑		ŋan42
幻		fan44
滑		vat2
猾		vat2
挖		vet3
閂		tsʰon11
拴		tsʰon11
關		kon11
還	~原	fan42
還	~有	han42
環		fan42
彎		van11
灣		van11
撰		tsʰon44
篡		tsʰon44
涮	~洗	sot3
慣		kan44
患		fan44
宦		fon44
刷		sot3
刮		kat3
全		tɕʰion42
泉		tɕʰion42
宣		ɕion11
旋		ɕion42
傳	~達	tsʰon42
專		tson11
磚		tson11
川		tsʰon11
穿		tsʰon11
船		son42
圈	圓~	tɕʰion11
拳		tɕʰion42
權		tɕʰion42
圓		ion42
員		ion42
緣		ion42
沿		ion42
鉛		ion42
捐		tɕion11
選		ɕion31
轉		tson31
篆		tson44
喘		tsʰon31
軟		ɲion11
捲		tɕion31
戀		lien44
傳	~記	tsʰon44
串		tsʰon44
卷		tɕion31
絹		/
倦		tɕʰion44
院		ion44
劣		liet2
絕		tɕʰiot2
雪		ɕiot3
說	~話	sot3
悅		iue44
閱		iot2
藩		fan11
翻		fan11
番	幾~	fan11
煩		fan42
繁		fan42
元		ɲion42
元		ion42
原		ɲion42
源		ɲion42
喧		ɕion11
冤		ion11
袁		ion42
園		ion42
援		ion42
反		fan31
晚		van31
挽		van31
阮		/
遠		ion31
販		pan31
飯		fan44
萬		van44
勸		tɕʰion44
券		tɕʰion44
願		ɲion44
怨		ion44
髮		fat3
發		fat3
伐		fat2
罰		fat2
襪		mat2
月		ɲiot2
越		iot2
粵		iot3
玄		ɕion42
懸		ɕion42
淵		ion11
犬		tɕʰion31
縣		ion44
眩		/
決		tɕiot3
訣		tɕiot3
缺		tɕʰiot3
血		ɕiot3
穴		ɕiet3
吞		tʰun11
搷		ken11
根		ken11
痕		hen42
恩		en11
懇		kʰen31
墾		kʰen31
很		hen31
恨		hen44
彬		pin11
賓		pin11
貧		pʰin42
頻		pʰin42
閩		min31
民		min42
鄰		lin42
鱗		lin11
津		tɕin11
親		tɕʰin11
秦		tɕʰin42
辛		ɕin11
新		ɕin11
珍		tɕin11
陳		tɕʰin42
塵		tɕʰin42
真		tɕin11
神		ɕin42
身		ɕin11
伸		ɕin11
晨		ɕin42
臣		ɕin42
人		ɲin42
仁		in42
巾		tɕin11
銀		ɲyn42
因		in11
姻		ien11
憫		min31
敏		min31
儘		tɕʰin44
盡		tɕʰin44
診		tɕin31
疹		tɕin11
腎		ɕin44
忍		ɲin11
緊		tɕin31
引		in31
殯		pin11
吝		lin44
進		tɕin44
晉		/
信		ɕin44
訊		ɕin44
鎮		tɕin44
趁		tsʰen44
陣		tɕʰin44
襯		tsʰen44
振		tɕin31
震		tɕin31
慎		ɕin44
刃		/
認		ɲin44
僅		tɕin31
釁		/
印		in44
筆		pit3
必		pit3
匹		pʰit3
密		mit2
蜜		mit2
栗		lit2
七		tɕʰit3
漆		tɕʰit3
疾		tɕʰit2
悉		ɕit3
膝		tɕʰit3
姪		tɕʰit2
秩		tɕʰit2
瑟		set3
蝨		set3
質		tɕit3
實		ɕit2
失		ɕit3
室		ɕit3
日		ɲit3
吉		tɕit3
乙		iot3
一		it3
逸		it3
斤		tɕin11
筋		tɕin11
勤		tɕʰin42
芹		tɕʰin42
欣		ɕin11
謹		/
近	远~	tɕʰyn11
近	~视	tɕʰyn44
隱		in31
勁		tɕin44
乞		tsʰɿ31
奔		pen11
噴	~水	pʰun44
盆		pʰun42
門		mun42
敦		/
墩		tun31
屯		tun11
臀		tʰun42
論	~語	lun42
崙		/
尊		tsun11
村		tsʰun11
存		tsʰun42
孫		sun11
昆		kʰun11
崑		kʰun11
坤		kʰun11
昏		fun31
婚		fun11
魂		fun42
渾	~濁	vun42
溫		vun11
瘟		vun11
本		pun31
笨		pun44
囤		tun31
沌		tʰun31
盾		tʰun44
損		sun31
滾		kun31
綑		kʰun31
混	相~	kʰun44
穩		vun31
悶		mun44
頓		tun44
褪		tʰi44
鈍		tʰun44
嫩		nun44
論	議~	lun44
寸		tsʰun44
遜		sun44
棍		kun44
困		kʰun44
不		put3
勃		/
沒	沉~	mut2
突		tʰut2
卒		tsut3
骨		kut3
窟		/
忽		fut3
核		het3
倫		lun42
淪		lun42
輪		lun42
遵		tsun11
荀		sun42
旬		sun42
循		sun42
巡		sun42
肫	~肝	/
春		tsʰun11
脣		sun42
純		sun42
醇		sun42
均		tɕyn11
鈞		/
勻		yn42
筍		sun31
榫	~頭	sun31
準		tsun31
准		tsun31
蠢		tsʰun31
菌		tɕʰyn31
允		yn31
俊		tsun44
迅		sun44
殉		sun42
順		sun44
舜		sun44
潤		yn44
閏		yn44
律		lut3
率	速~	lut3
恤		ɕiet3
率	~領	sai44
蟀		/
出		tsʰut3
術		sut2
述		sut2
橘		/
分	~開	fun11
芬		fun11
紛		fun11
墳		fun42
文		vun42
蚊		mun11
聞		vun42
君		tɕyn11
軍		tɕyn11
群		tɕʰyn42
裙		tɕʰyn42
熏		ɕyn11
勳		ɕyn11
葷		kʰun11
雲		yn42
粉		fun31
憤		fun44
忿		fun44
吻		vun42
刎		vun42
糞		fun44
奮		fun44
份		fun44
問		mun44
郡		tɕyn44
訓		ɕyn44
熨		yn44
韻		yn44
運		yn44
彿	彷~	fut3
佛		fut3
物		vut3
勿		fut2
屈		tɕʰyt3
倔		/
幫		poŋ11
滂		/
旁		pʰoŋ42
忙		moŋ42
茫		moŋ42
當	~時	toŋ11
湯		tʰoŋ11
堂		tʰoŋ42
糖		tʰoŋ42
塘		tʰoŋ42
囊		noŋ42
郎		loŋ42
廊		loŋ42
狼		loŋ42
贓		tsoŋ11
髒		tsoŋ11
倉		tsʰoŋ11
蒼		tsʰoŋ11
藏	隱~	tsʰoŋ42
桑		soŋ11
喪	婚~	soŋ42
岡		koŋ11
剛		koŋ11
缸		koŋ11
康		kʰoŋ11
糠		kʰoŋ11
昂		ŋoŋ42
行	銀~	haŋ42
航		hoŋ42
骯		oŋ11
榜		poŋ31
莽		maŋ31
黨		toŋ31
擋		toŋ31
躺		tʰoŋ31
蕩		tʰoŋ44
朗		loŋ31
嗓		saŋ31
慷		kʰoŋ11
謗		poŋ44
傍		pʰoŋ44
當	典~	toŋ44
燙		tʰoŋ44
趟		tʰoŋ44
宕		tʰoŋ44
浪		loŋ44
葬		tsoŋ44
藏	西~	tsoŋ44
臟		tsoŋ44
喪	~失	soŋ44
抗		kʰoŋ44
博		pok3
泊	梁山~	pak3
薄		pʰok3
泊		pak3
莫		mok2
幕		mu44
寞		mok2
摸		mo11
摸		mia22
託		tʰok3
托		tʰok3
諾		nok2
落		lok2
烙		lok2
絡		lok2
樂		lok2
作		tsok3
錯		tsʰo44
鑿		tsʰok2
昨		tsok2
索		sok3
各		kok3
閣		kak3
鄂		ŋok3
鶴		hok2
惡	善~	ok3
娘		ɲioŋ42
良		lioŋ42
涼		lioŋ42
量	~長短	lioŋ42
糧		lioŋ42
將	~來	tɕioŋ11
漿		tɕioŋ11
槍		tɕʰioŋ11
牆		tɕʰioŋ42
相	互~	ɕioŋ11
箱		ɕioŋ11
廂		ɕioŋ11
鑲		ɕioŋ11
詳		ɕioŋ42
祥		ɕioŋ42
張		tsoŋ11
長	~短	tsʰoŋ42
腸		tsʰoŋ42
場		tsʰoŋ42
莊		tsoŋ11
裝		tsoŋ11
瘡		tsʰoŋ11
床		tsʰoŋ42
霜		soŋ11
章		tsoŋ11
樟		tsoŋ11
昌		tsʰoŋ11
商		soŋ11
傷		soŋ11
常		soŋ42
嘗		soŋ42
償		soŋ42
瓤	瓜~	noŋ42
疆		tɕioŋ11
薑		tɕioŋ11
姜		tɕioŋ11
羌		/
強		tɕʰioŋ42
香		ɕioŋ11
鄉		ɕioŋ11
央		ioŋ11
秧		ioŋ11
羊		ioŋ42
楊		ioŋ42
陽		ioŋ42
揚		ioŋ42
兩	~個	lioŋ31
兩	斤~	lioŋ11
獎		tɕioŋ31
槳		tɕioŋ31
搶		tɕʰioŋ31
想		ɕioŋ31
象		ɕioŋ44
像		ɕioŋ44
像		tɕʰioŋ44-
長	生~	tsoŋ31
漲		tsoŋ44
丈		tsʰoŋ44
丈	姨~	tsʰoŋ11
仗		tsʰoŋ44
杖		tsʰoŋ44
闖		tsʰoŋ31
爽		soŋ31
掌		tsoŋ31
廠		tsʰoŋ31
賞		soŋ31
上	~山	soŋ11
壤		nioŋ44
攘		/
強	勉~，倔~	tɕʰioŋ31
仰		ŋoŋ31
享		ɕioŋ31
響		ɕioŋ31
養		ioŋ31
養		ioŋ11
癢		ioŋ11
釀		ɲioŋ44
亮		lioŋ44
諒		lioŋ44
輛		lioŋ31
量	數~	lioŋ44
醬		tɕioŋ44
將	大~	tɕioŋ44
匠		ɕioŋ44
相	~貌	ɕioŋ44
帳		tsoŋ44
賬		tsoŋ44
脹		tsoŋ44
暢		tsʰoŋ44
壯		tsoŋ44
創		tsʰoŋ31
狀		tsʰoŋ44
障		tsoŋ44
唱		tsʰoŋ44
倡		tsʰoŋ44
餉		ɕioŋ31
尚		soŋ44
上	~恩	soŋ44
讓		ɲioŋ44
向		ɕioŋ44
樣		ioŋ44
略		liok2
掠		liok2
爵		/
雀	麻~	tɕiok3
鵲	喜~	ɕiak3
嚼		/
削		ɕiok3
著	~衣	tsok3
著	附~	tsʰok2
酌		tsok3
綽		tsʰok3
勺		sok2
若		iok2
弱		ɲiok2
腳		tɕiok3
卻		/
虐		ɲiok2
瘧		ɲiok2
約		iok3
藥		iok3
躍		iok2
光		koŋ11
荒		foŋ11
慌		foŋ11
黃		voŋ42
皇		voŋ42
廣		koŋ31
謊		foŋ11
晃		foŋ31
曠		kʰoŋ44
郭		kok3
擴		kʰoŋ44
霍		kʰok3
鑊		vok2
方		foŋ11
芳		foŋ11
妨		foŋ42
房		foŋ42
防		foŋ42
亡		moŋ42
筐		kʰoŋ11
眶		kʰoŋ11
狂		kʰoŋ42
王		voŋ42
倣		foŋ31
紡		foŋ31
仿		foŋ31
網		moŋ31
枉		voŋ31
往		voŋ31
放		foŋ44
訪		foŋ31
忘		moŋ44
望		moŋ44
逛		kʰoŋ42
況		kʰoŋ44
旺		voŋ44
钁	大鋤	tɕiok3
邦		poŋ11
肨	腫	/
龐		pʰaŋ42
樁		tsoŋ11
窗		tsʰoŋ11
雙		soŋ11
江		koŋ11
扛		koŋ11
腔		tɕʰioŋ11
降	投~	koŋ44
綁		poŋ31
講		koŋ31
港		koŋ31
項		hoŋ44
胖		pʰan44
撞		tsʰoŋ44
降	下~	koŋ44
巷		hoŋ44
剝		pok3
駁		pok3
樸		pʰuk3
雹		pʰok2
桌		tsok3
琢		tsok3
啄		tsok3
戳		tsʰok3
濁		tsʰuk2
捉		tsok3
鐲		tsʰok2
朔		/
覺	知~	kok3
角		kok3
確		kʰok3
殼		kʰok3
嶽		ŋok2
岳		ŋok2
樂	音~	lok2
學		hok2
握		vok3
崩		pen11
朋		pʰuŋ42
登		ten11
燈		ten11
騰		tʰen42
謄		tʰen42
藤		tʰen42
能		nen42
增		tsen11
憎		tsen11
曾	~經	tsʰen42
層		tsʰen42
僧		sen11
恆		hen42
等		ten31
肯		kʰen31
肯		hen31
凳		ten44
鄧		tʰen44
蹭		tsʰen44
贈		tsʰen44
北		pet3
墨		met2
默		met2
得		tet3
德		tet3
特		tʰet2
肋		let2
勒		let2
則		tset3
賊		tsʰet2
塞		set3
刻		kʰet3
克		kʰet3
黑		het3
冰		pin11
憑		pʰen42
陵		lin42
凌		lin42
徵	~求	tɕin11
澄		tɕʰin42
懲		tɕʰin42
蒸		tɕin11
稱	~呼	tɕʰin11
乘		ɕin42
繩		ɕin42
塍		sun42
升		ɕin11
承		ɕin42
丞		ɕin42
仍		in42
凝		ɲin42
興	~旺	ɕin11
應	~當	in11
鷹		in11
蠅		in42
拯		tɕin31
瞪		ten44
證		tɕin44
症		tɕin44
稱	相~	tɕʰin44
秤		tɕʰin44
剩		ɕin44
勝		ɕin44
凝	湯~成凍	/
興	高~	ɕin44
應	~對	in44
孕		yn44
逼		pit3
力		lit2
即		tɕit3
鯽		tɕit3
息		ɕit3
熄		ɕit3
媳		ɕit3
直		tɕʰit2
值		tɕʰit2
側		tset3
測		tsʰet3
測		tset3
色		set3
嗇		set3
織		tɕit3
職		tɕit3
食		ɕit2
蝕		ɕit2
識		ɕit3
式		ɕit3
飾		ɕit3
殖		tɕʰit2
植		tɕʰit2
極		tɕʰit2
憶		ɿ44
億		ɿ44
抑		it3
翼		iet2
弘		fuŋ42
國		kut3
或		fet2
惑		fet2
域		yt2
烹		pʰen11
彭		pʰaŋ42
膨		pʰaŋ42
盲		maŋ42
撐		tsʰaŋ44
生		sen11
生		saŋ11
牲		ɕin11
牲		saŋ11
甥		saŋ11
庚		ken11
羹		ken11
坑		haŋ11
亨		haŋ11
行	~為	haŋ42
衡		hen42
猛		men31
猛		maŋ31
打		ta31
冷		laŋ11
省	~長	sen31
省	節~	sen31
哽		kaŋ31
杏	~坛	ɕin44
杏	~仁	hen44
孟		men44
更	~加	ken44
硬		ŋaŋ44
行	品~	haŋ42
百		pak3
伯		pak3
迫		pʰet3
拍		pʰak3
魄		pʰak3
白		pʰak2
陌		mak2
拆		tsʰak3
澤		tset2
擇	~菜	tset2
宅		tsat2
格		kak3
客		kʰak3
額		ɲiak2
嚇	恐~	hak3
棚		pʰuŋ42
萌		men42
爭		tsen11
爭		tsaŋ11
睜		tsen11
耕		kaŋ11
莖		tɕin11
莖	菜~：本字应为梗	kaŋ31
鶯		in11
鸚		in11
耿		kʰen31
幸		hen44
擘		/
麥		mak3
脈		mak2
摘		tsak3
責		tset3
策		tsʰet3
冊		tsʰak3
柵		/
革		ket3
隔		kak3
核	審~	het3
核	果~	het3
核		vut2
扼		/
軛		/
兵		pin11
平		pʰin42
平		pʰiaŋ42
坪		pʰiaŋ42
評		pʰin42
鳴		min42
明		min42
明		miaŋ42
盟		men42
京		tɕin11
驚		tɕiaŋ11
卿		tɕʰin11
擎		ɲiaŋ42
鯨		tɕin11
迎		ɲiaŋ42
英		in11
丙		pin31
秉		pin31
皿		min31
境		tɕin44
景		tɕin31
警		tɕin31
影		iaŋ31
柄		piaŋ44
病		pʰiaŋ44
命		min44
命		miaŋ44
敬		tɕin44
竟		tɕin44
鏡		tɕiaŋ44
慶		tɕʰin44
競		tɕin44
映		iaŋ44
碧		pit3
戟		/
劇	戲~	tɕʰiak3
屐		tɕʰiak3
逆		ɲiak2
名		miaŋ42
精		tɕin11
晶		tɕin11
清		tɕʰin11
清		tɕʰiaŋ11-
情		tɕʰin42
晴		tɕʰiaŋ42
貞		tɕin11
偵		tɕin11
呈		tɕʰin42
程		tɕʰin42
正	~月	tɕin44
正		tsaŋ11
征		tɕin11
聲		ɕin11
聲		saŋ11
成		ɕin42
成		saŋ42-
成		tsʰaŋ42-
城		saŋ42
誠		ɕin42
輕		tɕʰiaŋ11
嬰		in11
盈		in42
贏		iaŋ42
餅		piaŋ31
領		liaŋ31
領		liaŋ11
嶺		liaŋ11
井		tɕiaŋ31
請		tɕʰiaŋ31
靜		tɕʰin44
省	反~	sen31
逞		tɕʰin42
整		tɕin31
整		tsaŋ31
頸		tɕiaŋ31
併		pin44
聘		pʰin44
令		lin44
淨		tɕʰiaŋ44
性		ɕin44
姓		ɕiaŋ44
鄭		tsʰaŋ44
正		tɕin44
正		tsaŋ44
政		tɕin44
聖		ɕin44
盛	興~	ɕin44
勁		tɕin44
璧		piak3
僻		pʰit3
闢		pʰit3
積		tɕit3
跡		tɕit3
籍		tɕʰit2
藉	狼~	tɕʰit2
惜		ɕit3
昔		ɕit3
席		ɕit2
夕		ɕit2
隻		tsak3
炙		/
赤		tsʰak3
斥		/
尺		tsʰak3
射		sa44
適		ɕit3
釋		ɕit3
石		sak2
益		it3
亦		it3
譯		it3
易	交~	it3
液		it3
拼		pʰin11
瓶		pʰin42
萍		pʰin42
銘		miaŋ42
丁		tiaŋ11
釘		tiaŋ11
疔		tiaŋ11
聽		tʰiaŋ11
廳		tʰiaŋ11
汀		/
亭		tʰin42
停		tʰin42
庭		tʰin42
寧	安~	lin42
靈		lin42
零		liaŋ42
鈴		lin42
鈴		laŋ42
青		tɕʰiaŋ11
星		ɕin11
星		ɕiaŋ11
腥		ɕiaŋ11
經		tɕin11
馨		ɕin11
形		ɕin42
型		ɕin42
刑		ɕin42
並		pin44
頂		tiaŋ31
鼎		tin31
艇		tʰiaŋ31
挺		tʰin31
醒		ɕiaŋ31
訂		tin44
訂		tiaŋ11
定		tʰin44
另		liaŋ44
徑		tɕin44
壁		piak3
劈		/
覓		/
的	目~	tit3
滴		tiet3
踢		tʰiak3
笛		tit2
笛		tʰiak2
敵		tʰit2
糴		/
歷		li44
曆		liak2
績		tɕit3
戚		tɕʰit3
寂		tɕit3
錫		ɕiak3
析		ɕit3
擊		tɕit3
激		tɕit3
橫	~直	vaŋ42
礦		kʰoŋ44
轟		hoŋ11
宏		fen42
獲		vok2
劃		fak2
劃		vak2
兄		ɕiuŋ11
榮		iuŋ42
永		iuŋ31
泳		iuŋ31
詠		iuŋ31
傾		tɕʰyn11
瓊		tɕʰiuŋ42
營		iaŋ42
頃		tɕʰyn31
穎		in31
疫		it3
役		yt3
螢		in42
蓬		pʰuŋ42
蒙		muŋ42
東		tuŋ11
通		tʰuŋ11
同		tʰuŋ42
銅		tʰuŋ42
筒		tʰuŋ42
童		tʰuŋ42
籠		luŋ11
聾		luŋ11
鬃		tsuŋ11
聰		tsʰuŋ11
葱		tsʰuŋ11
囪		tsʰuŋ11
叢		tsʰuŋ42
公		kuŋ11
工		kuŋ11
功		kuŋ11
攻		kuŋ11
空	~虛	kʰuŋ44
烘	~乾	kʰuŋ44
紅		fuŋ42
洪		fuŋ42
鴻		fuŋ42
虹		fuŋ42
翁		vuŋ11
懵		muŋ31
董		tuŋ31
懂		tuŋ31
桶		tʰuŋ31
捅		tʰuŋ31
動		tʰuŋ44
攏		luŋ31
總		tsuŋ31
孔		kʰuŋ31
哄		hoŋ44
汞		kuŋ44
凍		tuŋ44
棟		tuŋ44
痛		tʰuŋ44
洞		tʰuŋ44
弄		luŋ44
粽		tsuŋ44
送		suŋ44
貢		kuŋ44
控		kʰuŋ44
甕		vuŋ44
卜		pʰuk3
撲		pʰuk3
仆	~倒	pʰuk3
僕		pʰuk3
曝		pʰau44
木		muk3
禿		tʰut3
獨		tʰuk2
讀		tʰuk2
鹿		luk2
祿		luk2
族		tsʰuk2
速		suk3
穀		kuk3
谷		kuk3
哭		kʰuk3
屋		vuk3
冬		tuŋ11
農		nuŋ42
膿		nuŋ42
宗		tsuŋ11
鬆		suŋ11
統		tʰuŋ31
宋		suŋ44
督		tuk3
毒		tʰuk2
酷		/
沃		vok3
風		fuŋ11
楓		fuŋ11
瘋		fuŋ11
豐		fuŋ11
馮		fuŋ42
隆		luŋ42
嵩		suŋ44
中	當~	tsuŋ11
忠		tsuŋ11
蟲		tsʰuŋ42
崇		tsʰuŋ42
終		tsuŋ11
充		tsʰuŋ11
戎		iuŋ42
絨		iuŋ42
弓		kuŋ11
宮		kuŋ11
窮		tɕʰiuŋ42
熊		ɕiuŋ42
雄		ɕiuŋ42
融		iuŋ42
諷		fuŋ31
鳳		fuŋ44
夢		muŋ44
中	射~	tsuŋ44
仲		tsuŋ44
眾		tsuŋ44
銃		tsʰuŋ44
福		fuk3
幅		fuk3
複		fuk3
腹		fuk3
覆	反~	fuk3
服		fuk2
伏		fuk2
復	~原	fuk2
目		muk3
穆		muk3
六		luk3
陸		luk2
肅		ɕiuk3
宿		ɕiuk3
竹		tsuk3
築		tsuk3
畜	~牲	ɕiuk3
逐		tsʰuk2
軸		tsʰuk2
縮		suk3
祝		tsuk3
粥		tsuk3
叔		suk3
熟	~悉	suk2
淑		suk2
肉		ɲiuk3
菊		tɕʰiuk3
麴		tɕʰiuk3
畜	~牧	ɕiuk3
蓄	儲~	ɕiuk3
郁		iuk3
育		iuk3
封		fuŋ11
峰		fuŋ11
蜂		fuŋ11
鋒		fuŋ11
逢		fuŋ42
縫	~衣服	fuŋ42
濃		nuŋ42
濃	酒、茶~	ɲiuŋ42
龍		luŋ42
蹤		tsuŋ11
縱	~橫	tsuŋ11
從	搷~	tsʰuŋ42
松		tɕʰiuŋ42
重	~復	tsʰuŋ42
鐘		tsuŋ11
鍾		tsuŋ11
衝		tsʰuŋ11
舂	~米	tsuŋ11
茸		iuŋ42
恭		kuŋ11
胸		ɕiuŋ11
凶	吉~	ɕiuŋ11
兇	~惡	ɕiuŋ11
癰		/
容		iuŋ42
庸		iuŋ11
捧		puŋ31
奉		fuŋ44
壠		/
冢		/
寵		tsʰuŋ31
重	輕~	tsʰuŋ44
種	~類	tsuŋ31
腫		tsuŋ31
冗		iuŋ31
拱		kuŋ31
鞏		kuŋ31
恐		kʰuŋ31
擁		iuŋ31
勇		iuŋ31
俸		fuŋ44
縫	門~	fuŋ44
誦		suŋ44
訟		suŋ44
種	~樹	tsuŋ44
供		kuŋ44
供	~猪：喂猪	tɕiuŋ44
共		kʰuŋ44
用		iuŋ44
綠		luk2
錄		luk2
足		/
促		tsʰuk3
粟		/
俗		suk2
俗		ɕiuk2
續		ɕiuk2
燭		tsuk3
囑		tsuk3
觸		tsʰuk3
贖		suk2
束		tsʰuk3
屬		suk2
辱		iuk2
褥		/
曲		tɕʰiuk3
局		tɕʰiuk2
玉		ɲiuk2
獄		iuk2
欲		iuk2
慾		iuk2
浴		iuk2
