#m̩	
j	[55]應鷹鶯鸚櫻英嬰纓[35]影映[33]應{應對}[21]仍凝蠅迎盈贏形型刑[22]認
k	[55]京荊驚經[35]境景警竟[33]莖敬勁徑[22]勁競
kʰ	[55]傾[35]頃[21]擎鯨瓊
w	[55]扔[21]榮[13]永[22]泳詠潁
h	[55]興{興旺}卿輕={輕重}馨兄[33]興{高興}慶磬
#ek	
p	[5]逼迫碧壁=璧
pʰ	[5]僻闢劈
m	[2]覓
t	[5]的嫡[2]滴廸
tʰ	[5]剔
l	[5]匿[2]力溺歷曆
tʃ	[5]即鯽織職積跡績斥
tʃʰ	[5]斥戚
ʃ	[5]悉息熄媳嗇識式飾惜昔適釋析[3]錫{用於人名}[2]食蝕
j	[5]憶億抑益[2]翼逆亦譯易{交易}液腋疫役
k	[5]戟擊激虢[2]極
w	[2]域
#i	
tʃ	[55]知蜘支枝肢梔資咨姿脂茲滋輜之芝[35]紫紙只{只有}姊旨指子梓滓止趾址[33]智致至置志{志氣}誌{雜誌}痣[22]自雉稚字伺祀巳寺嗣飼痔治
tʃʰ	[55]雌疵差{參差不齊}眵癡嗤[35]此侈豕恥柿齒始[33]刺賜翅次廁[21]池馳匙瓷餈遲慈磁辭詞祠持[13]似恃
ʃ	[55]斯廝施私師獅尸{尸位素餐}屍司絲思詩[35]黍屎使{使用}史[33]肆思{意思}試[21]時鰣[13]市[22]是氏豉示視士{士兵}仕{仕途}事侍
j	[55]伊醫衣依[35]倚椅[33]意[21]兒宜儀移夷姨而疑飴沂[13]爾議耳擬矣已以[22]義{義務}易{難易}二肄異
#iu	
p	[55]臕標錶彪[35]表
pʰ	[55]飄漂{漂浮}[33]票漂{漂亮}[21]瓢嫖[13]鰾
m	[21]描[13]藐渺秒杳[22]廟妙
t	[55]刁貂雕丟[33]釣弔吊[22]掉調{調查}
tʰ	[55]挑[33]跳糶跳[21]條調{調和}
l	[21]燎療聊遼撩寥瞭[13]鳥了[22]尿料{預料}廖
tʃ	[55]焦蕉椒朝{今朝}昭{昭雪}招[35]剿沼{沼氣}[33]醮照詔{詔書}[22]噍趙召
tʃʰ	[55]超[35]悄[33]俏鞘[21]樵瞧朝{朝代}潮
ʃ	[55]消宵霄硝銷燒蕭簫[35]小少{多少}[33]笑少{少年}[21]韶[22]兆紹邵
j	[55]妖邀腰要{要求}么吆{大聲吆喝}[33]要[21]饒橈搖瑤謠姚堯[13]擾繞舀[22]耀鷂
k	[55]驕嬌[35]矯轎繳[33]叫
kʰ	[33]竅[21]喬僑橋蕎
h	[55]囂僥[35]曉
#in	
p	[55]鞭邊蝙辮[35]貶扁匾[33]變遍[22]辨辯汴便{方便}
pʰ	[55]編篇偏[33]騙片[21]便{便宜}
m	[21]綿棉眠[13]免勉娩緬[22]面{面子}麵{粉麵}
t	[55]顛掂拈[35]典點[33]墊店[21]黏廉鐮鮎[13]簟斂殮臉[22]電殿奠佃[22]念
tʰ	[55]天添[35]腆舔[21]田填甜
l	[35]捻戀[21]連聯年憐蓮[13]碾輦攆[22]練鍊楝
tʃ	[55]煎氈羶箋尖沾粘瞻占{占卜}[35]剪展[33]箭濺餞顫薦佔{侵佔}[22]賤漸
tʃʰ	[55]遷千殲[35]淺[21]錢纏前潛[13]踐
ʃ	[55]仙鮮{新鮮}先[35]鮮{鮮少}癬陝閃[33]線搧扇[21]蟾簷蟬禪[22]羨善膳單{姓}
j	[55]煙燕{燕京}淹閹醃腌[35]演堰掩[33]厭燕{燕子}嚥宴[21]涎然燃焉延筵言研賢炎鹽閻嚴嫌[13]染冉儼[22]驗豔焰莧諺硯現
k	[55]肩堅[35]檢[33]建見劍[22]件鍵健儉
kʰ	[21]乾虔鉗
h	[55]軒掀牽謙[35]遣顯險[33]憲獻欠[21]弦
#it	
p	[5]必[3]鱉憋[2]別
pʰ	[3]撇
m	[2]滅篾
t	[3]跌[2]疊碟牒蝶諜
tʰ	[3]鐵帖貼
l	[2]列烈裂聶鑷躡獵捏
tʃ	[2]哲蜇折節接摺褶
tʃʰ	[3]徹撤轍設切{切開}妾
ʃ	[3]涉薛泄屑楔攝[2]舌
j	[2]熱薛葉頁業
k	[3]結潔劫澀[2]傑
kʰ	[3]揭
h	[3]歇蠍怯脅歉協
#ɔ	
p	[55]波菠玻[33]簸播
pʰ	[55]坡[35]頗[33]破[21]婆
m	[55]魔摩[35]摸[21]磨{動詞}饃[22]磨{石磨}
f	[55]科[35]棵火夥[33]課貨
t	[55]多[35]朵躲剁[22]惰
tʰ	[55]拖[33]唾[21]駝馱{馱起來}舵[13]妥橢[22]馱{牲畜背上所背的貨物}
l	[55]囉[35]裸[21]挪羅鑼蘿騾腡[22]糯
tʃ	[35]左阻[33]佐[22]佐坐{坐立不安}座助
tʃʰ	[55]搓初雛[35]楚礎[33]銼錯[21]鋤
ʃ	[55]蓑梭唆莎梳疏蔬[35]鎖瑣所[21]傻
k	[55]歌哥
kw	[55]戈[35]果裹餜[33]個過
kwʰ	[35]顆
w	[55]鍋倭窩蝸[21]和禾[22]禍
h	[35]可[21]荷河何[22]賀
ø	[55]阿{阿膠}[21]蛾俄鵝蛾峨訛[13]我[22]臥餓
#ɔi	
t	[22]待殆代袋
tʰ	[55]胎[21]台臺抬[13]怠
l	[21]來[22]耐奈內
tʃ	[55]災栽[35]宰載[33]再載[22]在
tʃʰ	[35]彩採睬[33]菜賽蔡[21]才材財裁纔{方纔}
ʃ	[55]腮鰓
k	[55]該[35]改[33]蓋
kʰ	[33]概溉慨丐
h	[55]開[35]凱海[22]亥害駭
ø	[55]哀埃[35]藹[33]愛[21]呆[22]礙外
#ɔn	
k	[55]千{干戈}肝竿乾{乾濕}桿疆[35]稈趕[33]幹{幹部}
h	[55]看{看守}刊[35]罕[33]看{看見}漢[21]鼾寒韓[13]旱[22]汗銲翰
ø	[55]安鞍[33]按案[22]岸
#ɔŋ	
p	[55]幫邦[35]榜綁[22]傍{傍晚}
pʰ	[33]謗[21]滂旁螃龐[13]蚌
m	[55]虻[21]忙茫芒亡[13]莽蟒網輞妄[22]忘望
f	[55]荒慌方肪芳[35]謊晃倣紡仿彷訪[33]放況[21]妨房防
t	[55]當{當時}[35]黨擋[33]當{典當}[22]宕蕩
tʰ	[55]湯[35]倘躺[33]燙趟[21]堂棠螳唐糖塘
l	[35]兩{幾兩幾錢}[21]囊瓤[13]朗兩{兩個}[22]浪亮諒輛量
tʃ	[55]贓髒將漿張莊裝章樟樁{打樁}[35]蔣獎槳長{生長}掌[33]莽醬將漲帳賬脹壯障瘴[22]藏{西藏}臟匠象像橡丈仗杖狀撞
tʃʰ	[55]倉蒼槍瘡昌菖窗[35]搶闖廠[33]暢唱倡{提倡}[21]藏{隱藏}牆詳祥長{長短}腸場床
ʃ	[55]桑喪相{互相}箱廂湘襄鑲霜孀商傷雙[35]嗓想爽賞鯗{鯗魚：曬乾和醃過的魚}[33]喪相{相貌}[21]常嘗裳償[13]上{上山}[22]尚{和尚}上{上面}
j	[55]央秧殃[21]羊洋烊楊{姓}陽揚瘍[13]攘嚷仰養癢[22]釀壤讓樣
k	[55]岡崗剛綱缸疆僵薑礓{磁石}韆姜羌江扛豇{豇豆}[35]講港[33]鋼杠降
kʰ	[33]抗炕[21]強{強大}[13]強{勉強}
kw	[55]光[35]廣
kwʰ	[33]曠擴礦[21]狂
w	[55]汪[35]枉[21]黃簧皇蝗王[13]往[22]旺
h	[55]康糠香鄉匡筐眶腔[35]慷晌餉享響[33]向[21]行{行列}航杭降{投降}[22]項巷
ø	[55]骯[21]昂
#ɔt	
k	[3]割葛
h	[3]喝渴
#ɔk	
p	[3]博縛駁[2]薄泊{澹泊名利}
pʰ	[3]樸朴撲
m	[5]剝[2]莫膜幕寞
f	[3]霍藿{藿香}
t	[3]琢啄涿{深}[2]鐸踱
tʰ	[3]託托
l	[2]諾落烙駱酪洛絡樂{快樂}略掠
tʃ	[3]作爵雀鵲嚼著{著衣}酌勺[2]鑿昨著{附著}
tʃʰ	[3]錯綽焯芍卓桌戮
ʃ	[3]索朔
j	[3]約{公約}[2]若弱虐瘧鑰躍
k	[3]各閣擱腳覺{知覺}角
kʰ	[3]郝卻確搉{搉蒜}
kw	[3]郭國
kwʰ	[3]廓
w	[2]鑊獲
h	[3]殼[2]鶴學
ø	[3]惡{善惡}[2]鄂嶽岳樂{音樂}愕鱷顎萼鶚
#ou	
p	[55]褒[35]補保堡寶[33]布佈報[22]怖部簿{簿記}步捕暴菢{菢雞仔}
pʰ	[55]鋪{鋪設}[35]譜普浦脯甫{幾甫路}脯{杏脯}[33]鋪{店舗}[21]蒲菩袍[13]抱
m	[55]蟆{蝦蟆}[21]模摹無巫誣毛[13]武舞侮鵡母拇[22]暮慕墓募務霧冒帽戊
t	[55]都刀叨[35]堵賭島倒[33]妒到[22]杜度渡鍍道稻盜導
tʰ	[55]滔[35]土禱討[33]吐兔套[21]徒屠途塗圖掏桃逃淘陶萄濤[13]肚
l	[21]奴盧爐蘆廬勞牢嘮[13]努魯櫓虜滷腦惱老[22]怒路賂露鷺澇
tʃ	[55]租糟遭[35]祖組早棗蚤澡[33]灶[22]做皂造
tʃʰ	[55]粗操{操作}[35]草[33]醋措躁糙[21]曹槽
ʃ	[55]蘇酥鬚騷[35]數{動詞}嫂[33]素訴塑數{數目}掃
k	[55]高膏{膏腴}篙羔糕[35]稿[33]告膏{動詞，把毛筆蘸上墨，再在硯臺邊上掭：膏筆}
h	[55]蒿薅{薅鋤}[35]好{好壞}[33]犒好{喜好}耗[21]豪壕毫號{呼號}[22]浩號{號數}
ø	[35]襖[33]懊奧[22]傲
#oŋ	
pʰ	[35]捧[21]篷蓬
m	[21]蒙[13]懵蠓[22]夢
f	[55]風楓瘋豐封峰蜂鋒[35]俸[33]諷[21]馮逢縫{縫衣}[22]鳳奉縫{一條縫}
t	[55]東冬[35]董懂[33]凍[22]棟動洞
tʰ	[55]通熥{以火暖物}[35]桶捅統[33]痛[21]同銅桐筒童瞳
l	[21]籠聾農膿儂隆濃龍[13]攏隴壟[22]弄
tʃ	[55]棕鬃宗中{當中}忠終蹤縱鐘鍾盅舂[35]總粽種{種類}腫[33]綜中{射中}眾縱種{植樹}[22]仲誦頌訟
tʃʰ	[55]聰匆葱{洋蔥}囪{煙囪}充衝[35]冢寵[21]叢蟲從松重{重複}[13]重{輕重}
ʃ	[55]鬆嵩從{從容不迫}[35]慫[33]送宋[21]崇
j	[55]翁雍癰{生背癰}[35]擁壅甬湧[21]戎絨融茸容蓉鎔庸[13]冗{冗員}勇[22]用
k	[55]公蚣工功攻弓躬宮恭供{供給}[35]拱鞏[33]貢供{供養}[22]共
kʰ	[21]窮
h	[55]空胸凶{吉凶}兇{兇惡}[35]孔恐[33]控烘哄汞鬨嗅[21]虹紅洪鴻熊雄
ø	[33]甕
#ok	
p	[5]卜{占卜}[2]僕曝瀑
pʰ	[5]仆{前仆後繼}
m	[2]木目穆牧
f	[5]福幅蝠複腹覆{反覆}[2]復{復興}服伏
t	[5]篤督[2]獨讀牘犢毒
tʰ	[5]禿
l	[2]鹿祿六陸綠錄
tʃ	[5]浞竹築祝粥足燭囑觸捉[2]續濁鐲族逐軸俗
tʃʰ	[5]速畜蓄促束
ʃ	[5]肅宿縮叔粟[2]熟淑贖蜀屬
j	[5]沃郁[2]肉育辱褥玉獄欲{搖搖欲墜}慾{意態}浴
k	[5]穀谷{山谷}菊掬{笑容可掬}麴{酒麴}[2]局
kʰ	[5]曲{曲折}
h	[5]哭[2]斛酷
ø	[5]屋
#u	
f	[55]枯呼夫膚敷俘孵麩[35]苦卡府腑斧撫釜[33]庫褲戽賦富副[21]乎符扶芙[13]婦[22]付傅赴訃父腐輔附負
k	[55]姑孤[35]古估牯股鼓[33]故固錮雇顧
kʰ	[55]箍
w	[55]烏污塢[35]滸[33]惡{可惡}[21]胡湖狐壺瓠鬍[22]戶滬互護芋
#ui	
p	[55]杯[33]貝輩背[22]背{背誦}焙{焙乾}
pʰ	[55]胚坯[33]沛配佩[21]培陪賠裴[13]倍
m	[21]梅枚媒煤[13]每[22]妹昧
f	[55]魁恢灰奎[33]悔晦
kʰ	[35]賄潰劊檜繪
t	[55]堆[33]對碓兌[22]隊
