1209	兴	～旺	hin45	
1210	兴	高～	hin52	
1261	姓		sieŋ52	
1388	凶		suŋ45	
1293	兄		hin45	
1387	胸		huŋ45	
1360	熊		juŋ212	
635	休		hiu45	
598	修		siu45	
600	袖		ʦʰiu31	
599	绣		siu52	
170	须	胡～	su45	
157	虚		hi45	
133	徐		ʦʰi212	
158	许		hi31	
832	癣		sien31	
1111	削		siek31	
36	靴		hɛ45	
834	薛		siet31	
968	穴		hiet5	
1180	学		hɔk5	
966	血		hiet31	
1062	勋		fun45	
1061	熏			
736	寻		ʦʰim212	
1063	训		fun52	
687	压		at31	
686	鸭		ap31	
56	牙		ŋa212	
57	芽		ŋa212	
61	哑		a31	
887	烟		jan45	
849	延		jan212	
709	严	挑～	ȵam212	
853	言		ȵan212	
704	盐		jam212	
809	颜		ŋan212	
705	檐		jam212	
800	眼		ŋan31	
850	演		jan31	
703	厌		jam52	
811	晏	晚也	an52	
701	验		niem31	
888	燕		jan52	
1148	秧		jɔŋ45	
1150	羊		jɔŋ212	
1151	杨		jɔŋ212	
1152	痒		jɔŋ45	
1153	样		jɔŋ31	
540	腰		jau45	
543	窑		jau212	
542	摇		jau212	
512	咬		ŋau45	
544	舀		jau212	
541	要	需~	jau52	
545	耀		jau31	
79	爷		ja212	
80	野		ja45	
710	业		ȵap5	
706	叶		jap5	
81	夜		ja31	
1008	一		jit31	
424	衣		ji45	
418	医		ji45	
364	姨		ji212	
329	移		ji212	
416	疑		ȵi212	
420	以		ji31	
328	椅		ji31	
325	义		ȵi31	
326	议		ȵi31	
1300	役		wit5	
330	易	容～	ji31	
419	意		ji52	
1006	因		jin45	
757	阴		jim45	
1005	银		ŋən212	
1009	引		jin31	
1007	印		jin52	
1211	应	～当	jin45	
1212	应	～对	jin52	
1246	迎		ȵin212	
1299	营		jɐŋ212	
1213	蝇		sɐŋ?212	
1272	赢		jɐŋ212	
1248	影		jɐŋ31	
1228	硬		ŋɐŋ31	
1296	永		juŋ31	
1390	用		juŋ31	
623	忧	老派	jiu45	
636	忧	新派	jəu45	
624	油	老派	jiu212	
639	油	新派	jəu212	
637	有		jiu45	
638	右		jiu31	
642	幼		jiu52	
159	余		ji212	
154	鱼	新派	ȵi212	
155	鱼	老派	ȵy212	
186	雨		ji31	
156	语		ȵi31	
1386	玉		ȵuk5	
187	芋		wu52	
1391	欲		juk5	
962	冤		jan45	
959	元		jan212	
960	原		ȵan212	
948	圆		jan212	
949	缘		jan212	
963	远		jan31	
1149	约		jɔk31	
961	月		ȵat5	
1064	云	新派	wun212	
1066	云	老派	jun212	
1049	允	新派	wun31	
1050	允	老派	jun31	
1065	运	新派	wun31	
1067	运	老派	jun31	
654	杂		ʦʰap5	
194	栽		ʦɔi45	
769	赞		ʦɐŋ52	
1085	葬		ʦɔŋ52	
476	糟		ʦʰɔ212	
1088	凿		ʦʰɔk5	
477	早		ʦɔ31	
478	灶		ʦɔ52	
482	造		ʦʰɔ31	
1190	贼		ʦʰək5	
48	榨		ʦa52	
1236	摘		ʦɐp5	
224	债		ʦai52	
689	粘		niem45	
676	斩		ʦam31	
792	盏		ʦan31	
835	展		ʦan31	
695	占	~领	ʦam52	
837	战		ʦɐŋ52	
674	站	车～	ʦʰam31	
1114	张		ʦɔŋ45	
1128	章		ʦɔŋ45	
1115	长	生～	ʦʰɔŋ212	
1119	长	～短	ʦʰɔŋ212	
1129	掌		ʦɔŋ31	
1121	丈		ʦʰɔŋ31	
1116	帐		ʦɔŋ52	
531	招		ʦau45	
530	赵		ʦʰau31	
532	照		ʦau52	
504	罩		ʦau52	
69	遮		ʦa45	
696	折	~叠	ʦat31	
838	折	～断	ʦiet31	
843	折	～本	sat5	
70	蔗		ʦa52	
1117	着	穿～	ʦɔk31	
1118	着	睡～	ʦʰɔk5	
741	针		ʦim45	
992	真		ʦin45	
990	镇		ʦən52	
1237	争		ʦɐŋ45	
1200	蒸		ʦin45	
1264	正		ʦin52	
1201	证		ʦin52	
389	之		ʦi45	
399	之		ʦi45/ʦy̜45	
313	支	新派	ʦi45	
319	支	老派	ʦi45/ʦy̜45	
742	汁		ʦip31	
311	知	新派	ʦi45	
317	知	老派	ʦi45/ti45	
1202	织		ʦit31	
1198	直		ʦʰit5	
390	止		ʦi31	
400	止		ʦi31/ʦy̜31	
1265	只	一～鸡	ʦɐk31	
314	纸	新派	ʦi31	
320	纸	老派	ʦi31/ʦy̜31	
351	指	老派	ʦi31/ʦy̜31	
358	指	新派	ʦi31	
391	志		ʦi52	
401	志		ʦi52/ʦy̜52	
993	质		ʦit31	
392	痣		ʦi52	
402	痣		ʦi52/ʦy̜52	
1345	中	～间	ʦuŋ45	
1374	钟		ʦuŋ45	
1375	肿		ʦuŋ31	
1348	众		ʦuŋ52	
1372	重	～复	ʦʰuŋ212	
1373	重	轻～	ʦʰuŋ45	
613	州		ʦiu45	
608	周	老派	ʦiu45	
612	周	新派	ʦəu45	
1349	粥		ʦuk31	
614	帚			
615	咒		ʦəu52	
601	昼		ʦiu52	
604	皱	新派	ʦəu52	
607	皱	老派	ʦiu52	
176	朱	新派	ʦi45	
177	朱	老派	ʦi45/ʦy̜45	
134	猪	新派	ʦi45	
135	猪	老派	ʦu45	
1346	竹		ʦuk31	
1376	烛		ʦuk31	
178	主		ʦu31	
143	煮	新派	ʦi31	
147	煮	老派	ʦu31	
138	苎			
141	助		ʦʰɔ31	
174	住		ʦʰu31	
172	柱	新派	ʦʰi212	
173	柱	老派	ʦʰu45	
179	蛀		ʦu52	
939	砖		ʦɔn45	
937	转	～身	ʦɔn31	
675	赚		ʦʰan31	
1122	装		ʦɔŋ45	
1123	壮		ʦɔŋ52	
435	追		ʦui45	
1041	准		ʦun31	
1172	捉		ʦɔk31	
1170	桌		ʦʰɔk31	
341	资	新派	ʦi45	
345	资	老派	ʦi45/ʦy̜45	
367	子	新派	ʦi31	
368	子	老派	ʦu31	
309	紫	新派	ʦi31	
315	紫	老派	ʦi31/ʦy̜31	
343	自	新派	ʦʰi31	
347	自	老派	ʦʰu31	
371	字		su31	
1333	宗		ʦuŋ45	
1317	棕		ʦuŋ45	
1318	粽		ʦuŋ52	
571	走		ʦəu31	
108	租		ʦu45	
1368	足		ʦuk31	
1025	卒		ʦut31	
109	祖		ʦu31	
282	最		ʦui52	
274	罪		ʦʰui31	
434	醉		ʦui52	
1024	尊		ʦun45	
1038	遵		ʦun45	
6	左		ʦɔ31	
1086	作		ʦɔk31	
25	坐		ʦʰɔ45	
26	座		ʦʰɔ31	
110	做		ʦɔ52	
