汉字	注释	环县甜水	环县环城	环县车道	庆城庆城	庆城桐川	庆城太白梁	华池柔远	华池乔川	合水西华池	合水太白	合水段家集	西峰西街	西峰肖金	镇原城关	镇原新城	镇原三岔	宁县新宁	宁县早胜	宁县盘克	正宁山河	正宁宫河	正宁五顷原	正宁三嘉	泾川泾明	泾川城关	泾川玉都	灵台中台	灵台邵寨	华亭东华	华亭神峪	崇信锦屏	崇信木林	崇信新窑	崆峒柳湖汉	崆峒柳湖回	崆峒香莲	崆峒大秦
地		ti꜄	ti꜄	ti꜄/tʰiɛ土地爷，韵母当是受“爷”同化所致	ti꜄/tʰiɛ土地爷，韵母当是受“爷”同化所致	ti꜄/tʰiɛ土地爷，韵母当是受“爷”同化所致	ti꜄/tʰiɛ土地爷，韵母当是受“爷”同化所致	ti꜄/tʰiɛ土地爷，韵母当是受“爷”同化所致	ti꜄/tʰiɛ土地爷，韵母当是受“爷”同化所致	ti꜄/tʰiɛ土地爷，韵母当是受“爷”同化所致	ti꜄/tʰiɛ土地爷，韵母当是受“爷”同化所致	ti꜄/tɕʰi꜄土地爷	ti꜄/tʰiɛ土地爷，韵母当是受“爷”同化所致	ti꜄/tsʰi꜄土地爷	ti꜄/tʰi꜄土地爷	ti꜄/tsʰɿ꜄土地爷	ti꜄/tʰi꜄土地爷	ti꜄/tsʰi꜄土地爷	ti꜄/tsʰi꜄土地爷	ti꜄/tɕʰi꜄土地爷	ti꜄/tsʰi꜄土地爷	ti꜄/tsʰi꜄土地爷	ti꜄	ti꜄/tsʰi꜄土地爷	ti꜄/tɕʰi꜄土地爷	tsɿ꜄/tsʰɿ꜄土地爷	tsɿ꜄/tsʰɿ꜄土地爷	ti꜄/tsʰi꜄土地爷	ti꜄/tsʰi꜄土地爷	tɕi꜄	tɕi꜄/tɕʰiɛ土地爷，韵母当是受“爷”同化所致	tɕi꜄	ti꜄/tsʰi꜄土地爷	tɕi꜄	ti꜄	tɕi꜄	ti꜄	tɕi꜄/tɕʰi꜄土地爷
腻	油～	mi꜄	mi꜄	mi꜄	ȵi꜄	ȵi꜄	ȵi꜄	ȵi꜄	ȵi꜄	ȵi꜄	ȵi꜄	ȵi꜄	ȵi꜄	ȵi꜄	ȵi꜄	mi꜄	mi꜄	ȵi꜄	ȵi꜄	ȵi꜄	ȵi꜄	ȵi꜄	ȵi꜄	ȵi꜄	ȵi꜄	mi꜄	mɿ꜄	ȵi꜄	ȵi꜄	ȵi꜄	ȵi꜄	mi꜄	ȵi꜄	ȵi꜄	ȵi꜄	ȵi꜄	mi꜄	ȵi꜄
梨		꜁li	꜁li	꜁li	꜁li	꜁li	꜁li	꜁li	꜁li	꜁li	꜁li	꜁lei	꜁li	꜁li	꜁lei	꜁lei	꜁li	꜁lei	꜁lɪi	꜁lei	꜁lei	꜁lei	꜁li	꜁lei	꜁lɪi	꜁li	꜁lɿ	꜁li	꜁li	꜁li	꜁li	꜁li	꜁li	꜁li	꜁li	꜁li	꜁li	꜁li
资		꜀tsɿ	꜀tsɿ	꜀tsɿ	꜀tsɿ	꜀tsɿ	꜀tsɿ	꜀tsɿ	꜀tsɿ	꜀tsɿ	꜀tsɿ	꜀tsɿ	꜀tsɿ	꜀tsɿ	꜀tsɿ	꜀tsɿ	꜀tsɿ	꜀tsɿ	꜀tsɿ	꜀tsɿ	꜀tsɿ	꜀tsɿ	꜀tsɿ	꜀tsɿ	꜀tsɿ	꜀tsɿ	꜀tsɿ	꜀tsɿ	꜀tsɿ	꜀tsɿ	꜀tsɿ	꜀tsɿ	꜀tsɿ	꜀tsɿ	꜀tsɿ	꜀tsɿ	꜀tsɿ	꜀tsɿ
自		tsɿ꜄	tsɿ꜄	tsɿ꜄	tsɿ꜄	tsɿ꜄	tsɿ꜄	tsɿ꜄	tsɿ꜄	tsɿ꜄	tsɿ꜄	tsʰɿ꜄	tsɿ꜄	tsʰɿ꜄	tsʰɿ꜄	tsʰɿ꜄	tsʰɿ꜄	tsʰɿ꜄	tsʰɿ꜄	tsʰɿ꜄	tsʰɿ꜄	tsʰɿ꜄	tsɿ꜄	tsʰɿ꜄	tsʰɿ꜄	tsʰɿ꜄	tsʰɿ꜄	tsʰɿ꜄	tsʰɿ꜄	tsɿ꜄	tsɿ꜄	tsɿ꜄	tsɿ꜄	tsɿ꜄	tsɿ꜄	tsɿ꜄	tsɿ꜄	tsʰɿ꜄
死		꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ
四		sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄
迟		꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ
师		꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ
至		꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ
屎		꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ
视		sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄
二		ɚ꜄	ɚ꜄	ɛ꜄	ɚ꜄	ɚ꜄	ɚ꜄	ɚ꜄	ɚ꜄	ɚ꜄	ɚ꜄	ɚ꜄	ɚ꜄	ɚ꜄	ɚ꜄	ɚ꜄	ɚ꜄	ɚ꜄	ɚ꜄	ɚ꜄	ɚ꜄	ɚ꜄	ɚ꜄	ɚ꜄	ɔ꜄	ɔ꜄	ɔr꜄	ɚ꜄	ɚ꜄	ɚ꜄	ɚ꜄	ɔr꜄	ɚ꜄	ɚ꜄	ɚ꜄	ɚ꜄	ɚ꜄	ɚ꜄
肌		꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tʃʒ̍ʷ	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi
器		tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tʃʰʒ̍ʷ꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄
你		꜂ȵi	꜂ȵi	꜂ȵi	꜂ȵi	꜂ȵi	꜂ȵi	꜂ȵi	꜂ȵi	꜂ȵi	꜂ȵi	꜂ȵi	꜂ȵi	꜂ȵi	꜂ȵi	꜂ȵi	꜂ȵi	ȵi∣꜀ȵi	ȵi∣꜀ȵi	꜂ȵi∣꜀ȵi	꜂ȵi∣꜀ȵi	꜂ȵi∣꜀ȵi	꜂ȵi∣꜀ȵi	꜂ȵi∣꜀ȵi	꜂ȵi	꜂ȵi	꜂ȵi	꜂ȵi∣꜀ȵi	꜂ȵi∣꜀ȵi	꜂ȵi	꜂ȵi	꜂ȵi	꜂ȵi	꜂ȵi	꜂ȵi	꜂ȵi∣꜀ȵi	꜂ȵi	꜂ȵi∣꜀ȵi
李		꜂li	꜂li	꜂li	꜂li	꜂li	꜂li	꜂li	꜂li	꜂li	꜂li	꜂lei	꜂li	꜂li	꜂lei	꜂li	꜂li	꜂lei	꜂lɪi	꜂li	꜂lei	꜂lei	꜂li	꜂lei	꜂lɪi	꜂li	꜂lɿ	꜂li	꜂li	꜂li	꜂li	꜂li	꜂li	꜂li	꜂li	꜂li	꜂li	꜂li
磁		꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ
字		tsɿ꜄	tsɿ꜄	tsɿ꜄	tsɿ꜄	tsɿ꜄	tsɿ꜄	tsɿ꜄	tsɿ꜄	tsɿ꜄	tsɿ꜄	tsɿ꜄/tsʰɿ꜄	tsɿ꜄	tsɿ꜄/tsʰɿ꜄	tsɿ꜄/tsʰɿ꜄	tsɿ꜄/tsʰɿ꜄	tsɿ꜄/tsʰɿ꜄	tsɿ꜄/tsʰɿ꜄	tsɿ꜄/tsʰɿ꜄	tsɿ꜄/tsʰɿ꜄	tsɿ꜄/tsʰɿ꜄	tsɿ꜄/tsʰɿ꜄	tsɿ꜄	tsɿ꜄/tsʰɿ꜄	tsɿ꜄/tsʰɿ꜄	tsɿ꜄/tsʰɿ꜄	tsɿ꜄/tsʰɿ꜄	tsɿ꜄/tsʰɿ꜄	tsɿ꜄/tsʰɿ꜄	tsɿ꜄	tsɿ꜄	tsɿ꜄	tsɿ꜄/tsʰɿ꜄	tsɿ꜄	tsɿ꜄	tsɿ꜄	tsɿ꜄	tsɿ꜄/tsʰɿ꜄
思		꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ
祠		꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ/꜁sɿ	꜁tsʰɿ/꜁sɿ	—	꜁tsʰɿ/꜁sɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ/꜁sɿ	꜁tsʰɿ/꜁sɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	꜁tsʰɿ	—	꜁tsʰɿ	—	
耻		꜂tʂʰʅ	꜂tʂʰʅ	꜂tʂʰʅ	꜂tʂʰʅ	꜂tʂʰʅ	꜂tʂʰʅ	꜂tʂʰʅ	꜂tʂʰʅ	꜂tʂʰʅ	꜂tʂʰʅ	꜂tʂʰʅ	꜂tʂʰʅ	꜂tʂʰʅ	꜂tʂʰʅ	꜂tʂʰʅ	꜂tʂʰʅ	꜂tʂʰʅ	꜂tʂʰʅ	꜂tʂʰʅ	꜂tʂʰʅ	꜂tʂʰʅ	꜂tʂʰʅ	꜂tʂʰʅ	꜂tʂʰʅ	꜂tʂʰʅ	꜂tʂʰʅ	꜂tʂʰʅ	꜂tʂʰʅ	꜂tʂʰʅ	꜂tʂʰʅ	꜂tʂʰʅ	꜂tʂʰʅ	꜂tʂʰʅ	꜂tʂʰʅ	꜂tʂʰʅ	꜂tʂʰʅ	꜂tʂʰʅ
治		tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄
厕		꜀tsʰei/꜁tsʰə	꜀tsʰei	꜀tsʰei	꜀tsʰei	꜀tsʰei	꜀tsʰei	꜀tsʰei	꜀tsʰei	꜀tsʰei	꜀tsʰei	꜀tsʰei	꜀tsʰei	꜀tsʰei	꜀tsʰɛ	꜀tsʰɛ	꜀tsʰɛ	꜀tsʰei	꜀tsʰei	꜀tsʰei	꜀tsʰei	꜀tsʰei	꜀tsʰei	꜀tsʰei	꜀tsʰei	꜀tsʰei	꜀tsʰei	꜀tsʰei	꜀tsʰei	꜀tsʰei	꜀tsʰei	꜀tsʰei	꜀tsʰei	꜀tsʰei	꜀tsʰei	꜀tsʰei	꜀tsʰei	꜀tsʰei
事		sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄
志		꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ	꜂tsɿ
齿		꜂tsʰɿ/꜁tsʰɿ齿轮	꜂tsʰɿ/꜁tsʰɿ齿轮	꜂tsʰɿ/꜁tsʰɿ齿轮	꜂tsʰɿ/꜁tsʰɿ齿轮	꜂tsʰɿ/꜁tsʰɿ齿轮	꜂tsʰɿ/꜁tsʰɿ齿轮	꜂tsʰɿ/꜁tsʰɿ齿轮	꜂tsʰɿ/꜁tsʰɿ齿轮	꜂tsʰɿ/꜁tsʰɿ齿轮	꜂tsʰɿ/꜁tsʰɿ齿轮	꜂tsʰɿ/꜁tsʰɿ齿轮	꜂tsʰɿ/꜁tsʰɿ齿轮	꜂tsʰɿ/꜁tsʰɿ齿轮	꜂tsʰɿ/꜁tsʰɿ齿轮	꜂tsʰɿ/꜁tsʰɿ齿轮	꜂tsʰɿ/꜁tsʰɿ齿轮	꜂tsʰɿ/꜁tsʰɿ齿轮	꜂tsʰɿ/꜁tsʰɿ齿轮	꜂tsʰɿ/꜁tsʰɿ齿轮	꜂tsʰɿ/꜁tsʰɿ齿轮	꜂tsʰɿ/꜁tsʰɿ齿轮	꜂tsʰɿ/꜁tsʰɿ齿轮	꜂tsʰɿ/꜁tsʰɿ齿轮	꜂tsʰɿ/꜁tsʰɿ齿轮	꜂tsʰɿ/꜁tsʰɿ齿轮	꜂tsʰɿ/꜁tsʰɿ齿轮	꜂tsʰɿ/꜁tsʰɿ齿轮	꜂tsʰɿ/꜁tsʰɿ齿轮	꜂tsʰɿ/꜁tsʰɿ齿轮	꜂tsʰɿ/꜁tsʰɿ齿轮	꜂tsʰɿ/꜁tsʰɿ齿轮	꜂tsʰɿ/꜁tsʰɿ齿轮	꜂tsʰɿ/꜁tsʰɿ齿轮	꜂tsʰɿ/꜁tsʰɿ齿轮	꜂tsʰɿ/꜁tsʰɿ齿轮	꜂tsʰɿ/꜁tsʰɿ齿轮	꜂tsʰɿ/꜁tsʰɿ齿轮
试		sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄
市		sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄
耳		꜂ɚ	꜂ɚ/ɚ꜄	꜂ɛ	ɚ꜄	ɚ꜄	ɚ꜄	꜂ɚ	꜂ɚ	꜂ɚ	꜂ɚ	꜂ɚ	꜂ɚ	꜂ɚ	꜂ɚ	꜂ɚ	꜂ɚ	꜂ɚ	꜂ɚ	꜂ɚ	꜂ɚ	꜂ɚ	꜂ɚ	꜂ɚ	꜂ɔ	꜂ɔ	꜂ɔr	꜂ɚ	꜂ɚ	꜂ɚ	꜂ɚ	꜂ɔr	꜂ɚ	꜂ɚ	꜂ɚ	꜂ɚ	꜂ɚ	꜂ɚ
起		꜂tɕʰi/꜂tɕʰiɛ	꜂tɕʰi/꜂tɕʰiɛ	꜂tɕʰi/꜂tɕʰiɛ	꜂tɕʰi/꜂tɕʰiɛ	꜂tɕʰi/꜂tɕʰiɛ	꜂tɕʰi/꜂tɕʰiɛ	꜂tɕʰi/꜂tɕʰiɛ	꜂tɕʰi/꜂tɕʰiɛ	꜂tɕʰi/꜂tɕʰiɛ	꜂tɕʰi/꜂tɕʰiɛ	꜂tɕʰi/꜂tɕʰiɛ	꜂tɕʰi/꜂tɕʰiɛ	꜂tɕʰi/꜂tɕʰiɛ	꜂tɕʰi/꜂tɕʰie	꜂tɕʰi/꜂tɕʰie	꜂tɕʰi/꜂tɕʰiɛ	꜂tɕʰi/꜂tɕʰiɛ	꜂tɕʰi/꜂tɕʰiɛ	꜂tɕʰi/꜂tɕʰiɛ	꜂tɕʰi/꜂tɕʰiɛ	꜂tɕʰi/꜂tɕʰiɛ	꜂tɕʰi/꜂tɕʰiɛ	꜂tɕʰi/꜂tɕʰiɛ	꜂tɕʰi/꜂tɕʰiɛ	꜂tɕʰi/꜂tɕʰiɪ	꜂tʃʰʒ̍ʷ/꜂tɕʰie	꜂tɕʰi/꜂tɕʰiɛ	꜂tɕʰi/꜂tɕʰiɛ	꜂tɕʰi/꜂tɕʰiɛ	꜂tɕʰi/꜂tɕʰiɛ	꜂tɕʰi/꜂tɕʰiɛ	꜂tɕʰi/꜂tɕʰiɛ	꜂tɕʰi/꜂tɕʰiɛ	꜂tɕʰi/꜂tɕʰiɛ	꜂tɕʰi/꜂tɕʰiɛ	꜂tɕʰi/꜂tɕʰiɛ	꜂tɕʰi/꜂tɕʰiɛ
疑		꜁ȵi	꜁ȵi	꜁ȵi	꜁ȵi	꜁ȵi	꜁ȵi	꜁ȵi	꜁ȵi	꜁ȵi	꜁ȵi	꜁ȵi	꜁ȵi	꜁ȵi	꜁ȵi	꜁ȵi	꜁ȵi	꜁ȵi	꜁ȵi	꜁ȵi	꜁ȵi	꜁ȵi	꜁ȵi	꜁ȵi	꜁ȵi	꜁ȵi	꜁ȵi	꜁ȵi	꜁ȵi	꜁ȵi	꜁ȵi	꜁ȵi	꜁ȵi	꜁ȵi	꜁ȵi	꜁ȵi	꜁ȵi	꜁ȵi
喜		꜂ɕi	꜂ɕi/꜂ɕiɛ喜鹊	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ʃʒ̍ʷ	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi
医		꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀ʒʒ̍ʷ	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i
意		i꜄	i꜄	i꜄	i꜄	i꜄	i꜄	i꜄	i꜄	i꜄	i꜄	i꜄	i꜄	i꜄	i꜄	i꜄	i꜄	i꜄	i꜄	i꜄	i꜄	i꜄	i꜄	i꜄	i꜄	i꜄	ʒʒ̍ʷ꜄	i꜄	i꜄	i꜄	i꜄	i꜄	i꜄	i꜄	i꜄	i꜄	i꜄	i꜄
机		꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tʃʒ̍ʷ	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi	꜀tɕi
气		tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tʃʰʒ̍ʷ꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄	tɕʰi꜄
