#参考资料	《安徽庐江方言音系》 周元琳
#调值	①陰平55 ②陽平31 ③上聲213 ⑤去聲35 ⑦陰入5 ⑧陽入3 ⓪輕聲
#ɹ̩	
Ø	①冤鴛{~鴦} ②圓員緣元原源袁{姓}園援 ③染軟阮{姓}遠 ⑤眷{親~}院願怨{毫無~言}⓪怨{抱~}
#õ	
p	①搬 ⑤伴拌半
pʰ	①潘{姓} ②盤{臉~子；~問} ⑤判叛
m	②瞞 ③滿{水桶~之；密；秧栽好~} ⑤漫{水~得之}
t	①端{~晚；~架子：擺架子} ③短{長~；攔：把他~住；忌：~嘴} ⑤斷段鍛緞
tʰ	①團{飯~子；團結；把大夥~在一塊；圓：~~臉}罈{菜~} ③□{哄：好好~~她}
l	①□{得到：~之人；~點個飯} ②□{追或趕：~不上他；把鴨~走} ③暖{文|講話不~人心}卵{~子，~蛋：男性的陰囊和睾丸，常用作詈詞} ⑤亂
ts	①鑽{往懷裏~} ③□{鵝、鴨等用嘴齩或覓食：鵝~人；鴨在泥巴裏~} ⑤鑽{~子}
tsʰ	①汆{~肉}𥅻{~瞌睡}□{跌跌撞撞的樣子：跑之直~} ②□{簇：一大~；擁：~在一塊} ⑤竄
s	①酸 ③□{“喜、歡”的合音 ⑤算{~賬；~小}蒜
tʂ	①專甎 ③轉{~業} ⑤轉{打~：轉圈}
tʂʰ	①川穿 ②傳{~代}椽船 ③喘 ⑤串{一大~}
k	①官棺觀冠{鷄~} ③管館 ⑤貫{萬~家財}灌罐{燒~}冠{~軍}
kʰ	①寬{路~；心~：~~他的心} ③款{貸~}
x	①歡{~喜}獾□{合；~在一塊；混：搞~得之} ②橫{白|混亂：家裏搞~得之} ③緩{~氣} ⑤喚{~狗}換瘓
Ø	①剜帵{布~子}睕{刀剜似地看人：~他一眼} ②完丸 ③宛{姓}腕{手~}晥{~南}碗
#iõ	
ɕ	①□{“喜、歡”的合音}
#ɛ̃	
p	①班斑{~~點點}扳{搞~子~}般{~配} ③板{木~；踹；一腳~死你；板結土好~} ⑤瓣辦□{人的體積：好大~子}⓪斑{跡~}扮{打~}
pʰ	①攀{~親；攀比：別跟人家~} ②爿{竹~子；開裂：竹子~得之；剖成兩~} ⑤盼襻絆爿{臉~子；屁股~子}鋬{壺~子}
m	①□{强迫別人喫} ②蠻{~不講理}埋{~怨}饅{~頭} ⑤慢{~~走；怠~}
f	①帆翻番{五次三~} ②凡煩{~心事}繁礬{~山} ③反{~手}返 ⑤范{姓}範犯汎{~綠：發綠}販畈{田~裏}飯⓪□{宣~：吹噓自己}
v	①彎{~腰：作~}灣{牛~：地名} ②玩頑 ③晚輓{~聯} ⑤萬
t	①單擔{~待；牀鋪：開~}丹{煉~} ③膽撣疸 ⑤擔{~子}旦{元~}但彈{子~}蛋{鷄~；卵~；零~}淡⓪單{孤~}
tʰ	①貪灘攤癱 ②譚{姓}談痰檀擔{扁~}彈{~琴}□{絮~子：愛嘮叨的人} ③毯坦{憨，不急：性子~}襢{~護} ⑤探嘆炭碳
l	②南男藍籃難{~易}蘭攔欄 ③攬{~生意} ⑤濫難{落~}爛
ts	①簪{~子} ③儹{~錢}㜺{好、漂亮：搞之好~得很} ⑤蘸綻{~綫}鏨{頭~碎之}
tsʰ	①參{~謀}䱗{~頭子；~魚} ②蠶慚饞殘 ③慘 ⑤燦{金~~}孱{~頭：軟弱無能之人}
s	①三參 ③散{~之架}傘 ⑤散{~糖}
tʂ	①占{~卜；一口~}斬{~碎} ③盞{燈~子；一~燈} ⑤暫{~時；一~個子：一會兒}站{~住；車~}占{霸~}戰
tʂʰ	①摻{~假} ②躔{跳躍式地快速跑動：跑就麽直~} ③產鏟{搞鍋~子~；暗中提留、賺：給他~去不少錢}
ʂ	①杉{水~}衫山{高~}刪除 ③□{打：~他} ⑤山{~墻}疝⓪山{靠~}□{膿~：髒}
ʐ	②然{要不~}⓪□{語氣詞|你講~！}
Ø	⓪咹{語氣詞|你打~？}
#iɛ̃	
t	①□{語氣詞|“的、咹”的合音：箇什麽搞~？}
tɕ	①監{太~}閒{時~}艱奸{~巧} ③簡減堿 ⑤監{~攷}艦{~船}閒{~斷}
tɕʰ	①鉛
ɕ	②鹹{好~}閑銜{文|頭~} ⑤陷{文|~害}限{~度}
k	①甘{不~心}干{不相~}肝{心~}閒{中~；一~屋} ③感敢揀{~菜} ⑤幹{~事}
kʰ	①堪鵮{鳥~人} ②銜{白|~在嘴裏} ③砍 ⑤嵌{把相~到相框裏去}陷{白|~到泥巴裏去之}□{~毛子：劉海兒}
x	①憨{走路~；性子~}寒{冰（人）：水好~人 ②含函涵{文|包~}鹹{~鹽}寒{~心}韓{姓} ③喊罕{不稀~} ⑤憾漢{養~子}焊旱莧{~菜}□{害：太慣，~之他噢！}
ŋ	菴淹{~死之}安{平~；~徽}鞍{馬~山} ②顔{~色}□{無空處：屋裏扽~之}□{現在：到~的} ③眼{~睛；窗~}兩{~個} ⑤暗{~號}按{就~他那麽講}案{~板}晏{晚}⓪眼{榫~}
#uɛ̃	
tʂ	⑤賺
ʂ	①閂{門~；~門}栓{~牛} ⑤涮{~稻草}
k	①關 ⑤貫{一~}慣{習~；寵愛：~小伢子}
kʰ	②環{耳朵~子}□{彎曲，彎曲的：腿~之；~頭毛} ⑤摜{摔：~碎得；~之一跤}環{彎起小臂輓：手夾子高（胳膊上）：~之個菜籃子}
x	②還{~錢} ⑤患□{挑食：什麽菜都不喫，好~！}
#ã	
p	①幫{鞋~子；~忙}梆{硬~~的} ③榜膀{~子}綁{~腿}塝{河~}□{要求他人跟自己一樣（幹活）：別~人家} ⑤棒蚌{~埠}磅{搞~秤~個子}膀{魁~：魁梧}
pʰ	①乓膀{浮腫：腿~之}搒{打：~他一頓} ②旁{~人} ③髈{豬小腿} ⑤胖
m	①□{~槌：棒槌；打：~你一頓} ②忙芒{~種}茫{白~~}盲{~目} ③莽{~撞}蟒{~蛇}⓪嗎{語氣詞|不就一塊錢~}
f	①方芳坊{牌~} ②妨房{~屋：臥室}防 ③倣{~照；相~}紡訪 ⑤放
v	①汪{打~：牛睡在水裏；油~~的} ②王{丫頭~：最寶貝的女兒}亡芒{麥~}忘{白|~記} ③枉{~然}往網 ⑤妄忘{文|貴人多~事}望旺⓪枉{冤~}
t	①當{~父親；~時}襠 ③擋檔{~案}黨 ⑤當{~舖}蕩凼{水~}碭□{~~布；把刀~~}
tʰ	①湯□{輪到、遇上：~之鬼了} ②堂棠螳{~~子}膛唐{姓}糖塘搪{~瓷；擋：用手~之}溏{~~痢：溏便} ③倘{~麽：假使}躺淌 ⑤燙趟{做絮襖要打~子；走~~}⓪唐{荒~}赯{顔色：紫~色}
l	①饢{宴俗：强行添加飯菜：~飯}囔{傷風了，鼻子~之}□{餓之~~倒（疲軟無力貌）} ②囊郎廊狼{~心狗肺}□{鬆、下垂：繩子~之} ③朗攮{小~子}衖{巷~子：巷子}□{龜~頭：後腦勺突出的頭} ⑤浪晾{~衣裳}⓪狼{豺~}
ts	①贓{栽~}髒{~得之：可惜了；沒用了} ②葬藏{~青色}臟{心~}
tsʰ	①倉艙 ②藏{~起來} ⑤□{摩擦：~癢}⓪蒼{老~}
s	①桑喪{報~} ③嗓{大~門}□{臉浮腫}
tʂ	①張{姓；~口；一~紙}章樟蟑 ③長{~大；~臉}漲{~價}掌{手~；~嘴} ⑤丈仗漲{~開之}帳賬脹障瘴{烏烟~氣}幛{孝~}
tʂʰ	①昌{字輩}倡{提~}猖{~狂}娼□{大量流淌：頭打通之，血往外直~}□{兩個容器不停輪換著倒，使液體變涼} ②長{~短}腸常{~來~往}嘗償 ③場{~地；吵之一~}敞{寬~；用錢大方：手~得很}氅{大~：大衣} ⑤暢{~快}唱⓪拉家~}場{排~}
ʂ	①商{~店；~議}傷晌{好~子：什麽時候} ③賞{~臉} ⑤上尚緔{~鞋}⓪裳
ʐ	②瓤{瓜~}□{差、弱：不~}□{柔軟：~和} ③壤{土~} ⑤讓
k	①岡崗{地名：裴~；陸~}綱鋼缸剛{性子~}□{擠進：往裏頭~} ③港 ⑤崗{山崗：大~子}鋼{把刀~~}虹{白|東~日頭西~雨}槓{~子}□{身體某部位受下面堅硬物體擠壓：傻好~腳}行{離開，跑掉}□{結~：健康}□{精~~：精神抖擻貌}
kʰ	①康糠□{疑問語氣詞：用於徵求對方同意：他好壞，~？} ②扛 ⑤抗炕{把鞋~乾得}□{稻~子：土坯砌成，用來存放穀物}
x	①夯{打：~你}□{開一條縫：門~之} ②行{銀~}航杭絎{~幾針} ③夥{大~}□{喘粗氣} ⑤項{~圈子}巷{~廊子：巷子}
ŋ	①骯 ②昂
Ø	②□{疑問語氣詞：用於徵求對方同意：跟我一陣走，~？}
#iã	
n	①□{最小的{小~~子} ②娘{老~}良涼{冰~的} ③兩{一斤十~}輛仰{頭~之} ⑤亮涼{把他~在旁邊}諒{~解}量{飯~；不見~：無自知之明}𪳄{~子：木製用具：小於水桶} ⓪娘{姨~}諒{原~}
tɕ	①剛{~才；~好}將{~就}漿疆僵姜江 ③蔣{姓}獎槳講□{~筋筋的：筋斗} ⑤醬將{大~}匠{教書~}像{長之~他父親}強{脾氣~}降{下~}
tɕʰ	①槍腔{聲音：~好大；大聲爭吵：別跟媽媽~} ②墻詳祥強{~盜}降{投~} ③搶 ⑤嗆鏘{咚咚~}
ɕ	①相{~好}箱廂襄{~安：地名}瓖香{花~；吻：~一口}鄉 ③想享響餉{官~} ⑤相{~貌；~親}象{~棋}像{畫~}向橡{~皮}項{不曉得事~：不懂事}
Ø	①央{中~}秧{栽~；~子：秧苗}殃怏{病~~的} ②羊洋楊陽{陰~}揚佯{裝~}□{調皮搗蛋} ③養{~人}癢飲{~湯：米湯} ⑤樣{~子；手~起來想打他}養{~媳婦：童養媳}⓪鴦{鴛~}陽{太~}養{縱~：嬌慣}
#uã	
tʂ	①莊裝樁妝 ⑤壯{~膽}狀{告~}⓪狀{漢~}
tʂʰ	①瘡窗 ②牀{雙人~；稻場：懶牛上~，尿屎屁淌} ③闖 ⑤創{~業}撞
ʂ	①霜雙{一~；~不子：雙胞胎} ③爽{~快}
k	①光{太陽~} ③廣 ⑤逛光{剃光：把鬍子~得；批評：給老師~之；~當：整潔，好看}
kʰ	①匡{~算}筐眶哐{~當響}框{相~子} ③□{把毛缐~起來；一~缐} ⑤曠況礦⓪誑{輕~}
x	①荒{~春}慌 ②黃{~色；不成功，沒有結果：搞~得之}簧皇蝗凰惶{心~~的}潢{裝~}□{~子：（動物身體）養得好} ③謊{撦~}晃{虛~一刀}幌{~子} ⑤晃{散步：出去~個子}衁{動物供食用的血：鷄~}
#ən	
p	①奔 ③本繃{臉~之} ⑤笨{~蛋}
pʰ	①噴{~水；~嚏} ②盆{洗臉~；茶~子：正式酒宴前所設之茶點}
m	①悶{不講話：~頭驢子；~壞} ②門{開~；~牙；~路；一~不~：什麽都不會}明{~年} ⑤悶{發~}燜⓪嘛{語氣詞|就怪他~}
f	①分{~開}芬{常用於人名} ②墳 ③粉{搽~；用石灰等涂：把墻~個子} ⑤糞奮{發~}分{過~}份{一~}□{~山芋：將剪好的一節節山芋藤莖栽進土裏}⓪份{緣~}
v	①溫{~湯熱}瘟{翻~} ②文紋蚊炆{~蛋}聞 ③穩抆{抹、擦：~之一桌子的}□{~子：秕穀} ⑤問{查~：理睬：老之都沒人~他；向、跟：~他要}
t	①墩{胖~~的}礅{石頭~子}屯{黃~：地名}噸蹲{下來；~在家裏；吃飽~}登蹬燈 ③等{一口~不到一口；~於} ⑤燉{~蛋：蒸鷄蛋}頓扽{放：~之}飩{餛~}燉{~骨頭湯}盾凳鄧蹬
tʰ	①吞 ②豚{~豬：母豬}騰{~出來}藤疼□{板~：板凳，多指長條形} ⑤退{往後~}褪{~褲子}
l	②倫綸{滌~}輪{年~；~流}能 ③暖{~和}冷{天好~；~水：涼水} ⑤嫩論⓪圇
ts	①尊遵曾{姓}增爭{~頭一名}箏睜 ⑤贈掙爭{吵：夫妻兩個~得很}
tsʰ	①村皴{臉~之}撐 ②存層□{抵得上：一個~兩個人做} ③□{浮淺、愛表現：~巴巴的} ⑤襯{布頭子留著做~（做布鞋底用}寸蹭
s	①森參{人~}孫生{~人}牲{~口} ③損{破碎，有裂縫：鷄蛋~之}榫{~眼}筍省{~長；節~} ⑤生{~蛋}⓪生{學~}牲{畜~}
tʂ	①鍼斟{~酒}珍真砧{~板}蒸貞傎正{~月}徵{~兵} ③枕{~對~頭}診疹{~子}紾{擰}整 ⑤枕{~之媽媽夾子（胳膊）睡}鎮陣震證癥正{~派；手~不子：手指}政鄭
tʂʰ	①稱{~肉}伸{~直直的；~朗：平整} ②沉陳塵{掃~：除夕之前大掃除}辰晨臣乘承呈逞{文|得~}程{過一~子：過一段時間}成城盛{~飯} ③懲 ⑤趁稱{~心}秤{~砣}
ʂ	①深身申{~冤}升聲 ②神{~仙；小家夥~得很}繩{搓~子；頭~子} ③沈{姓}審{~問}嬸{~子} ⑤甚腎慎剩勝聖盛{~情}
ʐ	②任{姓}人{有~}仁{~義} ③忍 ⑤任{~你選}刃日{~裏：白天⓪人{上~}
k	①今{白|~年}跟根更{三~半夜}羹耕 ③粳{~米}梗{桔~}耿□{整，出生月份早：~年~月的}緪{~繩：很粗的草繩} ⑤更{~壞}□{努力掙：自己~}
kʰ	①坑{~人}吭{一聲不~} ③懇肯啃恐{~怕}⑤掯{低頭：頭~之}
x	①哼 ②恆衡{~量} ③很狠 ⑤恨
ŋ	①恩{~人} ⑤硬{餅好~；~狠}
#iən	
p	①賓{貴~}冰{~凍；~冷的}兵 ③稟{~告}丙炳{~字輩}秉柄{把~}餅 ⑤病{害~}倂{合~}並
pʰ	①姘{~頭}拼 ②貧{~農}憑平瓶屏萍{浮~}蘋 ③品{人~}評{~理} ⑤聘{~禮}
m	②民明{~白}名□{~從：找人評理} ③閔{姓}敏抿皿冥{~錢}瞑{~目} ⑤命⓪明{聰~}
t	①丁釘{洋~}疔{~瘡}盯 ③頂{頭~；~嘴；~好} ⑤釘{~釘}訂定錠
tʰ	①聽廳 ②亭停{~車；~當：聰明靈巧}庭 ③挺{肚子~之} ⑤停{~尸}⓪廷
n	①拎 ②林淋琳{常用於人名}臨{~走}輪{~到我}鄰鱗燐陵{南~：地名}菱{~角}寧{安~；~願}靈零鈴玲齡呢{嘆詞|引起聽話人注意：~，別講了！} ③領嶺 ⑤令另⓪呢{語氣詞：媽媽~？}
tɕ	①今{文|~後}金禁{~不住}襟{大~}津{汗~~}巾斤筋{三根~：形容很瘦的人}莖京驚精{~肉；~得很}晶睛經 ③錦{~上添花}盡{~佈做}緊{鬆~；~（老是）講}僅謹景警井頸淨{漂流：放到水裏~個子} ⑤禁{~止}進晉盡{苦~甜來}勁近境敬鏡競淨{~重；~是灰} ⓪記{忘~}見{睇~}今{文|講古~：講故事}淨{乾~}
tɕ	①欽{~差大臣}親{~人；~家}清輕青蜻{~~子：蜻蜓} ②琴{彈~}禽秦{姓}勤芹情晴 ③寢{~室}請 ⑤慶⓪琴{胡~：二胡}親{父~}
ɕ	①心{好~}辛新{~舊}薪{~水}興{種：~菜}星腥{~氣}②行{步~}形型刑 ③醒 ⑤信興{生意~}杏幸{~虧}性{~子}姓⓪心{點~}新{新~：新鮮、奇怪}性{記~}興{作~}
Ø	①音陰廕{樹~|因姻茵{綠~~的}殷應{~該}鷹蠅鸚英 ②淫銀寅迎盈贏營螢{~火蟲} ③飲{文|~料}引用隱癮影 ⑤印應{~付}映{反~}⓪蠅{蒼~}塋
#uən	
tʂ	③準
tʂʰ	①椿春{~上：春天} ③蠢
ʂ	②純{單純、乖巧} ⑤順{~風；~手：右手}
k	③滾{~蛋；~燙的}磙{石~子} ⑤棍{~子；~氣}
kʰ	①坤{常用於人名} ③綑 ⑤困{~難}
x	①昏{頭~}婚葷 ②魂餛渾橫{文|一~一竪} ⑤混⓪{□（xuɛ˧˩）~：事已開始，沒有退路}
#yən	
tɕ	①肫均君軍 ⑤俊菌
tɕʰ	②脣{嘴~}群裙
ɕ	①熏勳醺 ②尋旬循{~規蹈矩}巡純{順：頭毛~} ③□{紋理鬆散開：布~得之} ⑤訊{喜~}汛{防~}殉訓馴
Ø	①暈{不緊不慢，磨蹭：慢慢~} ②匀雲 ③允永泳 ⑤閏{~月}潤熨運暈{~車}孕
#əŋ	
p	①崩繃{緊~~的}嘣{~脆} ⑤蹦鏰{鋼~}
pʰ	①嘭{~咚一聲} ②朋彭{姓}膨棚篷蓬{蓬鬆：頭毛~得很}鵬 ③捧{之；一~花生} ⑤裴{~崗：地名}碰{~頭；~得：有時}噴{~香}
m	①蒙{瞎~} ②蒙{~襖褂子} ③猛懵{不聰明}蠓{~蟲}□{醭：腌菜高長之~}
f	①風楓瘋{~子；別~了}豐{~收}封峰{頂~}烽{~火}蜂鋒{衝~} ②馮{姓}逢縫{~衣裳} ③諷{~刺} ⑤鳳奉俸縫{一道~}⓪縫{裁~}
t	①東冬咚{~~響；挑撥，進讒言：老在他跟前~啊~啊的} ③董{古~}懂□{蛤蟆疙~子}：蝌蚪 ⑤凍{魚~子}棟動洞
tʰ	①通{箇條路~到縣城；破：衣裳~得之}嗵{撲~一聲} ②同{不~人：跟別人不一樣}銅桐筒童{~子骨}瞳 ③桶擁統動{挪移：往那邊~點個子} ⑤痛{~心}
l	①隆{轟~}弄{得到：~之人（娶了老婆）}□{凑合：暫時~個子} ③籠袖~；收~在袖子裏}聾齈{~鼻子}隆{興~}窿膿濃{湯熬之好~}龍櫳{鷄~}□{~□（ʂɛ̃꜊）：髒} ③攏{~在一塊；~共}□{出剄~：解大便時使勁}□{~子：一種魚} ⑤弄{詈詞|肏：~你媽媽} ⓪嚨{喉~}弄{日~；做事不利索}
ts	①棕鬃蹤宗綜{~合}樅{~陽} ③總{~投資；一句話歸~} ⑤粽縱{往高頭直~；別~著他}
tsʰ	①聰匆葱 ②從{跟~}⓪從{依~}
s	①鬆{~緊；~汎} ②㞞{弱、無能} ③慫搡{推推~~}聳 ②送宋頌□{吸：~鼻子}
tʂ	①中{~閒；不~不行}忠終鐘{閙~}盅{把~：瓷缸子}衷 ③種{雜~}腫{浮~；~頸子：喫飯（貶義）} ⑤中{打~}衆重{生活~}種{~瓜}
tʂʰ	①沖{宛~：地名}衝{大蒜~人}充{冒~}舂{~米} ②蟲重{~複；~不子：重孫} ③寵{得~} ⑤銃{放~}衝{批評：又~我一頓；擤：~鼻子}
k	①公{~家；~婆；共同擁有：~老太太}蚣{蜈~}工功{~夫}攻弓躬{鞠~}宮{皇~}恭拱{豬~嘴} ③汞{紅~}拱{~手；~出來之} ⑤貢{進~}供共
kʰ	①空{撲個~} ③孔{姓；非常：~㞞}恐{文|~怖} ⑤空{~閑；虧~}控{~制}
x	①轟{搞像雷~；~走}哄{~堂大笑}烘{~鞋} ②宏紅洪鴻{~運} ③哄{小伢子} ⑤訌{内~}哄{起~}
Ø	嗡{~聲~氣}
#iəŋ	
tɕʰ	②窮
ɕ	①兄胸凶{吉~；~狠；好不~：好不了多少} ②熊{狗熊；訓斥：~之我一頓；~樣子}雄
Ø	①臃{~腫}庸□{打褶：~點個起來；領子做之有點個~之} ②榮融容溶{粥燒之好~}戎絨茸□{一心想著：心裏~之幹事，飯都忘記煮} ③擁勇湧{往前頭~；快、急：酒喝~之} ⑤用佣
#m̍	
Ø	①呣{嘆詞|表示思考、應答、疑問或懷疑等}
ŋ̍	
Ø	①嗯{嘆詞|表示思考、應答、疑問或懷疑等}
#ɤʔ	
k	⑦葛{瓜~}各閣{出~：出嫁}擱郭{姓}钁{鋤：~頭；~草}角{牛~；硬幣：鉛~子}國□{石~~沉甸甸}□{低頭專注地：~頭~腦的}革{老~~：老成、老練貌} ⑧□{彎曲凸起並排的指關節：搞□（ləʏ꜊）~他頭}
kʰ	⑦括闊擴確{白|~實}殼
x	⑦豁{大~；~不嘴}郝{姓}鶴霍{姓}藿劐{~開}或獲穫 ⑧活{死~}
ŋ	⑦惡{箇狗好~}
Ø	⑦惡{打~：惡心}
#iʔ	
p	⑦敝{~人}蔽{隐~}弊{作~}鳖憋鉢{~子}撥博薄{~刀}剝駮北百柏伯碧蔔{蘿~} ⑧別{~鍼；努力使改變：把他壞脾氣~過來}白
pʰ	⑦撇潑{~水}迫拍劈□{~飲湯：舀取未煮熟的米飯上的米湯}
m	⑦滅篾末{期~}沫{~□（løʔ꜊）子}墨麥脈{把~}
t	⑦跌{~倒}諜{間~} ⑧碟牒
tʰ	⑦帖貼鐵
n	⑦膩{油~~的}
l	⑦聶{姓}鑷躡獵列烈{性子~}裂{開~}孽{作~}捏{手~子：手帕；~之}劣匿
ts	①則{原~}澤擇{選~}宅窄責 ⑧摘
tsʰ	⑦切{~菜}側測厠{文|~所}拆㿭{土地乾裂}策冊
s	⑦屑{木~子}色䜺{山芋~子：切碎的小山芋丁子}
tʂ	⑦摺{~個印子}褶哲浙□{將一器皿中之物體移至另一器皿}
tʂʰ	⑦徹撤□{搞不~：來不及}□{反應敏捷}
ʂ	⑦攝{魂~走之}涉{干~}設射{~擊} ⑧舌{豬~條}折{~本}
tɕ	⑦接傑揭{~不開鍋}節截結潔{~癖}吉{~言}
tɕʰ	⑦妾{妻~成群}
ɕ	⑦歇楔{~子}雪
k	⑦合{一升十~}鴿割格革{皮~}隔
kʰ	⑦磕{~頭}渴刻{時~；刀~}克{~夫}客
x	⑦喝{~水}嚇{~死之：嚇死了} ⑧合{上下不~}盒覈{~賬}
ŋ	⑦額{~顱頭}扼軛
Ø	⑦葉頁業揖{作~}噎
#yiʔ	
tɕ	⑦絕{文|~對}決訣{口~；~人：駡人} ⑧絕{白|無後：他家~得之}
tɕʰ	⑦缺
ɕ	⑦血穴
Ø	⑦熱月越
#øʔ	
t	⑦掇□{搞裁縫機子~個子}沰{淋：~濕之}沓{將紙（多張）的一邊觸擊某平面物體使整齊 ⑧奪□{摞：一~紙；把紙~在一塊}
tʰ	⑦脫托{~之屁股；拍馬屁：別~}
l	⑦絡{經~}樂垃{~圾}
ts	⑦撮{一~頭毛}作{下~}□{堵塞：搞點個泥巴~之} ⑧鑿{~子：~個眼}
tsʰ	⑦□{詈詞：不是人~的}
s	⑦索{文|缐~}圾{垃~}□{吮~}
tʂ	⑦桌捉著{不~聲} ⑧這{睡~；燒~}鐲{手~子}
tʂʰ	⑦㪕戳 ⑧□{搖動以洗淨器皿中的物體} ⓪齪{齷~}
ʂ	⑦說{~書}
ʐ	⑦弱
#iøʔ	
l	⑦略{~微}掠{稍稍剪去一點兒：把頭毛~得點個}虐{~待}
tɕ	⑦腳覺{文|~得}角{丑~}
tɕʰ	⑦雀{麻~子}鵲{喜~子}卻確{文|的~}
ɕ	⑦削{白|~鉛筆} ⑧學
Ø	⑦約藥鑰嶽{~父}樂{音~}
#əʔ	
p	⑦不{~對} ⑧□{簇：一~籠}□{兩肘分開伏：~在桌子高頭}□{~栗子：一種橢圓形的野栗子}
pʰ	⑦朴卜{~卦}撲僕{~人}瀑
m	⑦沒{埋~}木{~頭；麻木：腿~得之}目{~的}穆{姓}牧{農~業}
f	⑦佛{倣~}扶{推：往那邊~個子}福幅復腹{心~}服{制~} ⑧佛{拜~}服{不~氣}伏{三~}
v	⑦物握屋□{狗叫聲}□{凶狠地看}
t	⑦得{~不償失}得{~性}讀督□{底：水缸~的} ⑧毒{心好~}獨{喫~食}□{反復地煮：魚頭再~個子}
tʰ	⑦突特{~爲}禿□{髒：毛缐~得之} ⑧□{不順：講話老打~}
l	⑦肋勒{~緊}祿六陸綠碌錄{~音} ⑧□{噢~~：喚豬聲}
ts	⑦卒𡎺{水瓶~子；堵塞：鼻子~之不得出氣}足□{暗中塞給} ⑧□{夾腳：鞋小之，好~人}
tsʰ	⑦族促{倉~}□{睜大眼睛搜尋似地看：眼睛直~}
s	⑦澀虱嗇{小氣：箇家夥~之要命}速肅宿縮粟{蘆~子：高粱}俗續{文|手~}□{~肋坡：膝蓋}
tʂ	⑦蜇{驚~}執汁質植織職隻{一~襪子；擲~色子} ⑧姪直{路~；不停地：~顫；~嘶}值{不~價}
tʂʰ	⑦赤{~脚}尺秩□{水冷之~人}□{用青灰將包裹著的衣被等中的水分吸去}□{~簸子：簸箕}
ʂ	⑦濕什{~麽：什麽；怎麽}實{事~}失室食{夥~}蝕識飾釋 ⑧十拾{收~}實{滿：屋裏扽~得之}食{豬~}石{~頭}
ʐ	⑦日{~子}入{詈詞：~你媽的}
k	⑦疙{~瘩}曷{疑問副詞|~是的？}箇{這} ⑧咯{笑聲：笑就麽直~}
kʰ	⑦□{繫：~鞋帶子}
x	⑦黑
#iəʔ	
p	⑦筆畢{~業}必逼潷{把湯~得}璧{完~歸趙}壁 ⑧鼻{~子：鼻子；鼻涕}
pʰ	⑦□{陰門}
m	⑦密蜜
t	⑦的{~確}滴嫡嘀敵□{拽：把繩子~斷之；把電燈~過（熄滅）得；糾纏：老是~之我} ⑧笛
tʰ	⑦踢剔涕{鼻~}
l	⑦立{~馬：馬上}笠{斗~}粒栗律{紀~}率{效~}力逆{忠言~耳}歷瀝{把水~乾得}
tɕ	⑦集急級{上~}及{~時}疾鯽極{積~}積跡{~斑}脊籍{戶~}績{成~}擊激{~將法}□{爆裂而出：擠~得之}
tɕʰ	⑦緝{~鞋}七漆{~黑}喫{~飯；~烟；~喜酒；~香茶}戚{~親姑老表}襲{閃了腰}
ɕ	⑦習{~字；~慣}襲}吸息{利~}媳{~婦：兒媳婦}惜{~顧}昔夕{除~}席{主~}錫析{分~□{快速攀爬：狗往他身上直~} ⑧席{酒~}□{折磨、煩擾：~人}
Ø	⑦一逸{安~}益{用處：養兒子有什麽~}
#uəʔ	
tʂ	⑦竹築{建~}祝粥燭{蠟~}觸{接~}蜀{~山：地名}□{塞：往強拐的一~} ⑧逐{~浙}軸
tʂʰ	⑦出畜{~牲}
ʂ	⑦術{法~}叔束{約~}屬{家~} ⑧熟贖屬{~龍}□{反復念叨：老師~啊~的}
ʐ	⑦入{~門}肉{白|稱~}辱浴{白|~腳}□{加熱使彎曲：把箇根竹子~彎得}
k	⑦骨穀{六不~子：玉米}□{無牙的老人用牙牀等擠壓食物：沒牙子，慢慢~}
kʰ	⑦窟{~窿洞}哭酷{殘~}
x	⑦忽{~冷~熱} ⑧覈{桃~子}糊{~塗；讓人糊塗：那個題目有點個~人}囫{~圇}□{粗糙帶鋒芒的東西刺激皮膚：稻搞在身上好~人}
#yəʔ	
tɕ	⑦橘菊鞠{~躬}局桔{~梗}
tɕʰ	⑦屈{叫~}曲{酒~；歌~}
ɕ	⑦戌畜{~牧}蓄{~水}
Ø	⑦域{區~}疫{防~站}育{教~}獄浴{文|~缸}欲
#ɛʔ	
p	⑦八{七~；~得很：很傻（笨）} ⑧拔
m	⑦抹{~灰；~牌}
f	⑦法發{芽；~法：犯法} ⑧筏{竹~}罰閥{~門}
v	⑦挖{~山芋}襪
t	⑦答搭沓達耷{眼皮~之}□{跌落：走（從）樹高頭~下來之} ⑧踏{一~一~的；一脚~上去}
tʰ	⑦踏塔塌{錯過：~得一班車；掉：~一層皮}拓{塗、抹：臉高~之怕死人的}
l	⑦納{鞋底}臘蠟捺{~釘：圖釘}辣喇{~~蛄：癩蛤蟆}
ts	⑦砸咂{放在嘴裏~~} ⑧雜{~種；~心}
tsʰ	⑦擦{~窗子；~面子；~黑}
s	⑦撒{~尿；~稻種}靸{~子：膠鞋或拖鞋；把鞋跟都~碎得之}
tʂ	⑦眨扎{~辮子} ⑧閘煠{~油條}鍘{~刀；一刀}
tʂʰ	⑦插{~手}察{警~}
ʂ	⑦殺刹{~車}煞{把繩子~緊點個子}
#iɛʔ	
tɕ	⑦夾{~襖；~子}甲
