1890會城			IPA		註釋
思	S	z	s	z̩	
四	S	éí	s	ɛi	
	T				
打	T	á	t	a	
低	T	áí	t	ai	
帶	T	áí	t	ai	
得	T	ak	t	ɐk	
得	T	ák	t	ak	又音
淡	T	ám	t	am	
單	T	án	t	an	
燈	T	áng	t	aŋ	
搭	T	áp	t	ap	
笪	T	át	t	at	
*	T	at	t	ɐt	
痘	T	au	t	ɐʊ	
地	T	éí	t	ei	
踢	T'	ék	tʰ	ek	
泵	T	em	t	ɛm	
嗒	T	ep	t	ɛp	
爹	T	íá	t	ia	會城音
爹	T	e	t	ɛ	會東北音
敵	T	ik	t	ɪk	
點	T	ím	t	im	
典	T	ín	t	in	
丁	T	ing	t	ɪŋ	
蝶	T	íp	t	ip	
跌	T	ít	t	it	
丢	T	íú	t	iu	
多	T	o	t	ɔ	
刀	T	ò	t	o	
代	T	oí	t	ɔi	
度	T	ok	t	ɔk	
㡭	T	on	t	ɔn	
當	T	ong	t	ɔŋ	
奪	T	òt	t	ot	
劑	Ts	aí	ts	ɐi	
妻	Ts'	aí	tsʰ	ɐi	
則	Ts	ak	ts	ɐk	
賊	Ts'	ák	tsʰ	ak	
簪	Ts	ám	ts	am	
參	Ts'	ám	tsʰ	am	
贊	Ts	án	ts	an	
餐	Ts'	án	tsʰ	an	
增	Ts	ang	ts	ɐŋ	
層	Ts'	ang	tsʰ	ɐŋ	
習	Ts	áp	ts	ap	
擦	Ts'	át	tsʰ	at	
侵	Ts'	em	tsʰ	ɛm	
親	Ts'	en	tsʰ	ɛn	
蓺	Ts	ep	ts	ɛp	
緝	Ts'	ep	tsʰ	ɛp	
疾	Ts	et	ts	ɛt	
七	Ts'	et	tsʰ	ɛt	
酒	Ts	eu	ts	ɛu	
秋	Ts'	eu	tsʰ	ɛu	
借	Ts	íá	ts	ia	
邪	Ts'	íá	tsʰ	ia	
瘌	Ts	íak	ts	iɐk	
卽	Ts	ik	ts	ɪk	
尖	Ts	ím	ts	im	
簽	Ts'	ím	tsʰ	im	
前	Ts	ín	ts	in	
千	Ts'	ín	tsʰ	in	
晶	Ts	ing	ts	ɪŋ	
淸	Ts'	ing	tsʰ	ɪŋ	
接	Ts	íp	ts	ip	
節	Ts	ít	ts	it	
切	Ts'	ít	tsʰ	it	
椒	Ts	íú	ts	iu	
鍫	Ts'	íú	tsʰ	iu	
左	Ts	o	ts	ɔ	
錯	Ts'	o	tsʰ	ɔ	
租	Ts	ò	ts	o	
粗	Ts'	ò	tsʰ	o	
宰	Ts	oí	ts	ɔi	
才	Ts'	oí	tsʰ	ɔi	
作	Ts	ok	ts	ɔk	
錯	Ts'	ok	tsʰ	ɔk	
雀	Ts	ök	ts	œk	
葬	Ts	ong	ts	ɔŋ	
將	Ts	öng	ts	œŋ	
艙	Ts'	ong	tsʰ	ɔŋ	
祥	Ts'	öng	tsʰ	œŋ	
序	Ts	uí	ts	ʊi	
取	Ts'	úí	tsʰ	ui	
隨	Ts'	uí	tsʰ	ʊi	
隨	Ts'	oí	tsʰ	ɔi	又音
娶	H	á	h	a	
嘴	Ts	úí	ts	ui	
嘴	Ts	oí	ts	ɔi	又音
足	Ts	uk	ts	ʊk	
促	Ts'	uk	tsʰ	ʊk	
津	Ts	ún	ts	un	
尊	Ts	ún	ts	un	
巡	Ts'	ún	tsʰ	un	
全	Ts'	ün	tsʰ	yn	
宗	Ts	ung	ts	ʊŋ	
從	Ts'	ung	tsʰ	ʊŋ	
卒	Ts	út	ts	ut	
絶	Ts	út	ts	ut	
捽	Ts'	út	tsʰ	ut	
子	Ts	z	ts	z̩	
慈	Ts'	z	tsʰ	z̩	
堆	T	uí	t	ʊi	
退	T'	úí	tʰ	ʊi	
督	T	úk	t	uk	
墩	T	un	t	ʊn	
不	T	ún	t	un	
冬	T	ung	t	ʊŋ	
通	T'	ung	tʰ	ʊŋ	
凸	T	út	t	ut	
	U				
屋		Uk	ʔ	ʊk	
	W				
話	W	á	w	a	
圍	W	aí	w	ɐi	會城音
圍	W	úí	w	ui	會西南音
位	W	aí	w	ɐi	
位	W	ai	w	ɐɪ	又音
衞	W	úí	w	ui	
衞	W	aí	w	ɐi	又音
煨	W	aí	w	ɐi	會城音
煨	W	éí	w	ɛi	會西南音
壞	W	áí	w	ai	
或	W	ák	w	ak	
域	W	ák	w	ak	
雲	W	an	w	ɐn	會城音
雲	W	ún	w	un	會西南音
搵	W	an	w	ɐn	會城音
搵	F	ún	f	un	會西南音
灣	W	án	w	an	
橫	W	áng	w	aŋ	
欝	W	at	w	ɐt	
欝	W	út	w	ut	又音
欝	W	út	w	ut	會西南唯一音
滑	W	át	w	at	
*	W	éí	w	ei	
*	W	en	w	ɛn	
*	W	et	w	ɛt	
栐	W	ing	w	ɪŋ	
窩	W	o	w	ɔ	
鑊	W	ok	w	ɔk	
王	W	ong	w	ɔŋ	
惡	W	ú	w	u	
囘	W	úí	w	ui	
囘	W	éí	w	ei	又音
盌	W	ún	w	un	
勻	W	ún	w	un	
活	W	út	w	ut	
	Y				
𠯋	Y	aí	j	ɐi	
音	Y	am	j	ɐm	
因	Y	an	j	ɐn	
印	Y	an	j	ɐn	
*	Y	at	j	ɐt	
穴	Y	et	j	ɛt	
穴	Y	íp	j	ip	又音
雨	Y	í	j	i	
於	Y	í	j	i	
也	Y	iá	j	ɪa	
耶	Y	iá	j	ɪa	
益	Y	ik	j	ɪk	
員	Y	ín	j	in	
應	Y	ing	j	ɪŋ	
邑	Y	íp	j	ip	
一	Y	ít	j	it	
有	Y	íú	j	iu	
約	Y	ök	j	œk	
羊	Y	öng	j	œŋ	
銳	Y	uí	j	ʊi	
欲	Y	uk	j	ʊk	
甕	Y	ung	j	ʊŋ	
甕	H	íp	h	ip	又音
用	Y	ung	j	ʊŋ	
用	H	íp	h	ip	又音
