汉字	罗马字	IPA	注释																
知	tsainn1	tsaĩ˧˧	(白)同tsai1																
知	ti1	ti˧˧	(文)通知																
智	ti3	ti˨˩																	
池	ti5	ti˩˨																	
馳	ti5	ti˩˨																	
支	ki1	ki˧˧	(白)天干地支																
支	tsi1	tsi˧˧	(文)支持tsi1 ti5																
枝	ki1	ki˧˧	(白)树枝																
枝	tsi1	tsi˧˧	(文)荔枝仔																
肢	ki1	ki˧˧	四肢																
只	tsit4	tsit˦˨	这个:只位，只个																
只	tsiah4	tsiaʔ˦˨	一只																
只	tsi2	tsi˥˨	只有tsi2 u7																
紙	tsua2	tsua˥˨																	
侈	tshi2	tsʰi˥˨	奢侈tsʰia1 tsʰi2																
施	sua1	sua˧˧	(白)洒落																
施	si1	si˧˧	(文)																
翅	tshi3	tsʰi˨˩																	
匙	si5	si˩˨	汤匙，锁匙，煎匙仔，灰匙仔																
是	si7	si˨˨																	
氏	si7	si˨˨																	
豉	sinn7	sĩ˨˨																	
豉	ki5	ki˩˨	地名:金光村豉仔山																
兒	ji5	ji˩˨	红花小儿																
爾	nia5	nia˩˨	(替)而已																
羈	ki1	ki˧˧																	
寄	kia3	kia˨˩																	
企	tʰi2	tʰi˥˨	企业																
企	khia7	kʰia˨˨	(训)本字徛																
徛	khia7	kʰia˨˨	站立																
徛	ki7	ki˨˨	支撑:徛拐																
奇	ki5	ki˩˨	(文)在厝奇南香hiũ1，出厝松柏丛:在家中受呵护可以娇贵，出门就得像松柏根须那样自寻门路了																
奇	ku1	ku˧˧	(替)奇怪																
奇	khia1	kʰia˧˧	(白)私奇sai1 kʰia1:私房钱																
奇	kha1	kʰa˧˧	(白)一奇袋仔																
騎	khia5	kʰia˩˨	(白)																
騎	khi5	kʰi˩˨	(文)																
崎	kia7	kia˨˨	地名:崎岭乡																
岐	ki1	ki˧˧	地名:安厚岐山ki1 san1																
技	ki1	ki˧˧																	
技	ki7	ki˨˨																	
妓	ki1	ki˧˧																	
宜	gi5	gi˩˨																	
儀	gi5	gi˩˨																	
蟻	hia7	hia˨˨																	
蟻	gi2	gi˥˨																	
義	gi7	gi˨˨																	
議	gi7	gi˨˨																	
誼	gi5	gi˩˨																	
犧	hi1	hi˧˧																	
戲	hi3	hi˨˩																	
椅	i2	i˥˨																	
移	i5	i˩˨																	
易	ek8	ek˩˧																	
易	i7	i˨˨	容易，易经																
悲	pi1	pi˧˧																	
鄙	pi2	pi˥˨	鄙人																
鄙	phi2	pʰi˥˨	卑鄙																
疕	phi2	pʰi˥˨	干疕:伤口结痂，疕仔:伤口的痂，饭疕 鼎疕:锅巴																
比	pi2	pi˥˨																	
庇	pi3	pi˨˩	老公保庇																
痹	pi3	pi˨˩																	
痹	pi5	pi˩˨	痹症																
泌	pi3	pi˨˩																	
秘	pi3	pi˨˩																	
轡	phue3	pʰue˨˩																	
丕	phi1	pʰi˧˧																	
屁	phui3	pʰui˨˩																	
琵	phi5	pʰi˩˨																	
牝	pin7	pin˨˨	牝惰pin7 tuã7																
備	pi7	pi˨˨																	
鼻	phinn7	pʰĩ˨˨	鼻刀:鼻梁																
鼻	pit8	pit˩˧	鼻祖																
篦	pin7	pin˨˨	櫛篦sap4 pin7																
篦	peng7	peŋ˨˨																	
眉	bai5	bai˩˨	(白)目眉毛																
眉	mi5	mi˩˨	(文)地名:坂仔镇峨眉山村																
眉	mu5	mu˩˨	地名:坂仔镇峨眉山村																
楣	bai5	bai˩˨	门楣																
楣	bi5	bi˩˨																	
黴	bue5	bue˩˨																	
美	bi2	bi˥˨																	
美	bue2	bue˥˨	1.美蝶仔， 2.地名小溪:圆窗美，美厝，山格:美厝，园美，霞寨:山美，角美，井美楼，坂仔:埔美，大溪:仙美，坑美，国强:仙美，岭美，安厚:大路美，狮美，崎岭:美塘，福墘美																
媚	bai7	bai˨˨																	
寐	bi7	bi˨˨																	
地	te7	te˨˨																	
尼	ni5	ni˩˨																	
呢	ni5	ni˩˨	呢毛衫																
膩	ji7	ji˨˨	细腻:1.节约，2.拘谨																
梨	lai5	lai˩˨																	
履	li2	li˥˨																	
利	lai7	lai˨˨	(白)利利:锋利																
利	li7	li˨˨	(文)利便																
痢	li7	li˨˨																	
咨	tsu1	tsu˧˧																	
資	tsu1	tsu˧˧																	
姿	tsu1	tsu˧˧																	
姊	tsi2	tsi˥˨																	
次	tshu3	tsʰu˨˩																	
瓷	tsu5	tsu˩˨																	
瓷	hui5	hui˩˨	(训)																
糍	tsi5	tsi˩˨																	
自	tsu7	tsu˨˨																	
私	su1	su˧˧	私奇																
私	si1	si˧˧	家私																
私	sai1	sai˧˧	(白)私奇sai1 kʰia1																
死	si2	si˥˨																	
四	si3	si˨˩	(白)																
四	su3	su˨˩	(文)四君，四物，四神，四果汤																
肆	si3	si˨˩	(白)																
肆	su3	su˨˩	(文)																
致	ti3	ti˨˩																	
遲	ti5	ti˩˨																	
雉	ti7	ti˨˨	雉雞																
稚	ti7	ti˨˨																	
師	sai1	sai˧˧	(白)师公，老师:师傅																
師	su1	su˧˧	(文)老师																
獅	sai1	sai˧˧	狮仔头:三角肌																
脂	tsu1	tsu˧˧	油脂																
脂	tsi1	tsi˧˧	脂肪																
指	tsai2	tsai˥˨	手指仔																
指	tseng2	tseŋ˥˨	指甲，指头公																
指	ki2	ki˥˨	指掺凿ki2 tsʰam1 tsʰak8																
指	tsi2	tsi˥˨	手指仔:戒指																
旨	tsi2	tsi˥˨																	
至	tsi3	tsi˨˩																	
示	si7	si˨˨																	
示	tsia3	tsia˨˩	(替)地名:崎岭乡际头村，原为漈头，小溪镇豆坪际脚，原为漈骹																
示	tsua3	tsua˨˩	(替)地名:崎岭乡际头村，原为漈头，小溪镇豆坪际脚，原为漈骹																
尸	si1	si˧˧																	
屍	si1	si˧˧	懒尸																
矢	tsit8	tsit˩˧	箭矢																
屎	sai2	sai˥˨	小溪眼泪是目滓tsai2，平和其他地方有用目屎																
嗜	si7	si˨˨																	
視	si7	si˨˨																	
二	ji7	ji˨˨																	
二	ju7	ju˨˨	(文)常用于数字年份																
二	o7	o˨˨	一二三i3 o7 san1:一鼓作气																
貳	ji7	ji˨˨																	
貳	ju7	ju˨˨	(文)常用于数字年份																
肌	ki1	ki˧˧																	
饥	kui1	kui˧˧	(白)枵饥失顿iau1 kui1 sit4 tuĩ3																
饥	ki1	ki˧˧	(文)饥荒ki1 huĩ1																
飢	kui1	kui˧˧	(白)枵饥失顿iau1 kui1 sit4 tuĩ3																
飢	ki1	ki˧˧	(文)饥荒ki1 huĩ1																
幾	kui2	kui˥˨	(白)几个																
幾	ki2	ki˥˨	(文)几何																
幾	ki1	ki˧˧	(文)几乎																
几	kui2	kui˥˨	(白)几个																
几	ki2	ki˥˨	(文)几何																
几	ki1	ki˧˧	(文)几乎																
冀	ki3	ki˨˩																	
器	khi3	kʰi˨˩																	
棄	khi3	kʰi˨˩																	
祈	ki5	ki˩˨																	
鰭	ki5	ki˩˨																	
伊	i1	i˧˧																	
懿	i3	i˨˩																	
夷	i5	i˩˨																	
姨	i5	i˩˨																	
姨	inn5	ĩ˩˨	尪姨																
肄	i7	i˨˨																	
你	ni2	ni˥˨																	
厘	li5	li˩˨																	
李	li2	li˥˨																	
理	li2	li˥˨																	
裏	lai7	lai˨˨	(白)内																
裏	li2	li˥˨	(文)一里路																
里	lai7	lai˨˨	(白)内																
里	li2	li˥˨	(文)一里路																
鯉	li2	li˥˨																	
鯉	tai1	tai˧˧	(训)𩶅:哥𩶅，红𩶅仔鱼																
吏	li7	li˨˨																	
隸	le7	le˨˨																	
兹	tsu1	tsu˧˧																	
滋	tsu1	tsu˧˧																	
囝	kiann2	kiã˥˨	(白)孩子																
囝	kin2	kin˥˨	kin2 na:孩子																
囝	kan2	kan˥˨	kan2 na:丫鬟，也有写成𡢃																
囝	a2	a˥˨	包仔鸡仔等小称后缀，多训以仔																
子	tsi2	tsi˥˨	(白)厨子																
子	tsu2	tsu˥˨	(文)子女																
子	ji2	ji˥˨	石子仔，棋子仔																
子	gi2	gi˥˨	石子仔																
梓	tsi2	tsi˥˨																	
磁	tsu5	tsu˩˨																	
慈	tsu5	tsu˩˨																	
字	ji7	ji˨˨																	
司	si1	si˧˧																	
司	su1	su˧˧	司法，司机																
絲	si1	si˧˧																	
思	su1	su˧˧	思想																
思	su3	su˨˩	意思																
伺	su7	su˨˨	伺奉																
辭	si5	si˩˨	(白)辞职																
辭	su5	su˩˨	(文)辞典																
詞	su5	su˩˨																	
祠	si5	si˩˨	祠堂																
巳	i2	i˥˨	巳蛇																
祀	tshai7	tsʰai˨˨	(白)1.祀尪，2.祀牢牢:引申为在家中不去工作																
祀	su7	su˨˨	(文)																
似	sai7	sai˨˨	(白)熟似																
似	tshi7	tsʰi˨˨	(文)																
姒	sai7	sai˨˨	同姒taŋ5 sai7:兄弟的妻子																
寺	si7	si˨˨																	
嗣	su7	su˨˨																	
嗣	si5	si˩˨	大溪后时由壶嗣雅化而来																
飼	tshi7	tsʰi˨˨																	
置	ti3	ti˨˩																	
痴	ti1	ti˧˧	痴哥																
耻	tʰi3	tʰi˨˩																	
持	ti5	ti˩˨	支持																
峙	si7	si˨˨	对峙																
痔	ti7	ti˨˨																	
治	ti7	ti˨˨	创治，爽治中该音会鼻化为tĩ3																
治	tʰai5	tʰai˩˨	(白)治鸡治鸡																
輜	tsu1	tsu˧˧	辎重																
廁	tshek4	tsʰek˦˨																	
廁	tsheh4	tsʰeh˦˨																	
士	su7	su˨˨																	
事	su7	su˨˨																	
事	tai7	tai˨˨	事志																
史	su2	su˥˨																	
使	sai2	sai˥˨	1.可以:解使， 2.耍脾气:使性， 3.使唤																
使	sainn1	saĩ˧˧	使昵:撒娇																
使	su2	su˥˨																	
駛	sai2	sai˥˨	(白)驶车:开特定线路， 同行车kiã5 tsʰia1																
駛	su2	su˥˨	(文)																
芝	tsi1	tsi˧˧																	
之	tsi1	tsi˧˧																	
址	tsi2	tsi˥˨																	
止	tsi2	tsi˥˨																	
趾	tsai2	tsai˥˨																	
志	tsi3	tsi˨˩																	
誌	tsi3	tsi˨˩																	
痣	ki3	ki˨˩																	
嗤	tshi1	tsʰi˧˧																	
嗤	tshi7	tsʰi˨˨	气流泄出的拟声词:1.高压锅tsʰi7 tsʰu7叫 2.伊人讲话tsʰi7 tsʰa7叫																
齒	khi2	kʰi˥˨																	
詩	si1	si˧˧																	
始	si2	si˥˨																	
試	tshi3	tsʰi˨˩	试味，试请看:试一下																
時	si5	si˩˨																	
市	tshi7	tsʰi˨˨																	
恃	si7	si˨˨																	
侍	sai7	sai˨˨	(白)服侍																
侍	su7	su˨˨	(文)																
而	ji5	ji˩˨																	
耳	hinn7	hĩ˨˨	(白)																
耳	dzi7	dzi˨˨	(文)木耳																
餌	dzi7	dzi˨˨																	
基	ki1	ki˧˧																	
姬	ki1	ki˧˧																	
己	ki2	ki˥˨	自己																
己	ti7	ti˨˨	家己																
己	li7	li˨˨	家己																
紀	ki2	ki˥˨																	
記	ki3	ki˨˩																	
欺	khi1	kʰi˧˧																	
起	khi2	kʰi˥˨																	
杞	ki2	ki˥˨																	
棋	ki5	ki˩˨																	
其	ki5	ki˩˨																	
旗	ki5	ki˩˨																	
期	ki5	ki˩˨																	
忌	ki7	ki˨˨	做忌																
忌	i7	i˨˨	禁忌kim3 i7																
疑	gi5	gi˩˨																	
擬	gi2	gi˥˨																	
嘻	hi1	hi˧˧																	
嘻	gi1	gi˧˧	(替)也有写𠱐																
嬉	hi1	hi˧˧																	
禧	hi1	hi˧˧																	
熙	hi1	hi˧˧																	
喜	hi2	hi˥˨																	
醫	i1	i˧˧	(文)																
醫	ui1	ui˧˧	(白)																
意	i3	i˨˩																	
矣	i7	i˨˨																	
怡	i5	i˩˨																	
貽	i5	i˩˨																	
已	gi7	gi˨˨																	
以	i2	i˥˨																	
異	i7	i˨˨																	
機	kui1	kui˧˧	(白)																
機	ki1	ki˧˧	(文)																
櫼	tsinn1	tsĩ˧˧	1.争抢， 2.打， 3.固执:圆櫼																
譏	ki1	ki˧˧																	
饑	kui1	kui˧˧	(白)枵饥失顿iau1 kui1 sit4 tuĩ3																
饑	ki1	ki˧˧	(文)饥荒ki1 huĩ1																
幾	kui2	kui˥˨	(白)几个																
幾	ki2	ki˥˨	(文)几何																
幾	ki1	ki˧˧	(文)几乎																
既	ki3	ki˨˩																	
豈	khi2	kʰi˥˨																	
氣	khui3	kʰui˨˩	(白)喘气，气声，气力																
氣	khi3	kʰi˨˩	(文)																
气	khui3	kʰui˨˩	(白)喘气，气声，气力																
气	khi3	kʰi˨˩	(文)																
汽	khi3	kʰi˨˩																	
祈	ki5	ki˩˨																	
毅	ge7	ge˨˨																	
希	hi1	hi˧˧																	
稀	hi1	hi˧˧																	
稀	ka3	ka˨˩	(训)糜饭ka3 ka3，也有写做漖																
依	i1	i˧˧																	
衣	ui1	ui˧˧	(白)胎盘																
衣	i1	i˧˧	(文)																
累	lui2	lui˥˨																	
累	lui7	lui˨˨																	
累	sian7	sian˨˨	(训)疲倦，无精打采																
累	tʰiam2	tʰiam˥˨	(训)劳累																
喙	tshui3	tsʰui˨˩	拍喙鼓，答喙鼓																
嘴	tsui2	tsui˥˨	喙tsui2有的写成嘴																
髓	tshue2	tsʰue˥˨	骨髓																
隨	sui5	sui˩˨																	
揣	tshue7	tsʰue˨˨	找																
吹	tshue1	tsʰue˧˧	(白)																
吹	pun5	pun˩˨	(训)㖹风:吹牛																
吹	phuh4	pʰuʔ˦˨	(训)pʰuʔ4雨:民间认为刚出生的孩子吹嘴唇，是要下雨的迹象																
吹	tshngh4	tsʰŋh˦˨	(训)用鼻子用力吹气:tsʰŋh8鼻																
吹	tshiunn5	tsʰiũ˩˨	(训)风柜tsʰiũ5粟，也有写作飏																
吹	iann7	iã˨˨	(训)iã7胡蝇，也有写作飏																
颺	tshiunn5	tsʰiũ˩˨	风柜颺粟																
颺	iann7	iã˨˨	iã7胡蝇																
炊	tshue1	tsʰue˧˧																	
垂	sueh8	sueh˩˧	(白)下垂，往下流:垂落来																
垂	sue5	sue˩˨	(白)头垂垂																
垂	sui1	sui˧˧	(替)长条小口， 冲罐仔垂:茶壶口， 尿垂:膦鸟																
垂	tshih8	tsʰiʔ˩˧	(训)头低垂的样子																
睡	tsue7	tsue˨˨	ka1 tsue7																
睡	khun3	kʰun˨˩	(训)																
睡	tʰe1	tʰe˧˧	(训)																
睡	inn1	ĩ˧˧	(训)																
瑞	sui7	sui˨˨																	
蕊	lui2	lui˥˨																	
規	kui1	kui˧˧																	
詭	kui2	kui˥˨																	
虧	khui1	kʰui˧˧																	
窺	khui1	kʰui˧˧																	
跪	kui7	kui˨˨																	
危	hui1	hui˧˧	危险																
危	ui1	ui˧˧																	
偽	ui5	ui˩˨																	
麾	hui1	hui˧˧																	
毁	hui2	hui˥˨																	
委	ui2	ui˥˨																	
喂	ui3	ui˨˩																	
為	ui7	ui˨˨	为了																
為	ui5	ui˩˨	行为																
壘	lui2	lui˥˨																	
類	lui7	lui˨˨																	
淚	lui7	lui˨˨																	
醉	tsui3	tsui˨˩																	
翠	tshui3	tsʰui˨˩																	
悴	tsut4	tsut˦˨																	
綏	sui1	sui˧˧																	
雖	sui1	sui˧˧																	
粹	tshui3	tsʰui˨˩																	
遂	sui7	sui˨˨																	
隧	sui7	sui˨˨																	
穗	sui7	sui˨˨																	
追	tui1	tui˧˧	催促追赶:硬共人追个																
槌	tʰui5	tʰui˩˨	摃槌仔:锤子																
錘	tʰui5	tʰui˩˨																	
捶	tui5	tui˩˨	捶拳头母																
墜	tui7	tui˨˨	耳墜仔																
墜	tʰui7	tʰui˨˨	坠落去:垂落下去																
衰	sue1	sue˧˧	倒霉:衰㞞																
摔	siak4	siak˦˨	摔物件																
摔	sut4	sut˦˨	1.抽打 2.余光快速扫过																
帥	sue3	sue˨˩	玄坛元帅:赵公明																
率	lut8	lut˩˧	(白)效率																
率	suat4	suat˦˨	(文)直率																
錐	tsui1	tsui˧˧																	
水	tsui2	tsui˥˨	(白)																
水	sui2	sui˥˨	(文)风水hoŋ1 sui2，水气sui2 kʰui2																
誰	tsa5	tsa˩˨	许谁hiat4 tsa5有音变为het4 tsa5																
誰	tsia5	tsia˩˨	许谁hiat4 tsia5有音变为het4 tsia5																
誰	sui5	sui˩˨																	
龜	ku1	ku˧˧	(白)																
龜	kui1	kui˧˧	(文)																
軌	khui2	kʰui˥˨																	
癸	khui5	kʰui˩˨																	
愧	khui3	kʰui˨˩																	
季	kui3	kui˨˩	着季节:蔬菜应季																
葵	khue5	kʰue˩˨	(白)葵扇																
葵	khui5	kʰui˩˨	(文)葵花																
逵	khui5	kʰui˩˨	李逵																
逵	kui5	kui˩˨																	
櫃	kui7	kui˨˨																	
帷	ui5	ui˩˨																	
位	ui7	ui˨˨																	
維	ui5	ui˩˨																	
惟	ui5	ui˩˨																	
遺	ui5	ui˩˨																	
遺	i5	i˩˨																	
唯	ui5	ui˩˨																	
飛	pue1	pue˧˧	(白)																
飛	hui1	hui˧˧	(文)飞机																
非	hui1	hui˧˧																	
匪	hui2	hui˥˨	土匪仔话:也称蛇话，平和建国前匪患严重，土匪内部使用一种反切密语，将一句话中前后字声母韵母互相倒装，在整句话中变换复杂晦涩难懂，如今可能已失传																
沸	pui3	pui˨˩	(白)																
沸	hui3	hui˨˩	(文)																
痱	pui3	pui˨˩	痱仔																
妃	hui1	hui˧˧																	
費	hui3	hui˨˩	所费se2 hui3																
肥	pui5	pui˩˨	阿肥勒仔																
薇	bi5	bi˩˨																	
微	bi5	bi˩˨	微微仔																
尾	bue2	bue˥˨																	
未	bue7	bue˨˨	(白)犹未																
未	bi7	bi˨˨	(文)未来																
味	bi7	bi˨˨	味道																
味	mi7	mi˨˨	味素粉																
眯	bi5	bi˩˨	眯一下																
歸	kui1	kui˧˧																	
鬼	kui2	kui˥˨																	
貴	kui3	kui˨˩																	
巍	gui1	gui˧˧																	
魏	ui7	ui˨˨																	
揮	hui1	hui˧˧																	
輝	hui1	hui˧˧																	
徽	hui1	hui˧˧																	
諱	hui3	hui˨˩																	
卉	hui3	hui˨˩																	
威	ui1	ui˧˧																	
畏	ui2	ui˥˨	在毋畏中变做m mui																
慰	ui3	ui˨˩																	
違	ui5	ui˩˨																	
圍	ui5	ui˩˨																	
葦	ui2	ui˥˨																	
偉	ui2	ui˥˨																	
緯	ui7	ui˨˨																	
胃	ui7	ui˨˨																	
謂	ui7	ui˨˨	鬼仔怪																
匯	hue7	hue˨˨																	
汇	hue7	hue˨˨																	
褒	pau5	pau˩˨	褒贬																
保	pou2	pou˥˨																	
堡	pou2	pou˥˨																	
寶	pou2	pou˥˨																	
報	pou3	pou˨˩																	
袍	phau5	pʰau˩˨	大红袍																
抱	phou7	pʰou˨˨																	
抱	moh4	moʔ˦˨	(训)moʔ4囝仔:拐卖儿童																
暴	pok8	pok˩˧	暴力																
暴	puok8	puok˩˧																	
暴	pauh4	pauʔ˦˨	牙暴暴																
暴	pauh8	pauʔ˩˧	暴落去:揍																
毛	mo5	mo˩˨																	
冒	mou7	mou˨˨																	
帽	bou7	bou˨˨																	
刀	tou1	tou˧˧																	
叨	tʰo1	tʰo˧˧																	
叨	tau1	tau˧˧																	
倒	to2	to˥˨	转倒:斡旋度过																
倒	tue2	tue˥˨	(白)																
倒	tou3	tou˨˩	倒粪扫																
倒	tau2	tau˥˨	倒车																
島	tou2	tou˥˨																	
禱	to2	to˥˨																	
到	to3	to˨˩	迟到																
到	kau3	kau˨˩	(训)遘																
滔	tʰo1	tʰo˧˧																	
討	tʰou2	tʰou˥˨																	
套	tʰo3	tʰo˨˩																	
桃	tʰou5	tʰou˩˨																	
逃	tou5	tou˩˨																	
陶	tʰau5	tʰau˩˨																	
萄	tou5	tou˩˨																	
㪗	tʰau2	tʰau˥˨	解开，消解																
濤	tʰo5	tʰo˩˨																	
稻	tiu7	tiu˨˨																	
稻	ueh8	ueh˩˧	(训)可能是禾，割ueʔ7																
道	tou7	tou˨˨																	
導	to7	to˨˨																	
盗	tou7	tou˨˨																	
竊	tshiak4	tsʰiak˦˨																	
腦	nau2	nau˥˨																	
惱	lo2	lo˥˨	烦恼																
勞	lou5	lou˩˨																	
撈	lau1	lau˧˧	捞话:套话																
嘮	lou1	lou˧˧	磨蹭"较紧个，mai3 koʔ4 lou1也"																
烙	lou7	lou˨˨	烧烙sio1 lou7																
牢	tiau5	tiau˩˨	1.牢固， 2.牛牢猪牢																
牢	lo5	lo˩˨	监牢																
老	lau7	lau˨˨	古早之人事物																
老	lau2	lau˥˨																	
老	lou2	lou˥˨	(文)老老lou2 lau2:寿终正寝																
遭	tso1	tso˧˧																	
糟	tshau1	tsʰau˧˧	乱糟糟																
糟	tsau1	tsau˧˧	酒糟																
早	tsa2	tsa˥˨																	
棗	tso2	tso˥˨																	
棗	tsou2	tsou˥˨																	
蚤	tsau2	tsau˥˨	跳蚤:ka1 tsau2																
躁	tsau3	tsau˨˩																	
燥	sou3	sou˨˩	上火:伤燥																
竈	tsau3	tsau˨˩	灶台， 灶骹，灶仔																
操	tshau1	tsʰau˧˧	(白)操练， 做操																
操	tsho1	tsʰo˧˧	(文)曹操																
造	tsou7	tsou˨˨																	
草	tshau2	tsʰau˥˨	(白)1.草仔茶:中药 2.力草，市草，料草																
草	tshou2	tsʰou˥˨	(文)草稿																
曹	tso5	tso˩˨																	
褿	tsiau5	tsiau˩˨	全都"褿来去"																
槽	tsou5	tsou˩˨	鸡槽仔:鸡食槽																
槽	tsio5	tsio˩˨	牙槽岸gɛ5 tsio5 huã7:脸颊																
嘈	tshau7	tsʰau˨˨	嘈嘈滚																
嘈	tsha7	tsʰa˨˨	嘈嘈滚																
嘈	tshiang7	tsʰiaŋ˨˨	(训)tsʰiaŋ7 tsʰiaŋ7滚																
皂	tso7	tso˨˨																	
皂	sap4	sap˦˨	(训)皂文sap4 bun5																
騷	sou1	sou˧˧																	
臊	tshou1	tsʰou˧˧	臭臊																
掃	sau3	sau˨˩	(白)扫帚sau3 tsʰiu2																
掃	sou3	sou˨˩	(文)粪扫pun3 sou3																
嫂	sou2	sou˥˨	阿嫂																
髙	kou1	kou˧˧																	
膏	kou1	kou˧˧																	
羔	kou1	kou˧˧																	
糕	kou1	kou˧˧																	
稿	kou2	kou˥˨																	
告	kou3	kou˨˩																	
考	khou2	kʰou˥˨																	
烤	khou2	kʰou˥˨																	
靠	khou3	kʰou˨˩																	
犒	khou3	kʰou˨˩																	
熬	gou5	gou˩˨	熬酒， 熬暝																
傲	ngou7	ŋou˨˨																	
蒿	ou1	ou˧˧	茼蒿																
薅	khau1	kʰau˧˧																	
好	hou2	hou˥˨	好脚数，好样，好气声，好势，好康，好范，好体，好尾景																
好	hounn3	hoũ˨˩	好鲜hõ3 tsʰĩ1:喜新厌旧																
好	gau5	gau˩˨	(训)厉害，也有写做𠢕																
𠢕	gau5	gau˩˨	厉害																
耗	hou7	hou˨˨																	
豪	hou5	hou˩˨	官豪仔:竹鼠，吃官真花而得名																
毫	ho5	ho˩˨																	
蠔	oh8	oʔ˩˧	蠔仔																
號	hou7	hou˨˨																	
號	lo7	lo˨˨	这种:只号tsit4 lo7，存在有lo变lio																
號	lio7	lio˨˨	同lo7																
浩	ho7	ho˨˨																	
爊	ou1	ou˧˧	爊鸡酒																
襖	o2	o˥˨																	
懊	au3	au˨˩																	
奥	au3	au˨˩																	
懊	au3	au˨˩																	
包	pau1	pau˧˧																	
包	bau7	bau˨˨	(训)承包:bau7工地																
胞	pau1	pau˧˧																	
飽	pa2	pa˥˨	(白)																
飽	pau2	pau˥˨	(文)																
豹	pa3	pa˨˩	虎豹																
爆	pok8	pok˩˧																	
泡	pha7	pʰa˨˨	(白)肨泡:皮肤起泡"烫着pʰoŋ3 pʰa7"																
泡	phau3	pʰau˨˩	(文)泡茶																
泡	pho3	pʰo˨˩	(训)食物质地软烂，吃起来费力塞牙缝																
拋	pha1	pʰa˧˧	(白)1.罔抛/抛一碾转:原意为迂回， 引申作散步 2.抛网: 捕鱼																
拋	pha5	pʰa˩˨	(白)抛戾pʰa5 le7																
拋	pha7	pʰa˨˨	(白)抛抛走， 抛抛颠																
拋	phau1	pʰau˧˧	(文)抛物线，栟拋pʰin5 pʰau1:薜荔																
脬	pha1	pʰa˧˧	膦脬																
炮	phau3	pʰau˨˩																	
跑	phau2	pʰau˥˨																	
鮑	pau1	pau˧˧																	
刨	phau1	pʰau˧˧																	
茅	hm5	hm˩˨	(白)																
茅	mau5	mau˩˨	(文)																
貓	ngiau1	ŋiau˧˧	猫鼠仔:三角肌																
貓	ba5	ba˩˨	阿ba5仔:长辈对女生的爱称，挐猫仔:对女生贬义称呼																
貓	ngiauh4	ŋiauʔ˦˨	(训)1.蠕动:ŋiauʔ4ŋiauʔ4动 2.爱作对:ŋiauʔ4 siau5																
卯	bau2	bau˥˨																	
貌	bau7	bau˨˨	貌相																
貌	mau7	mau˨˨	礼貌																
鐃	jiau5	jiau˩˨																	
撓	jiau3	jiau˨˩	挠痒																
撓	ngiau1	ŋiau˧˧	挠挠: 痒																
撓	ngiauh4	ŋiauʔ˦˨	挠㞞: 和人作对																
撓	la7	la˨˨	1.胡搅蛮缠，2.搅拌"撓火":把炉灶内燃烧物挑松开，使其燃烧充分																
撓	giau2	giau˥˨	拨弄挖掘:挠喙齿																
撓	ko5	ko˩˨	(训)搅拌:ko5饭，ji5 ko5 ko5																
撓	khiat8	kʰiat˩˧	(训)用爪子扒挠																
撓	hiau3	hiau˨˩	(训)1.翘起来 2.掀起来																
撓	ian2	ian˥˨	(训)掀翻																
撓	gia3	gia˨˩	(训)向外凸显																
鬧	lau7	lau˨˨	闹热																
鬧	la7	la˨˨	闹: 惹是生非																
鬧	nau7	nau˨˨	(文)																
罩	ta3	ta˨˩	蠓罩:蚊帐																
抓	tsua1	tsua˧˧																	
抓	phia1	pʰia˧˧	(训)从小地方摸东西:pʰia1布袋仔																
抓	mɛ1	mɛ˧˧	(训)五指抓:mɛ1涂沙																
抓	khip8	kʰip˩˧	(训)用指甲抓挠																
抓	khang3	kʰaŋ˨˩	(训)用手指扣																
抓	sa1	sa˧˧	(训)抓取"sa1物件":抓住东西扔出去																
爪	jiau2	jiau˥˨	爬爪花:四肢麻痹																
找	tsau7	tsau˨˨	找镭																
抄	tshiau1	tsʰiau˧˧	(白)1.抄家 2.抄浑躯tsʰiau1 hin1 su1																
抄	tshau1	tsʰau˧˧	(文)抄裤: 提裤子																
抄	tshau3	tsʰau˨˩	(训)不安稳:tsʰau3 tsʰau3跳																
鈔	tshau1	tsʰau˧˧																	
炒	tsha2	tsʰa˥˨																	
吵	tsha2	tsʰa˥˨	(白)																
吵	tshau2	tsʰau˥˨	(文)吵闹																
巢	tshau5	tsʰau˩˨																	
梢	siau1	siau˧˧	下梢: hɛ7 siau1																
捎	sa1	sa˧˧	抓东西																
捎	siau1	siau˧˧	捎物件																
稍	siau1	siau˧˧																	
潲	siau5	siau˩˨	(替)本字㞞																
交	kau1	kau˧˧																	
交	ka1	ka˧˧	交懍恂ka1 lun2 sun2，交阴寒ka1 iam1 kuã5																
較	khah4	kʰaʔ˦˨	较济:表猜测"伊是在做功课较济"																
較	kau3	kau˨˩																	
蛟	kau1	kau˧˧	枫埔村金蛟是由金沟仔雅化而来																
郊	kau1	kau˧˧																	
膠	ka1	ka˧˧																	
教	ka3	ka˨˩																	
教	kau3	kau˨˩																	
絞	ka2	ka˥˨																	
狡	kau2	kau˥˨	狡猾																
鉸	ka1	ka˧˧	1.动作剪 2.铰剪																
搞	kau2	kau˥˨																	
攪	kiau2	kiau˥˨	搅吵:打扰																
酵	kann3	kã˨˩	酵母																
窖	kau3	kau˨˩	窖肥:沤肥																
