	[1]阴平	[2]阳平	[3]阴上	[4]阳上	[5]阴去	[6]阳去	[7]阴入	[8]阳入
pʰ					胖{黄～；米～}			
b		旁						
f	方芳妨		纺		放仿			
v		房防				望{希～}		
tʰ	汤耥				烫			
d		堂棠膛螳唐塘糖溏{外干内稀}搪{抵挡，坚持}		荡宕{石～：采石场}		盪		
n	当		党	攘{2}闹脑	当	糯		
l		郎廊狼{～儿}				浪阆{稀疏}		
ts	庄装桩				壮葬			
tsʰ	仓苍疮		闯					
dz		藏		撞{暴跳，狂叫}		撞{碰撞}		
s	桑丧霜孀双舂				爽磉			
z		床				状撞{掷，砸人}		
k	冈岗刚钢纲缸杠光江豇桄		讲港		降			
kʰ	康糠				囥{藏}矿框眶{眼睛～儿}			
g		狂						
x	荒慌谎				哼			
Ø	汪{眼泪～～}	行航杭黄簧皇蝗王绗	枉	□{瓦}项旺笐		□{鼻血}		
#n								
Ø	□{这，此}	儿鱼吴	尔{你}	耳午五		二		
#m								
Ø		无母姆		尾				
