		l	p	k	kʰ	t	pʰ	tʰ	ts	n	s	∅	m	ŋ	tsʰ	x
#uiŋ	1	欄攔	盤鎜弁				蟠䰔			難			暪瞞鰻饅			鼾薨翰
	2		半	惯貫礶觀幹冠𠨍		誕旦鴠	判詊	歎嘆炭	讃贊鄼瓉趲纉繏		散	按案鮟			篡𢸥鑹	漢瀚
	3	蘭鑾臠闌攣孌欒鸞巒瀾懶嬾	搬	寒管館舘菅趕赶稈翰	𭭎盥	單彈團檀壇摔		摶剸鏄漙檲鷒鍛煅頺	殘讒慚戕		刪傘𥭾產	還鷴寒寰環嬛宛輓莞琬挽碗婉	滿	頑	喘鏟剷舛癣揣	掀
	4															
	5		般搬	乾觀覌竿干杆官幹棺鰥冠琯關関	寬	丹端䒟單煓坍	潘磻	攤灘擹			山珊	安彎鞍			餐飱痊筌	肝歡懽
	7	涎	秚叛						撰𮆷	餒		旱				
	8	爛𣩼亂乱斕	畔	汗		弹	伴冸絆			難		焊	幔蔓	玩翫	燦粲璨𩼇澯𩯞竄𮆷爨	煥緩喚奐宦渙回瑍患幻换豢
#yɛ	1						皮疲			嬝		蛇		鵝		
	2			寄怪	快氣				漈	撋	稅說				脃毳䍜	歲
	3			饑飢					𥿄帋薺		髓	䬌蕨	尾			
	4	劣捋埒鋝𣁷	髮	决抉訣決譎鴃暨赽鸜	𨶏缺闋玦觖妜蹶𦠑趹厥獗	綴裰		獺	拙抔茁䇽輟惙掇剟諁		雪說	閱越悅說鉞軏杌			歠啜	歇
	5			奇	開						阺				吹炊	
	7			跬𧇜跂					絕			舌抈䟠		月		
	8			揵			被述		絶			爲衛	妺	外艾魏		
#eiŋ	1	林淋綾痲翎苓		兢襟	擎擒	沉塵	砰			人仁	城		眠			眩
	2		殯柄鬢屏臏擯儐	敬禁	慶磬罄	鎭		聽賺	晉浸榗瑨溍縉症進政證証		聖勝信顖囟	應印廕蔭窨			秤凊𠖶	焮
	3	霖琳凌陵臨夌瀶𡻫崚𣣋磷潾嶙䗲麟轔遴鱗隣𦏰羚囹鴒齡伶聆憐昤彾蛉靈玲炩櫺檁懍凜廩	平伻枰萍評貧憑胓凴凭帡㔙駢萃丙炳稟秉箳屏	鹹勤懃琴岑禽瓊芩檎蠄璟緊錦儆鄞𢀿	頃	陳停霆廷庭蜓埕澠繩頂鼎趂	顰嚬蘋瀕頻品頩牝	裎挺梃珽町逞脡郢艇䩠	情尋秦溱蟳螓振賑枕轸整拯𢪝寢震	嚀忍	神宸娠辰𪁧審嬸哂听沈	寅夤𩆍媱滛飮引紖靷餌尹隐矧瘾珥	明盟萌旻鳴螟銘洺冥閩甍民瞑蓂敏閔抿皿酩茗愍冺泯𣧟憫𭽞鰵𣇲愍䪸	嚚迎吟誾垠凝	成臣承丞晟誠珹郕	形刑邢硎型
	4											慗		狺		
	5		賓蠙濱檳繽兵豳邠嬪彬	今金京經涇惊鯨荊勍	傾欽卿矜衿嶔衾	貞禎楨懲懲砧珍	?		真針精蒸烝津睛征怔斟𦚦鯖晶旌珍侵箴葴		伸申身心㛛呻紳升陞薪騂觪辛莘	音喑慇英瑛渶媖罃陰嬰纓櫻因姻氤殷膺裀			親蜻菁稱称深沵凊琛	興䕟𨞾馨
	7		並竝併并		謦				盡	耳栮駬		朎				歖
	8	令另	擯	覲竸脛妗徑境靳勁陘		朕椗𩄛𣀏陣陳烔	聘娉騁		儘藎浄燼靖沁贐	認侫吝蘭甯	盛甚葚乘剩愖黮椹阱穽腎	孕伾	命𩸍	吟		歆欣忺興
#uaiŋ	1															
	2															販泛
	3											凡煩𥖎樊寰繁蘩焚藩環鬟晚挽梵輓桓				反返
	4															
	5															番膰飜翻燔旙幡
	7															
	8											萬				
#au	1	牢癆㿚賿流			敲			桃𣑯洮	漕槽鏪𦋿		哨		毛枆眊	鼇鰲厫爻𤎅鐃	柴	
	2	潦	報𩗗𥄹𠴸豹爆譒	誥告教較校筶窖𧠼	魺靠熇㪃𣸌	到倒	炮砲爆炰皰	套	罩笊		燥𡎮	拗奧			操糙𥼾慥噪炒躁譟鈔藻懆	耗好孝
	3	勞憥牢𢭂㗦老䇭恅	跑袍笣苞堡庖𩐜匏寶飽保鴇褓	絞縞𥬯㾸藁蒿槁皜犒皦稿槀皎	考巧拷	濤陶桃淘檮翿燾逃鼗萄裪綯䬞禱倒島		討	巢曹剿窠早蚤爪棗𭜬	惱碯腦撓遶繞	嫂掃埽稍	高毫嘔譹豪懊㜩襖柪		遨驁翱獒餚肴敖淆猇嗷	草艸炒𠹊𩱠	好
	4								竈灶							
	5	撈	包胞	膏糕羔皋交高蛟鮫郊鵁膠跤篙	跤尻	刀魛	抛枹	叨韜縚慆滔絛幍咷瑫	遭		艄艘搜筲捎弰梢掻慅	鑣鏖			操抄懆臊鱢	哮𩖸斆
	7	了	暴懪虣𧭤𦢊	咬		道盗㤱			造皂				卯昴泖			𤟞
	8		𢼌鉋			導	泡鮑雹抱咆	蹈稻	嘈	閙			貎㡌𢛡𡝭耄涓㻆冐	傲樂鏊		昊號皜皓効聕灝浩悎顥晧傚效蒿
#aŋ	1	藍襤嵐𨊔鑶				湛耽簞	彭蟛	鐔磹䐺𩡝	晴	南喃諵男楠枬	籃㺗	唵	瞑𥝕芒鋩	巖岩	𨝐獑蚕䗝	
	2		柄	監降鑑鍳	嵌𦗬闞	店		探	站	婻	訕疝𣓒				讖懴𩼇黪塹	悍㔶
	3	覧欖攬懶嬾藍菼	棚輣龎	哽埂減骾趕赶桿	刊龕坎砍侃亢	甜甛檐酖躭談譚痰郯點胆膽	螃	𬇀毯氊坦忐𩑰𰙗袒襢菼	籫井𥭾斬䭕	胮赧揇戁	省	降緘咸函涵含啣䘖莖𥆡䤴桁𩈅皯	尨㤶	昂卬㭿	醒惨憯	㗴喊闞僴頷
	4				紺										𩯞	
	5		梆	羹更筻	堪坑轗	担擔𣆀鄲	偋	㵅貪攤			生杉衫牲三叄	俺	鞔䀄	𤟟	青渗糁參叅鯖	蚶酣邯
	7	攬	掽			淡澹但𦬷	閛𨎧		暂靜靖						錚	
	8	濫婪𧸦㜮	病		看抗	憚	丼	𧽼	棧鏨劗𫔏	念	𣪶	饀				隢憾𩞿撼
#iau	1	鐐				調條	漂薸𦷰䕯瓢			饒		窰揺颻	貓苖媌描	饒		嘵𠹎
	2	蜆𣁷	俵䞄譒	橋	竅𪖐㢗䃝	釣	𤾛	糶牏嘲	詔𬋕𥛲照炤曌		鞘笑咲嘯肖	要			誚肖	救
	3	僚瞭暸了燎寮嘹鷯遼撩憭聊寥	表裱婊	簥𧄍翹澆喬蕎僑蕘嶢皎攪狡佼姣譑繳矯皦	巧䲾	朝潮趒䞴	莩殍摽	窕誂𪮅	泎	鳥	小少	堯嬈韶遶瑤徭謠陶姚夭殀晁	秒杳杪𣺌緲𦕈藐𡚸邈淼		瞧	曉
	4			呌												
	5		標驃幖鑣儦驫	驕嬌	蹺撬敲𢿣	朝凋彫蜩鵰雕啁貂刁	顠飄旚漂螵䏇	超挑𠛪𢓝祧	招昭憔顦釗焦蕉鷦樵椒譙噍誃		消蕭銷簫瀟宵霄硝魈蛸逍	么夭腰妖婹邀			鍫鍬燒	徼僥驍梟囂嘐枵婋
	7					趙兆肇旐吊弔						紹邵劭				
	8	料廖綹		轎𨊿撬藠	𡰑	召肈調	票	跳眺頫		尿		曜耀燿鷂要	廟庙妙玅		俏悄	
#ua	1			過								𠰓				
	2			卦掛挂罣詿絓過褂㡁	課											化貨𩵏沎
	3	裸		寡剮𠜴果菓							耍灑洒	和龢華𧑍驊鷨				伙夥
	4			郭槨𥕖廓䧐适𢼛								穵		𩪲		法灋筏髮𥎰活擭伐豁垡閥乏疺
	5			瓜苽鍋	科堁蝌䌀堝刳胯顆窠侉戈誇姱恗咵夸荂骻跨				㧓𢳛			媧娃騧𩢍蛙鼀哇𠹁倭劃蝸洿汙窩萵䆧				花華譁
	7			𣢯								畫画瓦				㘞
	8											曰				和禍祻畫
