列1	列2	列3	列4	湖州话字表					
介	介	tɕia³⁵	cia5	文					
界	界	tɕia³⁵	cia5	文					
芥	芥	tɕia³⁵	cia5	文					
届	届	tɕia³⁵	cia5	文					
戒	戒	tɕia³⁵	cia5	文					
疥	疥	tɕia³⁵	cia5	文					
假	假	tɕia³⁵	cia5	文					
駕	驾	tɕia³⁵	cia5						
嫁	嫁	tɕia³⁵	cia5						
稼	稼	tɕia³⁵	cia5						
借	借	tɕia³⁵	cia5						
賈	贾	tɕia³⁵	cia5	姓					
鲇	鲇	ȵɦia¹²	gnia2	~魚					
蝦	虾	ɕia⁴⁴	shia1	文					
寫	写	ɕia⁴²	shia3						
瀉	泻	ɕia³⁵	shia5						
卸	卸	ɕia³⁵	shia5						
邪	邪	ʑia¹²	zhia2						
斜	斜	ʑia¹²	zhia2						
謝	谢	ʑia³⁵	zhia5						
蔫	蔫	ʑia³⁵	zhia5	花~了					
鴉	鸦	ʔia⁴⁴	ia1	文					
亞	亚	ʔia⁴⁴	ia1						
耶	耶	ʔia⁴⁴	ia1						
丫	丫	ʔia⁴⁴	ia1	~環。文					
野	野	ʔia⁴²	ia3						
下	下	ʔia⁴²	ia3	底~。文					
啞	哑	ʔia⁴²	ia3	文					
也	也	ʔia⁴²	ia3	文					
廈	厦	ʔia³⁵	ia5	文					
夜	夜	ʔia³⁵	ia5						
下	下	ʔia³⁵	ia5	~降					
霞	霞	ɦia¹²	ya2						
瑕	瑕	ɦia¹²	ya2						
爺	爷	ɦia¹²	ya2						
諧	谐	ɦia¹²	ya2						
乖	乖	kua⁴⁴	kua1						
拐	拐	kua⁴²	kua3	~杖					
怪	怪	kua³⁵	kua5						
蒯	蒯	kʰua⁴⁴	khua1						
誇	夸	kʰua⁴⁴	khua1	文					
快	快	kʰua³⁵	khua5						
筷	筷	kʰua³⁵	khua5						
跨	跨	kʰua³⁵	khua5	文					
歪	歪	hua⁴⁴	hua1						
蛙	蛙	ʔua⁴⁴	ua1	文					
窪	洼	ʔua⁴⁴	ua1	文					
外	外	ʔua³⁵	ua5	文					
壞	坏	ʔua³⁵	ua5						
話	话	ʔua³⁵	ua5	文					
淮	淮	ɦua¹²	wa2						
懷	怀	ɦua¹²	wa2	文					
華	华	ɦua¹²	wa2	文					
劃	划	ɦua¹²	wa2	文					
班	班	pᴇ⁴⁴	pe1						
斑	斑	pᴇ⁴⁴	pe1						
般	般	pᴇ⁴⁴	pe1						
搬	搬	pᴇ⁴⁴	pe1						
板	板	pᴇ⁴²	pe3						
版	版	pᴇ⁴²	pe3						
扮	扮	pᴇ³⁵	pe5						
頒	颁	pᴇ³⁵	pe5						
半	半	pᴇ³⁵	pe5						
攀	攀	pʰᴇ⁴⁴	phe1						
潘	潘	pʰᴇ⁴⁴	phe1						
盼	盼	pʰᴇ³⁵	phe5						
襻	襻	pʰᴇ³⁵	phe5						
判	判	pʰᴇ³⁵	phe5						
爿	爿	bᴇ¹²	be2						
盤	盘	bᴇ¹²	be2						
叛	叛	bᴇ¹²	be2						
伴	伴	bᴇ³¹	be4						
拌	拌	bᴇ³¹	be4						
瓣	瓣	bᴇ²⁴	be6						
辧	辧	bᴇ²⁴	be6						
滿	满	mᴇ⁴²	me3						
慢	慢	mᴇ³⁵	me5						
幔	幔	mᴇ³⁵	me5						
蠻	蛮	mɦᴇ¹²	me2						
瞞	瞒	mɦᴇ¹²	me2						
謾	谩	mɦᴇ¹²	me2						
漫	漫	mɦᴇ¹²	me2						
蔓	蔓	mɦᴇ¹²	me2						
翻	翻	fᴇ⁴⁴	fe1						
番	番	fᴇ⁴⁴	fe1						
反	反	fᴇ⁴²	fe3						
泛	泛	fᴇ³⁵	fe5						
販	贩	fᴇ³⁵	fe5						
凡	凡	vᴇ¹²	ve2						
帆	帆	vᴇ¹²	ve2						
藩	藩	vᴇ¹²	ve2						
煩	烦	vᴇ¹²	ve2						
礬	矾	vᴇ¹²	ve2						
繁	繁	vᴇ¹²	ve2						
范	范	vᴇ³¹	ve4						
範	范	vᴇ³¹	ve4						
犯	犯	vᴇ³¹	ve4						
晚	晚	vᴇ³¹	ve4						
飯	饭	vᴇ²⁴	ve6						
萬	万	vᴇ²⁴	ve6						
耽	耽	tᴇ⁴⁴	te1						
擔	担	tᴇ⁴⁴	te1	~任					
丹	丹	tᴇ⁴⁴	te1						
單	单	tᴇ⁴⁴	te1						
端	端	tᴇ⁴⁴	te1						
膽	胆	tᴇ⁴²	te3						
撣	掸	tᴇ⁴²	te3						
短	短	tᴇ⁴²	te3						
斷	断	tᴇ⁴²	te3	決~					
擔	担	tᴇ³⁵	te5	挑~					
旦	旦	tᴇ³⁵	te5						
鍛	锻	tᴇ³⁵	te5						
誕	诞	tᴇ³⁵	te5						
貪	贪	tʰᴇ⁴⁴	the1						
灘	滩	tʰᴇ⁴⁴	the1						
攤	摊	tʰᴇ⁴⁴	the1						
坍	坍	tʰᴇ⁴⁴	the1	~下來					
毯	毯	tʰᴇ⁴²	the3						
坦	坦	tʰᴇ⁴²	the3						
探	探	tʰᴇ³⁵	the5						
炭	炭	tʰᴇ³⁵	the5						
歎	叹	tʰᴇ³⁵	the5						
潭	潭	dᴇ¹²	de2						
談	谈	dᴇ¹²	de2						
譚	谭	dᴇ¹²	de2						
痰	痰	dᴇ¹²	de2						
壇	坛	dᴇ¹²	de2						
檀	檀	dᴇ¹²	de2						
彈	弹	dᴇ¹²	de2	~琴					
團	团	dᴇ¹²	de2						
糰	团	dᴇ¹²	de2						
但	但	dᴇ¹²	de2						
淡	淡	dᴇ³¹	de4						
斷	断	dᴇ³¹	de4	~絕					
蛋	蛋	dᴇ²⁴	de6						
段	段	dᴇ²⁴	de6						
緞	缎	dᴇ²⁴	de6						
埭	埭	dᴇ²⁴	de6	地名：~溪					
暖	暖	nᴇ⁴²	ne3						
難	难	nᴇ³⁵	ne5	患~					
南	南	nɦᴇ¹²	ne2						
男	男	nɦᴇ¹²	ne2						
難	难	nɦᴇ¹²	ne2	~易					
懶	懒	lᴇ⁴²	le3						
卵	卵	lᴇ⁴²	le3	卵					
濫	滥	lᴇ³⁵	le5						
纜	缆	lᴇ³⁵	le5						
爛	烂	lᴇ³⁵	le5						
亂	乱	lᴇ³⁵	le5						
覽	览	lᴇ³⁵	le5						
攬	揽	lᴇ³⁵	le5						
欖	榄	lᴇ³⁵	le5						
藍	蓝	lɦᴇ¹²	le2						
籃	篮	lɦᴇ¹²	le2						
蘭	兰	lɦᴇ¹²	le2						
攔	拦	lɦᴇ¹²	le2						
欄	栏	lɦᴇ¹²	le2						
鸞	鸾	lɦᴇ¹²	le2						
簪	簪	tsᴇ⁴⁴	tse1						
氈	毡	tsᴇ⁴⁴	tse1						
羶	羶	tsᴇ⁴⁴	tse1						
專	专	tsᴇ⁴⁴	tse1						
磚	砖	tsᴇ⁴⁴	tse1						
瞻	瞻	tsᴇ⁴⁴	tse1						
斬	斩	tsᴇ⁴²	tse3						
盞	盏	tsᴇ⁴²	tse3						
展	展	tsᴇ⁴²	tse3						
轉	转	tsᴇ⁴²	tse3	~眼，~圓圈					
蘸	蘸	tsᴇ³⁵	tse5						
沾	沾	tsᴇ³⁵	tse5						
占	占	tsᴇ³⁵	tse5	~卜，~地					
贊	赞	tsᴇ³⁵	tse5						
攢	攒	tsᴇ³⁵	tse5						
濺	溅	tsᴇ³⁵	tse5	~一身水					
戰	战	tsᴇ³⁵	tse5						
鑽	钻	tsᴇ³⁵	tse5						
參	参	tsʰᴇ⁴⁴	tshe1						
攙	搀	tsʰᴇ⁴⁴	tshe1						
餐	餐	tsʰᴇ⁴⁴	tshe1						
川	川	tsʰᴇ⁴⁴	tshe1						
穿	穿	tsʰᴇ⁴⁴	tshe1						
慘	惨	tsʰᴇ⁴²	tshe3						
粲	粲	tsʰᴇ⁴²	tshe3						
鏟	铲	tsʰᴇ⁴²	tshe3						
篡	篡	tsʰᴇ⁴²	tshe3						
喘	喘	tsʰᴇ⁴²	tshe3						
產	产	tsʰᴇ⁴²	tshe3						
竄	窜	tsʰᴇ³⁵	tshe5						
串	串	tsʰᴇ³⁵	tshe5						
慚	惭	dzᴇ¹²	dze2						
讒	谗	dzᴇ¹²	dze2						
殘	残	dzᴇ¹²	dze2						
纏	缠	dzᴇ¹²	dze2						
傳	传	dzᴇ¹²	dze2						
踐	践	dzᴇ¹²	dze2	蹈~					
站	站	dzᴇ³¹	dze4	車~，立~					
賺	赚	dzᴇ³¹	dze4						
暫	暂	dzᴇ²⁴	dze6						
錾	錾	dzᴇ²⁴	dze6						
餞	饯	dzᴇ²⁴	dze6	~行					
篆	篆	dzᴇ²⁴	dze6						
三	三	sᴇ⁴⁴	se1						
杉	杉	sᴇ⁴⁴	se1						
衫	衫	sᴇ⁴⁴	se1						
珊	珊	sᴇ⁴⁴	se1						
刪	删	sᴇ⁴⁴	se1						
山	山	sᴇ⁴⁴	se1						
酸	酸	sᴇ⁴⁴	se1						
閂	闩	sᴇ⁴⁴	se1						
栓	栓	sᴇ⁴⁴	se1						
陝	陕	sᴇ⁴²	se3						
閃	闪	sᴇ⁴²	se3						
散	散	sᴇ⁴²	se3	鞋子帶~開了，分~					
疝	疝	sᴇ³⁵	se5						
扇	扇	sᴇ³⁵	se5						
搧	搧	sᴇ³⁵	se5						
算	算	sᴇ³⁵	se5						
蒜	蒜	sᴇ³⁵	se5						
傘	伞	sᴇ³⁵	se5						
蠶	蚕	zᴇ¹²	ze2						
蟾	蟾	zᴇ¹²	ze2						
蟬	蝉	zᴇ¹²	ze2						
禪	禅	zᴇ¹²	ze2						
然	然	zᴇ¹²	ze2						
燃	燃	zᴇ¹²	ze2						
船	船	zᴇ¹²	ze2						
冉	冉	zᴇ³¹	ze4						
善	善	zᴇ³¹	ze4						
棧	栈	zᴇ³¹	ze4						
膳	膳	zᴇ³¹	ze4						
單	单	zᴇ³¹	ze4	姓					
禪	禅	zᴇ²⁴	ze6	~宗，~讓					
乾	干	kᴇ⁴⁴	ke1	~濕。白					
間	间	kᴇ⁴⁴	ke1	房~。白					
甘	甘	kᴇ⁴⁴	ke1						
柑	柑	kᴇ⁴⁴	ke1						
泔	泔	kᴇ⁴⁴	ke1	~腳水					
監	监	kᴇ⁴⁴	ke1						
尷	尴	kᴇ⁴⁴	ke1						
干	干	kᴇ⁴⁴	ke1						
肝	肝	kᴇ⁴⁴	ke1						
竿	竿	kᴇ⁴⁴	ke1						
感	感	kᴇ⁴²	ke3						
敢	敢	kᴇ⁴²	ke3						
橄	橄	kᴇ⁴²	ke3						
減	减	kᴇ⁴²	ke3	白					
桿	杆	kᴇ⁴²	ke3						
幹	干	kᴇ⁴²	ke3	~部					
揀	拣	kᴇ⁴²	ke3						
澗	涧	kᴇ³⁵	ke5	白					
鑑	鉴	kᴇ³⁵	ke5	白					
鐗	鐗	kᴇ³⁵	ke5	白					
看	看	kʰᴇ⁴⁴	khe1	~守					
堪	堪	kʰᴇ⁴⁴	khe1						
鉛	铅	kʰᴇ⁴⁴	khe1						
坎	坎	kʰᴇ⁴²	khe3						
艦	舰	kʰᴇ⁴²	khe3						
刊	刊	kʰᴇ⁴²	khe3						
凱	凯	kʰᴇ⁴²	khe3	~歌					
看	看	kʰᴇ³⁵	khe5	~見					
嵌	嵌	kʰᴇ³⁵	khe5						
鈣	钙	gᴇ	ge						
眼	眼	ŋᴇ⁴⁴	nge1	一~~：一點點					
餡	馅	ŋᴇ⁴²	nge3						
眼	眼	ŋᴇ⁴²	nge3						
雁	雁	ŋᴇ³⁵	nge5						
顏	颜	ŋɦᴇ¹²	nge2						
巖	巖	ŋɦᴇ¹²	nge2						
蚶	蚶	hᴇ⁴⁴	he1						
鼾	鼾	hᴇ⁴⁴	he1						
龕	龛	hᴇ⁴⁴	he1						
罕	罕	hᴇ⁴²	he3						
漢	汉	hᴇ³⁵	he5						
莧	苋	hᴇ³⁵	he5	~菜。白					
喊	喊	hᴇ³⁵	he5						
含	含	ɦᴇ¹²	ghe2						
函	函	ɦᴇ¹²	ghe2						
咸	咸	ɦᴇ¹²	ghe2						
銜	衔	ɦᴇ¹²	ghe2						
寒	寒	ɦᴇ¹²	ghe2						
韓	韩	ɦᴇ¹²	ghe2						
憾	憾	ɦᴇ¹²	ghe2						
閑	闲	ɦᴇ¹²	ghe2						
庵	庵	ʔᴇ⁴⁴	e1						
安	安	ʔᴇ⁴⁴	e1						
鞍	鞍	ʔᴇ⁴⁴	e1						
按	按	ʔᴇ⁴²	e3						
限	限	ʔᴇ⁴²	e3						
按	按	ʔᴇ⁴²	e3						
暗	暗	ʔᴇ³⁵	e5						
岸	岸	ʔᴇ³⁵	e5						
汗	汗	ʔᴇ³⁵	e5						
銲	銲	ʔᴇ³⁵	e5						
翰	翰	ʔᴇ³⁵	e5						
案	案	ʔᴇ³⁵	e5						
晏	晏	ʔᴇ³⁵	e5	白					
鞭	鞭	pi⁴⁴	pie1						
編	编	pi⁴⁴	pie1						
邊	边	pi⁴⁴	pie1						
蝙	蝙	pi⁴⁴	pie1						
篦	篦	pi⁴⁴	pie1						
扁	扁	pi⁴²	pie3						
匾	匾	pi⁴²	pie3						
變	变	pi³⁵	pie5						
遍	遍	pi³⁵	pie5	一~，~地					
篇	篇	pʰi⁴⁴	phie1						
偏	偏	pʰi⁴⁴	phie1						
片	片	pʰi³⁵	phie5						
騙	骗	pʰi³⁵	phie5						
便	便	bi¹²	bie2	~宜					
辨	辨	bi³¹	bie4						
辯	辩	bi³¹	bie4						
辮	辫	bi³¹	bie4						
便	便	bi²⁴	bie6	方~					
汴	汴	bi²⁴	bie6						
免	免	mi⁴²	mie3						
勉	勉	mi⁴²	mie3						
娩	娩	mi⁴²	mie3						
緬	缅	mi⁴²	mie3						
面	面	mi³⁵	mie5						
麵	面	mi³⁵	mie5						
綿	绵	ɦmi¹²	mie2						
棉	棉	ɦmi¹²	mie2						
眠	眠	ɦmi¹²	mie2						
顛	颠	ti⁴⁴	tie1						
舐	舐	ti⁴²	tie3						
點	点	ti⁴²	tie3						
典	典	ti⁴²	tie3						
腆	腆	ti⁴²	tie3						
店	店	ti³⁵	tie5						
添	添	tʰi⁴⁴	thie1						
天	天	tʰi⁴⁴	thie1						
舔	舔	tʰi⁴²	thie3						
㮇	㮇	tʰi³⁵	thie5	~筆，~蟋蟀					
甜	甜	di¹²	die2						
田	田	di¹²	die2						
填	填	di¹²	die2						
佃	佃	di¹²	die2						
錢	钱	di¹²	die2	俗作“鈿”					
墊	垫	di³¹	die4	~鈔票					
電	电	di²⁴	die6						
殿	殿	di²⁴	die6						
奠	奠	di²⁴	die6						
墊	垫	di²⁴	die6	~子					
臉	脸	di⁴²	die3						
斂	敛	di⁴²	die3						
殮	殓	di⁴²	die3						
練	练	di³⁵	die5						
鍊	鍊	di³⁵	die5						
楝	楝	di³⁵	die5						
廉	廉	lɦi¹²	lie2						
鐮	镰	lɦi¹²	lie2						
簾	帘	lɦi¹²	lie2						
連	连	lɦi¹²	lie2						
聯	联	lɦi¹²	lie2						
蓮	莲	lɦi¹²	lie2						
戀	恋	lɦi¹²	lie2						
尖	尖	tɕi⁴⁴	cie1						
兼	兼	tɕi⁴⁴	cie1						
艱	艰	tɕi⁴⁴	cie1						
間	间	tɕi⁴⁴	cie1	空~。白					
奸	奸	tɕi⁴⁴	cie1						
煎	煎	tɕi⁴⁴	cie1						
肩	肩	tɕi⁴⁴	cie1						
堅	坚	tɕi⁴⁴	cie1						
捐	捐	tɕi⁴⁴	cie1						
眷	眷	tɕi⁴⁴	cie1						
殲	歼	tɕi⁴⁴	cie1						
監	监	tɕi⁴⁴	cie1	文					
檢	检	tɕi⁴²	cie3						
簡	简	tɕi⁴²	cie3						
柬	柬	tɕi⁴²	cie3						
揀	拣	tɕi⁴²	cie3	文					
間	间	tɕi⁴²	cie3	~斷					
捲	卷	tɕi⁴²	cie3						
卷	卷	tɕi⁴²	cie3						
剪	剪	tɕi⁴²	cie3						
減	减	tɕi⁴²	cie3	文					
鑑	鉴	tɕi³⁵	cie5	文					
劍	剑	tɕi³⁵	cie5						
諫	谏	tɕi³⁵	cie5						
澗	涧	tɕi³⁵	cie5	文					
䥨	䥨	tɕi³⁵	cie5	文					
箭	箭	tɕi³⁵	cie5						
建	建	tɕi³⁵	cie5						
見	见	tɕi³⁵	cie5						
薦	荐	tɕi³⁵	cie5						
絹	绢	tɕi³⁵	cie5						
箋	笺	tɕi³⁵	cie5						
籤	签	tɕʰi⁴⁴	chie1						
簽	签	tɕʰi⁴⁴	chie1						
謙	谦	tɕʰi⁴⁴	chie1						
歉	歉	tɕʰi⁴⁴	chie1						
遷	迁	tɕʰi⁴⁴	chie1						
遣	遣	tɕʰi⁴⁴	chie1						
千	千	tɕʰi⁴⁴	chie1						
牽	牵	tɕʰi⁴⁴	chie1						
圈	圈	tɕʰi⁴⁴	chie1	圓~，豬~					
券	券	tɕʰi⁴⁴	chie1						
淺	浅	tɕʰi⁴²	chie3						
犬	犬	tɕʰi⁴²	chie3						
勸	劝	tɕʰi³⁵	chie5						
欠	欠	tɕʰi³⁵	chie5						
乾	乾	dʑi¹²	jie2	~坤					
虔	虔	dʑi¹²	jie2						
掮	掮	dʑi¹²	jie2						
鉗	钳	dʑi¹²	jie2						
拳	拳	dʑi¹²	jie2						
顴	颧	dʑi¹²	jie2						
件	件	dʑi³¹	jie4						
儉	俭	dʑi³¹	jie4						
鍵	键	dʑi²⁴	jie6						
健	健	dʑi²⁴	jie6						
腱	腱	dʑi²⁴	jie6						
倦	倦	dʑi²⁴	jie6						
仙	仙	ɕi⁴⁴	shie1						
鮮	鲜	ɕi⁴⁴	shie1	新~，~少					
軒	轩	ɕi⁴⁴	shie1						
先	先	ɕi⁴⁴	shie1						
宣	宣	ɕi⁴⁴	shie1						
喧	喧	ɕi⁴⁴	shie1						
險	险	ɕi⁴²	shie3						
癬	癣	ɕi⁴²	shie3						
顯	显	ɕi⁴²	shie3						
選	选	ɕi⁴²	shie3						
線	线	ɕi³⁵	shie5						
憲	宪	ɕi³⁵	shie5						
獻	献	ɕi³⁵	shie5						
楦	楦	ɕi³⁵	shie5						
潛	潜	ʑi¹²	zhie2						
錢	钱	ʑi¹²	zhie2						
前	前	ʑi¹²	zhie2						
全	全	ʑi¹²	zhie2						
泉	泉	ʑi¹²	zhie2						
賤	贱	ʑi²⁴	zhie6						
漸	渐	ʑi²⁴	zhie6						
羨	羡	ʑi²⁴	zhie6						
旋	旋	ʑi²⁴	zhie6						
踐	践	ʑi²⁴	zhie6	實~					
諺	谚	ȵi⁴⁴	gnie1						
研	研	ȵi⁴⁴	gnie1						
撚	捻	ȵi⁴⁴	gnie1						
黏	黏	ȵi⁴⁴	gnie1						
拈	拈	ȵi⁴⁴	gnie1						
染	染	ȵi⁴²	gnie3						
碾	碾	ȵi⁴²	gnie3						
軟	软	ȵi⁴²	gnie3						
阮	阮	ȵi⁴²	gnie3						
驗	验	ȵi³⁵	gnie5						
念	念	ȵi³⁵	gnie5						
硯	砚	ȵi³⁵	gnie5						
願	愿	ȵi³⁵	gnie5						
嚴	严	ȵɦi¹²	gnie2						
儼	俨	ȵɦi¹²	gnie2	~然					
年	年	ȵɦi¹²	gnie2						
鲇	鲇	ȵɦi¹²	gnie2	文					
原	原	ȵɦi¹²	gnie2						
源	源	ȵɦi¹²	gnie2						
巖	巖	ȵɦi¹²	gnie2						
閻	阎	ȵɦi¹²	gnie2						
淹	淹	ʔi⁴⁴	ie1						
閹	阉	ʔi⁴⁴	ie1						
掩	掩	ʔi⁴⁴	ie1						
艷	艷	ʔi⁴⁴	ie1						
焰	焰	ʔi⁴⁴	ie1						
醃	腌	ʔi⁴⁴	ie1						
嫌	嫌	ʔi⁴⁴	ie1						
閑	闲	ʔi⁴⁴	ie1						
煙	烟	ʔi⁴⁴	ie1						
焉	焉	ʔi⁴⁴	ie1						
嚥	咽	ʔi⁴⁴	ie1						
冤	冤	ʔi⁴⁴	ie1						
淵	渊	ʔi⁴⁴	ie1						
醃	腌	ʔi⁴⁴	ie1	~魚					
陷	陷	ʔi⁴⁴	ie1						
魘	魇	ʔi⁴²	ie3						
宛	宛	ʔi⁴²	ie3						
遠	远	ʔi⁴²	ie3						
也	也	ʔi⁴²	ie3	文					
演	演	ʔi⁴²	ie3						
晏	晏	ʔi³⁵	ie5	文					
堰	堰	ʔi³⁵	ie5						
燕	燕	ʔi³⁵	ie5						
宴	宴	ʔi³⁵	ie5						
現	现	ʔi³⁵	ie5						
縣	县	ʔi³⁵	ie5						
厭	厌	ʔi³⁵	ie5						
怨	怨	ʔi³⁵	ie5						
炎	炎	ɦi¹²	ye2						
鹽	盐	ɦi¹²	ye2						
咸	咸	ɦi¹²	ye2	文					
鹹	咸	ɦi¹²	ye2						
簷	檐	ɦi¹²	ye2						
言	言	ɦi¹²	ye2						
賢	贤	ɦi¹²	ye2						
弦	弦	ɦi¹²	ye2						
圓	圆	ɦi¹²	ye2						
員	员	ɦi¹²	ye2						
緣	缘	ɦi¹²	ye2						
沿	沿	ɦi¹²	ye2						
元	元	ɦi¹²	ye2						
袁	袁	ɦi¹²	ye2						
轅	辕	ɦi¹²	ye2						
園	园	ɦi¹²	ye2						
援	援	ɦi¹²	ye2						
玄	玄	ɦi¹²	ye2						
懸	悬	ɦi¹²	ye2						
眩	眩	ɦi¹²	ye2						
院	院	ɦi¹²	ye2						
官	官	kuᴇ⁴⁴	kue1						
棺	棺	kuᴇ⁴⁴	kue1						
觀	观	kuᴇ⁴⁴	kue1						
冠	冠	kuᴇ⁴⁴	kue1	衣~，~軍					
關	关	kuᴇ⁴⁴	kue1						
管	管	kuᴇ⁴²	kue3						
館	馆	kuᴇ⁴²	kue3						
貫	贯	kuᴇ²⁴	kue6						
灌	灌	kuᴇ²⁴	kue6						
罐	罐	kuᴇ²⁴	kue6						
慣	惯	kuᴇ²⁴	kue6						
寬	宽	kʰuᴇ⁴⁴	khue1						
款	款	kʰuᴇ⁴²	khue3						
筷	筷	kʰuᴇ³⁵	khue5	文					
環	环	guᴇ¹²	gue2						
掼	掼	guᴇ²⁴	gue6	~倒：踤倒					
歡	欢	huᴇ⁴⁴	hue1						
喚	唤	huᴇ³⁵	hue5	文					
煥	焕	huᴇ³⁵	hue5	文					
灣	湾	ʔuᴇ⁴⁴	ue1						
彎	弯	ʔuᴇ⁴⁴	ue1						
碗	碗	ʔuᴇ⁴²	ue3						
腕	腕	ʔuᴇ⁴²	ue3						
挽	挽	ʔuᴇ⁴²	ue3						
豌	豌	ʔuᴇ⁴²	ue3						
緩	缓	ʔuᴇ⁴²	ue3						
皖	皖	ʔuᴇ⁴²	ue3						
換	换	ʔuᴇ³⁵	ue5						
患	患	ʔuᴇ³⁵	ue5						
宦	宦	ʔuᴇ³⁵	ue5						
幻	幻	ʔuᴇ³⁵	ue5						
喚	唤	ʔuᴇ³⁵	ue5						
煥	焕	ʔuᴇ³⁵	ue5						
桓	桓	ɦuᴇ¹²	we2						
完	完	ɦuᴇ¹²	we2						
丸	丸	ɦuᴇ¹²	we2						
玩	玩	ɦuᴇ¹²	we2						
頑	顽	ɦuᴇ¹²	we2						
還	还	ɦuᴇ¹²	we2	~原，~有					
懷	怀	ɦuᴇ¹²	we2						
杯	杯	pei⁴⁴	pei1						
碑	碑	pei⁴⁴	pei1						
卑	卑	pei⁴⁴	pei1						
彼	彼	pei⁴⁴	pei1						
悲	悲	pei⁴⁴	pei1						
輩	辈	pei⁴⁴	pei1						
貝	贝	pei³⁵	pei5						
俾	俾	pei³⁵	pei5						
背	背	pei³⁵	pei5	~後					
胚	胚	pʰei⁴⁴	phei1						
坯	坯	pʰei⁴⁴	phei1	土~					
丕	丕	pʰei⁴⁴	phei1						
呸	呸	pʰei⁴²	phei3						
沛	沛	pʰei³⁵	phei5						
配	配	pʰei³⁵	phei5						
焙	焙	bei¹²	bei2						
陪	陪	bei¹²	bei2						
賠	赔	bei¹²	bei2						
裴	裴	bei¹²	bei2						
佩	佩	bei24	bei6						
備	备	bei24	bei6						
陛	陛	bei24	bei6						
婢	婢	bei24	bei6						
倍	倍	bei24	bei6						
背	背	bei24	bei6	~誦					
疿	疿	bei24	bei6	~子：疿子					
枚	枚	mei⁴²	mei3						
每	每	mei⁴²	mei3						
美	美	mei⁴²	mei3						
牝	牝	mei⁴²	mei3						
妹	妹	mei³⁵	mei5						
寐	寐	mei³⁵	mei5						
昧	昧	mei³⁵	mei5						
梅	梅	ɦmei¹²	mei2						
媒	媒	ɦmei¹²	mei2						
眉	眉	ɦmei¹²	mei2						
媚	媚	ɦmei¹²	mei2						
黴	霉	ɦmei¹²	mei2						
楣	楣	ɦmei¹²	mei2						
獃	獃	tei⁴⁴	tei1						
堆	堆	tei⁴⁴	tei1						
載	载	tei³⁵	tei5						
對	对	tei³⁵	tei5						
胎	胎	tʰei⁴⁴	thei1						
台	台	tʰei⁴⁴	thei1	~州					
推	推	tʰei⁴⁴	thei1						
腿	腿	tʰei⁴²	thei3						
態	态	tʰei³⁵	thei5						
退	退	tʰei³⁵	thei5						
褪	褪	tʰei³⁵	thei5						
臺	台	dei¹²	dei2						
苔	苔	dei¹²	dei2						
擡	擡	dei¹²	dei2						
怠	怠	dei¹²	dei2						
殆	殆	dei¹²	dei2						
待	待	dei³¹	dei4						
貸	贷	dei²⁴	dei6						
代	代	dei²⁴	dei6						
袋	袋	dei²⁴	dei6						
隊	队	dei²⁴	dei6						
耐	耐	nei⁴²	nei3						
內	内	nei³⁵	nei5						
乃	乃	nei³⁵	nei5						
儡	儡	lei⁴²	lei3						
壘	垒	lei⁴²	lei3						
累	累	lei⁴²	lei3	~積，連~					
類	类	lei³⁵	lei5						
淚	泪	lei³⁵	lei5						
來	来	lɦei¹²	lei2						
雷	雷	lɦei¹²	lei2						
災	灾	tsei⁴⁴	tsei1						
栽	栽	tsei⁴⁴	tsei1						
追	追	tsei⁴⁴	tsei1						
錘	锤	tsei⁴⁴	tsei1						
宰	宰	tsei⁴²	tsei3						
嘴	嘴	tsei⁴²	tsei3						
滓	滓	tsei⁴²	tsei3						
再	再	tsei³⁵	tsei5						
載	载	tsei³⁵	tsei5	年~，~重					
最	最	tsei³⁵	tsei5						
綴	缀	tsei³⁵	tsei5						
贅	赘	tsei³⁵	tsei5						
醉	醉	tsei³⁵	tsei5						
猜	猜	tsʰei⁴⁴	tshei1						
催	催	tsʰei⁴⁴	tshei1						
崔	崔	tsʰei⁴⁴	tshei1						
吹	吹	tsʰei⁴⁴	tshei1						
炊	炊	tsʰei⁴⁴	tshei1						
彩	彩	tsʰei⁴²	tshei3						
採	采	tsʰei⁴²	tshei3						
菜	菜	tsʰei³⁵	tshei5						
脆	脆	tsʰei³⁵	tshei5						
翠	翠	tsʰei³⁵	tshei5						
才	才	dzei¹²	dzei2						
材	材	dzei¹²	dzei2						
財	财	dzei¹²	dzei2						
随	随	dzei¹²	dzei2						
髓	髓	dzei¹²	dzei2						
垂	垂	dzei¹²	dzei2						
錘	锤	dzei¹²	dzei2						
槌	槌	dzei¹²	dzei2						
誰	谁	dzei¹²	dzei2						
墜	坠	dzei¹²	dzei2						
在	在	dzei³¹	dzei4						
睡	睡	dzei²⁴	dzei6						
遂	遂	dzei²⁴	dzei6						
隧	隧	dzei²⁴	dzei6						
顋	顋	sei⁴⁴	sei1						
鰓	鳃	sei⁴⁴	sei1	~板					
奢	奢	sei⁴⁴	sei1						
雖	虽	sei⁴⁴	sei1						
綏	绥	sei⁴⁴	sei1						
衰	衰	sei⁴⁴	sei1						
尿	尿	sei⁴⁴	sei1	文					
水	水	sei⁴²	sei3	文					
賽	赛	sei³⁵	sei5						
碎	碎	sei³⁵	sei5						
歲	岁	sei³⁵	sei5						
稅	税	sei³⁵	sei5						
銳	锐	sei³⁵	sei5						
