例字	注释	中古音	公平	九屋	潭下	甘棠	定江	三街	灵田	大圩力村	潮田	大境	海洋江尾
猜		蟹开一平咍清	tsʰa44	tsʰuo232	tsʰuɯ13	tʃʰye132	tsʰəi24	tsʰɤ13	tsʰɛ242	tsʰᴇɪ422	tsʰuᴇi43	tsʰuɛi42	tsʰɛ24
才		蟹开一平咍从	tsa21	tsuo33	tsuɯ33	tʃye22	tsəi22	tsɤ533	tsɛ33	tsʰᴇɪ33	tsʰe33	tsɛ33	tsɛ21
腮		蟹开一平咍心	sa44	suo232	suɯ13	ʃye132	səi24	sɤ13	sɛ242	sᴇɪ422	sæ43	ʃuæ42	ʃuæ24
该		蟹开一平咍见	ka44	kuo232	ka13	kəi44{变调}		ka13	kuᴇ242	kæ̃e422	kæ43	kæ42	kɛ24
开		蟹开一平咍溪	ha44	huo232	kʰuɯ13	kʰye132	kʰuəi24	kʰuɤ13	kʰuᵉi242	kʰʊᴇɪ422	kʰuᴇi43	kʰuɛi42	kʰuɘi24
待		蟹开一上海定		tuo53	tuɯ35	tye21	tsuəi31	tɤ21	tɛ44	tᴇɪ13	te24	tɛ53	tɛ53
彩		蟹开一上海清	tsʰa55	tsʰəi53{借桂}	tsʰuɯ21	tʃʰye44	tsʰəi13	tsʰɤ33	tsʰɛ35	tsʰæ̃e53{借桂}	tsʰæ55	tsʰɛ55	tsʰɛ55
在		蟹开一上海从	tsa33	tsuo21	tsuɯ21	tʃye44	tsəi13	tsɤ33	tsʰɛ21	tsʰᴇɪ21	tʃiᴇ33	tʃʰi53	tsʰɛ55
改		蟹开一上海见	ka55	kuo422	ka44	ka44	ka33	ka33	kuᴇ35	kæ̃e55	kæ55	kæ55	kɛ55
海		蟹开一上海晓	ha55	huo422	ha44	ha44	həi33	ha33	hɛ35	hæ̃e55	hæ55	hæ55	hæ55
戴		蟹开一去代端	tæ35	tuo35	tuɯ35	tye35	tsuəi55	tɤ35	lɛ55	ɗᴇɪ35	te24	tɛ35	tɛ53
态		蟹开一去代透		tʰəi35{借桂}	tʰuɯ53	tʰəi35	tsʰuəi55	tʰɤ35	tʰɛ55	tʰæ̃e35	tʰe24	tʰɛ35	tʰɛ55
袋		蟹开一去代定	tæ35	tuo53	tuɯ53	tye21	tsuəi31	tɤ21	tɛ44	tᴇɪ35	te21	tɛ21	tɛ53
耐		蟹开一去代泥	na53	nuo53	nuɯ53	ȵye21	luəi31	lɤ21	nɛ44	næ̃e35	ne21	nɛ21	nɛ53
再		蟹开一去代精	tsa35	tsuo35	tsəi35{借桂}	tʃye35	tsəi55	tsɤ35	tsɛ55	tsᴇɪ35	tse24	tsɛ35	tsɛ53
菜		蟹开一去代清	tsʰa35	tsʰuo53	tsʰuɯ53	tʃʰye35	tsʰəi55	tsʰɤ35	tsʰɛ55	tsʰᴇɪ35	tsʰæ24	tsʰɛ35	tsʰɛ55
赛		蟹开一去代心		suo35	sa35	sua35	sua55	ʃya35	sɛ55	sᴇɪ35	sæ24	ʃuæ35	ʃuæ53
概		蟹开一去代见		kʰuo35	kʰa35	kʰa35	ka55	kʰa35	kʰɛ55	kʰæ̃e35	kʰæ24	kæ35	kʰɛ53
碍		蟹开一去代疑	ŋa53	uo53	a53	15		ŋa21	ŋɛ44	ȵiɑ55		ŋɛ35	æ33
爱		蟹开一去代影	a35	uo35	əi35	ŋye35	ŋuəi55	uɤ35	uᵉi55	ʊᴇɪ35	æ24	ŋæ35	uɘi53
贝		蟹开一去泰帮	pæ35	pi35	pi35	pei35	pei55	pi35	pi55	ɓᴇɪ35	pᴇi24	pɛi35	pɘi33
带		蟹开一去泰端	ta53	tuo35	tuɯ35	tye35	tsuəi55	tɤ35	lɛ55	ɗᴇɪ35	te24	tɛ35	tɛ53
太		蟹开一去泰透	tʰæ35	tʰɤᵊ422	tʰuɯ53	tʰəi5	tsʰuəi55	tʰɤ35	tʰɛ55	tʰᴇɪ35	tʰe24	tʰɛ35	tʰɛ55
赖		蟹开一去泰来	læ53	nuo53	na53	nua21	luəi31	lya21	luᴇ44	læ̃e35	na21	la21	læ33
蔡		蟹开一去泰清	tsʰa35	tsʰuo53	tsʰuɯ53	tʃʰye35		tsʰɤ35	tsʰɛ55	tsʰᴇɪ35	tsʰe24	tsʰɛ35	tsʰɛ55
盖		蟹开一去泰见	ka35	kuo232	kuɯ35	kye35	kuəi55	kuɤ35	kuᴇ55	kʊᴇɪ35	kuᴇi24	kuɛi35	kuɘi53
艾		蟹开一去泰疑	ŋa53	uo53	a53	ŋye21	uəi31	ŋa21	ɛ44	ŋæ̃e35	uᴇi21	ŋæ35	ŋɛ53
害		蟹开一去泰匣	ha53	huo53	ha53	ha21	həi31	ha21	huᴇ44	hæ̃e21	hæ21	hɛ35	æ55
排		蟹开二平皆並	pᴇ21	puo33	pa33	pua22	pua22	pia533	puᴇ33	pæ̃e33	pæ33	pæ33	pæ21
埋		蟹开二平皆明	mᴇ21	muo33	ma33	mua22	mua22	mia533	muᴇ33	mæ̃e33	mæ33	mæ33	mæ21
斋		蟹开二平皆庄	tʃiᴇ44	tsuo232	tsa13	tsua132	tsua24	tʃya13	tsuᴇ242	tʃæ̃e422	tʃa43	tʃua42	tsuæ24
豺		蟹开二平皆崇		tsuo33	tsuɯ33	tsua22	tsəi22	tʃya533	tsuᴇ33	tʃæ̃e33	tsʰe33	tʃua33	tsɛ21
阶		蟹开二平皆见	ka44	kuo232	ka13	ka132	ka24	ka13	kuᴇ242	kæ̃e422	kæ43	kæ42	kɛ24
拜		蟹开二去怪帮	pᴇ35	puo35	pa35	pua35	pua55	pia35	puᴇ55	ɓæ̃e35	pæ24	pæ35	pæ53
介		蟹开二去怪见	ka35	kuo35	ka35	ka35	ka55	ka35	kuᴇ55	kʊᴇɪ35	kæ24	kæ35	kɛ53
戒		蟹开二去怪见	ka35	kuo35	ka35	ka44{变调}	ka55	ka35	kuᴇ55	kæ̃e35	kæ24	kæ35	kɛ53
牌		蟹开二平佳並	pᴇ21	puo33	pa33	pua22	pua22	pia533	puᴇ33	pæ̃e33	pæ33	pæ33	pæ21
柴		蟹开二平佳崇	tʃiᴇ21	tsuo33	tsa33	tsua22	tsua22	tʃya533	tsuᴇ33	tʃʰæ̃e33	tsʰuæ33	tʃua33	tsuæ21
筛	~子	蟹开二平佳生	ʃiᴇ44	suo232	sa13	sua132	sua24	ʃya13	suᴇ242	ʃæ̃e422	ʃuæ43	ʃua42	ʃuæ24
街		蟹开二平佳见	ka44	kuo232	ka13	ka132	ka24	ka13	kuᴇ242	kæ̃e422	kæ43	kæ42	kɛ24
鞋		蟹开二平佳匣	ha21	huo33	ha33	ha22	ha22	ha533	huᴇ33	hæ̃e33	hæ33	hæ33	hæ21
摆		蟹开二上蟹帮	pᴇ55	puo422	pa44	pua44	pua33	pia33	puᴇ35	ɓɑ̃55	pæ55	pæ55	pæ55
买		蟹开二上蟹明	mᴇ33	muo21	ma21	mua44	mua13	mia33	muᴇ21	mæ̃e13	mæ52	mæ53	mæ55
奶		蟹开二上蟹泥	na21{指乳房}/na33{奶奶}	nɛ422{奶水}/na422{奶奶}	nəi35{指乳房}/nəi44{奶奶}	nəi44	ləi55	ləi35{指乳房}/lya33{奶子}	nɛ44{奶奶}/tɕi44{吃奶}	nɑ̃55{吃奶}/tʃi35{吃奶}	læ24{奶妈}/tʃi24{吃奶}	nɛ53	nɛ55/tʃi55
解	~开	蟹开二上蟹见	ka55	kuo422	ka44	ka44	ka33	ka33	kuᴇ35	kæ̃e55	kæ55	kæ55	kɛ55
矮		蟹开二上蟹影	ᴇ55	uo422	a44	ŋa44	ŋa33	ŋa33	uᴇ35	æ̃e55	ŋæ55	æ55	æ55
派		蟹开二去卦滂	pʰᴇ35	pʰuo35	pʰa35	pʰa35	pʰa55	pʰia35	pʰuᴇ55	pʰæ̃e35{借桂}	pʰæ24	pʰæ35	pʰæ53
卖		蟹开二去卦明	mᴇ53	muo53	ma53	mua21	mua31	mia21	muᴇ44	mæ̃e21	mæ21	mæ21	mæ33
债		蟹开二去卦庄			15	tsəi35	tsəi55	tsɤ21	tsɛ55	tʃɑŋ35{训读}	tsʰæ21	tsɛ35{借桂}	tsɛ53
晒		蟹开二去卦生	ʃiᴇ35	suo35	sa35	sua35	sua55	ʃya35	suᴇ55	ʃæ̃e35	ʃuæ24	ʃua35	ʃuæ55
败		蟹开二去夬並	pæ53	puo53	pa53	pua21	pua31	pia21	puᴇ44	pæ̃e21	pæ21	pæ21	pæ33
迈		蟹开二去夬明	mᴇ53	muo53	ma53	mua21	mua31	mia21	muᴇ44	la35{训读}/mɑ̃21	mæ21	mæ21	mæ33
寨		蟹开二去夬崇	tʃiᴇ53	tsa53	tsa53	tsua21	tsəi24	tsa21	tsuᴇ44	tʃʰæ̃e21	tsʰæ21	tʃua21	tsuæ33
币		蟹开三去祭並	pᴇ53	pi35{借桂}	pi53	pi21	pi31	pi21	pi44	pi35	pi24{借桂}	pi21	pi33
厉		蟹开三去祭来	læ53	ni35{借桂}	ni53	ni21	li31	li21	li44	li21	ȵi21	li21	li33
际		蟹开三去祭精		tʃi35{借桂}	tʃi35{借桂}	tʃi35	tʃi55	tʃi35	tɕi55	tsi35	tʃi35{借桂}	tʃi35	tsi53
制	~造	蟹开三去祭章	tsʊo55{训读}	tsɿ35	tsɿ35	tsɿ35	tsɿ55	tsɿ35	tsɿ55	tsɿ35	tsɿ35{借桂}	tʃi21	tʃi53
世		蟹开三去祭书	sᴇɪ35	ʃiᴇ35	ʃiɛ35	ʃi35	ʃi55	ʃi35	ɕi55	ʃi35	ʃi24	ʃi35	ʃi53
艺		蟹开三去祭疑	ȵi53	i35{借桂}	i35	i35	i55	i35	i44	i35	i24	i35	i53
蓖		蟹开四平齐帮	pæ44	pi35{借桂}	pi35{借桂}	pi21	pi55	pi13	pi242	pʰi33	pi21{变调}	pi35{借桂}	pi33
批		蟹开四平齐滂	pʰᴇɪ44	pʰi232	pʰi13	pʰi132	pʰi24	pʰi13	pʰi242	pʰi422	pʰi43	pʰi42	pʰi24
迷		蟹开四平齐明	mæ21	mi21{借桂}	mi33	mi5	mi22	mi533	miᴇn33	mi21	mi33	mi21	mi21
低		蟹开四平齐端	tᴇɪ44	tɛ232	ti13	ti132	ti24	ta13	tɛ242	ɗi422	te43	tɛ42	tɛ24
梯		蟹开四平齐透	tʰᴇɪ44	tʰɛ232	tʰiɛ13	tʰi44{变调}	tʰi24	tʰa13	tʰɛ242		tʰe43	tʰɛ42	tʰɛ24
提		蟹开四平齐定	tᴇɪ21	tɛ33	ti33	ti22	ti22	ti533	ti33	ti33	ti33	ti33	ti21
泥		蟹开四平齐泥	nᴇɪ21	nɛ33	niɛ33	na22	li22	la533	nɛ33	ȵi33	ne33	nɛ33	nɛ21
犁		蟹开四平齐来	lᴇɪ21	nɛ33	niɛ33	ni22	li22	li533	lɛ33	li33	ne33	lɛ33	lɛ21
齐		蟹开四平齐清	tsᴇɪ21	tsɛ33	tʃiɛ33	tʃi22	tʃi22	tsa533	tsɛ33	tsʰi33	tsʰe33	tsɛ33	tsɛ21
西		蟹开四平齐心	sᴇɪ44	sɛ232	ʃi13	ʃi132	ʃi24	ʃi13	ɕi242	si422	ʃi43	ʃi42	si24
鸡		蟹开四平齐见	kᴇɪ44	kɛ232	tʃiɛ13	ki132	tʃi24	tʃia13	kɛ242	tʃi422	ke43	kɛ42	kɛ24
米		蟹开四上荠明	mᴇɪ33	mɛ21	miɛ21	mi44	mi13	ma33	mɛ21	mi13	me52	mɛ53	mɛ55
底		蟹开四上荠端	tᴇɪ55	tɛ422	tiɛ44	ti44	ti33	ta33	lɛ35	ɗi55	te55	tɛ55	tɛ55
体		蟹开四上荠透	tʰᴇɪ55	tʰi33	tʰi44	tʰi44	tʰi33	tʰi33	tʰi35	tʰi55	tʰi55	tʰi55	tʰi55
弟		蟹开四上荠定	tᴇɪ33	tɛ33{变调}	tiɛ33{变调}	ta44	ti31	ti21/ta33	tɛ21	ti33{变调}	te52	tɛ35	tɛ21
礼		蟹开四上荠来	læ33	ni21	ni21	ȵi44	li13	li33	li21	li13	ȵi52	li53	li55
挤		蟹开四上荠精	tsi55	tsɛ5	tʃi44	tʃi44	tʃi33	tʃi33	tɕi35	tsi55	tʃi55	tʃi55	tsi55
洗		蟹开四上荠心	sᴇɪ55	sɛ422	ʃiɛ44	ʃi44	ʃi33	sa33	sɛ35	si55	se55	sɛ55	sɛ55
启		蟹开四上荠溪		tʃʰi53	tʃʰi53{借桂}	kʰi44	tʃʰi13	tʃʰi33	kʰi35	tʃʰi53{借桂}	tʃʰi55	tʃʰi53	tʃʰi55
闭		蟹开四去霁帮	pᴇɪ35	pɛ35	pi35	pi21	pi55	pi35	pi55	ɓi35	pi24	pi35	pi33
鐾	~刀	蟹开四去霁並	pᴇɪ53		piɛ53	15	pei31	pa21		pi21		pʰɛ35	pɘi33
谜		蟹开四去霁明	mᴇɪ53	mi21{借桂}	mi35	mi21	mi22	mi21	mi44	mi33	mi24	mi21	mi33
替		蟹开四去霁透	tʰᴇɪ35	tʰi53	tʰi53	tʰi35	tʰi55	tʰa35	tʰi55	tʰi35	tʰe24	tʰɛ35	tʰɛ55
第		蟹开四去霁定	tᴇɪ53	tɛ53	ti53	ti21	ti31	ti21	tɛ44	tᴇɪ21	ti21	tɛ35	ti33
细		蟹开四去霁心	si35	sɛ35	ʃi35	ʃi35	ʃi55	ʃi35	ɕi55	si35	se24	sɛ35	sɛ55
计		蟹开四去霁见	tʃi35{借桂}	tʃi35	tʃi35	ki35	tʃi55	tʃi35	tɕi55	tʃi35	tʃi24	tʃi35	tʃi53
杯		蟹合一平灰帮	pᴇɪ44	pɤᵊ232	puɯ13	pei132	pei24	pɤ13	puᵉi242	ɓᴇɪ422	pᴇi43	pɛi42	pɘi24
胚		蟹合一平灰滂		pʰɤᵊ232	15	pʰei132	pʰei24	pʰɤ13		pʰᴇɪ33{借桂}		pʰɛi42	pʰɘi24
赔		蟹合一平灰並	pʊ21	pɤᵊ33	puɯ33	pei22	pei22	pɤ533	puᵉi33	pᴇɪ33	pᴇi33	pɛi33	pɘi21
煤		蟹合一平灰明	mʊ21	mɤᵊ33	muɯ33	mei22	mei22	mɤ533	muᵉi33	mᴇɪ33	mᴇi33	mɛi33	mɘi21
堆		蟹合一平灰端	tʊ44	tɤᵊ232	tuɯ13	tʏ132	tei24	tɤ13	luᵉi242	ɗᴇɪ422	tuᴇi43	tuɛi42	tuɘi24
推		蟹合一平灰透	tʰʊ44	tʰɤᵊ232	tʰuɯ13	tʰʏ132	tʰei24	tʰɤ13	tʰuᵉi242	tʰᴇɪ422	tsʰoŋ55{训读}	tʰuɛi42	tʰuɘi24
雷		蟹合一平灰来	lʊ21	nɤᵊ33	nuɯ33	ȵʏ22	lei22	lɤ533	luᵉi33	lᴇɪ33	nuᴇi33	luɛi33	luɘi21
催		蟹合一平灰清	tsʰʊ44	tsʰɤᵊ232	tʃʰy13	tsʰei132	tsʰuei24	tsʰɤ13	tsʰuᵉi242	tsʰᴇɪ33{借桂}	tsʰuᴇi43	tsʰuɛi42	tsʰuɘi24
灰		蟹合一平灰晓	fʊ44	hɤᵊ232	huɯ13/fuɯ13	huei132	fei24	fɤ13	huᵉi242	fʊᴇɪ33{借桂}	huᴇi43	huɛi42	fɘi24
回		蟹合一平灰匣	u21	ɤᵊ33	uəi33	uei22	uei22	fɤ533	huᵉi33	fʊᴇɪ33	uᴇi33	uɛi33	uɘi21
倍		蟹合一上贿並	pʊ53	pɤᵊ53	puɯ53	pei21	pei31	pɤ21	puᵉi44	pᴇɪ21	pᴇi21	pɛi21	pɘi33
每		蟹合一上贿明		mɤᵊ21	mei21	mei44	mei13	mɤ33	muᵉi21	mᴇɪ13	mᴇi52	mɛi53	mɘi55
腿		蟹合一上贿透	ki4{训读}	tʰɤᵊ21	tʰuɯ44	kiɑu5	tʰei13	tʰɤ33	tʰei35	tʰᴇɪ55	tʰuᴇi55	tʰuɛi55	tʰuɘi55
罪		蟹合一上贿从	tsʊ33	tsɤᵊ53	tsuɯ53	tʃʏ21	tsei31	tsɤ21	tsuᵉi44	tsʰᴇɪ21	tsʰuᴇi21	tsuɛi21	tsuɘi33
悔		蟹合一上贿晓		huᴇi53{借桂}	fei44	huei44	fei33	fᴇi33	huᵉi35	fʊᴇɪ55	huᴇi55	huɛi55	fɘi55
汇		蟹合一上贿匣		hɤᵊ53	huɯ53	huei21	fei31	fɤ21	huᵉi44	fʊᴇɪ21	huᴇi24	huɛi21	fɘi33
辈		蟹合一去队帮	pʊ35	pɤᵊ35	puɯ35	pei21	pei55	pɤ21	puᵉi55	ɓᴇɪ35	pᴇi24	pɛi35	pɘi33
配		蟹合一去队滂	pʰʊ35	pʰɤᵊ53	pʰuɯ53	pʰei35	pʰei55	pʰɤ35	pʰuᵉi55	pʰᴇɪ35	pʰᴇi24	pʰɛi35	pʰɘi53
背	~诵	蟹合一去队並	pʊ53	pɤᵊ53	puɯ35	pei35	pei31	pɤ21	puᵉi44	pᴇɪ21	pᴇi24	pɛi35	pɘi53
妹		蟹合一去队明	mʊ53	məi35	mei35	mei35	mei31	mɤ21	mei44	mᴇɪ35	mᴇi21	mɛi21	mɘi24
对		蟹合一去队端	tʊ35	tiau53	tiɑu53/tuɯ35	tʏ35	tei55	tɤ35	luᵉi55	ɗᴇɪ35	tuᴇi24	tuɛi35	tuɘi53
退		蟹合一去队透	tʰʊ35	tʰɤᵊ53	tʰuɯ53	tʰʏ35	tʰei55	tʰɤ35	tʰuᵉi55	tʰᴇɪ35	tʰuᴇi24	tʰuɛi35	tʰuɘi53
队		蟹合一去队定	tʊ35	tɤᵊ35	tuɯ53	tʏ35	tei55	tɤ35	tuᵉi44	tᴇɪ35	tuᴇi24	tuɛi35	tɘi33/tuɘi53
内		蟹合一去队泥	nʊ53	nɤᵊ53	nuɯ53	nei21	lei31	lɤ21	nuᵉi44	li21	nuᴇi21	nuɛi35	nɘi33
累	困乏	蟹合一去队来	lʊ21/la35	nɯ53	ny53	ȵʏ21	lei31	ly21	luᵉi44	lᴇɪ21	ȵiɑ33	nuɛi21	luɘi33
碎		蟹合一去队心	sʊ35	sɤᵊ35	sᵘɔ35/suɯ35	ʃʏ35	sei55	sɤ35	suᵉi55	sᴇɪ35	suᴇi24	suɛi35	suɘi53
块		蟹合一去队溪	fa35	hua53	kʰua53	kʰua35	kʰua55	kʰua35	kʰuᴇ55	kʰʊæ̃e35	kʰuæ24	kʰuæ35	kʰuæ53
最		蟹合一去泰精	tsᴇɪ35{借桂}	tsu35{借桂}	tsuei35	tsuei35	tsei55	tsuᴇi35	tsuᵉi55	tsᴇɪ35{借桂}	tʃy24	tsuɛi21	tsuɘi53
外		蟹合一去泰疑	ʊᴇ53	mɤᵊ53	muɯ53	uəi21	mei31	uɤ21{内外}/mɤ21{外婆}	mei44	mᴇɪ21	uæ21	mɛi21	uæ33/mɘi33
会	开~	蟹合一去泰匣	fʊ53	hɤᵊ53	huɯ53	huei21	fei31	fɤ21	huᵉi44	fʊᴇɪ21	huᴇi21	huɛi21	fɘi33
怀		蟹合二平皆匣		hua33	huəi21{借桂}	huəi22	həi22	fa533	huᴇ33	fʊæ̃e33	huæ33	huæ33	fæ21
怪		蟹合二去怪见	kʊᴇ35	kua35	kua35	kua35	kua55	kua35	kuᴇ55	kʊæ̃e35	kuæ24	kuæ35	kuæ53
坏		蟹合二去怪匣	fᴇ53	hua53	hua53	hua21	hua31	fa21	huᴇ44	fʊæ̃e21	huæ21	huæ21	fæ33
歪		蟹合二平佳晓	ʊᴇ44	ua232	ua13	ua132	ua24	ua35	uᴇ242	ʊæ̃e422	uæ43	uæ42	uæ24
拐		蟹合二上蟹见	kʊᴇ55	kua422	kua44	kua44	kua33	kua33	kuᴇ35	kʊæ̃e55	kuæ43	kuæ55	kuæ55
挂		蟹合二去卦见	kʊa35	kua35	kua35	kᵘɔ35	kua55	kuɔ35	kua55	kʊɔ55	kuɑ24	kua35	kua53
画		蟹合二去卦匣	fɒ53	hua53	huɯ53	hᵘɔ132	hua31	huɔ21	hua44	hʊɔ21	huɑ21	hua21	hua33
快		蟹合二去夬溪	fa35	hua35	kʰua53	kʰua35	kʰua55	kʰua35	kʰuᴇ55	kʰʊæ̃e35	kʰuæ24	kʰuæ35	kʰuæ53
话		蟹合二去夬匣	fɒ53	hua53	huɯ53	hᵘɔ21	hua31	huɔ21	hua44	hʊɔ21	huɑ21	hua21	hua33
岁		蟹合三去祭心	sᴇɪ35	sɛ35	ʃy35	ʃʏ35	sei55	ʃy35	suᵉi55	ʃy35	suᴇi24	suɛi35	suɘi53
税		蟹合三去祭书	ʃʊᴇɪ35	sɤᵊ35	ʃy35	ʃʏ35	suei55	ʃy35	suᵉi55	ʃʊᴇɪ35	suᴇi24	suɛi35	suɘi53
卫		蟹合三去祭云		uᴇi35	uei21	uei21	uei31	uᴇi21	uᵉi44	ʊᴇɪ35	uᴇi24	uɛi35	uɘi33
肺		蟹合三去废敷	fᴇɪ35{借桂}	fᴇi35	fei35	fei35	fei55	fᴇi35	fi55	fʊᴇɪ35	fᴇi24	fɛi35	fɘi53
桂		蟹合四去齐见	kʊæ35	kuᴇi35	kuei35	kuei35	kuei55	kuᴇi35	kuᵉi55	kʊᴇɪ35	kuᴇi24	kuɛi35	kuɘi53
惠		蟹合四去霁匣		huᴇi35	huei35	huei21	fei24{借桂}	fᴇi35	huᵉi44	fʊᴇɪ21	huᴇi24	huɛi35	fɘi33
碑		止开三平支帮	pæ44	pᴇi232	pei13	pei132	pei24	pɤ13{老派}/pᴇi13{新派}	puᵉi242	ɓᴇɪ422	pᴇi43	pɛi42	pɘi24
披		止开三平支滂	pʰæ44	pʰi232	pʰi13	pʰi132	pʰi24	pʰi13	pʰi242	pʰi422	pʰi43	pʰi42	pʰi24
皮		止开三平支並	pæ21	pi33	pi33	pi22	pi22	pi533	pi33	pi33	pi33	pi33	pi21
脾		止开三平支並	pʰi21{借桂}	pʰi21{借桂}	pi33	pʰi44{变调}	pi22	pi533	pei33	pi33	pi33	pi33	pi21
篱		止开三平支来	læ21	ni33	ni33	ȵi22	li22	li533	li33	li33	ȵi33	li33	li21
撕		止开三平支心	tʃʰiᴇ55{训读}	sa53	ʃi53	sɿ132	sɿ31	sa21{多说}/sɿ21	sɿ242		sɿ43	sɿ42	sɿ24
池		止开三平支澄		tsɿ33	tsʰɿ21{借桂}	tsʰɿ22	tsɿ22	tsɿ533	tsɿ33{池塘}/tsʰɿ33{水池}	tsʰɿ21{借桂}		tʃʰi33	tʃi21
支		止开三平支章	tʃi44	tʃi232	tʃi13	tʃi132	tsɿ24	tʃi13	tsɿ242	tʃi422	tsɿ33{借桂}	tʃi42	tʃi24
奇		止开三平支群	ki21	ki33	tʃi33	ki22	tʃʰi22	tʃi533	ki33		tʃʰi33	tʃʰi21{借桂}	tʃi21
移		止开三平支以	i21	i33	i33	i22	i22	i533	i33	i33	i21{借桂}	i33	i21
被	~子	止开三上纸並	pæ33	pi21	pi21	pi21	pi13	pi33	pi21	pᴇɪ35	pᴇi24	pɛi35	pi53
紫		止开三上纸精	tsɿ53{借桂}	tsɿ422	tsɿ53{借桂}	tsɿ44	tsɿ33	tsɿ33	tsɿ35	tsɿ55	tsɿ55	tsɿ55	tsɿ55
纸		止开三上纸章	tʃi55	tʃi422	tʃi44	tʃi44	tʃi33	tʃi33	tɕi35	tʃi55	tʃi55	tʃi55	tʃi55
是		止开三上纸禅	tʃi33	tʃi21	tʃi21	ʃi44	ʃi31	ʃi33	tɕʰi21	ʃi21	tʃʰi52	ʃi53	tʃʰi21
技		止开三上纸群	tʃi35{借桂}	tʃi35{借桂}	tʃi35	tʃi35	tʃi55	tʃi35	tɕi44	tʃi35	tʃi24	tʃi35	
椅		止开三上纸影	taŋ35{训读}		i44	i44	i33	i33	i35	i55	i55	i55	i55
避		止开三去寘並	pæ53	pi53	pi53	pi21	pi31	pi21	pi44	pi35	pi24	pi21	pi53
荔		止开三去寘来	li35/læ21{荔浦}	ni53	ni53	ȵi21	li31	li21	li44	li21	ȵi24	li21	li33
刺		止开三去寘清	tsʰæ35	tsʰɿ53	tsʰɿ53	tsʰɿ35	tsʰɿ55	tsʰɿ35	tsʰɿ55	tsʰɿ35	tsʰɿ24	tsʰɿ35	tsʰɿ53
智		止开三去寘知	tʃi35{借桂}	tsɿ53	tsɿ35	tsɿ35	tsɿ31	tsɿ35	tsɿ35	tʃi35	tsɿ24	tʃi35	tʃi53
翅		止开三去寘书	tʃi35	tʃi35	tʃi35	tʃi35	tʃi55	tʃi35	tɕi55	tʃʰi35	tʃʰi24	tʃi35	tʃi53
寄		止开三去寘见	ki35	ki35	tʃi35	ki35	tʃi55	tʃi35	ki55	tʃi35	tʃi24	tʃi35	tʃi53
义		止开三去寘疑	i35	i21{借桂}	i53	i21	i55	i35	ȵi33	i35	i21	i35	i33
戏		止开三去寘晓	hi35	ʃi35	ʃi35	hi35	ʃi55	ʃi35	ɕi55	ʃi35	ʃi24	ʃi35	ʃi53
易	难~	止开三去寘以	i53	i21	i21	i35	i55	i35	i44	i21	i21	i21	i33
悲		止开三平脂帮			pei131	pei132	pei24	pɤ13	puᵉi242		pᴇi43	pɛi42	pɘi24
枇	~杷	止开三平脂並	pæ21	pi33	pi33	pi22	pi22	pi21	pi33	pi33	pi33	pi22	pi21
眉		止开三平脂明	mæ21		mi33	mi22	mi22	mi533	mi33		mi33	mɛi33	mi21/mɘi21
尼		止开三平脂泥	nᴇɪ21	ni21{借桂}	ni33	ȵi22	li22	ni533	ȵi33	ȵi33	ȵi33	nɛi33	ȵi21
梨		止开三平脂来	læ21	ni33	ni33	ȵi22	li22	li533	li33	li33	ȵi33	li33	li21
资		止开三平脂精	tsɿ33{借桂}	tsɿ232	tsɿ13	tsɿ132	tsɿ24	tʃi13	tsɿ242	tsɿ33{借桂}	tsɿ43	tsɿ42	tsɿ24
瓷		止开三平脂从	tsæ21	tsɿ33	tsɿ33	tsɿ22	tsɿ22	tsɿ533	tsɿ33	tsʰɿ33{借桂}	tsʰɿ21{借桂}	tsɿ33	tsɿ21
私		止开三平脂心	sæ44	sɿ232	sɿ13/ʃi13	sɿ132	sɿ24	sɿ13	sɿ242	sɿ33{借桂}	sɿ43	sɿ42	
迟		止开三平脂澄	tæ21	ti33	ti33	tsʰɿ21{借桂}	ti22	ti533	tɕʰiᴇ21/ti33	ti33	ti33	tʃi33/ti33	ti21/tʃʰi21
师		止开三平脂生	sɿ44	sɿ232	sɿ13	sɿ132	sɿ24	sɿ13	sɿ242	sɿ33{借桂}	sɿ43	sɿ42	sɿ24
尸	~体	止开三平脂书	ʃi44	ʃi232	ʃi13	sɿ132	sɿ24	ʃi13	sɿ242	ʃi33{借桂}	ʃi43	ʃi42	ʃi24
饥	~饿	止开三平脂见	ki44	ki232	tʃi13	ki132	tʃi24	tʃi13	ki242	tʃi33{借桂}	tʃi43	tʃi42	tʃi24
姨		止开三平脂以	i21{借桂}	i33	i33	i22	i22	i533	i33	i33		i33	i21
比	~较	止开三上旨帮	pæ55	pi422	pi44	pi44	pi33	pi33	pi35	ɓi55	pi55	pi55	pi55
美		止开三上旨明	ʊæ33		mei53	mei44	mei13	mᴇi33	mei21	hɑʊ21{训读}	mᴇi52	mɛi53	mɘi55
死		止开三上旨心	sæ55	sɿ422	sɿ44	sɿ44	sɿ33	sɿ33	sɿ35	sɿ55	sɿ55	sɿ55	sɿ55
指		止开三上旨章	tʃi55	tʃi422	tʃi44	tʃi44	tsɿ33	tʃi33	tsɿ35	tʃi55		tʃi55	tʃi55
屎		止开三上旨书	ʃi55	ʃi422	ʃi44	ʃi44	ʃi33	ʃi33	ɕi35	ʃi55	ʃi55	ʃi55	ʃi55
