	注释：-白读；文读
s	[7]缩叔=淑属粟[8]镯孰俗蜀赎熟
dz	[8]辱褥肉
k	[7]菊[8]局
kʰ	[7]曲
h	[7]畜{～牧，牲～}旭
ɡ	[8]玉
∅	[7]毓育欲浴
#iŋ	
p	[1]冰崩=兵[2]爿{正～：右边；倒～：左边}朋平=坪=[3]丙柄=饼=秉[5]并拼[6]病=並
pʰ	[1]烹𩩍=[2]彭=硼=萍评[5]聘
b	[2]名=铭螟暝=瞑=明=盟萌[3]孟蜢=猛=[6]命=
t	[1]登灯丁=钉疔[2]澄橙=亭庭=蜓重-[3]等=顶鼎酊[5]钉盯中-[6]郑=定=邓锭=
tʰ	[1]汀厅=听=蛏=[2]程=呈=停=腾=謄[3]逞挺艇[5]听
l	[2]灵铃零囹龄陵菱宁咛龙-能仍[3]冷领=岭=[6]另令冗{松}
ts	[1]正=征睛钟-舂晶=曾增僧争=蒸贞[2]晴情=层曾{～经}[3]井=整种-肿-[5]正=政证症众-种-[6]静赠=
tsʰ	[1]青蜻称清千-菁[2]松-[3]筅-请=[5]秤=称
s	[1]升=星=先=声=甥牲腥[2]成=城=乘=承=丞[3]省醒=[5]性胜姓=圣=[6]盛剩=
k	[1]京=庚=间-更=惊=弓-经=[3]拣-耿景炯[5]警劲竟径[6]竞
kʰ	[1]坑=轻=倾筐-氢=卿[2]琼擎[5]庆[6]共
h	[1]兄=兴胸-亨[2]行=桓形型刑雄-还-[5]兴[6]幸杏行{品～}
ɡ	[2]凝迎=[3]研[6]硬=
∅	[1]英莺鹰婴=樱膺[2]荣营=莹赢=蝾盈=[3]往-影=永颍咏泳涌[5]应=壅
#ik	
p	[7]逼壁=璧=[8]白=帛=
pʰ	[7]拍=僻劈擘{巨～}癖[8]甓
b	[8]墨=觅=麦=默脉=
t	[7]的得=德摘=滴=[8]狄荻籴=择泽掷迪敌翟轴-
tʰ	[7]斥折=踢=饬惕[8]宅=
l	[8]力=历=烁栗=绿-
ts	[7]责积迹=绩叔-则[8]贼=
tsʰ	[7]策册=赤=测粟尺={～牍}
s	[7]析色塞式拭惜宿{果子够～}锡释瑟蟋{～蟀}饰悉[8]席=石=熟-
k	[7]革隔=激击戟[8]极
kʰ	[7]刻客=隙克
h	[7]黑赫劾[8]或域获惑划
ɡ	[7]逆额=
∅	[7]益=乙扼厄[8]翼=亦=疫=役=
#u	
p	[2]烰[3]斧-{～头}[5]富-[6]妇{新～}伏{～鸡，原文作“宓”}
pʰ	[2]芙浮葡[3]殕{发霉}
b	[2]巫诬芜无毋[3]舞武侮母[6]务雾
t	[1]推-堆-蛛-[2]厨橱[3]拄[5]注
ts	[1]朱珠=诛资兹[2]瓷=[3]主煮子=[5]注驻蛀=[6]住
tsʰ	[1]舒-[5]厝次
s	[1]舒=输私=师=思司斯[2]殊辞饲={～养}词[3]死=使史驶=[5]四=肆=戍赐庶[6]祀似士事屿
dz	[3]愈[6]裕
k	[1]龟-痀[3]久-韭-炙-[6]舅-旧-
kʰ	[1]丘邱[2]跍{蹲}[6]臼-
h	[1]夫肤灰{训读}烌{灰}[2]浮=扶=俘芙=符[3]脯{肉～}腐={～败}甫府俯斧=殕=[5]赴富付傅副[6]腐{豆～}妇{～女}负父附
ɡ	[2]牛-
∅	[6]有-
#uʔ	
p	[7]发{～笋}
tʰ	[7]托
#ua	
p	[5]簸{～箕}
pʰ	[5]破
b	[2]磨{～牙}
t	[5]带[6]大汰{～内：地名}
tʰ	[1]拖[5]泰[6]豸{虫～}
l	[2]箩{米～，原文作阴平，应为误记}[6]赖-
ts	[2]蛇-[3]纸[6]誓{咒～}
tsʰ	[5]蔡-[6]□{带；引导}
s	[1]沙-[3]徙{搬～}
k	[1]歌柯{姓}瓜过{菜～}[5]挂卦过盖-{名}芥-{～菜}
kʰ	[1]夸胯[3]可{小可}[5]靠
h	[1]花[2]华铧[5]化[6]华
ɡ	[3]我-瓦[6]外-
∅	[1]娃蛙娲[2]何{无奈～}[3]倚-[6]画话划
#uaʔ	
p	[7]拔[8]跋钹
pʰ	[7]泼
b	[7]抹[8]末{药～}
tʰ	[7]獭脱
l	[8]辣捋热
ts	[8]𧑎
tsʰ	[7]擦-
s	[7]煞-刷-
k	[7]葛-刮-割-
kʰ	[7]渴-阔-
h	[7]喝-[8]伐
∅	[8]活{原文作“话”，应为有误}
#uã	
p	[1]般-搬-[2]盘-[3]坂-[5]半-[6]拌-绊-
pʰ	[1]潘-[2]盘-[5]判-贩-[6]伴-
m	[1]□{原文注释不清}[2]麻瞒[3]满
t	[1]单-[2]坛-弹-[5]旦[6]段-弹-{～射}懒-{贫～，原文作“惰”}
tʰ	[1]摊-滩-[5]炭
n	[2]栏-{原文作阴平，应为误记}拦-{原文作阴平，应为误记}[6]烂-懒僆{鸡～：未下蛋的母鸡}澜{口水}
ts	[1]煎-[2]泉-[3]盏-[6]溅-
tsʰ	[5]闩{门～}
s	[1]山-[3]散-{药}[5]散-伞-线-汕-{～头}
k	[1]官-肝-关-乾-[2]寒-[3]赶-[6]掼{手提}汗-
kʰ	[1]宽-[5]看-快-{～活}
h	[1]欢-[2]横-鼾{打鼾}[6]岸-援捍
∅	[1]安-垵-鞍-[3]碗-[5]案-晏-{迟}[6]换-旱-
#ue	
p	[1]杯飞-菠-{～薐菜}[2]培赔[5]贝辈背{名词}[6]背{动词}倍
pʰ	[1]胚坯[2]皮-[5]配[6]被-
b	[2]梅-媒-糜-[3]买-尾-[6]未-
l	[6]内
ts	[5]最赘做-[6]睡{交～}
tsʰ	[1]吹-炊-[3]髓-[6]□{找}
s	[1]衰[2]垂[5]岁=税帅
dz	[6]锐
k	[3]果-[5]过-绘怪-
kʰ	[2]瘸[5]课[6]缺
h	[1]灰-[2]回和[3]悔火-[5]货-岁-废[6]汇会-
ɡ	[6]外=
∅	[1]锅-煨
#ueʔ	
b	[8]袜-
s	[8]踅
k	[7]郭-
h	[7]血-
ɡ	[8]月-
#uẽ	
m	[2]糜-[6]妹{原文作阴上，应为误记}
#ui	
p	[2]肥-[5]痱-[6]吠-
pʰ	[5]屁-
t	[1]追堆=[2]追[5]对[6]队坠
tʰ	[1]梯-推[2]槌锤[3]腿[6]坠
l	[1]镭{铜～}[2]雷擂[3]蕊累[6]类泪累
ts	[1]锥[3]水-嘴[5]醉[6]瘁
tsʰ	[1]吹=炊=崔催[5]翠喙脆=
s	[1]虽[2]垂谁[3]水=[6]睡=穗遂祟
k	[1]龟奎归机-{布～}[2]葵[3]鬼[5]贵挂季[6]跪柜
kʰ	[1]开-亏窥[3]傀[5]气-愧
h	[1]飞=辉非徽挥扉麾妃[2]肥=瓷{训读}□{瓷}[3]匪毁[5]讳费[6]惠吠=慧
ɡ	[2]危嵬[6]魏伪
∅	[1]衣-威[2]为维围[3]委炜伟苇[5]畏尉慰蔚[6]为位胃
#uiʔ	
∅	[7]挖-
#uĩ	
p	[1]方-枫-[6]饭-
m	[2]门-[3]晚-每[6]问-
t	[5]顿[6]断-
tʰ	[2]团{原文作阴平，应为误记}[5]褪
n	[3]软-[6]卵-
ts	[1]砖-[2]全-[5]钻-[6]旋-{头～}
tsʰ	[1]穿-川[3]舐[5]串
s	[1]酸-[5]算-
k	[1]光-[3]管-{水～}倦-广-[5]贯-卷-
kʰ	[5]劝-
h	[1]昏荒[2]园[6]远{原文作阴上，应为误记}
∅	[2]黄-[3]箢宛
#uai	
k	[1]乖[3]拐[5]怪=
kʰ	[5]块快
h	[2]怀
#un	
p	[1]分[2]㖹{吹}[3]本[5]粪-[6]笨
pʰ	[1]潘{洗米水等}奔[2]盆
b	[2]门=文闻纹[3]吻[6]问=闷
t	[1]屯敦墩[2]唇[3]盾转{回}[5]顿=[6]钝
tʰ	[1]吞[2]豚尘-
l	[2]轮仑[3]碾{石～}[6]论闰润
ts	[1]尊遵[2]存-前-{～年}船-[3]准[5]圳俊[6]阵-
tsʰ	[1]村=春伸-[3]蠢[5]寸
s	[1]孙[2]旬巡醇[3]笋损=[5]舜逊[6]顺
k	[1]群[2]裙群拳-[3]滚[5]棍[6]郡
kʰ	[1]昆髡崑[3]菌恳[5]困
h	[1]昏=薰勋晕[2]痕-魂云-[3]粉[5]训[6]混晕
∅	[1]温醖[2]云芸匀[3]允稳𤸫{～痀}[5]揾[6]运韵
#ut	
b	[8]勿物=没
t	[8]突凸
tʰ	[7]秃
l	[8]律率{效～}
ts	[7]卒[8]秫
tsʰ	[7]出
s	[7]屑{锯～}戍
k	[7]骨[8]滑-猾-掘
kʰ	[7]屈窟
h	[8]核佛
∅	[7]熨郁[8]聿
#uan	
p	[1]搬=般=[2]盘=[5]半=拌=[6]畔叛伴=
pʰ	[1]潘=[2]磐[5]泮判=
b	[3]瞒满晚挽輓
t	[1]端[2]传=[3]短=[5]断=传=段
tʰ	[1]湍[2]团[5]篆
l	[2]恋孪銮[3]卵=暖[6]乱
ts	[1]专砖=[2]全=泉=[3]转=赚[5]钻=[6]撰馔
tsʰ	[1]川穿村-[3]喘[5]串=窜篡
s	[1]酸=宣[2]旋船=[3]选[5]蒜=算=
dz	[3]软
k	[1]官=关=棺=娟捐[2]悬-{高}权[3]捲=卷=[5]贯=惯灌卷=倦[6]县-建{～塗：地名}
kʰ	[1]宽=[2]圈{训读“环”}环拳[3]款[5]劝=
h	[1]欢=番翻藩[2]凡还=烦樊矾寰[3]反=返[5]泛幻唤涣[6]犯患宦范
ɡ	[2]元原源[3]阮[6]愿
∅	[1]冤鸳[2]员圆=丸=[3]碗=腕=玩婉远=[5]怨[6]援
#uat	
p	[7]拨=钵[8]拨=跋=
pʰ	[7]泼=钹=撇=
b	[8]抹=末=袜=
t	[7]辍[8]夺
tʰ	[7]脱=
l	[8]捋
ts	[7]茁拙[8]绝=
s	[7]说=雪=
k	[7]刮=决
kʰ	[7]缺=阔=
h	[7]发法[8]垡=乏=阀罚滑=猾=
ɡ	[8]月=
∅	[7]斡挖[8]曰越粤
