IPA	调类	字
suʔ	7	叔
kuʔ	7	穀
kʰuʔ	7	哭
muʔ	7	木目
luʔ	7	褥鹿
uʔ	7	屋
tʰuʔ	8	族毒讀
suʔ	8	熟
piʔ	7	臂
tiʔ	7	滴
tʰiʔ	7	踢
ɕiʔ	7	婿
tʰiʔ	8	敵
pɛʔ	7	北
tɛʔ	7	得
tʰɛʔ	7	特
sɛʔ	7	塞色
hɛʔ	7	黑
tʰɛʔ	8	植直賊
piaʔ	7	壁
siaʔ	7	錫
liaʔ	8	笛
tɕioʔ	7	腳
ɕioʔ	7	削
ioʔ	8	藥
tɕiuʔ	7	菊足
ɕiuʔ	8	俗
tɕʰiuʔ	7	曲
ȵiuʔ	7	肉
liuʔ	7	緑
iuʔ	7	欲玉育
tɕʰiuʔ	8	局
liuʔ	8	六
tɕiɛʔ	7	脊
tɕʰiɛʔ	8	席
kiɛʔ	7	革
kuɛʔ	7	國
il	7	壁
