音標	調類	調值		
sa	1	334	腮鰓篩	
sa	3	43	灑	
sa	5	45	曬	
sã	1	334	三衫珊刪山拴閂	
sã	3	43	散[～錢]傘	
sã	5	45	散[～發]疝涮[～口]	
si	1	334	西犀須[必～]鬚[胡～]需胥髓荽[芫～]	
si	2	12	徐	
si	3	43	洗	
si	5	45	細絮	
si	7	24	悉蟋息熄媳惜昔錫析戌恤壻[女～]習襲席夕	
siã	1	334	星	
siã	3	43	醒	
siã	5	45	腥	
sie	1	334	些	
sie	1	334	搜颼餿搜蒐	
sie	3	43	寫	
sie	5	45	謝瘦	
sie	7	24	薛洩屑[不～；～子灰]雪瀉卸	
sin	1	334	心芯辛新薪星腥	
sin	3	43	醒	
sin	5	45	信訊迅性姓	
sio	7	24	削	
siuŋ	1	334	相[互～]箱廂湘襄鑲	
siuŋ	3	43	想	
siuŋ	5	45	像相[～貌]	
sĩ	1	334	參-[人～]仙秈鮮先生牲甥	
sĩ	2	12	旋[～轉]	
sĩ	3	43	癬選省[～長；節～；反～]	
sĩ	5	45	線羨旋[～風]	
siɑ	1	334	消宵霄硝銷簫嘯	
siɑ	3	43	小	
siɑ	5	45	笑	
siɘ	1	334	修羞	
siɘ	5	45	秀繡宿[星～]鏽袖	
siɘ	7	24	俗[易～河]	
siɔ	1	334	些	
siɔ	2	12	斜	
siɔ	3	43	寫	
siɔ	5	45	瀉[～屎]	
siɔ	7	24	錫	
so	1	334	蓑娑梭[織布～]嗦[囉～]	
so	3	43	鎖瑣所	
so	5	45	□[差]	
so	7	24	率[～領]蟀索[繩～]速塑[～料]	
soŋ	1	334	生	
suŋ	1	334	桑喪[～事]霜孀雙	
suŋ	3	43	磉[～墩]嗓爽	
suŋ	5	45	喪[～失]	
sæ	7	24	澀瑟蝨塞色	
sɑ	1	334	騷臊[腥～]梢[樹～]捎搜-	
sɑ	3	43	掃[～地]嫂稍叟	
sɑ	5	45	掃[～帚；(又)～地]臊[～子]潲[豬～]	
sən	1	334	森參[人～]孫蓀[～子：新芽]生牲笙甥鬆[放～]嵩鬆	
sən	2	12	詢旬珣荀巡	
sən	3	43	損筍榫省[～長；節～；反～]擤[～鼻涕]	
sən	5	45	遜送宋	
sɘ	1	334	蘇酥梳疏蔬搜颼餿搜蒐	
sɘ	3	43	數[動詞：～一～]叟	
sɘ	5	45	素嗉[～子]訴數[～目]嗽[咳～]漱[～口]瘦	
sɘ	7	24	肅宿[～舍]縮俗續	
sɜ	1	334	雖綏	
sɜ	2	12	隨	
sɜ	5	45	碎歲隧穗	
sø̃	1	334	酸閂	
sø̃	5	45	算蒜	
