ID	汉字	音节	声母	韵母	声调	注释	罗马字
1228	权	dʑye	dʑ	ye	2		djüe2
1229	倦	dʑye	dʑ	ye	6		djüe6
1230	原	ȵye	ȵ	ye	2		nyüe2
1231	源	ȵye	ȵ	ye	2		nyüe2
1232	软	ȵye	ȵ	ye	4		nyüe4
1233	愿	ȵye	ȵ	ye	6		nyüe6
1234	月	ȵye	ȵ	ye	8		nyüe8
1235	雪	ɕye	ɕ	ye	7		shüe7
1236	血	ɕye	ɕ	ye	7		shüe7
1237	说	ɕye	ɕ	ye	7		shüe7
1238	船	ʑye	ʑ	ye	2		jüe2
1239	痊	ʑye	ʑ	ye	2		jüe2
1240	全	ʑye	ʑ	ye	2		jüe2
1241	术	ʑye	ʑ	ye	8		jüe8
1242	冠	kye	k	ye	1	~冕	küe1
1243	赶	kye	k	ye	3		küe3
1244	管	kye	k	ye	3		küe3
1245	馆	kye	k	ye	3		küe3
1246	贯	kye	k	ye	5		küe5
1247	骨	kye	k	ye	7		küe7
1248	割	kye	k	ye	7		küe7
1249	睏	kʰye	kʰ	ye	5		kʻüe5
1250	渴	kʰye	kʰ	ye	5		kʻüe5
1251	橛	kʰye	kʰ	ye	8	石头~	kʻüe8
1252	欢	hye	h	ye	1		hüe1
1253	昏	hye	h	ye	1	黄~	hüe1
1254	罕	hye	h	ye	3		hüe3
1255	魂	ɦjye	ɦj	ye	2		yüe2
1256	完	ɦjye	ɦj	ye	2		yüe2
1257	园	ɦjye	ɦj	ye	2		yüe2
1258	缘	ɦjye	ɦj	ye	2		yüe2
1259	远	ɦjye	ɦj	ye	4		yüe4
1260	汗	ɦjye	ɦj	ye	6		yüe6
1261	院	ɦjye	ɦj	ye	6		yüe6
1262	岸	ɦjye	ɦj	ye	6		yüe6
1263	绝	ɦjye	ɦj	ye	8		yüe8
1264	越	ɦjye	ɦj	ye	8		yüe8
1265	疫	ɦjye	ɦj	ye	8		yüe8
1266	安	ʔye	ʔ	ye	1		üe1
1267	冤	ʔye	ʔ	ye	1		üe1
1268	温	ʔye	ʔ	ye	1	~柔	üe1
1269	瘟	ʔye	ʔ	ye	1		üe1
1270	怨	ʔye	ʔ	ye	5		üe5
1271	案	ʔye	ʔ	ye	5		üe5
1272	悲	pai	p	ai	1		pai1
1273	背	pai	p	ai	1		pai1
1274	杯	pai	p	ai	1		pai1
1275	背	pai	p	ai	5	~后	pai5
1276	簸	pai	p	ai	5	动词	pai5
1277	贝	pai	p	ai	5		pai5
1278	不	pai	p	ai	7	~论	pai7
1279	北	pai	p	ai	7		pai7
1280	配	pʰai	pʰ	ai	5		pʻai5
1281	陪	bai	b	ai	2		bai2
1282	倍	bai	b	ai	4		bai4
1283	悖	bai	b	ai	6		bai6
1284	背	bai	b	ai	6	耳朵~	bai6
1285	佩	bai	b	ai	6		bai6
1286	霉	mai	m	ai	2		mai2
1287	每	mai	m	ai	4		mai4
1288	昧	mai	m	ai	6		mai6
1289	妹	mai	m	ai	6		mai6
1290	面	mai	m	ai	6	底~	mai6
1291	物	mai	m	ai	8		mai8
1292	娒	ʔmai	ʔm	ai	1	小孩	m̆ai1
1293	弗	ʔmai	ʔm	ai	7		m̆ai7
1294	物	vai	v	ai	8		vai8
1295	𠡒	tai	t	ai	3	拉扯	tai3
1296	对	tai	t	ai	5		tai5
1297	推	tʰai	tʰ	ai	1		tʻai1
1298	煺	tʰai	tʰ	ai	1		tʻai1
1299	腿	tʰai	tʰ	ai	3		tʻai3
1300	退	tʰai	tʰ	ai	5		tʻai5
1301	唾	tʰai	tʰ	ai	5		tʻai5
1302	脱	tʰai	tʰ	ai	7	~爻衣裳	tʻai7
1303	兑	dai	d	ai	6		dai6
1304	队	dai	d	ai	6		dai6
1305	夺	dai	d	ai	8	~去	dai8
1306	内	nai	n	ai	6		nai6
1307	雷	lai	l	ai	2		lai2
1308	累	lai	l	ai	4	连~	lai4
1309	裸	lai	l	ai	4		lai4
1310	执	tsai	ts	ai	7		tsai7
1311	催	tsʰai	tsʰ	ai	1		tsʻai1
1312	揣	tsʰai	tsʰ	ai	3	~摩	tsʻai3
1313	剉	tsʰai	tsʰ	ai	5		tsʻai5
1314	七	tsʰai	tsʰ	ai	7		tsʻai7
1315	漆	tsʰai	tsʰ	ai	7		tsʻai7
1316	衰	sai	s	ai	1		sai1
1317	琐	sai	s	ai	3	小	sai3
1318	碎	sai	s	ai	5		sai5
1319	失	sai	s	ai	7		sai7
1320	湿	sai	s	ai	7		sai7
1321	膝	sai	s	ai	7		sai7
1322	瑟	sai	s	ai	7		sai7
1323	罪	zai	z	ai	4		zai4
1324	集	zai	z	ai	8		zai8
1325	十	zai	z	ai	8		zai8
1326	入	zai	z	ai	8		zai8
1327	习	zai	z	ai	8		zai8
1328	日	zai	z	ai	8		zai8
1329	急	tɕai	tɕ	ai	7		chai7
1330	给	tɕai	tɕ	ai	7	供~	chai7
1331	击	tɕai	tɕ	ai	7		chai7
1332	级	tɕai	tɕ	ai	7		chai7
1333	激	tɕai	tɕ	ai	7		chai7
1334	泣	tɕʰai	tɕʰ	ai	7		chʻai7
1335	掘	dʑai	dʑ	ai	8		djai8
1336	极	dʑai	dʑ	ai	8		djai8
1337	及	dʑai	dʑ	ai	8		djai8
1338	逆	ȵai	ȵ	ai	8		nyai8
1339	肸	ɕai	ɕ	ai	7		shai7
1340	凹	ɕai	ɕ	ai	7		shai7
1341	個	kai	k	ai	5	量词:一~城	kai5
1342	個	kai	k	ai	7	代词，这: ~人	kai7
1343	规	kʋai	kʋ	ai	1	~矩	kwai1
1344	归	kʋai	kʋ	ai	1		kwai1
1345	国	kʋai	kʋ	ai	7		kwai7
1346	盔	kʋʰai	kʋʰ	ai	1		kwʻai1
1347	刽	kʋʰai	kʋʰ	ai	5		kwʻai5
1348	块	kʋʰai	kʋʰ	ai	5		kwʻai5
1349	磕	kʋʰai	kʋʰ	ai	7		kwʻai7
1350	灰	hʋai	hʋ	ai	1		hwai1
1351	悔	hʋai	hʋ	ai	3		hwai3
1352	回	ɦʋai	ɦʋ	ai	2		whai2
1353	茴	ɦʋai	ɦʋ	ai	2		whai2
1354	会	ɦʋai	ɦʋ	ai	6		whai6
1355	惑	ɦʋai	ɦʋ	ai	6	迷~	whai6
1356	饿	ɦʋai	ɦʋ	ai	6		whai6
1357	惑	ɦʋai	ɦʋ	ai	8	疑~;迷~	whai8
1358	𧠵	tsʰɿ	tsʰ	ɿ	5	看	tsʻz5
1359	𣥼	tsi	ts	i	5	盛物于器	tsi5
1360	𤖼	pʰa	pʰ	a	7	用手分开或折断东西:把饼~开	pʻa7
1361	𤌙	tʰa	tʰ	a	7		tʻa7
1362	𩨌	tʰa	tʰ	a	7	~拉:最末的	tʻa7
1363	𡇠	tsa	ts	a	7	~实: 牢固、坚实	tsa7
1364	𦗭	bɛ	b	ɛ	4	耳聋	bæ4
1365	㑚	nɛ	n	ɛ	2	伸出、昂起: ~耳朵	næ2
1366	㬹	tsɛ	ts	ɛ	1	脚~:脚踝	tsæ1
1367	㨄	dɜ	d	ɜ	2	推	döe2
1368	𧮙	zo	z	o	8	责骂	zo8
1369	𢄺	tɕʰiɛ	tɕʰ	iɛ	3	抹、 拭	chʻiæ3
1370	𦜇	kʰye	kʰ	ye	7	脚~: 膝盖	kʻüe7
1371	𧟰	fai	f	ai	1	勿、不要	fai1
1372	覅	fai	f	ai	1	勿、不要	fai1
1373	𤍐	tʰai	tʰ	ai	1	宰杀	tʻai1
1374	㔣	lai	l	ai	6	滚动、转动	lai6
1375	翼	ɦjai	ɦj	ai	8		yai8
1376	𩑦	ʔʋai	ʔʋ	ai	7	人溺水	wai7
1377	一	ʔjai	ʔj	ai	7	~心~意、十分之~	iai7
1378	益	ʔjai	ʔj	ai	7		iai7
1379	兜	tau	t	au	1		tao1
1380	斗	tau	t	au	3	方~	tao3
1381	抖	tau	t	au	3		tao3
1382	斗	tau	t	au	5	~争	tao5
1383	偷	tʰau	tʰ	au	1		tʻao1
1384	㪗	tʰau	tʰ	au	3	展开	tʻao3
1385	楼	lau	l	au	2		lao2
1386	髅	lau	l	au	2		lao2
1387	篓	lau	l	au	4		lao4
1388	漏	lau	l	au	6		lao6
1389	𫦉	ʔlau	ʔl	au	1	挖掘: ~屋底;抠	l̆ao1
1390	走	tsau	ts	au	3		tsao3
1391	掫	tsʰau	tsʰ	au	3	暗中窥伺	tsʻao3
1392	凑	tsʰau	tsʰ	au	5		tsʻao5
1393	愁	zau	z	au	2		zao2
1394	鸠	tɕau	tɕ	au	1		chao1
1395	久	tɕau	tɕ	au	3		chao3
1396	九	tɕau	tɕ	au	3		chao3
1397	救	tɕau	tɕ	au	5		chao5
1398	究	tɕau	tɕ	au	5		chao5
1399	搝	tɕʰau	tɕʰ	au	3	讨	chʻao3
1400	求	dʑau	dʑ	au	2		djao2
1401	旧	dʑau	dʑ	au	6		djao6
1402	狃	ȵau	ȵ	au	8	~宕:哪里	nyao8
1403	休	ɕau	ɕ	au	1		shao1
1404	修	ɕau	ɕ	au	1		shao1
1405	朽	ɕau	ɕ	au	3		shao3
1406	钩	kau	k	au	1		kao1
1407	狗	kau	k	au	3		kao3
1408	够	kau	k	au	5		kao5
1409	口	kʰau	kʰ	au	3		kʻao3
1410	跔	gau	g	au	2	蜷缩	gao2
1411	𧺤	gau	g	au	2	蜷缩	gao2
1412	牛	ŋau	ŋ	au	2		ngao2
1413	偶	ŋau	ŋ	au	4		ngao4
1414	喉	ɦau	ɦ	au	2		ʻao2
1415	后	ɦau	ɦ	au	4		ʻao4
1416	候	ɦau	ɦ	au	6	时~	ʻao6
1417	忧	ʔjau	ʔj	au	1		iao1
1418	𠢢	ʔjau	ʔj	au	3	植物枯萎	iao3
1419	𣧥	ʔjau	ʔj	au	3	植物枯萎	iao3
1420	㶭	ʔjau	ʔj	au	3	植物枯萎	iao3
1421	油	ɦjau	ɦj	au	2		yao2
1422	游	ɦjau	ɦj	au	2		yao2
1423	犹	ɦjau	ɦj	au	2		yao2
1424	有	ɦjau	ɦj	au	4		yao4
1425	酉	ɦjau	ɦj	au	4		yao4
1426	友	ɦjau	ɦj	au	4		yao4
1427	右	ɦjau	ɦj	au	6		yao6
1428	佑	ɦjau	ɦj	au	6		yao6
1429	诱	ɦjau	ɦj	au	6		yao6
1430	本	paŋ	p	aŋ	3		pang3
1431	笨	baŋ	b	aŋ	6		bang6
1432	门	maŋ	m	aŋ	2		mang2
1433	明	maŋ	m	aŋ	2	~朝:明天	mang2
1434	慲	maŋ	m	aŋ	2	~记:忘记	mang2
1435	悗	maŋ	m	aŋ	2	~记:忘记	mang2
1436	忘	maŋ	m	aŋ	2	~记:忘记	mang2
1437	问	maŋ	m	aŋ	6		mang6
1438	闷	maŋ	m	aŋ	6		mang6
1439	分	faŋ	f	aŋ	1		fang1
1440	吩	faŋ	f	aŋ	1		fang1
1441	纷	faŋ	f	aŋ	1		fang1
1442	粉	faŋ	f	aŋ	3		fang3
1443	文	vaŋ	v	aŋ	2		vang2
1444	坟	vaŋ	v	aŋ	2		vang2
1445	闻	vaŋ	v	aŋ	2		vang2
1446	份	vaŋ	v	aŋ	6		vang6
1447	问	vaŋ	v	aŋ	6		vang6
1448	灯	taŋ	t	aŋ	1		tang1
1449	等	taŋ	t	aŋ	3		tang3
1450	敦	taŋ	t	aŋ	5	放置	tang5
1451	顿	taŋ	t	aŋ	5		tang5
1452	凳	taŋ	t	aŋ	5		tang5
1453	汆	tʰaŋ	tʰ	aŋ	5	漂浮;慢慢走	tʻang5
1454	断	daŋ	d	aŋ	4	~气	dang4
1455	遁	daŋ	d	aŋ	6		dang6
1456	人	naŋ	n	aŋ	2		nang2
1457	能	naŋ	n	aŋ	2	许~界:那时候	nang2
1458	能	ʔnaŋ	ʔn	aŋ	7	这么	n̆ang7
1459	恁	ʔnaŋ	ʔn	aŋ	7	这么	n̆ang7
1460	仑	laŋ	l	aŋ	2		lang2
1461	卵	laŋ	l	aŋ	4		lang4
1462	真	tsaŋ	ts	aŋ	1		tsang1
1463	珍	tsaŋ	ts	aŋ	1		tsang1
1464	枕	tsaŋ	ts	aŋ	3		tsang3
1465	稹	tsaŋ	ts	aŋ	3	拥挤	tsang3
1466	进	tsaŋ	ts	aŋ	5		tsang5
1467	震	tsaŋ	ts	aŋ	5		tsang5
1468	浸	tsaŋ	ts	aŋ	5		tsang5
1469	亲	tsʰaŋ	tsʰ	aŋ	1		tsʻang1
1470	趁	tsʰaŋ	tsʰ	aŋ	5		tsʻang5
1471	沉	dzaŋ	dz	aŋ	2		dzang2
1472	陈	dzaŋ	dz	aŋ	2		dzang2
1473	尘	dzaŋ	dz	aŋ	2		dzang2
1474	臣	dzaŋ	dz	aŋ	2		dzang2
1475	阵	dzaŋ	dz	aŋ	6		dzang6
1476	心	saŋ	s	aŋ	1		sang1
1477	申	saŋ	s	aŋ	1	~时	sang1
1478	身	saŋ	s	aŋ	1		sang1
1479	深	saŋ	s	aŋ	1		sang1
1480	新	saŋ	s	aŋ	1		sang1
1481	审	saŋ	s	aŋ	3		sang3
1482	信	saŋ	s	aŋ	5		sang5
1483	汛	saŋ	s	aŋ	5		sang5
1484	人	zaŋ	z	aŋ	2		zang2
1485	辰	zaŋ	z	aŋ	2		zang2
1486	神	zaŋ	z	aŋ	2		zang2
1487	寻	zaŋ	z	aŋ	2		zang2
1488	层	zaŋ	z	aŋ	2		zang2
1489	甚	zaŋ	z	aŋ	4		zang4
1490	尽	zaŋ	z	aŋ	4		zang4
1491	忍	zaŋ	z	aŋ	4		zang4
1492	任	zaŋ	z	aŋ	6		zang6
1493	纴	zaŋ	z	aŋ	6	灯~: 灯芯	zang6
1494	金	tɕaŋ	tɕ	aŋ	1		chang1
1495	巾	tɕaŋ	tɕ	aŋ	1		chang1
1496	京	tɕaŋ	tɕ	aŋ	1		chang1
1497	惊	tɕaŋ	tɕ	aŋ	1		chang1
1498	经	tɕaŋ	tɕ	aŋ	1		chang1
1499	襟	tɕaŋ	tɕ	aŋ	1		chang1
1500	今	tɕaŋ	tɕ	aŋ	1		chang1
1501	斤	tɕaŋ	tɕ	aŋ	1		chang1
1502	紧	tɕaŋ	tɕ	aŋ	3		chang3
1503	谨	tɕaŋ	tɕ	aŋ	3	~醒	chang3
1504	颈	tɕaŋ	tɕ	aŋ	3		chang3
1505	敬	tɕaŋ	tɕ	aŋ	5		chang5
1506	禁	tɕaŋ	tɕ	aŋ	5		chang5
1507	境	tɕaŋ	tɕ	aŋ	5		chang5
1508	轻	tɕʰaŋ	tɕʰ	aŋ	1		chʻang1
1509	穇	tɕʰaŋ	tɕʰ	aŋ	3	~子: 稗草	chʻang3
1510	芹	dʑaŋ	dʑ	aŋ	2		djang2
1511	勤	dʑaŋ	dʑ	aŋ	2		djang2
1512	禽	dʑaŋ	dʑ	aŋ	2		djang2
1513	近	dʑaŋ	dʑ	aŋ	4		djang4
1514	迎	ȵaŋ	ȵ	aŋ	2		nyang2
1515	银	ȵaŋ	ȵ	aŋ	2		nyang2
1516	人	ȵaŋ	ȵ	aŋ	2	主~家	nyang2
1517	宁	ȵaŋ	ȵ	aŋ	2		nyang2
1518	认	ȵaŋ	ȵ	aŋ	6		nyang6
1519	兴	ɕaŋ	ɕ	aŋ	1	~旺	shang1
1520	跟	gaŋ	g	aŋ	1		gang1
1521	𰃳	gaŋ	g	aŋ	3	盖子	gang3
1522	肯	kʰaŋ	kʰ	aŋ	3		kʻang3
1523	恳	kʰaŋ	kʰ	aŋ	3		kʻang3
1524	恒	ɦaŋ	ɦ	aŋ	2		ʻang2
1525	恨	ɦaŋ	ɦ	aŋ	6		ʻang6
1526	昆	kʋaŋ	kʋ	aŋ	1	~虫	kwang1
1527	棍	kʋaŋ	kʋ	aŋ	5		kwang5
1528	捆	kʋʰaŋ	kʋʰ	aŋ	3		kwʻang3
1529	困	kʋʰaŋ	kʋʰ	aŋ	5		kwʻang5
1530	昏	hʋaŋ	hʋ	aŋ	1	头~	hwang1
1531	丸	ʋaŋ	ɦʋ	aŋ	2	𢳀~:抓阄	whang2
1532	阴	ʔjaŋ	ʔj	aŋ	1		iang1
1533	荫	ʔjaŋ	ʔj	aŋ	1		iang1
1534	音	ʔjaŋ	ʔj	aŋ	1	愔~静:寂静:使寂静	iang1
1535	殷	ʔjaŋ	ʔj	aŋ	1		iang1
1536	应	ʔjaŋ	ʔj	aŋ	1	~该	iang1
1537	鹰	ʔjaŋ	ʔj	aŋ	1		iang1
1538	因	ʔjaŋ	ʔj	aŋ	1		iang1
1539	婴	ʔjaŋ	ʔj	aŋ	1		iang1
1540	饮	ʔjaŋ	ʔj	aŋ	3		iang3
1541	影	ʔjaŋ	ʔj	aŋ	3		iang3
1542	隐	ʔjaŋ	ʔj	aŋ	3		iang3
1543	印	ʔjaŋ	ʔj	aŋ	5		iang5
1544	应	ʔjaŋ	ʔj	aŋ	5	报~	iang5
1545	刑	ɦjaŋ	ɦj	aŋ	2		yang2
1546	形	ɦjaŋ	ɦj	aŋ	2		yang2
1547	淫	ɦjaŋ	ɦj	aŋ	2		yang2
1548	贏	ɦjaŋ	ɦj	aŋ	2		yang2
1549	引	ɦjaŋ	ɦj	aŋ	4		yang4
1550	兵	piŋ	p	iŋ	1		ping1
1551	饼	piŋ	p	iŋ	3		ping3
1552	禀	piŋ	p	iŋ	3		ping3
1553	柄	piŋ	p	iŋ	5		ping5
1554	屏	piŋ	p	iŋ	5	~墙	ping5
1555	聘	pʰiŋ	pʰ	iŋ	5		pʻing5
1556	平	biŋ	b	iŋ	2		bing2
1557	评	biŋ	b	iŋ	2		bing2
1558	贫	biŋ	b	iŋ	2		bing2
1559	瓶	biŋ	b	iŋ	2		bing2
1560	凭	biŋ	b	iŋ	2		bing2
1561	并	biŋ	b	iŋ	4	~且	bing4
1562	病	biŋ	b	iŋ	6		bing6
1563	民	miŋ	m	iŋ	2		ming2
1564	名	miŋ	m	iŋ	2		ming2
1565	明	miŋ	m	iŋ	2	聪~,~当当	ming2
1566	皿	miŋ	m	iŋ	4		ming4
1567	闵	miŋ	m	iŋ	4		ming4
1568	命	miŋ	m	iŋ	6		ming6
1569	丁	tiŋ	t	iŋ	1		ting1
1570	钉	tiŋ	t	iŋ	1	~子	ting1
1571	顶	tiŋ	t	iŋ	3		ting3
1572	钉	tiŋ	t	iŋ	5	~十字架里	ting5
1573	听	tʰiŋ	tʰ	iŋ	1		tʻing1
1574	厅	tʰiŋ	tʰ	iŋ	1		tʻing1
1575	停	diŋ	d	iŋ	2		ding2
1576	定	diŋ	d	iŋ	6		ding6
1577	另	liŋ	l	iŋ	2		ling2
1578	零	liŋ	l	iŋ	2		ling2
1579	邻	liŋ	l	iŋ	2		ling2
1580	临	liŋ	l	iŋ	2		ling2
1581	灵	liŋ	l	iŋ	2		ling2
1582	鳞	liŋ	l	iŋ	2		ling2
1583	凌	liŋ	l	iŋ	2		ling2
1584	领	liŋ	l	iŋ	4		ling4
1585	令	liŋ	l	iŋ	6		ling6
1586	精	tsiŋ	ts	iŋ	1		tsing1
1587	睛	tsiŋ	ts	iŋ	1		tsing1
1588	拯	tsiŋ	ts	iŋ	3		tsing3
1589	整	tsiŋ	ts	iŋ	3		tsing3
1590	井	tsiŋ	ts	iŋ	3		tsing3
1591	正	tsiŋ	ts	iŋ	5		tsing5
1592	证	tsiŋ	ts	iŋ	5		tsing5
1593	症	tsiŋ	ts	iŋ	5		tsing5
1594	青	tsʰiŋ	tsʰ	iŋ	1		tsʻing1
1595	清	tsʰiŋ	tsʰ	iŋ	1		tsʻing1
1596	称	tsʰiŋ	tsʰ	iŋ	1	~赞	tsʻing1
1597	请	tsʰiŋ	tsʰ	iŋ	3		tsʻing3
1598	程	dziŋ	dz	iŋ	2		dzing2
1599	呈	dziŋ	dz	iŋ	2		dzing2
1600	剩	dziŋ	dz	iŋ	6		dzing6
1601	星	siŋ	s	iŋ	1		sing1
1602	声	siŋ	s	iŋ	1		sing1
1603	升	siŋ	s	iŋ	1		sing1
1604	申	siŋ	s	iŋ	1	~冤	sing1
1605	醒	siŋ	s	iŋ	3		sing3
1606	性	siŋ	s	iŋ	5		sing5
1607	圣	siŋ	s	iŋ	5		sing5
1608	姓	siŋ	s	iŋ	5		sing5
1609	胜	siŋ	s	iŋ	5		sing5
1610	成	ziŋ	z	iŋ	2		zing2
1611	城	ziŋ	z	iŋ	2		zing2
1612	诚	ziŋ	z	iŋ	2		zing2
1613	承	ziŋ	z	iŋ	2		zing2
1614	晴	ziŋ	z	iŋ	2		zing2
1615	情	ziŋ	z	iŋ	2		zing2
1616	绳	ziŋ	z	iŋ	2		zing2
1617	仍	ziŋ	z	iŋ	2		zing2
1618	静	ziŋ	z	iŋ	4		zing4
1619	净	ziŋ	z	iŋ	6		zing6
1620	碰	pʰʊŋ	pʰ	ʊŋ	5		pʻung5
1621	朋	bʊŋ	b	ʊŋ	2		bung2
1622	篷	bʊŋ	b	ʊŋ	2		bung2
1623	塳	bʊŋ	b	ʊŋ	2		bung2
1624	槰	bʊŋ	b	ʊŋ	6	刺~	bung6
1625	蒙	mʊŋ	m	ʊŋ	2	~恩	mung2
1626	懵	mʊŋ	m	ʊŋ	4		mung4
1627	梦	mʊŋ	m	ʊŋ	6		mung6
1628	封	fʊŋ	f	ʊŋ	1		fung1
1629	风	fʊŋ	f	ʊŋ	1		fung1
1630	丰	fʊŋ	f	ʊŋ	1		fung1
1631	蜂	fʊŋ	f	ʊŋ	1		fung1
1632	奉	vʊŋ	v	ʊŋ	4		vung4
1633	逢	vʊŋ	v	ʊŋ	4		vung4
1634	缝	vʊŋ	v	ʊŋ	6	名词	vung6
1635	东	tʊŋ	t	ʊŋ	1		tung1
1636	冬	tʊŋ	t	ʊŋ	1		tung1
1637	懂	tʊŋ	t	ʊŋ	3		tung3
1638	栋	tʊŋ	t	ʊŋ	5		tung5
1639	通	tʰʊŋ	tʰ	ʊŋ	1		tʻung1
1640	统	tʰʊŋ	tʰ	ʊŋ	3		tʻung3
1641	痛	tʰʊŋ	tʰ	ʊŋ	5		tʻung5
1642	同	dʊŋ	d	ʊŋ	2		dung2
1643	童	dʊŋ	d	ʊŋ	2		dung2
1644	铜	dʊŋ	d	ʊŋ	2		dung2
1645	动	dʊŋ	d	ʊŋ	4		dung4
1646	桶	dʊŋ	d	ʊŋ	4		dung4
1647	洞	dʊŋ	d	ʊŋ	6		dung6
1648	农	nʊŋ	n	ʊŋ	2		nung2
1649	聋	lʊŋ	l	ʊŋ	2		lung2
1650	拢	lʊŋ	l	ʊŋ	4		lung4
1651	笼	lʊŋ	l	ʊŋ	4		lung4
1652	弄	lʊŋ	l	ʊŋ	6		lung6
1653	宗	tsʊŋ	ts	ʊŋ	1		tsung1
1654	总	tsʊŋ	ts	ʊŋ	3		tsung3
1655	聪	tsʰʊŋ	tsʰ	ʊŋ	1		tsʻung1
1656	松	sʊŋ	s	ʊŋ	1		sung1
1657	送	sʊŋ	s	ʊŋ	5		sung5
1658	崇	zʊŋ	z	ʊŋ	2		zung2
1659	中	tɕʊŋ	tɕ	ʊŋ	1		chung1
1660	宫	tɕʊŋ	tɕ	ʊŋ	1		chung1
1661	君	tɕʊŋ	tɕ	ʊŋ	1		chung1
1662	忠	tɕʊŋ	tɕ	ʊŋ	1		chung1
1663	终	tɕʊŋ	tɕ	ʊŋ	1		chung1
1664	军	tɕʊŋ	tɕ	ʊŋ	1		chung1
1665	遵	tɕʊŋ	tɕ	ʊŋ	1		chung1
1666	准	tɕʊŋ	tɕ	ʊŋ	3		chung3
1667	众	tɕʊŋ	tɕ	ʊŋ	5		chung5
1668	充	tɕʰʊŋ	tɕʰ	ʊŋ	1		chʻung1
1669	伸	tɕʰʊŋ	tɕʰ	ʊŋ	1		chʻung1
1670	敒	tɕʰʊŋ	tɕʰ	ʊŋ	1	伸: ~ 盘底;通过空地、孔隙	chʻung1
1671	裙	dʑʊŋ	dʑ	ʊŋ	2		djung2
1672	群	dʑʊŋ	dʑ	ʊŋ	2		djung2
1673	虫	dʑʊŋ	dʑ	ʊŋ	2		djung2
1674	穷	dʑʊŋ	dʑ	ʊŋ	2		djung2
1675	兄	ɕʊŋ	ɕ	ʊŋ	1		shung1
1676	训	ɕʊŋ	ɕ	ʊŋ	5		shung5
1677	吮	zhʊŋ	ʑ	ʊŋ	4		jung4
1678	顺	zhʊŋ	ʑ	ʊŋ	6		jung6
1679	工	kʊŋ	k	ʊŋ	1		kung1
1680	公	kʊŋ	k	ʊŋ	1		kung1
1681	功	kʊŋ	k	ʊŋ	1		kung1
1682	攻	kʊŋ	k	ʊŋ	1		kung1
1683	恭	kʊŋ	k	ʊŋ	1		kung1
1684	空	kʰʊŋ	kʰ	ʊŋ	1	~地	kʻung1
1685	恐	kʰʊŋ	kʰ	ʊŋ	3	~怕	kʻung3
1686	烘	hʊŋ	h	ʊŋ	1		hung1
1687	哄	hʊŋ	h	ʊŋ	3	~骗	hung3
1688	红	ɦʊŋ	ɦ	ʊŋ	2		ʻung2
1689	洪	ɦʊŋ	ɦ	ʊŋ	2		ʻung2
1690	澒	ɦʊŋ	ɦ	ʊŋ	6	水流或人流汹涌而出	ʻung6
1691	永	ʔjʊŋ	ʔj	ʊŋ	3		iung3
1692	云	ɦjʊŋ	ɦj	ʊŋ	2		yung2
1693	荣	ɦjʊŋ	ɦj	ʊŋ	2		yung2
1694	营	ɦjʊŋ	ɦj	ʊŋ	2		yung2
1695	芸	ɦjʊŋ	ɦj	ʊŋ	2		yung2
1696	容	ɦjʊŋ	ɦj	ʊŋ	2		yung2
1697	旬	ɦjʊŋ	ɦj	ʊŋ	2		yung2
1698	唇	ɦjʊŋ	ɦj	ʊŋ	2		yung2
1699	翁	ʊŋ	ʔ	ʊŋ	1		ung1
1700	唔	n		n	2	没有	n2
1701	儿	n		n	2		n2
1702	疑	n		n	2		n2
1703	耳	n		n	4		n4
1704	议	n		n	4		n4
1705	义	n		n	6		n6
1706	仪	n		n	6		n6
1707	二	n		n	6		n6
1708	蛾	ŋ		ŋ	2		ng2
1709	拟	ŋ		ŋ	4		ng4
1710	五	ŋ		ŋ	4		ng4
1711	午	ŋ		ŋ	4		ng4
1712	我	ŋ		ŋ	4		ng4
1713	忤	ŋ		ŋ	4		ng4
