ID	汉字	音节	声母	韵母	声调	注释	罗马字
300	渡	dʉ	d	ʉ	6		dû6
301	炉	dʉ	d	ʉ	2		dû2
302	芦	dʉ	d	ʉ	2		dû2
303	驴	dʉ	d	ʉ	2		dû2
304	屡	dʉ	d	ʉ	4		dû4
305	吕	dʉ	d	ʉ	4		dû4
306	路	dʉ	d	ʉ	6		dû6
307	租	tsʉ	ts	ʉ	1		tsû1
308	祖	tsʉ	ts	ʉ	3		tsû3
309	粗	tsʰʉ	tsʰ	ʉ	1		tsʻû1
310	苏	sʉ	s	ʉ	1		sû1
311	诉	sʉ	s	ʉ	5		sû5
312	鱼	ŋʉ	ŋ	ʉ	2		ngû2
313	簸	pu	p	u	1	名词: ~箕	pu1
314	波	pu	p	u	1		pu1
315	簸	pu	p	u	5	动词	pu5
316	卜	pu	p	u	7		pu7
317	覆	pʰu	pʰ	u	7	伏、趴	pʻu7
318	薄	bu	b	u	2	~荷	bu2
319	仆	bu	b	u	8	奴~	bu8
320	母	mu	m	u	4		mu4
321	某	mu	m	u	4		mu4
322	墓	mu	m	u	6		mu6
323	慕	mu	m	u	6		mu6
324	木	mu	m	u	8		mu8
325	牧	mu	m	u	8		mu8
326	目	mu	m	u	8		mu8
327	睦	mu	m	u	8		mu8
328	敷	fu	f	u	1		fu1
329	不	fu	f	u	3	~爱、快活~尽	fu3
330	斧	fu	f	u	3		fu3
331	福	fu	f	u	7		fu7
332	复	fu	f	u	7	回~	fu7
333	覆	fu	f	u	7	翻来~去	fu7
334	无	vu	v	u	2		vu2
335	武	vu	v	u	4		vu4
336	舞	vu	v	u	4		vu4
337	复	vu	v	u	8	~转	vu8
338	伏	vu	v	u	8		vu8
339	服	vu	v	u	8		vu8
340	多	tu	t	u	1		tu1
341	躲	tu	t	u	3		tu3
342	督	tu	t	u	7		tu7
343	佗	du	d	u	2	抱在胸前:把渠-牢	du2
344	驼	du	d	u	2		du2
345	徒	du	d	u	2		du2
346	舵	du	d	u	4		du4
347	惰	du	d	u	4		du4
348	大	du	d	u	6	~舌: 口吃	du6
349	读	du	d	u	8		du8
350	独	du	d	u	8		du8
351	渎	du	d	u	8		du8
352	毒	du	d	u	8		du8
353	奴	du	d	u	2		du2
354	挪	du	d	u	2		du2
355	懦	du	d	u	4		du4
356	怒	du	d	u	6		du6
357	罗	lu	l	u	2	~马	lu2
358	萝	lu	l	u	2		lu2
359	掳	lu	l	u	4		lu4
360	鲁	lu	l	u	4		lu4
361	六	lu	l	u	8		lu8
362	碌	lu	l	u	8		lu8
363	骆	lu	l	u	8		lu8
364	鹿	lu	l	u	8		lu8
365	阻	tsu	ts	u	3		tsu3
366	左	tsu	ts	u	3	~手	tsu3
367	做	tsu	ts	u	5		tsu5
368	初	tsʰu	tsʰ	u	1		tsʻu1
369	差	tsʰu	tsʰ	u	1	~不多	tsʻu1
370	搓	tsʰu	tsʰ	u	1		tsʻu1
371	楚	tsʰu	tsʰ	u	3		tsʻu3
372	蔬	su	s	u	1		su1
373	唆	su	s	u	1	挑~	su1
374	数	su	s	u	5	名词	su5
375	素	su	s	u	5	~来	su5
376	速	su	s	u	7		su7
377	助	zu	z	u	6		zu6
378	祝	tɕu	tɕ	u	7		chu7
379	畜	tɕʰu	tɕʰ	u	7	~生	chʻu7
380	肉	ȵu	ȵ	u	8		nyu8
381	叔	ɕu	ɕ	u	7		shu7
382	族	ɕu	ɕ	u	8		shu8
383	熟	ɕu	ɕ	u	8		shu8
384	辱	ɕu	ɕ	u	8		shu8
385	孤	ku	k	u	1		ku1
386	姑	ku	k	u	1		ku1
387	哥	ku	k	u	1		ku1
388	臌	ku	k	u	3	水~胀: 水臌，中医指腹水	ku3
389	古	ku	k	u	3		ku3
390	果	ku	k	u	3		ku3
391	过	ku	k	u	5		ku5
392	固	ku	k	u	5		ku5
393	顾	ku	k	u	5		ku5
394	故	ku	k	u	5		ku5
395	雇	ku	k	u	5		ku5
396	谷	ku	k	u	7	~仓	ku7
397	估	kʰu	kʰ	u	1		kʻu1
398	枯	kʰu	kʰ	u	1		kʻu1
399	窟	kʰu	kʰ	u	1		kʻu1
400	骷	kʰu	kʰ	u	1		kʻu1
401	苦	kʰu	kʰ	u	3		kʻu3
402	库	kʰu	kʰ	u	5		kʻu5
403	哭	kʰu	kʰ	u	7		kʻu7
404	呼	hu	h	u	1		hu1
405	火	hu	h	u	3		hu3
406	伙	hu	h	u	3		hu3
407	货	hu	h	u	5		hu5
408	荷	hu	h	u	5	薄~	hu5
409	何	ɦʋu	ɦʋ	u	2		whu2
410	和	ɦʋu	ɦʋ	u	2		whu2
411	乎	ɦʋu	ɦʋ	u	2		whu2
412	狐	ɦʋu	ɦʋ	u	2		whu2
413	湖	ɦʋu	ɦʋ	u	2		whu2
414	糊	ɦʋu	ɦʋ	u	2		whu2
415	祸	ɦʋu	ɦʋ	u	4		whu4
416	贺	ɦʋu	ɦʋ	u	6		whu6
417	护	ɦʋu	ɦʋ	u	6		whu6
418	乌	ʔu	ʔ	u	1		u1
419	污	ʔu	ʔ	u	1		u1
420	恶	ʔu	ʔ	u	5	厌~	u5
421	屋	ʔu	ʔ	u	7		u7
422	班	pa	p	a	1		pa1
423	斑	pa	p	a	1		pa1
424	爸	pa	p	a	1		pa1
425	板	pa	p	a	3		pa3
426	摆	pa	p	a	3		pa3
427	扮	pa	p	a	5		pa5
428	拜	pa	p	a	5		pa5
429	百	pa	p	a	7		pa7
430	伯	pa	p	a	7		pa7
431	迫	pa	p	a	7		pa7
432	派	pʰa	pʰ	a	5		pʻa5
