字	类型	读音
	IPA	paː / haː / pa
啞	假名	ア／アー
	IPA	a
寫	假名	スヱヽ／スエ／セ／スエヽ
	IPA	sɯeː / sɯe / se
瀉	假名	スエ
	IPA	sɯe
㵼	假名	スエヽ
	IPA	sɯeː
惹	假名	ジヱヽ／ゼヱヽ
	IPA	dʑieː / zeː
若	假名	ヂヨ／ジヤ／ジヨ／エ／シヨ／ゼ／ゼヨ／ジヤヽ／ヂヤ
	IPA	dʑijo / dʑija / e / ɕijo / ze / zejo / dʑijaː
哆	假名	トウ／ト
	IPA	toɯ / to
撦/扯	假名	チヱヽ
	IPA	tɕieː
罵	假名	マアヽ
	IPA	maː
方	假名	ハン／フアン／フワン
	IPA	haN / ɸɯaN / ɸɯwaN
瑪	假名	マアヽ／マ
	IPA	maː / ma
螞	假名	マアヽ
	IPA	maː
捨／舍	假名	シヱヽ／セヱヽ／シエ／セ／スイヽ
	IPA	ɕieː / seː / ɕie / se / sɯiː
且	假名	ツヱヽ／ツエヽ
	IPA	tsɯeː
灑	假名	シヤイ／サ
	IPA	ɕijai / sa
瓦	假名	ワアヽ／ワア／ワ
	IPA	waː / wa
疋	假名	ピ
	IPA	pi
雅	假名	ヤヽ／イヤア／キヤア／ヤアヽ／ヤア／ヤ
	IPA	jaː / ijaː / kijaː / ja
堵	假名	トウ
	IPA	toɯ
者	假名	テヱヽ／チヱヽ／チエ／チエヽ
	IPA	teː / tɕieː / tɕie
赭	假名	チユイ／チヱヽ／チユ／チエ
	IPA	tɕijɯi / tɕieː / tɕijɯ / tɕie
姐	假名	ツユイ
	IPA	tsɯjɯi
鮓	假名	ツヲ
	IPA	tsɯo
假	假名	キヤアヽ／キヤヽ／キヤア
	IPA	kijaː
寡	假名	クハア
	IPA	kɯɰaː
斝	假名	キヤア
	IPA	kijaː
賈	假名	クウ／マイ
	IPA	kɯː / mai
魴	假名	ハン／ワン
	IPA	haN / waN
夜	假名	ヱヽ／ユ／エ／エヽ
	IPA	eː / jɯ / e
射	假名	セヱヽ／ゼヱヽ／シヱヽ
	IPA	seː / zeː / ɕieː
㕦	假名	ハアヽ
	IPA	haː
下	假名	ヒアヽ／ヒヤア／ヒヤヽ／ヒヤ
	IPA	çiaː / çijaː / çija
夏	假名	ヒヤア／ヒヤアヽ
	IPA	çijaː
暇	假名	ヒヤア
	IPA	çijaː
樺	假名	ハアヽ
	IPA	haː
崋/華	假名	ハア／ハアヽ／パアヽ／フワ／フワア／フアワ
	IPA	haː / paː / ɸɯwa / ɸɯwaː / ɸɯawa
乍	假名	ヅア／サ゚
	IPA	dzɯa / tsa
霸	假名	ハアヽ
	IPA	haː
紡	假名	ハン
	IPA	haN
方	假名	ハン／フアン／フワン
	IPA	haN / ɸɯaN / ɸɯwaN
亞	假名	ヤアヽ／ヤ
	IPA	jaː / ja
啞	假名	ア／アー
	IPA	a
瀉	假名	スエ
	IPA	sɯe
罵	假名	マアヽ
	IPA	maː
化	假名	ハア／ハアヽ／フワ／フワア
	IPA	haː / ɸɯwa / ɸɯwaː
嚇	假名	ホ
	IPA	ho
罅	假名	ヒヤア
	IPA	çijaː
舍	假名	シヱヽ／セヱヽ／シエ／セ／スイヽ
	IPA	ɕieː / seː / ɕie / se / sɯiː
舎	假名	セ
	IPA	se
怕	假名	パアヽ／パア
	IPA	paː
沙	假名	サア／サアヽ／スアヽ／サ／シヤ
	IPA	saː / sɯaː / sa / ɕija
瓦	假名	ワアヽ／ワア／ワ
	IPA	waː / wa
吒／咤	假名	チエ／サ／サ゚
	IPA	tɕie / sa / tsa
哆	假名	トウ／ト
	IPA	toɯ / to
姹	假名	サ
	IPA	sa
䗪	假名	ツヲヽ
	IPA	tsɯoː
柘	假名	シヱヽ／シ
	IPA	ɕieː / ɕi
蔗	假名	チヱヽ
	IPA	tɕieː
鷓	假名	チヱヽ／ツエ／チエヽ
	IPA	tɕieː / tsɯe
借	假名	ツヱヽ／ツエヽ
	IPA	tsɯeː
射	假名	セヱヽ／ゼヱヽ／シヱヽ
	IPA	seː / zeː / ɕieː
麝	假名	ジエヽ
	IPA	dʑieː
詐	假名	ツアヽ
	IPA	tsɯaː
假	假名	キヤアヽ／キヤヽ／キヤア
	IPA	kijaː
價	假名	キヤア
	IPA	kijaː
嫁	假名	キヤア
	IPA	kijaː
架	假名	キヤア
	IPA	kijaː
賈	假名	クウ／マイ
	IPA	kɯː / mai
駕	假名	キヤア
	IPA	kijaː
榭	假名	ラン／ジエ
	IPA	raN / dʑie
謝	假名	ヅヱヽ／ズエ／ヅエ／ヅエヽ
	IPA	dzɯeː / zɯe / dzɯe
瀧	假名	ロン
	IPA	roN
窻/䆫/窗	假名	チヤン／チワン／ツヤン
	IPA	tɕijaN / tɕiwaN / tsɯjaN
降	假名	キヤン／ヒヤウ／ヤン
	IPA	kijaN / çijaɯ / jaN
蕃	假名	ハン
	IPA	haN
尨	假名	バン
	IPA	baN
控	假名	コン
	IPA	koN
腔	假名	キヤン
	IPA	kijaN
幢	假名	ドン／ツアウ／ツヤウ
	IPA	doN / tsɯaɯ / tsɯjaɯ
撞	假名	ヂヤン／チヤン
	IPA	dʑijaN / tɕijaN
瀧	假名	ロン
	IPA	roN
雙	假名	シヤン／サン
	IPA	ɕijaN / saN
江	假名	キヤン
	IPA	kijaN
矼	假名	カン
	IPA	kaN
豇	假名	カン
	IPA	kaN
釭	假名	カン
	IPA	kaN
殻／殼	假名	コ
	IPA	ko
藩	假名	ハン
	IPA	haN
蕃	假名	ハン
	IPA	haN
講	假名	キヤン
	IPA	kijaN
巷	假名	フユン／ヒヤン
	IPA	ɸɯjɯN / çijaN
幢	假名	ドン／ツアウ／ツヤウ
	IPA	doN / tsɯaɯ / tsɯjaɯ
撞	假名	ヂヤン／チヤン
	IPA	dʑijaN / tɕijaN
絳／绛	假名	キアン／キヤン
	IPA	kiaN / kijaN
虹	假名	ホン
	IPA	hoN
降	假名	キヤン／ヒヤウ／ヤン
	IPA	kijaN / çijaɯ / jaN
跑	假名	バ◦ウ
	IPA	baɯ
藩	假名	ハン
	IPA	haN
返	假名	ハン／バン
	IPA	haN / baN
齪	假名	チヨ
	IPA	tɕijo
學	假名	ヒヨ
	IPA	çijo
掉	假名	テヤ◦ウ
	IPA	tejaɯ
簎	假名	チヨツ
	IPA	tɕijoʔ
爆	假名	パ◦ウ／バウ
	IPA	paɯ / baɯ
翻	假名	ハン／パン
	IPA	haN / paN
幄	假名	ヲツ／ヲ
	IPA	oʔ / o
握	假名	ヲ
	IPA	o
齷	假名	ヲ
	IPA	o
藐	假名	ミヤーウ／ミヤウ
	IPA	mijaɯ
邈	假名	メウ
	IPA	meɯ
防	假名	パン／バン／ハン
	IPA	paN / baN / haN
濁	假名	ヂヨ／ツ／ソ／ソ゚／ド
	IPA	dʑijo / ʔ / so / tsɯo / do
濯	假名	チヨ
	IPA	tɕijo
鸀	假名	チヨツ
	IPA	tɕijoʔ
嗽	假名	スヱツ
	IPA	sɯeʔ
數	假名	スウ／ソウ／スーウ／スヲ／ソヲ
	IPA	sɯː / soɯ / sɯo / soː
朔	假名	ソ
	IPA	so
蒴	假名	シヨツ
	IPA	ɕijoʔ
岳／嶽	假名	ヤ／ヨ／ゴ
	IPA	ja / jo / go
樂	假名	ヨ／ロ／ヤーウ／ヤ
	IPA	jo / ro / jaɯ / ja
卓/桌	假名	チヨ
	IPA	tɕijo
啄	假名	チヨ
	IPA	tɕijo
捉	假名	チヨ
	IPA	tɕijo
榷	假名	キヨツ
	IPA	kijoʔ
覺	假名	キヤ／キヤ◦ウ／キヨ／キヤーウ
	IPA	kija / kijaɯ / kijo
角	假名	キヨ／キヨツ／キヤ
	IPA	kijo / kijoʔ / kija
較	假名	キヤ◦ウ
	IPA	kijaɯ
枹	假名	ウヱ◦ウ
	IPA	ɯeɯ
防	假名	パン／バン／ハン
	IPA	paN / baN / haN
邦	假名	パン
	IPA	paN
尤	假名	イ◦ウ
	IPA	iɯ
郵	假名	ユウ
	IPA	jɯː
悠/滺	假名	イウ
	IPA	iɯ
攸	假名	イ◦ウ
	IPA	iɯ
油	假名	ユウ
	IPA	jɯː
游／遊	假名	ユウ／ユウ.／イ◦ウ／イーウ／イウ
	IPA	jɯː / iɯ
猶	假名	ユ／ユウ／イウ／イーウ
	IPA	jɯ / jɯː / iɯ
猷	假名	イウ
	IPA	iɯ
由	假名	ユウ／イウ／イーウ
	IPA	jɯː / iɯ
蕕	假名	ユウ
	IPA	jɯː
蚰	假名	ユウ
	IPA	jɯː
劉	假名	リウ／リ◦ウ
	IPA	riɯ
榴/橊	假名	リウ／リユウ
	IPA	riɯ / rijɯː
流	假名	リウ／リ◦ウ／リーウ
	IPA	riɯ
瑠/琉	假名	リウ／リユウ／リーウ／ルーウ
	IPA	riɯ / rijɯː / rɯː
留	假名	リウ／リ◦ウ／リーウ
	IPA	riɯ
硫	假名	リウ
	IPA	riɯ
飀／飗	假名	リーウ
	IPA	riɯ
騮	假名	リユウ
	IPA	rijɯː
愁	假名	ヅヱ◦ウ／ツヱ◦ウ／ヅユウ／スエーウ／ツエーウ／ヅエーウ
	IPA	dzɯeɯ / tsɯeɯ / dzɯjɯː / sɯeɯ
酬	假名	ヂ◦ウ
	IPA	dʑiɯ
棒	假名	パン／バン／ハン
	IPA	paN / baN / haN
優	假名	イーウ／イウ
	IPA	iɯ
憂	假名	ユウ／イーウ
	IPA	jɯː / iɯ
櫌/耰	假名	コウ
	IPA	koɯ
蝤	假名	ユウ
	IPA	jɯː
惆	假名	チ◦ウ／チーウ
	IPA	tɕiɯ
抽	假名	チウ／チユウ／チーウ
	IPA	tɕiɯ / tɕijɯː
修／脩	假名	スユウ／シユイ／スイ◦ウ／シーウ／シウ／シユ／ヒーウ／スイーウ
	IPA	sɯjɯː / ɕijɯi / sɯiɯ / ɕiɯ / ɕijɯ / çiɯ
羞	假名	スユウ／スヤウ／シ◦ウ／シーウ
	IPA	sɯjɯː / sɯjaɯ / ɕiɯ
柔	假名	シウ／ジウ
	IPA	ɕiɯ / dʑiɯ
牟/麰	假名	メ◦ウ／メーウ
	IPA	meɯ
眸	假名	メ◦ウ／メーウ
	IPA	meɯ
𠦒	假名	パン
	IPA	paN
斑	假名	パン
	IPA	paN
謀	假名	メ◦ウ／メウ／メーウ
	IPA	meɯ
貅	假名	ヒユウ
	IPA	çijɯː
鵂	假名	ヒユウ
	IPA	çijɯː
收	假名	シウ／シ◦ウ／シーウ
	IPA	ɕiɯ
楸	假名	ツユウ
	IPA	tsɯjɯː
秋／鞦	假名	ツユウ／チ◦ウ／チーウ／ツユーウ／ツイーウ
	IPA	tsɯjɯː / tɕiɯ / tsɯiɯ
萩	假名	ツユウ
	IPA	tsɯjɯː
鰍	假名	ツユウ
	IPA	tsɯjɯː
鶖	假名	シユウ
	IPA	ɕijɯː
丘	假名	キ◦ウ／キーウ
	IPA	kiɯ
惆	假名	チ◦ウ／チーウ
	IPA	tɕiɯ
蚯	假名	キウ
	IPA	kiɯ
儔	假名	ヂウ／チウ／チーウ
	IPA	dʑiɯ / tɕiɯ
檮	假名	タ◦ウ
	IPA	taɯ
疇	假名	ズウ／ヂーウ
	IPA	zɯː / dʑiɯ
籌	假名	チーウ
	IPA	tɕiɯ
綢	假名	ヂウ／チウ
	IPA	dʑiɯ / tɕiɯ
躊	假名	ヂウ
	IPA	dʑiɯ
搜／蒐	假名	スヱ◦ウ
	IPA	sɯeɯ
螋	假名	スヱウ
	IPA	sɯeɯ
颼	假名	スエーウ
	IPA	sɯeɯ
牛	假名	ニウ／ニ◦ウ／ニーウ
	IPA	niɯ
調	假名	デヤ◦ウ／チヤーウ／テヤーウ／テ゚ヤウ
	IPA	dejaɯ / tɕijaɯ / tejaɯ / dijaɯ
周	假名	チウ／チ◦ウ／チーウ
	IPA	tɕiɯ
州	假名	ケウ／チウ／チウウ／チ◦ウ／チーウ
	IPA	keɯ / tɕiɯ / tɕiɯː
洲	假名	チウ／シウ／キーウ
	IPA	tɕiɯ / ɕiɯ / kiɯ
舟	假名	チユウ／サ゚イ／チーウ／ツイーウ
	IPA	tɕijɯː / tsai / tɕiɯ / tsɯiɯ
揫/揪	假名	ヅユウ
	IPA	dzɯjɯː
蝤	假名	ユウ
	IPA	jɯː
鮂	假名	ツユウ
	IPA	tsɯjɯː
仇	假名	ヂウ
	IPA	dʑiɯ
毬	假名	キユ／ギウ
	IPA	kijɯ / giɯ
求	假名	ギウ／キーウ／キユ／ギーウ
	IPA	giɯ / kiɯ / kijɯ
球	假名	ギ◦ウ
	IPA	giɯ
裘	假名	ギ◦ウ
	IPA	giɯ
逑	假名	ギ◦ウ
	IPA	giɯ
讐	假名	ヂウ／チウ
	IPA	dʑiɯ / tɕiɯ
騶	假名	ツヱ◦ウ
	IPA	tsɯeɯ
鳩	假名	キウ／ヲウ／キイウ／キユ
	IPA	kiɯ / oɯ / kiːɯ / kijɯ
龜	假名	クイ／クウ／タイ／ツイ／クーウ
	IPA	kɯi / kɯː / tai / tsɯi
鮂	假名	ツユウ
	IPA	tsɯjɯː
嘍	假名	レ◦ウ
	IPA	reɯ
婁	假名	レ◦ウ／レーウ
	IPA	reɯ
摟	假名	レ◦ウ
	IPA	reɯ
廔/樓	假名	レ◦ウ／レウ／レーウ
	IPA	reɯ
簍	假名	レ◦ウ
	IPA	reɯ
侯	假名	ペウ／ヘ◦ウ
	IPA	peɯ / heɯ
喉	假名	ヘ◦ウ／ヘーウ
	IPA	heɯ
猴	假名	ヘ◦ウ／ヘウ／へ◦ウ
	IPA	heɯ
睺	假名	ヘーウ
	IPA	heɯ
篌	假名	ヘ◦ウ
	IPA	heɯ
投	假名	テ◦ウ／デ◦ウ／テーウ
	IPA	teɯ / deɯ
窬	假名	イユイ
	IPA	ijɯi
頭	假名	テ◦ウ／デ◦ウ／テウ／テーウ／デーウ
	IPA	teɯ / deɯ
區	假名	キユイ
	IPA	kijɯi
嘔	假名	ヱへ◦ウ
	IPA	eheɯ
漚	假名	エ゚ウ
	IPA	ǝɯ
謳	假名	ユ◦ウ
	IPA	jɯː
鏂	假名	イヱ◦ウ
	IPA	ieɯ
鷗	假名	ヱ◦ウ／ヱへ◦ウ／ユウ
	IPA	eɯ / eheɯ / jɯː
摳	假名	ヱへ◦ウ
	IPA	eheɯ
兜	假名	テ◦ウ／テーウ
	IPA	teɯ
句	假名	キ゚ユ
	IPA	kyjɯ
枸	假名	ケ◦ウ
	IPA	keɯ
溝	假名	ケ◦ウ／ク◦ウ／クーウ
	IPA	keɯ / kɯː
篝	假名	ケ◦ウ／クウ
	IPA	keɯ / kɯː
鉤／鈎	假名	ケ◦ウ／テヤ◦ウ／ク◦ウ／ケーウ
	IPA	keɯ / tejaɯ / kɯː
勾	假名	ケ◦ウ
	IPA	keɯ
偷	假名	テ◦ウ／テヤーウ
	IPA	teɯ / tejaɯ
畔	假名	パン／ハン／パアン
	IPA	paN / haN / paːN
呦	假名	イ◦ウ
	IPA	iɯ
幽	假名	イウ／ヒーウ／イーウ
	IPA	iɯ / çiɯ
樛	假名	キ◦ウ
	IPA	kiɯ
𠦒	假名	パン
	IPA	paN
礬	假名	ハン／パン
	IPA	haN / paN
負	假名	ウヽ／ウ／フウ
	IPA	ɯː / ɯ / ɸɯː
阜	假名	フウ／ヘーウ
	IPA	ɸɯː / heɯ
友	假名	ユウ／イウ／イーウ
	IPA	jɯː / iɯ
右	假名	ユウ／イ◦ウ
	IPA	jɯː / iɯ
有	假名	ユウ／イウ／イーウ／イン
	IPA	jɯː / iɯ / iN
牖	假名	イ◦ウ
	IPA	iɯ
柳	假名	ウ／リ◦ウ／リウ／リーウ
	IPA	ɯ / riɯ
罶	假名	リ◦ウ
	IPA	riɯ
扭	假名	ニウ
	IPA	niɯ
杻	假名	チウ
	IPA	tɕiɯ
鈕	假名	チウ／ニウ
	IPA	tɕiɯ / niɯ
受	假名	ジウ／シウ／シ◦ウ／シーウ／シエウ／シユ
	IPA	dʑiɯ / ɕiɯ / ɕieɯ / ɕijɯ
壽	假名	ジウ／ヂ◦ウ／シーウ／シウ／ジーウ／チーウ
	IPA	dʑiɯ / ɕiɯ / tɕiɯ
綬	假名	シウ
	IPA	ɕiɯ
飯	假名	ハン／パン／ワン／フアン
	IPA	haN / paN / waN / ɸɯaN
否	假名	へ◦ウ／ピイ
	IPA	heɯ / piː
愀	假名	ツアーウ
	IPA	tsɯaɯ
杻	假名	チウ
	IPA	tɕiɯ
醜	假名	チウ
	IPA	tɕiɯ
守	假名	シウ／シ◦ウ／シーウ
	IPA	ɕiɯ
手	假名	シウ／ジウ／シ◦ウ／シーウ／チーウ
	IPA	ɕiɯ / dʑiɯ / tɕiɯ
首	假名	シウ／ジウ／シ◦ウ／シーウ／シエウ
	IPA	ɕiɯ / dʑiɯ / ɕieɯ
扭	假名	ニウ
	IPA	niɯ
帚	假名	チウ
	IPA	tɕiɯ
酒	假名	ツユウ／チ◦ウ／ツイーウ／ツユーウ
	IPA	tsɯjɯː / tɕiɯ / tsɯiɯ
臼	假名	キウ／ギウ
	IPA	kiɯ / giɯ
舅	假名	ギウ
	IPA	giɯ
久	假名	キウ／クウ／キ◦ウ／キーウ
	IPA	kiɯ / kɯː
九	假名	キウ／キ◦ウ／キーウ
	IPA	kiɯ
玖	假名	キユウ
	IPA	kijɯː
韭/韮	假名	キウ
	IPA	kiɯ
飯	假名	ハン／パン／ワン／フアン
	IPA	haN / paN / waN / ɸɯaN
蓽	假名	ピ
	IPA	pi
嘍	假名	レ◦ウ
	IPA	reɯ
簍	假名	レ◦ウ
	IPA	reɯ
厚	假名	へ◦ウ／ヘウ／ヘーウ
	IPA	heɯ
后／後	假名	ヘ◦ウ／へ◦ウ／ヘーウ／ヘウ
	IPA	heɯ
嘔	假名	ヱへ◦ウ
	IPA	eheɯ
叟	假名	スユ◦ウ／スエーウ
	IPA	sɯjɯː / sɯeɯ
畢	假名	ピ／ピツ
	IPA	pi / piʔ
某	假名	メ◦ウ／メーウ
	IPA	meɯ
比	假名	ヒイ／ピイ／ピ
	IPA	çiː / piː / pi
比	假名	ヒイ／ピイ／ピ
	IPA	çiː / piː / pi
畝／亩	假名	メーウ
	IPA	meɯ
比	假名	ヒイ／ピイ／ピ
	IPA	çiː / piː / pi
吼	假名	ヘ◦ウ／ヘーウ
	IPA	heɯ
吽	假名	ホン
	IPA	hoN
取	假名	ツユイ／シユ／チエ／チユ
	IPA	tsɯjɯi / ɕijɯ / tɕie / tɕijɯ
趣	假名	ツユイ／チユ／チユイ
	IPA	tsɯjɯi / tɕijɯ / tɕijɯi
口	假名	ケ◦ウ／クウ／ケーウ
	IPA	keɯ / kɯː
叩	假名	ケ◦ウ／ケーウ
	IPA	keɯ
扣／釦	假名	ケーウ
	IPA	keɯ
比	假名	ヒイ／ピイ／ピ
	IPA	çiː / piː / pi
偶	假名	ゲ◦ウ／ゲーウ
	IPA	geɯ
藕	假名	ペン／ウ
	IPA	peN / ɯ
抖	假名	テ◦ウ
	IPA	teɯ
斗	假名	テ◦ウ／テーウ
	IPA	teɯ
枓	假名	テ◦ウ
	IPA	teɯ
蚪	假名	テ◦ウ
	IPA	teɯ
走	假名	ツヱ◦ウ／ツユ◦ウ／ツエーウ
	IPA	tsɯeɯ / tsɯjɯː
垢	假名	ケーウ
	IPA	keɯ
枸	假名	ケ◦ウ
	IPA	keɯ
狗	假名	ケ◦ウ／キコイ
	IPA	keɯ / kikoi
耇	假名	クウ
	IPA	kɯː
苟	假名	ケ◦ウ／ケーウ
	IPA	keɯ
比	假名	ヒイ／ピイ／ピ
	IPA	çiː / piː / pi
復／複	假名	ホ／フウ／フ／ヘーウ
	IPA	ho / ɸɯː / ɸɯ / heɯ
椑	假名	ピイ
	IPA	piː
萆	假名	ピイ
	IPA	piː
佑/祐	假名	イ◦ウ／イウ
	IPA	iɯ
又	假名	ユ◦ウ／ユウ／イ◦ウ／イーウ／イウ
	IPA	jɯː / iɯ
右	假名	ユウ／イ◦ウ
	IPA	jɯː / iɯ
柚	假名	ユウ
	IPA	jɯː
油	假名	ユウ
	IPA	jɯː
猶	假名	ユ／ユウ／イウ／イーウ
	IPA	jɯ / jɯː / iɯ
鼬	假名	ユウ
	IPA	jɯː
溜	假名	リユウ
	IPA	rijɯː
留	假名	リウ／リ◦ウ／リーウ
	IPA	riɯ
僽	假名	ヅユウ
	IPA	dzɯjɯː
驟	假名	ヅユ◦ウ／ヅユウ
	IPA	dzɯjɯː
壽	假名	ジウ／ヂ◦ウ／シーウ／シウ／ジーウ／チーウ
	IPA	dʑiɯ / ɕiɯ / tɕiɯ
授	假名	ジウ／シーウ
	IPA	dʑiɯ / ɕiɯ
綬	假名	シウ
	IPA	ɕiɯ
富	假名	フウ／フ／プ／プウ
	IPA	ɸɯː / ɸɯ / pɯ / pɯː
就	假名	ヅユウ／ツユウ／ヅヱウ／チ◦ウ／チーウ／ヅイーウ
	IPA	dzɯjɯː / tsɯjɯː / dzɯeɯ / tɕiɯ / dzɯiɯ
鷲	假名	ヅユウ
	IPA	dzɯjɯː
俞	假名	イユイ
	IPA	ijɯi
畜	假名	ヒヨ／ヒユ
	IPA	çijo / çijɯ
宿	假名	ソ／シーウ／ス
	IPA	so / ɕiɯ / sɯ
秀	假名	スユウ／シ◦ウ／スイーウ
	IPA	sɯjɯː / ɕiɯ / sɯiɯ
繡／綉	假名	スユウ／シ◦ウ／シイーウ
	IPA	sɯjɯː / ɕiɯ / ɕiːɯ
臭	假名	チウ
	IPA	tɕiɯ
椑	假名	ピイ
	IPA	piː
嗅	假名	チウ
	IPA	tɕiɯ
守	假名	シウ／シ◦ウ／シーウ
	IPA	ɕiɯ
收	假名	シウ／シ◦ウ／シーウ
	IPA	ɕiɯ
獸	假名	シ◦ウ／シーウ
	IPA	ɕiɯ
首	假名	シウ／ジウ／シ◦ウ／シーウ／シエウ
	IPA	ɕiɯ / dʑiɯ / ɕieɯ
副	假名	フウ／フ
	IPA	ɸɯː / ɸɯ
被	假名	ピイ／ボイ／ビイ／ポイ／ピ
	IPA	piː / boi / biː / poi / pi
冑／胄	假名	チウ
	IPA	tɕiɯ
酎	假名	チユウ
	IPA	tɕijɯː
瘦	假名	スユ◦ウ／スエウ
	IPA	sɯjɯː / sɯeɯ
晝	假名	チ◦ウ／チーウ／チウ
	IPA	tɕiɯ
呪/咒/詋	假名	チウ／チーウ／チユ
	IPA	tɕiɯ / tɕijɯ
祝	假名	チユ／チヨ
	IPA	tɕijɯ / tɕijo
舊／旧	假名	ギウ／キ◦ウ／キウ
	IPA	giɯ / kiɯ
甃	假名	ツヱ◦ウ
	IPA	tsɯeɯ
皺/縐	假名	ツヱ◦ウ／ツユウ
	IPA	tsɯeɯ / tsɯjɯː
廏	假名	キウ
	IPA	kiɯ
救	假名	キウ／ギウ／クウ／キーウ
	IPA	kiɯ / giɯ / kɯː
猶	假名	ユ／ユウ／イウ／イーウ
	IPA	jɯ / jɯː / iɯ
究	假名	キーウ／キウ／キユウ
	IPA	kiɯ / kijɯː
岫	假名	チ◦ウ／ヂーウ／ジーウ
	IPA	tɕiɯ / dʑiɯ
袖	假名	ツユウ
	IPA	tsɯjɯː
漏	假名	レ◦ウ
	IPA	reɯ
候	假名	ヘウ／へ◦ウ／ヘ◦ウ／ヘーウ
	IPA	heɯ
厚	假名	へ◦ウ／ヘウ／ヘーウ
	IPA	heɯ
后／後	假名	ヘ◦ウ／へ◦ウ／ヘーウ／ヘウ
	IPA	heɯ
睺	假名	ヘーウ
	IPA	heɯ
逅	假名	ヘウ
	IPA	heɯ
鱟	假名	ヘ◦ウ／ガ◦ウ
	IPA	heɯ / gaɯ
窬	假名	イユイ
	IPA	ijɯi
竇	假名	テ◦ウ
	IPA	teɯ
豆	假名	テ◦ウ／デ◦ウ／トーウ
	IPA	teɯ / deɯ / toɯ
漚	假名	エ゚ウ
	IPA	ǝɯ
嗽	假名	スヱツ
	IPA	sɯeʔ
被	假名	ピイ／ボイ／ビイ／ポイ／ピ
	IPA	piː / boi / biː / poi / pi
茂	假名	マ◦ウ
	IPA	maɯ
吼	假名	ヘ◦ウ／ヘーウ
	IPA	heɯ
蔻	假名	ケ◦ウ
	IPA	keɯ
耨	假名	ネーウ
	IPA	neɯ
湊	假名	ツイン／ツヱ◦ウ
	IPA	tsɯiN / tsɯeɯ
寇	假名	ケ◦ウ
	IPA	keɯ
扣	假名	ケーウ
	IPA	keɯ
偶	假名	ゲ◦ウ／ゲーウ
	IPA	geɯ
鬥	假名	テ◦ウ／トーウ／テーウ
	IPA	teɯ / toɯ
闘	假名	デ◦ウ
	IPA	deɯ
奏	假名	ツユウ／ツエーウ
	IPA	tsɯjɯː / tsɯeɯ
走	假名	ツヱ◦ウ／ツユ◦ウ／ツエーウ
	IPA	tsɯeɯ / tsɯjɯː
句	假名	キ゚ユ
	IPA	kyjɯ
構	假名	ケウ
	IPA	keɯ
透	假名	テ◦ウ／テーウ
	IPA	teɯ
幼	假名	イーウ
	IPA	iɯ
繍	假名	スユウ
	IPA	sɯjɯː
煩	假名	ワン／フヤン／フワン
	IPA	waN / ɸɯjaN / ɸɯwaN
琵	假名	ピイ／ビイ
	IPA	piː / biː
椑	假名	ピイ
	IPA	piː
繁	假名	ワン
	IPA	waN
蓖	假名	ピイ
	IPA	piː
椑	假名	ピイ
	IPA	piː
蘩	假名	ワン
	IPA	waN
園	假名	イユン／ヱユン／エン／イエン
	IPA	ijɯN / ejɯN / eN / ieN
垣	假名	イユン／ユヱン／ユン
	IPA	ijɯN / jɯeN / jɯN
援	假名	ヱユン／エン
	IPA	ejɯN / eN
洹	假名	ワン
	IPA	waN
爰	假名	ユン
	IPA	jɯN
猨/猿	假名	ユヱン／ヱユン／イエン／エン
	IPA	jɯeN / ejɯN / ieN / eN
袁	假名	ユヱン
	IPA	jɯeN
轅	假名	ヱエン
	IPA	eːN
螈	假名	イユン／ヱユン
	IPA	ijɯN / ejɯN
碑	假名	ピイ
	IPA	piː
羆	假名	ピイ
	IPA	piː
冤/寃	假名	ヱユン／ユン／エン
	IPA	ejɯN / jɯN / eN
宛	假名	ワン／ユン／エン
	IPA	waN / jɯN / eN
怨	假名	ヱユン／ユン／エン
	IPA	ejɯN / jɯN / eN
焉	假名	ヱン／エン／イエン
	IPA	eN / ieN
鴛	假名	ユヱン／ヱユン／エン
	IPA	jɯeN / ejɯN / eN
喧	假名	ヒヱン／ヘエン
	IPA	çieN / heːN
塤／壎	假名	ヒヱン
	IPA	çieN
掀	假名	ヒン
	IPA	çiN
煖/諼	假名	ノハン／ノアン
	IPA	nohaN / noaN
萱	假名	ヒヱン
	IPA	çieN
軒	假名	ヘン／ヘエン
	IPA	heN / heːN
反	假名	ハン
	IPA	haN
幡/旛	假名	ハン
	IPA	haN
帔	假名	ピイ
	IPA	piː
避	假名	ピイ／ビイ／ヒイ
	IPA	piː / biː / çiː
元	假名	ヱン／ユン
	IPA	eN / jɯN
原	假名	ユヱン／ヱン／ヱユン／ユン／エン
	IPA	jɯeN / eN / ejɯN / jɯN
沅	假名	ヱン
	IPA	eN
源	假名	ユン／エン
	IPA	jɯN / eN
芫	假名	イユン／ユヱン
	IPA	ijɯN / jɯeN
言	假名	ヱン／エン／イエン
	IPA	eN / ieN
阮	假名	スヱン／ユン
	IPA	sɯeN / jɯN
黿	假名	イユン／エン
	IPA	ijɯN / eN
犍	假名	ケン
	IPA	keN
趕	假名	カン
	IPA	kaN
欄	假名	ラモ／ラン
	IPA	ramo / raN
瀾	假名	ラン
	IPA	raN
蘭	假名	ラン
	IPA	raN
闌	假名	ラン
	IPA	raN
寒	假名	ハアン／ハン
	IPA	haːN / haN
汗	假名	ハアン／ハン
	IPA	haːN / haN
翰	假名	ハアン／カン
	IPA	haːN / kaN
