"繁体字"	"简体字"	"新晃凳寨"	"声母"	"韵母"	"调值"	"声调"	"国际音标"	"说明"	
"扉"	"扉"	"fei1"	"f"	"əi"	13	"阴平"	"fəi13"		
"揮"	"挥"	"fei1"	"f"	"əi"	13	"阴平"	"fəi13"		
"灰"	"灰"	"fei1"	"f"	"əi"	13	"阴平"	"fəi13"		
"痱"	"痱"	"fei1"	"f"	"əi"	13	"阴平"	"fəi13"		
"緋"	"绯"	"fei1"	"f"	"əi"	13	"阴平"	"fəi13"		
"菲"	"菲"	"fei1"	"f"	"əi"	13	"阴平"	"fəi13"		
"詼"	"诙"	"fei1"	"f"	"əi"	13	"阴平"	"fəi13"		
"輝"	"辉"	"fei1"	"f"	"əi"	13	"阴平"	"fəi13"		
"非"	"非"	"fei1"	"f"	"əi"	13	"阴平"	"fəi13"		
"飛"	"飞"	"fei1"	"f"	"əi"	13	"阴平"	"fəi13"		
"回"	"回"	"fei2"	"f"	"əi"	11	"阳平"	"fəi11"		
"徊"	"徊"	"fei2"	"f"	"əi"	11	"阳平"	"fəi11"		
"洄"	"洄"	"fei2"	"f"	"əi"	11	"阳平"	"fəi11"		
"肥"	"肥"	"fei2"	"f"	"əi"	11	"阳平"	"fəi11"		
"茴"	"茴"	"fei2"	"f"	"əi"	11	"阳平"	"fəi11"		
"蛔"	"蛔"	"fei2"	"f"	"əi"	11	"阳平"	"fəi11"		
"迴"	"回"	"fei2"	"f"	"əi"	11	"阳平"	"fəi11"		
"匪"	"匪"	"fei3"	"f"	"əi"	21	"上声"	"fəi21"		
"悔"	"悔"	"fei3"	"f"	"əi"	21	"上声"	"fəi21"		
"毀"	"毁"	"fei3"	"f"	"əi"	21	"上声"	"fəi21"		
"燬"	"毁"	"fei3"	"f"	"əi"	21	"上声"	"fəi21"		
"誨"	"诲"	"fei3"	"f"	"əi"	21	"上声"	"fəi21"		
"誹"	"诽"	"fei3"	"f"	"əi"	21	"上声"	"fəi21"		
"匯"	"汇"	"fei5"	"f"	"əi"	45	"去声"	"fəi45"		
"卉"	"卉"	"fei5"	"f"	"əi"	45	"去声"	"fəi45"		
"吠"	"吠"	"fei5"	"f"	"əi"	45	"去声"	"fəi45"		
"喙"	"喙"	"fei5"	"f"	"əi"	45	"去声"	"fəi45"		
"廢"	"废"	"fei5"	"f"	"əi"	45	"去声"	"fəi45"		
"彗"	"彗"	"fei5"	"f"	"əi"	45	"去声"	"fəi45"		
"彙"	"汇"	"fei5"	"f"	"əi"	45	"去声"	"fəi45"		
"惠"	"惠"	"fei5"	"f"	"əi"	45	"去声"	"fəi45"		
"慧"	"慧"	"fei5"	"f"	"əi"	45	"去声"	"fəi45"		
"晦"	"晦"	"fei5"	"f"	"əi"	45	"去声"	"fəi45"		
"會"	"会"	"fei5"	"f"	"əi"	45	"去声"	"fəi45"		
"沸"	"沸"	"fei5"	"f"	"əi"	45	"去声"	"fəi45"		
"燴"	"烩"	"fei5"	"f"	"əi"	45	"去声"	"fəi45"		
"狒"	"狒"	"fei5"	"f"	"əi"	45	"去声"	"fəi45"		
"疿"	"疿"	"fei5"	"f"	"əi"	45	"去声"	"fəi45"		
"穗"	"穗"	"fei5"	"f"	"əi"	45	"去声"	"fəi45"		
"穢"	"秽"	"fei5"	"f"	"əi"	45	"去声"	"fəi45"		
"繪"	"绘"	"fei5"	"f"	"əi"	45	"去声"	"fəi45"		
"肺"	"肺"	"fei5"	"f"	"əi"	45	"去声"	"fəi45"		
"薈"	"荟"	"fei5"	"f"	"əi"	45	"去声"	"fəi45"		
"諱"	"讳"	"fei5"	"f"	"əi"	45	"去声"	"fəi45"		
"費"	"费"	"fei5"	"f"	"əi"	45	"去声"	"fəi45"		
"費"	"费"	"fei5"	"f"	"əi"	45	"去声"	"fəi45"		
"賄"	"贿"	"fei5"	"f"	"əi"	45	"去声"	"fəi45"		
"分"	"分"	"fen1"	"f"	"ən"	13	"阴平"	"fən13"		
"吩"	"吩"	"fen1"	"f"	"ən"	13	"阴平"	"fən13"		
"婚"	"婚"	"fen1"	"f"	"ən"	13	"阴平"	"fən13"		
"昏"	"昏"	"fen1"	"f"	"ən"	13	"阴平"	"fən13"		
"紛"	"纷"	"fen1"	"f"	"ən"	13	"阴平"	"fən13"		
"芬"	"芬"	"fen1"	"f"	"ən"	13	"阴平"	"fən13"		
"葷"	"荤"	"fen1"	"f"	"ən"	13	"阴平"	"fən13"		
"酚"	"酚"	"fen1"	"f"	"ən"	13	"阴平"	"fən13"		
"雰"	"雰"	"fen1"	"f"	"ən"	13	"阴平"	"fən13"		
"墳"	"坟"	"fen2"	"f"	"ən"	11	"阳平"	"fən11"		
"橫"	"横"	"fen2"	"f"	"ən"	11	"阳平"	"fən11"	"白读"	
"汾"	"汾"	"fen2"	"f"	"ən"	11	"阳平"	"fən11"		
"渾"	"浑"	"fen2"	"f"	"ən"	11	"阳平"	"fən11"	"文读"	
"焚"	"焚"	"fen2"	"f"	"ən"	11	"阳平"	"fən11"		
"餛"	"馄"	"fen2"	"f"	"ən"	11	"阳平"	"fən11"	"文读"	
"魂"	"魂"	"fen2"	"f"	"ən"	11	"阳平"	"fən11"		
"粉"	"粉"	"fen3"	"f"	"ən"	21	"上声"	"fən21"		
"份"	"份"	"fen5"	"f"	"ən"	45	"去声"	"fən45"		
"奮"	"奋"	"fen5"	"f"	"ən"	45	"去声"	"fən45"		
"忿"	"忿"	"fen5"	"f"	"ən"	45	"去声"	"fən45"		
"憤"	"愤"	"fen5"	"f"	"ən"	45	"去声"	"fən45"		
"氛"	"氛"	"fen5"	"f"	"ən"	45	"去声"	"fən45"		
"混"	"混"	"fen5"	"f"	"ən"	45	"去声"	"fən45"		
"渾"	"浑"	"fen5"	"f"	"ən"	45	"去声"	"fən45"	"混蛋"	
"糞"	"粪"	"fen5"	"f"	"ən"	45	"去声"	"fən45"		
"浮"	"浮"	"fou2"	"f"	"əu"	11	"阳平"	"fəu11"	"老"	
"否"	"否"	"fou3"	"f"	"əu"	21	"上声"	"fəu21"		
"缶"	"缶"	"fou3"	"f"	"əu"	21	"上声"	"fəu21"		
"乎"	"乎"	"fu1"	"f"	"u"	13	"阴平"	"fu13"		
"伕"	"夫"	"fu1"	"f"	"u"	13	"阴平"	"fu13"		
"呼"	"呼"	"fu1"	"f"	"u"	13	"阴平"	"fu13"		
"呼"	"唿"	"fu1"	"f"	"u"	13	"阴平"	"fu13"		
"夫"	"夫"	"fu1"	"f"	"u"	13	"阴平"	"fu13"		
"扶"	"扶"	"fu1"	"f"	"u"	13	"阴平"	"fu13"	"白，让"	
"敷"	"敷"	"fu1"	"f"	"u"	13	"阴平"	"fu13"		
"膚"	"肤"	"fu1"	"f"	"u"	13	"阴平"	"fu13"		
"趺"	"趺"	"fu1"	"f"	"u"	13	"阴平"	"fu13"		
"麩"	"麸"	"fu1"	"f"	"u"	13	"阴平"	"fu13"		
"伏"	"伏"	"fu2"	"f"	"u"	11	"阳平"	"fu11"	"文读"	
"俘"	"俘"	"fu2"	"f"	"u"	11	"阳平"	"fu11"		
"囫"	"囫"	"fu2"	"f"	"u"	11	"阳平"	"fu11"		
"壺"	"壶"	"fu2"	"f"	"u"	11	"阳平"	"fu11"		
"孵"	"孵"	"fu2"	"f"	"u"	11	"阳平"	"fu11"		
"幅"	"幅"	"fu2"	"f"	"u"	11	"阳平"	"fu11"		
"弗"	"弗"	"fu2"	"f"	"u"	11	"阳平"	"fu11"		
"弧"	"弧"	"fu2"	"f"	"u"	11	"阳平"	"fu11"	"老"	
"彿"	"佛"	"fu2"	"f"	"u"	11	"阳平"	"fu11"		
"復"	"复"	"fu2"	"f"	"u"	11	"阳平"	"fu11"	"恢复，报复、重复"	
"忽"	"忽"	"fu2"	"f"	"u"	11	"阳平"	"fu11"		
"惚"	"惚"	"fu2"	"f"	"u"	11	"阳平"	"fu11"		
"扶"	"扶"	"fu2"	"f"	"u"	11	"阳平"	"fu11"		
"拂"	"拂"	"fu2"	"f"	"u"	11	"阳平"	"fu11"		
"斛"	"斛"	"fu2"	"f"	"u"	11	"阳平"	"fu11"		
"服"	"服"	"fu2"	"f"	"u"	11	"阳平"	"fu11"		
"氟"	"氟"	"fu2"	"f"	"u"	11	"阳平"	"fu11"		
"浮"	"浮"	"fu2"	"f"	"u"	11	"阳平"	"fu11"	"新"	
"涪"	"涪"	"fu2"	"f"	"u"	11	"阳平"	"fu11"		
"湖"	"湖"	"fu2"	"f"	"u"	11	"阳平"	"fu11"		
"狐"	"狐"	"fu2"	"f"	"u"	11	"阳平"	"fu11"		
"猢"	"猢"	"fu2"	"f"	"u"	11	"阳平"	"fu11"		
"瑚"	"瑚"	"fu2"	"f"	"u"	11	"阳平"	"fu11"		
"福"	"福"	"fu2"	"f"	"u"	11	"阳平"	"fu11"		
"符"	"符"	"fu2"	"f"	"u"	11	"阳平"	"fu11"		
"糊"	"糊"	"fu2"	"f"	"u"	11	"阳平"	"fu11"		
"糊"	"煳"	"fu2"	"f"	"u"	11	"阳平"	"fu11"		
"胡"	"胡"	"fu2"	"f"	"u"	11	"阳平"	"fu11"		
"芙"	"芙"	"fu2"	"f"	"u"	11	"阳平"	"fu11"		
"葫"	"葫"	"fu2"	"f"	"u"	11	"阳平"	"fu11"		
"蜉"	"蜉"	"fu2"	"f"	"u"	11	"阳平"	"fu11"		
"蝠"	"蝠"	"fu2"	"f"	"u"	11	"阳平"	"fu11"		
"蝴"	"蝴"	"fu2"	"f"	"u"	11	"阳平"	"fu11"		
"袱"	"袱"	"fu2"	"f"	"u"	11	"阳平"	"fu11"		
"複"	"复"	"fu2"	"f"	"u"	11	"阳平"	"fu11"		
"輻"	"辐"	"fu2"	"f"	"u"	11	"阳平"	"fu11"		
"醐"	"醐"	"fu2"	"f"	"u"	11	"阳平"	"fu11"		
"鬍"	"胡"	"fu2"	"f"	"u"	11	"阳平"	"fu11"		
"鳧"	"凫"	"fu2"	"f"	"u"	11	"阳平"	"fu11"		
"俯"	"俯"	"fu3"	"f"	"u"	21	"上声"	"fu21"		
"府"	"府"	"fu3"	"f"	"u"	21	"上声"	"fu21"		
"撫"	"抚"	"fu3"	"f"	"u"	21	"上声"	"fu21"		
"斧"	"斧"	"fu3"	"f"	"u"	21	"上声"	"fu21"		
"滸"	"浒"	"fu3"	"f"	"u"	21	"上声"	"fu21"		
"琥"	"琥"	"fu3"	"f"	"u"	21	"上声"	"fu21"		
"甫"	"甫"	"fu3"	"f"	"u"	21	"上声"	"fu21"		
"脯"	"脯"	"fu3"	"f"	"u"	21	"上声"	"fu21"		
"腐"	"腐"	"fu3"	"f"	"u"	21	"上声"	"fu21"		
"腑"	"腑"	"fu3"	"f"	"u"	21	"上声"	"fu21"		
"虎"	"虎"	"fu3"	"f"	"u"	21	"上声"	"fu21"		
"輔"	"辅"	"fu3"	"f"	"u"	21	"上声"	"fu21"		
"釜"	"釜"	"fu3"	"f"	"u"	21	"上声"	"fu21"		
"互"	"互"	"fu5"	"f"	"u"	45	"去声"	"fu45"		
"付"	"付"	"fu5"	"f"	"u"	45	"去声"	"fu45"		
"傅"	"傅"	"fu5"	"f"	"u"	45	"去声"	"fu45"		
"副"	"副"	"fu5"	"f"	"u"	45	"去声"	"fu45"		
"咐"	"咐"	"fu5"	"f"	"u"	45	"去声"	"fu45"		
"婦"	"妇"	"fu5"	"f"	"u"	45	"去声"	"fu45"		
"富"	"富"	"fu5"	"f"	"u"	45	"去声"	"fu45"		
"復"	"复"	"fu5"	"f"	"u"	45	"去声"	"fu45"	"复原、光复"	
"戶"	"户"	"fu5"	"f"	"u"	45	"去声"	"fu45"		
"戶"	"戶"	"fu5"	"f"	"u"	45	"去声"	"fu45"		
"戽"	"戽"	"fu5"	"f"	"u"	45	"去声"	"fu45"	"戽水"	
"扈"	"扈"	"fu5"	"f"	"u"	45	"去声"	"fu45"		
"滬"	"沪"	"fu5"	"f"	"u"	45	"去声"	"fu45"		
"父"	"父"	"fu5"	"f"	"u"	45	"去声"	"fu45"		
"縛"	"缚"	"fu5"	"f"	"u"	45	"去声"	"fu45"		
"腹"	"腹"	"fu5"	"f"	"u"	45	"去声"	"fu45"		
"蝮"	"蝮"	"fu5"	"f"	"u"	45	"去声"	"fu45"		
"覆"	"覆"	"fu5"	"f"	"u"	45	"去声"	"fu45"	"颠覆"	
"護"	"护"	"fu5"	"f"	"u"	45	"去声"	"fu45"		
"負"	"负"	"fu5"	"f"	"u"	45	"去声"	"fu45"		
"賦"	"赋"	"fu5"	"f"	"u"	45	"去声"	"fu45"		
"赴"	"赴"	"fu5"	"f"	"u"	45	"去声"	"fu45"	"文"	
"附"	"附"	"fu5"	"f"	"u"	45	"去声"	"fu45"		
"駙"	"驸"	"fu5"	"f"	"u"	45	"去声"	"fu45"		
"佳"	"佳"	"ga1"	"k"	"a"	13	"阴平"	"ka13"		
"傢"	"家"	"ga1"	"k"	"a"	13	"阴平"	"ka13"	"家公"	
"加"	"加"	"ga1"	"k"	"a"	13	"阴平"	"ka13"		
"嘉"	"嘉"	"ga1"	"k"	"a"	13	"阴平"	"ka13"		
"家"	"家"	"ga1"	"k"	"a"	13	"阴平"	"ka13"	"家公"	
"珈"	"珈"	"ga1"	"k"	"a"	13	"阴平"	"ka13"		
"痂"	"痂"	"ga1"	"k"	"a"	13	"阴平"	"ka13"		
"葭"	"葭"	"ga1"	"k"	"a"	13	"阴平"	"ka13"		
"袈"	"袈"	"ga1"	"k"	"a"	13	"阴平"	"ka13"		
"賈"	"贾"	"ga1"	"k"	"a"	13	"阴平"	"ka13"		
"迦"	"迦"	"ga1"	"k"	"a"	13	"阴平"	"ka13"		
"噶"	"噶"	"ga2"	"k"	"a"	11	"阳平"	"ka11"		
"夾"	"夹"	"ga2"	"k"	"a"	11	"阳平"	"ka11"	"老"	
"戛"	"戛"	"ga2"	"k"	"a"	11	"阳平"	"ka11"		
"甲"	"甲"	"ga2"	"k"	"a"	11	"阳平"	"ka11"	"老"	
"蟹"	"蟹"	"ga2"	"k"	"a"	11	"阳平"	"ka11"	"白读"	
"假"	"假"	"ga3"	"k"	"a"	21	"上声"	"ka21"	"真假"	
"價"	"价"	"ga5"	"k"	"a"	45	"去声"	"ka45"		
"嫁"	"嫁"	"ga5"	"k"	"a"	45	"去声"	"ka45"		
"尬"	"尬"	"ga5"	"k"	"a"	45	"去声"	"ka45"		
"架"	"架"	"ga5"	"k"	"a"	45	"去声"	"ka45"		
"疥"	"疥"	"ga5"	"k"	"a"	45	"去声"	"ka45"		
"稼"	"稼"	"ga5"	"k"	"a"	45	"去声"	"ka45"		
"駕"	"驾"	"ga5"	"k"	"a"	45	"去声"	"ka45"		
"皆"	"皆"	"gai1"	"k"	"ai"	13	"阴平"	"kai13"		
"街"	"街"	"gai1"	"k"	"ai"	13	"阴平"	"kai13"		
"該"	"该"	"gai1"	"k"	"ai"	13	"阴平"	"kai13"		
"階"	"阶"	"gai1"	"k"	"ai"	13	"阴平"	"kai13"		
"改"	"改"	"gai3"	"k"	"ai"	21	"上声"	"kai21"		
"解"	"解"	"gai3"	"k"	"ai"	21	"上声"	"kai21"		
"丐"	"丐"	"gai5"	"k"	"ai"	45	"去声"	"kai45"		
"介"	"介"	"gai5"	"k"	"ai"	45	"去声"	"kai45"		
"屆"	"届"	"gai5"	"k"	"ai"	45	"去声"	"kai45"		
"戒"	"戒"	"gai5"	"k"	"ai"	45	"去声"	"kai45"	"文读"	
"械"	"械"	"gai5"	"k"	"ai"	45	"去声"	"kai45"		
"界"	"界"	"gai5"	"k"	"ai"	45	"去声"	"kai45"		
"芥"	"芥"	"gai5"	"k"	"ai"	45	"去声"	"kai45"		
"蓋"	"盖"	"gai5"	"k"	"ai"	45	"去声"	"kai45"		
"誡"	"诫"	"gai5"	"k"	"ai"	45	"去声"	"kai45"		
"鈣"	"钙"	"gai5"	"k"	"ai"	45	"去声"	"kai45"		
"乾"	"干"	"gan1"	"k"	"an"	13	"阴平"	"kan13"		
"乾"	"乾"	"gan1"	"k"	"an"	13	"阴平"	"kan13"		
"奸"	"奸"	"gan1"	"k"	"an"	13	"阴平"	"kan13"		
"尷"	"尴"	"gan1"	"k"	"an"	13	"阴平"	"kan13"		
"干"	"干"	"gan1"	"k"	"an"	13	"阴平"	"kan13"		
"柑"	"柑"	"gan1"	"k"	"an"	13	"阴平"	"kan13"		
"泔"	"泔"	"gan1"	"k"	"an"	13	"阴平"	"kan13"		
"甘"	"甘"	"gan1"	"k"	"an"	13	"阴平"	"kan13"		
"竿"	"竿"	"gan1"	"k"	"an"	13	"阴平"	"kan13"		
"肝"	"肝"	"gan1"	"k"	"an"	13	"阴平"	"kan13"		
"肩"	"肩"	"gan1"	"k"	"an"	13	"阴平"	"kan13"	"老"	
"間"	"间"	"gan1"	"k"	"an"	13	"阴平"	"kan13"		
"感"	"感"	"gan3"	"k"	"an"	21	"上声"	"kan21"		
"擀"	"擀"	"gan3"	"k"	"an"	21	"上声"	"kan21"		
"敢"	"敢"	"gan3"	"k"	"an"	21	"上声"	"kan21"		
"桿"	"杆"	"gan3"	"k"	"an"	21	"上声"	"kan21"		
"橄"	"橄"	"gan3"	"k"	"an"	21	"上声"	"kan21"		
"減"	"减"	"gan3"	"k"	"an"	21	"上声"	"kan21"	"老"	
"稈"	"秆"	"gan3"	"k"	"an"	21	"上声"	"kan21"		
"趕"	"赶"	"gan3"	"k"	"an"	21	"上声"	"kan21"		
"䍐"	"䍐"	"gan4"	"k"	"an"	45	"去声"	"kan45"	"网"	
"幹"	"干"	"gan5"	"k"	"an"	45	"去声"	"kan45"		
"淦"	"淦"	"gan5"	"k"	"an"	45	"去声"	"kan45"		
"贛"	"赣"	"gan5"	"k"	"an"	45	"去声"	"kan45"		
"間"	"间"	"gan5"	"k"	"an"	45	"去声"	"kan45"		
"剛"	"刚"	"gang1"	"k"	"aŋ"	13	"阴平"	"kaŋ13"		
"岡"	"冈"	"gang1"	"k"	"aŋ"	13	"阴平"	"kaŋ13"		
"崗"	"岗"	"gang1"	"k"	"aŋ"	13	"阴平"	"kaŋ13"		
"扛"	"扛"	"gang1"	"k"	"aŋ"	13	"阴平"	"kaŋ13"		
"江"	"江"	"gang1"	"k"	"aŋ"	13	"阴平"	"kaŋ13"		
"綱"	"纲"	"gang1"	"k"	"aŋ"	13	"阴平"	"kaŋ13"		
"缸"	"缸"	"gang1"	"k"	"aŋ"	13	"阴平"	"kaŋ13"		
"罡"	"罡"	"gang1"	"k"	"aŋ"	13	"阴平"	"kaŋ13"		
"肛"	"肛"	"gang1"	"k"	"aŋ"	13	"阴平"	"kaŋ13"		
"豇"	"豇"	"gang1"	"k"	"aŋ"	13	"阴平"	"kaŋ13"		
"鋼"	"钢"	"gang1"	"k"	"aŋ"	13	"阴平"	"kaŋ13"		
"港"	"港"	"gang3"	"k"	"aŋ"	21	"上声"	"kaŋ21"		
"講"	"讲"	"gang3"	"k"	"aŋ"	21	"上声"	"kaŋ21"		
"槓"	"杠"	"gang5"	"k"	"aŋ"	45	"去声"	"kaŋ45"		
"皋"	"皋"	"gao1"	"k"	"au"	13	"阴平"	"kau13"		
"睾"	"睾"	"gao1"	"k"	"au"	13	"阴平"	"kau13"		
"篙"	"篙"	"gao1"	"k"	"au"	13	"阴平"	"kau13"		
"糕"	"糕"	"gao1"	"k"	"au"	13	"阴平"	"kau13"		
"羔"	"羔"	"gao1"	"k"	"au"	13	"阴平"	"kau13"		
"膏"	"膏"	"gao1"	"k"	"au"	13	"阴平"	"kau13"		
"高"	"高"	"gao1"	"k"	"au"	13	"阴平"	"kau13"		
"攪"	"搅"	"gao2"	"k"	"au"	11	"阳平"	"kau11"	"白"	
"搞"	"搞"	"gao3"	"k"	"au"	21	"上声"	"kau21"		
"稿"	"稿"	"gao3"	"k"	"au"	21	"上声"	"kau21"		
"告"	"告"	"gao5"	"k"	"au"	45	"去声"	"kau45"		
"校"	"校"	"gao5"	"k"	"au"	45	"去声"	"kau45"	"白。实践"	
"窖"	"窖"	"gao5"	"k"	"au"	45	"去声"	"kau45"		
"覺"	"觉"	"gao5"	"k"	"au"	45	"去声"	"kau45"	"白"	
"嗝"	"嗝"	"ge2"	"k"	"e"	11	"阳平"	"ke11"		
"格"	"格"	"ge2"	"k"	"e"	11	"阳平"	"ke11"		
"疙"	"疙"	"ge2"	"k"	"e"	11	"阳平"	"ke11"	"同“结”"	
"結"	"结"	"ge2"	"k"	"e"	11	"阳平"	"ke11"	"白读"	
"隔"	"隔"	"ge2"	"k"	"e"	11	"阳平"	"ke11"		
"革"	"革"	"ge2"	"k"	"e"	11	"阳平"	"ke11"		
"骼"	"骼"	"ge2"	"k"	"e"	11	"阳平"	"ke11"		
"鬲"	"鬲"	"ge2"	"k"	"e"	11	"阳平"	"ke11"		
"給"	"给"	"ge3"	"k"	"e"	21	"上声"	"ke21"		
"割"	"割"	"ge5"	"k"	"e"	45	"去声"	"ke45"	"白读"	
"戒"	"戒"	"ge5"	"k"	"e"	45	"去声"	"ke45"	"白读"	
"鋸"	"锯"	"ge5"	"k"	"e"	45	"去声"	"ke45"	"白"	
"庚"	"庚"	"gen1"	"k"	"ən"	13	"阴平"	"kən13"		
"更"	"更"	"gen1"	"k"	"ən"	13	"阴平"	"kən13"		
"根"	"根"	"gen1"	"k"	"ən"	13	"阴平"	"kən13"		
"羹"	"羹"	"gen1"	"k"	"ən"	13	"阴平"	"kən13"		
"耕"	"耕"	"gen1"	"k"	"ən"	13	"阴平"	"kən13"		
"跟"	"跟"	"gen1"	"k"	"ən"	13	"阴平"	"kən13"		
"哽"	"哽"	"gen3"	"k"	"ən"	21	"上声"	"kən21"		
"埂"	"埂"	"gen3"	"k"	"ən"	21	"上声"	"kən21"		
"整"	"整"	"gen3"	"k"	"ən"	21	"上声"	"kən21"	"白读"	
"梗"	"梗"	"gen3"	"k"	"ən"	21	"上声"	"kən21"	"文读"	
"耿"	"耿"	"gen3"	"k"	"ən"	21	"上声"	"kən21"		
"亙"	"亘"	"gen5"	"k"	"ən"	45	"去声"	"kən45"		
"更"	"更"	"gen5"	"k"	"ən"	45	"去声"	"kən45"		
"艮"	"艮"	"gen5"	"k"	"ən"	45	"去声"	"kən45"		
"挼"	"挼"	"gha2"	"ɣ"	"a"	11	"阳平"	"ɣa11"	"揉"	
"冉"	"冉"	"ghan3"	"ɣ"	"an"	21	"上声"	"ɣan21"	"白新"	
"染"	"染"	"ghan3"	"ɣ"	"an"	21	"上声"	"ɣan21"	"白新"	
"瓤"	"瓤"	"ghang2"	"ɣ"	"aŋ"	11	"阳平"	"ɣaŋ11"		
"嚷"	"嚷"	"ghang3"	"ɣ"	"aŋ"	21	"上声"	"ɣaŋ21"		
"壤"	"壤"	"ghang3"	"ɣ"	"aŋ"	21	"上声"	"ɣaŋ21"		
"攘"	"攘"	"ghang3"	"ɣ"	"aŋ"	21	"上声"	"ɣaŋ21"		
"讓"	"让"	"ghang5"	"ɣ"	"aŋ"	45	"去声"	"ɣaŋ45"		
"饒"	"饶"	"ghao2"	"ɣ"	"au"	11	"阳平"	"ɣau11"	"白"	
"擾"	"扰"	"ghao3"	"ɣ"	"au"	21	"上声"	"ɣau21"	"白"	
"繞"	"绕"	"ghao3"	"ɣ"	"au"	21	"上声"	"ɣau21"	"白"	
"繞"	"绕"	"ghao5"	"ɣ"	"au"	45	"去声"	"ɣau45"	"白"	
"兒"	"儿"	"ghe2"	"ɣ"	"ə"	21	"上声"	"ɣə21"		
"日"	"日"	"ghe2"	"ɣ"	"ə"	21	"上声"	"ɣə21"	"白"	
"熱"	"热"	"ghe2"	"ɣ"	"ə"	21	"上声"	"ɣə21"		
"而"	"而"	"ghe2"	"ɣ"	"ə"	21	"上声"	"ɣə21"		
"遏"	"遏"	"ghe2"	"ɣ"	"e"	11	"阳平"	"ɣe11"		
"洱"	"洱"	"ghe3"	"ɣ"	"ə"	21	"上声"	"ɣə21"		
"爾"	"尔"	"ghe3"	"ɣ"	"ə"	21	"上声"	"ɣə21"		
"耳"	"耳"	"ghe3"	"ɣ"	"ə"	21	"上声"	"ɣə21"		
"餌"	"饵"	"ghe3"	"ɣ"	"ə"	21	"上声"	"ɣə21"		
"二"	"二"	"ghe5"	"ɣ"	"ə"	45	"去声"	"ɣə45"		
"廿"	"廿"	"ghe5"	"ɣ"	"ə"	45	"去声"	"ɣə45"		
"貳"	"贰"	"ghe5"	"ɣ"	"ə"	45	"去声"	"ɣə45"		
"而"	"而"	"ghee2"	"ɣ"	"e"	11	"阳平"	"ɣe11"		
"惹"	"惹"	"ghee3"	"ɣ"	"e"	21	"上声"	"ɣe21"		
"然"	"然"	"gheen2"	"ɣ"	"en"	11	"阳平"	"ɣen11"	"白老"	
"燃"	"燃"	"gheen2"	"ɣ"	"en"	11	"阳平"	"ɣen11"	"白老"	
"冉"	"冉"	"gheen3"	"ɣ"	"en"	21	"上声"	"ɣen21"	"白老"	
"染"	"染"	"gheen3"	"ɣ"	"en"	21	"上声"	"ɣen21"	"白老"	
"仍"	"仍"	"ghen1"	"ɣ"	"ən"	13	"阴平"	"ɣən13"	"白"	
"扔"	"扔"	"ghen1"	"ɣ"	"ən"	13	"阴平"	"ɣən13"	"白"	
"人"	"人"	"ghen2"	"ɣ"	"ən"	11	"阳平"	"ɣən11"	"白"	
"仁"	"仁"	"ghen2"	"ɣ"	"ən"	11	"阳平"	"ɣən11"	"白"	
"任"	"任"	"ghen2"	"ɣ"	"ən"	11	"阳平"	"ɣən11"	"白"	
"壬"	"壬"	"ghen2"	"ɣ"	"ən"	11	"阳平"	"ɣən11"	"白"	
"忍"	"忍"	"ghen3"	"ɣ"	"ən"	21	"上声"	"ɣən21"	"白"	
"荏"	"荏"	"ghen3"	"ɣ"	"ən"	21	"上声"	"ɣən21"	"白"	
"任"	"任"	"ghen5"	"ɣ"	"ən"	45	"去声"	"ɣən45"		
"刃"	"刃"	"ghen5"	"ɣ"	"ən"	45	"去声"	"ɣən45"	"白"	
"妊"	"妊"	"ghen5"	"ɣ"	"ən"	45	"去声"	"ɣən45"		
"潤"	"润"	"ghen5"	"ɣ"	"ən"	45	"去声"	"ɣən45"	"白"	
"硬"	"硬"	"ghen5"	"ɣ"	"ən"	45	"去声"	"ɣən45"	"硬要"	
"紉"	"纫"	"ghen5"	"ɣ"	"ən"	45	"去声"	"ɣən45"	"白"	
"認"	"认"	"ghen5"	"ɣ"	"ən"	45	"去声"	"ɣən45"	"白"	
"閏"	"闰"	"ghen5"	"ɣ"	"ən"	45	"去声"	"ɣən45"	"白"	
"韌"	"韧"	"ghen5"	"ɣ"	"ən"	45	"去声"	"ɣən45"	"白"	
"飪"	"饪"	"ghen5"	"ɣ"	"ən"	45	"去声"	"ɣən45"	"白"	
"屙"	"屙"	"gho1"	"ɣ"	"o"	13	"阴平"	"ɣo13"		
"撾"	"挝"	"gho1"	"ɣ"	"o"	13	"阴平"	"ɣo13"		
"渦"	"涡"	"gho1"	"ɣ"	"o"	13	"阴平"	"ɣo13"		
"窩"	"窝"	"gho1"	"ɣ"	"o"	13	"阴平"	"ɣo13"		
"阿"	"阿"	"gho1"	"ɣ"	"o"	13	"阴平"	"ɣo13"		
"屙"	"屙"	"gho1"	"ɣ"	"o"	13	"阴平"	"ɣo13"	"拉"	
"俄"	"俄"	"gho2"	"ɣ"	"o"	11	"阳平"	"ɣo11"		
"厄"	"厄"	"gho2"	"ɣ"	"o"	11	"阳平"	"ɣo11"		
"噁"	"恶"	"gho2"	"ɣ"	"o"	11	"阳平"	"ɣo11"		
"噩"	"噩"	"gho2"	"ɣ"	"o"	11	"阳平"	"ɣo11"		
"堊"	"垩"	"gho2"	"ɣ"	"o"	11	"阳平"	"ɣo11"		
"娥"	"娥"	"gho2"	"ɣ"	"o"	11	"阳平"	"ɣo11"		
