繁體	简体	吳拼	備注
晚	晚	mɛ²²	夜到晚頭：晚上。晚娘：後母
埋	埋	mɛ²²	埋沒
凡	凡	vɛ²²	
帆	帆	vɛ²²	
煩	烦	vɛ²²	
礬	矾	vɛ²²	
繁	繁	vɛ²²	
譚	谭	dɛ²²	
潭	潭	dɛ²²	
燂	燂	dɛ²²	文火燒：燂茶
談	谈	dɛ²²	
檀	檀	dɛ²²	
壇	坛	dɛ²²	
彈	弹	dɛ²²	
誕	诞	dɛ²²	
鱏	鱏	dɛ²²	鱏胡，名魚
鱣	鳣	dɛ²²	鱣魚
難	难	nɛ²²	困難
藍	蓝	lɛ²²	
籃	篮	lɛ²²	
蘭	兰	lɛ²²	
攔	拦	lɛ²²	
欄	栏	lɛ²²	
幱	幱	lɛ²²	布幱：圍裙
纜	缆	lɛ²²	繩索：纜頭。系船用的粗繩
慚	惭	dzɛ²²	
讒	谗	dzɛ²²	
饞	馋	dzɛ²²	
殘	残	dzɛ²²	
巖	岩	ŋɛ²²	
顏	颜	ŋɛ²²	
癌	癌	ŋɛ²²	
鹹	咸	ɦɛ²²	
閒	闲	ɦɛ²²	
閑	闲	ɦɛ²²	
限	限	ɦɛ²²	限年：過去幾年
板	板	pɛ³⁵	
版	版	pɛ³⁵	
舨	舨	pɛ³⁵	舢舨，小船名
畈	畈	pɛ³⁵	
反	反	fɛ³⁵	
翻	翻	fɛ³⁵	
撣	掸	tɛ³⁵	
疸	疸	tɛ³⁵	
坦	坦	tʰɛ³⁵	
斬	斩	tsɛ³⁵	
盞	盏	tsɛ³⁵	
慘	惨	tsʰɛ³⁵	
產	产	tsʰɛ³⁵	
鏟	铲	tsʰɛ³⁵	
散	散	sɛ³⁵	散開
減	减	kɛ³⁵	
鹼	碱	kɛ³⁵	
襉	裥	kɛ³⁵	裙子或衣服上的褶：百襉裙
襇	裥	kɛ³⁵	裙子或衣服上的褶：百襇裙
坎	坎	kʰɛ³⁵	
砍	砍	kʰɛ³⁵	
檻	槛	kʰɛ³⁵	門檻
喊	喊	hɛ³⁵	叫喊
鴨	鸭	ɛ³⁵	小鴨，小鴨兒
貓	猫	ʔmɛ³⁵	
霧	雾	ʔmɛ³⁵	漁民說法。霧上來唻：霧起來了
範	范	vɛ²⁴	
范	范	vɛ²⁴	
犯	犯	vɛ²⁴	
晚	晚	vɛ²⁴	
淡	淡	dɛ²⁴	
覽	览	lɛ²⁴	
懶	懒	lɛ²⁴	
攬	揽	lɛ²⁴	
欖	榄	lɛ²⁴	
踐	践	dzɛ²⁴	實踐
眼	眼	ŋɛ²⁴	眼睛。一眼眼：一點點
扮	扮	pɛ⁴⁴	
𢲔	𢲔	pɛ⁴⁴	被擋住的東西絆倒：𢲔了一跤
盼	盼	pʰɛ⁴⁴	
襻	襻	pʰɛ⁴⁴	紐襻
蠻	蛮	ʔmɛ⁴⁴	蠻好，很好
泛	泛	fɛ⁴⁴	
販	贩	fɛ⁴⁴	
㽹	㽹	fɛ⁴⁴	欲tu
𨠒	𨠒	fɛ⁴⁴	變顏色：𨠒紅（藍色衣服穿舊而變得發紅）
擔	担	tɛ⁴⁴	挑擔
旦	旦	tɛ⁴⁴	
炭	炭	tʰɛ⁴⁴	
嘆	叹	tʰɛ⁴⁴	
奶	奶	ʔnɛ⁴⁴	喫奶奶：喫奶
蘸	蘸	tsɛ⁴⁴	
贊	赞	tsɛ⁴⁴	
灒	灒	tsɛ⁴⁴	濺
撍	撍	tsɛ⁴⁴	兩手簸動盛器，使裏面的東西拌勻
燦	灿	tsʰɛ⁴⁴	
散	散	sɛ⁴⁴	分散
傘	伞	sɛ⁴⁴	
疝	疝	sɛ⁴⁴	疝氣
監	监	kɛ⁴⁴	
間	间	kɛ⁴⁴	
莧	苋	hɛ⁴⁴	莧菜
晏	晏	ɛ⁴⁴	來晏唻：來晚了
辦	办	bɛ¹³	
瓣	瓣	bɛ¹³	
慢	慢	mɛ¹³	
蔓	蔓	mɛ¹³	
萬	万	mɛ¹³	一萬：麻將牌中的一萬
飯	饭	vɛ¹³	
萬	万	vɛ¹³	
蛋	蛋	dɛ¹³	雞蛋，扯蛋（吹牛）
難	难	nɛ¹³	落難
廿	廿	nɛ¹³	二十
濫	滥	lɛ¹³	
暫	暂	dzɛ¹³	
賺	赚	dzɛ¹³	
站	站	dzɛ¹³	
綻	绽	dzɛ¹³	
棧	栈	dzɛ¹³	
鑱	鑱	zɛ¹³	掘進：鑱了一個洞
岸	岸	ŋɛ¹³	
礙	碍	ŋɛ¹³	
艾	艾	ŋɛ¹³	
陷	陷	ɦɛ¹³	
餡	馅	ɦɛ¹³	
憾	憾	ɦɛ¹³	
茄	茄	dʑiɛ²²	
驗	验	ȵiɛ¹³	
念	念	ȵiɛ¹³	
廿	廿	ȵiɛ¹³	二十
捻	捻	ȵiɛ¹³	
唸	唸	ȵiɛ¹³	
乖	乖	kuɛ⁵³	
關	关	kuɛ⁵³	
鰥	鳏	kuɛ⁵³	
乖	乖	huɛ⁵³	
懁	懁	huɛ⁵³	指小孩聽話、聰穎
甩	甩	huɛ⁵³	甩手（撒手）
彎	弯	uɛ⁵³	
灣	湾	uɛ⁵³	
囝	囝	uɛ⁵³	小囝：男孩
環	环	ɡuɛ²²	環子：耳環
懷	怀	ɦuɛ²²	
淮	淮	ɦuɛ²²	
槐	槐	ɦuɛ²²	
挽	挽	uɛ³⁵	
貫	贯	kuɛ⁴⁴	
慣	惯	kuɛ⁴⁴	
筷	筷	kʰuɛ⁴⁴	
摜	掼	ɡuɛ¹³	丟、扔：摜脫：丟掉
甩	甩	ɡuɛ¹³	用具提樑
玩	玩	ɦuɛ¹³	
胎	胎	tʰe⁵³	
台	台	tʰe⁵³	天台：地名
苔	苔	tʰe⁵³	舌苔
災	灾	tse⁵³	
栽	栽	tse⁵³	
猜	猜	tsʰe⁵³	
腮	腮	se⁵³	
鰓	鳃	se⁵³	
衰	衰	se⁵³	
該	该	ke⁵³	
開	开	kʰe⁵³	
哀	哀	e⁵³	
埃	埃	e⁵³	塵埃
台	台	de²²	
苔	苔	de²²	苔條：海藻類植物
鮐	鲐	de²²	鮐魚：魚名
來	来	le²²	
唻	唻	le²²	語氣詞
才	才	dze²²	
纔	才	dze²²	
材	材	dze²²	
財	财	dze²²	
裁	裁	dze²²	
裁	裁	ze²²	
餩	餩	ɡe²²	打餩：打飽嗝
呆	呆	ŋe²²	
皚	皑	ŋe²²	
孩	孩	ɦe²²	
宰	宰	tse³⁵	
載	载	tse³⁵	三年五載
采	采	tsʰe³⁵	
彩	彩	tsʰe³⁵	
綵	彩	tsʰe³⁵	
睬	睬	tsʰe³⁵	
踩	踩	tsʰe³⁵	
採	採	tsʰe³⁵	
且	且	tsʰe³⁵	
改	改	ke³⁵	
凱	凯	kʰe³⁵	
海	海	he³⁵	
待	待	de²⁴	
怠	怠	de²⁴	
殆	殆	de²⁴	
紿	绐	de²⁴	①鬆弛②胃不適。肚皮紿紿動（胃不適想吐狀）
在	在	dze²⁴	
亥	亥	ɦe²⁴	
戴	戴	te⁴⁴	姓
態	态	tʰe⁴⁴	
乃	乃	ʔne⁴⁴	
再	再	tse⁴⁴	
載	载	tse⁴⁴	載重
菜	菜	tsʰe⁴⁴	
賽	赛	se⁴⁴	
帥	帅	se⁴⁴	
概	概	ke⁴⁴	
溉	溉	ke⁴⁴	
蓋	盖	ke⁴⁴	
丐	丐	ke⁴⁴	
慨	慨	kʰe⁴⁴	
愛	爱	e⁴⁴	
代	代	de¹³	
袋	袋	de¹³	
貸	贷	de¹³	
岱	岱	de¹³	
耐	耐	ne¹³	
隑	隑	ɡe¹³	靠：隑牢（靠着）
礙	碍	ŋe¹³	
艾	艾	ŋe¹³	
害	害	ɦe¹³	
支	支	tsɿ⁵³	
枝	枝	tsɿ⁵³	
肢	肢	tsɿ⁵³	
梔	栀	tsɿ⁵³	
資	资	tsɿ⁵³	
姿	姿	tsɿ⁵³	
諮	咨	tsɿ⁵³	
脂	脂	tsɿ⁵³	
之	之	tsɿ⁵³	
芝	芝	tsɿ⁵³	
㿳	㿳	tsɿ⁵³	黑㿳㿳：有點黑
鯔	鲻	tsɿ⁵³	鯔魚：魚名
雌	雌	tsʰɿ⁵³	
疵	疵	tsʰɿ⁵³	
差	差	tsʰɿ⁵³	參差
梳	梳	sɿ⁵³	梳頭
斯	斯	sɿ⁵³	
撕	撕	sɿ⁵³	
篩	筛	sɿ⁵³	米篩
施	施	sɿ⁵³	
私	私	sɿ⁵³	
獅	狮	sɿ⁵³	
屍	尸	sɿ⁵³	
尸	尸	sɿ⁵³	
司	司	sɿ⁵³	
絲	丝	sɿ⁵³	
思	思	sɿ⁵³	
詩	诗	sɿ⁵³	
螄	蛳	sɿ⁵³	螄螺
瓷	瓷	dzɿ²²	
遲	迟	dzɿ²²	
持	持	dzɿ²²	
痔	痔	dzɿ²²	
茲	兹	dzɿ²²	
磁	磁	dzɿ²²	
慈	慈	dzɿ²²	
辭	辞	dzɿ²²	
詞	词	dzɿ²²	
鶿	鹚	dzɿ²²	鸕鶿
匙	匙	zɿ²²	
鋤	锄	zɿ²²	
糍	糍	zɿ²²	
時	时	zɿ²²	
鰣	鲥	zɿ²²	鰣魚
祠	祠	zɿ²²	
餈	餈	zɿ²²	𩞁餈
豉	豉	zɿ²²	豆豉
𪿚	𪿚	zɿ²²	𪿚螺。漁民稱礁石
煮	煮	tsɿ³⁵	
紫	紫	tsɿ³⁵	
紙	纸	tsɿ³⁵	
旨	旨	tsɿ³⁵	
指	指	tsɿ³⁵	
子	子	tsɿ³⁵	
梓	梓	tsɿ³⁵	
滓	滓	tsɿ³⁵	
止	止	tsɿ³⁵	
趾	趾	tsɿ³⁵	
址	址	tsɿ³⁵	
鼠	鼠	tsɿ³⁵	老鼠
籽	籽	tsɿ³⁵	
仔	仔	tsɿ³⁵	
芷	芷	tsɿ³⁵	
茈	茈	tsɿ³⁵	
鼠	鼠	tsʰɿ³⁵	老鼠
此	此	tsʰɿ³⁵	
侈	侈	tsʰɿ³⁵	
齒	齿	tsʰɿ³⁵	
屎	屎	sɿ³⁵	
矢	矢	sɿ³⁵	
使	使	sɿ³⁵	
史	史	sɿ³⁵	
駛	驶	sɿ³⁵	
始	始	sɿ³⁵	
賜	赐	sɿ³⁵	
士	士	zɿ²⁴	
仕	仕	zɿ²⁴	
柿	柿	zɿ²⁴	
祀	祀	zɿ²⁴	
巳	巳	zɿ²⁴	
是	是	zɿ²⁴	
氏	氏	zɿ²⁴	
市	市	zɿ²⁴	
恃	恃	zɿ²⁴	
致	致	tsɿ⁴⁴	
至	至	tsɿ⁴⁴	
志	志	tsɿ⁴⁴	
置	置	tsɿ⁴⁴	
㨖	㨖	tsɿ⁴⁴	㨖鞋：上鞋子
痣	痣	tsɿ⁴⁴	
刺	刺	tsʰɿ⁴⁴	
翅	翅	tsʰɿ⁴⁴	
次	次	tsʰɿ⁴⁴	
廁	厕	tsʰɿ⁴⁴	
飭	饬	tsʰɿ⁴⁴	
四	四	sɿ⁴⁴	
肆	肆	sɿ⁴⁴	
試	试	sɿ⁴⁴	
泗	泗	sɿ⁴⁴	嵊泗：地名
滯	滞	dzɿ¹³	
雉	雉	dzɿ¹³	
治	治	dzɿ¹³	
自	自	zɿ¹³	
示	示	zɿ¹³	
視	视	zɿ¹³	
嗜	嗜	zɿ¹³	嗜好
侍	侍	zɿ¹³	
事	事	zɿ¹³	
字	字	zɿ¹³	
寺	寺	zɿ¹³	
嗣	嗣	zɿ¹³	
飼	饲	zɿ¹³	
逝	逝	zɿ¹³	
誓	誓	zɿ¹³	
伺	伺	zɿ¹³	
朱	朱	tsʮ⁵³	
硃	硃	tsʮ⁵³	
株	株	tsʮ⁵³	
珠	珠	tsʮ⁵³	
蛛	蛛	tsʮ⁵³	
蜘	蜘	tsʮ⁵³	
知	知	tsʮ⁵³	
諸	诸	tsʮ⁵³	
褚	褚	tsʮ⁵³	姓
誅	诛	tsʮ⁵³	
侏	侏	tsʮ⁵³	短、矮
銖	铢	tsʮ⁵³	銖耜，開山鋤
吹	吹	tsʰʮ⁵³	
趨	趋	tsʰʮ⁵³	
嗤	嗤	tsʰʮ⁵³	
癡	痴	tsʰʮ⁵³	
書	书	sʮ⁵³	
舒	舒	sʮ⁵³	
須	须	sʮ⁵³	
需	需	sʮ⁵³	
輸	输	sʮ⁵³	
尿	尿	sʮ⁵³	
廚	厨	dzʮ²²	
杵	杵	dzʮ²²	木練杵：搗衣木棒
除	除	dzʮ²²	
錐	锥	dzʮ²²	秤錐
槌	槌	dzʮ²²	錘
如	如	zʮ²²	
署	署	zʮ²²	
殊	殊	zʮ²²	
儒	儒	zʮ²²	
主	主	tsʮ³⁵	
拄	拄	tsʮ³⁵	
豬	猪	tsʮ³⁵	
嘴	嘴	tsʮ³⁵	
咀	咀	tsʮ³⁵	
取	取	tsʰʮ³⁵	
娶	娶	tsʰʮ³⁵	
恥	耻	tsʰʮ³⁵	
耻	耻	tsʰʮ³⁵	
粢	粢	tsʰʮ³⁵	粢飯：蒸熟的糯米飯
鼠	鼠	tsʰʮ³⁵	老鼠
水	水	sʮ³⁵	
柱	柱	dzʮ²⁴	
汝	汝	zʮ²⁴	
序	序	zʮ²⁴	
敘	叙	zʮ²⁴	
聚	聚	zʮ²⁴	
豎	竖	zʮ²⁴	
乳	乳	zʮ²⁴	
緒	绪	zʮ²⁴	
注	注	tsʮ⁴⁴	
駐	驻	tsʮ⁴⁴	
鑄	铸	tsʮ⁴⁴	
制	制	tsʮ⁴⁴	
智	智	tsʮ⁴⁴	
著	著	tsʮ⁴⁴	顯著
註	註	tsʮ⁴⁴	
㨖	㨖	tsʮ⁴⁴	㨖鞋，鞝鞋
疰	疰	tsʮ⁴⁴	疰夏，到夏天時胃口不好，精神不振。疰浪：暈船
蛀	蛀	tsʮ⁴⁴	
製	製	tsʮ⁴⁴	
處	处	tsʰʮ⁴⁴	
趣	趣	tsʰʮ⁴⁴	
世	世	sʮ⁴⁴	
勢	势	sʮ⁴⁴	
庶	庶	sʮ⁴⁴	
恕	恕	sʮ⁴⁴	
歲	岁	sʮ⁴⁴	
輸	输	sʮ⁴⁴	
貰	贳	sʮ⁴⁴	租賃：貰器店（出租器具的店）
絮	絮	sʮ⁴⁴	
黍	黍	sʮ⁴⁴	
住	住	dzʮ¹³	
治	治	dzʮ¹³	
墜	坠	dzʮ¹³	墜頭：系在器物上垂着的東西
薯	薯	zʮ¹³	番薯
樹	树	zʮ¹³	
批	批	pʰi⁵³	
披	披	pʰi⁵³	
㓟	㓟	pʰi⁵³	刀析：㓟魚
𠜱	𠜱	pʰi⁵³	削
非	非	fi⁵³	
飛	飞	fi⁵³	
妃	妃	fi⁵³	
匪	匪	fi⁵³	
榧	榧	fi⁵³	香榧子
扉	扉	fi⁵³	
低	低	ti⁵³	
梯	梯	tʰi⁵³	
你	你	kni⁵³	
乜	乜	ʔmi⁵³	
眯	眯	ʔmi⁵³	眯𥉻眼
飢	饥	tɕi⁵³	
機	机	tɕi⁵³	
稽	稽	tɕi⁵³	
肌	肌	tɕi⁵³	
基	基	tɕi⁵³	
雞	鸡	tɕi⁵³	
箕	箕	tɕi⁵³	土箕
鍥	锲	tɕi⁵³	沙鍥：有細刺的小彎刀
繼	继	tɕi⁵³	
姐	姐	tɕi⁵³	姐妹
姊	姊	tɕi⁵³	阿姊
枝	枝	tɕi⁵³	荔枝
妻	妻	tɕʰi⁵³	
棲	栖	tɕʰi⁵³	
溪	溪	tɕʰi⁵³	
欺	欺	tɕʰi⁵³	
蛆	蛆	tɕʰi⁵³	
𥉻	𥉻	tɕʰi⁵³	近𥉻眼
西	西	ɕi⁵³	
犀	犀	ɕi⁵³	
犧	牺	ɕi⁵³	
嬉	嬉	ɕi⁵³	
熙	熙	ɕi⁵³	
希	希	ɕi⁵³	
稀	稀	ɕi⁵³	
戲	戏	ɕi⁵³	玩
衣	衣	i⁵³	
醫	医	i⁵³	
伊	伊	i⁵³	
依	依	i⁵³	
皮	皮	bi²²	
陛	陛	bi²²	
疲	疲	bi²²	
脾	脾	bi²²	
毖	毖	bi²²	
枇	枇	bi²²	
斃	毙	bi²²	
肥	肥	bi²²	施肥
痹	痹	bi²²	麻痹
迷	迷	mi²²	
謎	谜	mi²²	
彌	弥	mi²²	
眉	眉	mi²²	
楣	楣	mi²²	
湄	湄	mi²²	
糜	糜	mi²²	
唯	唯	vi²²	
維	维	vi²²	
惟	惟	vi²²	
肥	肥	vi²²	
微	微	vi²²	
提	提	di²²	
題	题	di²²	
啼	啼	di²²	
蹄	蹄	di²²	
鯷	鳀	di²²	鯷魚
梨	梨	li²²	
犁	犁	li²²	
黎	黎	li²²	
離	离	li²²	
籬	篱	li²²	籬笆
璃	璃	li²²	
履	履	li²²	
狸	狸	li²²	
剺	剺	li²²	剺破：劃破
釐	釐	li²²	
𠠍	𠠍	li²²	
奇	奇	dʑi²²	
薺	荠	dʑi²²	薺菜
犄	犄	dʑi²²	
歧	歧	dʑi²²	
祁	祁	dʑi²²	
祈	祈	dʑi²²	
鰭	鳍	dʑi²²	
其	其	dʑi²²	
旗	旗	dʑi²²	
棋	棋	dʑi²²	
期	期	dʑi²²	
鱭	鲚	dʑi²²	鱭魚
臍	脐	dʑi²²	肚臍
騎	骑	dʑi²²	
池	池	dʑi²²	池塘
遲	迟	dʑi²²	
蜝	蜝	dʑi²²	螃蜝蟹：小蟹名
泥	泥	ȵi²²	
倪	倪	ȵi²²	
宜	宜	ȵi²²	
尼	尼	ȵi²²	
疑	疑	ȵi²²	
沂	沂	ȵi²²	
膩	腻	ȵi²²	油膩
耳	耳	ȵi²²	耳朵
儀	仪	ȵi²²	
呢	呢	ȵi²²	
齊	齐	ʑi²²	
徐	徐	ʑi²²	
畦	畦	ʑi²²	
移	移	ɦi²²	
姨	姨	ɦi²²	
夷	夷	ɦi²²	
飴	饴	ɦi²²	
遺	遗	ɦi²²	
攜	携	ɦi²²	
胰	胰	ɦi²²	
怡	怡	ɦi²²	
頤	颐	ɦi²²	
比	比	pi³⁵	
鄙	鄙	pi³⁵	
蓖	蓖	pi³⁵	蓖麻
彼	彼	pi³⁵	
俾	俾	pi³⁵	
渳	渳	ʔmi³⁵	小喝以品味道：渳一口
底	底	ti³⁵	
抵	抵	ti³⁵	
掂	掂	ti³⁵	
癲	癫	ti³⁵	羊癲瘋
體	体	tʰi³⁵	
擠	挤	tɕi³⁵	
几	几	tɕi³⁵	茶几
己	己	tɕi³⁵	
紀	纪	tɕi³⁵	
啓	启	tɕʰi³⁵	
企	企	tɕʰi³⁵	
起	起	tɕʰi³⁵	
杞	杞	tɕʰi³⁵	
豈	岂	tɕʰi³⁵	
洗	洗	ɕi³⁵	
璽	玺	ɕi³⁵	
喜	喜	ɕi³⁵	
熹	熹	ɕi³⁵	
嬉	嬉	ɕi³⁵	
髓	髓	ɕi³⁵	
徙	徙	ɕi³⁵	
死	死	ɕi³⁵	
戲	戏	ɕi³⁵	名詞。京戲
倚	倚	i³⁵	
椅	椅	i³⁵	
以	以	i³⁵	
已	已	i³⁵	
𥀬	𥀬	i³⁵	傷口結𥀬。傷口結痂了
厴	厣	i³⁵	螺類動物頭上的圓蓋：螄螺厴
婢	婢	bi²⁴	
被	被	bi²⁴	被頭：被子
尾	尾	mi²⁴	尾巴
米	米	mi²⁴	
靡	靡	mi²⁴	
尾	尾	vi²⁴	
弟	弟	di²⁴	
雉	雉	di²⁴	雉雞：野雞
里	里	li²⁴	
裏	里	li²⁴	
裡	里	li²⁴	
李	李	li²⁴	
理	理	li²⁴	
鯉	鲤	li²⁴	
禮	礼	li²⁴	
呂	吕	li²⁴	
旅	旅	li²⁴	
妓	妓	dʑi²⁴	
痔	痔	dʑi²⁴	
峙	峙	dʑi²⁴	地名
蟻	蚁	ȵi²⁴	
擬	拟	ȵi²⁴	
以	以	ɦi²⁴	
已	已	ɦi²⁴	
矣	矣	ɦi²⁴	
閉	闭	pi⁴⁴	
蔽	蔽	pi⁴⁴	
臂	臂	pi⁴⁴	
譬	譬	pi⁴⁴	譬方
祕	秘	pi⁴⁴	
泌	泌	pi⁴⁴	
庇	庇	pi⁴⁴	
屁	屁	pʰi⁴⁴	
譬	譬	pʰi⁴⁴	譬如
批	批	pʰi⁴⁴	一批貨
閉	闭	ʔmi⁴⁴	閉攏
咪	咪	ʔmi⁴⁴	甜咪咪
肺	肺	fi⁴⁴	
廢	废	fi⁴⁴	
痱	痱	fi⁴⁴	痱子
費	费	fi⁴⁴	
翡	翡	fi⁴⁴	
杮	杮	fi⁴⁴	木杮：斧子砍下的碎木片
吠	吠	fi⁴⁴	
帝	帝	ti⁴⁴	
渧	渧	ti⁴⁴	滴水、溼透
蒂	蒂	ti⁴⁴	
替	替	tʰi⁴⁴	
剃	剃	tʰi⁴⁴	
屜	屉	tʰi⁴⁴	
嚏	嚏	tʰi⁴⁴	噴嚏
濟	济	tɕi⁴⁴	
計	计	tɕi⁴⁴	
祭	祭	tɕi⁴⁴	
際	际	tɕi⁴⁴	
寄	寄	tɕi⁴⁴	
冀	冀	tɕi⁴⁴	
記	记	tɕi⁴⁴	
既	既	tɕi⁴⁴	
季	季	tɕi⁴⁴	
𣥼	𣥼	tɕi⁴⁴	盛：𣥼飯
穄	穄	tɕi⁴⁴	節穄：高粱
繫	繫	tɕi⁴⁴	繫鞋帶：繫鞋帶
劑	剂	tɕi⁴⁴	
砌	砌	tɕʰi⁴⁴	
碶	碶	tɕʰi⁴⁴	
契	契	tɕʰi⁴⁴	
器	器	tɕʰi⁴⁴	
棄	弃	tɕʰi⁴⁴	
氣	气	tɕʰi⁴⁴	
汽	汽	tɕʰi⁴⁴	
去	去	tɕʰi⁴⁴	
覷	觑	tɕʰi⁴⁴	眯着眼看
絮	絮	ɕi⁴⁴	花絮
細	细	ɕi⁴⁴	
胥	胥	ɕi⁴⁴	
婿	婿	ɕi⁴⁴	
系	系	ɕi⁴⁴	
戲	戏	ɕi⁴⁴	
鏾	鏾	ɕi⁴⁴	鏾雞：去勢後的公雞
世	世	ɕi⁴⁴	一世：一生
意	意	i⁴⁴	
憶	忆	i⁴⁴	
億	亿	i⁴⁴	
瞖	瞖	i⁴⁴	目瞖
䞁	䞁	i⁴⁴	比試：䞁長短（比長短）
敝	敝	pi¹³	
幣	币	pi¹³	
弊	弊	pi¹³	
避	避	pi¹³	
鐾	鐾	pi¹³	擦、磨
坒	坒	pi¹³	層：一坒磚
緶	缏	pi¹³	
味	味	mi¹³	
未	未	mi¹³	未唻：還早
未	未	vi¹³	
味	味	vi¹³	
隸	隶	di¹³	
第	第	di¹³	
遞	递	di¹³	
地	地	di¹³	
麗	丽	li¹³	
濾	滤	li¹³	
慮	虑	li¹³	
厲	厉	li¹³	
勵	励	li¹³	
荔	荔	li¹³	
利	利	li¹³	
蠣	蛎	li¹³	蠣蝗
痢	痢	li¹³	
吏	吏	li¹³	
淚	泪	li¹³	
忌	忌	dʑi¹³	
苧	苎	dʑi¹³	
技	技	dʑi¹³	
伎	伎	dʑi¹³	
箸	箸	dʑi¹³	筷箸籠：插筷子用具
藝	艺	ȵi¹³	
誼	谊	ȵi¹³	
義	义	ȵi¹³	
儀	仪	ȵi¹³	
議	议	ȵi¹³	
二	二	ȵi¹³	
貳	贰	ȵi¹³	
毅	毅	ȵi¹³	
異	异	ɦi¹³	
易	易	ɦi¹³	難易
又	又	ɦi¹³	又來了
鋪	铺	pʰu⁵³	鋪擺
捕	捕	pʰu⁵³	
呼	呼	fu⁵³	
乎	乎	fu⁵³	
夫	夫	fu⁵³	
膚	肤	fu⁵³	
跗	跗	fu⁵³	
敷	敷	fu⁵³	
俘	俘	fu⁵³	
麩	麸	fu⁵³	
都	都	tu⁵³	都城
妒	妒	tu⁵³	
姑	姑	tu⁵³	阿姑：姑母
租	租	tsu⁵³	
阻	阻	tsu⁵³	
粗	粗	tsʰu⁵³	
初	初	tsʰu⁵³	
蘇	苏	su⁵³	
甦	苏	su⁵³	
酥	酥	su⁵³	
梳	梳	su⁵³	
疏	疏	su⁵³	
蔬	蔬	su⁵³	
姑	姑	ku⁵³	
蛄	蛄	ku⁵³	蛄螻
孤	孤	ku⁵³	
枯	枯	kʰu⁵³	
箍	箍	kʰu⁵³	
窠	窠	kʰu⁵³	被窠：被窩
烏	乌	u⁵³	
污	污	u⁵³	
罅	罅	u⁵³	豁罅：裂縫
塢	坞	u⁵³	落塢：放在合適位置
菩	菩	bu²²	
蒲	蒲	bu²²	
脯	脯	bu²²	
鵓	鹁	bu²²	鵓鴣
婆	婆	bu²²	孤老太婆
捕	捕	bu²²	逮捕犯人
符	符	vu²²	
扶	扶	vu²²	
芙	芙	vu²²	
巫	巫	vu²²	
誣	诬	vu²²	
撫	抚	vu²²	
徒	徒	du²²	
屠	屠	du²²	
途	途	du²²	
塗	涂	du²²	
涂	涂	du²²	
圖	图	du²²	
奴	奴	nu²²	
吾	吾	nu²²	
梧	梧	nu²²	
娛	娱	nu²²	
盧	卢	lu²²	
蘆	芦	lu²²	
鸕	鸬	lu²²	
廬	庐	lu²²	茅廬
驢	驴	lu²²	
鱸	鲈	lu²²	鱸魚
爐	炉	lu²²	
櫓	橹	lu²²	划船工具
鋤	锄	dzu²²	
助	助	dzu²²	
跍	跍	ɡu²²	蹲：跍落來（蹲下來）
胡	胡	ɦu²²	
湖	湖	ɦu²²	
狐	狐	ɦu²²	
瓠	瓠	ɦu²²	
吳	吴	ɦu²²	
蜈	蜈	ɦu²²	
梧	梧	ɦu²²	
吾	吾	ɦu²²	
娛	娱	ɦu²²	
壺	壶	ɦu²²	
鬍	鬍	ɦu²²	
無	无	ɦu²²	
巫	巫	ɦu²²	
誣	诬	ɦu²²	
乎	乎	ɦu²²	
腐	腐	ɦu²²	
補	补	pu³⁵	
譜	谱	pu³⁵	
普	普	pʰu³⁵	
浦	浦	pʰu³⁵	
潽	潽	pʰu³⁵	溢出：飯潽來（飯燒開後往外溢）
虎	虎	fu³⁵	
滸	浒	fu³⁵	
斧	斧	fu³⁵	
殕	殕	fu³⁵	白殕：白花
輔	辅	fu³⁵	
脯	脯	fu³⁵	
甫	甫	fu³⁵	
釜	釜	fu³⁵	
府	府	fu³⁵	
腑	腑	fu³⁵	
賭	赌	tu³⁵	
堵	堵	tu³⁵	
肚	肚	tu³⁵	魚肚
土	土	tʰu³⁵	
吐	吐	tʰu³⁵	吐唻
祖	祖	tsu³⁵	
組	组	tsu³⁵	
阻	阻	tsu³⁵	
楚	楚	tsu³⁵	
礎	础	tsu³⁵	
數	数	su³⁵	動詞：數一數
古	古	ku³⁵	
估	估	ku³⁵	
牯	牯	ku³⁵	
股	股	ku³⁵	
鼓	鼓	ku³⁵	
鴣	鸪	ku³⁵	鵓鴣：鳥名
咕	咕	ku³⁵	
苦	苦	kʰu³⁵	
嗚	呜	u³⁵	
部	部	bu²⁴	
簿	簿	bu²⁴	
篰	篰	bu²⁴	竹製有較大孔眼的盛器
䩉	䩉	bu²⁴	嘴䩉：常指牲口的嘴巴
父	父	vu²⁴	
腐	腐	vu²⁴	
婦	妇	vu²⁴	
撫	抚	vu²⁴	
肚	肚	du²⁴	肚皮
杜	杜	du²⁴	
努	努	nu²⁴	
魯	鲁	lu²⁴	
櫓	橹	lu²⁴	
虜	虏	lu²⁴	
滷	卤	lu²⁴	
鹵	卤	lu²⁴	
戶	户	ɦu²⁴	
滬	沪	ɦu²⁴	
午	午	ɦu²⁴	
武	武	ɦu²⁴	
舞	舞	ɦu²⁴	
婦	妇	ɦu²⁴	
鵡	鹉	ɦu²⁴	
伍	伍	ɦu²⁴	
五	五	ɦu²⁴	
父	父	ɦu²⁴	師父
撫	抚	ɦu²⁴	
侮	侮	ɦu²⁴	
腐	腐	ɦu²⁴	
