#符号说明：-白=文/书*俗?待考	
#调值	［1］53［2］31［5］423［6］213［7］5［8］23
#ɿ	
zo [2]曹槽潮朝韶[6]造赵兆邵扰皂召绍摷{提篮子}	
ko [1]高膏糕羔交-{~白卷}胶-{~水，橡~}茭篙[5]稿告教-{~书}绞酵-{发~}校-{~准，~秤}觉{睏~}窖铰叫{~花子}	
kho [1]敲[5]考烤拷靠铐巧-{蝴蝶结状的油炸点心，即“巧果”}	
ɡo [6]搞搅	
ŋo [2]熬[6]咬傲鏊	
o [1]䫜爊拗[5]澳懊凹奥袄	
ho [1]蒿□{食物变质的味道}[5]好孝-{带~}耗	
ɦo [2]毫豪壕㩝[6]号浩	
#io	
pio [1]臕标表婊彪□{液体喷射}□{骄气}[5]表	
phio [1]飘[5]漂票	
bio [2]瓢嫖薸	
mio [2]苗描[5]渺[6]庙妙谬秒缪{姓}	
tio [1]刁雕貂[5]鸟-{一只~}吊钓	
thio [1]挑[5]跳粜	
dio [2]条调□{跺脚}[6]掉调	
lio [1]撩了摷{扬起手来打}捞[2]廖燎疗辽聊僚镣[6]瞭料𨣀	
ʦio [1]焦蕉椒[5]醮剿	
ʦhio [1]缲悄锹[5]钞{~票}□{裹上}	
sio [1]消宵霄硝销逍萧□{用尖硬物捅，刷}□{躺在地上哭闹耍赖，~地光}梢{细竹~}[5]小笑	
zio [2]剿瞧巢[6]𢰏	
ʨio [1]交={~通}胶={~卷，~州}郊骄浇娇[5]教={~育，~师}较缴叫饺校={~对}	
ʨhio [1]撬[5]巧=翘窍	
ʥio [2]荞侨桥乔[6]轿撬{又写作“挢”}挢{撬}翘{木板受潮弯曲}	
ɕio [1]嚣□{揭开}[5]酵={~母}哮孝={~顺}晓	
ȵio [1]扭-{~屁股，~来~去}[2]饶绕[5]鸟={~类}尿	
io [1]妖腰要夭幺邀要[5]要	
ɦio [2]摇謡姚窑遥鹞尧杳[6]效舀耀校={学~}	
#ã	
pã [1]绷浜	
phã [1]□{雨随风飘进}乓[5]碰{脚~脚，~~磕磕}□{合，~和}	
bã [2]棚朋彭膨[6]碰{~到，~撞}甏𦗭	
mã [1]猫{“猫儿”的合音}[2]虻盲-[6]猛-{~做，~吃}蜢孟稝	
tã [5]打	
thã [1]□{~锣，一种锣}	
dã [6]婸	
lã [6]冷	
ʦã [1]张争-{~天夺地}睁[5]长涨胀账仗{打~}帐	
ʦhã [1]撑[5]畅厂牚昶{“……昶……昶”表示做某事时间长，例如吃了很长时间叫“吃昶吃昶”}	
sã [1]生-{吃~活，~熟}牲-{畜~}甥声-{~气，喊一~}	
zã [2]长肠场常{~熟；~庄：经常}[6]仗{炮~}杖剩{本字为“长”：~下来}锃丈盛-长{剩余，俗字作“剩”：~下来}	
kã [1]羹粳更-{打~，敲~，半夜三~}[5]哽梗埂	
khã [1]坑	
ɡã [2]□{擦着，推撞：~伊下去}□{~屙虫：屎壳郎}	
ŋã [6]硬	
ã [1]鹦-{~哥}樱-{~桃}	
hã [1]亨行-{表示“做”的意思}	
ɦã [2]行-{单用表示流行；使……行进：~船，~车，~兵}[6]杏	
#iã	
