字頭	聲母/韻母/聲調	註釋	錔字
陘	kɐŋ22		
傾	kʰɐŋ24		
瓊	kʰɐŋ21		
擎	kʰɐŋ21		
澄	kʰɐŋ21	[水渾,澄—澄]	
鯨	kʰɐŋ21		
哽	kʰɐŋ55		
□	kʰɐŋ55	[食物如骨頭卡在喉嚨出不來]	啃
□	kʰɐŋ33	[聰明、了不起]	
輕	hɐŋ24	(~松)	
馨	hɐŋ24		
磬	hɐŋ24		
罄	hɐŋ24		
卿	hɐŋ24		
兄	hɐŋ24		
興	hɐŋ24	(~旺)	
肯	hɐŋ55		
慶	hɐŋ33		
興	hɐŋ33	(高~)	
□	ʔɐŋ55	(~住)[有東西頂住，致使有不舒服的感覺]	哽
英	jɐŋ24		
應	jɐŋ24	(該)	
嬰	jɐŋ24		
櫻	jɐŋ24		
應	jɐŋ24	(~當)	
鷹	jɐŋ24		
鸚	jɐŋ24		
纓	jɐŋ24		
迎	jɐŋ21		
蠅	jɐŋ21		
縈	jɐŋ21		
營	jɐŋ21		
螢	jɐŋ21		
盈	jɐŋ21		
瑩	jɐŋ21		
贏	jɐŋ21		
形	jɐŋ21		
型	jɐŋ21		
刑	jɐŋ21		
滎	jɐŋ21		
影	jɐŋ55		
映	jɐŋ55		
應	jɐŋ33	(響~)	
轟	kwɐŋ24		
□	kwɐŋ21	(硬~~)[硬梆梆]	梗
迥	kwɐŋ55		
□	pʰɐp21	[擬聲詞](~~仔)[手扶拖拉機]	卟
□	ɗɐp3	[抓、捉](一~米)[一把米]	
□	ɗɐp2	[敲]	𢱕
□	ɗɐp2	(~倒)[跌倒]	𢱕
□	tʰɐp3	[把分開的東西接駁好]	錔
□	nɐp2	(~~nɔ22nɔ22)[磨磨蹭蹭]	𥹉
笠	lɐp5		
耷	ɗɐp3	(~低頭)[低下頭]	
□	lɐp2	(~~亂)[亂糟糟]	垃
垃	lɐp2		
圾	ɬɐp5	(~~碎)[小事一椿](碎~~)[不成整的、全是又散又碎的]	
圾	ɬɐp35	*變調(垃~)	
執	ʦɐp5	[拾起、撿起]	
鍘	ʦɐp2		
□	ʦʰɐp5	[用一些專用工具去搜刮、捕撈水裏的蝦或螺等]	揖
澀	sɐp3		
蛤	kɐp3		
扱	kʰɐp5	[蓋上蓋子]	扱
噏	ŋɐp5	[說]	噏
扤	ŋɐp2	[搖動]	
洽	hɐp5		
合	hɐp2	[合上]	
搕	ʔɐp3	[捂，特指封閉使不透氣]	
別	ɓɐt2		
龞	ɓɐt2		
撇	pʰɐt3		
搣	mɐt3	[撕、剝]	搣
篾	mɐt2		
滅	mɐt2		
屄	wɐt5	(~仔)[女性生殖器]	屄
挖	wɐt3	[新]	
八	ɓɐt3		
滑	wɐt2	[新]	
節	ɗɐt5		
節	ɗɐt3		
截	ɗɐt2		
秩	ɗɐt2		
切	tʰɐt3	(~開)	
鐵	tʰɐt3		
匿	nɐt3	[躲藏]	
跌	ɗɐt3		
裂	lɐt3	(~開)	
列	lɐt2		
烈	lɐt2		
薛	ɬɐt5		
屑	ɬɐt5		
泄	ɬɐt5		
窒	ʦɐt2	[頂嘴、頂撞]	
潔	kɐt5	(大清~)	
結	kɐt5	(~婚)	
結	kɐt3	(~果)	
潔	kɐt3	(洗~精)	
傑	kɐt2		
揭	kʰɐt5	(~開)	
咳	kʰɐt5		
蠍	kʰɐt3		
乞	hɐt5		
歇	hɐt3		
挈	hɐt3	(帶~)[提攜而使人沾光]	
刮	kwɐt3	(~魚鱗)	
□	ɓɐk2	[塊,量詞](一~布)	
蔔	ɓɐk2	(蘿~)	
辟	pʰɐk5		
僻	pʰɐk5		
擘	pʰɐk5		
檗	pʰɐk5		
癖	pʰɐk5		
闢	pʰɐk5		
嘜	mɐk5	(~頭)[頭像,外來詞](醒~)[醒目]	
墨	mɐk2		
陌	mɐk2		
覓	mɐk2		
北	ɓɐk5		
逼	ɓɐk5		
迫	ɓɐk5		
碧	ɓɐk5		
璧	ɓɐk5		
壁	ɓɐk5		
域	wɐk2		
疫	wɐk2		
役	wɐk2		
積	ɗɐk5		
迹	ɗɐk5		
績	ɗɐk5		
跡	ɗɐk5		
鯽	ɗɐk5		
跡	ɗɐk5		
鯽	ɗɐk3		
席	ɗɐk2	(主~)	
特	ɗɐk2		
狄	ɗɐk2		
籍	ɗɐk2		
藉	ɗɐk2		
夕	ɗɐk2		
敵	ɗɐk2		
寂	ɗɐk2		
戚	tʰɐk5		
剔	tʰɐk5		
賊	tʰɐk2		
匿	nɐk5	(~名)	
溺	nɐk5		
□	nɐk3	(~牙)[說話結巴不利索]	
得	ɗɐk5	(~意)	
德	ɗɐk5		
的	ɗɐk5		
嫡	ɗɐk5		
滴	ɗɐk5	(簷~水)	
得	ɗɐk5	(覺~)	
滴	ɗɐk5	(~水)	
力	lɐk2		
曆	lɐk2		
歷	lɐk2		
息	ɬɐk5		
惜	ɬɐk5		
昔	ɬɐk5		
析	ɬɐk5		
悉	ɬɐk5		
熄	ɬɐk5		
媳	ɬɐk5		
錫	ɬɐk5		
嗇	ɬɐk5		
□	ɬɐk35	[孫子的子女]	𮱝
塞	ɬɐk3	[塞住，動詞]	
織	ʦɐk5	(紡~)	
職	ʦɐk5		
炙	ʦɐk5		
織	ʦɐk3	(~衫)	
側	ʦɐk3		
直	ʦɐk2		
値	ʦɐk2		
殖	ʦɐk2		
植	ʦɐk2		
蟄	ʦɐk2	(驚~)	
稙	ʦɐk2		
赤	ʦʰɐk5		
斥	ʦʰɐk5		
逆	ȵɐk2		
色	sɐk5		
識	sɐk5	(知~)	
式	sɐk5		
飾	sɐk5		
適	sɐk5		
釋	sɐk5		
飭	sɐk5		
識	sɐk3	[認識、會、懂得]	
食	sɐk2		
蝕	sɐk2		
擊	kɐk5		
激	kɐk5	(刺~)	
戟	kɐk5		
激	kɐk3	[氣某人，使之發火]	
極	kɐk2		
□	kʰɐk5	[繩結]	
□	kʰɐk3	(~住)[綁住]	
刻	hɐk5		
赫	hɐk5		
黑	hɐk3	(~色)	
呃	ʔɐk5		
億	jɐk5		
抑	jɐk5		
益	jɐk5		
翼	jɐk2		
亦	jɐk2		
譯	jɐk2		
易	jɐk2	(交~)	
液	jɐk2		
腋	jɐk2		
啤	ɓɛ55	(~袋口)	
啤	ɓɛ55		
啤	pʰɛ55	(一~)[一對]	
孭	mɛ24	[背,動詞]	
咩	mɛ55		
□	fɛ21	(1ɛ211ɛ21~~)[不修褊福]	啡
啡	fɛ55		
搲	wɛ55	(~hai21)[撓癢]	搲
爹	ɗɛ55		
姐	ɗɛ55	(小~)	
借	ɗɛ33		
謝	ɗɛ22		
斜	tʰɛ21		
邪	tʰɛ21		
且	tʰɛ55		
笡	tʰɛ33		
□	nɛ24	[指示代詞]	那
□	nɛ35	[指示代詞，那]	那
爹	ɗɛ24	[口語]	
□	lɛ21	(~~fɛ21fɛ21)[不修褊福]	哩
些	ɬɛ24		
寫	ɬɛ55		
瀉	ɬɛ33		
卸	ɬɛ33		
遮	ʦɛ24		
姐	ʦɛ55	(姑~)[姑姑]	
者	ʦɛ55		
蔗	ʦɛ33		
車	ʦʰɛ24	(馬~)	
且	ʦʰɛ55		
扯	ʦʰɛ55		
□	ʦʰɛ55	[回家、回去,作動詞]	扯
惹	ȵɛ55		
賒	sɛ24		
奢	sɛ24		
蛇	sɛ21		
佘	sɛ21		
捨	sɛ55		
社	sɛ35		
赦	sɛ33		
舍	sɛ33		
騇	sɛ33	[母的牛馬]	
射	sɛ22		
麝	sɛ22		
嘅	kɛ33		
騎	kʰɛ21		
□	kʰɛ55	(一~樹)	棵
茄	kʰɛ35	*變調	
□	ŋɛ55	[哼叫](~都唔~下)	𠼮
□	ŋɛ22	[擠，動詞]	𠼮
□	hɛ33	(1ɛ²¹lɛ²¹~~)[不太講衛生,髒奚奚;或者指做事落下碎活、留尾巴]	嚱
嘢	jɛ24	[東西]	
爺	jɛ21		
椰	jɛ21		
野	jɛ33		
夜	jɛ22		
□	kei35	[指示代詞，這]	個
包	ɓiɐu21	[常指額頭因碰撞而形成的小包]	
刨	ɓiɐu21		
瓢	ɓiɐu21		
嫖	ɓiɐu21		
鰾	ɓiɐu21		
飘	pʰiɐu24		
漂	pʰiɐu24	(~流)	
票	pʰiɐu33		
漂	pʰiɐu33	(~亮)	
爆	pʰiɐu33	(~仗)	
苗	miɐu21		
瞄	miɐu21		
描	miɐu21		
貓	miɐu55		
秒	miɐu35		
渺	miɐu35		
藐	miɐu35		
杳	miɐu35	(~無音信)	
妙	miɐu22		
廟	miɐu22		
表	ɓiɐu24	(手~)	
標	ɓiɐu24		
包	ɓiɐu24	(~裝)	
彪	ɓiɐu24		
飈	ɓiɐu24		
猋	ɓiɐu24	[疾奔]	
表	ɓiɐu55	(~弟)	
婊	ɓiɐu55		
爆	ɓiɐu33	(~炸)	
焦	ɗiɐu24		
蕉	ɗiɐu24		
椒	ɗiɐu24		
條	ɗiɐu21		
剿	ɗiɐu55		
醮	ɗiɐu33		
調	ɗiɐu22	(~動)	
掉	ɗiɐu22		
挑	tʰiɐu24		
悄	tʰiɐu24		
調	tʰiɐu21	(~酒)	
樵	tʰiɐu21		
瞧	tʰiɐu21		
鍬	tʰiɐu35	*變調	
跳	tʰiɐu33		
俏	tʰiɐu33		
峭	tʰiɐu33		
肖	tʰiɐu33	(~像)	
鳥	niɐu35		
尿	niɐu22		
了	liɐu24	(~解)	
刁	ɗiɐu24		
貂	ɗiɐu24		
雕	ɗiɐu24		
丢	ɗiɐu24		
遼	liɐu21		
撩	liɐu21		
燎	liɐu21		
僚	liɐu21		
寮	liɐu21		
繚	liɐu21		
聊	liɐu21		
寥	liɐu21		
屌	ɗiɐu55		
釣	ɗiɐu33		
吊	ɗiɐu33		
廖	liɐu22		
料	liɐu22		
消	ɬiɐu24		
肖	ɬiɐu24	[姓~]	
宵	ɬiɐu24		
霄	ɬiɐu24		
硝	ɬiɐu24		
銷	ɬiɐu24		
蕭	ɬiɐu24		
簫	ɬiɐu24		
小	ɬiɐu55		
笑	ɬiɐu33		
鞘	ɬiɐu33		
招	ʦiɐu24		
朝	ʦiɐu24	[早上]	
朝	ʦiɐu21	(~早)[早上]	
沼	ʦiɐu55	(~澤)	
照	ʦiɐu33		
召	ʦiɐu22		
詔	ʦiɐu22		
趙	ʦiɐu22		
超	ʦʰiɐu24		
昭	ʦʰiɐu24		
潮	ʦʰiɐu21		
朝	ʦʰiɐu21	(~代)	
饒	ȵiɐu21		
撓	ȵiɐu21		
搖	ȵiɐu21		
謠	ȵiɐu21		
窯	ȵiɐu21		
姚	ȵiɐu21		
堯	ȵiɐu21		
擾	ȵiɐu55		
繞	ȵiɐu55		
燒	siɐu24		
韶	siɐu21		
少	siɐu55	(多~)	
少	siɐu33	(~年)	
兆	siɐu22		
紹	siɐu22		
邵	siɐu22		
交	kiɐu24		
膠	kiɐu24		
嬌	kiɐu24		
驕	kiɐu24		
郊	kiɐu24		
狡	kiɐu55		
絞	kiɐu55		
矯	kiɐu55		
繳	kiɐu55		
轎	kiɐu35	*變調	
叫	kiɐu33		
教	kiɐu33		
校	kiɐu33	(~對)	
較	kiɐu33		
覺	kiɐu33		
臼	kiɐu33		
撬	kiɐu22	[挖](~牆腳)	
□	kʰiɐu21	[常指小孩子想要東西而鬧]	
橋	kʰiɐu21		
僑	kʰiɐu21		
喬	kʰiɐu21		
蕎	kʰiɐu21		
巧	kʰiɐu55	[巧合]	
繞	kʰiɐu55	(線)	
竅	kʰiɐu33		
囂	hiɐu24		
澆	hiɐu24		
姣	hiɐu21	(發~)[常指女性在別人面前故作姿態吸引他人注意]	
曉	hiɐu55		
皓	hiɐu22	[光亮,光線很充足]	
要	jɛu24	(~求)	
腰	jɛu24		
邀	jɛu24		
吆	jɛu24		
妖	jɛu55		
鷂	jɛu35	*變調	
要	jɛu33	(~害)	
耀	jɛu22		
尖	ɗiɛm24		
甜	ɗiɛm21		
掂	ɗiɛm22	(搞~)	
漸	ɗiɛm22		
添	tʰiɛm24		
簽	tʰiɛm24	(~名)	
殲	tʰiɛm24		
撍	tʰiɛm21	[拔出物體體表下面尖細的東西](~毛)	
潛	tʰiɛm21		
拈	niɛm24		
粘	niɛm21		
鮎	niɛm21		
念	niɛm22		
斂	liɛm24		
殮	liɛm24		
鐮	liɛm21		
廉	liɛm21		
簾	liɛm21		
點	ɗiɛm55		
舔	liɛm55		
掂	ɗiɛm55	(~綴)	
瞼	liɛm35		
店	ɗiɛm33		
占	ʦiɛm24	(~卦)	
黏	ʦiɛm24		
沾	ʦiɛm24		
粘	ʦiɛm24		
瞻	ʦiɛm24		
佔	ʦiɛm33	(霸~)	
嚴	ȵiɛm21		
儼	ȵiɛm21		
染	ȵiɛm33		
冉	ȵiɛm33		
驗	ȵiɛm22		
嬋	siɛm21		
蟬	siɛm21		
蟾	siɛm21		
禪	siɛm21	(~讓)	
閃	siɛm55		
陝	siɛm55		
兼	kiɛm24		
監	kiɛm24	(坐~)	
減	kiɛm55		
檢	kiɛm55		
劍	kiɛm33		
儉	kiɛm22		
鉗	kʰiɛm21		
謙	hiɛm24		
鹹	hiɛm21		
咸	hiɛm21		
險	hiɛm55		
欠	hiɛm33		
餡	hiɛm22		
閹	jɛm24		
醃	jɛm24		
鹽	jɛm21		
炎	jɛm21		
閻	jɛm21		
簷	jɛm21		
嫌	jɛm21		
掩	jɛm55		
□	jɛm55	(~尾)[小腹側位]	厴
淹	jɛm55		
魔	jɛm55		
厭	jɛm33		
醫	jɛm33		
驗	jɛm22		
豔	jɛm22		
焰	jɛm22		
□	ʦiɛn24	[剝](~皮)	
氈	ʦiɛn24		
毡	ʦiɛn24		
展	ʦiɛn55	(~開)[把貼住的膠布等物件撕離開]	
戰	ʦiɛn33		
顫	ʦiɛn33		
緾	ʦiɛn22	(~住)[用膠布、紗布等東西貼身團團包住]	
緾	ʦʰiɛn21		
□	ʦʰiɛn55	(~開)[掀開蓋在物體表面的東西]	
然	ȵiɛn21		
燃	ȵiɛn21		
言	ȵiɛn21		
研	ȵiɛn21		
諺	ȵiɛn22		
硯	ȵiɛn22		
伸	siɛn24	(伸長)	
鱔	siɛn35	*變調	
扇	siɛn33		
善	siɛn22		
膳	siɛn22		
單	siɛn22	[姓]	
煙	jɛn24		
咽	jɛn24		
焉	jɛn24		
燕	jɛn24	[姓]	
妍	jɛn21		
延	jɛn21		
涎	jɛn21		
賢	jɛn21		
弦	jɛn21		
演	jɛn55		
唁	jɛn33		
宴	jɛn33		
燕	jɛn33	(燕子)	
堰	jɛn33		
彥	jɛn22		
現	jɛn22		
平	ɓɛŋ21	[便宜]	
病	ɓɛŋ22		
片	pʰɛŋ33	(一~草)[一塊草地]	
命	mɛŋ22	[生命,名詞]	
餅	ɓɛŋ55		
柄	ɓɛŋ33		
屏	ɓɛŋ33	[怕別人發現而收藏起來]	
精	ɗɛŋ24	[精明,形容詞]	
井	ɗɛŋ55		
訂	ɗɛŋ22	(~書)	
淨	ɗɛŋ22	(乾~)	
聽	tʰɛŋ24	(~見)	
青	tʰɛŋ24		
清	tʰɛŋ24		
廳	tʰɛŋ24		
請	tʰɛŋ55	(~人)	
艇	tʰɛŋ35		
釘	ɗɛŋ24	(铁~、~住)	
鯪	lɛŋ21	(土~魚)[草魚]	
□	ɗɛŋ21	(過~)[超過原計劃要到的目的地，過頭了]	
頂	ɗɛŋ55	(山~)	
領	lɛŋ35	(衫~)	
嶺	lɛŋ35		
靚	lɛŋ33	[漂亮]	
腥	ɬɛŋ24		
醒	ɬɛŋ55	[睡醒了]	
省	ɬɛŋ55	(反~)	
星	ɬɛŋ35	[星星]	
鉎	ɬɛŋ33	[鐵器上生的鏽]	
正	ʦɛŋ33	[正中，不偏不歪，好]	
鄭	ʦɛŋ22		
聲	sɛŋ24	(大~)	
成	sɛŋ21	[事情辦成了]	
城	sɛŋ21	(會~)[新會區府所在地名]	
驚	kɛŋ24	[怕]	
頸	kɛŋ55		
鏡	kɛŋ33		
驚	kɛŋ22	(~住)[恐怕出意外而小心奕奕地做事]	
□	kʰɛŋ21	[東西被弄髒後留下的印痕]	
輕	hɛŋ24	[與重相對，口語詞]	
赢	jɛŋ21		
影	jɛŋ55	[影子]	
□	ɗiɛp5	[喫、品嘗，口語音]	㗳
接	ɗiɛp3		
捷	ɗiɛp2		
疊	ɗiɛp2		
碟	ɗiɛp2		
牒	ɗiɛp2		
蝶	ɗiɛp2		
諜	ɗiɛp2		
帖	tʰiɛp5		
□	tʰiɛp5	[特指穿拖鞋時拖著鞋後跟走路的動作]	趿
妾	tʰiɛp5		
貼	tʰiɛp3		
捏	niɛp3		
聶	niɛp3		
鑷	niɛp3		
躡	niɛp3		
獵	liɛp2		
□	ɬiɛp3	[把東西夾進某處]	
折	ʦiɛp3	(~紙)	
摺	ʦiɛp3		
褶	ʦiɛp3		
孽	ȵiɛp2		
攝	siɛp3		
涉	siɛp2		
匣	kiɛp35	*變調	
鴿	kiɛp35	*變調	
夾	kiɛp3	(~餸)	
挾	kiɛp3		
劫	kiɛp3		
及	kiɛp2		
夾	kiɛp2	(~住張紙)	
協	hiɛp3		
怯	hiɛp3		
掐	hiɛp3		
俠	hiɛp2		
狹	hiɛp2		
峽	hiɛp2		
醃	jɛp3		
腌	jɛp3		
業	jɛp2		
葉	jɛp2		
頁	jɛp2		
□	ʦiɛt5	[射水的動作,帶主動性]	擳
浙	ʦiɛt5		
折	ʦiɛt3	(~磨)	
哲	ʦiɛt3		
□	ʦiɛt2	[使水濺起]	
設	ʦʰiɛt5		
澈	ʦʰiɛt5		
徹	ʦʰiɛt5		
徹	ʦʰiɛt3		
熱	ȵiɛt2		
虱	siɛt3		
□	siɛt3	[打發、趕走]	
折	siɛt2	[做生意虧了]	
舌	siɛt2		
□	jɛt5	[形容人喜歡在生人、衆人面前表現自己，以引起別人注意]	
逸	jɛt3		
劈	pʰɛk3		
□	pʰɛk2	[丢掉不要]	劈
脊	ɗɛk3		
席	ɗɛk2	[席子]	
笛	ɗɛk2		
糴	ɗɛk2		
踢	tʰɛk3		
叻	lɛk5	[聰明、有本事]	
□	ɗɛk3	(~去~來)[跑來跑去地奔忙]	趯
□	lɛk2	[割](~開)	𠠝
錫	ɬɛk3		
惜	ɬɛk3	(痛~)	
□	ʦɛk5	[看的意思]	
隻	ʦɛk3		
□	ʦʰɛk5	[測量、探究、證實]	
尺	ʦʰɛk3		
赤	ʦʰɛk3		
石	sɛk2		
劇	kɛk2		
屐	kɛk2		
喫	hɛk3		
□	hɛk2	[表肯定應諾的語氣詞]	
膉	jɛk3	[餅乾等乾糧因放置時間太長而産生的變質的味道]	
鋸	kœ33		
瘸	kʰœ21		
靴	hœ24		
將	ɗœŋ24	(~軍)	
漿	ɗœŋ24		
奬	ɗœŋ55		
醫	ɗœŋ33		
將	ɗœŋ33	(大~)	
象	ɗœŋ22		
像	ɗœŋ22		
橡	ɗœŋ22		
匠	ɗœŋ22		
牆	tʰœŋ21		
詳	tʰœŋ21		
祥	tʰœŋ21		
搶	tʰœŋ55		
槍	tʰœŋ35	*變調	
□	tʰœŋ33	[把大面値貨幣兌換成小面值的]	
娘	nœŋ21		
釀	nœŋ22		
良	lœŋ21		
量	lœŋ21	(~度)	
涼	lœŋ21		
糧	lœŋ21		
梁	lœŋ21		
粱	lœŋ21		
兩	lœŋ55		
倆	lœŋ55		
諒	lœŋ22		
量	lœŋ22	(重~)	
亮	lœŋ22		
諒	lœŋ22		
輛	lœŋ22		
鑲	ɬœŋ24		
相	ɬœŋ24	(互~)	
廂	ɬœŋ24		
湘	ɬœŋ24		
襄	ɬœŋ24		
鑲	ɬœŋ24		
箱	ɬœŋ24		
想	ɬœŋ55		
相	ɬœŋ33	(~貌)	
張	ʦœŋ24		
章	ʦœŋ24		
樟	ʦœŋ24		
掌	ʦœŋ55		
長	ʦœŋ55	(生~)	
賬	ʦœŋ33		
帳	ʦœŋ33		
脹	ʦœŋ33		
漲	ʦœŋ33		
障	ʦœŋ33		
瘴	ʦœŋ33		
丈	ʦœŋ22		
仗	ʦœŋ22		
杖	ʦœŋ22		
昌	ʦʰœŋ24		
長	ʦʰœŋ21	(~短)	
腸	ʦʰœŋ21		
場	ʦʰœŋ21		
暢	ʦʰœŋ33		
倡	ʦʰœŋ33		
唱	ʦʰœŋ33		
菖	ʦʰœŋ33		
傷	sœŋ24		
商	sœŋ24		
常	sœŋ21		
嘗	sœŋ21		
裳	sœŋ21		
償	sœŋ21		
嫦	sœŋ21		
賞	sœŋ55		
上	sœŋ33	[動詞](~去)	
上	sœŋ22	[方位名詞](~面)	
尙	sœŋ22		
薑	kœŋ24		
疆	kœŋ24		
僵	kœŋ24		
礓	kœŋ24		
韁	kœŋ24		
薑	kœŋ24		
羌	kœŋ24		
強	kʰœŋ24	(勉~)	
強	kʰœŋ21	(~大)	
香	hœŋ24		
鄉	hœŋ24		
響	hœŋ55		
享	hœŋ55		
晌	hœŋ55		
餉	hœŋ55		
向	hœŋ33		
央	jœŋ24		
秧	jœŋ24		
殃	jœŋ24		
羊	jœŋ21		
洋	jœŋ21		
揚	jœŋ21	(表~)	
楊	jœŋ21		
洋	jœŋ21		
陽	jœŋ21		
瘍	jœŋ21		
揚	jœŋ55	(~開)	
養	jœŋ33		
仰	jœŋ33		
癢	jœŋ33		
讓	jœŋ22		
穰	jœŋ22	[禾莖]	
壤	jœŋ22	(土壤)	
攘	jœŋ22		
嚷	jœŋ22	(攘)	
讓	jœŋ22		
樣	jœŋ22		
剁	ɗœk5		
爵	ɗœk5		
雀	ɗœk5		
嚼	ɗœk5		
琢	ɗœk5		
啄	ɗœk5		
鵲	ɗœk5		
略	lœk2		
掠	lœk2		
削	ɬœk3		
著	ʦœk3	(~衫)	
著	ʦœk2	(~火)	
卓	ʦʰœk5		
桌	ʦʰœk5		
芍	ʦʰœk5		
酌	ʦʰœk5		
綽	ʦʰœk5		
勺	ʦʰœk5		
焯	ʦʰœk5		
濕	sœk3		
若	ȵœk2		
弱	ȵœk2		
虐	ȵœk2		
腳	kœk3		
卻	kʰœk5		
約	jœk3		
藥	jœk2		
鑰	jœk2		
躍	jœk2		
婆	ɓɔ21	(~仔)	
棵	ɓɔ22	(一~茶)	
窠	pʰɔ24		
頗	pʰɔ55		
破	pʰɔ33		
磨	mɔ21	(~面)	
摸	mɔ55		
魔	mɔ55		
摩	mɔ55		
饃	mɔ55		
蟆	mɔ55		
磨	mɔ35	(石~)	
科	fɔ24		
火	fɔ55		
顆	fɔ55		
夥	fɔ55		
棵	fɔ55		
貨	fɔ33		
課	fɔ33		
波	ɓɔ24		
菠	ɓɔ24		
坡	ɓɔ24		
窝	wɔ24		
倭	wɔ24		
玻	ɓɔ24		
蝸	wɔ24		
和	wɔ21	(~氣、~面)	
禾	wɔ21		
播	ɓɔ33		
簸	ɓɔ33		
禍	wɔ22		
駝	ɗɔ21	[背，動詞]	
佗	ɗɔ21	[負重，特指負重於前身]	
左	ɗɔ55		
隋	ɗɔ22		
佐	ɗɔ22		
座	ɗɔ22		
坐	ɗɔ22		
拖	tʰɔ24		
搓	tʰɔ24	[文]	
馱	tʰɔ21		
駝	tʰɔ21	(駱~)	
唾	tʰɔ33		
錯	tʰɔ33		
坐	tʰɔ33		
挪	nɔ21		
娜	nɔ21		
那	nɔ35	[指示代詞]	
哪	nɔ35	[疑問代詞]	
糯	nɔ22		
多	ɗɔ24		
囉	lɔ24		
羅	lɔ21		
鑼	lɔ21		
籮	lɔ21		
螺	lɔ21		
膼	lɔ21		
裸	lɔ55		
朵	ɗɔ55		
躲	ɗɔ55		
顆	lɔ55		
□	lɔ33	[東西煮焦了的難聞氣味]	𤓓
蓑	ɬɔ24		
梭	ɬɔ24		
唆	ɬɔ24		
□	ɬɔ24	(眼~~)	
鎖	ɬɔ55		
瑣	ɬɔ55		
阻	ʦɔ55		
助	ʦɔ22		
初	ʦʰɔ24		
雛	ʦʰɔ24		
鋤	ʦʰɔ21		
礎	ʦʰɔ55		
梳	sɔ24		
傻	sɔ21		
所	sɔ55		
梳	sɔ33	(一~蕉)	梳
歌	kɔ24		
果	kɔ55		
餜	kɔ55		
哥	kɔ55		
裹	kɔ55		
過	kɔ33		
個	kɔ33	(~人)	
戈	kʰɔ24		
俄	ŋɔ21		
蛾	ŋɔ21		
訛	ŋɔ21		
鵝	ŋɔ21		
我	ŋɔ35		
餓	ŋɔ22		
臥	ŋɔ22		
河	hɔ21		
荷	hɔ21	(~花、薄~)	
何	hɔ21		
可	hɔ55		
賀	hɔ22		
阿	ʔɔ24	(~膠)	
屙	ʔɔ24		
沛	pʰɔi33		
杯	ɓɔi24		
煨	wɔi24		
回	wɔi21		
茴	wɔi21		
背	ɓɔi33		
貝	ɓɔi33		
閉	ɓɔi33		
輩	ɓɔi33		
會	wɔi22		
彙	wɔi22		
災	ɗɔi24		
栽	ɗɔi24		
台	ɗɔi21		
擡	ɗɔi21		
臺	ɗɔi21		
苔	ɗɔi21	(苔蘚)	
宰	ɗɔi55		
載	ɗɔi33	(~重)	
再	ɗɔi33		
待	ɗɔi22		
代	ɗɔi22		
袋	ɗɔi22		
在	ɗɔi22		
載	ɗɔi22	(滿~而歸)	
怠	tʰɔi24		
殆	tʰɔi24		
胎	tʰɔi24		
苔	tʰɔi24	(脷~)	
才	tʰɔi21		
材	tʰɔi21		
財	tʰɔi21		
裁	tʰɔi21		
才	tʰɔi21		
彩	tʰɔi55		
採	tʰɔi55		
睬	tʰɔi55		
菜	tʰɔi33		
蔡	tʰɔi33		
來	nɔi21		
萊	nɔi21		
腮	ɬɔi24		
鳃	ɬɔi24		
塞	ɬɔi33	(~外)	
該	kɔi24		
改	kɔi55		
蓋	kɔi33	[蓋子]	
槪	kʰɔi33		
溉	kʰɔi33		
丐	kʰɔi33	(乞~)	
慨	kʰɔi33		
蓋	kʰɔi33	(~世英雄)	
開	hɔi24		
凱	hɔi55		
海	hɔi55		
亥	hɔi22		
害	hɔi22		
呆	ŋɔi21		
礙	ŋɔi22		
哀	ʔɔi24		
埃	ʔɔi24		
藹	ʔɔi55		
愛	ʔɔi33		
陪	ɓwɔi21		
培	ɓwɔi21		
賠	ɓwɔi21		
吠	ɓwɔi22		
焙	ɓwɔi22		
胚	pʰwɔi24		
坯	pʰwɔi24		
裴	pʰwɔi21		
倍	pʰwɔi35		
配	pʰwɔi33		
佩	pʰwɔi33		
每	mwɔi24		
媒	mwɔi21		
枚	mwɔi21		
梅	mwɔi21		
煤	mwɔi21		
昧	mwɔi22		
妹	mwɔi22		
灰	fwɔi24		
悔	fwɔi33		
晦	fwɔi33		
潰	kʰwɔi55		
繪	kʰwɔi33		
賄	hwɔi55		
肨	ɓɔn22		
胖	ɓɔn22		
般	ɓɔn24		
搬	ɓɔn24		
碗	wɔn55		
豌	wɔn55		
剜	wɔn55		
腕	wɔn55		
半	ɓɔn33		
换	wɔn22		
玩	wɔn22		
幹	kɔn24		
肝	kɔn24		
竿	kɔn24		
乾	kɔn24	(~濕)	
稈	kɔn24		
擀	kɔn24		
趕	kɔn24		
幹	kɔn33		
懇	kʰɔn55		
墾	kʰɔn55		
鼾	hɔn21		
寒	hɔn21		
韓	hɔn21		
痕	hɔn21		
刊	hɔn55		
罕	hɔn55		
很	hɔn55		
看	hɔn33		
旱	hɔn33		
漢	hɔn33		
汗	hɔn22		
銲	hɔn22		
翰	hɔn22		
恨	hɔn22	[喜歡]	
齦	ŋɔn21		
銀	ŋɔn21		
岸	ŋɔn22		
安	ʔɔn24		
鞍	ʔɔn24		
按	ʔɔn55	(~住)	
按	ʔɔn33		
案	ʔɔn33		
盤	ɓwɔn21		
伴	ɓwɔn22		
拌	ɓwɔn22		
潘	pʰwɔn24		
判	pʰwɔn33		
叛	pʰwɔn33		
瞞	mwɔn21		
門	mwɔn21		
