攝號	聲母字母	小韵	反切上字	反切下字	汉字	半圈字（多全濁上聲）
6	k	āi	格	災	該晐垓絯陔祴荄侅峐賅胲頦閡剴	
6	k͑	āi	克	災	開	
6	t͑	āi	忒	災	台胎邰駘斄	
6	g	āi	額	災	哀埃㶼欸	
6	s	āi	色	災	顋䰄䚡毸罳	
6	x	āi	石	災	篩衰榱𤸬簁	
6	h	āi	黑	災	咍	
6		âi				
6	c̹͑	âi	測	柴	才材財裁豺纔鼒	
6	c͑h	âi	撦	才	柴祡豺儕	
6	p͑	âi	魄	才	牌㵺蠯俳排	
6	t͑	âi	忒	才	紿苔駘炱儓擡薹籉䈚跆	
6	g	âi	額	才	皚敳	
6	l	âi	勒	才	來䅘萊崍騋徠淶俫斄	
6	m	âi	麥	才	埋霾貍	
6	n	âi	溺	才	能	
6	h	âi	黑	才	孩頦	
6		ài				
6	c̹	ài	則	海	宰載縡䏁	在
6	c̹͑	ài	測	海	采綵寀䌽棌䰂	
6	ch	ài	格	宰	獬	豸廌
6	c͑h	ài	克	宰	茝趾	
6	k	ài	百	宰	改胲陔閡	
6	k͑	ài	魄	宰	愷鎧塏闓	
6	p	ài	德	宰	擺罷	
6	t	ài	額	宰	逮	待䈚殆詒怠歹駘靆箈
6	g	ài	勒	宰	靄靉欸䨠藹毐乃騃	
6	m	ài	麥	宰	買	
6	n	ài	溺	宰	乃妳鼐廼迺	
6	x	ài	石	宰	灑躧	
6	h	ài	黑	宰	海醢	亥劾侅
6		ái				
6	c̹	ái	則	害	在載縡再栽酨裁	
6	c̹͑	ái	測	害	蔡䌨棌菜寀采	
6	ch	ái	者	在	債瘵祭眦豸砦	
6	c͑h	ái	撦	在	瘥𣲾蠆蔕嘬杈	
6	k	ái	格	在	蓋丐扢槩剴溉摡	
6	k͑	ái	克	在	穊磕愒闓塏欬慨嘅愾鎧	
6	p	ái	百	在	拜稗粺憊韛敗唄湃𢷎𢰛扒	
6	p͑	ái	魄	在	派湃浿	
6	t	ái	德	在	帶大汏釱軑蔕㿃蹛襶載代黛袋埭逮曃岱靆瑇殆怠䈚箈霴毒待戴	
6	t͑	ái	忒	在	泰忲汰太貸態大詒紿	
6	v	ái	物	在	外聵	
6	g	ái	額	在	愛馤靄壒謁𣋞欸僾乃藹靉薆曖艾㣻礙儗閡	
6	l	ái	勒	在	賴瀨籟癩糲藾賚䄤厲蠣𧶘萊徠睞俫	
6	m	ái	麥	在	邁勱佅昧𩎟霾	
6	n	ái	搦	在	耐鼐柰𣉘奈	
6	s	ái	色	在	賽塞簺僿	
6	x	ái	石	在	曬灑鎩殺閷	
6	h	ái	黑	在	害瀣妎亥劾	
7		āo				
7	c̹	āo	則	燒	遭糟	
7	c̹͑	āo	測	燒	操	
7	ch	āo	者	燒	招朝鼂昭鉊釗嘲啁罺𥲀	
7	c͑h	āo	撦	燒	超怊弨䜈鈔勦訬	
7	k	āo	格	燒	高膏篙皐咎橰櫜羔餻鼛	
7	k͑	āo	克	燒	尻𡱧	
7	p	āo	百	燒	包苞枹胞褒	
7	p͑	āo	魄	燒	胞抛泡脟	
7	t	āo	德	燒	刀鱽忉裯舠	
7	t͑	āo	忒	燒	叨弢洮韜條挑滔槄綢𦩹謟慆饕幍夲	
7	g	āo	額	燒	鏖鑣爊	
7	s	āo	色	燒	騷搔艘颾溞慅繅臊槮	
7	x	āo	石	騷	燒梢捎蛸旓髾筲弰	
7	h	āo	黑	燒	蒿撓薅	
7		âo				
7	c̹͑	âo	測	韶	曹嘈艚螬嶆槽漕	
7	c͑h	âo	撦	韶	朝鼂潮巢轈𡻝漅	
7	p͑	âo	魄	韶	跑庖麃鞄咆匏礮袍謈	
7	t͑	âo	忒	韶	陶裪𩋃萄綯桃蜪䬞梼濤騊匋醄洮逃淘鞉翿咷纛𦇨幬啕掏	
7	j	âo	日	韶	饒橈蕘嬈襓㹛擾	
7	g	âo	額	韶	熬聱嶅敖嗷獒鼇𢧴螯翺囂驁璈摮謷	
7	l	âo	額	韶	勞簩轇牢醪蟧澇潦撈𧰉轑䝁	
7	m	âo	勒	韶	茅貓犛罞媌毛㲠軞䭷旄髦枆芼耗蝥堥	
7	n	âo	麥	韶	撓鐃呶譊怓猱峱臑	
7	x	âo	溺	曹	韶佋詔苕	
7	h	âo	黑	韶	豪嗥毫濠㠙號壕呺皐皋蠔	
7		ào				
7	c̹	ào	則	少	早㕚蚤藻棗澡璅繅璪繰	皁造
7	c̹͑	ào	測	少	草懆謅	
7	ch	ào	者	少	昭沼爪䝤	兆旐肇趙肈㨄駣絩
7	c͑h	ào	撦	少	炒𪌯𩱦	
7	k	ào	格	少	縞笴杲皓槀藳藁暠皜槁	
7	k͑	ào	克	少	考栲薧槁槀	
7	p	ào	百	少	飽寳保葆褓鴇駂堡䎂	鮑鞄抱
7	t	ào	德	少	禱擣島倒禂	道稻纛駣䆃𦇨
7	t͑	ào	忒	少	討	
7	j	ào	日	少	擾嬈繞撓犪	
7	g	ào	額	少	襖媼懊夭䴢齩	
7	l	ào	勒	少	老䕩潦獠橑恅	
7	m	ào	麥	少	卯昴茆	
7	n	ào	溺	少	腦惱瑙橈撓	
7	s	ào	色	少	嫂燥掃	
7	x	ào	石	好	少	紹佋詔祒稍
7	h	ào	黑	少	好	皓顥浩皥鎬灝鰝薃晧骹
7		áo				
7	c̹	áo	則	少	漕鑿躁竈燥	
7	c̹͑	áo	測	少	造操慥䒃糙鄵	
7	ch	áo	者	少	照詔召邵劭趙罩笊抓櫂垗	
7	c͑h	áo	撦	少	鈔踔趠䜈勦	
7	k	áo	格	少	誥郜告浩膏高縞	
7	k͑	áo	克	少	犒	
7	p	áo	百	少	豹儤犦爆報襃暴菢瀑䤖虣褒铇𤄗𢖔𣊴	
7	p͑	áo	德	少	砲皰鉋泡	
7	t	áo	忒	少	道導幬盗纛悼蹈翿敦陶䆃到倒禱	
7	t͑	áo	日	少	韜謟	
7	g	áo	額	少	奧墺澳隩懊燠傲驁奡鏊慠蔜𩟇	
7	l	áo	勒	少	澇勞潦嫪	
7	m	áo	麥	少	貌冒帽芼眊瑁媢耄耗蓩𩿂犁	
7	n	áo	溺	少	閙橈撓淖	
7	s	áo	色	少	瘙譟埽譟燥騷掃	
7	x	áo	石	號	邵少燒劭紹繞遶僥稍哨削	
7	h	áo	黑	少	號号譹耗好藃	
8		ām				
8	c̹	ām	則	方	臧贓戕牂葬	
8	c̹͑	ām	測	方	倉滄蒼鶬愴創瘡	
8	ch	ām	者	方	章樟彰漳鄣麞璋嫜墇𩌬獐漲張粻䭚	
8	c͑h	ām	撦	方	昌猖菖倡閶滄愴廠倀創瘡	
8	k	ām	格	方	岡剛綱亢骯鋼罡犅堈頏蚢㽘扛杠釭矼缸瓨掆㼚迒	
8	k͑	ām	克	方	康糠𤮊忼慷	
8	p	ām	百	方	邦搒榜彭幫縍鞤	
8	p͑	ām	魄	方	滂艂霶汸磅鎊䏺雱	
8	t	ām	忒	方	當璫簹鐺艡襠東	
8	t͑	ām	額	方	湯鏜	
8	v	ām	物	方	汪尩尪	
8	f	ām	弗	剛	方枋肪坊放祊芳妨	
8	s	ām	色	方	桑䘮顙倉搡	
8	x	ām	黑	方	商傷湯觴殤禓鬺畼愓饟	
8		âm				
8	c̹͑	âm	測	房	藏	
8	c͑h	âm	撦	房	常裳嘗償鱨尚長萇腸場	
8	p͑	âm	魄	房	龐逄傍旁房彭徬逢？	
8	t͑	âm	忒	房	唐塘堂螳餹棠煻踼盪碭榶溏瑭	
8	j	âm	日	房	穰禳攘瀼勷𨟚𥀶瓤	
8	v	âm	物	房	忘亡杗芒淫鋩朢望王	
8	f	âm	弗	杭	房魴防蚄	
8	g	âm	額	房	昂䭹㭿崵枊	
8	l	âm	勒	房	郎廊浪稂琅筤狼榔蜋硠桹鋃閬瀧	
8	m	âm	麥	房	忙厖尨哤駹茫邙蒙蘉汒鋩恾龍	
8	n	âm	溺	房	囊𭢯	
8	x	âm	石	房	常裳嘗償鱨尚	
8	h	âm	黑	房	行航頏亢桁	
8		àm				
8	c̹	àm	則	紡	奘駔𩦦	
8	c̹͑	àm	測	紡	蒼	
8	ch	àm	者	紡	掌𤓯長	丈杖仗
8	c͑h	àm	撦	紡	敞氅倘𢠵廠僘鋹昶	
8	k	àm	格	紡	㽘䴚	
8	k͑	àm	克	紡	慷	
8	p	àm	百	紡	榜䋽	棒蚌玤𢮏
8	t	àm	德	紡	党黨讜欓矘䣊	蕩盪碭簜璗愓
8	t͑	àm	忒	紡	儻曭帑𣎲	
8	j	àm	日	紡	壤攘穣䑋	
8	v	àm	物	紡	罔網惘魍誷輞方	
8	f	àm	弗	賞	紡倣眆昉瓬倣	訪舫
8	g	àm	額	紡	盎坱泱岟醠	
8	l	àm	勒	紡	朗	
8	m	àm	麥	紡	莽蟒茫漭㟿㬒䥈厖	
8	n	àm	搦	紡	曩灢㶞	
8	s	àm	色	紡	顙磉嗓𤸯	
8	x	àm	石	紡	賞餉上	
8	h	àm	黑	紡	頏沆蚢骯吭骯亢魧	
8		ám				
8	c̹	ám	則	訪	葬髒藏臓奘𨌄□	
8	ch	ám	者	訪	帳漲張脹痮長墇杖仗障瘴嶂	
8	c͑h	ám	撦	訪	暢鬯瑒韔𧀄昌倡廠昶𥠴唱堫悵	
8	k	ám	格	訪	杠虹	
8	k͑	ám	克	訪	抗忼伉閌沆犺炕砊康亢	
8	p	ám	百	訪	謗榜徬傍棒棓蚌	
8	p͑	ám	魄	訪	胖滂	
8	t	ám	德	訪	儻讜瓽闣攩宕碭踼菪𡇈逿當蕩盪湯愓𦿆嵣	
8	t͑	ám	忒	訪	盪儻蕩摥鐋湯	
8	j	ám	日	訪	譲釀攘懹	
8	v	ám	物	訪	妄望忘盲王旺迋皇煌熿爌晃晄	
8	f	ám	弗	訪	訪放舫妨防	
8	g	ám	額	訪	坱盎醠姎	
8	l	ám	勒	訪	浪閬狼䕞蒗	
8	m	ám	麥	訪	漭吂㟐	
8	n	ám	搦	訪	儾灢㚂	
8	s	ám	色	訪	喪	
8	x	ám	石	訪	餉向𤵼珦蠰傷蟓愓上尚償淙	
8	h	ám	黑	訪	吭桁沆行□亢	
9		ān				
9	c̹	ān	則	貪	簪𨯩篸跧	
9	c̹͑	ān	測	貪	餐參驂傪欃劖鑱漸三	鑱劖
9	ch	ān	者	貪	詀	
9	c͑h	ān	撦	貪	㦃劖鑱漸	鑱
9	k	ān	格	貪	干玕肝竿乾奸虷杆弇甘柑泔苷	
9	k͑	ān	克	貪	刊看靬龕堪勘嵁嵌	
9	p	ān	百	貪	班斑扳頒般朌須虨斒辮	
9	p͑	ān	魄	貪	攀眅辦	
9	t	ān	德	貪	丹殫簞單鄲襌匰耽眈湛𦕃擔甔儋	
9	t͑	ān	忒	三	灘嘆攤嘽憚貪探𦕃㨏	
9	f	ān	額	貪	番翻潘轓幡旛璠繙反犿藩	
9	g	ān	物	貪	安鞍諳䳺韽菴堷淹啽	
9	s	ān	弗	貪	三跚珊毿鬖衫芟槮杉㩥纎摻摲㰇縿㺑纔彡𦙱	
9	x	ān	色	貪	山刪潸珊訕椮杉衫芟纎㺑纔纖摲攕摻	
9	h	ān	黑	貪	憨蚶𧮳暵熯	酣
9		ân				
9	c̹͑	ân	測	壇	殘𥂫孱潺虥慙巉瀺蔪讒饞毚鑱劖欃攙蠶𧕽嵾䪌	
9	c͑h	ân	撦	壇	讒饞儳孱虥瀺蔪慙總巉鑱劖欃攙潺	
9	t͑	ân	忒	殘	壇檀彈擅驙倓澹䆱驒鷤聅覃譚蟫潭驔鐔曇醰藫沈談郯餤錟痰惔	
9	f	ân	弗	壇	煩墦燔膰薠繁蠜蕃袢蹯樊礬笲蘩蟠䀀凡渢帆颿氾	
9	g	ân	額	壇	虤	
9	l	ân	勒	壇	闌瀾蘭斕𨷻躝讕灡幱襽爛嵐婪燣藍籃𢅡襤攔籣	
9	m	ân	麥	壇	蠻𪈿𪑪	
9	n	ân	溺	壇	南難諵楠男𦕃喃	
9	h	ân	黑	壇	寒翰韓幹汗䮧豻犴邯含函䤴涵酣崡甝㮀𦜆邗	
9		àn				
9	c̹	àn	則	毯	昝攅寁槧㬱儧	
9	c̹͑	àn	測	坦	慘㦧黲歜產嵼滻剗剷	
9	ch	àn	者	毯	棧輚僝虥琖醆漸斬嶃巉	
9	c͑h	àn	撦	毯	產嵼剗丳㯆㹌	
9	k	àn	格	毯	稈笴澉感灨䃭㔶敢皯	
9	k͑	àn	克	毯	坎輡斫惂欿侃衎竷	
9	p	àn	百	毯	版板蝂昄反	
9	p͑	àn	魄	毯	販	
9	t	àn	德	毯	亶𤺺癉憚狚膽紞黕耽䃫𥲄	澹憺啖淡惔𥘵誕但訑觛潬蜑
9	t͑	àn	忒	敢	坦儃嗿醓毯菼𦃖襑醷𧝓霮萏窞髧湛𥘵枕倓啿覃嘾禫	
9	v	àn	物	毯	晚輓娩	鋄𪑉
9	f	àn	日	毯	反返阪䡊	飯笲范範犯𭹬𨊠軓
9	g	àn	額	毯	闇匼䁆馣菴揞唵黭黯黶黬黤	
9	l	àn	勒	毯	嬾孄灡瀾讕覽攬欖壈𨎹	
9	m	àn	麥	毯	矕	鋄𪑉
9	n	àn	溺	毯	赧戁湳	
9	s	àn	色	毯	散潸摻㨻穇繖饊糝參槮	
9	x	àn	石	毯	汕潸槮㨻㺑	
9	h	àn	黑	毯	旱悍罕暵熯菡	頷欿撼憾
9		án				
9	c̹	án	則	嘆	賛瓚酂讚濽囋贊暫鏨儳□	
9	c̹͑	án	測	嘆	粲㛑璨燦參儳鏟剗剷𥹏	
9	ch	án	者	嘆	湛棧輚虥䡲綻賺蘸儳讒鑱	
9	c͑h	án	者	嘆	鏟剷剗懴	
9	k	án	格	嘆	幹榦骭旰涆盰秆紺灨淦	
9	k͑	án	克	嘆	看衎侃勘輱闞瞰䘓	
9	p	án	百	嘆	瓣辦	
9	p͑	án	魄	嘆	盼襻扳	
9	t	án	德	嘆	旦狚鴠癉淡啗澹憺簷甔彈憚僤撣潬但𥘵儃亶澶壇訑醈	
9	t͑	án	忒	旱	炭歎灘探黮賧倓憛	
9	v	án	物	嘆	萬蔓曼輓万	
9	f	án	日	嘆	飯販畈汳嬔梵颿釩盕犯汎氾渢番娩	
9	g	án	額	嘆	按暗菴韽案岸䮗豻貋矸諺喭	
9	l	án	勒	嘆	濫爛瀾讕瓓糷湅連覽纜嚂懢𨣨	
9	m	án	麥	嘆	慢嫚縵	
9	n	án	溺	嘆	難攤㬮	
9	s	án	色	嘆	傘散饊繖三慚釤䈀	
9	x	án	石	嘆	訕汕潸疝摲釤	
9	h	án	黑	嘆	翰旱悍汗瀚垾𤿧駻扞閈釬馯𢧀漢暵憾琀唅莟暗闇晻菴	
10		ēu				
10	c̹	ēu	則	抽	騶緅鄒鄹郰菆棸陬諏鯫掫黀	
10	c̹͑	ēu	測	抽	篘搊	
10	ch	ēu	者	抽	周赒州洲舟譸咮輖輈調鵃侜騶緅鄒盩	
10	c͑h	ēu	撦	收	抽瘳犨妯	
10	k	ēu	格	抽	勾軥韝溝篝緱拘鉤袧褠	
10	k͑	ēu	克	抽	摳彄	
10	p	ēu	百	抽	褒	
10	p͑	ēu	魄	抽	秠	
10	t	ēu	德	抽	兠吺	
10	t͑	ēu	忒	抽	偷鍮婾	
10	g	ēu	額	抽	歐漚謳鷗甌區樞	
10	s	ēu	色	抽	𢯱蒐颼叟涑鎪廋溲艘廀䤇𦢩鱐𨫾瞍𢳯獀	
10	x	ēu	石	抽	收	
10	h	ēu	黑	抽	痀	
10		êu				
10	c̹͑	êu	增	酬	愁	
10	c͑h	êu	撦	喉	酬讎𩯦檮䲖魗𣀘稠犫詶紬售犨儔疇籌裯幬惆	
10	p͑	êu	魄	酬	裒掊抔䎧	
10	t͑	êu	忒	酬	頭骰投牏揄窬	
10	j	êu	日	酬	柔蹂揉㽥瑈鞣肉鍒腬	
10	f	êu	弗	酬	浮不烰紑鴀芣椺棓蜉桴罦涪罘𣑿	
10	g	êu	額	酬	腢齵	
10	l	êu	勒	酬	婁樓摟螻慺膢䝏寠髏蔞僂廔艛縷鞻漏□	
10	m	êu	麥	酬	謀麰牟眸侔蛑矛瞀鍪蟊繆鞪雺䖥髳髦昴恈	
10	n	êu	溺	酬	獳䨲㝹𩆊𤟦臑	
10	h	êu	黑	酬	侯篌猴餱喉鍭翭	
10		èu				
10	c̹	èu	則	丑	走掫	
10	c̹͑	èu	測	丑	嗾𠮋鯫取	
10	ch	èu	者	丑	肘帚杻䈙鯞	紂鯛
10	c͑h	èu	者	手	丑杻醜	
10	k	èu	格	丑	苟耇笱狗垢枸玽詬	
10	k͑	èu	克	丑	口扣釦𧥣	
10	p	èu	百	丑	掊	
10	p͑	èu	魄	丑	瓿培蔀剖掊部䏽	
10	t	èu	德	丑	斗蚪陡枓	鋀揄
10	t͑	èu	忒	丑	黈斢妵	
10	j	èu	日	寅	蹂揉厹糅禸楺	
10	f	èu	弗	丑	否缶不	婦負阜萯偩
10	g	èu	額	丑	喁耦藕髃腢嘔歐偶	
10	l	èu	勒	丑	塿甊嶁𪍣簍漊	
10	m	èu	麥	丑	畒亩牡䳇莽茂母拇	
10	n	èu	溺	丑	㝅	
10	s	èu	色	丑	溲獀醙叟瞍籔藪嗾䔩	
10	x	èu	石	丑	首手守	受綬壽授
10	h	èu	黑	丑	厚后後郈詬吼	
10		éu				
10	c̹	éu	則	臭	奏走族皺縐甃驟僽	
10	c̹͑	éu	測	臭	蔟輳腠楱簉䔏	
10	ch	éu	者	臭	胄冑宙酎繇紬籀紂胃祝呪詋詶晝咮	
10	c͑h	éu	者	厚	臭殠畜	
10	k	éu	格	臭	彀冓構榖㝅購遘句覯鷇雊姤詬	垢
10	k͑	éu	克	臭	寇扣鷇滱	
10	t	éu	德	臭	豆脰逗餖竇讀窬酘闘𧰰𧱓	
10	t͑	éu	忒	臭	透	
10	j	éu	日	臭	輮蹂肉揉鞣糅	
10	f	éu	弗	臭	覆副仆冨輻富復伏	
10	g	éu	額	臭	漚	
10	l	éu	勒	臭	陋漏鏤瘻僂	
10	m	éu	麥	臭	茂楙瞀袤霿姆謬戊鄮	
10	n	éu	溺	臭	耨譳懦	
10	s	éu	色	臭	潄嗾涑謏鎪瘦	
10	x	éu	石	臭	狩守首𭣣授壽售綬䛵獸	
10	h	éu	黑	臭	後后郈堠鍭逅詬厚鱟吼蔻豞訽怐候	
11		ēm				
11	c̹	ēm	則	登	曾憎𦌘橧䎖罾爭箏睜諍綪玎丁增矰	
11	c̹͑	ēm	測	登	崢橕瞠鐺槍鏘噌錚琤鎗	
11	ch	ēm	者	登	爭箏諍綪玎丁	
11	c͑h	ēm	撦	登	橕瞠鐺槍鏘錚琤鎗	
11	k	ēm	格	登	更庚鶊賡羹秔耕亢恒搄桓縆䱴	
11	k͑	ēm	克	登	阬鏗䃘牼誙	
11	p	ēm	百	登	崩祊繃帲伻弸𠊓澎絣	
11	p͑	ēm	魄	登	烹磅砰怦軯娉荓迸抨閛俜竮𢓳甹	
11	t	ēm	德	增	登㲪簦豋燈	
11	s	ēm	色	登	生甥笙鼪猩牲鉎僧鬙	
11	h	ēm	黑	登	亨脝	
11		êm				
11	c̹͑	êm	增	謄	層曾嶒繒鄫竲騬傖崢瞪橙朾䟫掁棖	
11	c͑h	êm	撦	謄	棖朾䟫掁瞪橙傖崢	
11	p͑	êm	魄	謄	彭弸棚搒朋堋鵬騯䄘趽掤	
11	t͑	êm	忒	恒	騰滕謄㬺藤縢謄疼𩦶螣	
11	j	êm	日	謄	仍艿芿陾	
11	l	êm	勒	謄	輘橑棱	
11	m	êm	麥	謄	萌盲蝱氓甍瞢儚杗明	
11	n	êm	溺	謄	儜攘能□獰𧭈□𦺝鬡	
11	h	êm	黑	謄	衡珩蘅桁莖恒䪫行	
11		èm				
11	k	èm	格	等	梗骾哽鯁綆挭耿	
11	k͑	èm	克	等	肯肎肻	
11	p	èm	百	等		蠯
11	p͑	èm	魄	等	捧	
11	t	èm	德	冷	等	
11	l	èm	勒	等	冷	
11	m	èm	麥	等	孟蜢艋	
11	s	èm	色	等	省㾪眚冼㱡	
11		ém				
11	c̹	ém	則	凳	增甑贈承諍倀趟偵㡠𩏠牚	
11	c̹͑	ém	測	凳	𠟂瞠𥊼撐橕蹭鋥	
11	ch	ém	者	凳	偵諍倀趟𩏠牚	
11	c͑h	ém	撦	凳	𥊼撐牚撐橕	
11	k	ém	格	凳	賡亘恒絙堩𣕲	
11	p	ém	克	凳	堋榜逬𧻓	
11	t	ém	德	孟	嶝磴鐙凳𧄼𩞬鄧蹬䮴僜𣩟	
11	t͑	ém	忒	凳	𨎤𤃶霯	
11	j	ém	日	凳	扔芿㭁認	
11	g	ém	額	凳	硬鞕	
11	l	ém	勒	凳	稜㱥倰	
11	m	ém	麥	凳	孟盟懜䲛𨯠𧀧	
11	s	ém	色	凳	貹生鼪	
11	h	ém	黑	凳	䛭行	
12		ēn				
12	c̹	ēn	則	詹	臻榛蓁溱樺簪	
12	c̹͑	ēn	測	詹	琛郴賝綝肜參攙	
12	ch	ēn	者	詹	氈旃饘鸇𧾍栴酏旜邅驙鱣詹瞻譫占霑詀	
12	c͑h	ēn	撦	詹	袩燀嘽梴幨襜惉𤎥覘	
12	k	ēn	格	詹	根跟	
12	g	ēn	額	詹	恩	
12	s	ēn	色	詹	森參葠罧槮滲襂	
12	x	ēn	石	詹	扇羶挻埏苫痁顫煽	
12		ên				
12	c̹͑	ên	測	禪	岑涔榛	
12	c͑h	ên	撦	然	禪蟬埏鋋澶單嬋撣儃纏廛躔瀍蟾棎	
12	j	ên	日	禪	然燃䫇蚦枏䶲𠯍衻	
12	v	ên	物	禪	文紋蟁聞閔雯蚊	
12	x	ên	石	禪	蟾棎禪蟬埏鋋澶單嬋撣儃	
12	h	ên	黑	禪	痕鞎根拫	
12		èn				
12	c̹͑	èn	測	展	齔墋	
12	ch	èn	者	狠	展輾樿䄠皽琖𧝑颭	
12	c͑h	èn	撦	狠	闡蕆幝燀嘽繟諂	
12	k͑	èn	克	展	懇墾貇齦	
12	j	èn	日	展	染冉苒	
12	v	èn	物	展	吻脗刎抆	
12	s	èn	色	展	槮㾕	
12	x	èn	石	展	閃陝覢剡淰㴸善	膳墠鱔僤單鄯壇蟬潬熯
12	h	èn	黑	展	很限眼	
12		én				
12	c̹	én	則	戰	𧮂僭	
12	c̹͑	én	測	戰	櫬齔襯親藽儭讖	
12	ch	én	者	恨	戰顫單禪𩥇展䄠占纒邅綻颭	
12	c͑h	én	撦	恨	沾襜䪓	
12	k	én	格	戰	艮硍珢	
12	j	én	日	戰	染	
12	v	én	物	戰	問紊抆絻聞汶文璺娩㝃	
12	s	én	色	戰	滲罧	
12	x	én	石	戰	善繕墠膳擅禪譱鄯墰樿單扇煽贍閃掞痁	
12	h	én	黑	戰	恨	
13		iā				
13	Ø	iā	衣	沙	鴉啞鵶椏	
13	k	iā	格	鴉	家枷珈痂加笳椵葭麚鴐豭茄迦嘉跏	
13	k͑	iā	克	鴉	伽呿	
13	h	iā	黑	鴉	魻呀谺	蝦
13		iâ				
13	Ø	iâ	衣	麻	衙牙芽涯枒呀齖崖倪㧎	
13	h	iâ	黑	衙	霞蝦遐瑕騢蕸鍜碬	
13		ià				
13	Ø	ià	衣	馬	雅疋庌啞	
13	k	ià	格	雅	賈榎嘏徦斝假椵	
13	h	ià	黑	雅	閜	夏廈
13		iá				
13	Ø	iá	衣	禡	亞婭惡迓訝砑稏厊牙	
13	k	iá	格	亞	駕架稼嫁價假斝幏鞂稭恝	
13	k͑	iá	克	亞	髂䯊	
13	h	iá	黑	亞	下暇假夏罅嚇	
13		iă				
13	Ø	iă	衣	殺	軋揠乙圠䝟輵猰鴨壓齾蘖嶭枿䡾押䦪	
13	k	iă	格	鴨	甲戛楔恝秸頡㓤扴介圿夾韐筴鵊郟袷胛押俠鞈跲鉀	
13	k͑	iă	克	鴨	恰鬝劼㓤帢掐胠楬𥴭𦸉	
13	h	iă	黑	鴨	瞎黠轄磍𡇼鎋擖劼鬝𥈎洽呷祫硤峽狎柙匣袷悏霅	
14		iē				
14	c̹	iē	則	些	𦊕嗟瘥	
14	t	iē	德	些	爹	
14	s	iē	色	嗟	些	
14		iê				
14	Ø	iê	衣	蛇	邪釾枒斜爺	
14	k͑	iê	克	爺	茄	
14	s	iê	色	爺	斜衺䔑	
14		iè				
14	Ø	iè	衣	者	野冶也蠱	
14	c̹	iè	則	野	姐	
14	c̹͑	iè	測	野	且苴灺飷	
14	s	iè	色	野	寫瀉𣞐	
14		ié				
14	Ø	ié	衣	射	夜射䞣	
14	c̹	ié	則	夜	借藉籍唶	
14	c̹͑	ié	測	夜	䞣	
14	s	ié	色	夜	謝榭藉籍卸瀉㴬	
14		iĕ				
14	Ø	iĕ	衣	黑	咽噎謁暍閼翳抴曵緳葉厭擪靨浥裛饁曄㷸揲猒腌俺業嶪𦡧鄴惵痷	
14	c̹	iĕ	則	葉	櫛𥣮瀄節楶截巀寁接婕眹浹捷誱倢	
14	c̹͑	iĕ	測	葉	切竊漆𪙌妾唼緁	
14	k	iĕ	格	葉	訐揭羯結潔拮絜鍥孑偈笈桔髻𢴲𨥂朅愒唊碣堨傑𣚃竭桀楬渴鋏頰莢劫衱𧉧祫梜刧筴跲拾𥘜	
14	k͑	iĕ	克	葉	挈契蛣鍥㓶栔朅篋愜怯慊	
14	p	iĕ	德	葉	蹩批苾馝飶龞閉鷿別彆辯襒	
14	p͑	iĕ	忒	葉	撆瞥嫳憋潎𡷘	
14	t	iĕ	日	葉	絰姪垤耋咥軼凸迭瓞跌眣柣昳牒鰈艓揲堞蝶渫諜喋蹀惵褋跕𧨯褶㬪㲲苵𥷕䠟𨴗	
14	t͑	iĕ	弗	葉	鐡驖餮替怗帖貼䵿呫跕沾䩞	
14	l	iĕ	勒	葉	列洌茢蛚冽捩裂栵迣厲栗戾盭劣埒鋝獵躐鬣儠擸䉭颲	
14	m	iĕ	麥	葉	滅蔑篾蠛衊搣懱𥽘䁾	
14	n	iĕ	溺	葉	齧隉蜺嵲臬闑蘖孽㜸蠥钀饁曄爗𪌊讞䡾䘽霓業嶪牒鄴涅篞苶捏𥔄鑷䯀躡聶囁捻敜□讘摄慹喦埝踂	
14	s	iĕ	色	葉	屑薛紲泄楔亵契渫媟齛𨇨枻僁𣊓屧燮躞	
14	h	iĕ	黑	葉	協絜揳𨾎歇蠍猲纈襭擷頡挾俠脅𢣢愶偞𨾗熁拹㢵綊䦖	
14		iė̆				
14	Ø	iė̆	衣	十	一壹逸佾佚軼溢鎰失迭泆乙鳦益嗌齸億憶臆醷薏抑繹譯驛懌掖腋液弈奕帟嶧醳斁𥜃亦易射蜴埸弋杙翊翼翌㚤睪圛湙黓釴廙邑裛浥悒唈熠揖俋煜曄曅坄檍潩蠮䭂	
14	c̹	iė̆	則	一	疾嫉蒺唧堲積鯽脊跡蹐㸅借鰿磧績勣瘠塉籍耤踖藉庴寂即濈稷襀䳭輯集鏶㗱楫檝孴潗揖湒戢𧤏濈	
14	c̹͑	iė̆	測	一	七漆刺磧皵墄鼜戚鏚慼緝葺霫咠諿飁	
14	k	iė̆	格	一	吉拮蛣姞佶訖吃趌劇屐𠙏跂𢔔㦸激擊棘殛亟襋㥛革撠躆轚及笈岌圾急級給汲伋鶪狊鼳鵙玃躩墼	
14	k͑	iė̆	克	一	乞詰蛣喫毄軗泣湆闃訖吃䏠	
14	p	iė̆	百	一	必蹕畢珌罼韠飶篳滭觱筆縪彃鉍㓖駜飶苾佖泌弼佛柲比躃襞璧辟碧逼繴鼊堛副㽬愊楅愎甓𨐧闢擗煏椑𢁽壁稫邲𥻅	
