字	阜南	临泉	太和	涡阳	颍上
尼	ni55	ni55	ni44	ni44	ni33
呢	ni55	ni55	ni44	ni44	ni33
腻	ni53	ni52	ni41	ni42	ni51
梨	le55	li55	le44	li44	le33
履	ly23	ly24	ly24	ly25	ly35
资	tsɿ211	tsɿ213	tsɿ213	tsɿ213	ʦɿ213
姿	tsɿ211	tsɿ213	tsɿ213	tsɿ213	ʦɿ213
咨	tsɿ211	tsɿ213	tsɿ213	tsɿ213	ʦɿ213
姊	tsɿ23	tsɿ24	tsɿ24	tsɿ25	ʦɿ35
次	tsʰɿ53	tsʰɿ52	tsʰɿ41	tsʰɿ42	ʦʰɿ51
师	sɿ211	sɿ213	sɿ213	sɿ213	sɿ213
狮	sɿ211	sɿ213	sɿ213	sɿ213	sɿ213
蛳	sɿ211	sɿ213	sɿ213	sɿ213	sɿ213
饥	tɕi211	tɕi213	tɕi213	tɕi213	ʨi213
肌	tɕi211	tɕi213	tɕi213	tɕi213	ʨi213
几	tɕɿ23	tɕɿ24	tɕi24	tɕɿ25	ʨi35
冀	tɕi53	tɕi52	tɕi41	tɕi42	ʨi51
器	tɕʰi53	tɕʰi52	tɕʰi41	tɕʰi42	ʨʰi51
弃	tɕʰi53	tɕʰi52	tɕʰi41	tɕʰi42	ʨʰi51
祁	tɕʰi55	tɕʰi55	tɕʰi44	tɕʰi44	ʨʰi33
姨	i22	i22	i44	i22	i33
夷	i22	i22	i44	i22	i33
你	ni23	ni24	ni24	ni25	ni35
貍	li23	li24	li24	li25	le35
李	le23	li24	li24	li25	li/le35
里	le23	li24	li24	le25	le35
理	le23	li24	li24	li25	le35
鲤	le23	le24	le24	li25	le35
吏	li53	li52	li41	li42	li51
兹	tsɿ211	tsɿ213	tsɿ213	tsɿ213	ʦɿ213
滋	tsɿ211	tsɿ213	tsɿ213	tsɿ213	ʦɿ213
子	tsɿ23	tsɿ24	tsɿ24	tsɿ25	ʦɿ35
梓	tsɿ23	tsɿ24	tsɿ24	tsɿ25	ʦɿ35
慈	tsʰɿ55	tsʰɿ55	tsʰɿ44	tsʰɿ44	ʦʰɿ33
磁	tsʰɿ55	tsʰɿ55	tsʰɿ44	tsʰɿ44	ʦɿ33
字	tsɿ53	tsɿ52	tsɿ41	tsɿ42	ʦɿ51
牸	sɿ53	sɿ52	sɿ41	sɿ42	sɿ51
思	sɿ211	sɿ213	sɿ213	sɿ213	sɿ213
丝	sɿ211	sɿ213	sɿ213	sɿ213	sɿ213
司	sɿ53	sɿ52	sɿ41	sɿ42	sɿ213
伺	tsʰɿ53	tsʰɿ52	tsʰɿ41	tsʰɿ42	ʦʰɿ51
辞	tsʰɿ55	tsʰɿ55	tsʰɿ44	tsʰɿ44	ʦʰɿ33
祠	tsʰɿ53	tsʰɿ52	tsʰɿ41	tsʰɿ42	ʦʰɿ33
词	tsʰɿ53	tsʰɿ52	tsʰɿ41	tsʰɿ42	ʦʰɿ33
似	sɿ53	sɿ52	sɿ41	sɿ42	sɿ51
巳	sɿ53	sɿ52	sɿ41	sɿ42	sɿ51
饲	sɿ53	sɿ52	sɿ41	sɿ42	sɿ51
嗣	sɿ53	sɿ52	sɿ41	sɿ42	sɿ51
置	tsɿ53	tsɿ52	tsɿ41	tsɿ42	ʦɿ51
基	tɕi211	tɕi213	tɕi213	tɕi213	ʨi213
萁	tɕi211	tɕi213	tɕi213	tɕi213	ʨi213
箕	tɕi211	tɕʰi213	tɕɿ213	tɕɿ213	ʨi213
姬	tɕi53	tɕi52	tɕi41	tɕi42	ʨi213
己	tɕi23	tɕi24	tɕi24	tɕi25	ʨi35
纪	tɕi53	tɕi52	tɕi41	tɕi42	ʨi51
记	tɕi53	tɕi52	tɕi41	tɕi42	ʨi51
欺	tɕʰi211	tɕʰi213	tɕʰi213	tɕʰi213	tɕʰi213
起	tɕʰi23	tɕʰi24	tɕʰi24	tɕʰi25	ʨʰi35
杞	tɕi23	tɕi24	tɕi24	tɕi25	tɕʰi35
棋	tɕʰi23	tɕʰi55	tɕʰi24	tɕʰi44	ʨʰi33
恼	nɔ23	nɔ24	nɔ24	nɔ25	nɔ35
劳	lɔ55	lɔ55	lɔ44	lɔ25	lɔ33
捞	lɔ55	lɔ55	lɔ44	lɔ25	lɔ33
牢	lɔ55	lɔ55	lɔ44	lɔ25	lɔ33
唠	lɔ55	lɔ24	lɔ44	lɔ25	lɔ33
老	lɔ23	lɔ24	lɔ24	lɔ214	lɔ35
姥	lɔ23	lɔ24	lɔ24	lɔ214	lɔ35
糟	tsɔ211	tsɔ213	tsɔ213	tsɔ213	ʦɔ213
遭	tsɔ211	tsɔ213	tsɔ213	tsɔ213	ʦɔ213
早	tsɔ23	tsɔ24	tsɔ24	tsɔ25	ʦɔ35
枣	tsɔ23	tsɔ24	tsɔ24	tsɔ25	ʦɔ35
蚤	sɔ23	tsɔ24	tsɔ24	tsɔ214	sɔ213
澡	tsɔ23	tsɔ24	tsɔ24	tsɔ25	ʦɔ35
躁	tsʰɔ53	tsʰɔ52	tsɔ41	tsʰɔ42	ʦɔ51
操	tsʰɔ211	tsʰɔ213	tsʰɔ213	tsʰɔ213	ʦʰɔ213
草	tsʰɔ23	tsʰɔ24	tsʰɔ24	tsʰɔ25	ʦʰɔ35
騲	tsʰɔ23	tsʰɔ24	tsʰɔ24	tsʰɔ25	ʦʰɔ51
糙	tsʰɔ53	tsʰɔ52	tsʰɔ41	tsʰɔ42	ʦɔ51
曹	tsʰɔ55	tsʰɔ55	tsʰɔ44	tsʰɔ44	ʦʰɔ35
造	tsʰɔ53	tsɔ52	tsɔ41	tsɔ42	ʦʰɔ51
皂	tsɔ53	tsɔ52	tsɔ41	tsɔ42	ʦʰɔ51
骚	sɔ211	sɔ213	sɔ213	sɔ213	ʦɔ213
臊	sɔ211	sɔ213	sɔ213	sɔ213	sɔ51
嫂	sɔ23	sɔ24	sɔ24	sɔ25	sɔ35
掃	sɔ23	sɔ24	sɔ24	sɔ25	sɔ35
燥	tsɔ53	tsɔ52	tsɔ41	tsɔ42	ʦɔ51
扫	sɔ23	sɔ24	sɔ24	sɔ25	sɔ35
高	kɔ211	kɔ213	kɔ213	kɔ213	kɔ213
膏	kɔ23	kɔ24	kɔ24	kɔ25	kɔ35
篙	kɔ211	xɔ213	xɔ213	xɔ213	xɔ213
糕	kɔ211	kɔ213	kɔ213	kɔ213	kɔ213
羔	kɔ211	kɔ213	kɔ213	kɔ213	kɔ213
稿	kɔ23	kɔ24	kɔ24	kɔ25	kɔ35
告	kɔ53	kɔ52	kɔ41	kɔ42	kɔ51
膏	kɔ53	kɔ52	kɔ41	kɔ42	kɔ35
考	kʰɔ23	kʰɔ24	kʰɔ24	kʰɔ25	kʰɔ35
烤	kʰɔ23	kʰɔ24	kʰɔ24	kʰɔ25	kʰɔ35
靠	kʰɔ53	kʰɔ52	kʰɔ41	kʰɔ42	kʰɔ51
犒	kʰɔ53	kʰɔ52	kʰɔ41	kʰɔ42	kʰɔ51
铐	kʰɔ532	kʰɔ52	kʰɔ41	kʰɔ42	kʰɔ51
蒿	xɔ211	xɔ213	xɔ213	xɔ213	xɔ213
薅	xɔ211	xɔ213	xɔ213	xɔ213	xɔ213
好	xɔ23	xɔ24	xɔ41	xɔ25	xɔ35
號	xɔ55	xɔ55	xɔ44	xɔ44	xɔ51
浩	xɔ53	xɔ52	xɔ41	xɔ42	xɔ51
号	xɔ53	xɔ52	xɔ41	xɔ42	xɔ51
爊	ɤɔ211	ɔ213	ɔ213	ɔ213	ɔ213
懊	ɔ53	ɔ52	ɔ41	ɔ42	ɔ51
包	pɔ211	pɔ213	pɔ213	pɔ213	pɔ213
胞	pʰɔ211	pɔ213	pɔ213	pʰɔ213	pʰɔ213
饱	pɔ23	pɔ24	pɔ24	pɔ25	pɔ35
泡	pʰɔ53	pʰɔ52	pʰɔ41	pʰɔ42	pʰɔ51
抛	pʰɔ211	pʰɔ213	pʰɔ213	pʰɔ213	pʰɔ213
脬	pʰɔ211	pʰɔ213	pɔ24	pʰɔ213	pʰɔ213
鉋	pɔ23	pʰɔ24	pɔ44	pɔ25	pʰɔ213
貓	mɔ211	mɔ213	mɔ213	mɔ213	mɔ33
茅	mɔ23	mɔ24	mɔ24	mɔ25	mɔ33
锚	mɔ23	mɔ24	mɔ24	mɔ25	mɔ33
卯	mɔ23	mɔ24	mɔ24	mɔ25	mɤu35
貌	mɔ53	mɔ52	mɔ41	mɔ42	mɔ51
挠	nɔ23	nɔ55	nɔ24	nɔ25	nɔ33
闹	nɔ53	nɔ52	nɔ41	nɔ42	nɔ51
罩	tsɔ53	tsɔ52	tsɔ41	tsɔ42	ʦɔ51
抓	tsua211	tsua213	tsua213	tsua213	ʦua213
爪	tsua23	tsua24	tsua24	tsɔ25	ʦua35
找	tsɔ23	tsɔ24	tsɔ24	tsɔ25	ʦɔ35
炒	tsʰɔ23	tsʰɔ24	tsʰɔ24	tsʰɔ25	ʦʰɔ35
吵	tsʰɔ23	tsʰɔ24	tsʰɔ24	tsʰɔ25	ʦʰɔ35
巢	tsʰɔ55	tsʰɔ55	tsʰɔ44	tsʰɔ44	ʦʰɔ33
梢	sɔ211	sɔ213	sɔ213	sɔ213	sɔ213
筲	sɔ211	sɔ213	sɔ213	sɔ213	sɔ51
捎	sɔ211	sɔ213	sɔ213	sɔ213	sɔ213
潲	sɔ53	sɔ52	sɔ41	sɔ42	sɔ51
交	tɕiɔ211	tɕiɔ213	tɕiɔ213	tɕiɔ213	ʨiɔ213
胶	tɕiɔ211	tɕiɔ213	tɕiɔ213	tɕiɔ213	ʨiɔ213
绞	tɕiɔ211	tɕiɔ24	tɕiɔ24	tɕiɔ213	tɕiɔ35
狡	tɕiɔ23	tɕiɔ24	tɕiɔ24	tɕiɔ25	ʨiɔ35
搞	kɔ23	kɔ24	kɔ24	kɔ25	kɔ35
较	tɕiɔ53	tɕiɔ52	tɕiɔ41	tɕiɔ42	ʨiɔ51
酵	ɕiɔ53	tɕiɔ52	tɕiɔ41	tɕiɔ42	ɕiɔ51
校	ɕiɔ53	ɕiɔ52	ɕiɔ41	ɕiɔ42	ɕiɔ51
敲	tɕʰiɔ211	tɕʰiɔ213	tɕʰiɔ213	tɕʰiɔ213	ʨʰiɔ213
骹	tɕiɔ211	tɕyɛ213	tɕyɛ213	tɕyɛ213	ʨiɔ213
巧	tɕʰiɔ23	tɕʰiɔ24	tɕʰiɔ24	tɕʰiɔ25	tɕʰiɔ35
咬	iɔ23	iɔ24	iɔ24	iɔ25	iɔ35
哮	ɕiɔ53	ɕiɔ52	ɕiɔ41	ɕiɔ42	ɕiɔ51
孝	ɕiɔ53	ɕiɔ52	ɕiɔ41	ɕiɔ42	ɕiɔ51
淆	ɕiɔ55	ɕiɔ55	ɕiɔ44	ɕiɔ44	iɔ33
肴	iɔ55	iɔ55	iɔ44	iɔ44	iɔ33
凹	ua53	ɤɔ52	ɤɔ41	ua42	ɔ51
坳	ɤɔ53	ɤɔ52	ɤɔ41	ɔ42	iɔ51
靿	ɤɔ53	ɤɔ52	iɔ41	ɤɔ42	iɔ51
膘	piɔ211	piɔ213	piɔ213	piɔ213	piɔ213
标	piɔ213	piɔ213	piɔ213	piɔ213	piɔ213
表	piɔ23	piɔ24	piɔ24	piɔ25	piɔ35
婊	piɔ23	piɔ24	piɔ24	piɔ25	piɔ35
漂	pʰiɔ211	pʰiɔ213	pʰiɔ213	pʰiɔ213	pʰiɔ51
票	pʰiɔ53	pʰiɔ52	pʰiɔ41	pʰiɔ42	pʰiɔ51
漂	pʰiɔ53	pʰiɔ52	pʰiɔ41	pʰiɔ42	pʰiɔ213
瓢	pʰiɔ55	pʰiɔ55	pʰiɔ44	pʰiɔ44	pʰiɔ33
嫖	pʰiɔ55	pʰiɔ55	pʰiɔ44	pʰiɔ44	pʰiɔ33
鰾	pʰiɔ53	pʰiɔ52	pʰiɔ41	pʰiɔ42	pɔ51
苗	miɔ23	miɔ24	miɔ44	miɔ25	miɔ33
秒	miɔ23	miɔ24	miɔ24	miɔ25	miɔ35
渺	miɔ23	miɔ24	miɔ24	miɔ25	miɔ35
藐	miɔ53	miɔ52	miɔ24	miɔ42	miɔ35
妙	miɔ53	miɔ52	miɔ41	miɔ42	miɔ51
焦	tɕiɔ211	tɕiɔ213	tɕiɔ213	tɕiɔ213	ʨiɔ213
剿	tɕiɔ23	tɕiɔ24	tɕiɔ24	tɕiɔ25	ʨiɔ35
锹	tɕʰiɔ211	tɕʰiɔ213	tɕʰiɔ213	tɕʰiɔ213	tcʰiɔ35
繰	tsʰɔ53	tsʰɔ52	ʨʰiɔ41	tsʰɔ42	sɔ51
悄	tɕʰiɔ53	tɕʰiɔ52	tɕʰiɔ41	tɕʰiɔ42	tcʰiɔ213
俏	tɕʰiɔ53	tɕʰiɔ52	tɕʰiɔ41	tɕʰiɔ42	tɕʰiɔ213
樵	tɕʰiɔ211	tɕʰiɔ213	tɕʰiɔ44	tɕʰiɔ213	ʨʰiɔ33
瞧	tɕʰiɔ55	tɕʰiɔ55	tɕʰiɔ44	tɕʰiɔ44	tɕʰiɔ213
消	ɕiɔ211	ɕiɔ213	ɕiɔ213	ɕiɔ213	ɕiɔ213
宵	ɕiɔ211	ɕiɔ213	ɕiɔ213	ɕiɔ213	ɕiɔ213
霄	ɕiɔ211	ɕiɔ213	ɕiɔ213	ɕiɔ213	ɕiɔ213
硝	ɕiɔ211	ɕiɔ213	ɕiɔ213	ɕiɔ213	ɕiɔ213
销	ɕiɔ211	ɕiɔ213	ɕiɔ213	ɕiɔ213	ɕiɔ213
小	ɕiɔ23	ɕiɔ24	ɕiɔ24	ɕiɔ25	ɕiɔ35
逍	ɕiɔ211	ɕiɔ55	ɕiɔ213	ɕiɔ213	ɕiɔ213
笑	ɕiɔ53	ɕiɔ52	ɕiɔ41	ɕiɔ42	ɕiɔ51
朝	tsʰɔ23	tsʰɔ24	tsʰɔ24	tsʰɔ25	ʦʰɔ33
超	tsʰɔ211	tsʰɔ213	tsʰɔ213	tsʰɔ213	ʦʰɔ213
潮	tsʰɔ23	tsʰɔ24	tsʰɔ44	tsʰɔ25	ʦʰɔ33
赵	tsɔ53	tsɔ52	tsɔ41	tsɔ42	ʦɔ51
兆	tsɔ53	tsɔ52	tsɔ41	tsɔ42	ʦɔ51
昭	tsɔ211	tsɔ213	tsɔ213	tsɔ213	ʦɔ51
沼	tsɔ211	tsɔ213	tsɔ213	tsɔ213	ʦɔ35
照	tsɔ53	tsɔ52	tsɔ41	tsɔ42	ʦɔ51
烧	sɔ211	sɔ213	sɔ213	sɔ213	sɔ213
少	sɔ23	sɔ24	sɔ24	sɔ25	sɔ35
韶	sɔ23	sɔ24	sɔ41	sɔ25	sɔ33
绍	sɔ23	sɔ24	sɔ41	sɔ25	sɔ51
饶	zɔ23	zɔ24	zɔ24	zɔ25	zɔ33
扰	zɔ23	zɔ24	zɔ24	zɔ25	zɔ35
绕	zɔ23	zɔ24	zɔ24	zɔ25	zɔ51
骄	tɕiɔ211	tɕiɔ213	tɕiɔ213	tɕiɔ213	ʨiɔ213
矫	tɕiɔ211	tɕiɔ213	tɕiɔ213	tɕiɔ213	ʨiɔ35
荞	tɕʰiɔ23	tɕʰiɔ24	tɕʰiɔ44	tɕʰiɔ25	ʨʰiɔ33
翘	tɕʰiɔ53	tɕʰiɔ52	tɕʰiɔ41	tɕʰiɔ42	ʨʰiɔ51
轿	tɕiɔ53	tɕiɔ52	tɕiɔ41	tɕiɔ42	ʨiɔ51
嚣	ɕiɔ211	ɕiɔ213	ɕiɔ213	ɕiɔ213	ɕiɔ213
妖	iɔ211	iɔ213	iɔ213	iɔ213	iɔ213
邀	iɔ211	iɔ213	iɔ213	iɔ213	iɔ213
腰	iɔ211	iɔ213	iɔ213	iɔ213	iɔ213
要	iɔ211	iɔ213	iɔ213	iɔ213	iɔ51
夭	iɔ211	iɔ213	iɔ213	iɔ213	iɔ213
姚	iɔ55	iɔ55	iɔ44	iɔ44	iɔ33
舀	iɔ23	iɔ24	iɔ24	iɔ25	iɔ35
遥	iɔ55	iɔ55	iɔ44	iɔ44	iɔ33
雕	tiɔ211	tiɔ213	tiɔ213	tiɔ213	tiɔ213
貂	tiɔ211	tiɔ213	tiɔ213	tiɔ213	tiɔ213
凋	tiɔ211	tiɔ213	tiɔ213	tiɔ213	tiɔ213
鸟	niɔ23	niɔ24	niɔ24	niɔ25	niɔ35
吊	tiɔ53	tiɔ52	tiɔ41	tiɔ42	tiɔ51
挑	tʰiɔ211	tʰiɔ213	tʰiɔ213	tʰiɔ213	tʰiɔ213
跳	tʰiɔ53	tʰiɔ52	tʰiɔ41	tʰiɔ42	tʰiɔ51
條	tʰiɔ55	tʰiɔ55	tʰiɔ44	tʰiɔ44	tʰiɔ33
调	tʰiɔ55	tʰiɔ55	tʰiɔ44	tʰiɔ44	tʰiɔ33
掉	tiɔ53	tiɔ52	tiɔ41	tiɔ42	tiɔ51
调	tiɔ53	tiɔ52	tiɔ41	tiɔ42	tiɔ51
尿	niɔ53	niɔ52	niɔ41	niɔ42	se213
镣	liɔ53	liɔ52	liɔ41	liɔ42	liɔ51
叫	tɕiɔ53	tɕiɔ52	tɕiɔ41	tɕiɔ42	ʨiɔ51
撬	tɕʰiɔ53	tɕʰiɔ52	tɕʰiɔ41	tɕʰiɔ42	ʨʰiɔ51
尧	iɔ55	iɔ55	iɔ44	iɔ44	iɔ33
晓	ɕiɔ23	ɕiɔ24	ɕiɔ24	ɕiɔ25	ɕiɔ35
吆	iɔ211	iɔ213	iɔ213	iɔ213	iɔ213
杳	iɔ23	iɔ24	iɔ24	iɔ25	iɔ35
剖	pʰuɤ53	pʰuɤ52	pʰuɤ41	pʰɤo213	pʰuɤ51
某	mou23	mou24	mou24	mou25	mu33
牡	mu23	mu24	mu24	mu25	mu213
母	mu23	mu24	mu24	mu25	mu35
拇	mu23	mu24	mu24	mu25	mu35
茂	mɔ53	mɔ52	mɔ41	mɔ42	mɔ51
贸	mɔ53	mɔ52	mɔ41	mɔ42	mɔ51
兜	tɤu211	tɤu213	tɤu213	tɤo213	tɤu213
斗	tɤu23	tɤu24	tɤu24	tɤo25	tɤu35
抖	tɤu23	tɤu24	tɤu24	tɤo25	tɤu35
陡	tɤu23	tɤu24	tɤu24	tɤo25	tɤu35
偷	tʰɤu211	tʰɤu213	tʰɤu213	tʰɤo213	tʰɤu213
透	tʰɤu53	tʰɤu52	tʰɤu41	tʰɤo42	tʰɤu51
头	tʰɤu55	tʰɤu55	tʰɤu44	tʰɤo44	tʰɤu33
豆	tɤu53	tɤu52	tɤu41	tɤo42	tɤu51
痘	tɤu53	tɤu52	tɤu41	tɤo42	tɤu51
逗	tɤu53	tɤu52	tɤu41	tɤo42	tɤu51
搂	lɤu23	lɤu24	lɤu24	lɤo25	lɤu33
凑	tsʰɤu53	tsʰɤu52	tsʰɤu41	tsʰou42	ʦʰɤu51
叟	sɤu211	sɤu213	sɤu213	sɤu213	sɤu35
嗽	sɤu53	tʰɤu55	sɤu41	sɤu42	su51
勾	kɤu211	kɤu213	kɤu213	kɤu213	kɤu213
钩	kɤu211	kɤu213	kɤu213	kɤu213	kɤu213
沟	kɤu211	kɤu213	kɤu213	kɤu213	kɤu213
狗	kɤu23	kɤu24	kɤu24	kɤu25	kɤu35
苟	kɤu23	kɤu24	kɤu24	kɤu25	kɤu35
垢	kɤu23	kɤu24	kɤu41	kɤu25	kɤu51
构	kɤu53	kɤu52	kɤu41	kɤu42	kɤu51
口	kʰɤu23	kʰɤu24	kʰɤu24	kʰɤu25	kʰɤu35
扣	kʰɤu53	kʰɤu52	kʰɤu41	kʰɤu42	kʰɤu51
寇	kʰɤu53	kʰɤu52	kʰɤu41	kʰɤu42	kʰɤu51
藕	ɤu23	ɤu24	ɤu24	ɤu25	ɤu33
吼	xɤu23	xɤu24	xɤu24	ɤu25	xɤu35
侯	xɤu53	xɤu55	xɤu44	xɤu42	xɤu51
后	xɤu55	xɤu52	xɤu41	xɤu44	xɤu51
沤	ɤu211	ɤu52	ɤu41	ɤu225	ɤu51
否	ɤu53	fɔ24	fɤu24	ɤo42	fɔ35
不	fɔ23	pu213	pu41	fɤ25	pu51
富	pu53	fu52	fu41	pu42	xu51
浮	fu53	fu55	fu41	fu44	xu33
负	fu55	fu55	fu41	fu52	fu51
矛	mɤu53	mɔ24	niɤo213	mɔ25	mɔ33
纽	mɔ23	niɤo213	niɤo213	niɤo213	niɤu35
流	niɤo211	liɤo55	liɤo44	liɤo25	liɤu33
溜	liɤo23	liɤo213	liɤo41	liɤo213	liɤu213
廖	liɔ53	liɔ52	liɔ41	liɔ42	liɔ51
揪	tɕiɤo23	tɕiɤo213	tɕiɤo213	tɕiɤo213	ʨiɤu213
酒	tɕiɤo23	tɕiɤo24	tɕiɤo24	tɕiɤo25	ʨiɤu213
就	tɕiɤo53	tɕiɤo52	tɕiɤo41	tɕiɤo42	ʨiɤu51
修	ɕiɤo211	ɕiɤo213	ɕiɤo213	ɕiɤo213	ɕiɤu213
秀	ɕiɤo53	ɕiɤo52	ɕiɤo41	ɕiɤo42	ɕiɤu51
锈	ɕiɤo53	ɕiɤo52	ɕiɤo41	ɕiɤo42	ɕiɤu51
宿	su53	ɕiɤo52	ɕiɤo41	ɕiɤo42	ɕiɤu51
袖	ɕiɤo53	ɕiɤo52	ɕiɤo41	ɕiɤo42	ɕiɤu51
抽	tsʰɤo211	tsʰɤo213	tsʰɤo213	tsʰɤo213	ʦʰɤu213
丑	tsʰɤo23	tsʰɤo24	tsʰɤo24	tsʰɤo25	ʦʰɤu35
绸	tsʰɤo55	tsʰɤo55	tsʰɤo44	tsʰɤo44	ʦʰɤu33
紂	tsɤo53	tsɤo52	tsɤo41	tsɤo42	ʦɤu51
宙	tsɤo53	tsɤo52	tsɤo41	tsɤo42	ʦɤu51
掫	tsʰɤo211	tsʰɤo213	tsʰɤo213	tsʰɤo213	ʦʰɤu213
矁	tsʰɤo23	tsʰɤo24	tsʰɤo24	tsʰɤo25	ʦʰɤu33
愁	tsʰɤo23	tsʰɤo24	tsʰɤo24	tsʰɤo25	ʦʰɤu33
搜	sɤo211	sɤo213	sɤo213	sɤo213	sɤu213
瘦	sɤo53	sɤo52	sɤo41	sɤo42	sɤu51
漱	su53	fu52	su41	fu42	su51
周	tsɤo211	tʂɤo213	tsɤo213	tsɤo213	ʦɤu213
洲	tsɤo211	tʂɤo213	tsɤo213	tsɤo213	ʦɤu213
咒	tsɤo53	tʂɤo52	tsʰɤo24	tsɤo42	ʦɤu51
臭	tsʰɤo53	tʂʰɤo52	sɤo213	tsʰɤo42	ʦʰɤu51
收	sɤo211	sɤo213	sɤo24	sɤo213	sɤu213
手	sɤo211	sɤo213	sɤo24	sɤo213	sɤu35
兽	sɤo53	sɤo52	tsɤo44	sɤo42	sɤu51
酬	tsʰɤo55	tsɤo55	tsɤo44	tsɤo44	tsɤo33
仇	tsʰɤo55	tsɤo55	sɤo41	tsɤo44	tsɤu33
受	sɤo53	sɤo52	sɤo41	sɤo42	sɤu51
寿	sɤo53	sɤo52	sɤo41	sɤo42	sɤu51
授	sɤo53	sɤo52	sɤo41	sɤo42	sɤu51
售	sɤo53	sɤo52	sɤo44	sɤo42	sɤu51
柔	zɤo55	zɤo55	zɤo44	zɤo44	zɤu33
揉	zɤo55	zɤo55	zɤo213	zɤo44	zɤu33
纠	tɕiɤo211	tɕiɤo213	tɕiɤo24	tɕiɤo213	tɕiɤu213
久	tɕiɤo23	tɕiɤo24	tɕiɤo24	tɕiɤo25	tɕiɤu35
韭	tɕiɤo23	tɕiɤo24	tɕiɤo24	tɕiɤo25	tɕiɤu35
灸	tɕiɤo23	tɕiɤo24	tɕiɤo41	tɕiɤo25	tɕiɤu35
救	tɕiɤo53	tɕiɤo52	tɕiɤo213	tɕiɤo42	tɕiɤu51
丘	tɕʰiɤo211	tɕʰiɤo213	tɕʰiɤo44	tɕʰiɤo213	tɕʰiɤu213
仇	tɕʰiɤo23	tɕʰiɤo24	tɕiɤo41	tɕʰiɤo25	tɕʰiɤu35
舅	tɕiɤo53	tɕiɤo52	tɕiɤo41	tɕiɤo42	tɕiɤu51
牛	niɤo23	niɤo24	ɕiɤo213	niɤo25	niɤu35
休	ɕiɤo211	ɕiɤo213	tɕʰiɤo24	ɕiɤo213	ɕiɤu213
朽	tɕʰiɤo23	tɕʰiɤo24	ɕiɤo41	tɕʰiɤo25	tɕʰiɤu35
忧	iɤo211	iɤo213	iɤo44	iɤo213	iɤu213
尤	iɤo23	iɤo24	iɤo44	iɤo25	iɤu35
有	iɤo23	iɤo24	iɤo24	iɤo25	iɤu35
又	iɤo53	iɤo52	iɤo41	iɤo42	iɤu51
右	iɤo53	iɤo52	iɤo41	iɤo42	iɤu51
悠	iɤo211	iɤo213	iɤo24	iɤo44	iɤu33
釉	iɤo53	iɤo52	piɔ213	iɤo42	iɤu51
彪	piɔ211	piɔ213	miɤo213	piɔ213	piɔ213
丢	tiɤo213	tiɤo213	tɕiɤo213	tiɤo213	tiɤu213
纠	tɕiɤo213	tɕiɤo213	iɤo213	tɕiɤo213	tɕiɤu213
幽	iɤo213	iɤo213	iɤo41	iɤo213	iɤu213
耽	tan211	tan213	tan213	tan213	tan213
贪	tʰan213	ʰan213	tʰan41	tʰan213	tʰan213
探	tʰan53	tʰan52	tʰan41	tʰan42	tʰan51
潭	tʰan55	tʰan55	tʰan44	tʰan44	tʰan33
南	nan55	nan55	nan44	nan44	nan33
男	nan55	nan55	na41	nan44	nan33
拉	la211	la213	la213	la213	la213
垃	la211	la213	la213	la213	la213
簪	tsan211	tsan213	tsʰan213	tsan213	tsan213
参	tsʰan211	tsʰan213	tsʰan24	tsʰan213	tsʰan213
惨	tsʰan213	tsʰan213	tsʰan44	tsʰan213	tsʰan213
蚕	tsʰan55	tsʰan55	tsan44	tsʰan44	tsʰan33
感	kan23	kan24	kan213	kan25	kan35
蛤	kɤ55	kɤ55	xɤ44	kɤ44	kɤ33
鸽	kɤ211	kɤ213	kɤ213	kɤ213	kɤ213
堪	kʰan211	kʰan213	kʰan213	kʰan213	kʰan213
坎	kʰan23	kʰan24	kʰan24	kʰan25	kʰan35
砍	kʰan23	kʰan24	kʰan24	kʰan25	kʰan35
勘	kʰan211	kʰan213	kʰan213	kʰan213	kʰan213
喝	xɤ211	xɤ213	xɤ213	xɤ213	xɤ213
含	xan55	xan24	xan44	xan25	xan35
函	xan55	xan24	xan44	xan25	xan35
撼	xan53	xan52	xan41	xan42	xan51
担	tan211	tan213	tan213	tan213	tan213
坍	tʰan211	tʰan213	tʰan213	tʰan213	tʰan213
毯	tʰan23	tʰan24	tʰan24	tʰan25	tʰan35
蓝	lan55	lan55	lan24	lan44	lan33
惭	tsʰan55	tsʰan55	tsʰan213	tsʰan44	tsʰan33
暂	tsan53	tsan52	kan213	tsan42	tsan51
三	san211	san213	kan213	tsʰan213	tsʰan213
甘	kan211	kan213	kan24	kan213	kan213
柑	kan211	kan213	kan24	kan213	kan213
敢	kan23	kan24	kʰɤ213	kan25	kan35
喊	xan23	xan24	xan24	xan25	xan35
酣	xan211	xan213	xan213	xan213	xan213
站	tsan53	tsan52	tsan41	tsan42	tsan51
赚	tsuan53	tsuan52	tsuan41	tsuan42	tsuan51
站	tsan53	tsan52	tsan24	tsan42	tsan51
斩	tsan23	tsan24	tsan41	tsan25	tsan35
插	tsʰa211	tsʰa213	tsʰa213	tsʰa213	tsʰa213
馋	tsʰan55	tsʰan55	tsʰan44	tsʰan44	tsʰan33
闸	tsa55	tsa55	tsa44	tsa44	tsa33
杉	san211	san213	san213	san213	san213
减	tɕian23	tɕian24	tɕian24	tɕian25	tɕian35
夹	tɕia211	tɕia213	tɕia24	tɕia213	tɕia213
