#调值	①51	②35	③44	④231	⑤324	⑥224	⑦5	⑧23
#ɿ								
#oʔ								
p	⑦八{僅用於「～百」}撥剝駁博							
pʰ	⑦撲撲☐{～肉：肥肉}							
b	⑧蔔{蘿～}☐{用熱油燙蔬菜}薄							
m	⑧末抹沫沐目牧木莫摸穆睦							
f	⑦福幅蝠複{～習}腹覆							
v	⑧服伏復							
t	⑦篤督☐{淋雨}							
tʰ	⑦禿脫{～衣裳}托							
d	⑧毒獨牘犢奪踱							
l	⑧綠六錄陸鹿祿落烙駱酪洛絡樂{快～}							
ts	⑦足佐{～料}作							
tsʰ	⑦撮促							
dz	⑧族勺							
s	⑦粟肅宿速撒{鬆散，餅乾～}							
z	⑧俗續{繼～}鑿勺昨							
k	⑦穀谷角覺{～著：感覺到}各{～人：每個人}郭							
kʰ	⑦哭殼擴							
ŋ	⑧岳-{姓氏}鄂鶴-							
tʃ	⑦燭囑竹築粥桌卓啄琢捉菊桔決掬覺-{感～}							
dʒ	⑧軸逐濁鐲局掘							
tʃʰ	⑦觸戳曲屈缺確							
ʃ	⑦十{僅限：～五}畜叔縮恤血							
ʒ	⑧贖屬蜀熟							
h	⑦霍							
ɦ	⑧学-{大～}鑊							
	⑦屋握惡							
#ioʔ								
ȵ	⑧辱褥玉獄肉月=☐{兩手揉搓東西}							
ɦ	⑧慾浴育穴悅悅越月=樂學={～習}							
	⑦鬱							
#m̩								
	②嘸{沒有}④畝姆							
#ŋ̍								
	②吳-④五午							
