小韻號	小韻細分	首字	反切	聲母	呼	等	重紐	韻（平賅上去入）	韻（平賅上去）	聲調	攝	廣韻韻目	平水韻目	切韻拼音	古韻羅馬字	有女羅馬字	白一平轉寫	unt切韻擬音L	unt切韻擬音J	msoeg中古擬音V8	潘悟雲擬音
1056		心	息林	心	開	三		侵	侵	平	深	下平聲21侵	下平聲12侵	sim	sim	sim	sim	sim	sim	sim	sim˧
1057		愔	挹淫	影	開	三	A	侵	侵	平	深	下平聲21侵	下平聲12侵	qim	qjim	im	'jim	ʔim	ʔim	ʔim	ʔim˧
1058		祲	子心	精	開	三		侵	侵	平	深	下平聲21侵	下平聲12侵	tsim	cim	zim	tsim	tsim	tsim	tsim	tsim˧
1059		𩷒	昨淫	從	開	三		侵	侵	平	深	下平聲21侵	下平聲12侵	dzim	zim	dzim	dzim	dzim	dzim	dzim	dzim˧
1060		䛘	女心	孃	開	三		侵	侵	平	深	下平聲21侵	下平聲12侵	nrim	nrim	nym	nrim	ɳim	ɳim	ɳim	ɳim˧
1061		琴	巨金	羣	開	三	B	侵	侵	平	深	下平聲21侵	下平聲12侵	gyim	gim	gym	gim	ɡɹim	ɡɹim	ɡɯm	ɡɣim˧
1062		欽	去金	溪	開	三	B	侵	侵	平	深	下平聲21侵	下平聲12侵	khyim	khim	qym	khim	kʰɹim	kʰɹim	kʰɯm	kʰɣim˧
1063		吟	魚金	疑	開	三	B	侵	侵	平	深	下平聲21侵	下平聲12侵	ngyim	ngim	ngym	ngim	ŋɹim	ŋɹim	ŋɯm	ŋɣim˧
1064		歆	許金	曉	開	三	B	侵	侵	平	深	下平聲21侵	下平聲12侵	hyim	him	xym	xim	xɹim	xɹim	xɯm	hɣim˧
1065		金	居吟	見	開	三	B	侵	侵	平	深	下平聲21侵	下平聲12侵	kyim	kim	kym	kim	kɹim	kɹim	kɯm	kɣim˧
1066		音	於金	影	開	三	B	侵	侵	平	深	下平聲21侵	下平聲12侵	qyim	qim	ym	'im	ʔɹim	ʔɹim	ʔɯm	ʔɣim˧
1067		森	所今	生	開	三		侵	侵	平	深	下平聲21侵	下平聲12侵	sryim	srim	shym	srim	ʂim	ʂim	ʂɻm	ʂim˧
1068		岑	鋤針	崇	開	三		侵	侵	平	深	下平聲21侵	下平聲12侵	dzryim	zrim	drym	dzrim	dʐim	dʐim	dʐɻm	dʐim˧
1069		兂	側吟	莊	開	三		侵	侵	平	深	下平聲21侵	下平聲12侵	tsryim	crim	trym	tsrim	tʂim	tʂim	tʂɻm	tʂim˧
1070		嵾	楚簪	初	開	三		侵	侵	平	深	下平聲21侵	下平聲12侵	tsrhyim	chrim	chym	tsrhim	tʂʰim	tʂʰim	tʂʰɻm	tʂʰim˧
1071		𧡪	充針	昌	開	三		侵	侵	平	深	下平聲21侵	下平聲12侵	tjhim	chjim	tcim	tsyhim	tɕʰim	tɕʰim	tçʰim	tɕʰim˧
1072		覃	徒含	定	開	一		覃	覃	平	咸	下平聲22覃	下平聲13覃	dom	dom	dom	dom	dʌm	dʌm	dɔm	dəm˧
1073		參	倉含	清	開	一		覃	覃	平	咸	下平聲22覃	下平聲13覃	tshom	chom	com	tshom	tsʰʌm	tsʰʌm	tsʰɔm	tsʰəm˧
1074		南	那含	泥	開	一		覃	覃	平	咸	下平聲22覃	下平聲13覃	nom	nom	nom	nom	nʌm	nʌm	nɔm	nəm˧
1075		諳	烏含	影	開	一		覃	覃	平	咸	下平聲22覃	下平聲13覃	qom	qom	om	'om	ʡʌm	ʡʌm	ʔɔm	ʔəm˧
1076		含	胡男	匣	開	一		覃	覃	平	咸	下平聲22覃	下平聲13覃	ghom	ghom	hom	hom	ʁʌm	ʁʌm	ʁɔm	ɦəm˧
1077		婪	盧含	來	開	一		覃	覃	平	咸	下平聲22覃	下平聲13覃	lom	lom	lom	lom	ɫʌm	ɫʌm	lɔm	ləm˧
1078		蠶	昨含	從	開	一		覃	覃	平	咸	下平聲22覃	下平聲13覃	dzom	zom	dzom	dzom	dzʌm	dzʌm	dzɔm	dzəm˧
1079		簪	作含	精	開	一		覃	覃	平	咸	下平聲22覃	下平聲13覃	tsom	com	zom	tsom	tsʌm	tsʌm	tsɔm	tsəm˧
1080		探	他含	透	開	一		覃	覃	平	咸	下平聲22覃	下平聲13覃	thom	thom	thom	thom	tʰʌm	tʰʌm	tʰɔm	tʰəm˧
1081		耽	丁含	端	開	一		覃	覃	平	咸	下平聲22覃	下平聲13覃	tom	tom	tom	tom	tʌm	tʌm	tɔm	təm˧
1082		龕	口含	溪	開	一		覃	覃	平	咸	下平聲22覃	下平聲13覃	khom	khom	qom	khom	qʰʌm	qʰʌm	qʰɔm	kʰəm˧
1083		㟏	火含	曉	開	一		覃	覃	平	咸	下平聲22覃	下平聲13覃	hom	hom	xom	xom	χʌm	χʌm	χɔm	həm˧
1084		毿	蘇含	心	開	一		覃	覃	平	咸	下平聲22覃	下平聲13覃	som	som	som	som	sʌm	sʌm	sɔm	səm˧
1085		弇	古南	見	開	一		覃	覃	平	咸	下平聲22覃	下平聲13覃	kom	kom	kom	kom	qʌm	qʌm	qɔm	kəm˧
1086		䜙	五含	疑	開	一		覃	覃	平	咸	下平聲22覃	下平聲13覃	ngom	ngom	ngom	ngom	ɴʌm	ɴʌm	ɴɔm	ŋəm˧
1087		談	徒甘	定	開	一		談	談	平	咸	下平聲23談	下平聲13覃	dam	dam	dam	dam	dam	dam	dɑm	dɑm˧
1088		甘	古三	見	開	一		談	談	平	咸	下平聲23談	下平聲13覃	kam	kam	kam	kam	qam	qam	qɑm	kɑm˧
1089		擔	都甘	端	開	一		談	談	平	咸	下平聲23談	下平聲13覃	tam	tam	tam	tam	tam	tam	tɑm	tɑm˧
1090		三	蘇甘	心	開	一		談	談	平	咸	下平聲23談	下平聲13覃	sam	sam	sam	sam	sam	sam	sɑm	sɑm˧
1091		藍	魯甘	來	開	一		談	談	平	咸	下平聲23談	下平聲13覃	lam	lam	lam	lam	ɫam	ɫam	lɑm	lɑm˧
1092		坩	苦甘	溪	開	一		談	談	平	咸	下平聲23談	下平聲13覃	kham	kham	qam	kham	qʰam	qʰam	qʰɑm	kʰɑm˧
1093		舑	他酣	透	開	一		談	談	平	咸	下平聲23談	下平聲13覃	tham	tham	tham	tham	tʰam	tʰam	tʰɑm	tʰɑm˧
1094		慙	昨甘	從	開	一		談	談	平	咸	下平聲23談	下平聲13覃	dzam	zam	dzam	dzam	dzam	dzam	dzɑm	dzɑm˧
1095		酣	胡甘	匣	開	一		談	談	平	咸	下平聲23談	下平聲13覃	gham	gham	ham	ham	ʁam	ʁam	ʁɑm	ɦɑm˧
1096		姏	武酣	明		一		談	談	平	咸	下平聲23談	下平聲13覃	mam	mam	mam	mam	ᵯam	mam	mɑm	mɑm˧
1097		𩈻	作三	精	開	一		談	談	平	咸	下平聲23談	下平聲13覃	tsam	cam	zam	tsam	tsam	tsam	tsɑm	tsɑm˧
1098		蚶	呼談	曉	開	一		談	談	平	咸	下平聲23談	下平聲13覃	ham	ham	xam	xam	χam	χam	χɑm	hɑm˧
1099		鹽	余廉	以	開	三		鹽	鹽	平	咸	下平聲24鹽	下平聲14鹽	jiem	jem	jem	yem	jem	jem	jiɛm	jiᴇm˧
1100		廉	力鹽	來	開	三		鹽	鹽	平	咸	下平聲24鹽	下平聲14鹽	liem	liem	liem	ljem	lem	lem	ɭiɛm	liᴇm˧
1101		砭	府廉	幫		三	B	鹽	鹽	平	咸	下平聲24鹽	下平聲14鹽	pyem	piem	pyem	pjem	pɹem	pɹem	pi˞ ɛm	pɣiᴇm˧
1102		銛	息廉	心	開	三		鹽	鹽	平	咸	下平聲24鹽	下平聲14鹽	siem	siem	siem	sjem	sjem	sjem	siɛm	siᴇm˧
1103		籤	七廉	清	開	三		鹽	鹽	平	咸	下平聲24鹽	下平聲14鹽	tshiem	chiem	ciem	tshjem	tsʰjem	tsʰjem	tsʰiɛm	tsʰiᴇm˧
1104		詹	職廉	章	開	三		鹽	鹽	平	咸	下平聲24鹽	下平聲14鹽	tjiem	cjem	tjem	tsyem	tɕem	tɕem	tçiɛm	tɕiᴇm˧
1105		棎	視占	常	開	三		鹽	鹽	平	咸	下平聲24鹽	下平聲14鹽	djiem	zjem	zjem	dzyem	dʑem	dʑem	dʝiɛm	dʑiᴇm˧
1106		苫	失廉	書	開	三		鹽	鹽	平	咸	下平聲24鹽	下平聲14鹽	sjiem	sjem	sjem	syem	ɕem	ɕem	çiɛm	ɕiᴇm˧
1107		䪜	處占	昌	開	三		鹽	鹽	平	咸	下平聲24鹽	下平聲14鹽	tjhiem	chjem	tcem	tsyhem	tɕʰem	tɕʰem	tçʰiɛm	tɕʰiᴇm˧
1108		𩓾	汝鹽	日	開	三		鹽	鹽	平	咸	下平聲24鹽	下平聲14鹽	njiem	njem	rem	nyem	ɲem	ɲem	ɲiɛm	ȵiᴇm˧
1109		黏	女廉	孃	開	三		鹽	鹽	平	咸	下平聲24鹽	下平聲14鹽	nriem	nriem	nyem	nrjem	ɳem	ɳem	ɳiɛm	ɳiᴇm˧
1110		炎	于廉	云	開	三	B	鹽	鹽	平	咸	下平聲24鹽	下平聲14鹽	yem	iem	hyem	hjem	ɹem	ɹem	wi˞ ɛm	ɦiᴇm˧
1111		霑	張廉	知	開	三		鹽	鹽	平	咸	下平聲24鹽	下平聲14鹽	triem	triem	tyem	trjem	ʈem	ʈem	ʈiɛm	ʈiᴇm˧
1112		覘	丑廉	徹	開	三		鹽	鹽	平	咸	下平聲24鹽	下平聲14鹽	trhiem	thriem	thyem	trhjem	ʈʰem	ʈʰem	ʈʰiɛm	ʈʰiᴇm˧
1113		淹	央炎	影	開	三	B	鹽	鹽	平	咸	下平聲24鹽	下平聲14鹽	qyem	qiem	yem	'jem	ʔɹem	ʔɹem	ʔi˞ ɛm	ʔɣiᴇm˧
1114		𢜩	丘廉	溪	開	三	B	鹽	鹽	平	咸	下平聲24鹽	下平聲14鹽	khyem	khiem	qyem	khjem	kʰɹem	kʰɹem	kʰi˞ ɛm	kʰɣiᴇm˧
1115		𪙊	語廉	疑	開	三	B	鹽	鹽	平	咸	下平聲24鹽	下平聲14鹽	ngyem	ngiem	ngyem	ngjem	ŋɹem	ŋɹem	ŋi˞ ɛm	ŋɣiᴇm˧
1116		尖	子廉	精	開	三		鹽	鹽	平	咸	下平聲24鹽	下平聲14鹽	tsiem	ciem	ziem	tsjem	tsjem	tsjem	tsiɛm	tsiᴇm˧
1117		潛	昨鹽	從	開	三		鹽	鹽	平	咸	下平聲24鹽	下平聲14鹽	dziem	ziem	dziem	dzjem	dzjem	dzjem	dziɛm	dziᴇm˧
1118		箝	巨淹	羣	開	三	B	鹽	鹽	平	咸	下平聲24鹽	下平聲14鹽	gyem	giem	gyem	gjem	ɡɹem	ɡɹem	ɡi˞ ɛm	ɡɣiᴇm˧
1119		懕	一鹽	影	開	三	A	鹽	鹽	平	咸	下平聲24鹽	下平聲14鹽	qiem	qjem	iem	'jiem	ʔjem	ʔjem	ʔiɛm	ʔiᴇm˧
1120		燅	徐鹽	邪	開	三		鹽	鹽	平	咸	下平聲24鹽	下平聲14鹽	ziem	zsiem	sziem	zjem	zjem	zjem	ziɛm	ziᴇm˧
1121		襳	史炎	生	開	三		鹽	鹽	平	咸	下平聲24鹽	下平聲14鹽	sryem	sriem	shem	srjem	ʂem	ʂem	ʂɻɛm	ʂiᴇm˧
1122		㶣	直廉	澄	開	三		鹽	鹽	平	咸	下平聲24鹽	下平聲14鹽	driem	driem	dyem	drjem	ɖem	ɖem	ɖiɛm	ɖiᴇm˧
1123		鍼	巨鹽	羣	開	三	A	鹽	鹽	平	咸	下平聲24鹽	下平聲14鹽	giem	gjem	giem	gjiem	ɡjem	ɡjem	ɡiɛm	ɡiᴇm˧
1124		添	他兼	透	開	四		添	添	平	咸	下平聲25添	下平聲14鹽	them	them	them	them	tʰem	tʰem	tʰɛm	tʰem˧
1125		𩬑	丁兼	端	開	四		添	添	平	咸	下平聲25添	下平聲14鹽	tem	tem	tem	tem	tem	tem	tɛm	tem˧
1126		甜	徒兼	定	開	四		添	添	平	咸	下平聲25添	下平聲14鹽	dem	dem	dem	dem	dem	dem	dɛm	dem˧
1127		鬑	勒兼	來	開	四		添	添	平	咸	下平聲25添	下平聲14鹽	lem	lem	lem	lem	ɫem	ɫem	lɛm	lem˧
1128		謙	苦兼	溪	開	四		添	添	平	咸	下平聲25添	下平聲14鹽	khem	khem	qem	khem	qʰem	qʰem	qʰɛm	kʰem˧
1129		兼	古甜	見	開	四		添	添	平	咸	下平聲25添	下平聲14鹽	kem	kem	kem	kem	qem	qem	qɛm	kem˧
1130		嫌	戶兼	匣	開	四		添	添	平	咸	下平聲25添	下平聲14鹽	ghem	ghem	hem	hem	ʁem	ʁem	ʁɛm	ɦem˧
1131		鮎	奴兼	泥	開	四		添	添	平	咸	下平聲25添	下平聲14鹽	nem	nem	nem	nem	nem	nem	nɛm	nem˧
1132		馦	許兼	曉	開	四		添	添	平	咸	下平聲25添	下平聲14鹽	hem	hem	xem	xem	χem	χem	χɛm	hem˧
1133		咸	胡讒	匣	開	二		咸	咸	平	咸	下平聲26咸	下平聲15咸	gheem	ghrem	haem	heam	ʁeˤm	ʁeˤm	ʁɜ˞ m	ɦɣɛm˧
1134		緘	古咸	見	開	二		咸	咸	平	咸	下平聲26咸	下平聲15咸	keem	krem	kaem	keam	qeˤm	qeˤm	qɜ˞ m	kɣɛm˧
1135		攕	所咸	生	開	二		咸	咸	平	咸	下平聲26咸	下平聲15咸	sreem	srem	shaem	sream	ʂeˤm	ʂeˤm	ʂɜ˞ m	ʂɣɛm˧
1136		𤟟	乙咸	影	開	二		咸	咸	平	咸	下平聲26咸	下平聲15咸	qeem	qrem	aem	'eam	ʡeˤm	ʡeˤm	ʔɜ˞ m	ʔɣɛm˧
1137		嵒	五咸	疑	開	二		咸	咸	平	咸	下平聲26咸	下平聲15咸	ngeem	ngrem	ngaem	ngeam	ɴeˤm	ɴeˤm	ɴɜ˞ m	ŋɣɛm˧
1138		㰹	許咸	曉	開	二		咸	咸	平	咸	下平聲26咸	下平聲15咸	heem	hrem	xaem	xeam	χeˤm	χeˤm	χɜ˞ m	hɣɛm˧
1139		詀	竹咸	知	開	二		咸	咸	平	咸	下平聲26咸	下平聲15咸	treem	trem	taem	tream	ʈeˤm	ʈeˤm	ʈɜ˞ m	ʈɣɛm˧
1140		諵	女咸	孃	開	二		咸	咸	平	咸	下平聲26咸	下平聲15咸	nreem	nrem	naem	nream	ɳeˤm	ɳeˤm	ɳɜ˞ m	ɳɣɛm˧
1141		讒	士咸	崇	開	二		咸	咸	平	咸	下平聲26咸	下平聲15咸	dzreem	zrem	draem	dzream	dʐeˤm	dʐeˤm	dʐɜ˞ m	dʐɣɛm˧
1142		鵮	苦咸	溪	開	二		咸	咸	平	咸	下平聲26咸	下平聲15咸	kheem	khrem	qaem	kheam	qʰeˤm	qʰeˤm	qʰɜ˞ m	kʰɣɛm˧
1143		銜	戶監	匣	開	二		銜	銜	平	咸	下平聲27銜	下平聲15咸	ghaem	ghram	heam	haem	ʁaˤm	ʁaˤm	ʁa˞ m	ɦɣæm˧
1144		巉	鋤銜	崇	開	二		銜	銜	平	咸	下平聲27銜	下平聲15咸	dzraem	zram	dram	dzraem	dʐaˤm	dʐaˤm	dʐa˞ m	dʐɣæm˧
1145		巖	五銜	疑	開	二		銜	銜	平	咸	下平聲27銜	下平聲15咸	ngaem	ngram	ngeam	ngaem	ɴaˤm	ɴaˤm	ɴa˞ m	ŋɣæm˧
1146		攙	楚銜	初	開	二		銜	銜	平	咸	下平聲27銜	下平聲15咸	tsrhaem	chram	cham	tsrhaem	tʂʰaˤm	tʂʰaˤm	tʂʰa˞ m	tʂʰɣæm˧
1147		衫	所銜	生	開	二		銜	銜	平	咸	下平聲27銜	下平聲15咸	sraem	sram	sham	sraem	ʂaˤm	ʂaˤm	ʂa˞ m	ʂɣæm˧
1148		監	古銜	見	開	二		銜	銜	平	咸	下平聲27銜	下平聲15咸	kaem	kram	keam	kaem	qaˤm	qaˤm	qa˞ m	kɣæm˧
1149		𨂝	白銜	並		二		銜	銜	平	咸	下平聲27銜	下平聲15咸	baem	bram	beam	baem	ᵬaˤm	baˤm	ba˞ m	bɣæm˧
1150		嵌	口銜	溪	開	二		銜	銜	平	咸	下平聲27銜	下平聲15咸	khaem	khram	qeam	khaem	qʰaˤm	qʰaˤm	qʰa˞ m	kʰɣæm˧
1151		嚴	語𩏩	疑	開	三		嚴	嚴	平	咸	下平聲28嚴	下平聲14鹽	ngyom	ngiam	ngiam	ngjaem	ŋəm	ŋj̈əm	ŋɯʌm	ŋɨam˧
1152		𩏩	虛嚴	曉	開	三		嚴	嚴	平	咸	下平聲28嚴	下平聲14鹽	hyom	hiam	xiam	xjaem	xəm	xj̈əm	xɯʌm	hɨam˧
1153		醃	於嚴	影	開	三		嚴	嚴	平	咸	下平聲28嚴	下平聲14鹽	qyom	qiam	iam	'jaem	ʔəm	ʔj̈əm	ʔɯʌm	ʔɨam˧
1154		㪁	丘嚴	溪	開	三		嚴	嚴	平	咸	下平聲28嚴	下平聲14鹽	khyom	khiam	qiam	khjaem	kʰəm	kʰj̈əm	kʰɯʌm	kʰɨam˧
1155		凡	符䒦	並		三		凡	凡	平	咸	下平聲29凡	下平聲15咸	buom	byam	bvam	bjom	bəm	bʋəm	buʌm	bɨam˧
1156		䒦	匹凡	滂		三		凡	凡	平	咸	下平聲29凡	下平聲15咸	phuom	phyam	phvam	phjom	pʰəm	pʰʋəm	pʰuʌm	pʰɨam˧
1157		董	多動	端		一		東	東	上	通	上聲1董	上聲1董	toungq	tungx	tunk	tuwngX	túɴ	túɴ	tᵒuɴˀ	tuŋ˧˥
1158		蠓	莫孔	明		一		東	東	上	通	上聲1董	上聲1董	moungq	mungx	munk	muwngX	ᵯúɴ	múɴ	mᵒuɴˀ	muŋ˧˥
1159		孔	康董	溪		一		東	東	上	通	上聲1董	上聲1董	khoungq	khungx	qunk	khuwngX	qʰúɴ	qʰúɴ	qʰᵒuɴˀ	kʰuŋ˧˥
1160		㪌	先孔	心		一		東	東	上	通	上聲1董	上聲1董	soungq	sungx	sunk	suwngX	súɴ	súɴ	sᵒuɴˀ	suŋ˧˥
1161		侗	他孔	透		一		東	東	上	通	上聲1董	上聲1董	thoungq	thungx	thunk	thuwngX	tʰúɴ	tʰúɴ	tʰᵒuɴˀ	tʰuŋ˧˥
1162		緫	作孔	精		一		東	東	上	通	上聲1董	上聲1董	tsoungq	cungx	zunk	tsuwngX	tsúɴ	tsúɴ	tsᵒuɴˀ	tsuŋ˧˥
1163		澒	胡孔	匣		一		東	東	上	通	上聲1董	上聲1董	ghoungq	ghungx	hunk	huwngX	ʁúɴ	ʁúɴ	ʁᵒuɴˀ	ɦuŋ˧˥
1164		蓊	烏孔	影		一		東	東	上	通	上聲1董	上聲1董	qoungq	qungx	unk	'uwngX	ʡúɴ	ʡúɴ	ʔᵒuɴˀ	ʔuŋ˧˥
1165		𨑊	奴動	泥		一		東	東	上	通	上聲1董	上聲1董	noungq	nungx	nunk	nuwngX	núɴ	núɴ	nᵒuɴˀ	nuŋ˧˥
1166		琫	邊孔	幫		一		東	東	上	通	上聲1董	上聲1董	poungq	pungx	punk	puwngX	ᵱúɴ	púɴ	pᵒuɴˀ	puŋ˧˥
1167		曨	力董	來		一		東	東	上	通	上聲1董	上聲1董	loungq	lungx	lunk	luwngX	ɫúɴ	ɫúɴ	lᵒuɴˀ	luŋ˧˥
1168		嗊	呼孔	曉		一		東	東	上	通	上聲1董	上聲1董	houngq	hungx	xunk	xuwngX	χúɴ	χúɴ	χᵒuɴˀ	huŋ˧˥
1169		動	徒摠	定		一		東	東	上	通	上聲1董	上聲1董	doungq	dungx	dunk	duwngX	dúɴ	dúɴ	dᵒuɴˀ	duŋ˧˥
1170		菶	蒲蠓	並		一		東	東	上	通	上聲1董	上聲1董	boungq	bungx	bunk	buwngX	ᵬúɴ	búɴ	bᵒuɴˀ	buŋ˧˥
1171		腫	之隴	章		三		鍾	鍾	上	通	上聲2腫	上聲2腫	tjuongq	cjyungx	tjvnk	tsyowngX	tɕóɴ	tɕóɴ	tçuoɴˀ	tɕɨu̯o̝ŋ˧˥
1172		寵	丑隴	徹		三		鍾	鍾	上	通	上聲2腫	上聲2腫	trhuongq	thryungx	thivnk	trhjowngX	ʈʰóɴ	ʈʰóɴ	ʈʰuoɴˀ	ʈʰɨu̯o̝ŋ˧˥
1173		隴	力踵	來		三		鍾	鍾	上	通	上聲2腫	上聲2腫	luongq	lyungx	livnk	ljowngX	lóɴ	lóɴ	ɭuoɴˀ	lɨu̯o̝ŋ˧˥
1174		擁	於隴	影		三		鍾	鍾	上	通	上聲2腫	上聲2腫	quongq	qyungx	ivnk	'jowngX	ʔóɴ	ʔj̈óɴ	ʔuoɴˀ	ʔɨu̯o̝ŋ˧˥
1175		宂	而隴	日		三		鍾	鍾	上	通	上聲2腫	上聲2腫	njuongq	njyungx	rvnk	nyowngX	ɲóɴ	ɲóɴ	ɲuoɴˀ	ȵɨu̯o̝ŋ˧˥
1176		重	直隴	澄		三		鍾	鍾	上	通	上聲2腫	上聲2腫	druongq	dryungx	divnk	drjowngX	ɖóɴ	ɖóɴ	ɖuoɴˀ	ɖɨu̯o̝ŋ˧˥
1177		冢	知隴	知		三		鍾	鍾	上	通	上聲2腫	上聲2腫	truongq	tryungx	tivnk	trjowngX	ʈóɴ	ʈóɴ	ʈuoɴˀ	ʈɨu̯o̝ŋ˧˥
1178		奉	扶隴	並		三		鍾	鍾	上	通	上聲2腫	上聲2腫	buongq	byungx	bivnk	bjowngX	bóɴ	bʋóɴ	buoɴˀ	bɨu̯o̝ŋ˧˥
1179		捧	敷奉	滂		三		鍾	鍾	上	通	上聲2腫	上聲2腫	phuongq	phyungx	phivnk	phjowngX	pʰóɴ	pʰʋóɴ	pʰuoɴˀ	pʰɨu̯o̝ŋ˧˥
1180		勇	余隴	以		三		鍾	鍾	上	通	上聲2腫	上聲2腫	juongq	jyungx	jvnk	yowngX	jóɴ	jóɴ	ɥuoɴˀ	jɨu̯o̝ŋ˧˥
1181		恐	丘隴	溪		三		鍾	鍾	上	通	上聲2腫	上聲2腫	khuongq	khyungx	qivnk	khjowngX	kʰóɴ	kʰj̈óɴ	kʰuoɴˀ	kʰɨu̯o̝ŋ˧˥
1182		尰	時宂	常		三		鍾	鍾	上	通	上聲2腫	上聲2腫	djuongq	zjyungx	zjvnk	dzyowngX	dʑóɴ	dʑóɴ	dʝuoɴˀ	dʑɨu̯o̝ŋ˧˥
1183		拱	居悚	見		三		鍾	鍾	上	通	上聲2腫	上聲2腫	kuongq	kyungx	kivnk	kjowngX	kóɴ	kj̈óɴ	kuoɴˀ	kɨu̯o̝ŋ˧˥
1184		悚	息拱	心		三		鍾	鍾	上	通	上聲2腫	上聲2腫	suongq	syungx	sivnk	sjowngX	sjóɴ	sjóɴ	suoɴˀ	sɨu̯o̝ŋ˧˥
1185		洶	許拱	曉		三		鍾	鍾	上	通	上聲2腫	上聲2腫	huongq	hyungx	xivnk	xjowngX	xóɴ	xj̈óɴ	xuoɴˀ	hɨu̯o̝ŋ˧˥
1186		覂	方勇	幫		三		鍾	鍾	上	通	上聲2腫	上聲2腫	puongq	pyungx	pivnk	pjowngX	póɴ	pʋóɴ	puoɴˀ	pɨu̯o̝ŋ˧˥
1187		湩	都𪁪	端		一		冬	冬	上	通	上聲2腫	上聲2腫	tongq	tuungx	tvnk	towngX	tóɴ	tóɴ	tɔɴˀ	tu̯oŋ˧˥
1188		𪁪	莫湩	明		一		冬	冬	上	通	上聲2腫	上聲2腫	mongq	muungx	mvnk	mowngX	ᵯóɴ	móɴ	mɔɴˀ	mu̯oŋ˧˥
1189		䅃	渠隴	羣		三		鍾	鍾	上	通	上聲2腫	上聲2腫	guongq	gyungx	givnk	gjowngX	ɡóɴ	ɡj̈óɴ	ɡuoɴˀ	ɡɨu̯o̝ŋ˧˥
1190		𨿿	充隴	昌		三		鍾	鍾	上	通	上聲2腫	上聲2腫	tjhuongq	chjyungx	tcvnk	tsyhowngX	tɕʰóɴ	tɕʰóɴ	tçʰuoɴˀ	tɕʰɨu̯o̝ŋ˧˥
1191		𢃭	且勇	清		三		鍾	鍾	上	通	上聲2腫	上聲2腫	tshuongq	chyungx	civnk	tshjowngX	tsʰjóɴ	tsʰjóɴ	tsʰuoɴˀ	tsʰɨu̯o̝ŋ˧˥
1192		䙕	子冢	精		三		鍾	鍾	上	通	上聲2腫	上聲2腫	tsuongq	cyungx	zivnk	tsjowngX	tsjóɴ	tsjóɴ	tsuoɴˀ	tsɨu̯o̝ŋ˧˥
1193		講	古項	見		二		江	江	上	江	上聲3講	上聲3講	koeungq	krungx	keonk	kaewngX	qóˤɴ	qóˤɴ	qɞ˞ ɴˀ	kɣɔŋ˧˥
1194		㭋	步項	並		二		江	江	上	江	上聲3講	上聲3講	boeungq	brungx	beonk	baewngX	ᵬóˤɴ	bóˤɴ	bɞ˞ ɴˀ	bɣɔŋ˧˥
1195		慃	烏項	影		二		江	江	上	江	上聲3講	上聲3講	qoeungq	qrungx	eonk	'aewngX	ʡóˤɴ	ʡóˤɴ	ʔɞ˞ ɴˀ	ʔɣɔŋ˧˥
1196		𠈵	武項	明		二		江	江	上	江	上聲3講	上聲3講	moeungq	mrungx	meonk	maewngX	ᵯóˤɴ	móˤɴ	mɞ˞ ɴˀ	mɣɔŋ˧˥
1197		項	胡講	匣		二		江	江	上	江	上聲3講	上聲3講	ghoeungq	ghrungx	heonk	haewngX	ʁóˤɴ	ʁóˤɴ	ʁɞ˞ ɴˀ	ɦɣɔŋ˧˥
1198		𦂌	巴講	幫		二		江	江	上	江	上聲3講	上聲3講	poeungq	prungx	peonk	paewngX	ᵱóˤɴ	póˤɴ	pɞ˞ ɴˀ	pɣɔŋ˧˥
1199		傋	虛慃	曉		二		江	江	上	江	上聲3講	上聲3講	hoeungq	hrungx	xeonk	xaewngX	χóˤɴ	χóˤɴ	χɞ˞ ɴˀ	hɣɔŋ˧˥
1200		紙	諸氏	章	開	三		支	支	上	止	上聲4紙	上聲4紙	tjieq	cjex	tjee	tsyeX	tɕíe	tɕíe	tçieˀ	tɕiᴇ˧˥
1201		是	承紙	常	開	三		支	支	上	止	上聲4紙	上聲4紙	djieq	zjex	zjee	dzyeX	dʑíe	dʑíe	dʝieˀ	dʑiᴇ˧˥
1202		靡	文彼	明		三	B	支	支	上	止	上聲4紙	上聲4紙	myeq	miex	myee	mjeX	mɹíe	mɹíe	mɯeˀ	mɣiᴇ˧˥
1203		彼	甫委	幫		三	B	支	支	上	止	上聲4紙	上聲4紙	pyeq	piex	pyee	pjeX	pɹíe	pɹíe	pɯeˀ	pɣiᴇ˧˥
1204		被	皮彼	並		三	B	支	支	上	止	上聲4紙	上聲4紙	byeq	biex	byee	bjeX	bɹíe	bɹíe	bɯeˀ	bɣiᴇ˧˥
1205		毀	許委	曉	合	三	B	支	支	上	止	上聲4紙	上聲4紙	hueq	hyex	xwee	xjweX	xɹwíe	xɹwíe	xueˀ	hʷɣiᴇ˧˥
1206		委	於詭	影	合	三	B	支	支	上	止	上聲4紙	上聲4紙	queq	qyex	wee	'jweX	ʔɹwíe	ʔɹwíe	ʔueˀ	ʔʷɣiᴇ˧˥
1207		跪	去委	溪	合	三	B	支	支	上	止	上聲4紙	上聲4紙	khueq	khyex	qwee	khjweX	kʰɹwíe	kʰɹwíe	kʰueˀ	kʰʷɣiᴇ˧˥
1208		詭	過委	見	合	三	B	支	支	上	止	上聲4紙	上聲4紙	kueq	kyex	kwee	kjweX	kɹwíe	kɹwíe	kueˀ	kʷɣiᴇ˧˥
