tshoŋ	5	33	寸充沖
koŋ	2a	13	裙
goŋ	2a	13	共
khoŋ	4	22	孔
hoŋ	2a	13	魂勻雲紅鳳
moŋ	6	11	夢
loŋ	6	11	嫩弄
Ǿoŋ	2a	13	翁
poŋ	1	35	分風
foŋ	4	22	粉
toŋ	1	35	墩東冬
thoŋ	1	35	吞通
tsoŋ	1	35	粽
soŋ	1	35	孫松宋
tshoŋ	1	35	蔥
koŋ	5	33	公宮恭
moŋ	2a	13	門
loŋ	2b	12	膿
Ǿoŋ	1	35	溫
foŋ	5	33	豐
koŋ	1	35	耕公
moŋ	4	22	蚊猛
loŋ	2a	13	龍
foŋ	1	35	烘封
loŋ	5	33	鬧
ɕiaŋ	5	33	響
niaŋ	4	22	娘
Ǿiaŋ	2b	12	降
tɕioŋ	6	11	共
ɕioŋ	6	11	順
dʑioŋ	2a	13	窮
tɕhioŋ	1	35	春
lioŋ	2a	13	龍
Ǿioŋ	6	11	用
tɕioŋ	4	22	准
ɕioŋ	1	35	兇
Ǿioŋ	2b	12	熊
Ǿioŋ	2a	13	雄容
Ǿioŋ	4	22	擁
tshuaŋ	4	22	撞
kuaŋ	5	33	光
guaŋ	2a	13	狂
khuaŋ	5	33	筐
