#符號說明：-白									
調值	陰平44	陽平22	上聲31	去聲52	陰入2	陽入5			
ŋ	[44]	[22]	[31]	[52]					
h	[44]靴	[22]	[31]	[52]					
∅	[44]喲	[22]	[31]	[52]					
#ion									
ts	[44]	[22]	[31]	[52]					
tsʰ	[44]	[22]	[31]篡{~奪}	[52]纂篆撰旋{毛髮成螺旋狀}					
ŋ	[44]軟	[22]	[31]阮	[52]					
#iot									
ts	[2]	[5]							
tsʰ	[2]	[5]							
ŋ	[2]	[5]							
#ioŋ									
p	[44]坊-	[22]	[31]	[52]放					
pʰ	[44]	[22]房{姓}	[31]	[52]					
m	[44]	[22]	[31]網	[52]					
t	[44]	[22]	[31]	[52]					
l	[44]兩{斤~}	[22]量良糧梁粱涼輛	[31]兩倆	[52]量亮諒晾					
ts	[44]將漿	[22]	[31]獎槳蔣	[52]將醬					
tsʰ	[44]槍	[22]	[31]搶	[52]像-嗆					
s	[44]相箱廂湘襄鑲	[22]祥詳牆薔	[31]想	[52]相象像					
k	[44]僵薑韁疆姜羌	[22]	[31]強	[52]					
kʰ	[44]匡框眶筐腔	[22]強	[31]	[52]					
ŋ	[44]	[22]娘	[31]仰	[52]釀讓-					
h	[44]香鄉	[22]	[31]響晌享	[52]向					
∅	[44]養癢央秧	[22]羊洋揚楊陽瘍	[31]佯	[52]樣漾壤嚷讓					
#iok									
p	[2]	[5]							
pʰ	[2]縛	[5]							
m	[2]	[5]							
t	[2]	[5]							
l	[2]	[5]略掠							
ts	[2]雀	[5]							
tsʰ	[2]	[5]							
s	[2]削	[5]							
k	[2]腳	[5]							
kʰ	[2]卻	[5]							
ŋ	[2]虐	[5]							
h	[2]	[5]							
∅	[2]約	[5]藥							
#iui									
∅	[44]	[22]	[31]	[52]銳					
#iun									
k	[44]軍君均鈞	[22]	[31]僅謹郡窘	[52]					
kʰ	[44]菌近-	[22]裙群勤瓊芹	[31]	[52]近					
ŋ	[44]忍	[22]銀	[31]刃仞	[52]韌					
∅	[44]尹允	[22]雲耘芸勻	[31]永泳詠隱	[52]運韻閏潤					
#iut									
k	[2]	[5]							
kʰ	[2]曲屈倔掘	[5]							
ŋ	[2]	[5]							
∅	[2]鬱	[5]							
#iuŋ									
l	[44]壟	[22]龍	[31]	[52]					
ts	[44]綜縱	[22]	[31]縱	[52]					
tsʰ	[44]	[22]從松	[31]	[52]					
s	[44]嵩	[22]	[31]	[52]頌誦訟					
k	[44]弓躬穹宮恭供	[22]	[31]鞏拱龔	[52]供					
kʰ	[44]	[22]窮	[31]恐	[52]共					
ŋ	[44]	[22]	[31]	[52]					
h	[44]兄凶洶胸匈	[22]雄	[31]	[52]					
∅	[44]戎冗雍壅癰	[22]絨榮熊融咠茸容溶蓉鎔傭庸	[31]甬勇湧擁	[52]用					
#iuk									
l	[2]六陸	[5]綠錄陸							
ts	[2]足	[5]							
tsʰ	[2]	[5]							
s	[2]宿肅粟寂	[5]俗續							
k	[2]角{驅趕}	[5]焗							
kʰ	[2]曲{歌~}粬菊掬鞠	[5]							
ŋ	[2]肉	[5]玉褥							
h	[2]畜蓄旭	[5]							
∅	[2]育	[5]浴欲慾辱							
#oi									
p	[44]	[22]	[31]	[52]背					
pʰ	[44]坯	[22]賠	[31]	[52]背吠焙					
m	[44]	[22]梅枚煤媒黴	[31]	[52]妹					
f	[44]灰恢盔	[22]	[31]	[52]喂會{能，可以}					
v	[44]喂偎煨	[22]	[31]	[52]					
t	[44]堆磊	[22]	[31]䇏{整個}	[52]碓					
tʰ	[44]梯胎推{推脫}	[22]臺枱苔抬	[31]	[52]代貸袋					
l	[44]	[22]來萊	[31]耒誄	[52]					
ts	[44]脧{陽物}	[22]	[31]	[52]載嘴					
tsʰ	[44]吹炊	[22]才財材	[31]揣惴	[52]菜脆					
s	[44]衰腮鰓甩	[22]	[31]	[52]睡賽稅					
k	[44]該賅頦{下巴}	[22]	[31]改	[52]蓋丐鈣					
kʰ	[44]開	[22]	[31]凱楷溉概慨	[52]					
ŋ	[44]	[22]呆	[31]	[52]外礙					
h	[44]	[22]	[31]海嗨	[52]害亥					
∅	[44]哀	[22]	[31]	[52]愛嬡					
#on									
p	[44]	[22]	[31]	[52]					
pʰ	[44]翻-	[22]	[31]	[52]					
f	[44]歡	[22]	[31]緩	[52]換喚煥宦					
v	[44]	[22]完{整個}	[31]碗腕豌	[52]換-					
t	[44]端	[22]	[31]短	[52]斷					
tʰ	[44]斷-	[22]團糰	[31]	[52]斷段鍛緞疃{田~}					
n	[44]暖	[22]暖	[31]	[52]					
l	[44]	[22]	[31]卵	[52]亂					
ts	[44]專磚鑽-	[22]	[31]轉	[52]鑽					
tsʰ	[44]川穿餐閂汆	[22]傳爨	[31]喘竄	[52]串賺傳					
s	[44]酸	[22]船	[31]	[52]蒜					
k	[44]幹乾干竿杆肝	[22]	[31]稈趕扞	[52]幹					
kʰ	[44]	[22]	[31]侃	[52]看					
h	[44]旱	[22]寒韓鼾	[31]罕	[52]汗漢焊捍翰					
∅	[44]安鞍銨氨	[22]	[31]	[52]按案桉					
#ot									
p	[2]發-	[5]							
pʰ	[2]	[5]							
f	[2]	[5]							
v	[2]	[5]							
t	[2]掇{托}	[5]							
tʰ	[2]脫	[5]奪							
n	[2]	[5]							
l	[2]劣	[5]捋							
ts	[2]撮拙	[5]嘬							
tsʰ	[2]撮{騙}啜{喝湯或稀粥}	[5]							
s	[2]說刷	[5]							
k	[2]割葛	[5]							
kʰ	[2]	[5]							
h	[2]喝渴豁	[5]轄							
∅	[2]遏	[5]							
#oŋ									
p	[44]幫乓	[22]	[31]綁榜謗	[52]					
pʰ	[44]蚌	[22]旁滂	[31]	[52]傍					
m	[44]芒{~果}	[22]亡忘忙虻芒	[31]莽	[52]望-					
f	[44]方芳荒慌謊	[22]防妨房	[31]仿訪紡晃	[52]放					
v	[44]汪往	[22]王黃磺蟥	[31]枉	[52]望{希~}旺					
t	[44]當噹	[22]	[31]黨擋檔	[52]當					
tʰ	[44]湯	[22]糖塘唐搪堂	[31]倘淌躺趟蕩	[52]燙					
n	[44]	[22]囊穰瓤	[31]	[52]浪-					
l	[44]	[22]	[31]	[52]浪					
ts	[44]張莊贓髒樁妝裝章樟彰	[22]	[31]掌長	[52]仗帳賬脹壯葬障瘴漲					
tsʰ	[44]昌菖倡娼倉蒼瘡丈{丈人}	[22]長床腸場藏	[31]暢創廠敞杖	[52]丈量唱撞闖狀藏脏					
s	[44]桑嗓搡霜孀礵商墒上	[22]常裳嘗	[31]嗓喪賞上	[52]上尚					
k	[44]岡剛江缸肛扛	[22]	[31]講	[52]鋼杠降					
kʰ	[44]康	[22]	[31]慷	[52]亢炕抗					
h	[44]糠	[22]行航杭降	[31]	[52]巷項					
ŋ	[44]昂	[22]	[31]	[52]戇					
∅	[44]肮	[22]	[31]	[52]					
#ok									
p	[2]剝駁博搏	[5]梆{用竹筒做的作為信號的工具}							
pʰ	[2]撲樸泊	[5]鉑薄雹							
m	[2]幕寞膜募驀漠	[5]莫							
f	[2]	[5]							
v	[2]沃霍握穫	[5]鑊							
t	[2]	[5]斫{用刀下砍}							
tʰ	[2]托讬	[5]鐸							
n	[2]	[5]							
l	[2]	[5]洛落樂							
ts	[2]卓桌作酌灼捉著	[5]							
tsʰ	[2]錯亍齪戳	[5]昨戳鑿著{對，正確}							
s	[2]索芍朔塑	[5]勺							
k	[2]角覺各閣擱	[5]咯							
kʰ	[2]確郝榷	[5]磕							
h	[2]殼	[5]學鶴							
ŋ	[2]	[5]嶽齶愕鱷噩樂							
∅	[2]惡噁	[5]							
#ua									
k	[44]瓜呱	[22]	[31]寡	[52]掛卦褂					
#uai									
k	[44]乖	[22]	[31]拐拐蛙	[52]怪					
#uan									
k	[44]關	[22]	[31]	[52]慣					
#uat									
k	[2]括刮	[5]							
kʰ	[2]括								
#uaŋ									
k	[44]桄	[22]	[31]礦梗	[52]					
#uen									
k	[44]	[22]	[31]耿炯	[52]					
#uet									
k	[2]國	[5]摑啯							
#uo									
k	[44]拊撾	[22]	[31]果裹菓	[52]過					
#uon									
k	[44]官倌棺觀冠	[22]	[31]管館	[52]貫灌罐冠					
kʰ	[44]寬								
#uoŋ									
k	[44]光	[22]	[31]廣	[52]逛					
kʰ		[22]狂	[31]擴						
#uok									
k	[2]郭廓	[5]							
#ui									
t	[44]	[22]	[31]	[52]對兌					
tʰ	[44]推	[22]	[31]腿褪蛻	[52]退					
n	[44]	[22]	[31]	[52]內					
l	[44]屢累{~積}鏍{~e31:銅板}	[22]雷蕾鐳擂	[31]儡壘	[52]累類淚					
ts	[44]追錐	[22]	[31]嘴{鳥~}	[52]最隊墜醉					
tsʰ	[44]崔催摧	[22]捶棰錘	[31]	[52]翠罪淬啐					
s	[44]雖綏荽	[22]誰隋垂	[31]水髓	[52]瑞遂隧碎穗祟					
k	[44]圭閨矽龜規歸巋	[22]	[31]鬼詭軌	[52]桂貴癸鱖季					
kʰ	[44]虧	[22]奎葵逵魁	[31]跪潰愧毀	[52]櫃					
ŋ	[44]	[22]危巍	[31]偽	[52]魏					
#un									
p	[44]奔錛分-{給}	[22]	[31]本	[52]苯糞					
pʰ	[44]	[22]盆	[31]	[52]噴					
m	[44]蚊燜	[22]門	[31]悶	[52]問					
f	[44]昏婚暈分	[22]魂渾墳焚餛	[31]粉忿憤	[52]混份					
v	[44]溫瘟	[22]文紋汶	[31]穩	[52]					
t	[44]敦墩燉諄	[22]	[31]頓屯盹肫噸	[52]扽{利物刺入}					
tʰ	[44]吞	[22]豚臀囤	[31]盾遁	[52]鈍					
n	[44]	[22]	[31]	[52]嫩					
l	[44]	[22]侖淪輪掄倫崙	[31]	[52]論					
ts	[44]尊蹲遵	[22]	[31]准	[52]俊駿峻竣圳					
tsʰ	[44]春村膥{蛋}伸{~腰}	[22]蹲	[31]蠢	[52]寸					
s	[44]孫遜	[22]存旬荀唇循純蓴醇淳繩巡塍隼	[31]損筍榫殉	[52]順舜					
k	[44]	[22]	[31]滾{~水}	[52]棍					
kʰ	[44]昆崑琨坤	[22]	[31]捆滾	[52]困					
ŋ	[44]	[22]	[31]	[52]					
#ut									
p	[2]不	[5]							
pʰ	[2]	[5]勃渤脖							
m	[2]	[5]沒歿							
f	[2]忽㺀窟彿	[5]佛拂							
v	[2]囫刎吻{口~}	[5]物勿吻							
t	[2]	[5]							
tʰ	[2]凸突{~然}	[5]突							
n	[2]	[5]							
l	[2]	[5]							
ts	[2]卒	[5]							
tsʰ	[2]	[5]							
s	[2]率摔蟀戍	[5]術述秫怵							
k	[2]骨	[5]							
kʰ	[2]	[5]							
ŋ	[2]兀	[5]							
#uŋ									
p	[44]	[22]	[31]捧棒	[52]					
pʰ	[44]	[22]馮篷蓬縫	[31]	[52]碰縫					
m	[44]	[22]蒙濛朦	[31]懵	[52]					
f	[44]風楓瘋豐封峰烽蜂鋒	[22]紅虹洪鴻逢縫	[31]諷哄烘	[52]鳳奉					
t	[44]東冬咚	[22]	[31]董懂	[52]凍棟中-					
tʰ	[44]通動-	[22]同桐銅筒童瞳潼僮	[31]捅桶統	[52]洞動痛					
n	[44]農濃膿	[22]	[31]	[52]齈					
l	[44]籠聾	[22]礱隆窿	[31]隴攏弄{玩~}	[52]弄					
ts	[44]宗淙琮中{~間}忠鐘盅終舂	[22]	[31]種總腫	[52]種眾中{~意}					
tsʰ	[44]沖聰匆怱蔥囪窗充重	[22]蟲叢崇重	[31]寵塚	[52]仲銃重					
s	[44]鬆雙	[22]	[31]慫㩳{雙手推動}	[52]送宋					
k	[44]工功攻公蚣	[22]	[31]拱	[52]貢汞					
kʰ	[44]空	[22]	[31]孔	[52]控空					
#uk									
p	[2]腹複蔔瀑	[5]							
pʰ	[2]僕-	[5]僕伏-蹼							
m	[2]木目	[5]牧睦穆							
f	[2]福幅蝠複重{~}覆	[5]服伏{埋~}袱複{~習}							
t	[2]督篤啄琢涿	[5]							
tʰ	[2]	[5]讀牘獨毒							
n	[2]	[5]							
l	[2]碌祿	[5]鹿熝{燙}							
ts	[2]竹祝築燭囑粥	[5]							
tsʰ	[2]促濁束觸	[5]族簇逐軸							
s	[2]叔淑速縮	[5]熟							
k	[2]谷穀	[5]焗{悶}							
kʰ	[2]哭酷	[5]							
#m									
∅	[44]	[22]吾唔毋梧	[31]	[52]					
#n									
∅	[44]	[22]你-魚吳	[31]五伍女	[52]					
