声母	韵母	调类	音节(IPA)	字
s	ian	阴去	sian˩˩	扇(文) 搧(替)
s	ian	阳平	sian˩˧	涎
s	ian	阳去	sian˧˧	善 鱔 𤺪(替) 蟮(替)
k	ian	阴平	kian˥˥	肩(文) 堅
k	ian	阴上	kian˥˩	繭
k	ian	阴去	kian˩˩	見(文) 建(文)
k	ian	阳去	kian˧˧	健(文) 腎
kʰ	ian	阴平	kʰian˥˥	牽(文) 圈(替) 摼(替)
kʰ	ian	阴上	kʰian˥˩	犬 遣
kʰ	ian	阴去	kʰian˩˩	譴 焮(替)
g	ian	阴上	gian˥˩	研(文)
g	ian	阴去	gian˩˩	癮(替) 䯡(替)
g	ian	阳平	gian˩˧	言
g	ian	阳去	gian˧˧	殗(替)
h	ian	阴平	hian˥˥	掀
h	ian	阴上	hian˥˩	顯(文)
h	ian	阴去	hian˩˩	羶(替) 獻
h	ian	阳平	hian˩˧	玄 懸(文) 弦
h	ian	阳去	hian˧˧	縣(文) 現
	ian	阴平	ian˥˥	鵪 胭 煙
	ian	阴上	ian˥˩	演 偃(替)
	ian	阴去	ian˩˩	燕 𮩘(替)
	ian	阳平	ian˩˧	延 緣 涎 鉛 芫
	ian	阳去	ian˧˧	硯 諺 院(文)
p	iaŋ	阴去	piaŋ˩˩	□
pʰ	iaŋ	阳平	pʰiaŋ˩˧	砰
t	iaŋ	阴平	tiaŋ˥˥	□
l	iaŋ	阴平	liaŋ˥˥	喨(替)
l	iaŋ	阳平	liaŋ˩˧	涼 粱
l	iaŋ	阳去	liaŋ˧˧	亮
ts	iaŋ	阴平	tsiaŋ˥˥	漳
ts	iaŋ	阳去	tsiaŋ˧˧	偝
tsʰ	iaŋ	阴平	tsʰiaŋ˥˥	戧(替)
tsʰ	iaŋ	阴去	tsʰiaŋ˩˩	蹌(替)
tsʰ	iaŋ	阳平	tsʰiaŋ˩˧	腸 冲 漒
s	iaŋ	阴平	siaŋ˥˥	雙
s	iaŋ	阴去	siaŋ˩˩	摔(替)
s	iaŋ	阳去	siaŋ˧˧	上(替)
dz	iaŋ	阳去	dziaŋ˧˧	攘
k	iaŋ	阴平	kiaŋ˥˥	礓
kʰ	iaŋ	阴平	kʰiaŋ˥˥	腔 鏘(替)
kʰ	iaŋ	阴去	kʰiaŋ˩˩	勥(替)
g	iaŋ	阴平	giaŋ˥˥	婸(替)
h	iaŋ	阴平	hiaŋ˥˥	薟(替)
h	iaŋ	阴上	hiaŋ˥˩	享
	iaŋ	阳去	iaŋ˧˧	偝(替) 鞅
t	iap	阳入	tiap˥	碟(文) 蝶(文) 揲(替)
tʰ	iap	阴入	tʰiap˧	帖
tʰ	iap	阳入	tʰiap˥	疊(文)
l	iap	阴入	liap˧	躡(替) 捏(替) 皺(替) 聶
l	iap	阳入	liap˥	粒 □(替)
ts	iap	阴入	tsiap˧	汁 接(文)
ts	iap	阳入	tsiap˥	捷
s	iap	阴入	siap˧	澀 𩐅(替) 卌(替)
s	iap	阳入	siap˥	洩
k	iap	阴入	kiap˧	狹 挾 俠 劫
kʰ	iap	阴入	kʰiap˧	怯
g	iap	阳入	giap˥	業 挾
h	iap	阳入	hiap˥	脅 拹(替)
	iap	阳入	iap˥	葉
p	iat	阴入	piat˧	鱉(文)
p	iat	阳入	piat˥	別(文)
pʰ	iat	阴入	pʰiat˧	撇
tʰ	iat	阴入	tʰiat˧	拆(文) 鐵(文)
l	iat	阳入	liat˥	列 烈 熱(文)
ts	iat	阴入	tsiat˧	折 摺 節(文)
ts	iat	阳入	tsiat˥	截(白)
tsʰ	iat	阴入	tsʰiat˧	切
s	iat	阴入	siat˧	設 褻 薛(文)
s	iat	阳入	siat˥	舌(文)
k	iat	阴入	kiat˧	桔 結(文) 激(替) 吉
kʰ	iat	阴入	kʰiat˧	揭(替)
kʰ	iat	阳入	kʰiat˥	坷
h	iat	阴入	hiat˧	血(文) 㧒(替) 擷
	iat	阳入	iat˥	拽(替)
p	iak	阴入	piak˧	煏(替)
pʰ	iak	阳入	pʰiak˥	擗(替)
t	iak	阴入	tiak˧	𢬳(替)
t	iak	阳入	tiak˥	擿(替)
k	iak	阳入	kiak˥	□
p	iaʔ	阴入	piaʔ˧	鱉(白) 壁(白)
pʰ	iaʔ	阴入	pʰiaʔ˧	癖(白)
pʰ	iaʔ	阳入	pʰiaʔ˥	癖(替)
t	iaʔ	阳入	tiaʔ˥	糴
tʰ	iaʔ	阴入	tʰiaʔ˧	拆(白)
l	iaʔ	阴入	liaʔ˧	跡(替) 擸(替)
l	iaʔ	阳入	liaʔ˥	掠
ts	iaʔ	阴入	tsiaʔ˧	脊 隻(白) 睫(替) 才(替) 即(替)
ts	iaʔ	阳入	tsiaʔ˥	食(白)
tsʰ	iaʔ	阴入	tsʰiaʔ˧	赤(白)
s	iaʔ	阴入	siaʔ˧	削 錫
s	iaʔ	阳入	siaʔ˥	勺 夕(白) 石(白)
k	iaʔ	阴入	kiaʔ˧	撠
k	iaʔ	阳入	kiaʔ˥	屐(白)
kʰ	iaʔ	阴入	kʰiaʔ˧	隙(替)
kʰ	iaʔ	阳入	kʰiaʔ˥	屐(白)
g	iaʔ	阳入	giaʔ˥	額 攑(替)
h	iaʔ	阴入	hiaʔ˧	遐(替)
h	iaʔ	阳入	hiaʔ˥	額
	iaʔ	阴入	iaʔ˧	揠(替)
	iaʔ	阳入	iaʔ˥	驛(白) 蝶(白)
ts	iauʔ	阴入	tsiauʔ˧	□
k	iauʔ	阴入	kiauʔ˧	□ 撠
h	iauʔ	阴入	hiauʔ˧	□(替)
pʰ	ua	阴去	pʰua˩˩	剖 破(白)
b	ua	阳平	bua˩˧	磨(白)
t	ua	阴去	tua˩˩	帶 蹛(替)
t	ua	阳去	tua˧˧	大(白) 舵(白)
tʰ	ua	阴平	tʰua˥˥	拖(白)
tʰ	ua	阳去	tʰua˧˧	汰(替)
l	ua	阳去	lua˧˧	賴(白)
ts	ua	阴上	tsua˥˩	紙
ts	ua	阳平	tsua˩˧	蛇(白)
ts	ua	阳去	tsua˧˧	誓(替) 逝
tsʰ	ua	阴去	tsʰua˩˩	蔡(白)
tsʰ	ua	阳去	tsʰua˧˧	娶 𤆬 泄(替)
s	ua	阴平	sua˥˥	鯊 痧 沙(白) 砂(白)
s	ua	阴上	sua˥˩	徙(白) 硰
s	ua	阴去	sua˩˩	續 漱
s	ua	阳去	sua˧˧	亍(替)
k	ua	阴平	kua˥˥	瓜(文) 歌(白) 柯(白) 過
k	ua	阴去	kua˩˩	卦 蓋(白) 芥(白) 過(白) 褂
k	ua	阳去	kua˧˧	□
kʰ	ua	阴上	kʰua˥˩	可(白)
kʰ	ua	阴去	kʰua˩˩	擱(替) 挂
g	ua	阴上	gua˥˩	我
g	ua	阳去	gua˧˧	外
h	ua	阴平	hua˥˥	花(文)
h	ua	阴去	hua˩˩	化
	ua	阴上	ua˥˩	瓦(文) 倚(白)
	ua	阴去	ua˩˩	化(白)
	ua	阳去	ua˧˧	畫(文) 話(文) 佤(替)
k	uai	阴平	kuai˥˥	乖
k	uai	阴上	kuai˥˩	柺
k	uai	阴去	kuai˩˩	怪(文)
k	uai	阳去	kuai˧˧	拐(替)
h	uai	阳平	huai˩˧	頦(替)
	uai	阴平	uai˥˥	歪
p	uan	阴去	puan˩˩	半(文)
pʰ	uan	阴去	pʰuan˩˩	判(文)
pʰ	uan	阳平	pʰuan˩˧	盤(文)
pʰ	uan	阳去	pʰuan˧˧	伴(文)
b	uan	阴上	buan˥˩	輓 挽(文) 滿(文) 晚(文)
t	uan	阴平	tuan˥˥	專
t	uan	阴上	tuan˥˩	短(文)
t	uan	阴去	tuan˩˩	斷
t	uan	阳去	tuan˧˧	緞 斷(文) 段(文)
tʰ	uan	阴去	tʰuan˩˩	篆
tʰ	uan	阳平	tʰuan˩˧	傳
l	uan	阴上	luan˥˩	卵(文) 軟(文) 抩(替)
ts	uan	阴平	tsuan˥˥	專 磚(文)
ts	uan	阴上	tsuan˥˩	轉(文)
ts	uan	阴去	tsuan˩˩	鑽(文)
ts	uan	阳平	tsuan˩˧	全(文) 泉(文) 船(文)
ts	uan	阳去	tsuan˧˧	捘(替)
tsʰ	uan	阴平	tsʰuan˥˥	穿(文) 川(文) 村(文)
tsʰ	uan	阴上	tsʰuan˥˩	喘
tsʰ	uan	阴去	tsʰuan˩˩	篡 竄 串 閂(文)
tsʰ	uan	阳平	tsʰuan˩˧	僎(替)
s	uan	阴平	suan˥˥	珊 栓 酸(文) 漩(替) 踹(替) 遄
s	uan	阴上	suan˥˩	選
s	uan	阴去	suan˩˩	蒜 算(文)
s	uan	阳去	suan˧˧	訕(替) 璇(替)
k	uan	阴平	kuan˥˥	涓 捐 官(文) 棺(文) 關(文) 觀
k	uan	阴上	kuan˥˩	館 管(文) 捲(文)
k	uan	阴去	kuan˩˩	灌 罐 慣 貫(文) 券(文) 絹(文)
k	uan	阳平	kuan˩˧	拳(文) 懸
k	uan	阳去	kuan˧˧	縣
kʰ	uan	阴平	kʰuan˥˥	寬(文)
kʰ	uan	阴上	kʰuan˥˩	款(文)
kʰ	uan	阴去	kʰuan˩˩	勸(文)
kʰ	uan	阳平	kʰuan˩˧	環(白)
g	uan	阳平	guan˩˧	元 員 原 袁
g	uan	阳去	guan˧˧	願
h	uan	阴平	huan˥˥	翻 吩 歡(文) 番
h	uan	阴上	huan˥˩	反
h	uan	阴去	huan˩˩	販 喚
h	uan	阳平	huan˩˧	礬 樊 煩 還(文) 環(文) 帆(文)
h	uan	阳去	huan˧˧	范 犯 範 梵 換(文) 患
	uan	阴平	uan˥˥	彎 鴛
	uan	阴上	uan˥˩	碗(文) 腕(文) 遠(文)
	uan	阴去	uan˩˩	怨
	uan	阳平	uan˩˧	灣 員 丸 圓(文) 園(文) 莞 芫
h	uaŋ	阴平	huaŋ˥˥	風
	uaŋ	阴平	uaŋ˥˥	嚾(替)
p	uat	阴入	puat˧	般 撥(文)
p	uat	阳入	puat˥	拔(文)
pʰ	uat	阴入	pʰuat˧	潑(文) 撥(替)
b	uat	阳入	buat˥	末(文)
tʰ	uat	阴入	tʰuat˧	脫
ts	uat	阳入	tsuat˥	絕(文)
s	uat	阴入	suat˧	雪(文) 說(文) 鱈(替)
k	uat	阴入	kuat˧	決 抉(替)
kʰ	uat	阴入	kʰuat˧	缺(文)
g	uat	阳入	guat˥	月(文)
h	uat	阴入	huat˧	法 發
h	uat	阳入	huat˥	罰 乏 活(文)
	uat	阴入	uat˧	斡
	uat	阳入	uat˥	斡
p	uaʔ	阴入	puaʔ˧	簸 鉢 撥(白)
p	uaʔ	阳入	puaʔ˥	跋(替)
pʰ	uaʔ	阴入	pʰuaʔ˧	潑(白)
pʰ	uaʔ	阳入	pʰuaʔ˥	□(替)
b	uaʔ	阴入	buaʔ˧	抹
b	uaʔ	阳入	buaʔ˥	茉 末(白)
tʰ	uaʔ	阴入	tʰuaʔ˧	屜 脱
l	uaʔ	阳入	luaʔ˥	辣 熱(白) 捋(替)
ts	uaʔ	阴入	tsuaʔ˧	掣
ts	uaʔ	阳入	tsuaʔ˥	□ 𪘧
tsʰ	uaʔ	阴入	tsʰuaʔ˧	礤(替) 泄(替) 掣(替)
tsʰ	uaʔ	阳入	tsʰuaʔ˥	𪘧(替)
s	uaʔ	阴入	suaʔ˧	煞 撒
k	uaʔ	阴入	kuaʔ˧	割 刈 括 葛(白)
kʰ	uaʔ	阴入	kʰuaʔ˧	闊 渴(白)
h	uaʔ	阴入	huaʔ˧	砉 喝(白)
h	uaʔ	阳入	huaʔ˥	跨(替)
	uaʔ	阳入	uaʔ˥	活(白)
	uaiʔ	阳入	uaiʔ˥	𨂿(替)
pʰ	ã	阴去	pʰã˩˩	冇(替)
pʰ	ã	阳去	pʰã˧˧	髦(替)
m	ã	阴上	mã˥˩	媽 馬(文) 妈
m	ã	阴去	mã˩˩	嘛(替)
m	ã	阳平	mã˩˧	麻
m	ã	阳去	mã˧˧	罵 嘛(替)
t	ã	阴平	tã˥˥	擔(白)
t	ã	阴上	tã˥˩	打 膽(白)
t	ã	阴去	tã˩˩	擔(白)
t	ã	阳平	tã˩˧	錯(替)
t	ã	阳去	tã˧˧	淡(白) 誕(替)
tʰ	ã	阴上	tʰã˥˩	坦 侹(替)
n	ã	阴上	nã˥˩	欖 那(替) 仔
n	ã	阴去	nã˩˩	爁(替)
n	ã	阳平	nã˩˧	嚨 藍(白) 籃(白) 林(白)
n	ã	阳去	nã˧˧	若 爾
ts	ã	阴上	tsã˥˩	攢(替)
ts	ã	阳去	tsã˧˧	㨻(替)
tsʰ	ã	阴去	tsʰã˩˩	嚵(替)
s	ã	阴平	sã˥˥	三(白) 衫(白)
s	ã	阴上	sã˥˩	啥
k	ã	阴平	kã˥˥	橄 監
k	ã	阴上	kã˥˩	敢(白)
k	ã	阴去	kã˩˩	酵(白)
k	ã	阳平	kã˩˧	㩜(替)
kʰ	ã	阴平	kʰã˥˥	坩(替)
kʰ	ã	阳平	kʰã˩˧	夾(替)
ŋ	ã	阳平	ŋã˩˧	羅(替)
h	ã	阴上	hã˥˩	嚇
h	ã	阳去	hã˧˧	跨(替)
	ã	阴平	ã˥˥	□
	ã	阴上	ã˥˩	掗(替)
	ã	阴去	ã˩˩	揞(替)
	ã	阳平	ã˩˧	攔(替)
	ã	阳去	ã˧˧	餡(白)
pʰ	ãi	阳去	pʰãi˧˧	揹(替)
m	ãi	阴上	mãi˥˩	買(文)
m	ãi	阴去	mãi˩˩	□(替)
m	ãi	阳去	mãi˧˧	賣(文) 𥌚(替) 覓
t	ãi	阴平	tãi˥˥	𫼘(替)
t	ãi	阴上	tãi˥˩	刐(替)
n	ãi	阴平	nãi˥˥	奶(替)
n	ãi	阳去	nãi˧˧	奈 荔
ts	ãi	阴上	tsãi˥˩	指
s	ãi	阴平	sãi˥˥	芟
k	ãi	阴平	kãi˥˥	□
k	ãi	阳去	kãi˧˧	挭(替)
kʰ	ãi	阴平	kʰãi˥˥	□
ŋ	ãi	阴上	ŋãi˥˩	研
ŋ	ãi	阳去	ŋãi˧˧	艾(文)
h	ãi	阴平	hãi˥˥	哼
h	ãi	阴去	hãi˩˩	幌(替)
h	ãi	阳平	hãi˩˧	還(白)
h	ãi	阳去	hãi˧˧	貺(替)
	ãi	阴上	ãi˥˩	抁(替)
	ãi	阳平	ãi˩˧	閒(白)
	ãi	阳去	ãi˧˧	偝(替)
m	ãu	阴平	mãu˥˥	㧌(替)
m	ãu	阳平	mãu˩˧	茅(文) 毛(文)
m	ãu	阳去	mãu˧˧	貌
n	ãu	阳去	nãu˧˧	鬧(文)
ŋ	ãu	阴上	ŋãu˥˩	咬(文)
ŋ	ãu	阳去	ŋãu˧˧	藕
h	ãu	阳平	hãu˩˧	□(替)
n	ãʔ	阴入	nãʔ˧	𠱃(替)
s	ãʔ	阴入	sãʔ˧	喢(替)
h	ãʔ	阴入	hãʔ˧	暍(替)
h	ãʔ	阳入	hãʔ˥	暍(替)
n	ãiʔ	阴入	nãiʔ˧	塌(替) 𠱃(替)
m	ãuʔ	阴入	mãuʔ˧	𠱃(替)
n	ãuʔ	阴入	nãuʔ˧	嗕(替)
kʰ	ãuʔ	阳入	kʰãuʔ˥	嚆(替)
ŋ	ãuʔ	阴入	ŋãuʔ˧	嗕(替)
h	ãuʔ	阳入	hãuʔ˥	嚎(替) 犼
p	iã	阴上	piã˥˩	丙(白) 餅(白)
p	iã	阴去	piã˩˩	拼 摒(替)
pʰ	iã	阴平	pʰiã˥˥	𩩍 抨(替) 缾 箳
pʰ	iã	阴上	pʰiã˥˩	𬫄(替)
pʰ	iã	阳平	pʰiã˩˧	坪(白) 蹁(替)
m	iã	阳平	miã˩˧	明(白) 名(白)
m	iã	阳去	miã˧˧	命(白)
t	iã	阴上	tiã˥˩	鼎(白)
t	iã	阴去	tiã˩˩	碇
t	iã	阳平	tiã˩˧	埕
t	iã	阳去	tiã˧˧	定(白)
tʰ	iã	阴平	tʰiã˥˥	聽(白) 廳(白)
tʰ	iã	阴去	tʰiã˩˩	疼(替) 痛
tʰ	iã	阳平	tʰiã˩˧	程(白)
n	iã	阴上	niã˥˩	領(白) 嶺(白)
n	iã	阳平	niã˩˧	娘(白)
n	iã	阳去	niã˧˧	爾(替) 領(替)
ts	iã	阴平	tsiã˥˥	精(白)
ts	iã	阴上	tsiã˥˩	𩟗(替)
ts	iã	阴去	tsiã˩˩	正(白)
ts	iã	阳平	tsiã˩˧	成(白) 情(白) 誠
ts	iã	阳去	tsiã˧˧	芝(替) 掙
tsʰ	iã	阴上	tsʰiã˥˩	且 請(白)
tsʰ	iã	阴去	tsʰiã˩˩	倩(替)
s	iã	阴平	siã˥˥	聲(白)
s	iã	阴去	siã˩˩	聖(白)
s	iã	阳平	siã˩˧	城 餳(替)
s	iã	阳去	siã˧˧	墭(替)
k	iã	阴平	kiã˥˥	驚(白) 京(白)
k	iã	阴上	kiã˥˩	囝
k	iã	阴去	kiã˩˩	鏡(白)
k	iã	阳平	kiã˩˧	行(白) 檠(替)
k	iã	阳去	kiã˧˧	件(白) 健(白)
ŋ	iã	阳平	ŋiã˩˧	迎(白)
h	iã	阴平	hiã˥˥	兄(白)
h	iã	阴上	hiã˥˩	顯(白)
h	iã	阴去	hiã˩˩	向
h	iã	阳平	hiã˩˧	燃(白)
h	iã	阳去	hiã˧˧	艾(白)
	iã	阴平	iã˥˥	泱(替)
	iã	阴上	iã˥˩	影(白)
	iã	阴去	iã˩˩	映
	iã	阳平	iã˩˧	贏(白) 營(白)
	iã	阳去	iã˧˧	□
m	iãu	阳平	miãu˩˧	貓
m	iãu	阳去	miãu˧˧	妙
n	iãu	阴平	niãu˥˥	貓(文)
n	iãu	阴上	niãu˥˩	爪 鳥(文) 老(替)
n	iãu	阴去	niãu˩˩	抓(替)
ŋ	iãu	阴平	ŋiãu˥˥	擽(替)
ŋ	iãu	阳去	ŋiãu˧˧	嬝
	iãu	阴平	iãu˥˥	喵(替)
n	iãʔ	阴入	niãʔ˧	睨(替)
ŋ	iãʔ	阳入	ŋiãʔ˥	□
h	iãʔ	阴入	hiãʔ˧	𢷓(替) 嚇(替)
g	iãuʔ	阳入	giãuʔ˥	孽
ŋ	iãuʔ	阴入	ŋiãuʔ˧	抅(替)
ŋ	iãuʔ	阳入	ŋiãuʔ˥	□
p	uã	阴平	puã˥˥	般(白) 搬(白) 魬(白)
p	uã	阴去	puã˩˩	半(白)
p	uã	阳平	puã˩˧	盤(白)
p	uã	阳去	puã˧˧	拌(白)
pʰ	uã	阴平	pʰuã˥˥	潘(白)
pʰ	uã	阴去	pʰuã˩˩	判(白)
pʰ	uã	阳去	pʰuã˧˧	伴(白)
m	uã	阴平	muã˥˥	幔(替)
m	uã	阴上	muã˥˩	滿(白)
m	uã	阳平	muã˩˧	鰻 麻(白) 痲(白)
m	uã	阳去	muã˧˧	覓
t	uã	阴平	tuã˥˥	端 單(白)
t	uã	阴去	tuã˩˩	旦(白)
t	uã	阳平	tuã˩˧	彈(白) 檀(白) 壇(白)
t	uã	阳去	tuã˧˧	惰 段(白) 彈(白)
tʰ	uã	阴平	tʰuã˥˥	攤(白)
tʰ	uã	阴上	tʰuã˥˩	㔊(替)
tʰ	uã	阴去	tʰuã˩˩	炭(白) 湠
n	uã	阴上	nuã˥˩	挪(替)
n	uã	阴去	nuã˩˩	懶(白)
n	uã	阳平	nuã˩˧	欄(白) 攔(白)
n	uã	阳去	nuã˧˧	爛(白) 懶(白) 瀾(白)
ts	uã	阴平	tsuã˥˥	煎(白)
ts	uã	阴上	tsuã˥˩	怎 盞(白)
ts	uã	阴去	tsuã˩˩	煎(白)
ts	uã	阳平	tsuã˩˧	泉(白)
ts	uã	阳去	tsuã˧˧	濺(替)
tsʰ	uã	阴平	tsʰuã˥˥	䉔(替)
tsʰ	uã	阴上	tsʰuã˥˩	癬
tsʰ	uã	阴去	tsʰuã˩˩	閂
s	uã	阴平	suã˥˥	山(白)
s	uã	阴去	suã˩˩	汕 散(白) 線(白) 傘(白)
k	uã	阴平	kuã˥˥	菅 竿(白) 肝(白) 乾(白) 官(白) 棺(白)
k	uã	阴上	kuã˥˩	趕 寡
k	uã	阳平	kuã˩˧	寒(白)
k	uã	阳去	kuã˧˧	汗(白) 摜(替) 掛
kʰ	uã	阴平	kʰuã˥˥	寬(白)
kʰ	uã	阴上	kʰuã˥˩	款(白)
kʰ	uã	阴去	kʰuã˩˩	看(白) 快
h	uã	阴平	huã˥˥	歡(白)
h	uã	阳平	huã˩˧	鼾
h	uã	阳去	huã˧˧	旱(白) 岸(白) 扞
	uã	阴平	uã˥˥	安(白) 鞍(白) 垵(白)
	uã	阴上	uã˥˩	碗(白) 腕(白)
	uã	阴去	uã˩˩	晏(白)
	uã	阳去	uã˧˧	換(白) 旱(白)
n	uãi	阳去	nuãi˧˧	僆
s	uãi	阳去	suãi˧˧	檨
k	uãi	阴平	kuãi˥˥	關
k	uãi	阴上	kuãi˥˩	梗(替) 柺(替)
k	uãi	阳平	kuãi˩˧	懸(白)
k	uãi	阳去	kuãi˧˧	縣(白)
h	uãi	阴平	huãi˥˥	咶
h	uãi	阳平	huãi˩˧	莖(替)
	uãi	阴平	uãi˥˥	冤(替) □
s	uãiʔ	阳入	suãiʔ˥	□
kʰ	uãiʔ	阴入	kʰuãiʔ˧	噲
p	e	阴平	pe˥˥	菠 飛 𢻷(替)
p	e	阴上	pe˥˩	把(白) 掊(替)
p	e	阴去	pe˩˩	背
p	e	阳平	pe˩˧	耙 扒 琶(白) 杷(白) 賠(白) 爬(白)
p	e	阳去	pe˧˧	背 父(白) 倍(白) 耙(替) 焙(替)
pʰ	e	阴平	pʰe˥˥	胚 杮(替)
pʰ	e	阴去	pʰe˩˩	帕 配(白) 𥯟(替) 皮(替)
pʰ	e	阳平	pʰe˩˧	皮(白)
pʰ	e	阳去	pʰe˧˧	被(白)
b	e	阴上	be˥˩	馬 碼 尾 瑪
b	e	阳平	be˩˧	糜 謎
b	e	阳去	be˧˧	未(白) 妹(白)
t	e	阴平	te˥˥	炱(替)
t	e	阴上	te˥˩	短(白)
t	e	阴去	te˩˩	帝 第 戴(白) 綴(替) 塊(替) 笮(替)
t	e	阳平	te˩˧	蹄(文) 題(文) 茶(白)
t	e	阳去	te˧˧	第 弟(文) 地(文) 袋(白) 代(白)
tʰ	e	阴平	tʰe˥˥	胎(白) 撐(替) 𧇬(替)
tʰ	e	阴上	tʰe˥˩	體(文)
tʰ	e	阴去	tʰe˩˩	退 締
tʰ	e	阳平	tʰe˩˧	堤 提 蹄
tʰ	e	阳去	tʰe˧˧	䖳
l	e	阴平	le˥˥	咧 枒(替)
l	e	阴上	le˥˩	禮 儡(白)
l	e	阳平	le˩˧	黎 麗 梨(文) 犁(文) 螺(白) 璃(白) 捼(替) 腡(替) 鱺
l	e	阳去	le˧˧	麗 厲 勵
ts	e	阴平	tse˥˥	災 這(替)
ts	e	阴上	tse˥˩	姊(白)
ts	e	阴去	tse˩˩	劑 制 製 晬(替) 𤺅(替) 債
ts	e	阳平	tse˩˧	臍(文) 齊(文)
ts	e	阳去	tse˧˧	坐 罪(白)
tsʰ	e	阴平	tsʰe˥˥	叉 炊(白) 吹(白) 差(白) 衩(替)
tsʰ	e	阴上	tsʰe˥˩	髓
tsʰ	e	阴去	tsʰe˩˩	切 脆(白) 𤺅(替)
tsʰ	e	阳平	tsʰe˩˧	箠 蠐(替)
tsʰ	e	阳去	tsʰe˧˧	𢶀(替)
s	e	阴平	se˥˥	西(文) 犀(文) 紗(白) 沙(白) 疶
s	e	阴上	se˥˩	洗(文) 黍(文)
s	e	阴去	se˩˩	細 誓 勢 稅 穢 婿(文) 世
s	e	阳平	se˩˧	垂(替)
dz	e	阳平	dze˩˧	捼(替)
k	e	阴平	ke˥˥	奎 雞(文) 家(文) 加(白) 機
k	e	阴上	ke˥˩	粿 假(白) 果(白) 橛(替) □(替) 菓
k	e	阴去	ke˩˩	繼 斝 計 架(白) 駕(白) 嫁(白) 價(白) 過(白) 蕨(替) 髻(替) 鱖
k	e	阳平	ke˩˧	骾(替) 椵(替) 枷
k	e	阳去	ke˧˧	下
kʰ	e	阴平	kʰe˥˥	稽 溪(文) 科(白) 詼(替) 瘸(替)
kʰ	e	阴去	kʰe˩˩	契 課(白)
kʰ	e	阳平	kʰe˩˧	瘸(替) 跙(替)
g	e	阳平	ge˩˧	倪 芽(白) 牙(白)
g	e	阳去	ge˧˧	藝
h	e	阴平	he˥˥	灰(白) 那(替) 瘕
h	e	阴上	he˥˩	伙 火(白)
h	e	阴去	he˩˩	歲(白) 貨(白) 伙(替)
h	e	阳平	he˩˧	和 回(白) 蝦(白)
h	e	阳去	he˧˧	薈 下(白) 夏(白) 會(白)
	e	阴平	e˥˥	鍋(白)
	e	阴上	e˥˩	啞(白)
	e	阴去	e˩˩	禍(替) 涴(替) 呃
	e	阳平	e˩˧	个(替) 吪
	e	阳去	e˧˧	廈(白) 會(白) 禍(白) 下
p	eʔ	阴入	peʔ˧	柏 伯(白) 百(白) 擘(替) 跁(替)
p	eʔ	阳入	peʔ˥	白(白) 帛
pʰ	eʔ	阳入	pʰeʔ˥	垡
b	eʔ	阴入	beʔ˧	卜(替)
b	eʔ	阳入	beʔ˥	襪 麥(白)
t	eʔ	阴入	teʔ˧	笮
tʰ	eʔ	阴入	tʰeʔ˧	體
tʰ	eʔ	阳入	tʰeʔ˥	宅(白) 垞(替) 摕(替)
l	eʔ	阳入	leʔ˥	𠠝(替)
ts	eʔ	阳入	tseʔ˥	絕(白)
tsʰ	eʔ	阴入	tsʰeʔ˧	冊 切
s	eʔ	阴入	seʔ˧	說(白) 雪(白)
s	eʔ	阳入	seʔ˥	踅(替)
k	eʔ	阴入	keʔ˧	格(白) 隔(白) 郭(白)
kʰ	eʔ	阴入	kʰeʔ˧	客(白) 缺(白) 篋(替)
g	eʔ	阳入	geʔ˥	月(白)
	eʔ	阴入	eʔ˧	嗝(替)
p	ue	阴平	pue˥˥	杯 桮
p	ue	阴去	pue˩˩	輩
p	ue	阳平	pue˩˧	陪 賠(文)
p	ue	阳去	pue˧˧	倍(文) 背(文)
pʰ	ue	阴平	pʰue˥˥	杮 批(替)
pʰ	ue	阴上	pʰue˥˩	䫌(替)
pʰ	ue	阴去	pʰue˩˩	貝 配(文)
pʰ	ue	阳去	pʰue˧˧	稗 沛(白)
b	ue	阴上	bue˥˩	買(白)
b	ue	阳平	bue˩˧	梅(替)
b	ue	阳去	bue˧˧	賣(白) 𣍐(替)
t	ue	阴上	tue˥˩	底(白) 貯(替)
t	ue	阳平	tue˩˧	題(白) 蹄(白)
t	ue	阳去	tue˧˧	苧 地(白)
tʰ	ue	阴平	tʰue˥˥	釵(白)
tʰ	ue	阴上	tʰue˥˩	體(白)
tʰ	ue	阴去	tʰue˩˩	替 退(文)
l	ue	阴上	lue˥˩	詈
l	ue	阳平	lue˩˧	簍 犁
l	ue	阳去	lue˧˧	鑢 內(白)
ts	ue	阴去	tsue˩˩	𤺅(替) 做
ts	ue	阳平	tsue˩˧	齊(白)
ts	ue	阳去	tsue˧˧	罪(文) 濟
tsʰ	ue	阴平	tsʰue˥˥	初(白)
tsʰ	ue	阴去	tsʰue˩˩	𬖴(替) 摖(替)
s	ue	阴平	sue˥˥	衰 疏 梳
s	ue	阴上	sue˥˩	洗 黍(白)
s	ue	阴去	sue˩˩	細 稅(文) 歲(文)
k	ue	阴平	kue˥˥	雞(白) 瓜(白) 街(白)
k	ue	阴上	kue˥˩	橛(替)
k	ue	阴去	kue˩˩	擱 疥 界(白) 怪(白) 計(替)
k	ue	阳平	kue˩˧	鮭(替)
kʰ	ue	阴平	kʰue˥˥	溪 恢 盔 □ 詼(白) 葵(白)
