"汉字"	"拼音"	"IPA"	"注释"	""	"声调"	"调值"	"编号"	"缺音字"	"说明：整理自《闽南方言大词典》《漳州市志•方言》"
"卸"	"sia5"	"sia21"	""	""	""	""	""	""	""
"邪"	"sia2"	"sia13"	""	""	""	""	""	""	""
"斜"	"tshia2"	"tsʰia13"	"白"	""	""	""	""	""	""
"斜"	"sia2"	"sia13"	"文"	""	""	""	""	""	""
"謝"	"tsia6"	"tsia22"	"白"	""	""	""	""	""	""
"謝"	"sia6"	"sia22"	"文"	""	""	""	""	""	""
"爹"	"tia1"	"tia44"	""	""	""	""	""	""	""
"遮"	"tsia2"	"tsia13"	"俗"	""	""	""	""	""	""
"遮"	"tsia1"	"tsia44"	""	""	""	""	""	""	""
"者"	"tsia3"	"tsia53"	""	""	""	""	""	""	""
"蔗"	"tsia5"	"tsia21"	""	""	""	""	""	""	""
"車"	"tshia1"	"tsʰia44"	""	""	""	""	""	""	""
"扯"	"tshe3"	"tsʰe53"	"白"	""	""	""	""	""	""
"扯"	"tshia3"	"tsʰia53"	"文"	""	""	""	""	""	""
"蛇"	"tsua2"	"tsua13"	"白"	""	""	""	""	""	""
"蛇"	"sia2"	"sia13"	"文"	""	""	""	""	""	""
"射"	"sia6"	"sia22"	""	""	""	""	""	""	""
"奢"	"tshia1"	"tsʰia44"	""	""	""	""	""	""	""
"賒"	"sia1"	"sia44"	""	""	""	""	""	""	""
"捨"	"sia3"	"sia53"	""	""	""	""	""	""	""
"捨"	"sia5"	"sia21"	""	""	""	""	""	""	""
"赦"	"sia5"	"sia21"	""	""	""	""	""	""	""
"舍"	"sia3"	"sia53"	""	""	""	""	""	""	""
"舍"	"sia5"	"sia21"	""	""	""	""	""	""	""
"社"	"sia6"	"sia22"	""	""	""	""	""	""	""
"惹"	"dzia3"	"dzia53"	""	""	""	""	""	""	""
"耶"	"ia2"	"ia13"	""	""	""	""	""	""	""
"椰"	"ia2"	"ia13"	""	""	""	""	""	""	""
"爺"	"ia2"	"ia13"	""	""	""	""	""	""	""
"冶"	"ia3"	"ia53"	""	""	""	""	""	""	""
"也"	"ia3"	"ia53"	""	""	""	""	""	""	""
"也"	"ia6"	"ia22"	""	""	""	""	""	""	""
"也"	"a6"	"a22"	""	""	""	""	""	""	""
"野"	"ia3"	"ia53"	""	""	""	""	""	""	""
"夜"	"ia6"	"ia22"	""	""	""	""	""	""	""
"傻"	"sa2"	"sa13"	""	""	""	""	""	""	""
"耍"	"sua3"	"sua53"	""	""	""	""	""	""	""
"瓜"	"kua1"	"kua44"	""	""	""	""	""	""	""
"蝸"	"o1"	"o44"	""	""	""	""	""	""	""
"寡"	"kua3"	"kua53"	""	""	""	""	""	""	""
"寡"	"kuann3"	"kuã53"	""	""	""	""	""	""	""
"剐"	"kua3"	"kua53"	""	""	""	""	""	""	""
"夸"	"khua1"	"kʰua44"	""	""	""	""	""	""	""
