地点：浙江丽水龙泉龙渊 字表来源：《处州方言历史比较》《吴语处州方言的地理比较》 说明：部分字音补充自语保													
汉字	IPA	声调	备注								声调	调类	调值
掩	iɛ	3											
厌	iɛ	5											
炎	iɛ	2											
盐	iɛ	2											
阎	iɛ	2											
檐	iɛ	2											
艳	iɛ	5											
焰	iɛ	5											
盐	iɛ	6	腌										
叶	iɛʔ	8											
页	iɛʔ	8											
剑	tɕiɛ	5											
劫	tɕiɛʔ	7											
欠	tɕʰiɛ	5											
严	ȵiɛ	2											
业	ȵiɛʔ	8											
腌	iɛ	1											
点	tiɛ	3											
店	tiɛ	5											
添	tʰiɛ	1											
跌	tiɛʔ	7											
舔	tʰiɛ	3											
帖	tʰiɛʔ	7											
贴	tʰiɛʔ	7											
甜	diɛ	2											
簟	tiɛ	3											
迭	diɛʔ	8											
蝶	diɛʔ	8											
碟	diɛʔ	8											
谍	diɛʔ	8											
鲇	ȵiɛ	2	鲶										
念	ȵiɛ	6											
挟	kɔʔ	7	～菜										
谦	tɕʰiɛ	1											
歉	tɕʰiɛ	5											
嫌	aŋ	2											
协	iɛʔ	8											
法	fɔʔ	8											
凡	vaŋ	2											
帆	vaŋ	2											
範	faŋ	3	模～										
范	faŋ	3	姓										
犯	faŋ	3											
乏	vɔʔ	8											
品	pʰiŋ	3											
林	liŋ	2											
淋	liŋ	2											
立	liʔ	8											
笠	liʔ	8											
粒	ləʔ	8											
浸	tɕiŋ	5											
侵	tɕʰiŋ	1											
寝	tɕʰiŋ	3											
㓎	tsʰɛiŋ	5											
集	ʑiʔ	8											
辑	tɕʰiʔ	7											
蕈	ɕiŋ	3											
心	ɕiŋ	1											
寻	ʑyŋ	2	文										
习	ʑiʔ	8											
袭	ʑiʔ	8											
砧	tɛiŋ	1											
沉	dɛiŋ	2											
簪	tsɤ	1											
森	sɛiŋ	1											
参	sɛiŋ	1	人～										
渗	sɛiŋ	5											
针	tsɛiŋ	1											
枕	tsɛiŋ	3											
执	tɕiʔ	7											
汁	zɤɯ	2	目～：眼泪										
汁	tsɛiʔ	7	墨～										
深	tɕʰiɛ	1											
沈	sɛiŋ	3											
审	sɛiŋ	3											
婶	ɕiŋ	3											
湿	sɛiʔ	7											
十	zɛiʔ	8											
拾	ʑi	2	捡										
任	ȵiŋ	6											
纴	ȵiŋ	6											
入	ȵiʔ	8											
今	kɛ	1	～日、～年										
今	tɕiŋ	1	读字音										
金	tɕiŋ	1											
禁	kɛiŋ	5											
急	tɕiʔ	7											
级	tɕiʔ	7											
琴	dʑiŋ	2											
妗	dʑiŋ	6											
及	dʑiʔ	8											
吸	tɕyʔ	7	吮吸										
吸	ɕiʔ	7	读字音										
音	iŋ	1											
阴	iŋ	1											
荫	iŋ	1											
丹	taŋ	1											
单	taŋ	1											
掸	taŋ	3											
旦	taŋ	5											
摊	tʰaŋ	1											
坦	tʰaŋ	3											
叹	tʰaŋ	5											
炭	tʰaŋ	5											
坛	dɤ	2											
䃪	daŋ	2	石，～头：石头										
弹	daŋ	2	动词										
诞	taŋ	3											
但	daŋ	6											
弹	daŋ	6	名词										
蛋	daŋ	6											
达	dɔʔ	8											
难	naŋ	2	形容词										
难	naŋ	6	名词										
捺	nɔʔ	8											
捺	naʔ	8											
兰	laŋ	2											
拦	laŋ	2											
栏	laŋ	2											
懒	laŋ	3											
烂	laŋ	6											
辣	lɔʔ	8											
瘌	lɔʔ	8											
餐	tsʰaŋ	1											
擦	tsʰɔʔ	7											
散	saŋ	3	鞋带～										
伞	saŋ	3											
散	saŋ	5	～会										
撒	sɔʔ	7											
萨	sɔʔ	7											
肝	kuə	1											
竿	kuə	1											
干	kuə	1	天～										
乾	kuə	1	～净										
杆	kuə	3											
秆	kuaŋ	3											
赶	kuə	3											
幹	kɤ	5	～部										
割	kuəʔ	7											
看	kʰaŋ	1	～守所										
刊	kʰaŋ	1											
渴	kʰuəʔ	7											
岸	uə	6											
汉	xuə	5											
寒	guə	2											
韩	uə	2											
旱	uə	3											
汗	uə	6											
焊	uə	6											
安	uə	1											
鞍	uə	1											
按	uə	5											
案	uə	5											
扮	paŋ	5											
八	pɔʔ	7											
盼	pʰaŋ	5											
办	baŋ	6											
拔	baʔ	8											
抹	mɔuʔ	8											
盏	tsaŋ	3											
扎	tsɔʔ	7											
铲	tsʰaŋ	3											
察	tsʰɔʔ	7											
山	saŋ	1											
产	tsʰaŋ	3											
杀	sɔʔ	7											
艰	kaŋ	1											
间	kaŋ	1											
简	kaŋ	3											
拣	kaŋ	3											
柬	kaŋ	3											
柬	tɕiɛ	3											
眼	ŋaŋ	3	文										
闲	aŋ	2											
限	aŋ	3											
苋	ɕiɛ	5											
班	paŋ	1											
扳	paŋ	1											
板	paŋ	3											
版	paŋ	3											
攀	pʰaŋ	1											
爿	baŋ	2											
蛮	maŋ	2											
慢	maŋ	6											
删	saŋ	1											
铡	zɔʔ	8											
奸	kaŋ	1											
颜	ŋaŋ	2											
雁	ŋaŋ	6											
瞎	xuəʔ	7											
辖	ʑiaʔ	8											
编	piɛ	1											
鞭	piɛ	1											
变	piɛ	5											
别	biɛʔ	8	区～										
鳖	piɛʔ	7											
篇	pʰiɛ	1											
偏	pʰiɛ	1											
骗	pʰiɛ	5											
便	biɛ	2	～宜										
辨	piɛ	3											
辩	piɛ	3											
便	biɛ	6	方～										
别	biɛʔ	8	离～										
棉	miɛ	2											
免	miɛ	3											
面	miɛ	6	脸										
灭	miɛʔ	8											
搣	mi	1											
碾	ȵiɛ	3											
连	liɛ	2											
联	liɛ	2											
列	liɛʔ	8											
裂	liɛʔ	8											
烈	liɛʔ	8											
煎	tɕiɛ	1											
剪	tɕiɛ	3											
箭	tɕiɛ	5											
溅	tɕiɛ	5											
迁	tɕʰiɛ	1											
浅	tɕʰiɛ	3											
践	iɛ	3											
贱	ʑiɛ	6											
仙	ɕiɛ	1											
鲜	ɕiɛ	1											
线	ɕiɛ	5											
薛	ɕiɛʔ	7											
展	tɕiɛ	3											
哲	tɕiɛʔ	7											
撤	tɕʰiɛʔ	7											
缠	dʑiɛ	2											
战	tɕiɛ	5											
折	tɕiɛʔ	7	～扣										
浙	tɕiɛʔ	7											
舌	dʑiɛʔ	8											
搧	ɕiɛ	5											
扇	ɕiɛ	5											
设	ɕiɛʔ	7											
蝉	ʑiɛ	2											
善	ɕiɛ	3											
鳝	ɕiɛ	3											
折	ʑiɛʔ	8	～本										
然	ȵiɛ	2											
热	ȵiɛʔ	8											
乾	dʑiɛ	2	～隆										
件	dʑiɛ	6											
杰	dʑiɛʔ	8											
焉	iɛ	1											
延	iɛ	2											
筵	iɛ	2											
演	iɛ	3											
建	tɕiɛ	5											
键	tɕiɛ	3											
健	dʑiɛ	6											
揭	tɕiɛʔ	7											
言	ȵiɛ	2											
锨	ɕiɛ	1	文										
宪	ɕiɛ	5											
献	ɕiɛ	5											
歇	ɕiɛʔ	7											
堰	iɛ	5											
边	piɛ	1											
蝙	piɛ	3											
扁	piɛ	3											
匾	piɛ	3											
遍	piɛ	5											
憋	piɛʔ	7											
片	pʰiɛ	5											
撇	pʰiɛ	5											
辫	piɛ	3											
麵	miɛ	6	～粉										
篾	miɛʔ	8											
颠	tiɛ	1											
典	tiɛ	3											
咥	tiɛʔ	7											
天	tʰiɛ	1											
铁	tʰiɛʔ	7											
田	diɛ	2											
填	diɛ	2											
电	diɛ	6											
殿	diaŋ	6											
垫	diɛ	6											
年	ȵiɛ	2											
捏	ȵiaʔ	8											
怜	liɛ	2											
莲	liɛ	2											
练	liɛ	6											
炼	liɛ	6											
荐	tɕiɛ	5											
节	tɕiaʔ	7											
千	tɕʰiɛ	1											
切	tɕʰiaʔ	7											
前	ʑiɛ	2											
截	ʑiɛʔ	8											
先	ɕiɛ	1											
筅	ɕiɛ	3											
□	ȵiŋ	1	～胛头：肩膀										
坚	tɕiɛ	1											
茧	tɕiɛ	3											
笕	yə	3											
见	tɕiɛ	5											
结	tɕiɛʔ	7											
洁	tɕiɛʔ	7											
桔	tɕiʔ	7											
䥛	tɕiɛʔ	7	樵～：柴刀、镰～儿：镰刀										
牵	tɕʰiɛ	1											
研	ȵiɛ	2											
啮	ŋuəʔ	8	咬										
显	ɕiɛ	3											
贤	iɛ	2											
弦	iɛ	2											
现	iɛ	6											
烟	iɛ	1											
燕	iɛ	5											
宴	iɛ	5											
搬	bɤ	2											
般	bɤ	2											
半	pɤ	5											
钵	pəʔ	7											
拨	pəʔ	7											
潘	pʰɤ	1											
拼	pʰiŋ	1											
判	pʰɤ	5											
泼	pʰəʔ	7											
盘	bɤ	2											
伴	pɤ	3											
拌	pɤ	3											
叛	bɤ	6											
瞒	mɤ	2											
馒	maŋ	2											
满	mɤ	3											
末	məʔ	8											
沫	məʔ	8											
端	taŋ	1											
短	ti	3											
断	tɤ	5	判～										
锻	dɤ	6											
掇	təʔ	7											
脱	tʰɛiʔ	7	脱（衣服）										
团	dɤ	2											
断	tɛiŋ	3	～了										
段	dɛiŋ	6	一～木										
段	dɤ	6	阶～										
夺	dɛiʔ	8											
暖	nɛiŋ	3											
卵	lɛiŋ	3	蛋，禽蛋										
乱	lɤ	6											
钻	tsɤ	1	动词										
钻	tsɤ	5	名词										
撮	tsʰɛiʔ	7											
酸	si	1											
算	sɤ	5											
蒜	sɤ	5											
官	kuaŋ	1											
棺	kuaŋ	1											
观	kuaŋ	1	～音										
管	kuaŋ	3											
馆	kuaŋ	3											
贯	kuaŋ	5											
冠	kuaŋ	5											
观	kuaŋ	1	道～										
灌	kuaŋ	5											
罐	kuaŋ	5											
括	kuəʔ	7											
宽	kʰuaŋ	1											
款	kʰuaŋ	3											
阔	kʰuəʔ	7											
欢	xuaŋ	1											
完	yə	2											
丸	yə	2											
换	uaŋ	6											
活	uəʔ	8											
豌	uaŋ	3											
碗	uaŋ	3											
腕	uaŋ	3											
幻	uaŋ	6											
滑	uəʔ	8											
猾	uəʔ	8											
挖	uəʔ	7											
闩	ɕyə	1											
刷	ɕyəʔ	7											
关	kuəŋ	1	～门										
关	kuaŋ	1	～系										
惯	kuaŋ	5											
刮	kuəʔ	7											
还	uaŋ	2	归～										
环	uaŋ	2											
弯	uaŋ	1											
湾	uaŋ	1											
恋	liɛ	6											
劣	liɛʔ	8											
全	ʑyə	2											
泉	ʑyə	2											
绝	ʑyəʔ	8											
宣	ɕyə	1											
狲	ɕyə	1	苦～：猴子										
选	ɕyə	3											
雪	ɕyəʔ	7											
旋	ʑyə	6											
转	tɕyə	3											
传	dʑyə	2	动词										
椽	dʑyə	2											
传	dʑyə	6	名词										
专	tɕyə	1											
砖	tɕyə	1											
川	tɕʰyə	1											
穿	tɕʰyŋ	1	～针										
穿	tɕʰyə	1	读字音										
喘	tɕʰyə	3											
串	tɕʰyŋ	5	一～										
串	tɕʰyə	5	～联										
船	ʑyŋ	2											
说	ɕyəʔ	7	小～										
软	ȵyə	3											
捲	tɕyŋ	3	～起										
捲	tɕyə	3	～起										
眷	tɕyə	5											
卷	tɕyə	5	考～										
圈	tɕʰyə	1											
权	dʑyə	2											
拳	dʑyə	2											
员	yə	2											
院	yə	6											
缘	yə	2											
沿	iɛ	2											
铅	kʰaŋ	1	～笔、～球、～丝、～板										
铅	tɕʰiɛ	1	读字音										
捐	tɕyə	1											
阅	iaʔ	8											
反	paŋ	3	翻动										
反	faŋ	3	～对										
贩	faŋ	5											
髪	fɔʔ	7	文，头～										
發	fɔʔ	7	～明										
翻	faŋ	1											
番	faŋ	1											
烦	vaŋ	2											
繁	vaŋ	2											
饭	vaŋ	6											
伐	vɔʔ	8											
筏	vɔʔ	8											
罚	vɔʔ	8											
晚	maŋ	3											
万	maŋ	6											
袜	mɔʔ	8											
劝	tɕʰyə	5											
元	ȵyə	2											
原	ȵyə	2											
源	ȵyə	2											
阮	ȵyə	3											
愿	ȵyə	6											
月	ȵyəʔ	8											
冤	yə	1											
䘼	iəŋ	3	手～门：袖子										
怨	yə	5											
袁	yə	2											
园	uɛiŋ	5	菜～										
园	yə	2	公～										
援	yə	2											
远	xuɛiŋ	3	路～										
远	yə	3	永～										
越	iaʔ	8											
粤	yəʔ	8											
决	tɕyəʔ	7											
诀	tɕyəʔ	7											
犬	tɕʰiɛ	3	狗										
缺	tɕʰyəʔ	7											
血	ɕyəʔ	7											
玄	yə	2											
县	yə	6											
穴	iaʔ	8											
渊	yə	1											
吞	tʰɤ	1											
根	kɤ	1											
跟	kɤ	1											
很	xɛiŋ	3											
狠	xɛiŋ	3											
恨	ɤ	6											
恩	ɤ	1											
彬	piŋ	1											
宾	piŋ	1											
笔	piʔ	7											
毕	piʔ	7											
必	piʔ	7											
匹	pʰiʔ	7											
贫	biŋ	2											
民	miŋ	2											
密	miʔ	8											
蜜	miʔ	8											
邻	liŋ	2											
鳞	liŋ	2											
栗	liʔ	8											
津	tɕyŋ	1											
进	tɕiŋ	5											
晋	tɕiŋ	5											
亲	tɕʰiŋ	1	招～										
亲	tɕʰiŋ	1	～家										
七	tɕʰiʔ	7											
漆	tɕʰiʔ	7											
秦	ʑiŋ	2											
尽	ɕiŋ	3											
疾	iʔ	8											
辛	ɕiŋ	1											
新	ɕiŋ	1											
薪	ɕiŋ	1											
信	ɕiŋ	5											
讯	ɕyŋ	5											
悉	sɛiʔ	7											
膝	tɕʰiʔ	7											
珍	tsɛiŋ	1											
镇	tiŋ	5											
陈	dzɛiŋ	6	姓										
尘	dɤ	2	打～：除夕前除尘的一种风俗										
尘	dzɛiŋ	2	读字音										
阵	dzɛiŋ	2											
侄	dʑiʔ	8											
臻	tsɛiŋ	1											
衬	tɕʰiŋ	5											
虱	siʔ	7											
真	tsɛiŋ	1											
诊	tsɛiŋ	3											
疹	tsɛiŋ	3											
振	tɕiŋ	5											
震	tɕiŋ	5											
质	tɕiʔ	7											
实	ʑiʔ	8											
神	ʑiŋ	2											
身	sɛiŋ	1											
申	ɕiŋ	1											
伸	ɕiŋ	1											
失	ɕiʔ	7											
室	ɕiʔ	7											
辰	zɛiŋ	2											
臣	ʑiŋ	2											
肾	ɕiŋ	3											
人	ȵiŋ	2	丈～										
仁	ȵiŋ	2											
忍	ȵiŋ	3											
认	ȵiŋ	6											
日	nɛʔ	8											
巾	kɛiŋ	1											
紧	tɕiŋ	3											
吉	tɕiʔ	7											
羯	tɕiɛʔ	7	阉										
银	ȵiŋ	2											
因	iŋ	1											
姻	iŋ	1											
印	iŋ	5											
乙	iʔ	7											
一	iʔ	7											
引	iŋ	3											
斤	kɛiŋ	1											
筋	kɛiŋ	1											
乞	kʰaʔ	7	给、被										
勤	dʑiŋ	2											
芹	dʑiŋ	2											
近	kɤ	3											
䘆	xuɛiŋ	3	黄～：蚯蚓										
奔	pɛiŋ	1											
本	pɤ	3											
喷	pʰɛiŋ	1	～水										
喷	pʰɛiŋ	5	～香										
盆	bɤ	2											
笨	bɛiŋ	6											
勃	bəʔ	8											
门	mɛiŋ	2											
闷	mɛiŋ	6											
没	məʔ	8	文										
敦	tɤ	1											
墩	tɤ	1											
顿	tɤ	5											
褪	tʰɛiŋ	5	脱（帽子）、摘（手表）										
饨	dɤ	2											
臀	dɤ	2											
盾	dɤ	6											
钝	dɛiŋ	6											
突	dəʔ	8											
嫩	nɤ	6											
论	lɤ	6											
尊	tsɤ	1											
卒	tsɛiʔ	7											
村	tsʰɤ	1											
忖	tsʰɤ	3	想										
寸	tsʰɤ	5											
存	zɤ	2											
孙	sɤ	1											
损	sɤ	3											
滚	kuɛiŋ	3											
骨	kuəʔ	7											
坤	kʰuɛiŋ	1											
捆	kʰuɛiŋ	3											
困	kʰuɛiŋ	5											
睏	kʰuə	5											
窟	kʰuʔ	7											
𦜇	kʰuʔ	7	～臀：屁股										
昏	xuə	1											
婚	xuə	1											
魂	uə	2											
馄	uə	2											
混	uɛiŋ	6											
浑	uə	2											
温	uə	1											
瘟	uə	1											
稳	uɛiŋ	3											
轮	lɤ	2											
率	liʔ	8	效～										
律	liʔ	8											
遵	tsɤ	1											
笋	sɛiŋ	3											
迅	ɕyŋ	5											
旬	ʑyŋ	2											
巡	ʑyŋ	2											
率	səɯʔ	7	～领										
蟀	ɕyʔ	7	～～：蟋蟀										
肫	iŋ	1											
准	tɕyŋ	3											
春	tɕʰyŋ	1											
出	tɕʰyəʔ	7											
唇	ʑyŋ	2											
顺	ʑyŋ	6											
术	ʑyʔ	8											
纯	ʑyŋ	2											
闰	yŋ	6											
均	tɕyŋ	1											
菌	tɕyŋ	3											
匀	yŋ	2											
允	yŋ	3											
尹	iŋ	3											
分	fɛiŋ	1											
粉	fɛiŋ	3											
粪	pɤ	5	猪～										
粪	fɛiŋ	5	读字音										
奋	fɛiŋ	5											
弗	fəɯʔ	7											
芬	fɛiŋ	1											
坟	vɛiŋ	2											
份	vɛiŋ	6											
佛	vɛiʔ	8											
文	mɛiŋ	2											
纹	mɛiŋ	2											
蚊	mɛiŋ	2											
闻	mɛiŋ	2											
问	mɛiŋ	6											
物	vɛiʔ	8											
君	tɕyŋ	1											
军	tɕyŋ	1											
屈	kʰuɛiʔ	7	身体、胳膊弯屈										
屈	tɕʰyəʔ	7	～服										
群	dʑyŋ	2											
裙	dʑyŋ	2											
掘	dʑyəʔ	8											
熏	ɕyŋ	1											
荤	xuə	1											
训	ɕyŋ	5											
云	yŋ	2											
韵	yŋ	6											
运	yŋ	6											
晕	yŋ	6											
帮	pɔŋ	1											
榜	pɔŋ	3											
博	pɔuʔ	7											
旁	bɔŋ	2											
薄	bɔuʔ	8											
忙	mɔŋ	2											
芒	mɔŋ	2											
茫	mɔŋ	2											
䥈	mɔŋ	3	锅										
莫	mɔuʔ	8											
膜	mɔuʔ	7											
幕	mɤɯ	6											
摸	mɔuʔ	7											
当	tɔŋ	1	～官										
党	tɔŋ	3											
挡	tɔŋ	3											
当	tɔŋ	5	～铺										
汤	tʰɔŋ	1											
躺	tʰɔŋ	3											
烫	tʰɔŋ	5											
托	tʰɔuʔ	7											
堂	dɔŋ	2											
唐	dɔŋ	2											
糖	dɔŋ	2											
塘	dɔŋ	2											
螳	dɔŋ	2											
狼	lɔŋ	2											
廊	lɔŋ	2											
郎	lɔŋ	2											
螂	lɔŋ	2											
莨	lɔŋ	2											
浪	lɔŋ	6											
落	lɔuʔ	8											
洛	lɔuʔ	8											
络	lɔuʔ	8											
乐	lɔuʔ	8	快～										
葬	tsɔŋ	5											
作	tsɔuʔ	7											
仓	tsʰɔŋ	1											
苍	tsʰɔŋ	1											
藏	zɔŋ	2	躲～										
藏	zɔŋ	6	西～										
凿	zɔuʔ	8											
𧮙	zɔuʔ	8	骂										
昨	zaŋ	2											
桑	sɔŋ	1											
磉	sɔŋ	3											
索	sɔuʔ	7											
冈	kɔŋ	1											
刚	kɔŋ	1											
钢	kɔŋ	1											
缸	kɔŋ	1											
杠	kɔŋ	5											
各	kɔuʔ	7											
阁	kɔuʔ	7											
康	kʰɔŋ	1											
糠	kʰɔŋ	1											
抗	kʰɔŋ	5											
囥	kʰɔŋ	5	放、藏										
杭	ɔŋ	2											
航	ɔŋ	2											
行	ɔŋ	2	银～										
鹤	ɔuʔ	8											
恶	ɔuʔ	7											
娘	ȵiaŋ	2	母亲（背称）、新～										
娘	ȵiaŋ	5	姑妈										
酿	nɛ	6	～酒										
酿	ȵiaŋ	6	读字音										
良	liaŋ	2											
凉	liaŋ	2											
量	lɛ	2	～长短										
量	liaŋ	2	商～										
梁	liaŋ	2											
粱	liaŋ	2											
两	laŋ	3	数词										
两	liaŋ	3	量词										
亮	liaŋ	6											
辆	liaŋ	6											
量	liaŋ	6	名词										
谅	liaŋ	6											
略	liɛʔ	8											
掠	liɛʔ	8											
将	tɕiaŋ	1	～来										
浆	tɕiaŋ	1											
蒋	tɕiaŋ	3											
奖	tɕiaŋ	3											
酱	tɕiaŋ	5											
将	tɕiaŋ	5	大～										
雀	tsɿʔ	7	麻～										
雀	tɕʰiaʔ	7	读字音										
枪	tɕʰiaŋ	1											
抢	tɕʰiaŋ	3											
鹊	tɕʰiaʔ	7											
墙	ʑiaŋ	2											
匠	ʑiaŋ	6											
嚼	ʑiaʔ	8											
相	ɕiaŋ	1	互～										
厢	ɕiaŋ	1											
湘	ɕiaŋ	1											
镶	ɕiaŋ	1											
箱	ɕiaŋ	1											
想	ɕiaŋ	3											
鲞	ɕiaŋ	3											
相	ɕiaŋ	5	照～										
削	ɕiaʔ	7											
详	ʑiaŋ	2											
祥	ʑiaŋ	2											
像	tɕiaŋ	3											
象	ɕiaŋ	3											
橡	ɕiaŋ	3											
张	tiaŋ	1											
涨	tiaŋ	5											
帐	tiaŋ	5											
账	tiaŋ	5											
胀	tiaŋ	5											
着	tɛʔ	7	穿										
长	dɛ	2	～短										
长	dʑiaŋ	2	～征										
肠	dɛ	2											
场	dʑiaŋ	2											
丈	tɕiaŋ	3											
杖	tɕiaŋ	5											
仗	tɕiaŋ	3											
着	dʑiaʔ	8	～力：累										
庄	tsɔŋ	1											
装	tsɔŋ	1											
壮	tɕiɔŋ	5											
疮	tsʰɔŋ	1											
闯	tɕʰiɔŋ	3											
创	tsʰɔŋ	5											
床	ʑiɔŋ	2											
状	ʑiɔŋ	6											
霜	ɕiɔŋ	1											
爽	ɕiɔŋ	3	～利：干净										
爽	sɔŋ	3	～快										
章	tɕiaŋ	1											
樟	tɕiaŋ	1											
掌	tɕiaŋ	3											
障	tɕiaŋ	5											
昌	tɕʰiaŋ	1											
菖	tɕʰiaŋ	1											
厂	tɕʰiaŋ	3											
唱	tɕʰiaŋ	5											
商	ɕiaŋ	1											
伤	ɕiaŋ	1											
常	ʑiaŋ	2											
尝	ʑiaŋ	2											
裳	ʑiaŋ	2											
上	tɕiaŋ	3	动词										
上	dʑiaŋ	6	方位名词										
上	ʑiaŋ	6	～海										
勺	ʑiaʔ	8											
让	ȵiaŋ	6											
疆	tɕiaŋ	1											
薑	tɕiaŋ	1	生～										
姜	tɕiaŋ	1	姓										
脚	tɕiaʔ	7	文										
强	dʑiaŋ	2											
仰	ȵiaŋ	3											
虐	ȵiaʔ	8											
香	ɕiaŋ	1											
乡	ɕiaŋ	1											
享	ɕiaŋ	3											
响	ɕiaŋ	3											
向	ɕiaŋ	5											
央	iaŋ	1											
秧	ɛ	1	菜～										
秧	iaŋ	1	读字音										
约	iaʔ	7											
羊	iaŋ	2											
洋	iaŋ	2											
烊	iaŋ	2											
杨	iaŋ	2											
阳	iaŋ	2											
扬	iaŋ	2											
养	iɔŋ	3											
痒	ɕiɔŋ	3											
样	iaŋ	6											
药	iaʔ	8											
光	kɔŋ	1											
广	kɔŋ	3											
郭	kɔuʔ	7											
扩	kʰɔuʔ	7											
荒	xɔŋ	1											
慌	xɔŋ	1											
谎	xɔŋ	3											
霍	xɔuʔ	7											
黄	ɔŋ	2											
簧	ɔŋ	2											
蝗	ɔŋ	2											
皇	ɔŋ	2											
镬	ɔuʔ	8	文										
方	fɔŋ	1											
放	fɔŋ	5											
芳	fɔŋ	1											
纺	fɔŋ	3											
访	fɔŋ	3											
房	vɔŋ	2											
防	vɔŋ	2											
缚	bɔuʔ	8											
亡	mɔŋ	2											
忘	vɔŋ	2	文										
网	mɔŋ	3											
望	mɔŋ	6	～上走：往上走										
筐	kʰuaŋ	1											
况	ɕiɔŋ	5											
枉	iɔŋ	3											
王	iɔŋ	2											
往	iɔŋ	3											
旺	ɔŋ	6											
邦	pɔŋ	1											
剥	puʔ	7											
胖	pʰɔŋ	5											
朴	pʰuʔ	7											
棒	pɔŋ	3											
雹	bɔuʔ	8											
桩	tiɔŋ	1											
桌	tiɔuʔ	7											
啄	təɯʔ	7											
戳	tɕʰiɔuʔ	7											
撞	dʑiɔŋ	6											
捉	tɕiɔuʔ	7											
窗	tɕʰiɔŋ	1											
镯	dʑiɔuʔ	8											
双	ɕiɔŋ	1											
江	kɔŋ	1											
扛	kɔŋ	1											
豇	kaŋ	1											
讲	kɔŋ	3											
港	kɔŋ	3											
降	kɔŋ	5	下～										
角	kɔuʔ	7											
饺	tɕiɑɔ	3											
腔	tɕʰiaŋ	1											
确	kʰɔʔ	7											
壳	kʰɔuʔ	7											
岳	ŋɔʔ	8											
乐	ɔʔ	8	音～										
降	ɔŋ	2	投～										
项	ɔŋ	3											
学	ɔʔ	8											
握	uəʔ	7											
崩	pəŋ	1											
北	pɛʔ	7											
朋	bɛ	2											
墨	miʔ	8											
默	mɔʔ	8											
登	tɛiŋ	1											
灯	tiŋ	1											
等	tɛ	3											
凳	tiŋ	5											
得	tɛʔ	7	动词										
得	tiʔ	7a	咥～：吃得										
得	iʔ	7a	咥～落：吃得下										
德	tɛʔ	7											
忒	tʰaʔ	7											
藤	dɛiŋ	2											
腾	dɛiŋ	2											
邓	dɛ	6											
特	dɛʔ	8											
能	nɛ	2											
薐	liŋ	2	菠～：菠菜										
肋	lɛʔ	8											
勒	lɛʔ	8											
曾	tsɛ	1	姓										
增	tsɛ	1											
则	tsɛʔ	7											
曾	zɛ	2	～经										
层	zɛ	2											
贼	zɛʔ	8											
僧	tsɛ	1											
塞	tʰɛʔ	7	～牢：塞住										
塞	sɛʔ	7	～子										
肯	kʰɛ	3											
刻	kʰɛʔ	7											
克	kʰɛʔ	7											
黑	xɛʔ	7											
恒	uɛ	2											
冰	piŋ	1											
逼	piʔ	7											
凭	biŋ	2											
匿	ȵiɛʔ	8											
菱	liŋ	2											
陵	liŋ	2											
力	liʔ	8											
即	tɕiʔ	7											
鲫	tsɿʔ	7											
息	ɕiʔ	7											
熄	ɕiʔ	7											
媳	ɕiʔ	7											
徵	tɕiŋ	1	～求										
澄	tiŋ	5											
直	dzɿʔ	8											
值	dzɿʔ	8											
侧	tsɛʔ	7											
测	tsʰɛʔ	7											
色	sɿʔ	7											
蒸	tɕiŋ	1											
证	tɕiŋ	5											
织	tsɿʔ	7											
职	tsɿʔ	7											
称	tɕʰiŋ	1											
秤	tɕʰiŋ	5											
乘	ʑiŋ	2											
绳	dʑiŋ	2	藤										
塍	ʑiŋ	2											
剩	ʑiŋ	6											
食	zɿʔ	8											
蚀	zɿʔ	8											
升	ɕiŋ	1											
胜	ɕiŋ	5											
识	tsɿʔ	7	～字										
识	sɿʔ	7	知～										
式	sɿʔ	7											
植	dzɿʔ	8											
极	dzɿʔ	8											
极	dʑiʔ	8											
兴	ɕiŋ	1	～旺										
兴	ɕiŋ	5	高～										
应	iŋ	1	姓										
鹰	iŋ	1											
应	iŋ	5	答～										
忆	ɿ	5											
忆	i	5											
亿	ɿ	5											
亿	i	5											
蝇	yŋ	2	苍～										
孕	yŋ	6											
翼	ɿʔ	8											
国	kuəʔ	7											
或	uəʔ	8											
域	iʔ	8											
百	paʔ	7											
柏	paʔ	7											
伯	paʔ	7											
迫	paʔ	7											
拍	pʰaʔ	7											
𤖼	pʰɔʔ	7	撕										
彭	bəŋ	2											
白	baʔ	8											
盲	mɔŋ	2											
猛	mɔŋ	3											
蜢	miaŋ	3											
陌	maʔ	8											
打	taŋ	3											
冷	laŋ	3	文										
撑	tsʰaŋ	1											
坼	tsʰaʔ	7	木板或墙体开裂										
泽	dzaʔ	8											
择	dzaʔ	8											
宅	daʔ	8	～眷：妇女										
宅	dzaʔ	8	读字音										
窄	tsaʔ	7											
蚱	tɕiaʔ	7											
生	saŋ	1											
牲	saŋ	1											
甥	saŋ	1											
省	saŋ	3	～长、节～										
更	kaŋ	1	打～										
羹	kaŋ	1	～瓢：汤匙										
梗	kuaŋ	3											
更	kaŋ	5											
格	kaʔ	7											
坑	kʰaŋ	1											
客	kʰaʔ	7											
硬	ŋaŋ	6											
额	ŋaʔ	8											
吓	xaʔ	7	害怕										
行	aŋ	2	～为										
杏	aŋ	3											
行	ɔŋ	2	品～										
棚	bəŋ	2											
麦	maʔ	8											
脉	maʔ	8											
